('AC04652-2022-11-02-200','A12-2','efxi', 'LB')
('AC22517-2022-11-01-832','A47-4','L', 'UB')
('AC12058-2022-11-01-818','A46-8','HrrxRBCcNPUjDC', 'LB')
('SL12058-2022-11-01-844','S36-4','pEVGeP', 'LB')
('SL04652-2022-11-02-842','S36-2','QMiCvx', 'MB')
('AC12058-2022-11-01-820','A46-10','FAlVmJFkWZEL', 'UB')
('AC22517-2022-11-01-836','A47-8','RHfeCA', 'LB')
('SL04652-2022-11-02-844','S36-4','SwfXIduZNivh', 'LB')
('AC12058-2022-11-01-822','A46-12','SZSGeRfZ', 'SU')
('SL04652-2022-11-02-846','S36-6','Pys', 'UB')
('AC04652-2022-11-02-909','A51-9','Ypyunz', 'UB')
('SL04652-2022-11-02-849','S36-9','xMLmaDiJL', 'LB')
('AC04652-2022-11-02-910','A51-10','qvTckquMVUwkw', 'UB')
('AC22517-2022-11-02-862','A48-16','zHXUTDGQg', 'UB')
('SL04652-2022-11-01-847','S36-7','DVbNqEna', 'SL')
('SL04652-2022-11-01-849','S36-9','oDZGp', 'LB')
('SL04652-2022-11-01-850','S36-10','Kyqz', 'MB')
('SL12058-2022-11-01-854','S36-14','uRlxtcKPPT', 'UB')
('AC04652-2022-11-01-884','A50-2','yOghBHKqThC', 'LB')
('SL22517-2022-11-02-890','S38-2','CNJl', 'MB')
('AC04652-2022-11-02-932','A52-14','rWRsFawj', 'LB')
('SL22517-2022-11-02-891','S38-3','dCTOIpDJMTCvEBn', 'UB')
('AC04652-2022-11-01-912','A51-12','FYWYirXD', 'SU')
('SL04652-2022-11-02-902','S38-14','wmIyvUlJLgve', 'UB')
('AC12058-2022-11-01-870','A49-6','wVvZsSnjka', 'SU')
('AC04652-2022-11-02-950','A53-14','itjttIMxk', 'LB')
('AC22517-2022-11-01-898','A50-16','ErEX', 'UB')
('SL04652-2022-11-01-903','S38-15','vNHD', 'SL')
('SL04652-2022-11-01-904','S38-16','BetmIayAQvwgcd', 'SU')
('AC12058-2022-11-01-875','A49-11','Pj', 'SL')
('SL22517-2022-11-01-929','S39-17','nu', 'LB')
('AC04652-2022-11-02-1002','A56-12','gDTsSi', 'SU')
('SL04652-2022-11-02-972','S41-12','utE', 'LB')
('SL22517-2022-11-02-986','S42-2','vBurXR', 'MB')
('AC04652-2022-11-01-987','A55-15','qvdMmLQOBQqmcvOf', 'UB')
('SL22517-2022-11-01-1001','S42-17','X', 'LB')
('SL04652-2022-11-02-975','S41-15','qeHrXReTvDSDmGUh', 'SL')
('SL12058-2022-11-01-967','S41-7','SLzCXF', 'SL')
('AC22517-2022-11-02-1004','A56-14','EHIFvlgeixrUlAXs', 'LB')
('AC22517-2022-11-02-1005','A56-15','MTDJPEJKPZM', 'UB')
('AC12058-2022-11-01-953','A53-17','ycIKADSQzopoz', 'SL')
('SL04652-2022-11-01-995','S42-11','gN', 'UB')
('SL12058-2022-11-01-1027','S43-19','ZDnmQSHsdcdIFfXe', 'UB')
('AC22517-2022-11-01-1010','A57-2','SeqWmT', 'LB')
('AC04652-2022-11-01-1050','A59-6','CFhQ', 'SU')
('AC22517-2022-11-01-1014','A57-6','ojgOukHXTPDixpYr', 'SU')
('AC22517-2022-11-02-1061','A59-17','wpkF', 'SL')
('AC22517-2022-11-01-1016','A57-8','A', 'LB')
('SL22517-2022-11-01-1065','S45-9','mhbsPXclkUtb', 'LB')
('AC22517-2022-11-01-1021','A57-13','ZotgfOecYi', 'LB')
('AC04652-2022-11-02-1085','A61-5','mrdZamlFjzqeaVbq', 'SL')
('SL12058-2022-11-01-1034','S44-2','amYHS', 'MB')
('AC12058-2022-11-01-1015','A57-7','U', 'LB')
('AC12058-2022-11-01-1016','A57-8','E', 'LB')
('AC12058-2022-11-01-1018','A57-10','NIRrNaywo', 'UB')
('SL22517-2022-11-02-1047','S44-15','EIvdGMdtWoz', 'SL')
('SL22517-2022-11-02-1048','S44-16','MLo', 'SU')
('SL04652-2022-11-02-1039','S44-7','EjBm', 'SL')
('SL04652-2022-11-01-1069','S45-13','JcrPFEfRVIjB', 'MB')
('SL22517-2022-11-01-1076','S45-20','jm', 'LB')
('SL04652-2022-11-02-1045','S44-13','MJKovSnzsGiZ', 'MB')
('AC04652-2022-11-01-1062','A59-18','oXsjSe', 'SU')
('AC04652-2022-11-01-1063','A60-1','zwx', 'LB')
('SL04652-2022-11-02-1047','S44-15','xs', 'SL')
('SL12058-2022-11-01-1041','S44-9','CqKmsKo', 'LB')
('SL12058-2022-11-01-1042','S44-10','pBRcDBkgo', 'MB')
('AC04652-2022-11-02-1101','A62-3','WUNMmP', 'UB')
('AC22517-2022-11-02-1082','A61-2','BJRSYtiYRNotDgVA', 'LB')
('SL12058-2022-11-01-1050','S44-18','eIpsAoxgn', 'MB')
('SL04652-2022-11-01-1079','S45-23','IpRRqr', 'SL')
('SL22517-2022-11-01-1088','S46-8','oRt', 'SU')
('AC22517-2022-11-01-1045','A59-1','WKkhIzqIkLoYH', 'LB')
('SL04652-2022-11-02-1058','S45-2','sz', 'MB')
('SL12058-2022-11-01-1051','S44-19','AxmrWHdh', 'UB')
('AC12058-2022-11-01-1038','A58-12','DkbsXGUWCx', 'SU')
('AC12058-2022-11-01-1040','A58-14','UsKzqyxITCos', 'LB')
('SL04652-2022-11-01-1082','S46-2','RPbTxOvkHV', 'MB')
('SL12058-2022-11-01-1055','S44-23','KAv', 'SL')
('SL12058-2022-11-01-1058','S45-2','xNINFBv', 'MB')
('SL22517-2022-11-02-1080','S45-24','qUVWmz', 'SU')
('AC04652-2022-11-02-1122','A63-6','VANXHHDV', 'SU')
('AC22517-2022-11-02-1114','A62-16','rBYKKjePxt', 'UB')
('SL04652-2022-11-01-1105','S47-1','MZRphCsaMiA', 'LB')
('SL04652-2022-11-02-1081','S46-1','LWbvutrWtXclw', 'LB')
('SL04652-2022-11-01-1108','S47-4','WHerGsFWoxQsrKZ', 'LB')
('AC12058-2022-11-01-1067','A60-5','jitaEpgFPCRi', 'SL')
('AC22517-2022-11-01-1084','A61-4','wOcuTNTiZz', 'UB')
('AC22517-2022-11-02-1123','A63-7','PtPOPPwXX', 'LB')
('SL04652-2022-11-02-1094','S46-14','PrhnAYh', 'UB')
('AC22517-2022-11-01-1092','A61-12','p', 'SU')
('AC22517-2022-11-01-1093','A61-13','JeBfgGXZFMmRqM', 'LB')
('AC04652-2022-11-01-1110','A62-12','nVXSdWhebti', 'SU')
('SL04652-2022-11-02-1102','S46-22','JJPCOKupLEDSXJ', 'UB')
('SL04652-2022-11-01-1123','S47-19','Oa', 'UB')
('AC04652-2022-11-02-1150','A64-16','eLQmgIBhmSEm', 'UB')
('SL04652-2022-11-02-1104','S46-24','MdQVLo', 'SU')
('AC12058-2022-11-01-1087','A61-7','bZHeFrPFcmgpG', 'LB')
('SL04652-2022-11-01-1129','S48-1','hCvtXtvvORiJoAHe', 'LB')
('SL04652-2022-11-02-1112','S47-8','wqtWUGYUkpqqM', 'SU')
('AC04652-2022-11-01-1124','A63-8','GEq', 'LB')
('AC04652-2022-11-02-1161','A65-9','wLWYsudxef', 'UB')
('SL22517-2022-11-01-1132','S48-4','nAcRri', 'LB')
('AC12058-2022-11-01-1091','A61-11','qZQOvSHnL', 'SL')
('AC22517-2022-11-02-1144','A64-10','RnSBInOQer', 'UB')
('AC22517-2022-11-01-1105','A62-7','XwwVCzljo', 'LB')
('SL22517-2022-11-02-1131','S48-3','gEoEZsGyDJgtHb', 'UB')
('SL04652-2022-11-01-1141','S48-13','hWuLLagfXeBxAEun', 'MB')
('SL22517-2022-11-01-1138','S48-10','qvuDuv', 'MB')
('AC04652-2022-11-01-1131','A63-15','EVal', 'UB')
('AC04652-2022-11-02-1169','A65-17','Lyzmn', 'SL')
('AC04652-2022-11-02-1170','A65-18','qYtiZVPbryAa', 'SU')
('AC04652-2022-11-01-1140','A64-6','gXXQ', 'SU')
('AC22517-2022-11-02-1160','A65-8','BQzExxO', 'LB')
('AC04652-2022-11-01-1166','A65-14','igfnrnZoREn', 'LB')
('AC12058-2022-11-01-1123','A63-7','IfsPxrwizktxB', 'LB')
('AC22517-2022-11-01-1135','A64-1','xOhcBxoKRndHPV', 'LB')
('SL04652-2022-11-02-1150','S48-22','ufMbkrxJ', 'UB')
('AC22517-2022-11-02-1182','A66-12','F', 'SU')
('AC22517-2022-11-02-1183','A66-13','ykFsL', 'LB')
('AC12058-2022-11-01-1127','A63-11','CaTITbDtTEssHlXA', 'SL')
('AC22517-2022-11-02-1185','A66-15','rqWqTFMDgrF', 'UB')
('AC04652-2022-11-02-1211','A68-5','Zk', 'SL')
('AC04652-2022-11-02-1212','A68-6','exKcX', 'SU')
('AC22517-2022-11-02-1189','A67-1','FjfiJtfNuMjlXLFq', 'LB')
('SL22517-2022-11-02-1185','S50-9','ISIp', 'LB')
('AC04652-2022-11-01-1173','A66-3','MZlwNFtR', 'UB')
('SL12058-2022-11-01-1155','S49-3','gaadFfc', 'UB')
('AC04652-2022-11-02-1216','A68-10','RGhOLngFAVEM', 'UB')
('SL22517-2022-11-01-1191','S50-15','qpcLvFvPJpnJLN', 'SL')
('AC22517-2022-11-02-1193','A67-5','yzEWNEDPyEHkkb', 'SL')
('AC04652-2022-11-01-1177','A66-7','DVoC', 'LB')
('AC22517-2022-11-02-1194','A67-6','JBtHHpzLQfRSocue', 'SU')
('SL22517-2022-11-01-1195','S50-19','lUTcSFEQCa', 'UB')
('SL04652-2022-11-02-1168','S49-16','aSkT', 'SU')
('SL22517-2022-11-01-1196','S50-20','vJTJeT', 'LB')
('AC22517-2022-11-02-1197','A67-9','jqeZzChTuE', 'UB')
('SL04652-2022-11-02-1169','S49-17','gq', 'LB')
('AC22517-2022-11-01-1156','A65-4','cRAC', 'UB')
('AC04652-2022-11-02-1224','A68-18','GqwEfmM', 'SU')
('SL22517-2022-11-01-1200','S50-24','LL', 'SU')
('AC22517-2022-11-02-1198','A67-10','usyYkvOXooqxoPA', 'UB')
('SL22517-2022-11-01-1201','S51-1','iOS', 'LB')
('AC22517-2022-11-02-1199','A67-11','DitP', 'SL')
('AC22517-2022-11-01-1162','A65-10','VmnmSOfeRvDtIj', 'UB')
('SL04652-2022-11-01-1191','S50-15','rLaaVGnht', 'SL')
('AC04652-2022-11-01-1184','A66-14','qtZtHJ', 'LB')
('AC04652-2022-11-02-1229','A69-5','HMHOoCMEmj', 'SL')
('AC04652-2022-11-01-1186','A66-16','YcUtxIVL', 'UB')
('SL04652-2022-11-02-1180','S50-4','xzsbqxIoWjJoJ', 'LB')
('SL22517-2022-11-02-1201','S51-1','iHzWeyuGhrowPidY', 'LB')
('SL12058-2022-11-01-1170','S49-18','afqNt', 'MB')
('AC04652-2022-11-01-1195','A67-7','wOQtMHYAXRmZAYT', 'LB')
('SL12058-2022-11-01-1176','S49-24','OvdG', 'SU')
('AC04652-2022-11-02-1246','A70-4','kzZnqlwklfAd', 'UB')
('SL04652-2022-11-01-1212','S51-12','wqLmsCnBGms', 'LB')
('AC04652-2022-11-02-1253','A70-11','sBicQe', 'SL')
('SL22517-2022-11-01-1225','S52-1','NsmWQfpAhYaMQIXj', 'LB')
('SL12058-2022-11-01-1193','S50-17','rOCjhSqwmvhf', 'LB')
('AC12058-2022-11-01-1230','A69-6','WxYWpqOzYx', 'SU')
('AC22517-2022-11-02-1275','A71-15','HUzUY', 'UB')
('SL04652-2022-11-02-1268','S53-20','HrYPiZsdy', 'LB')
('SL12058-2022-11-01-1248','S52-24','t', 'SU')
('AC12058-2022-11-01-1262','A71-2','LQhaj', 'LB')
('AC12058-2022-11-01-1263','A71-3','rpvAbVuugTtjMV', 'UB')
('SL12058-2022-11-01-1266','S53-18','rbzYMPrisJbgemE', 'MB')
('SL22517-2022-11-01-1321','S56-1','IfX', 'LB')
('SL22517-2022-11-02-1291','S54-19','plfReyrNiGkwQaTQ', 'UB')
('AC22517-2022-11-02-1298','A73-2','WkQumEbv', 'LB')
('SL04652-2022-11-02-1315','S55-19','AvoPgcZgSW', 'UB')
('AC12058-2022-11-01-1279','A72-1','CnkQUzzK', 'LB')
('AC04652-2022-11-02-1345','A75-13','kptDGy', 'LB')
('SL22517-2022-11-02-1304','S55-8','TPVeeO', 'SU')
('SL12058-2022-11-01-1281','S54-9','cKnOEhasFV', 'LB')
('SL22517-2022-11-02-1306','S55-10','PZavKB', 'MB')
('SL04652-2022-11-01-1317','S55-21','r', 'MB')
('SL22517-2022-11-01-1339','S56-19','fLWSetwmLH', 'UB')
('SL22517-2022-11-02-1309','S55-13','pHJmDFWVIFMBXKQY', 'MB')
('AC12058-2022-11-01-1284','A72-6','uRgFtTv', 'SU')
('AC12058-2022-11-01-1285','A72-7','cpLJopdvSPfHBw', 'LB')
('AC04652-2022-11-01-1337','A75-5','bYvt', 'SL')
('AC12058-2022-11-01-1289','A72-11','VwYbBX', 'SL')
('AC22517-2022-11-02-1318','A74-4','TA', 'UB')
('AC22517-2022-11-01-1306','A73-10','LCRdUFOvkzL', 'UB')
('AC04652-2022-11-02-1353','A76-3','aYyLFSTWBDvCPAkn', 'UB')
('AC04652-2022-11-02-1354','A76-4','wDLYd', 'UB')
('AC22517-2022-11-02-1319','A74-5','uzcyTrP', 'SL')
('AC04652-2022-11-01-1372','A77-4','VYaGWY', 'UB')
('SL22517-2022-11-01-1370','S58-2','xZ', 'MB')
('SL04652-2022-11-01-1351','S57-7','IdIXUVEg', 'SL')
('SL04652-2022-11-02-1360','S57-16','DVuz', 'SU')
('SL04652-2022-11-02-1361','S57-17','fjBSAeHH', 'LB')
('AC12058-2022-11-01-1339','A75-7','jrZCwuyxXTQryV', 'LB')
('AC22517-2022-11-02-1343','A75-11','CARaCrhmIuIW', 'SL')
('AC04652-2022-11-02-1389','A78-3','DDDTzIiaUIRSg', 'UB')
('SL12058-2022-11-01-1308','S55-12','WaJkoMMKClqVVE', 'LB')
('SL12058-2022-11-01-1309','S55-13','KSX', 'MB')
('SL04652-2022-11-02-1364','S57-20','OQC', 'LB')
('AC04652-2022-11-02-1392','A78-6','zhFCfrwHLxP', 'SU')
('AC22517-2022-11-01-1340','A75-8','I', 'LB')
('SL22517-2022-11-02-1355','S57-11','efcX', 'UB')
('SL04652-2022-11-02-1375','S58-7','QcBlGBEy', 'SL')
('SL04652-2022-11-02-1376','S58-8','h', 'SU')
('AC22517-2022-11-01-1346','A75-14','ouCDN', 'LB')
('SL12058-2022-11-01-1314','S55-18','JGWLdDpSyjeJIPu', 'MB')
('AC22517-2022-11-01-1353','A76-3','xsyPkyCpDPrD', 'UB')
('SL22517-2022-11-02-1363','S57-19','jLgrbtLWQsRDC', 'UB')
('SL04652-2022-11-02-1409','S59-17','w', 'LB')
('AC22517-2022-11-02-1416','A79-12','HvRpIeC', 'SU')
('AC04652-2022-11-02-1449','A81-9','exZ', 'UB')
('AC22517-2022-11-01-1404','A78-18','Av', 'SU')
('SL12058-2022-11-01-1382','S58-14','nnw', 'UB')
('SL22517-2022-11-02-1417','S60-1','ojMoFHgZXozQwO', 'LB')
('AC04652-2022-11-01-1459','A82-1','KhaRFVD', 'LB')
('SL04652-2022-11-01-1418','S60-2','QXx', 'MB')
('SL22517-2022-11-01-1448','S61-8','VmsQk', 'SU')
('AC04652-2022-11-01-1463','A82-5','CgROxXphHsK', 'SL')
('AC22517-2022-11-01-1416','A79-12','vvlu', 'SU')
('AC22517-2022-11-02-1433','A80-11','RfnQDyeYgbSQfT', 'SL')
('SL04652-2022-11-02-1442','S61-2','DgIiULpAURzL', 'MB')
('SL04652-2022-11-02-1443','S61-3','fybXipIUOTksX', 'UB')
('AC22517-2022-11-01-1419','A79-15','wBQO', 'UB')
('SL22517-2022-11-02-1427','S60-11','ikCoCueBGhESjsj', 'UB')
('SL04652-2022-11-02-1445','S61-5','IHswBDfEWIQkum', 'MB')
('SL04652-2022-11-01-1426','S60-10','wkB', 'MB')
('AC04652-2022-11-02-1463','A82-5','qjfoGnO', 'SL')
('AC04652-2022-11-02-1466','A82-8','AA', 'LB')
('AC22517-2022-11-01-1438','A80-16','fW', 'UB')
('SL12058-2022-11-01-1413','S59-21','Gf', 'MB')
('AC12058-2022-11-01-1440','A80-18','hA', 'SU')
('AC12058-2022-11-01-1443','A81-3','jtHRLkFK', 'UB')
('SL22517-2022-11-02-1451','S61-11','fedZCTFvPVgOoB', 'UB')
('AC04652-2022-11-01-1494','A83-18','ss', 'SU')
('AC22517-2022-11-02-1464','A82-6','kDVPFeJKcJw', 'SU')
('AC04652-2022-11-01-1496','A84-2','KQOHxuvHWUlWA', 'LB')
('SL22517-2022-11-02-1462','S61-22','nUI', 'UB')
('AC22517-2022-11-01-1453','A81-13','Aoe', 'LB')
('SL12058-2022-11-01-1433','S60-17','cCD', 'LB')
('AC12058-2022-11-01-1452','A81-12','ekpoJHs', 'SU')
('AC12058-2022-11-01-1453','A81-13','HWCAytGhztPp', 'LB')
('SL04652-2022-11-02-1479','S62-15','BGtVou', 'SL')
('SL22517-2022-11-02-1469','S62-5','oMwE', 'MB')
('AC22517-2022-11-01-1457','A81-17','JckIpmemVtlrltD', 'SL')
('AC22517-2022-11-02-1479','A83-3','pGNSGAaachVr', 'UB')
('SL04652-2022-11-01-1464','S61-24','Hp', 'SU')
('AC22517-2022-11-01-1469','A82-11','iWGr', 'SL')
('AC04652-2022-11-02-1508','A84-14','TimTNiULIvPlexm', 'LB')
('AC04652-2022-11-02-1509','A84-15','GXMfOXusF', 'UB')
('AC04652-2022-11-02-1511','A84-17','poiXguI', 'SL')
('SL12058-2022-11-01-1448','S61-8','xWm', 'SU')
('AC04652-2022-11-02-1516','A85-4','sHQEUWyVz', 'UB')
('SL04652-2022-11-01-1484','S62-20','iHibauKNtcrw', 'LB')
('SL04652-2022-11-02-1504','S63-16','nBSYh', 'SU')
('SL04652-2022-11-01-1487','S62-23','hVY', 'SL')
('SL12058-2022-11-01-1459','S61-19','DoniOElM', 'UB')
('AC22517-2022-11-02-1500','A84-6','dbwUZPrwCwVQlvj', 'SU')
('AC04652-2022-11-02-1520','A85-8','oujXfITlG', 'LB')
('AC04652-2022-11-02-1521','A85-9','QzGSJwsgmMuX', 'UB')
('SL04652-2022-11-01-1489','S63-1','LZdMsxsTrBqYkQGR', 'LB')
('SL12058-2022-11-01-1468','S62-4','GIHwHYYchq', 'LB')
('SL12058-2022-11-01-1470','S62-6','ImRURkiHMFOEf', 'UB')
('SL04652-2022-11-02-1510','S63-22','ruRmiICfQquH', 'UB')
('AC22517-2022-11-02-1508','A84-14','RuXY', 'LB')
('AC22517-2022-11-01-1496','A84-2','Xtt', 'LB')
('SL22517-2022-11-02-1504','S63-16','FZoKon', 'SU')
('AC04652-2022-11-02-1533','A86-3','YpSzkOjL', 'UB')
('SL04652-2022-11-02-1515','S64-3','kpGgNqvaxBT', 'UB')
('SL04652-2022-11-01-1508','S63-20','ZvozGBDLblusEb', 'LB')
('SL22517-2022-11-02-1576','S66-16','uLmSnmXGTerNXV', 'SU')
('SL12058-2022-11-01-1565','S66-5','eLltr', 'MB')
('SL22517-2022-11-01-1608','S67-24','E', 'SU')
('AC22517-2022-11-01-1600','A89-16','Z', 'UB')
('AC04652-2022-11-02-1620','A90-18','N', 'SU')
('SL04652-2022-11-01-1588','S67-4','p', 'LB')
('SL22517-2022-11-01-1611','S68-3','rFUwWqnNWBShUsG', 'UB')
('SL04652-2022-11-01-1591','S67-7','RnGS', 'SL')
('SL12058-2022-11-01-1569','S66-9','fdRnaCaMH', 'LB')
('AC12058-2022-11-01-1579','A88-13','eeWPsLqldXaDV', 'LB')
('AC22517-2022-11-02-1602','A89-18','hznyWxpTjioDOpR', 'SU')
('SL12058-2022-11-01-1571','S66-11','GewwY', 'UB')
('SL04652-2022-11-01-1594','S67-10','hPmgUg', 'MB')
('AC22517-2022-11-02-1605','A90-3','ciNRQsWwxZP', 'UB')
('AC12058-2022-11-01-1580','A88-14','F', 'LB')
('AC12058-2022-11-01-1581','A88-15','RxDmoPQpxHbiBy', 'UB')
('SL22517-2022-11-01-1619','S68-11','AbPKoilwx', 'UB')
('SL12058-2022-11-01-1577','S66-17','foaMXUCvKMlnTSF', 'LB')
('AC04652-2022-11-01-1644','A92-6','bdn', 'SU')
('AC22517-2022-11-01-1614','A90-12','Uxt', 'SU')
('SL22517-2022-11-01-1631','S68-23','BLsqDf', 'SL')
('AC12058-2022-11-01-1590','A89-6','UprYPUjlrVaBjme', 'SU')
('AC12058-2022-11-01-1591','A89-7','Z', 'LB')
('AC04652-2022-11-02-1631','A91-11','CDnSBbxTwyC', 'SL')
('SL04652-2022-11-02-1606','S67-22','MlqlIevIUXa', 'UB')
('AC04652-2022-11-02-1639','A92-1','nvzm', 'LB')
('SL04652-2022-11-02-1613','S68-5','NZoFcaoSw', 'MB')
('AC22517-2022-11-02-1625','A91-5','ARCsELXIA', 'SL')
('SL12058-2022-11-01-1590','S67-6','rYrjuiUmIiLM', 'UB')
('AC12058-2022-11-01-1605','A90-3','G', 'UB')
('AC12058-2022-11-01-1609','A90-7','Y', 'LB')
('SL22517-2022-11-01-1643','S69-11','lnXhGozzvb', 'UB')
('SL22517-2022-11-02-1618','S68-10','arYtb', 'MB')
('SL04652-2022-11-02-1627','S68-19','EsvYiaMJPUf', 'UB')
('SL04652-2022-11-01-1659','S70-3','DXYpQVDRWwI', 'UB')
('AC12058-2022-11-01-1650','A92-12','XPDMk', 'SU')
('AC04652-2022-11-01-1715','A96-5','Jy', 'SL')
('SL04652-2022-11-02-1669','S70-13','CAqJtu', 'MB')
('AC04652-2022-11-01-1716','A96-6','I', 'SU')
('SL22517-2022-11-02-1659','S70-3','B', 'UB')
('SL12058-2022-11-01-1641','S69-9','XXhsmOGlFbV', 'LB')
('SL04652-2022-11-02-1674','S70-18','cZINmUZaxnlGFdIz', 'MB')
('SL04652-2022-11-02-1675','S70-19','CD', 'UB')
('AC04652-2022-11-01-1725','A96-15','SjYdfFAhpfw', 'UB')
('SL22517-2022-11-01-1687','S71-7','BtOePfbmz', 'SL')
('AC22517-2022-11-02-1676','A94-2','hn', 'LB')
('AC04652-2022-11-01-1735','A97-7','fCk', 'LB')
('SL04652-2022-11-02-1691','S71-11','kQws', 'UB')
('SL22517-2022-11-01-1694','S71-14','Ag', 'UB')
('AC04652-2022-11-01-1806','A101-6','vgSeHXJWzf', 'SU')
('SL22517-2022-11-01-1757','S74-5','t', 'MB')
('SL22517-2022-11-01-1758','S74-6','ENgAJHxEsfThCK', 'UB')
('SL04652-2022-11-02-1756','S74-4','O', 'LB')
('SL04652-2022-11-01-1746','S73-18','HByXCnkclI', 'MB')
('SL04652-2022-11-02-1757','S74-5','JXfzJlaKABbx', 'MB')
('AC04652-2022-11-02-1766','A99-2','lUcUCzrJ', 'LB')
('SL12058-2022-11-01-1717','S72-13','vEEnNqRadtxvi', 'MB')
('AC04652-2022-11-02-1768','A99-4','gkVLUzzHRFJ', 'UB')
('AC04652-2022-11-01-1814','A101-14','lxwyd', 'LB')
('AC04652-2022-11-01-1815','A101-15','nzMAoJMibzwXx', 'UB')
('SL22517-2022-11-02-1735','S73-7','PQfxFyIdmHURBwcZ', 'SL')
('SL04652-2022-11-02-1762','S74-10','fYSIOfvXV', 'MB')
('AC04652-2022-11-02-1774','A99-10','hzOasaTEQDyJEY', 'UB')
('SL04652-2022-11-02-1763','S74-11','yNZYPZwcRzDBCHj', 'UB')
('AC12058-2022-11-01-1736','A97-8','HPsHwJuHEmrubq', 'LB')
('SL22517-2022-11-02-1740','S73-12','oCxH', 'LB')
('AC04652-2022-11-01-1822','A102-4','Wfoy', 'UB')
('AC22517-2022-11-02-1756','A98-10','RnUXqDdoZszA', 'UB')
('AC22517-2022-11-02-1757','A98-11','hlMp', 'SL')
('AC12058-2022-11-01-1739','A97-11','jOcQ', 'SL')
('AC04652-2022-11-02-1785','A100-3','PS', 'UB')
('SL22517-2022-11-01-1774','S74-22','iEEX', 'UB')
('SL22517-2022-11-01-1775','S74-23','xE', 'SL')
('AC12058-2022-11-01-1743','A97-15','vXhfJLFJXJcw', 'UB')
('AC12058-2022-11-01-1744','A97-16','yahqP', 'UB')
('SL12058-2022-11-01-1731','S73-3','fTgeqykvDJERoPD', 'UB')
('SL04652-2022-11-02-1771','S74-19','jBrVCzamcIFFsqXf', 'UB')
('SL22517-2022-11-01-1778','S75-2','UvItF', 'MB')
('AC22517-2022-11-01-1808','A101-8','YESjYeRiBzB', 'LB')
('AC04652-2022-11-01-1834','A102-16','GaWzDuXUxsWSlDRL', 'UB')
('SL22517-2022-11-01-1784','S75-8','UIMeLSp', 'SU')
('AC04652-2022-11-01-1837','A103-1','rtz', 'LB')
('AC04652-2022-11-01-1843','A103-7','sfJhPqdg', 'LB')
('AC22517-2022-11-01-1820','A102-2','yqDBEojdxnGp', 'LB')
('SL04652-2022-11-02-1787','S75-11','uBDRNBV', 'UB')
('AC12058-2022-11-01-1760','A98-14','IMElXdtGpZi', 'LB')
('AC22517-2022-11-02-1775','A99-11','XlGa', 'SL')
('AC22517-2022-11-01-1827','A102-9','UULIU', 'UB')
('AC04652-2022-11-01-1852','A103-16','VnbgU', 'UB')
('AC04652-2022-11-02-1814','A101-14','DeBIacjFJQOCWm', 'LB')
('SL22517-2022-11-01-1803','S76-3','Dr', 'UB')
('AC04652-2022-11-01-1855','A104-1','lJwQDYmGOOxOO', 'LB')
('AC04652-2022-11-01-1856','A104-2','poEyrxabLaJU', 'LB')
('SL22517-2022-11-02-1791','S75-15','F', 'SL')
('SL04652-2022-11-01-1804','S76-4','muIPWuKQCVyPl', 'LB')
('AC22517-2022-11-02-1793','A100-11','d', 'SL')
('AC12058-2022-11-01-1789','A100-7','VeCTGDFB', 'LB')
('SL04652-2022-11-02-1808','S76-8','wNd', 'SU')
('AC22517-2022-11-01-1846','A103-10','OAmG', 'UB')
('SL22517-2022-11-01-1824','S76-24','LEFLK', 'SU')
('SL04652-2022-11-02-1831','S77-7','QCq', 'SL')
('AC22517-2022-11-01-1863','A104-9','wmzHhracE', 'UB')
('SL12058-2022-11-01-1798','S75-22','QFcJwfQGTjCKnAq', 'UB')
('SL04652-2022-11-02-1834','S77-10','jc', 'MB')
('AC12058-2022-11-01-1815','A101-15','TXQGXwWkFk', 'UB')
('SL04652-2022-11-01-1830','S77-6','goOL', 'UB')
('AC22517-2022-11-01-1866','A104-12','XyFLsg', 'SU')
('SL04652-2022-11-02-1836','S77-12','pQI', 'LB')
('SL04652-2022-11-01-1841','S77-17','gXKiXLRsPqskakU', 'LB')
('AC22517-2022-11-02-1834','A102-16','meH', 'UB')
('AC04652-2022-11-01-1916','A107-8','KZsFQrOXF', 'LB')
('SL22517-2022-11-01-1862','S78-14','gDhSvd', 'UB')
('AC22517-2022-11-01-1889','A105-17','QcIXELmtZJpXj', 'SL')
('AC22517-2022-11-01-1890','A105-18','CHgZNjXUnvT', 'SU')
('AC12058-2022-11-01-1842','A103-6','kdu', 'SU')
('AC04652-2022-11-02-1864','A104-10','AsVtdI', 'UB')
('SL04652-2022-11-02-1862','S78-14','kkCrEslDwXjWZd', 'UB')
('AC22517-2022-11-01-1896','A106-6','zV', 'SU')
('AC04652-2022-11-01-1927','A108-1','BjzIluffLUDiQx', 'LB')
('AC04652-2022-11-01-1929','A108-3','MsaUnSinxkczd', 'UB')
('AC22517-2022-11-01-1900','A106-10','tZkYHFadVVue', 'UB')
('AC12058-2022-11-01-1847','A103-11','sQFqXs', 'SL')
('AC12058-2022-11-01-1849','A103-13','LdHxeGDfiT', 'LB')
('AC22517-2022-11-01-1904','A106-14','uvBeFpVAMGuaMtF', 'LB')
('SL04652-2022-11-02-1871','S78-23','tFnEnttgskmv', 'SL')
('SL04652-2022-11-01-1857','S78-9','bFGm', 'LB')
