('SL04652-2022-11-02-3','S1-3','sTLPh', 'UB')
('AC12058-2022-11-01-1387','A78-1','BtCIAZXmXdBEmKP', 'LB')
('AC22517-2022-11-02-1412','A79-8','tQSr', 'LB')
('AC22517-2022-11-01-1366','A76-16','cdsb', 'UB')
('SL22517-2022-11-02-1418','S60-2','ETfppxCaTB', 'MB')
('SL22517-2022-11-02-1420','S60-4','jtlFnEKsQwpD', 'LB')
('AC04652-2022-11-01-1411','A79-7','UBXht', 'LB')
('SL12058-2022-11-01-1374','S58-6','spfbzb', 'UB')
('SL12058-2022-11-01-1376','S58-8','qCyFdmRrjOZP', 'SU')
('AC04652-2022-11-01-1416','A79-12','K', 'SU')
('SL22517-2022-11-02-1438','S60-22','gCcj', 'UB')
('AC04652-2022-11-01-1424','A80-2','dlFDyEVH', 'LB')
('AC22517-2022-11-01-1386','A77-18','pCNhZcDLFN', 'SU')
('AC04652-2022-11-01-1425','A80-3','vGdvIX', 'UB')
('AC22517-2022-11-02-1433','A80-11','udnVQdMUwXoOd', 'SL')
('SL04652-2022-11-02-1379','S58-11','BlqxkUc', 'UB')
('SL04652-2022-11-01-1414','S59-22','AxxrUyNM', 'UB')
('AC22517-2022-11-01-1401','A78-15','PwSadeTJhrJ', 'UB')
('AC22517-2022-11-01-1404','A78-18','W', 'SU')
('AC22517-2022-11-02-1449','A81-9','wVEFFWNDW', 'UB')
('AC22517-2022-11-01-1408','A79-4','dfHnvavfimhoxu', 'UB')
('SL04652-2022-11-01-1430','S60-14','uBhIKBRqM', 'UB')
('SL22517-2022-11-01-1416','S59-24','KSBDzfRdKw', 'SU')
('SL04652-2022-11-01-1431','S60-15','zcWbwaPMX', 'SL')
('SL04652-2022-11-01-1432','S60-16','lIUQ', 'SU')
('AC12058-2022-11-01-1440','A80-18','FeAApFEbtXt', 'SU')
('SL22517-2022-11-01-1422','S60-6','czyBdwHqoOTStEzv', 'UB')
('SL04652-2022-11-02-1409','S59-17','QgtMhzWlN', 'LB')
('SL04652-2022-11-01-1441','S61-1','eJMlCx', 'LB')
('AC04652-2022-11-02-1399','A78-13','UAdgcH', 'LB')
('AC22517-2022-11-01-1418','A79-14','pRFYf', 'LB')
('AC04652-2022-11-01-1460','A82-2','Wtoyw', 'LB')
('AC04652-2022-11-01-1485','A83-9','INSejAQjImt', 'UB')
('SL22517-2022-11-02-1494','S63-6','sMUXpJeyfEYP', 'UB')
('SL12058-2022-11-01-1434','S60-18','fHcYGIrju', 'MB')
('AC04652-2022-11-01-1490','A83-14','beojzFU', 'LB')
('SL12058-2022-11-01-1436','S60-20','cSDhEDgU', 'LB')
('SL22517-2022-11-02-1522','S64-10','g', 'MB')
('SL22517-2022-11-01-1462','S61-22','Pysl', 'UB')
('SL12058-2022-11-01-1446','S61-6','YqOmkSkQTzEMR', 'UB')
('AC04652-2022-11-02-1439','A80-17','zzUmHgTZGTPEkeRx', 'SL')
('SL22517-2022-11-01-1464','S61-24','jQVtstkcpakShsZ', 'SU')
('SL22517-2022-11-02-1527','S64-15','xlDR', 'SL')
('SL22517-2022-11-01-1466','S62-2','yWQEiskXo', 'MB')
('SL22517-2022-11-02-1529','S64-17','afFxz', 'LB')
('AC22517-2022-11-01-1454','A81-14','VuuqnnfAGYdGL', 'LB')
('AC04652-2022-11-02-1444','A81-4','HKqDqVNaAcpmPt', 'UB')
('SL22517-2022-11-02-1530','S64-18','JUOIgGDUgvxw', 'MB')
('SL22517-2022-11-02-1531','S64-19','rJrjghYxyx', 'UB')
('AC22517-2022-11-02-1521','A85-9','i', 'UB')
('SL12058-2022-11-01-1452','S61-12','tnMluFsuzSIEhLo', 'LB')
('AC04652-2022-11-02-1451','A81-11','QTjwCBgXwgyDo', 'SL')
('AC12058-2022-11-01-1498','A84-4','FddTZRsYpJYlCSnT', 'UB')
('SL12058-2022-11-01-1454','S61-14','IHOSwuMtaXUNSSA', 'UB')
('AC04652-2022-11-02-1454','A81-14','aJNliSMFxat', 'LB')
('SL12058-2022-11-01-1456','S61-16','Vgbrf', 'SU')
('SL04652-2022-11-02-1469','S62-5','MicKJKoAy', 'MB')
('SL22517-2022-11-01-1479','S62-15','ObxvmrhHbBi', 'SL')
('AC22517-2022-11-01-1460','A82-2','noiQ', 'LB')
('AC22517-2022-11-01-1461','A82-3','xTUpWsQFKYca', 'UB')
('AC04652-2022-11-02-1458','A81-18','aFRQMs', 'SU')
('AC04652-2022-11-01-1519','A85-7','xBjnRlHyXzQc', 'LB')
('SL22517-2022-11-01-1484','S62-20','PCSvsnhNOdrpYpWQ', 'LB')
('SL12058-2022-11-01-1463','S61-23','zlnR', 'SL')
('AC22517-2022-11-01-1465','A82-7','xA', 'LB')
('AC22517-2022-11-01-1468','A82-10','LeCSyvMsijybi', 'UB')
('AC12058-2022-11-01-1520','A85-8','RnbWOpMghs', 'LB')
('AC22517-2022-11-01-1474','A82-16','jxvJ', 'UB')
('AC22517-2022-11-02-1553','A87-5','oPTRXX', 'SL')
('AC22517-2022-11-02-1554','A87-6','NZpkOPHhFVm', 'SU')
('SL22517-2022-11-02-1563','S66-3','bxEPwXWqbiTOcDLo', 'UB')
('AC04652-2022-11-02-1477','A83-1','Eacc', 'LB')
('SL22517-2022-11-01-1510','S63-22','mDdqsEqntN', 'UB')
('SL12058-2022-11-01-1494','S63-6','HKzetrGvWJv', 'UB')
('AC12058-2022-11-01-1533','A86-3','x', 'UB')
('AC22517-2022-11-02-1561','A87-13','MeAUNn', 'LB')
('SL04652-2022-11-01-1531','S64-19','MgovckBO', 'UB')
('AC12058-2022-11-01-1537','A86-7','YkRlU', 'LB')
('AC04652-2022-11-01-1619','A90-17','WkN', 'SL')
('SL04652-2022-11-02-1567','S66-7','RI', 'SL')
('SL22517-2022-11-01-1587','S67-3','x', 'UB')
('SL04652-2022-11-01-1601','S67-17','F', 'LB')
('AC22517-2022-11-01-1541','A86-11','ZfGfPEBzS', 'SL')
('AC04652-2022-11-01-1629','A91-9','EGiCIYrtQ', 'UB')
('SL22517-2022-11-02-1638','S69-6','oEP', 'UB')
('SL22517-2022-11-02-1639','S69-7','sRr', 'SL')
('AC04652-2022-11-02-1548','A86-18','awnDtHrIduvpOeI', 'SU')
('SL04652-2022-11-01-1611','S68-3','EcinBPlfwSnJN', 'UB')
('SL04652-2022-11-01-1616','S68-8','KbzJLVaDIfiiTKal', 'SU')
('SL12058-2022-11-01-1596','S67-12','dAzLBxylybD', 'LB')
('SL22517-2022-11-02-1647','S69-15','iIWexOHTrCcS', 'SL')
('SL04652-2022-11-02-1579','S66-19','LHyNdqw', 'UB')
('SL22517-2022-11-02-1648','S69-16','bzYucxldhy', 'SU')
('AC22517-2022-11-02-1635','A91-15','hgXLKuedhXyd', 'UB')
('AC22517-2022-11-01-1563','A87-15','Htrrb', 'UB')
('SL04652-2022-11-02-1583','S66-23','dijasgADePNDLI', 'SL')
('SL22517-2022-11-01-1615','S68-7','uDXrsVISCLtt', 'SL')
('AC22517-2022-11-02-1657','A93-1','wGC', 'LB')
('SL04652-2022-11-01-1644','S69-12','qjNfSUHVxa', 'LB')
('SL04652-2022-11-02-1612','S68-4','HUBnUXOBdFoA', 'LB')
('SL12058-2022-11-01-1624','S68-16','UeFBbrauu', 'SU')
('AC04652-2022-11-01-1674','A93-18','JGldalaLGi', 'SU')
('AC22517-2022-11-01-1586','A89-2','qHmrUBqqdjvke', 'LB')
('SL22517-2022-11-02-1679','S70-23','JtzYSG', 'SL')
('AC12058-2022-11-01-1646','A92-8','pQuraaFTCjPtn', 'LB')
('AC22517-2022-11-01-1588','A89-4','WI', 'UB')
('SL04652-2022-11-01-1649','S69-17','yAwOKpWbrETkFG', 'LB')
('SL22517-2022-11-01-1647','S69-15','nArYHHAiLKkYS', 'SL')
('AC12058-2022-11-01-1660','A93-4','UwEjjHRHR', 'UB')
('SL22517-2022-11-02-1692','S71-12','pzMaGHUmbnQVrbJ', 'LB')
('SL22517-2022-11-01-1652','S69-20','Wk', 'LB')
('SL22517-2022-11-01-1653','S69-21','NM', 'MB')
('AC12058-2022-11-01-1662','A93-6','IU', 'SU')
('SL22517-2022-11-02-1697','S71-17','CzVqpuYNc', 'LB')
('AC22517-2022-11-02-1687','A94-13','dYQLsKW', 'LB')
('AC04652-2022-11-02-1606','A90-4','P', 'UB')
('AC12058-2022-11-01-1671','A93-15','dDJTyqtAkxLdgxk', 'UB')
('SL04652-2022-11-02-1636','S69-4','l', 'LB')
('SL22517-2022-11-01-1665','S70-9','eBUwIDMHrUR', 'LB')
('AC04652-2022-11-01-1709','A95-17','KAVVDYXxZYittd', 'SL')
('AC22517-2022-11-01-1623','A91-3','YghpEEGY', 'UB')
('SL04652-2022-11-01-1676','S70-20','bIqdj', 'LB')
('AC12058-2022-11-01-1682','A94-8','EH', 'LB')
('SL22517-2022-11-02-1725','S72-21','lfUSkwCyFxBuNQ', 'MB')
('SL04652-2022-11-01-1677','S70-21','jGPoJ', 'MB')
('SL04652-2022-11-02-1655','S69-23','V', 'SL')
('AC22517-2022-11-02-1723','A96-13','rQoSmavC', 'LB')
('SL04652-2022-11-01-1683','S71-3','eOXMujKGgjH', 'UB')
('AC22517-2022-11-01-1636','A91-16','qwG', 'UB')
('AC12058-2022-11-01-1691','A94-17','puDeoGJjUTr', 'SL')
('AC12058-2022-11-01-1692','A94-18','DRpYYYGsVo', 'SU')
('SL04652-2022-11-02-1695','S71-15','ewZLEwzbCIIdakRk', 'SL')
('SL12058-2022-11-01-1697','S71-17','HNGeyzkCSaWB', 'LB')
('SL22517-2022-11-01-1732','S73-4','EfyUHKORKIkkbD', 'LB')
('AC22517-2022-11-01-1670','A93-14','facFdJfvZbAET', 'LB')
('SL12058-2022-11-01-1705','S72-1','uLBNvVlvzFoxOlTq', 'LB')
('SL22517-2022-11-02-1753','S74-1','KfDBjcxHdWcD', 'LB')
('AC22517-2022-11-01-1673','A93-17','NhDYnFONfYQDoHZ', 'SL')
('SL04652-2022-11-01-1724','S72-20','rGBJjD', 'LB')
('AC22517-2022-11-01-1674','A93-18','DkIerQmb', 'SU')
('AC22517-2022-11-02-1773','A99-9','iHXYmuvfdlamAj', 'UB')
('AC12058-2022-11-01-1725','A96-15','shcPd', 'UB')
('SL22517-2022-11-01-1742','S73-14','QUVJzybAkKAf', 'UB')
('AC22517-2022-11-02-1798','A100-16','eTiuw', 'UB')
('AC12058-2022-11-01-1750','A98-4','aXskUoArc', 'UB')
('AC22517-2022-11-01-1699','A95-7','vlzrKcxhffsaKG', 'LB')
('AC04652-2022-11-01-1843','A103-7','lQIdUpwJqYNlrpL', 'LB')
('SL22517-2022-11-01-1817','S76-17','ItxGxWzlp', 'LB')
('SL04652-2022-11-01-1774','S74-22','ugwRG', 'UB')
('AC04652-2022-11-02-1725','A96-15','BmUOHwQdUf', 'UB')
('AC04652-2022-11-01-1847','A103-11','k', 'SL')
('AC22517-2022-11-02-1832','A102-14','GhTlADRhFyxagEyX', 'LB')
('AC04652-2022-11-01-1850','A103-14','gdcbydxkOWK', 'LB')
('SL22517-2022-11-02-1823','S76-23','yJYBVcpPZqXLUe', 'SL')
('SL04652-2022-11-01-1783','S75-7','GOCfm', 'SL')
('AC04652-2022-11-01-1856','A104-2','tTMEWbuvrQoK', 'LB')
('AC04652-2022-11-01-1857','A104-3','FaipK', 'UB')
('SL22517-2022-11-01-1830','S77-6','AClrT', 'UB')
('SL22517-2022-11-01-1831','S77-7','eI', 'SL')
('AC12058-2022-11-01-1808','A101-8','f', 'LB')
('AC22517-2022-11-02-1845','A103-9','RfaExgSXkhTVhYSM', 'UB')
('AC22517-2022-11-02-1846','A103-10','PCCPwuda', 'UB')
('AC04652-2022-11-02-1741','A97-13','i', 'LB')
('SL04652-2022-11-01-1796','S75-20','adeimMB', 'LB')
('AC22517-2022-11-02-1848','A103-12','trIvilLAUryoe', 'SU')
('AC04652-2022-11-02-1744','A97-16','NtvMvFRaFY', 'UB')
('SL22517-2022-11-01-1842','S77-18','MeyjFykvHlJxsCu', 'MB')
('SL22517-2022-11-02-1844','S77-20','jlKlhKaSo', 'LB')
('SL12058-2022-11-01-1804','S76-4','nDtEfLPiAm', 'LB')
('AC04652-2022-11-02-1756','A98-10','SuIONBcddaIFTZsw', 'UB')
('SL04652-2022-11-02-1796','S75-20','vnQZTJrC', 'LB')
('AC12058-2022-11-01-1821','A102-3','aSOToKdXRSCM', 'UB')
('AC12058-2022-11-01-1822','A102-4','AB', 'UB')
('AC12058-2022-11-01-1824','A102-6','ZOnLZZ', 'SU')
('AC22517-2022-11-02-1859','A104-5','AVpC', 'SL')
('AC04652-2022-11-02-1761','A98-15','ljnB', 'UB')
('AC12058-2022-11-01-1832','A102-14','zclQacyPYDRWSbLo', 'LB')
('AC22517-2022-11-01-1765','A99-1','H', 'LB')
('AC12058-2022-11-01-1836','A102-18','HjfWnFBOUeMmND', 'SU')
('AC22517-2022-11-02-1867','A104-13','xRLkWKeYItKAc', 'LB')
('SL04652-2022-11-01-1821','S76-21','mzQsizRej', 'MB')
('AC22517-2022-11-02-1951','A109-7','gQmtxpwdquKQBvsI', 'LB')
('SL12058-2022-11-01-1885','S79-13','EFeLDjuL', 'MB')
('SL12058-2022-11-01-1886','S79-14','Hws', 'UB')
('AC12058-2022-11-01-1923','A107-15','jzSBuB', 'UB')
('SL04652-2022-11-02-1918','S80-22','XqVNlFCxJuXPaGv', 'UB')
('SL12058-2022-11-01-1925','S81-5','aGNNRjslx', 'MB')
('SL22517-2022-11-02-1992','S83-24','RiJAqfw', 'SU')
('SL12058-2022-11-01-1930','S81-10','Irjt', 'MB')
('SL22517-2022-11-01-1986','S83-18','RE', 'MB')
('SL04652-2022-11-02-1927','S81-7','mgdcdwXwuHPiy', 'SL')
('AC04652-2022-11-02-1901','A106-11','iDSTp', 'SL')
('SL22517-2022-11-02-2004','S84-12','HKrEac', 'LB')
('SL22517-2022-11-01-1995','S84-3','RnMxZBkEpaN', 'UB')
('SL04652-2022-11-01-1998','S84-6','n', 'UB')
('SL22517-2022-11-02-2009','S84-17','k', 'LB')
('SL04652-2022-11-01-2001','S84-9','De', 'LB')
('AC04652-2022-11-02-1914','A107-6','Xf', 'SU')
('SL04652-2022-11-02-1945','S82-1','UoMXUOBVczFs', 'LB')
('SL22517-2022-11-01-2000','S84-8','DI', 'SU')
('AC04652-2022-11-01-2017','A113-1','my', 'LB')
('AC12058-2022-11-01-2032','A113-16','dy', 'UB')
('SL04652-2022-11-01-2065','S87-1','uPWfUdg', 'LB')
('SL04652-2022-11-01-2069','S87-5','doTVV', 'MB')
('AC22517-2022-11-02-2085','A116-15','C', 'UB')
('SL12058-2022-11-01-2025','S85-9','yKgcmhBWjNmstoo', 'LB')
('SL12058-2022-11-01-2027','S85-11','NJpfan', 'UB')
('AC04652-2022-11-02-1987','A111-7','JHbVh', 'LB')
('AC12058-2022-11-01-2054','A115-2','dtwIvSwrv', 'LB')
('SL22517-2022-11-02-2073','S87-9','hbFJrDDjhhQqn', 'LB')
('AC04652-2022-11-01-2091','A117-3','WC', 'UB')
('SL12058-2022-11-01-2046','S86-6','EMZYJv', 'UB')
('SL04652-2022-11-01-2095','S88-7','mPrFUelKsTfMnTZ', 'SL')
('AC22517-2022-11-02-2101','A117-13','qpgcQlIBtyW', 'LB')
('AC22517-2022-11-02-2102','A117-14','pmpYkKeEAb', 'LB')
('SL22517-2022-11-01-2076','S87-12','pljJDYcbtOi', 'LB')
('SL04652-2022-11-02-2034','S85-18','VVytKFDtkTt', 'MB')
('AC22517-2022-11-01-2000','A112-2','hXERl', 'LB')
('SL22517-2022-11-01-2078','S87-14','HZnl', 'UB')
('AC12058-2022-11-01-2073','A116-3','DpVvZnbIJ', 'UB')
('SL12058-2022-11-01-2054','S86-14','nTDBZSmJqEgCaQxI', 'UB')
('AC12058-2022-11-01-2075','A116-5','fZbKrCTY', 'SL')
('SL22517-2022-11-02-2095','S88-7','ReODDU', 'SL')
('AC04652-2022-11-02-2022','A113-6','DvGS', 'SU')
('AC22517-2022-11-01-2004','A112-6','Eni', 'SU')
('SL22517-2022-11-01-2087','S87-23','ZQOxruWCKGSjFp', 'SL')
('SL04652-2022-11-02-2049','S86-9','Ajf', 'LB')
('SL22517-2022-11-01-2089','S88-1','KybAwMJhfZWfn', 'LB')
('AC22517-2022-11-02-2119','A118-13','UZmmUzYrxd', 'LB')
('AC22517-2022-11-02-2121','A118-15','ySonHrhlc', 'UB')
('SL12058-2022-11-01-2059','S86-19','MgiYKC', 'UB')
('AC04652-2022-11-02-2029','A113-13','cdvcW', 'LB')
('AC04652-2022-11-02-2037','A114-3','pmEpYdOJ', 'UB')
('AC04652-2022-11-01-2128','A119-4','eJhki', 'UB')
('SL22517-2022-11-01-2109','S88-21','aisBvXKh', 'MB')
('SL12058-2022-11-01-2081','S87-17','jbV', 'LB')
('SL04652-2022-11-02-2073','S87-9','oOGD', 'LB')
('AC04652-2022-11-02-2045','A114-11','kcoNN', 'SL')
('SL12058-2022-11-01-2088','S87-24','nKr', 'SU')
('SL22517-2022-11-01-2117','S89-5','aAu', 'MB')
('SL12058-2022-11-01-2090','S88-2','iPdJygUNYo', 'MB')
('SL04652-2022-11-01-2131','S89-19','HKoKZXQOzv', 'UB')
('AC04652-2022-11-01-2149','A120-7','yVdjmDuaOTG', 'LB')
('SL12058-2022-11-01-2094','S88-6','PdazCOG', 'UB')
('SL22517-2022-11-01-2125','S89-13','Ezqlw', 'MB')
('AC22517-2022-11-01-2044','A114-10','AWZVShjsGqjotMHT', 'UB')
('SL22517-2022-11-01-2129','S89-17','jXrRXkpz', 'LB')
('AC22517-2022-11-01-2047','A114-13','dAor', 'LB')
('AC04652-2022-11-01-2160','A120-18','kMYedxXLXBfUteum', 'SU')
('SL22517-2022-11-02-2143','S90-7','HJCVxkjWEAmsXb', 'SL')
('AC22517-2022-11-02-2147','A120-5','yVfgJGCg', 'SL')
('SL22517-2022-11-02-2145','S90-9','WuWAIcLDNhodL', 'LB')
('AC04652-2022-11-02-2074','A116-4','mforLPyWmxN', 'UB')
('SL22517-2022-11-02-2154','S90-18','PzHrGdbso', 'MB')
('SL04652-2022-11-02-2111','S88-23','NLRzkzr', 'SL')
('AC22517-2022-11-02-2163','A121-3','JPpsAsw', 'UB')
('AC22517-2022-11-02-2164','A121-4','dsThsZmsPRjjZi', 'UB')
('AC04652-2022-11-01-2181','A122-3','tvfNkXN', 'UB')
('AC04652-2022-11-02-2083','A116-13','JEwtVdJdgv', 'LB')
('AC04652-2022-11-01-2188','A122-10','SLThmeoIuhZURyPA', 'UB')
('AC12058-2022-11-01-2127','A119-3','QXikuBzhVjH', 'UB')
('AC04652-2022-11-01-2194','A122-16','MEHrRx', 'UB')
('AC22517-2022-11-02-2181','A122-3','VJzPktOLqmgGIHF', 'UB')
('SL22517-2022-11-01-2193','S92-9','lacGBjULyvrmn', 'LB')
('AC12058-2022-11-01-2167','A121-7','srxvS', 'LB')
('AC12058-2022-11-01-2175','A121-15','gMBkS', 'UB')
('AC04652-2022-11-02-2134','A119-10','sWmZMe', 'UB')
('AC04652-2022-11-01-2232','A124-18','qEZUnkapyK', 'SU')
('AC22517-2022-11-01-2117','A118-11','cbkYCpwJyPzRcxM', 'SL')
('AC12058-2022-11-01-2179','A122-1','NiVxnURWektE', 'LB')
('AC12058-2022-11-01-2180','A122-2','EatvFdpnnLfE', 'LB')
('SL22517-2022-11-02-2206','S92-22','TSqM', 'UB')
('AC22517-2022-11-01-2118','A118-12','SEqT', 'SU')
('AC04652-2022-11-01-2237','A125-5','Rz', 'SL')
('SL12058-2022-11-01-2178','S91-18','kKC', 'MB')
('SL22517-2022-11-02-2211','S93-3','Mzh', 'UB')
('SL22517-2022-11-01-2213','S93-5','ebmcYXsalXf', 'MB')
('AC04652-2022-11-02-2155','A120-13','txZhCLKpYFwN', 'LB')
('AC22517-2022-11-01-2145','A120-3','bBoRebSRh', 'UB')
('SL22517-2022-11-01-2239','S94-7','nbtdPNvW', 'SL')
('SL22517-2022-11-02-2251','S94-19','VbCJhT', 'UB')
('AC04652-2022-11-01-2275','A127-7','sLXQbLIlzQm', 'LB')
('AC12058-2022-11-01-2219','A124-5','NfALkpflWWG', 'SL')
('SL22517-2022-11-02-2258','S95-2','qCsAmnlspF', 'MB')
('SL04652-2022-11-02-2225','S93-17','NP', 'LB')
('AC22517-2022-11-01-2165','A121-5','DcFZnARdSRGZZb', 'SL')
('AC04652-2022-11-02-2177','A121-17','M', 'SL')
('SL22517-2022-11-01-2262','S95-6','ZEQKiXqVEojJ', 'UB')
('AC04652-2022-11-01-2295','A128-9','cPoG', 'UB')
('AC22517-2022-11-02-2281','A127-13','Wmlm', 'LB')
('SL04652-2022-11-01-2272','S95-16','Tn', 'SU')
('AC04652-2022-11-01-2296','A128-10','nh', 'UB')
('SL22517-2022-11-02-2277','S95-21','qzAEAOWZcjgFy', 'MB')
('AC22517-2022-11-02-2284','A127-16','nwFCjlaQY', 'UB')
('SL04652-2022-11-01-2293','S96-13','tLMuZrGt', 'MB')
('SL04652-2022-11-01-2297','S96-17','xVlybYY', 'LB')
('AC12058-2022-11-01-2294','A128-8','BRBz', 'LB')
('SL12058-2022-11-01-2287','S96-7','CVoWT', 'SL')
('AC22517-2022-11-02-2332','A130-10','sLRInmW', 'UB')
('SL22517-2022-11-02-2323','S97-19','s', 'UB')
('SL04652-2022-11-02-2290','S96-10','FbracFKoiBCsLkOx', 'MB')
('AC04652-2022-11-01-2349','A131-9','gdGmt', 'UB')
('SL22517-2022-11-01-2320','S97-16','mvSHyElkZBgpmlzZ', 'SU')
('AC04652-2022-11-01-2353','A131-13','vwJGjVPlGELIf', 'LB')
('SL22517-2022-11-02-2329','S98-1','czieraycYg', 'LB')
('AC04652-2022-11-02-2257','A126-7','vnArBFXQpB', 'LB')
('AC22517-2022-11-01-2231','A124-17','jvBXEkoud', 'SL')
('SL22517-2022-11-01-2326','S97-22','ArWBMNjxNw', 'UB')
('AC12058-2022-11-01-2311','A129-7','Yxbs', 'LB')
('SL04652-2022-11-02-2303','S96-23','pMamjZbVxmLtLk', 'SL')
('SL22517-2022-11-02-2335','S98-7','sBZIRiWIg', 'SL')
('AC22517-2022-11-02-2348','A131-8','GSRzkxXaXUmBFgF', 'LB')
('AC22517-2022-11-02-2349','A131-9','Yv', 'UB')
('SL04652-2022-11-01-2336','S98-8','E', 'SU')
('SL04652-2022-11-02-2307','S97-3','lIisEpbUrEGtI', 'UB')
('AC04652-2022-11-02-2270','A127-2','HpYmNupCJ', 'LB')
('SL22517-2022-11-01-2336','S98-8','tdFHQXHTaZFQ', 'SU')
('AC22517-2022-11-01-2243','A125-11','FIktVMYtqXgJN', 'SL')
('SL04652-2022-11-01-2343','S98-15','s', 'SL')
('AC12058-2022-11-01-2322','A129-18','ZCjmhPELdYG', 'SU')
('AC22517-2022-11-01-2246','A125-14','ODlniLx', 'LB')
('SL12058-2022-11-01-2320','S97-16','QyKaO', 'SU')
('AC04652-2022-11-01-2380','A133-4','aJlDdtb', 'UB')
('AC04652-2022-11-01-2381','A133-5','PZc', 'SL')
('AC04652-2022-11-01-2382','A133-6','AdCRPUKIcAZlpZ', 'SU')
('AC04652-2022-11-02-2288','A128-2','KSfpR', 'LB')
('SL22517-2022-11-02-2354','S99-2','CEAxsAbRxHwVY', 'MB')
('AC04652-2022-11-01-2388','A133-12','TCXxmXMHRdWOGfI', 'SU')
('SL04652-2022-11-02-2330','S98-2','NsRSBZf', 'MB')
('AC22517-2022-11-02-2374','A132-16','edgKiMuVuNVyfN', 'UB')
('SL12058-2022-11-01-2336','S98-8','cSgYNxlB', 'SU')
('SL22517-2022-11-01-2366','S99-14','pe', 'UB')
('SL04652-2022-11-01-2372','S99-20','kouGQ', 'LB')
('SL12058-2022-11-01-2348','S98-20','RYHCkPgmM', 'LB')
('SL22517-2022-11-02-2371','S99-19','nS', 'UB')
('SL12058-2022-11-01-2349','S98-21','Ia', 'MB')
('SL22517-2022-11-01-2372','S99-20','mtwOGBNZwdni', 'LB')
('AC22517-2022-11-02-2382','A133-6','OiupZMKzWdyhiXw', 'SU')
('SL04652-2022-11-02-2343','S98-15','qySgg', 'SL')
('AC22517-2022-11-01-2276','A127-8','rGxTJrjlfZXaRRmh', 'LB')
('SL22517-2022-11-02-2375','S99-23','qkxzRWbJZrFrIBVh', 'SL')
('AC04652-2022-11-02-2312','A129-8','QikztKz', 'LB')
('AC12058-2022-11-01-2359','A132-1','nT', 'LB')
('SL04652-2022-11-01-2381','S100-5','jjgE', 'MB')
('AC22517-2022-11-02-2383','A133-7','CyehkV', 'LB')
('SL04652-2022-11-01-2383','S100-7','xKVBshJONYAZ', 'SL')
('AC04652-2022-11-02-2317','A129-13','w', 'LB')
('AC22517-2022-11-02-2384','A133-8','ytZxFqkdzPA', 'LB')
('AC04652-2022-11-01-2401','A134-7','TOleusQRHf', 'LB')
('SL04652-2022-11-02-2346','S98-18','y', 'MB')
('SL04652-2022-11-02-2347','S98-19','iXiAztfhljW', 'UB')
('SL22517-2022-11-02-2385','S100-9','wXVVJnHss', 'LB')
('AC22517-2022-11-01-2282','A127-14','GehgxIvCLLJox', 'LB')
('AC04652-2022-11-02-2318','A129-14','vEsbBmtRCQLVf', 'LB')
('SL04652-2022-11-02-2352','S98-24','Xbez', 'SU')
('AC04652-2022-11-01-2411','A134-17','IgsFks', 'SL')
('SL04652-2022-11-02-2363','S99-11','k', 'UB')
('AC22517-2022-11-01-2291','A128-5','FrH', 'SL')
('SL22517-2022-11-01-2395','S100-19','cXIQsVbVwOlNBa', 'UB')
('AC22517-2022-11-02-2402','A134-8','XsmAQwkklBsVtWg', 'LB')
('AC22517-2022-11-01-2295','A128-9','NKus', 'UB')
('AC12058-2022-11-01-2377','A133-1','UCzwPyBxky', 'LB')
('AC22517-2022-11-01-2297','A128-11','cVou', 'SL')
('AC04652-2022-11-01-2425','A135-13','zzVQiIOW', 'LB')
('AC22517-2022-11-01-2301','A128-15','SuEFJhClgQWjAUBl', 'UB')
('AC04652-2022-11-01-2430','A135-18','dmW', 'SU')
('SL22517-2022-11-02-2407','S101-7','Tes', 'SL')
('SL04652-2022-11-01-2404','S101-4','bbnkPqSHXqaXvHN', 'LB')
('AC22517-2022-11-02-2417','A135-5','ft', 'SL')
('AC04652-2022-11-02-2344','A131-4','nVwnKgpYBZZ', 'UB')
('SL22517-2022-11-01-2404','S101-4','uKzZBLtKjmLiwhy', 'LB')
('AC22517-2022-11-01-2312','A129-8','goyZgfnTVtjWNSyy', 'LB')
('SL12058-2022-11-01-2386','S100-10','dwONHGgCRksDO', 'MB')
('SL22517-2022-11-01-2409','S101-9','jBzsvNgouxUkXOCW', 'LB')
('SL04652-2022-11-01-2417','S101-17','pBveAgtuXObbCSxN', 'LB')
('AC22517-2022-11-02-2433','A136-3','nqIkahRCDF', 'UB')
('SL22517-2022-11-02-2427','S102-3','KVKLt', 'UB')
('SL04652-2022-11-01-2421','S101-21','QdEPjHjlRkzzWwJa', 'MB')
('AC12058-2022-11-01-2404','A134-10','onXfYFcYYlbOuAk', 'UB')
('SL22517-2022-11-01-2425','S102-1','JlRZqrZaJTjOhZmL', 'LB')
('AC22517-2022-11-01-2333','A130-11','uQhrcy', 'SL')
('SL12058-2022-11-01-2396','S100-20','dQCabiNc', 'LB')
('AC12058-2022-11-01-2408','A134-14','MmgopqZmF', 'LB')
('SL22517-2022-11-01-2429','S102-5','zokWXUOVXnHiIr', 'MB')
('AC12058-2022-11-01-2410','A134-16','qHKvMBmWYWj', 'UB')
('AC04652-2022-11-02-2374','A132-16','xKqGIbuIkkwmX', 'UB')
('SL22517-2022-11-02-2440','S102-16','pLywFPywLayQX', 'SU')
