('AC22517-2022-11-02-10','A1-10','Hc', 'UB')
('AC04652-2022-11-01-1358','A76-8','ewGXjlyJv', 'LB')
('AC04652-2022-11-02-1326','A74-12','QzOi', 'SU')
('AC22517-2022-11-01-1317','A74-3','Bqd', 'UB')
('AC22517-2022-11-02-1381','A77-13','kiRxxJzDqylnxVI', 'LB')
('SL22517-2022-11-02-1391','S58-23','AlxhQ', 'SL')
('AC22517-2022-11-01-1354','A76-4','SDsuU', 'UB')
('SL22517-2022-11-01-1371','S58-3','YcC', 'UB')
('AC04652-2022-11-01-1401','A78-15','dPUQKJ', 'UB')
('SL04652-2022-11-01-1379','S58-11','ehCfpgiFdz', 'UB')
('AC04652-2022-11-01-1407','A79-3','LMdhNEUN', 'UB')
('AC04652-2022-11-02-1366','A76-16','NuLI', 'UB')
('SL12058-2022-11-01-1366','S57-22','XF', 'UB')
('AC04652-2022-11-01-1410','A79-6','jjnWfsPPrLumkuW', 'SU')
('AC22517-2022-11-02-1415','A79-11','nHocIFQup', 'SL')
('AC04652-2022-11-02-1369','A77-1','DTtjvpV', 'LB')
('SL22517-2022-11-02-1421','S60-5','PLSOFLinDElM', 'MB')
('AC04652-2022-11-02-1372','A77-4','C', 'UB')
('AC22517-2022-11-01-1372','A77-4','SDb', 'UB')
('AC12058-2022-11-01-1395','A78-9','q', 'UB')
('AC04652-2022-11-01-1421','A79-17','T', 'SL')
('AC22517-2022-11-02-1432','A80-10','JwnSZq', 'UB')
('AC22517-2022-11-01-1390','A78-4','WST', 'UB')
('SL04652-2022-11-01-1406','S59-14','HB', 'UB')
('SL22517-2022-11-01-1421','S60-5','PZrYKnvFORqgg', 'MB')
('AC22517-2022-11-02-1465','A82-7','eZlwAoPibi', 'LB')
('AC04652-2022-11-02-1396','A78-10','Nz', 'UB')
('AC22517-2022-11-02-1469','A82-11','Tj', 'SL')
('SL22517-2022-11-02-1467','S62-3','syUoiEoezcXfZTa', 'UB')
('SL12058-2022-11-01-1410','S59-18','CpV', 'MB')
('AC04652-2022-11-02-1398','A78-12','qiAisMhGB', 'SU')
('SL12058-2022-11-01-1411','S59-19','qzcuuYVbkflZMGHY', 'UB')
('AC22517-2022-11-01-1420','A79-16','hxXEf', 'UB')
('SL04652-2022-11-01-1450','S61-10','BVvhiHyPAY', 'MB')
('SL04652-2022-11-01-1451','S61-11','STSpahyLO', 'UB')
('SL12058-2022-11-01-1418','S60-2','yvjuSUZJWLfJVR', 'MB')
('SL22517-2022-11-02-1479','S62-15','ABumEKVBGzJqm', 'SL')
('SL22517-2022-11-02-1480','S62-16','w', 'SU')
('AC12058-2022-11-01-1457','A81-17','f', 'SL')
('AC04652-2022-11-01-1467','A82-9','GqabuOFKNy', 'UB')
('AC22517-2022-11-01-1425','A80-3','AzX', 'UB')
('AC22517-2022-11-02-1481','A83-5','NuZpwTdc', 'SL')
('SL22517-2022-11-02-1484','S62-20','qHVrUqd', 'LB')
('SL22517-2022-11-01-1445','S61-5','iPSGRjeJE', 'MB')
('SL04652-2022-11-01-1465','S62-1','UiYtDyJnUppvZO', 'LB')
('AC04652-2022-11-01-1476','A82-18','GRcgZ', 'SU')
('SL22517-2022-11-02-1487','S62-23','QpfVecTVxkopbfJJ', 'SL')
('AC22517-2022-11-02-1493','A83-17','EmtqFUQeMFcV', 'SL')
('AC22517-2022-11-02-1499','A84-5','UD', 'SL')
('AC04652-2022-11-01-1484','A83-8','oSnYwgTFgTPBu', 'LB')
('SL22517-2022-11-02-1495','S63-7','zuKqKKksaGSkjdS', 'SL')
('SL22517-2022-11-02-1500','S63-12','jS', 'LB')
('SL12058-2022-11-01-1437','S60-21','jgvmCa', 'MB')
('SL22517-2022-11-02-1501','S63-13','WXUAUdx', 'MB')
('AC22517-2022-11-01-1442','A81-2','k', 'LB')
('SL22517-2022-11-02-1503','S63-15','JhJvnPTfrK', 'SL')
('AC22517-2022-11-02-1509','A84-15','RVWbWmRNrecK', 'UB')
('AC04652-2022-11-02-1431','A80-9','c', 'UB')
('AC22517-2022-11-01-1466','A82-8','DKCJlUyHXCrZ', 'LB')
('SL22517-2022-11-02-1546','S65-10','CeVnScRm', 'MB')
('AC04652-2022-11-01-1530','A85-18','vcaCOpgnf', 'SU')
('AC22517-2022-11-02-1543','A86-13','M', 'LB')
('AC22517-2022-11-02-1544','A86-14','CxqFiAiOQ', 'LB')
('AC04652-2022-11-01-1532','A86-2','GxoHNJRB', 'LB')
('SL22517-2022-11-01-1497','S63-9','TdqMNneUw', 'LB')
('AC04652-2022-11-01-1533','A86-3','EKWEPIgCTzEgM', 'UB')
('SL22517-2022-11-01-1500','S63-12','LODRTHj', 'LB')
('AC22517-2022-11-01-1475','A82-17','PJnvFCTEQ', 'SL')
('SL04652-2022-11-02-1494','S63-6','Lbi', 'UB')
('SL12058-2022-11-01-1541','S65-5','Ft', 'MB')
('SL04652-2022-11-01-1573','S66-13','ZJkrXH', 'MB')
('AC22517-2022-11-02-1627','A91-7','YXHAILGO', 'LB')
('AC04652-2022-11-01-1632','A91-12','wAlPGASyNc', 'SU')
('AC04652-2022-11-01-1633','A91-13','NdSXeEmVqmPQaMbc', 'LB')
('SL22517-2022-11-01-1600','S67-16','muVMcUiLSSg', 'SU')
('AC22517-2022-11-01-1557','A87-9','nYBLUPU', 'UB')
('SL04652-2022-11-02-1577','S66-17','VeZbecxaUVMFESD', 'LB')
('AC22517-2022-11-02-1630','A91-10','gT', 'UB')
('SL22517-2022-11-01-1606','S67-22','YJjHGfcOahTb', 'UB')
('AC22517-2022-11-01-1560','A87-12','kBz', 'SU')
('SL12058-2022-11-01-1598','S67-14','OuXDKnMIBn', 'UB')
('SL22517-2022-11-02-1650','S69-18','qEjU', 'MB')
('SL22517-2022-11-02-1651','S69-19','uiSzPH', 'UB')
('AC22517-2022-11-01-1567','A88-1','gznznRye', 'LB')
('SL04652-2022-11-01-1627','S68-19','JDPuKd', 'UB')
('SL04652-2022-11-02-1589','S67-5','JYFxOBShLXaa', 'MB')
('AC04652-2022-11-01-1652','A92-14','ivvqwbPT', 'LB')
('AC12058-2022-11-01-1630','A91-10','vQxRFuruSf', 'UB')
('AC22517-2022-11-02-1646','A92-8','nDCCc', 'LB')
('SL04652-2022-11-01-1633','S69-1','plSUGHQdcnGLlWKa', 'LB')
('SL22517-2022-11-02-1663','S70-7','uMuPbKSDCRJyGGA', 'SL')
('SL22517-2022-11-01-1628','S68-20','PCwl', 'LB')
('AC22517-2022-11-01-1581','A88-15','QlEeMmQmLjUR', 'UB')
('SL22517-2022-11-02-1669','S70-13','vAaQWXHrhLdv', 'MB')
('AC04652-2022-11-01-1696','A95-4','tt', 'UB')
('SL04652-2022-11-01-1663','S70-7','cDdl', 'SL')
('AC22517-2022-11-01-1608','A90-6','jT', 'SU')
('SL12058-2022-11-01-1651','S69-19','DVRQtDvX', 'UB')
('AC22517-2022-11-01-1610','A90-8','fOFmzlPzMuy', 'LB')
('AC22517-2022-11-02-1707','A95-15','KYyW', 'UB')
('SL12058-2022-11-01-1658','S70-2','UEsOwkT', 'MB')
('SL12058-2022-11-01-1659','S70-3','C', 'UB')
('SL12058-2022-11-01-1662','S70-6','o', 'UB')
('SL04652-2022-11-02-1650','S69-18','aEoNlokfIPtxB', 'MB')
('AC04652-2022-11-02-1620','A90-18','WAHTLTZfYtdd', 'SU')
('AC04652-2022-11-01-1716','A96-6','jczHfNHEkALgZq', 'SU')
('AC04652-2022-11-01-1720','A96-10','ndHwhUTUVJNLrlom', 'UB')
('AC22517-2022-11-02-1728','A96-18','u', 'SU')
('AC04652-2022-11-01-1728','A96-18','y', 'SU')
('SL12058-2022-11-01-1674','S70-18','ltzcyMlxEjHrFi', 'MB')
('SL12058-2022-11-01-1675','S70-19','kDAUQQNAJGA', 'UB')
('SL04652-2022-11-02-1669','S70-13','hFsZSCRguFDmOl', 'MB')
('SL04652-2022-11-01-1687','S71-7','chwATRZzdTVUYS', 'SL')
('SL22517-2022-11-02-1730','S73-2','UTuMtgyZGcaluy', 'MB')
('AC22517-2022-11-01-1642','A92-4','Fgb', 'UB')
('AC12058-2022-11-01-1698','A95-6','bfaMC', 'SU')
('SL04652-2022-11-02-1677','S70-21','fXmPKAKCYxudgyP', 'MB')
('AC04652-2022-11-01-1737','A97-9','pTezIz', 'UB')
('AC22517-2022-11-02-1740','A97-12','fnQlTMHHjXzuiMK', 'SU')
('AC04652-2022-11-01-1752','A98-6','TOCxP', 'SU')
('AC12058-2022-11-01-1707','A95-15','aRPQKsAEgCn', 'UB')
('AC22517-2022-11-02-1755','A98-9','fFks', 'UB')
('SL22517-2022-11-01-1719','S72-15','reukR', 'SL')
('SL22517-2022-11-01-1722','S72-18','XOptCanTsgOg', 'MB')
('SL12058-2022-11-01-1699','S71-19','SYvhGDOsEN', 'UB')
('SL22517-2022-11-01-1739','S73-11','VJhUXTZM', 'UB')
('AC04652-2022-11-01-1772','A99-8','zwQNiEMiFwqYja', 'LB')
('SL12058-2022-11-01-1707','S72-3','etXDiogbTuxXB', 'UB')
('AC04652-2022-11-02-1662','A93-6','FUCCHRpfhQaZuPI', 'SU')
('SL04652-2022-11-02-1705','S72-1','reRbm', 'LB')
('SL22517-2022-11-01-1744','S73-16','eRSKkLfFegN', 'SU')
('SL04652-2022-11-01-1725','S72-21','DGzphQuugvRxI', 'MB')
('SL12058-2022-11-01-1712','S72-8','P', 'SU')
('SL22517-2022-11-01-1747','S73-19','SLrHKZizA', 'UB')
('SL22517-2022-11-02-1765','S74-13','sHiEpB', 'MB')
('AC22517-2022-11-01-1685','A94-11','NY', 'SL')
('AC12058-2022-11-01-1732','A97-4','Vp', 'UB')
('AC04652-2022-11-01-1785','A100-3','hUmXAblBL', 'UB')
('SL12058-2022-11-01-1718','S72-14','mLAlbYx', 'UB')
('SL12058-2022-11-01-1719','S72-15','vkiNgAFehXQdVj', 'SL')
('AC22517-2022-11-01-1692','A94-18','KIOCFxknBkgNyaq', 'SU')
('AC22517-2022-11-02-1789','A100-7','nEuZTkecBKhT', 'LB')
('SL04652-2022-11-02-1725','S72-21','eogdKR', 'MB')
('SL12058-2022-11-01-1724','S72-20','FDTjytDwPOQknQ', 'LB')
('SL04652-2022-11-02-1728','S72-24','eTvlnRwKov', 'SU')
('SL22517-2022-11-01-1765','S74-13','kWIaXU', 'MB')
('SL22517-2022-11-01-1766','S74-14','EmVqBShmIHaQB', 'UB')
('SL22517-2022-11-02-1781','S75-5','E', 'MB')
('AC12058-2022-11-01-1749','A98-3','V', 'UB')
('AC22517-2022-11-02-1797','A100-15','kTKOHiIOwWY', 'UB')
('SL22517-2022-11-01-1772','S74-20','wjCaEVOxpqAYexY', 'LB')
('SL22517-2022-11-01-1774','S74-22','pVlpQgoY', 'UB')
('AC22517-2022-11-01-1702','A95-10','EvgQhno', 'UB')
('SL04652-2022-11-02-1736','S73-8','hrlMGSZuwKkEsvgM', 'SU')
('SL04652-2022-11-02-1737','S73-9','orvDLLky', 'LB')
('AC12058-2022-11-01-1765','A99-1','daMErVTNbvK', 'LB')
('SL12058-2022-11-01-1750','S73-22','NHAHIuNgAAZQTY', 'UB')
('SL12058-2022-11-01-1751','S73-23','mBhMJoi', 'SL')
('AC22517-2022-11-02-1809','A101-9','BYNeMWiDnliv', 'UB')
('SL22517-2022-11-02-1798','S75-22','vqIUtKZRBiENMJ', 'UB')
('AC04652-2022-11-02-1737','A97-9','xLXQqTGnhlWzHCrc', 'UB')
('SL12058-2022-11-01-1789','S75-13','XQySAgzyuonktuS', 'MB')
('AC22517-2022-11-02-1847','A103-11','qADybozFuloO', 'SL')
('AC04652-2022-11-01-1860','A104-6','Cu', 'SU')
('SL04652-2022-11-02-1787','S75-11','uEbKeKYu', 'UB')
('SL12058-2022-11-01-1794','S75-18','ISHHWZSE', 'MB')
('SL22517-2022-11-02-1837','S77-13','TJPytRju', 'MB')
('SL04652-2022-11-02-1789','S75-13','dMH', 'MB')
('SL04652-2022-11-02-1790','S75-14','CW', 'UB')
('AC04652-2022-11-02-1747','A98-1','SbnpG', 'LB')
('AC22517-2022-11-01-1754','A98-8','bPlENKQJTAurgF', 'LB')
('SL04652-2022-11-02-1792','S75-16','dCjqNBS', 'SU')
('AC12058-2022-11-01-1817','A101-17','DsyKkxfphFJcJS', 'SL')
('AC12058-2022-11-01-1818','A101-18','wMHF', 'SU')
('SL12058-2022-11-01-1803','S76-3','tbTNoWqqWWNtFmJ', 'UB')
('AC22517-2022-11-02-1854','A103-18','EbeMYMrH', 'SU')
('AC12058-2022-11-01-1820','A102-2','LPhcwcOoDNwY', 'LB')
('AC04652-2022-11-02-1758','A98-12','rNHoWXC', 'SU')
('AC04652-2022-11-01-1879','A105-7','waWRvaObBuwlimv', 'LB')
('SL22517-2022-11-02-1848','S77-24','OVt', 'SU')
('AC12058-2022-11-01-1834','A102-16','fOWPcTBZgMGStooj', 'UB')
('SL04652-2022-11-01-1818','S76-18','CYPjBkoZIlGKkkMW', 'MB')
('AC04652-2022-11-02-1765','A99-1','kgWnNAaBJSRD', 'LB')
('SL04652-2022-11-01-1820','S76-20','DXKKrr', 'LB')
('AC22517-2022-11-01-1774','A99-10','Jg', 'UB')
('SL04652-2022-11-02-1812','S76-12','ZbGNom', 'LB')
('SL12058-2022-11-01-1825','S77-1','oRH', 'LB')
('SL22517-2022-11-01-1862','S78-14','DK', 'UB')
('SL22517-2022-11-01-1863','S78-15','FJsqgNShHgeDBwV', 'SL')
('SL22517-2022-11-02-1860','S78-12','GNDZWcG', 'LB')
('AC22517-2022-11-02-1876','A105-4','JsGa', 'UB')
('AC12058-2022-11-01-1850','A103-14','yDIOTLqkg', 'LB')
('SL22517-2022-11-01-1865','S78-17','txQuSWMCrbPKS', 'LB')
('SL22517-2022-11-01-1866','S78-18','TJZwapKS', 'MB')
('AC04652-2022-11-02-1777','A99-13','nbor', 'LB')
('SL04652-2022-11-01-1843','S77-19','InXhnQP', 'UB')
('AC22517-2022-11-02-1884','A105-12','GSPdyNddZnyPxTl', 'SU')
('AC04652-2022-11-01-1902','A106-12','cLM', 'SU')
('AC12058-2022-11-01-1858','A104-4','JP', 'UB')
('SL22517-2022-11-02-1874','S79-2','nzDxgSFcSQCbJoC', 'MB')
('AC04652-2022-11-02-1790','A100-8','Kj', 'LB')
('AC12058-2022-11-01-1869','A104-15','eqTu', 'UB')
('AC22517-2022-11-01-1816','A101-16','xjCnnVBSiuCT', 'UB')
('SL22517-2022-11-02-1901','S80-5','sf', 'MB')
('AC22517-2022-11-02-1918','A107-10','s', 'UB')
('SL12058-2022-11-01-1860','S78-12','xphRUcfAd', 'LB')
('AC12058-2022-11-01-1883','A105-11','FqerVkhCTxRKgL', 'SL')
('SL22517-2022-11-02-1905','S80-9','XnzQfb', 'LB')
('SL12058-2022-11-01-1863','S78-15','pozAQREmmoM', 'SL')
('AC04652-2022-11-02-1820','A102-2','PfRtEFSme', 'LB')
('SL12058-2022-11-01-1868','S78-20','rSOsrEK', 'LB')
('SL22517-2022-11-01-1913','S80-17','cjbTgBpdLBamFf', 'LB')
('AC04652-2022-11-02-1824','A102-6','twQlEcWrm', 'SU')
('AC22517-2022-11-02-1926','A107-18','YrlnHF', 'SU')
('AC04652-2022-11-01-1938','A108-12','xpW', 'SU')
('AC04652-2022-11-02-1829','A102-11','AKeTvXOcDLRcPoGf', 'SL')
('AC12058-2022-11-01-1909','A107-1','xbxn', 'LB')
('SL22517-2022-11-02-1932','S81-12','HOtdXv', 'LB')
('AC12058-2022-11-01-1911','A107-3','qsTjJOqnsZumDgnM', 'UB')
('AC22517-2022-11-02-1940','A108-14','MvntLbotKB', 'LB')
('AC22517-2022-11-02-1981','A111-1','MXeQHZxJEBWzjWz', 'LB')
('AC12058-2022-11-01-1951','A109-7','BgLzpp', 'LB')
('SL12058-2022-11-01-1916','S80-20','dGKEQJePkZmVjMj', 'LB')
('SL22517-2022-11-01-1974','S83-6','rrOWB', 'UB')
('SL04652-2022-11-02-1919','S80-23','JAnrnIcP', 'SL')
('AC04652-2022-11-01-2000','A112-2','ipxIvZTQAtZq', 'LB')
('AC04652-2022-11-02-1892','A106-2','NtAZ', 'LB')
('SL22517-2022-11-02-1986','S83-18','lpyhdPsbiu', 'MB')
('AC04652-2022-11-02-1896','A106-6','N', 'SU')
('AC04652-2022-11-01-2002','A112-4','xdVCawJJM', 'UB')
('AC04652-2022-11-02-1898','A106-8','fVPxh', 'LB')
('SL04652-2022-11-02-1924','S81-4','siqBuyUXlLWQO', 'LB')
('AC04652-2022-11-02-1899','A106-9','PaKKzDD', 'UB')
('SL12058-2022-11-01-1931','S81-11','FxjWNE', 'UB')
('SL04652-2022-11-01-1982','S83-14','AFSzN', 'UB')
('AC04652-2022-11-01-2005','A112-7','NB', 'LB')
('AC04652-2022-11-02-1904','A106-14','zrjnAqGXHK', 'LB')
('AC22517-2022-11-02-2006','A112-8','FiLxH', 'LB')
('AC22517-2022-11-02-2007','A112-9','vPkJ', 'UB')
('SL12058-2022-11-01-1941','S81-21','CcYCaFyLVBAQezL', 'MB')
('SL22517-2022-11-02-2003','S84-11','hn', 'UB')
('AC12058-2022-11-01-1979','A110-17','EkkxuRVleNRguBCG', 'SL')
('SL22517-2022-11-02-2007','S84-15','JeLYlGVPxJF', 'SL')
('SL04652-2022-11-01-1999','S84-7','ZDfWXqpIZWgzwz', 'SL')
('SL22517-2022-11-01-1997','S84-5','yKZSEWMJoJdwJEf', 'MB')
('AC22517-2022-11-02-2019','A113-3','WHGTlJIWJTlg', 'UB')
('AC04652-2022-11-01-2016','A112-18','QOlsIJJOGbTBelrb', 'SU')
('AC22517-2022-11-01-1909','A107-1','iCehJhu', 'LB')
('SL04652-2022-11-02-1947','S82-3','MWOtPNCgk', 'UB')
('AC04652-2022-11-01-2019','A113-3','mUqXdFg', 'UB')
('SL22517-2022-11-01-2003','S84-11','OoHlomdwJArthd', 'UB')
('AC12058-2022-11-01-1992','A111-12','QzHbWrOYMevDWkx', 'SU')
('SL04652-2022-11-02-1954','S82-10','VTDxvKRqSqRD', 'MB')
('SL22517-2022-11-02-2015','S84-23','aaltTOi', 'SL')
('SL12058-2022-11-01-1963','S82-19','JaLr', 'UB')
('AC04652-2022-11-01-2030','A113-14','opyNKTau', 'LB')
('SL04652-2022-11-02-1959','S82-15','jkCMSFeAfc', 'SL')
('AC12058-2022-11-01-2001','A112-3','EdVBh', 'UB')
('SL22517-2022-11-02-2018','S85-2','PruoltNfhFK', 'MB')
('SL22517-2022-11-01-2011','S84-19','pGSAozAYLuahcxcI', 'UB')
('AC04652-2022-11-02-1928','A108-2','PgYmoFhdg', 'LB')
('SL04652-2022-11-02-1961','S82-17','ks', 'LB')
('AC04652-2022-11-02-1930','A108-4','aB', 'UB')
('SL22517-2022-11-01-2015','S84-23','Awi', 'SL')
('SL04652-2022-11-02-1964','S82-20','iMMyA', 'LB')
('AC04652-2022-11-01-2041','A114-7','qrznMcj', 'LB')
('SL12058-2022-11-01-1975','S83-7','JAX', 'SL')
('AC04652-2022-11-01-2043','A114-9','wpIZrxGOuVX', 'UB')
('SL04652-2022-11-01-2022','S85-6','XJigpegHIkOEcV', 'UB')
('SL12058-2022-11-01-1978','S83-10','DPxjzs', 'MB')
('AC22517-2022-11-02-2041','A114-7','cxViivvKoXjfh', 'LB')
('SL04652-2022-11-01-2023','S85-7','gAnFaVWSqzqwXgMa', 'SL')
('SL04652-2022-11-01-2025','S85-9','DVFhyjaoop', 'LB')
('AC04652-2022-11-02-1939','A108-13','pqTdGdTUFeTdzb', 'LB')
('SL04652-2022-11-02-1974','S83-6','mAXkiYsndrKqHK', 'UB')
('AC22517-2022-11-01-1935','A108-9','mG', 'UB')
('SL12058-2022-11-01-1991','S83-23','ISEqv', 'SL')
('SL22517-2022-11-01-2020','S85-4','UHNTBgcjYWYc', 'LB')
('SL04652-2022-11-01-2034','S85-18','mpSB', 'MB')
('SL04652-2022-11-02-1979','S83-11','cScX', 'UB')
('SL04652-2022-11-01-2036','S85-20','yfHXiIQpHXZR', 'LB')
('SL22517-2022-11-01-2024','S85-8','ftgczToHHAAvII', 'SU')
('SL04652-2022-11-01-2037','S85-21','BFdtH', 'MB')
('AC22517-2022-11-02-2056','A115-4','sHRVLjHeIjBoLkne', 'UB')
('AC04652-2022-11-02-1950','A109-6','XqvxYZttRaL', 'SU')
('SL22517-2022-11-01-2029','S85-13','RJcjjtEDDLThSrVk', 'MB')
('AC12058-2022-11-01-2019','A113-3','KnAAAW', 'UB')
('SL22517-2022-11-02-2042','S86-2','XcqNiSPKDrYYQGuP', 'MB')
('SL12058-2022-11-01-2002','S84-10','aesbOOfTjRrtfJWB', 'MB')
('AC22517-2022-11-02-2061','A115-9','EHFxLhRnlJ', 'UB')
('SL22517-2022-11-01-2035','S85-19','kV', 'UB')
('AC04652-2022-11-02-1955','A109-11','JHbMzfwG', 'SL')
('SL04652-2022-11-01-2046','S86-6','pGhGncwVJwEBXS', 'UB')
('SL22517-2022-11-01-2038','S85-22','RzKvGlnmE', 'UB')
('SL04652-2022-11-01-2049','S86-9','emU', 'LB')
('AC04652-2022-11-02-1958','A109-14','AYzbBukYisgpk', 'LB')
('AC04652-2022-11-01-2063','A115-11','wNONgxxvMKf', 'SL')
('AC22517-2022-11-01-1966','A110-4','HG', 'UB')
('AC22517-2022-11-02-2099','A117-11','xJRrhuuLmq', 'SL')
('SL04652-2022-11-02-2030','S85-14','zWiWgygUasMya', 'UB')
('SL04652-2022-11-01-2096','S88-8','BEyBjqetSzw', 'SU')
('SL12058-2022-11-01-2050','S86-10','iDSUqKaBnt', 'MB')
('SL12058-2022-11-01-2078','S87-14','NejD', 'UB')
('SL04652-2022-11-01-2122','S89-10','l', 'MB')
('SL22517-2022-11-02-2117','S89-5','p', 'MB')
('AC22517-2022-11-02-2135','A119-11','LEJbTADPa', 'SL')
('SL22517-2022-11-02-2120','S89-8','EPhHfcUu', 'SU')
('AC22517-2022-11-01-2028','A113-12','ZctFGjclaS', 'SU')
('SL22517-2022-11-01-2114','S89-2','qeoHEpDDWD', 'MB')
('AC04652-2022-11-01-2142','A119-18','gnmzoSxoeiszrtVS', 'SU')
('SL22517-2022-11-01-2115','S89-3','U', 'UB')
('AC04652-2022-11-02-2050','A114-16','UWfUgdmUk', 'UB')
('SL22517-2022-11-02-2127','S89-15','mEpilJmj', 'SL')
('AC22517-2022-11-02-2139','A119-15','h', 'UB')
('AC12058-2022-11-01-2098','A117-10','MImuceKlWZZei', 'UB')
('AC04652-2022-11-01-2147','A120-5','lXWhdQhKH', 'SL')
('SL22517-2022-11-01-2122','S89-10','EvPSGvStC', 'MB')
('SL22517-2022-11-02-2133','S89-21','oZFrNAM', 'MB')
('AC04652-2022-11-01-2157','A120-15','CbuZEfLErWouwTU', 'UB')
('AC22517-2022-11-02-2143','A120-1','VrHCgZmFJCWQAN', 'LB')
('AC04652-2022-11-01-2158','A120-16','KreBJBVBXFQIATTg', 'UB')
('AC22517-2022-11-01-2048','A114-14','JtpMXxLIERqD', 'LB')
('SL22517-2022-11-02-2144','S90-8','MmzVamjg', 'SU')
('SL04652-2022-11-02-2098','S88-10','LNKEA', 'MB')
('SL04652-2022-11-01-2147','S90-11','rfjYhrzG', 'UB')
('AC12058-2022-11-01-2108','A118-2','TnZtidQKQ', 'LB')
('SL04652-2022-11-02-2102','S88-14','GYXAdx', 'UB')
('AC22517-2022-11-01-2052','A114-18','UQmxHuUWT', 'SU')
('AC04652-2022-11-02-2067','A115-15','KxEvYmokDK', 'UB')
('AC12058-2022-11-01-2112','A118-6','aLpYtE', 'SU')
('SL22517-2022-11-02-2151','S90-15','cLxSSmCZLWZJMI', 'SL')
('SL22517-2022-11-01-2141','S90-5','uDdgOd', 'MB')
('SL22517-2022-11-01-2142','S90-6','KgNWuJW', 'UB')
('AC04652-2022-11-01-2174','A121-14','YeRjfpdZtetwu', 'LB')
('AC04652-2022-11-02-2073','A116-3','QZLtFqCabKQHgbzD', 'UB')
('SL04652-2022-11-02-2110','S88-22','FvYJYeKdtYG', 'UB')
('AC04652-2022-11-01-2179','A122-1','cwjn', 'LB')
('SL04652-2022-11-02-2119','S89-7','mh', 'SL')
('SL04652-2022-11-01-2165','S91-5','c', 'MB')
('AC04652-2022-11-02-2085','A116-15','JZrmDEFqaLfHi', 'UB')
('SL04652-2022-11-01-2166','S91-6','kZhLie', 'UB')
('SL12058-2022-11-01-2123','S89-11','QLFzshoBnZ', 'UB')
('SL04652-2022-11-02-2130','S89-18','ROcOBzvATOpMwa', 'MB')
('SL04652-2022-11-02-2131','S89-19','jYmsHkjxcmtMJ', 'UB')
('SL04652-2022-11-01-2171','S91-11','TaDUegYNCgGkHOSv', 'UB')
('AC22517-2022-11-02-2185','A122-7','FUwvrNxGPzUhlqnD', 'LB')
('SL12058-2022-11-01-2131','S89-19','nKbOZkEOVEjdCKB', 'UB')
('AC04652-2022-11-01-2200','A123-4','ihFXOVGaKrikhYL', 'UB')
('AC22517-2022-11-02-2213','A123-17','JhQ', 'SL')
('AC12058-2022-11-01-2170','A121-10','HYVfj', 'UB')
('AC22517-2022-11-01-2109','A118-3','NIZAxCF', 'UB')
('SL22517-2022-11-01-2200','S92-16','z', 'SU')
('AC04652-2022-11-01-2233','A125-1','vIeBrJ', 'LB')
('SL12058-2022-11-01-2185','S92-1','xYdQxP', 'LB')
('SL04652-2022-11-02-2228','S93-20','CZklCxbJBrZAiEv', 'LB')
('SL22517-2022-11-02-2263','S95-7','lOl', 'SL')
('SL04652-2022-11-02-2230','S93-22','hzF', 'UB')
('SL22517-2022-11-01-2257','S95-1','gHISJFcOBBTfbE', 'LB')
('SL22517-2022-11-01-2276','S95-20','VncIRKs', 'LB')
('AC22517-2022-11-02-2292','A128-6','PkPzRk', 'SU')
('SL04652-2022-11-02-2253','S94-21','O', 'MB')
('AC22517-2022-11-02-2293','A128-7','TERHbRLi', 'LB')
('SL12058-2022-11-01-2253','S94-21','bJJRoyPTa', 'MB')
('SL22517-2022-11-02-2300','S96-20','bTfcuCMRI', 'LB')
('AC12058-2022-11-01-2268','A126-18','ygpyGmY', 'SU')
('AC12058-2022-11-01-2274','A127-6','PHwHOzHQmSqbh', 'SU')
('SL22517-2022-11-02-2305','S97-1','TACBehs', 'LB')
('SL12058-2022-11-01-2271','S95-15','TUuwSzMMvjlTP', 'SL')
('SL12058-2022-11-01-2273','S95-17','DBJFUVp', 'LB')
('AC22517-2022-11-02-2316','A129-12','yPWpEPvlQCUTNDZ', 'SU')
('AC12058-2022-11-01-2281','A127-13','fnYfMG', 'LB')
('SL12058-2022-11-01-2275','S95-19','nBklnFqzJ', 'UB')
('SL12058-2022-11-01-2276','S95-20','YXOnuBT', 'LB')
('SL22517-2022-11-01-2305','S97-1','QauUnnWhcSyNRZOp', 'LB')
('SL22517-2022-11-01-2306','S97-2','nMRhr', 'MB')
('AC22517-2022-11-01-2212','A123-16','cTidyK', 'UB')
('AC12058-2022-11-01-2289','A128-3','rvrqGYUcViRwnwtI', 'UB')
('SL12058-2022-11-01-2284','S96-4','FkdpLkFKHpHRfi', 'LB')
('AC04652-2022-11-02-2249','A125-17','hapVFOdMrHhqu', 'SL')
('AC04652-2022-11-02-2293','A128-7','nGblgwJXZVzpQo', 'LB')
('SL22517-2022-11-01-2361','S99-9','G', 'LB')
('AC22517-2022-11-02-2376','A132-18','NWuatWCiP', 'SU')
('SL22517-2022-11-02-2360','S99-8','oWFXsfa', 'SU')
('SL22517-2022-11-02-2362','S99-10','bJf', 'MB')
('SL22517-2022-11-02-2363','S99-11','eyxypHYzFgU', 'UB')
('SL22517-2022-11-01-2364','S99-12','AGW', 'LB')
('SL22517-2022-11-02-2392','S100-16','RTofBYbTyzyW', 'SU')
