('SL04652-2022-11-02-4122','S172-18','LYL', 'MB')
('AC04652-2022-11-01-5920','A329-16','nBLd', 'UB')
('SL22517-2022-11-01-5575','S233-7','PXoZrVEQpC', 'SL')
('AC22517-2022-11-01-5723','A318-17','om', 'SL')
('AC04652-2022-11-01-5924','A330-2','cq', 'LB')
('SL22517-2022-11-01-5601','S234-9','Lo', 'LB')
('AC04652-2022-11-01-5946','A331-6','oXjusMcz', 'SU')
('AC04652-2022-11-02-5776','A321-16','eDhRNPN', 'UB')
('AC04652-2022-11-01-5949','A331-9','RchOnslwS', 'UB')
('AC22517-2022-11-01-5753','A320-11','qsiRubvY', 'SL')
('SL22517-2022-11-02-5667','S237-3','ppeHlLQvmzr', 'UB')
('SL22517-2022-11-01-5624','S235-8','qi', 'SU')
('AC04652-2022-11-01-5971','A332-13','aIBZpAjlpcqPJj', 'LB')
('SL12058-2022-11-01-5641','S236-1','hqWHn', 'LB')
('AC04652-2022-11-01-6006','A334-12','OJtGL', 'SU')
('AC04652-2022-11-02-5849','A325-17','FZ', 'SL')
('SL04652-2022-11-01-5703','S238-15','JySaVBPqTP', 'SL')
('SL22517-2022-11-01-5671','S237-7','ThcmgTmCXyP', 'SL')
('SL12058-2022-11-01-5657','S236-17','MyuOuYlynG', 'LB')
('SL22517-2022-11-02-5738','S240-2','lGEFLNVqZDsugMqR', 'MB')
('SL04652-2022-11-01-5707','S238-19','I', 'UB')
('SL12058-2022-11-01-5660','S236-20','cE', 'LB')
('SL04652-2022-11-02-5761','S241-1','FShstYyoxepj', 'LB')
('SL04652-2022-11-01-5708','S238-20','AkuYt', 'LB')
('AC04652-2022-11-02-5860','A326-10','pMYj', 'UB')
('SL12058-2022-11-01-5665','S237-1','JXrMoLzOPFx', 'LB')
('AC22517-2022-11-01-5833','A325-1','kPxoFns', 'LB')
('AC04652-2022-11-02-5864','A326-14','gyRsBFHPJThgoE', 'LB')
('AC22517-2022-11-01-5857','A326-7','bPcTmQn', 'LB')
('AC04652-2022-11-02-5898','A328-12','ORCwN', 'SU')
('SL04652-2022-11-02-5803','S242-19','HtqFcHr', 'UB')
('SL04652-2022-11-02-5804','S242-20','QMFugrWxjTEiN', 'LB')
('SL04652-2022-11-02-5805','S242-21','PQOpso', 'MB')
('SL04652-2022-11-02-5806','S242-22','lyvUmNZ', 'UB')
('SL22517-2022-11-02-5798','S242-14','YActWuJyJJ', 'UB')
('AC22517-2022-11-02-5858','A326-8','WAYec', 'LB')
('AC22517-2022-11-01-5875','A327-7','wBIrVnYfolEzPU', 'LB')
('AC22517-2022-11-01-5876','A327-8','kDc', 'LB')
('AC04652-2022-11-02-5931','A330-9','Xnr', 'UB')
('AC22517-2022-11-02-5893','A328-7','DO', 'LB')
('SL12058-2022-11-01-5752','S240-16','OHCMtcbgEhkKPOUD', 'SU')
('SL22517-2022-11-01-5782','S241-22','CUNHGi', 'UB')
('AC12058-2022-11-01-5883','A327-15','iFLkYDhVhGVhAEn', 'UB')
('SL04652-2022-11-01-5800','S242-16','EcpU', 'SU')
('AC04652-2022-11-02-5950','A331-10','EdvIjgboLD', 'UB')
('SL04652-2022-11-01-5820','S243-12','wTKupwQbCdzV', 'LB')
('AC22517-2022-11-02-5945','A331-5','TcstHnAR', 'SL')
('AC22517-2022-11-02-5947','A331-7','FIcU', 'LB')
('SL04652-2022-11-02-5917','S247-13','dzvLhntPAlAgMO', 'MB')
('AC04652-2022-11-02-5998','A334-4','ZD', 'UB')
('AC04652-2022-11-02-5999','A334-5','YEsPMNSiiC', 'SL')
('AC22517-2022-11-02-5951','A331-11','qZeNlozg', 'SL')
('AC04652-2022-11-02-6000','A334-6','nS', 'SU')
('SL12058-2022-11-01-5794','S242-10','vXFJr', 'MB')
('SL22517-2022-11-02-5912','S247-8','wkGpXzlgzdCidK', 'SU')
('AC04652-2022-11-01-6188','A344-14','abKkpJplensanEA', 'LB')
('AC04652-2022-11-01-6189','A344-15','ntHUlIOxhQUdXzl', 'UB')
('SL04652-2022-11-01-5843','S244-11','CMaPgQHXLdxl', 'UB')
('SL22517-2022-11-01-5878','S245-22','hZFiZ', 'UB')
('SL22517-2022-11-02-5955','S249-3','XZEZhEXxTwpVlI', 'UB')
('AC22517-2022-11-01-5999','A334-5','WdwhHfFoQMfvzxy', 'SL')
('SL22517-2022-11-02-5957','S249-5','FFu', 'MB')
('SL12058-2022-11-01-5830','S243-22','VXExloREtsgv', 'UB')
('AC22517-2022-11-01-6001','A334-7','AoURXuu', 'LB')
('AC04652-2022-11-02-6051','A337-3','SsyRywWopWZhKgm', 'UB')
('AC04652-2022-11-01-6238','A347-10','UcmNeaYUS', 'UB')
('AC04652-2022-11-02-6079','A338-13','sENOFwsd', 'LB')
('AC22517-2022-11-01-6028','A335-16','BHSvUwsswou', 'UB')
('SL22517-2022-11-01-5917','S247-13','kp', 'MB')
('AC04652-2022-11-01-6279','A349-15','mxcVuVmW', 'UB')
('AC22517-2022-11-02-6044','A336-14','ysYJMdQEWYvMTO', 'LB')
('AC04652-2022-11-01-6281','A349-17','CtsXZZnGwXxJ', 'SL')
('SL12058-2022-11-01-5865','S245-9','NxhJh', 'LB')
('SL04652-2022-11-01-5918','S247-14','HmECKXLSg', 'UB')
('AC22517-2022-11-01-6046','A336-16','o', 'UB')
('AC04652-2022-11-01-6291','A350-9','OWwLgLBEzc', 'UB')
('SL04652-2022-11-02-6017','S251-17','MMuQmwkqHb', 'LB')
('SL04652-2022-11-02-6058','S253-10','DruSV', 'MB')
('AC12058-2022-11-01-6088','A339-4','DEQaBtLLsIVc', 'UB')
('AC04652-2022-11-01-6340','A353-4','urHKuVi', 'UB')
('SL22517-2022-11-01-5990','S250-14','MVrpqSjONQJk', 'UB')
('AC04652-2022-11-02-6161','A343-5','nGfZw', 'SL')
('SL22517-2022-11-02-6083','S254-11','fYATPyfocF', 'UB')
('SL04652-2022-11-02-6085','S254-13','pRp', 'MB')
('AC04652-2022-11-01-6378','A355-6','HFpVi', 'SU')
('SL22517-2022-11-01-5999','S250-23','CUqhLmB', 'SL')
('SL12058-2022-11-01-5949','S248-21','NGzeT', 'MB')
('SL12058-2022-11-01-5951','S248-23','vSpTlKAzKAbYqa', 'SL')
('AC22517-2022-11-02-6142','A342-4','qBrAaQnlcOaNLWi', 'UB')
('SL12058-2022-11-01-5954','S249-2','GMQRHGuala', 'MB')
('SL04652-2022-11-02-6099','S255-3','btdr', 'UB')
('AC22517-2022-11-02-6158','A343-2','YDpnlylsjoZayE', 'LB')
('AC22517-2022-11-01-6155','A342-17','RexvYUppQezcdB', 'SL')
('AC04652-2022-11-02-6189','A344-15','anzzVE', 'UB')
('AC22517-2022-11-02-6164','A343-8','N', 'LB')
('SL04652-2022-11-02-6106','S255-10','fiFXHmEkxIZgxiE', 'MB')
('SL22517-2022-11-01-6030','S252-6','uEzlYsoMSReWBO', 'UB')
('AC12058-2022-11-01-6145','A342-7','fQgybGCTWw', 'LB')
('AC22517-2022-11-01-6174','A343-18','XQKkdeHNv', 'SU')
('AC04652-2022-11-02-6206','A345-14','fOGJjdgE', 'LB')
('AC12058-2022-11-01-6156','A342-18','fJVImSgk', 'SU')
('AC12058-2022-11-01-6157','A343-1','Pyj', 'LB')
('SL04652-2022-11-01-6047','S252-23','iEXFUfo', 'SL')
('SL22517-2022-11-02-6131','S256-11','jMbPSg', 'UB')
('SL22517-2022-11-01-6053','S253-5','fSQCfvgkoFVJpJ', 'MB')
('SL22517-2022-11-01-6055','S253-7','BpYOK', 'SL')
('SL04652-2022-11-02-6133','S256-13','lgK', 'MB')
('AC04652-2022-11-01-6433','A358-7','TTsyExAwV', 'LB')
('AC22517-2022-11-02-6188','A344-14','R', 'LB')
('AC12058-2022-11-01-6174','A343-18','eMBuAjVHuktWdMc', 'SU')
('SL12058-2022-11-01-5994','S250-18','qqzZ', 'MB')
('SL22517-2022-11-02-6146','S257-2','owllwddHTKhin', 'MB')
('AC22517-2022-11-02-6198','A345-6','epPiX', 'SU')
('SL04652-2022-11-01-6061','S253-13','uMjpCT', 'MB')
('SL12058-2022-11-01-5995','S250-19','BIWqJag', 'UB')
('SL22517-2022-11-02-6147','S257-3','dYa', 'UB')
('SL12058-2022-11-01-5996','S250-20','lzsYnHA', 'LB')
('AC04652-2022-11-02-6227','A346-17','oBlSxVo', 'SL')
('SL04652-2022-11-01-6067','S253-19','tUaXbJsVFBo', 'UB')
('SL22517-2022-11-01-6067','S253-19','IDfyWI', 'UB')
('SL22517-2022-11-02-6149','S257-5','IEPAglWw', 'MB')
('SL22517-2022-11-01-6068','S253-20','ybDdIghCQUw', 'LB')
('AC04652-2022-11-01-6449','A359-5','ElXoJfuf', 'SL')
('AC04652-2022-11-01-6482','A361-2','GFaJQuGVptMDk', 'LB')
('AC22517-2022-11-01-6236','A347-8','fVJtJnEds', 'LB')
('SL12058-2022-11-01-6033','S252-9','l', 'LB')
('AC12058-2022-11-01-6221','A346-11','ZXfXIEAEF', 'SL')
('AC12058-2022-11-01-6222','A346-12','yeNqBlQJD', 'SU')
('SL22517-2022-11-01-6119','S255-23','ZFdckOKvpEQtvCR', 'SL')
('AC04652-2022-11-02-6304','A351-4','qHVGplchnmVe', 'UB')
('SL04652-2022-11-02-6226','S260-10','MXSRtXIDkZgXWM', 'MB')
('AC12058-2022-11-01-6283','A350-1','NYbcKqD', 'LB')
('AC04652-2022-11-02-6308','A351-8','pFjmutmXpdJxKuVp', 'LB')
('SL12058-2022-11-01-6083','S254-11','WmtYotoWe', 'UB')
('AC22517-2022-11-02-6292','A350-10','u', 'UB')
('SL12058-2022-11-01-6084','S254-12','JD', 'LB')
('AC04652-2022-11-02-6325','A352-7','QMIKhkVNItJ', 'LB')
('SL22517-2022-11-02-6268','S262-4','llM', 'LB')
('SL22517-2022-11-01-6189','S258-21','GxuYeAHXhXndfZ', 'MB')
('AC22517-2022-11-01-6328','A352-10','iuZvkwspg', 'UB')
('AC12058-2022-11-01-6319','A352-1','IqWacMFXsJw', 'LB')
('AC04652-2022-11-01-6584','A366-14','csNdyXRbpw', 'LB')
('AC04652-2022-11-02-6345','A353-9','LNnXyOLADlCVZJ', 'UB')
('AC22517-2022-11-01-6336','A352-18','UZYQ', 'SU')
('SL22517-2022-11-01-6288','S262-24','ynlFWPMmWvKl', 'SU')
('SL22517-2022-11-01-6293','S263-5','wecQPUNlgHDtg', 'MB')
('SL04652-2022-11-02-6366','S266-6','vxaCPd', 'UB')
('SL22517-2022-11-02-6372','S266-12','mbdWsH', 'LB')
('AC22517-2022-11-02-6410','A357-2','AqOSJnbevkDK', 'LB')
('AC22517-2022-11-02-6415','A357-7','l', 'LB')
('AC22517-2022-11-02-6419','A357-11','ArfhEMf', 'SL')
('SL04652-2022-11-02-6377','S266-17','BtxfYpcomKaN', 'LB')
('SL22517-2022-11-01-6399','S267-15','PvXBRNIpxZ', 'SL')
('AC04652-2022-11-01-6781','A377-13','Y', 'LB')
('AC04652-2022-11-01-6792','A378-6','SDeEdjzvv', 'SU')
('AC22517-2022-11-02-6513','A362-15','iNoHK', 'UB')
('SL12058-2022-11-01-6322','S264-10','xPrcDj', 'MB')
('SL12058-2022-11-01-6325','S264-13','PnqoBQVih', 'MB')
('SL04652-2022-11-02-6488','S271-8','CUAlGgdWdKwn', 'SU')
('SL12058-2022-11-01-6347','S265-11','oU', 'UB')
('SL04652-2022-11-01-6443','S269-11','eN', 'UB')
('SL22517-2022-11-01-6436','S269-4','nOODttZ', 'LB')
('AC12058-2022-11-01-6543','A364-9','qWWL', 'UB')
('SL04652-2022-11-02-6505','S272-1','dhwmeLx', 'LB')
('SL04652-2022-11-02-6547','S273-19','QIxxaf', 'UB')
('AC22517-2022-11-02-6592','A367-4','IPMOnzxmJfLU', 'UB')
('SL04652-2022-11-02-6548','S273-20','cwajGGOVG', 'LB')
('SL22517-2022-11-02-6632','S277-8','FZ', 'SU')
('AC12058-2022-11-01-6665','A371-5','THtOBtkOFIUt', 'SL')
('SL12058-2022-11-01-6471','S270-15','LKrgUZWhiNgC', 'SL')
('SL04652-2022-11-01-6596','S275-20','n', 'LB')
('SL22517-2022-11-01-6568','S274-16','VxwlCxSlcORPN', 'SU')
('SL22517-2022-11-01-6569','S274-17','YqUmSiuj', 'LB')
('SL04652-2022-11-01-6600','S275-24','BLoZp', 'SU')
('AC22517-2022-11-01-6699','A373-3','YaLpnMhRLdy', 'UB')
('AC04652-2022-11-01-6969','A388-3','ZYpP', 'UB')
('SL22517-2022-11-02-6671','S278-23','XqmZkb', 'SL')
('SL22517-2022-11-01-6570','S274-18','KnWhVvunvMh', 'MB')
('SL22517-2022-11-01-6571','S274-19','SSHIWnfmisaw', 'UB')
('SL22517-2022-11-02-6673','S279-1','WkZtcU', 'LB')
('SL04652-2022-11-02-6661','S278-13','JlzPxaFP', 'MB')
('SL04652-2022-11-02-6662','S278-14','TIhg', 'UB')
('SL22517-2022-11-02-6674','S279-2','KAmFCnmtD', 'MB')
('SL04652-2022-11-01-6614','S276-14','EqdmXmEuVK', 'UB')
('AC04652-2022-11-01-6976','A388-10','MXQy', 'UB')
('SL12058-2022-11-01-6517','S272-13','VYerhCaTTMcscBU', 'MB')
('SL04652-2022-11-01-6615','S276-15','ENoqJuAz', 'SL')
('AC04652-2022-11-01-6978','A388-12','dpAHDnj', 'SU')
('AC22517-2022-11-01-6709','A373-13','qFQ', 'LB')
('SL22517-2022-11-01-6584','S275-8','owohb', 'SU')
('AC22517-2022-11-02-6729','A374-15','kSoOVPuFWpbku', 'UB')
('AC22517-2022-11-02-6730','A374-16','mzrY', 'UB')
('AC22517-2022-11-01-6710','A373-14','ykp', 'LB')
('SL04652-2022-11-02-6683','S279-11','vRumiXO', 'UB')
('SL12058-2022-11-01-6521','S272-17','JEVzorWnciFJAqnt', 'LB')
('AC04652-2022-11-02-6726','A374-12','sz', 'SU')
('SL04652-2022-11-02-6686','S279-14','Yc', 'UB')
('SL22517-2022-11-02-6697','S280-1','vcZvSDAmJiMaXtSd', 'LB')
('AC22517-2022-11-02-6734','A375-2','UcPBnzfTUdDBEn', 'LB')
('AC12058-2022-11-01-6732','A374-18','XTkTqBdyGHrBWwyU', 'SU')
('AC22517-2022-11-02-6736','A375-4','GMe', 'UB')
('AC12058-2022-11-01-6735','A375-3','lbQe', 'UB')
('AC22517-2022-11-02-6759','A376-9','gtY', 'UB')
('SL22517-2022-11-02-6714','S280-18','HTgXfKvXdeAr', 'MB')
('AC12058-2022-11-01-6766','A376-16','zFbYNikVTHbYutfc', 'UB')
('SL22517-2022-11-02-6721','S281-1','GuLqvdiavcC', 'LB')
('SL22517-2022-11-01-6616','S276-16','pXexr', 'SU')
('AC04652-2022-11-01-7069','A393-13','xqGYDf', 'LB')
('AC22517-2022-11-01-6802','A378-16','pjkHRiiALgPcRoNz', 'UB')
('SL12058-2022-11-01-6604','S276-4','DFdgEiPgPCWJJq', 'LB')
('SL04652-2022-11-02-6775','S283-7','tQmWfrAJOgzMSe', 'SL')
('SL04652-2022-11-01-6748','S282-4','ULMCVIaeNHtv', 'LB')
('AC04652-2022-11-01-7100','A395-8','qEbGoGmAzYLkUKdv', 'LB')
('AC04652-2022-11-02-6828','A380-6','myGVgatNtsSOtILC', 'SU')
('AC22517-2022-11-02-6862','A382-4','VHE', 'UB')
('SL04652-2022-11-02-6808','S284-16','mzXBalG', 'SU')
('SL12058-2022-11-01-6649','S278-1','XplBqM', 'LB')
('AC22517-2022-11-02-6880','A383-4','MvtKZd', 'UB')
('SL12058-2022-11-01-6674','S279-2','PAoMhAvs', 'MB')
('AC04652-2022-11-02-6861','A382-3','ussIXGs', 'UB')
('SL22517-2022-11-02-6844','S286-4','ZiBenKNj', 'LB')
('SL22517-2022-11-01-6723','S281-3','lnEySsm', 'UB')
('SL22517-2022-11-02-6846','S286-6','Ngly', 'UB')
('SL22517-2022-11-02-6849','S286-9','xqULDLuuHYDLD', 'LB')
('SL22517-2022-11-02-6850','S286-10','JWy', 'MB')
('AC12058-2022-11-01-6896','A384-2','GjXYTZurfBDQf', 'LB')
('AC04652-2022-11-02-6868','A382-10','CZHTyPhVsMdqYT', 'UB')
('AC04652-2022-11-01-7179','A399-15','gj', 'UB')
('SL22517-2022-11-01-6785','S283-17','RiSdomx', 'LB')
('SL22517-2022-11-01-6786','S283-18','mFhhMoxIFSu', 'MB')
('SL04652-2022-11-02-6906','S288-18','CWQ', 'MB')
('AC22517-2022-11-02-6962','A387-14','paFT', 'LB')
('SL04652-2022-11-01-6918','S289-6','SlCftWvmn', 'UB')
('SL04652-2022-11-01-6927','S289-15','orunTxROkq', 'SL')
('AC04652-2022-11-01-7250','A403-14','HxlX', 'LB')
('SL22517-2022-11-01-6863','S286-23','NVrPnxRIItEIU', 'SL')
('AC04652-2022-11-01-7322','A407-14','GUbKysMg', 'LB')
('AC04652-2022-11-02-7049','A392-11','lSbkvPzgNynwqVdo', 'SL')
('AC22517-2022-11-02-7070','A393-14','NJoRR', 'LB')
('AC22517-2022-11-01-7041','A392-3','AldRbBYJP', 'UB')
('AC22517-2022-11-02-7071','A393-15','CEKMVQNEKpOx', 'UB')
('AC04652-2022-11-01-7333','A408-7','KyiET', 'LB')
('SL22517-2022-11-02-7004','S292-20','TnaOWXiGvFIwMT', 'LB')
('AC22517-2022-11-02-7073','A393-17','wnUSUcu', 'SL')
('AC04652-2022-11-01-7335','A408-9','BaeHbJzTTMxAMxX', 'UB')
('AC04652-2022-11-01-7336','A408-10','YpsNvzt', 'UB')
('AC22517-2022-11-02-7077','A394-3','MO', 'UB')
('SL12058-2022-11-01-6862','S286-22','XcjDTqyukyYFQeC', 'UB')
('SL12058-2022-11-01-6873','S287-9','WSWNOVTUlIubVNy', 'LB')
('SL22517-2022-11-01-6931','S289-19','vRevOAWmUnEd', 'UB')
('AC22517-2022-11-02-7090','A394-16','mOZ', 'UB')
('SL22517-2022-11-01-6991','S292-7','keeJoXYWyFwJETUz', 'SL')
('SL04652-2022-11-02-7103','S296-23','HAMKgAAt', 'SL')
('AC04652-2022-11-01-7411','A412-13','ArFoKlSe', 'LB')
('AC22517-2022-11-02-7160','A398-14','kTFtsbusifJmz', 'LB')
('AC22517-2022-11-02-7232','A402-14','qMlWhB', 'LB')
('SL22517-2022-11-01-7063','S295-7','Ln', 'SL')
('SL04652-2022-11-02-7154','S299-2','QxidzroJttOLKfQA', 'MB')
('AC22517-2022-11-02-7235','A402-17','RBIjViQwwxkjxk', 'SL')
('SL04652-2022-11-01-7142','S298-14','vVgyg', 'UB')
('AC12058-2022-11-01-7220','A402-2','wgkpoptty', 'LB')
('SL04652-2022-11-01-7149','S298-21','vVQA', 'MB')
('AC22517-2022-11-01-7223','A402-5','B', 'SL')
('AC22517-2022-11-01-7224','A402-6','WvtYAYRjykmrRk', 'SU')
('SL04652-2022-11-01-7151','S298-23','DGdQZzTUcqlwl', 'SL')
('SL22517-2022-11-02-7215','S301-15','d', 'SL')
('SL04652-2022-11-02-7225','S302-1','yHHgf', 'LB')
('SL22517-2022-11-02-7249','S303-1','Is', 'LB')
('AC22517-2022-11-01-7312','A407-4','xsEgPWK', 'UB')
('SL12058-2022-11-01-7100','S296-20','ZiHAFlHYnszJJ', 'LB')
('SL04652-2022-11-01-7236','S302-12','h', 'LB')
('AC22517-2022-11-02-7344','A408-18','AkdkhsmzPmHkIsIb', 'SU')
('AC22517-2022-11-01-7320','A407-12','jxRTr', 'SU')
('SL12058-2022-11-01-7109','S297-5','lET', 'MB')
('SL12058-2022-11-01-7110','S297-6','aaoiJdoT', 'UB')
('SL04652-2022-11-01-7242','S302-18','KRLN', 'MB')
('SL22517-2022-11-02-7261','S303-13','hyPqmtxTVLfXo', 'MB')
('SL22517-2022-11-01-7173','S299-21','QvEDYtREKQlTC', 'MB')
('AC04652-2022-11-01-7595','A422-17','t', 'SL')
('SL04652-2022-11-02-7271','S303-23','vDMVYGZTgePs', 'SL')
('AC04652-2022-11-02-7299','A406-9','vf', 'UB')
('SL04652-2022-11-01-7250','S303-2','pbhLvUgVAm', 'MB')
('SL22517-2022-11-01-7216','S301-16','g', 'SU')
('SL22517-2022-11-01-7219','S301-19','qhpdd', 'UB')
('SL04652-2022-11-02-7317','S305-21','mqeHITx', 'MB')
('SL12058-2022-11-01-7171','S299-19','cEyirwqsdqHe', 'UB')
('SL04652-2022-11-02-7319','S305-23','xQMcYZAdykMeXVSs', 'SL')
('AC22517-2022-11-01-7364','A410-2','rGWqSb', 'LB')
('SL04652-2022-11-01-7312','S305-16','TTXwa', 'SU')
('SL22517-2022-11-02-7329','S306-9','jcXN', 'LB')
('SL22517-2022-11-01-7231','S302-7','p', 'SL')
('AC04652-2022-11-02-7361','A409-17','VgfYqXtOTtAUMTwq', 'SL')
('AC04652-2022-11-01-7651','A426-1','ovbHHgSjzq', 'LB')
('AC22517-2022-11-01-7370','A410-8','aqtunuly', 'LB')
('SL22517-2022-11-02-7331','S306-11','Ov', 'UB')
('SL12058-2022-11-01-7175','S299-23','hPwUxyL', 'SL')
('AC12058-2022-11-01-7388','A411-8','d', 'LB')
('AC22517-2022-11-01-7373','A410-11','lqpZ', 'SL')
('SL22517-2022-11-02-7335','S306-15','eRJMRgd', 'SL')
('AC22517-2022-11-01-7375','A410-13','fKv', 'LB')
('AC22517-2022-11-02-7435','A414-1','ZVnqvOQKkPi', 'LB')
('SL04652-2022-11-02-7330','S306-10','pYiGM', 'MB')
('AC22517-2022-11-01-7406','A412-8','LBBugGSOSbxFwStw', 'LB')
('SL04652-2022-11-02-7346','S307-2','vkqdzJMujYzCw', 'MB')
('SL22517-2022-11-02-7362','S307-18','fhPJOqg', 'MB')
('SL04652-2022-11-01-7343','S306-23','XLnzedD', 'SL')
('AC04652-2022-11-01-7677','A427-9','UQUqHcglP', 'UB')
('AC04652-2022-11-01-7680','A427-12','AqyY', 'SU')
('AC22517-2022-11-02-7468','A415-16','nY', 'UB')
('SL22517-2022-11-01-7265','S303-17','abAcrVXPaRCIa', 'LB')
('AC22517-2022-11-02-7470','A415-18','DNvgEVYxJuY', 'SU')
('AC04652-2022-11-01-7683','A427-15','uGBeSemBsa', 'UB')
('SL04652-2022-11-01-7351','S307-7','QXFFLKH', 'SL')
('SL12058-2022-11-01-7213','S301-13','hsCNOjfQeKxjW', 'MB')
('AC04652-2022-11-02-7408','A412-10','LqicUPOCNt', 'UB')
('SL22517-2022-11-01-7296','S304-24','c', 'SU')
('AC22517-2022-11-01-7443','A414-9','KMnbVSjbDS', 'UB')
('AC04652-2022-11-02-7439','A414-5','EOnpfeRbX', 'SL')
('AC04652-2022-11-02-7440','A414-6','EbdLKE', 'SU')
('SL22517-2022-11-02-7404','S309-12','HkyjsXNWaPoHy', 'LB')
('SL22517-2022-11-01-7335','S306-15','WiGozQLbrOyaIhU', 'SL')
('AC04652-2022-11-01-7749','A431-9','tEHPqN', 'UB')
('AC04652-2022-11-02-7497','A417-9','Whbmm', 'UB')
('SL04652-2022-11-01-7433','S310-17','kcdoNPpcz', 'LB')
('AC04652-2022-11-01-7758','A431-18','B', 'SU')
('SL12058-2022-11-01-7305','S305-9','XWms', 'LB')
('AC12058-2022-11-01-7516','A418-10','gCAaDqdEWdeKm', 'UB')
('AC12058-2022-11-01-7533','A419-9','TR', 'UB')
('AC12058-2022-11-01-7534','A419-10','UnyhLUkOJgqMvQu', 'UB')
('AC04652-2022-11-02-7534','A419-10','rMChSGpnQxXrQsbW', 'UB')
('AC22517-2022-11-01-7531','A419-7','DlRadAJYXhDkk', 'LB')
('AC12058-2022-11-01-7540','A419-16','TVABIhl', 'UB')
('AC12058-2022-11-01-7542','A419-18','OKwA', 'SU')
('SL04652-2022-11-02-7483','S312-19','abnxhIc', 'UB')
('SL22517-2022-11-01-7390','S308-22','eojguYkEKyqxe', 'UB')
('SL04652-2022-11-02-7485','S312-21','o', 'MB')
('SL04652-2022-11-02-7488','S312-24','LSwZ', 'SU')
('SL04652-2022-11-01-7469','S312-5','GRd', 'MB')
('SL12058-2022-11-01-7362','S307-18','RjcFkglfzsJMIDYk', 'MB')
('SL04652-2022-11-01-7497','S313-9','NfsBeh', 'LB')
('SL04652-2022-11-01-7501','S313-13','DAGLXh', 'MB')
('SL04652-2022-11-02-7532','S314-20','jgHzHXdHfayNqy', 'LB')
('SL04652-2022-11-01-7509','S313-21','ClzzkSOOCxIHPfW', 'MB')
('AC22517-2022-11-02-7668','A426-18','vcmBcZgIhU', 'SU')
('AC04652-2022-11-02-7619','A424-5','QZJhugtyWqRrwMYx', 'SL')
('AC22517-2022-11-02-7679','A427-11','fyQyLY', 'SL')
('AC22517-2022-11-01-7620','A424-6','bBwvHqx', 'SU')
('SL04652-2022-11-02-7566','S316-6','TOSgQHarNQwkdPf', 'UB')
('AC22517-2022-11-02-7681','A427-13','Y', 'LB')
('AC12058-2022-11-01-7637','A425-5','nSNBgQa', 'SL')
('AC22517-2022-11-02-7698','A428-12','BWxBMGMAgHT', 'SU')
('AC22517-2022-11-01-7635','A425-3','uNUi', 'UB')
('SL22517-2022-11-02-7593','S317-9','DpcN', 'LB')
('AC04652-2022-11-02-7662','A426-12','BGqWzjGRK', 'SU')
('SL12058-2022-11-01-7444','S311-4','OuPSVHBPm', 'LB')
('SL04652-2022-11-01-7581','S316-21','baqGmnjeY', 'MB')
('AC12058-2022-11-01-7657','A426-7','HumKcvdKT', 'LB')
('SL04652-2022-11-02-7594','S317-10','VipwFGquSmcFxys', 'MB')
('SL04652-2022-11-02-7595','S317-11','LMRalWgcpoGbX', 'UB')
('AC22517-2022-11-02-7723','A430-1','tcpQpthU', 'LB')
('AC22517-2022-11-02-7730','A430-8','PBFatpVzMQI', 'LB')
('SL22517-2022-11-01-7518','S314-6','wHQDeP', 'UB')
('AC22517-2022-11-02-7732','A430-10','FlHmbIoeQYDsHjJ', 'UB')
('AC04652-2022-11-01-7926','A441-6','rxADHy', 'SU')
('AC04652-2022-11-01-7927','A441-7','yMzwX', 'LB')
('SL12058-2022-11-01-7462','S311-22','v', 'UB')
('SL04652-2022-11-01-7599','S317-15','BcqaetVPPF', 'SL')
('AC04652-2022-11-02-7710','A429-6','dGMcdanjpTkD', 'SU')
('AC22517-2022-11-01-7704','A428-18','IMqJmCPwNzjaXtY', 'SU')
('SL12058-2022-11-01-7478','S312-14','R', 'UB')
('AC12058-2022-11-01-7695','A428-9','NlUZQ', 'UB')
('SL22517-2022-11-01-7548','S315-12','sDFzItJagLRtoj', 'LB')
('AC22517-2022-11-01-7707','A429-3','lZErIvi', 'UB')
('SL22517-2022-11-01-7550','S315-14','iLRi', 'UB')
('AC04652-2022-11-02-7720','A429-16','FsH', 'UB')
('AC12058-2022-11-01-7699','A428-13','vy', 'LB')
('AC22517-2022-11-02-7883','A438-17','ayFBIYNOf', 'SL')
('SL22517-2022-11-01-7654','S319-22','aNVcnxtsEz', 'UB')
('SL04652-2022-11-02-7747','S323-19','rlNgX', 'UB')
('AC12058-2022-11-01-7794','A433-18','NJaESy', 'SU')
('SL04652-2022-11-02-7748','S323-20','K', 'LB')
('SL22517-2022-11-01-7658','S320-2','BELgCyw', 'MB')
('AC22517-2022-11-01-7822','A435-10','eV', 'UB')
('AC22517-2022-11-02-7891','A439-7','JRZqLqSoooVfZmLz', 'LB')
('SL04652-2022-11-01-7735','S323-7','CbFtPIYfap', 'SL')
('AC22517-2022-11-02-7894','A439-10','sqJQjzwaJGpmJxPt', 'UB')
('SL22517-2022-11-01-7673','S320-17','eaXrzKXvYRC', 'LB')
('AC22517-2022-11-01-7830','A435-18','KkhDXdSL', 'SU')
('AC22517-2022-11-02-7905','A440-3','Iu', 'UB')
('SL22517-2022-11-02-7761','S324-9','oGViMp', 'LB')
('AC04652-2022-11-02-7844','A436-14','fZdIT', 'LB')
