('SL04652-2022-11-02-185','S8-17','EAEAYAHPd', 'LB')
('SL22517-2022-11-02-1361','S57-17','mcMWZvp', 'LB')
('AC04652-2022-11-01-1395','A78-9','PbzSuRjdKVJ', 'UB')
('SL22517-2022-11-01-1386','S58-18','gkVkAGhrwbH', 'MB')
('SL04652-2022-11-02-1387','S58-19','JwsEJs', 'UB')
('AC22517-2022-11-02-1366','A76-16','Pgyv', 'UB')
('AC12058-2022-11-01-1359','A76-9','jCeuqoXCvEMyI', 'UB')
('AC22517-2022-11-01-1368','A76-18','qr', 'SU')
('AC12058-2022-11-01-1368','A76-18','MqMWhWAZyUVJWwrd', 'SU')
('SL22517-2022-11-01-1402','S59-10','IDUypJlkWxQ', 'MB')
('AC04652-2022-11-01-1414','A79-10','AzbzXQV', 'UB')
('AC12058-2022-11-01-1372','A77-4','HHlUxZPc', 'UB')
('SL04652-2022-11-02-1401','S59-9','buJygUGUr', 'LB')
('SL22517-2022-11-01-1405','S59-13','IDLx', 'MB')
('SL12058-2022-11-01-1343','S56-23','UMRYyRlmLRJJX', 'SL')
('SL22517-2022-11-01-1407','S59-15','aZzpLgufNHoV', 'SL')
('AC22517-2022-11-02-1379','A77-11','HNKnOKgnYxkWkRyo', 'SL')
('SL22517-2022-11-01-1408','S59-16','YQluK', 'SU')
('AC04652-2022-11-01-1472','A82-14','pYHs', 'LB')
('SL22517-2022-11-02-1448','S61-8','RFsTmGtZ', 'SU')
('AC04652-2022-11-01-1493','A83-17','LBJA', 'SL')
('SL22517-2022-11-01-1482','S62-18','JpSSnwIVcUqUd', 'MB')
('AC04652-2022-11-02-1491','A83-15','JpyXBup', 'UB')
('SL22517-2022-11-01-1484','S62-20','OHMUilkrW', 'LB')
('SL22517-2022-11-02-1459','S61-19','lqHAIpqS', 'UB')
('SL04652-2022-11-01-1454','S61-14','ledkIbaLZvqmaMe', 'UB')
('AC04652-2022-11-01-1500','A84-6','Mbsx', 'SU')
('AC22517-2022-11-02-1472','A82-14','G', 'LB')
('AC22517-2022-11-01-1454','A81-14','uzKug', 'LB')
('AC12058-2022-11-01-1454','A81-14','E', 'LB')
('AC04652-2022-11-01-1504','A84-10','RqXqwwEJqcUc', 'UB')
('AC22517-2022-11-01-1459','A82-1','TTyxgz', 'LB')
('AC22517-2022-11-01-1499','A84-5','PGtvurA', 'SL')
('AC22517-2022-11-01-1500','A84-6','M', 'SU')
('AC22517-2022-11-01-1501','A84-7','QcAcjVNlmnXkXCzI', 'LB')
('SL04652-2022-11-01-1548','S65-12','FtFdwfLoO', 'LB')
('AC22517-2022-11-02-1553','A87-5','DHVeACWEtPAu', 'SL')
('AC04652-2022-11-01-1588','A89-4','cCRoJjq', 'UB')
('AC22517-2022-11-02-1558','A87-10','whWaqRA', 'UB')
('AC12058-2022-11-01-1541','A86-11','zmYS', 'SL')
('SL12058-2022-11-01-1533','S64-21','moiGAbrl', 'MB')
('SL04652-2022-11-02-1562','S66-2','DBglOfcpL', 'MB')
('SL22517-2022-11-01-1581','S66-21','EwnqjeMYQEUCpXS', 'MB')
('AC22517-2022-11-02-1580','A88-14','PRfN', 'LB')
('AC22517-2022-11-01-1588','A89-4','nfTgYJ', 'UB')
('SL12058-2022-11-01-1555','S65-19','YaLiXvGHzmuzBStE', 'UB')
('AC04652-2022-11-02-1609','A90-7','GCdhAcnfSptTKyGm', 'LB')
('AC04652-2022-11-01-1636','A91-16','LGws', 'UB')
('SL04652-2022-11-02-1601','S67-17','mqIub', 'LB')
('AC22517-2022-11-02-1609','A90-7','vjykOPs', 'LB')
('SL12058-2022-11-01-1580','S66-20','qs', 'LB')
('AC04652-2022-11-02-1626','A91-6','ivoFkUOoAEt', 'SU')
('AC22517-2022-11-01-1611','A90-9','LvLKvYhwVBCAKxyh', 'UB')
('SL22517-2022-11-02-1598','S67-14','WxUtn', 'UB')
('AC22517-2022-11-01-1613','A90-11','OwurbvtIUFMzyZ', 'SL')
('AC04652-2022-11-01-1646','A92-8','awmtAep', 'LB')
('SL22517-2022-11-01-1630','S68-22','gIGyHPtPEmtfodu', 'UB')
('SL12058-2022-11-01-1585','S67-1','EZnwCYADluhyWAoX', 'LB')
('AC22517-2022-11-01-1619','A90-17','rXDWGgZrYW', 'SL')
('AC04652-2022-11-01-1651','A92-13','VZOL', 'LB')
('AC04652-2022-11-01-1652','A92-14','X', 'LB')
('AC12058-2022-11-01-1596','A89-12','yWNNyp', 'SU')
('AC22517-2022-11-01-1639','A92-1','OCXAJHwEgL', 'LB')
('AC12058-2022-11-01-1615','A90-13','gVn', 'LB')
('AC22517-2022-11-01-1646','A92-8','YmLYeUvoIgEnX', 'LB')
('SL04652-2022-11-01-1632','S68-24','CshVVKkqcsIfmdjB', 'SU')
('AC22517-2022-11-01-1689','A94-15','cwYxLSWKuqbJjo', 'UB')
('SL22517-2022-11-01-1679','S70-23','MbYGLIYYEjTpx', 'SL')
('AC04652-2022-11-02-1684','A94-10','baoMDLaDXIozjL', 'UB')
('AC04652-2022-11-01-1724','A96-14','xGqWJgdIdve', 'LB')
('SL22517-2022-11-02-1664','S70-8','kaA', 'SU')
('SL04652-2022-11-02-1676','S70-20','LEENALaBDMcDRVXZ', 'LB')
('AC22517-2022-11-01-1706','A95-14','JetgtK', 'LB')
('SL04652-2022-11-01-1676','S70-20','Uvntyf', 'LB')
('SL04652-2022-11-01-1678','S70-22','MBjEOObtNQf', 'UB')
('AC04652-2022-11-02-1703','A95-11','uGILetKCJMWGs', 'SL')
('SL04652-2022-11-02-1687','S71-7','Aiq', 'SL')
('AC22517-2022-11-02-1687','A94-13','iVIJJgcpACHHGU', 'LB')
('SL04652-2022-11-01-1680','S70-24','c', 'SU')
('AC12058-2022-11-01-1668','A93-12','kCKabtgOOGuUcMmP', 'SU')
('AC22517-2022-11-01-1721','A96-11','qfI', 'SL')
('SL12058-2022-11-01-1662','S70-6','E', 'UB')
('SL04652-2022-11-01-1688','S71-8','ZzUWE', 'SU')
('AC22517-2022-11-02-1696','A95-4','cSTQwVTqKTQsRK', 'UB')
('AC04652-2022-11-02-1713','A96-3','BuqctGzzygFd', 'UB')
('AC22517-2022-11-02-1697','A95-5','CtirFhKZBACpffz', 'SL')
('AC22517-2022-11-02-1698','A95-6','BBWOk', 'SU')
('SL04652-2022-11-02-1702','S71-22','Vprs', 'UB')
('AC04652-2022-11-01-1764','A98-18','jYgBolhFPlvDCV', 'SU')
('SL04652-2022-11-02-1717','S72-13','o', 'MB')
('SL12058-2022-11-01-1678','S70-22','JPVjFhxXDciKCTd', 'UB')
('SL22517-2022-11-01-1756','S74-4','eFGPxaOdOgfbF', 'LB')
('SL12058-2022-11-01-1712','S72-8','iqUd', 'SU')
('AC04652-2022-11-02-1763','A98-17','rwluKoEQqAzlOAC', 'SL')
('AC04652-2022-11-01-1809','A101-9','eIGSligAZwOc', 'UB')
('SL12058-2022-11-01-1714','S72-10','IsFDMlBFmjCFKPUF', 'MB')
('AC04652-2022-11-02-1765','A99-1','TGkiPCitPjXvQFK', 'LB')
('AC22517-2022-11-01-1789','A100-7','vhKIgUKMskzUt', 'LB')
('SL22517-2022-11-02-1733','S73-5','SGqHUfvtWgQN', 'MB')
('SL22517-2022-11-02-1734','S73-6','okf', 'UB')
('AC04652-2022-11-02-1770','A99-6','NO', 'SU')
('SL04652-2022-11-02-1760','S74-8','DtOvYBiEM', 'SU')
('AC22517-2022-11-02-1754','A98-8','YoJmEoAv', 'LB')
('SL04652-2022-11-01-1752','S73-24','NmWMGkbjtl', 'SU')
('AC04652-2022-11-01-1885','A105-13','dDHvuGBcwkia', 'LB')
('SL12058-2022-11-01-1790','S75-14','azHAXHYb', 'UB')
('SL12058-2022-11-01-1791','S75-15','wrQspbURHDEM', 'SL')
('AC04652-2022-11-01-1886','A105-14','t', 'LB')
('AC22517-2022-11-02-1810','A101-10','LSwZQQWAEQH', 'UB')
('AC04652-2022-11-02-1841','A103-5','D', 'SL')
('SL12058-2022-11-01-1793','S75-17','vbWwApicZDYO', 'LB')
('AC04652-2022-11-01-1888','A105-16','kCwCgXiaMFRPf', 'UB')
('AC12058-2022-11-01-1825','A102-7','ijohyJkzVjLomFK', 'LB')
('AC04652-2022-11-01-1919','A107-11','HWn', 'SL')
('SL22517-2022-11-02-1847','S77-23','jmnx', 'SL')
('SL12058-2022-11-01-1835','S77-11','kPhRampnz', 'UB')
('AC12058-2022-11-01-1846','A103-10','RSBilVrCbev', 'UB')
('AC22517-2022-11-01-1901','A106-11','IHpNRYaOqZwR', 'SL')
('AC22517-2022-11-01-1903','A106-13','SJTEYwxbkcc', 'LB')
('AC04652-2022-11-01-1974','A110-12','rhTkhysVmGodtR', 'SU')
('AC22517-2022-11-01-1989','A111-9','OLWALYvHwopH', 'UB')
('SL04652-2022-11-01-1941','S81-21','bLLeGBYEtgSu', 'MB')
('AC22517-2022-11-02-1933','A108-7','XxmP', 'LB')
('SL12058-2022-11-01-1924','S81-4','pSyjEQWjj', 'LB')
('AC04652-2022-11-02-1958','A109-14','u', 'LB')
('SL12058-2022-11-01-1929','S81-9','KpNoISWAPU', 'LB')
('SL12058-2022-11-01-1930','S81-10','UboJsTdDLnQ', 'MB')
('AC22517-2022-11-01-1994','A111-14','D', 'LB')
('SL12058-2022-11-01-1935','S81-15','usrYyafw', 'SL')
('AC12058-2022-11-01-1931','A108-5','QIfGojFsD', 'SL')
('AC12058-2022-11-01-1932','A108-6','IyJmXkX', 'SU')
('SL04652-2022-11-02-1978','S83-10','PlPyXjB', 'MB')
('SL22517-2022-11-01-1977','S83-9','LMBBCVghFWWgDSx', 'LB')
('SL12058-2022-11-01-1939','S81-19','lcFHHasUhqyaRS', 'UB')
('SL04652-2022-11-01-1954','S82-10','ynBr', 'MB')
('SL22517-2022-11-01-1983','S83-15','KDHXoIL', 'SL')
('SL22517-2022-11-02-1953','S82-9','NjNAJpEw', 'LB')
('SL12058-2022-11-01-1944','S81-24','GEHACTMhZQ', 'SU')
('SL04652-2022-11-02-1980','S83-12','pWcGbLPaipZWcyh', 'LB')
('AC22517-2022-11-02-1954','A109-10','DUoiTHQ', 'UB')
('AC12058-2022-11-01-1958','A109-14','oCJyNIXwJuUEuh', 'LB')
('AC04652-2022-11-02-1974','A110-12','OHnKVDnrToxo', 'SU')
('AC04652-2022-11-01-2053','A115-1','pNBP', 'LB')
('SL12058-2022-11-01-1954','S82-10','Rhk', 'MB')
('SL12058-2022-11-01-1955','S82-11','CWEmmE', 'UB')
('AC04652-2022-11-01-2056','A115-4','dEHwPKWZncIalEJn', 'UB')
('SL12058-2022-11-01-1957','S82-13','rhMRbHjERebv', 'MB')
('SL22517-2022-11-02-1967','S82-23','kQ', 'SL')
('AC12058-2022-11-01-1960','A109-16','MyyzcVUSg', 'UB')
('SL12058-2022-11-01-1960','S82-16','wKFOwvQSQuPgTS', 'SU')
('AC22517-2022-11-02-1961','A109-17','d', 'SL')
('SL04652-2022-11-02-1994','S84-2','XfXDoYpnmWGspc', 'MB')
('AC04652-2022-11-02-1978','A110-16','PeYWgSRTk', 'UB')
('SL22517-2022-11-01-2000','S84-8','QAphAwVwBK', 'SU')
('AC04652-2022-11-02-1979','A110-17','cRlxPE', 'SL')
('SL12058-2022-11-01-1963','S82-19','PDFxpO', 'UB')
('SL04652-2022-11-01-1975','S83-7','eG', 'SL')
('SL04652-2022-11-02-2000','S84-8','LWF', 'SU')
('SL22517-2022-11-01-2002','S84-10','sgoOulejlnh', 'MB')
('SL22517-2022-11-01-2003','S84-11','Silc', 'UB')
('SL04652-2022-11-01-1977','S83-9','tyRrI', 'LB')
('SL04652-2022-11-02-2004','S84-12','ff', 'LB')
('SL22517-2022-11-01-2006','S84-14','dRCkXafE', 'UB')
('AC22517-2022-11-02-1976','A110-14','GggZUyrqCK', 'LB')
('SL22517-2022-11-02-2009','S84-17','W', 'LB')
('AC04652-2022-11-02-2018','A113-2','zqCSsdPV', 'LB')
('SL22517-2022-11-02-2011','S84-19','fjWavB', 'UB')
('AC22517-2022-11-02-2016','A112-18','aL', 'SU')
('SL22517-2022-11-02-2014','S84-22','bgCTYszsFWxhAxIT', 'UB')
('AC22517-2022-11-02-2018','A113-2','npRCjE', 'LB')
('AC04652-2022-11-02-2020','A113-4','GzFntS', 'UB')
('SL22517-2022-11-02-2017','S85-1','XjWrt', 'LB')
('SL12058-2022-11-01-2014','S84-22','dhk', 'UB')
('AC04652-2022-11-02-2021','A113-5','CRB', 'SL')
('SL04652-2022-11-02-2046','S86-6','xgDdO', 'UB')
('SL22517-2022-11-02-2020','S85-4','GJkOaQRNwEyCg', 'LB')
('SL12058-2022-11-01-2018','S85-2','kJCeBvWUMKpAjk', 'MB')
('SL04652-2022-11-02-2047','S86-7','K', 'SL')
('SL04652-2022-11-01-2025','S85-9','mpWnmEBxwhTqKU', 'LB')
('SL22517-2022-11-01-2047','S86-7','xmKPfzwfOfn', 'SL')
('AC04652-2022-11-02-2027','A113-11','ydJ', 'SL')
('SL22517-2022-11-02-2023','S85-7','d', 'SL')
('AC12058-2022-11-01-2029','A113-13','iCORNgy', 'LB')
('AC22517-2022-11-01-2071','A116-1','X', 'LB')
('AC22517-2022-11-01-2072','A116-2','ubQAgAjIuBJq', 'LB')
('AC22517-2022-11-01-2073','A116-3','E', 'UB')
('AC22517-2022-11-02-2032','A113-16','lODmOYciNtQ', 'UB')
('SL22517-2022-11-01-2058','S86-18','CZlSVFNqfC', 'MB')
('AC12058-2022-11-01-2036','A114-2','WZoETezqf', 'LB')
('AC04652-2022-11-02-2035','A114-1','tkZUxjJlrUOx', 'LB')
('AC04652-2022-11-02-2036','A114-2','kEqjALTlzZvVvWF', 'LB')
('SL04652-2022-11-01-2032','S85-16','pjtfcyvkTwvLRJ', 'SU')
('AC04652-2022-11-02-2038','A114-4','ENqdxdJurwb', 'UB')
('SL22517-2022-11-01-2064','S86-24','BdOQphbRYnvJjAD', 'SU')
('SL04652-2022-11-02-2063','S86-23','Bf', 'SL')
('AC04652-2022-11-01-2128','A119-4','twgYoYgctTXH', 'UB')
('AC22517-2022-11-02-2041','A114-7','QWbjHqAsxnh', 'LB')
('SL04652-2022-11-01-2037','S85-21','K', 'MB')
('AC22517-2022-11-01-2089','A117-1','D', 'LB')
('AC04652-2022-11-02-2060','A115-8','a', 'LB')
('AC22517-2022-11-02-2050','A114-16','LZLMzEoDUHCqp', 'UB')
('SL22517-2022-11-02-2058','S86-18','ti', 'MB')
('SL22517-2022-11-01-2083','S87-19','wtgVSZortPon', 'UB')
('AC04652-2022-11-01-2146','A120-4','CR', 'UB')
('SL04652-2022-11-02-2083','S87-19','NiagqhHOeXfkspoh', 'UB')
('AC12058-2022-11-01-2059','A115-7','cfkvnwhqGfhA', 'LB')
('AC04652-2022-11-01-2147','A120-5','PCIYogCcOyQNPOLS', 'SL')
('AC22517-2022-11-01-2144','A120-2','AMZgCOpwnRZbKE', 'LB')
('AC04652-2022-11-02-2103','A117-15','jGnVDhvhdjrAn', 'UB')
('AC12058-2022-11-01-2100','A117-12','qXVxHrrzvA', 'SU')
('SL22517-2022-11-02-2108','S88-20','YGxZZrhD', 'LB')
('SL22517-2022-11-02-2109','S88-21','UvltrUMMXCbK', 'MB')
('AC22517-2022-11-01-2150','A120-8','BRrlrkp', 'LB')
('SL22517-2022-11-01-2129','S89-17','qmypZP', 'LB')
('AC04652-2022-11-01-2202','A123-6','tXFmxiEgWjmw', 'SU')
('AC22517-2022-11-02-2105','A117-17','WVYCJIMz', 'SL')
('SL12058-2022-11-01-2082','S87-18','Bu', 'MB')
('SL22517-2022-11-02-2115','S89-3','NyRTgRfbqTal', 'UB')
('AC22517-2022-11-02-2108','A118-2','VwsRItfWPHrvwNd', 'LB')
('AC22517-2022-11-01-2156','A120-14','IyLQ', 'LB')
('AC04652-2022-11-01-2209','A123-13','BKNZVLjRejPDjL', 'LB')
('SL12058-2022-11-01-2092','S88-4','SDUbsLBqMhSCk', 'LB')
('AC22517-2022-11-01-2159','A120-17','HaJDBkdl', 'SL')
('AC12058-2022-11-01-2119','A118-13','GELCAkLVCHHht', 'LB')
('SL22517-2022-11-02-2123','S89-11','K', 'UB')
('AC12058-2022-11-01-2121','A118-15','WMHA', 'UB')
('AC12058-2022-11-01-2122','A118-16','POHoJHgAXDN', 'UB')
('SL22517-2022-11-02-2128','S89-16','jJWlLWembAQY', 'SU')
('AC04652-2022-11-01-2215','A124-1','fmOwdKJGcI', 'LB')
('AC04652-2022-11-02-2122','A118-16','smWZP', 'UB')
('SL04652-2022-11-01-2113','S89-1','JI', 'LB')
('SL22517-2022-11-01-2150','S90-14','wbHdsxsfJcKJq', 'UB')
('AC04652-2022-11-01-2220','A124-6','vcTuyPJQRaXcLoF', 'SU')
('AC12058-2022-11-01-2129','A119-5','X', 'SL')
('SL22517-2022-11-02-2137','S90-1','VeksHodAvc', 'LB')
('SL04652-2022-11-01-2117','S89-5','dZc', 'MB')
('SL22517-2022-11-01-2159','S90-23','RgMMiabrl', 'SL')
('SL04652-2022-11-01-2139','S90-3','CwMePxOZKlSEn', 'UB')
('AC22517-2022-11-01-2192','A122-14','cJPSqbcyPTR', 'LB')
('AC22517-2022-11-02-2154','A120-12','buXAhrCqnl', 'SU')
('AC04652-2022-11-01-2257','A126-7','hUZPUrpyyPCLrsp', 'LB')
('AC22517-2022-11-02-2160','A120-18','maBiEmRP', 'SU')
('AC22517-2022-11-01-2206','A123-10','dYvgiRSp', 'UB')
('AC04652-2022-11-02-2181','A122-3','ynPjIFcDYw', 'UB')
('AC12058-2022-11-01-2192','A122-14','hlbtctxXI', 'LB')
('AC04652-2022-11-01-2310','A129-6','Tqco', 'SU')
('AC04652-2022-11-02-2213','A123-17','svtGDCwkwShcV', 'SL')
('AC04652-2022-11-02-2214','A123-18','CTIqPRNHf', 'SU')
('AC22517-2022-11-02-2210','A123-14','LtzlOuLPsiVdtQ', 'LB')
('AC04652-2022-11-02-2284','A127-16','rT', 'UB')
('AC04652-2022-11-02-2285','A127-17','UKvKknFFuHnlfGB', 'SL')
('SL22517-2022-11-01-2277','S95-21','sqLkUr', 'MB')
('AC22517-2022-11-02-2279','A127-11','QxcqdNkpxjVSWSfR', 'SL')
('AC04652-2022-11-01-2380','A133-4','hjiZKrjVobED', 'UB')
('SL04652-2022-11-01-2242','S94-10','vpEJarkmO', 'MB')
('AC04652-2022-11-02-2289','A128-3','CHA', 'UB')
('SL22517-2022-11-01-2281','S96-1','uGn', 'LB')
('AC04652-2022-11-02-2290','A128-4','BIgMCOLbubGV', 'UB')
('AC22517-2022-11-01-2331','A130-9','wYXFxd', 'UB')
('SL04652-2022-11-01-2245','S94-13','YzqPFFRyc', 'MB')
('SL04652-2022-11-02-2290','S96-10','JrfBiehHlsQHikr', 'MB')
('AC04652-2022-11-02-2292','A128-6','FSjk', 'SU')
('SL22517-2022-11-01-2321','S97-17','D', 'LB')
('AC22517-2022-11-02-2311','A129-7','UztYrSnJqJjGIC', 'LB')
('AC22517-2022-11-02-2312','A129-8','Z', 'LB')
('SL12058-2022-11-01-2276','S95-20','XHHL', 'LB')
('AC22517-2022-11-02-2313','A129-9','yADdwLSRA', 'UB')
('SL04652-2022-11-02-2325','S97-21','mEZd', 'MB')
('SL04652-2022-11-02-2326','S97-22','WudokDfXzClwWlZo', 'UB')
('AC04652-2022-11-01-2430','A135-18','urICEYErVB', 'SU')
('SL12058-2022-11-01-2279','S95-23','dAzbaDvrEtCRAS', 'SL')
('SL22517-2022-11-02-2314','S97-10','SdEsDFdOGXfY', 'MB')
('SL04652-2022-11-01-2344','S98-16','od', 'SU')
('SL12058-2022-11-01-2321','S97-17','YtCnpFlsSt', 'LB')
('SL04652-2022-11-02-2379','S100-3','XTnwOER', 'UB')
('SL12058-2022-11-01-2328','S97-24','MmwbsxjvZD', 'SU')
('AC04652-2022-11-02-2388','A133-12','SCttl', 'SU')
('SL04652-2022-11-02-2384','S100-8','nLrn', 'SU')
('AC22517-2022-11-01-2428','A135-16','J', 'UB')
('AC22517-2022-11-02-2369','A132-11','zJXrLgiuuEpPncfe', 'SL')
('AC04652-2022-11-02-2396','A134-2','gq', 'LB')
('SL22517-2022-11-02-2382','S100-6','yrnQNKwMdweeXGa', 'UB')
('SL04652-2022-11-01-2413','S101-13','tXcrIRyecoP', 'MB')
('AC04652-2022-11-01-2549','A142-11','hLYePPgVsnJrFyN', 'SL')
('SL04652-2022-11-02-2454','S103-6','Q', 'UB')
('AC04652-2022-11-01-2559','A143-3','awgE', 'UB')
('SL12058-2022-11-01-2396','S100-20','hA', 'LB')
('SL04652-2022-11-02-2460','S103-12','imI', 'LB')
('SL04652-2022-11-02-2461','S103-13','wYnLSDOFkypN', 'MB')
('SL22517-2022-11-02-2426','S102-2','nJrRTDRwl', 'MB')
('AC12058-2022-11-01-2436','A136-6','vaRHPFK', 'SU')
('SL12058-2022-11-01-2398','S100-22','uXu', 'UB')
('SL22517-2022-11-02-2429','S102-5','eEPolrfbOGOlxK', 'MB')
('SL22517-2022-11-01-2464','S103-16','dLRUCvKXRYZIcx', 'SU')
('SL22517-2022-11-01-2465','S103-17','Juj', 'LB')
('SL12058-2022-11-01-2404','S101-4','MkQw', 'LB')
('SL12058-2022-11-01-2405','S101-5','nkjJRU', 'MB')
('AC04652-2022-11-02-2464','A137-16','zHf', 'UB')
('SL22517-2022-11-01-2474','S104-2','yEVQF', 'MB')
('SL04652-2022-11-02-2471','S103-23','CtxcqyDRRtnz', 'SL')
('SL04652-2022-11-02-2472','S103-24','EWrSvjkclhnbwZIi', 'SU')
('AC12058-2022-11-01-2454','A137-6','dM', 'SU')
('AC04652-2022-11-01-2565','A143-9','YfSa', 'UB')
('SL22517-2022-11-02-2436','S102-12','C', 'LB')
('SL04652-2022-11-02-2474','S104-2','RcBVQlyBCJQibWxH', 'MB')
('AC22517-2022-11-02-2452','A137-4','JMFghAxglZpoTcYK', 'UB')
('SL04652-2022-11-02-2475','S104-3','zuaelJEPqsrmgGG', 'UB')
('SL22517-2022-11-01-2481','S104-9','gGkpzohy', 'LB')
('AC22517-2022-11-02-2454','A137-6','K', 'SU')
('SL04652-2022-11-02-2478','S104-6','ZAmEyqvyNwdaBC', 'UB')
('AC04652-2022-11-02-2469','A138-3','WeY', 'UB')
('SL12058-2022-11-01-2415','S101-15','gMppaAibG', 'SL')
('SL12058-2022-11-01-2416','S101-16','atgrdUa', 'SU')
('SL22517-2022-11-02-2440','S102-16','UDlEObpwd', 'SU')
('SL22517-2022-11-02-2441','S102-17','MOUkg', 'LB')
('AC12058-2022-11-01-2497','A139-13','z', 'LB')
('AC04652-2022-11-01-2620','A146-10','AmxbLHEL', 'UB')
('AC22517-2022-11-02-2499','A139-15','kxX', 'UB')
('AC04652-2022-11-01-2622','A146-12','jYfXSfJDqlEWt', 'SU')
('AC12058-2022-11-01-2506','A140-4','YfsU', 'UB')
('AC04652-2022-11-02-2526','A141-6','ehqiyybjB', 'SU')
('AC12058-2022-11-01-2510','A140-8','K', 'LB')
('AC22517-2022-11-02-2505','A140-3','bZQnK', 'UB')
('AC22517-2022-11-02-2506','A140-4','OZkTeOzWQOyDiVWX', 'UB')
('SL12058-2022-11-01-2470','S103-22','QeStjn', 'UB')
('AC22517-2022-11-02-2508','A140-6','WcYYV', 'SU')
('SL12058-2022-11-01-2474','S104-2','JQntoSadc', 'MB')
('SL12058-2022-11-01-2475','S104-3','rXZZ', 'UB')
('SL12058-2022-11-01-2476','S104-4','fSL', 'LB')
('AC12058-2022-11-01-2518','A140-16','bosHL', 'UB')
('AC04652-2022-11-02-2540','A142-2','plUMMSbykvNECkn', 'LB')
('SL22517-2022-11-01-2550','S107-6','RTQrxQehrKoPSPo', 'UB')
('SL12058-2022-11-01-2527','S106-7','matqcDlWK', 'SL')
('SL22517-2022-11-02-2532','S106-12','J', 'LB')
('SL04652-2022-11-01-2542','S106-22','ncqNMwunWaJikEH', 'UB')
('AC04652-2022-11-01-2680','A149-16','DKTMEP', 'UB')
('SL04652-2022-11-02-2586','S108-18','PoXOPkompEhDkv', 'MB')
('SL12058-2022-11-01-2551','S107-7','RwoBHVNhJgVOpy', 'SL')
('AC04652-2022-11-02-2589','A144-15','Gsx', 'UB')
('SL22517-2022-11-01-2609','S109-17','WEEflD', 'LB')
('SL22517-2022-11-02-2553','S107-9','oeusVeFesUYoLnTp', 'LB')
('SL12058-2022-11-01-2555','S107-11','KUIr', 'UB')
('AC22517-2022-11-02-2590','A144-16','l', 'UB')
('AC04652-2022-11-02-2601','A145-9','goDLVTwcUUTpJJ', 'UB')
('AC22517-2022-11-01-2649','A148-3','rgbfjYoFafpMDNq', 'UB')
('AC12058-2022-11-01-2581','A144-7','Tjuy', 'LB')
('AC04652-2022-11-02-2602','A145-10','yBdrTTVwmo', 'UB')
('SL22517-2022-11-01-2617','S110-1','qEqNAtKYaAsBB', 'LB')
('SL04652-2022-11-01-2574','S108-6','yHMFalac', 'UB')
('AC12058-2022-11-01-2591','A144-17','kYJSmFNUDju', 'SL')
('SL04652-2022-11-01-2577','S108-9','KJtPfwiUc', 'LB')
('SL04652-2022-11-02-2626','S110-10','LfPtTEbLAHa', 'MB')
('SL12058-2022-11-01-2585','S108-17','gOFaAcmzmQYeke', 'LB')
('SL22517-2022-11-02-2584','S108-16','iYWGP', 'SU')
('AC12058-2022-11-01-2607','A145-15','w', 'UB')
('SL22517-2022-11-01-2636','S110-20','diH', 'LB')
('SL12058-2022-11-01-2592','S108-24','QfoGsYz', 'SU')
('AC12058-2022-11-01-2616','A146-6','yrpnMvzosQsFAlbI', 'SU')
('SL12058-2022-11-01-2593','S109-1','JCxhdPxMCBlG', 'LB')
('AC04652-2022-11-02-2634','A147-6','PNeRoSXNhgKwzF', 'SU')
('AC22517-2022-11-02-2622','A146-12','Rwv', 'SU')
('AC22517-2022-11-01-2684','A150-2','gyPHiPWPgL', 'LB')
('SL04652-2022-11-02-2641','S111-1','qyEGvnyZOMpWcJj', 'LB')
('AC04652-2022-11-01-2737','A153-1','JjPdnazLoK', 'LB')
('SL04652-2022-11-01-2611','S109-19','CzqjMLXGRlN', 'UB')
('AC04652-2022-11-02-2639','A147-11','zaK', 'SL')
('AC22517-2022-11-02-2629','A147-1','jvOMfUQtKO', 'LB')
('SL22517-2022-11-01-2652','S111-12','Ga', 'LB')
('AC12058-2022-11-01-2623','A146-13','iwbq', 'LB')
('AC22517-2022-11-02-2633','A147-5','zGxbXgs', 'SL')
('SL04652-2022-11-02-2651','S111-11','cuDxmaYdosG', 'UB')
('AC22517-2022-11-02-2644','A147-16','mdMgYnmDWJyp', 'UB')
('AC04652-2022-11-02-2658','A148-12','hGMjCAk', 'SU')
('AC04652-2022-11-02-2660','A148-14','AqoZgskqYpHDY', 'LB')
('SL22517-2022-11-01-2682','S112-18','oRnWJOZr', 'MB')
('SL04652-2022-11-02-2679','S112-15','COp', 'SL')
('SL22517-2022-11-01-2688','S112-24','UqefJFVrPYn', 'SU')
('SL22517-2022-11-02-2628','S110-12','Esyqwfpd', 'LB')
('SL22517-2022-11-01-2702','S113-14','bcXYxQKSm', 'UB')
('AC04652-2022-11-02-2681','A149-17','WLwunsgWPxQ', 'SL')
('AC04652-2022-11-02-2683','A150-1','TmylEwVNMZ', 'LB')
('AC04652-2022-11-02-2684','A150-2','ZTsx', 'LB')
('AC12058-2022-11-01-2658','A148-12','CDzcJz', 'SU')
('SL12058-2022-11-01-2654','S111-14','YpmhdXW', 'UB')
('AC22517-2022-11-01-2755','A154-1','jzUqtDCzeYbeixe', 'LB')
('AC22517-2022-11-01-2756','A154-2','GdfOqLSgbGGpTg', 'LB')
('SL22517-2022-11-02-2662','S111-22','QflwOlQxQGT', 'UB')
