('SL04652-2022-11-01-21','S1-21','GtEvZjaNCKnIUat', 'MB')
('AC22517-2022-11-02-2575','A144-1','hiWe', 'LB')
('AC22517-2022-11-02-2576','A144-2','TIAjNpfLZiqK', 'LB')
('AC04652-2022-11-02-2507','A140-5','fDOohzLYqcgPOxJo', 'SL')
('AC12058-2022-11-01-2552','A142-14','Xvlkoi', 'LB')
('AC04652-2022-11-01-2626','A146-16','pxRoDc', 'UB')
('SL04652-2022-11-01-2589','S108-21','ttC', 'MB')
('SL22517-2022-11-02-2588','S108-20','BfWzUXVZnbFDgvum', 'LB')
('SL12058-2022-11-01-2554','S107-10','itugcCjfH', 'MB')
('AC22517-2022-11-01-2468','A138-2','btMbBZKuyzETCN', 'LB')
('AC22517-2022-11-01-2469','A138-3','hTkHt', 'UB')
('AC04652-2022-11-01-2630','A147-2','O', 'LB')
('AC12058-2022-11-01-2582','A144-8','asPPZSGBKAliB', 'LB')
('SL04652-2022-11-02-2555','S107-11','fEseGIcWAClpL', 'UB')
('SL04652-2022-11-01-2602','S109-10','giybDOtE', 'MB')
('SL12058-2022-11-01-2557','S107-13','K', 'MB')
('SL22517-2022-11-01-2585','S108-17','xWltwwmwaP', 'LB')
('SL22517-2022-11-02-2599','S109-7','CtUVdqzBbWDIwT', 'SL')
('AC22517-2022-11-01-2484','A138-18','rVyMQYqMY', 'SU')
('SL22517-2022-11-02-2609','S109-17','TfQiUrdY', 'LB')
('AC04652-2022-11-01-2653','A148-7','kYZPTMuoywcnN', 'LB')
('SL04652-2022-11-01-2616','S109-24','RqT', 'SU')
('AC04652-2022-11-01-2656','A148-10','BUehTLcazg', 'UB')
('AC04652-2022-11-02-2553','A142-15','IYWohsDJkUMP', 'UB')
('AC12058-2022-11-01-2597','A145-5','i', 'SL')
('SL12058-2022-11-01-2571','S108-3','Srzh', 'UB')
('SL22517-2022-11-02-2615','S109-23','cScSKFul', 'SL')
('SL04652-2022-11-02-2601','S109-9','SaAoWKJrPnvItOxp', 'LB')
('AC04652-2022-11-01-2692','A150-10','DxzOGKIKO', 'UB')
('AC22517-2022-11-02-2666','A149-2','sorVJG', 'LB')
('AC04652-2022-11-01-2697','A150-15','yWGY', 'UB')
('AC22517-2022-11-01-2522','A141-2','GbhcSYUJtNnEJKDl', 'LB')
('SL12058-2022-11-01-2615','S109-23','A', 'SL')
('AC22517-2022-11-02-2672','A149-8','EITFsfFspuuRtfvz', 'LB')
('SL22517-2022-11-02-2666','S112-2','zpIxgpvzAW', 'MB')
('SL04652-2022-11-01-2662','S111-22','aOIwhsaWnWBqDl', 'UB')
('SL22517-2022-11-01-2647','S111-7','ot', 'SL')
('SL22517-2022-11-02-2669','S112-5','CuFmHTOBUpDVbI', 'MB')
('AC12058-2022-11-01-2644','A147-16','SzgOlPOXBJju', 'UB')
('AC22517-2022-11-02-2677','A149-13','ukcwpiBre', 'LB')
('AC22517-2022-11-02-2678','A149-14','jeWDzkRpY', 'LB')
('SL22517-2022-11-02-2675','S112-11','ITKrEyjUYeZwaBzD', 'UB')
('AC04652-2022-11-02-2605','A145-13','xsSIcF', 'LB')
('AC22517-2022-11-02-2697','A150-15','mkdaDyTFfputucWs', 'UB')
('SL22517-2022-11-02-2688','S112-24','sYjZUSnrAWauBqIx', 'SU')
('AC22517-2022-11-01-2547','A142-9','uFkEAXweVM', 'UB')
('AC22517-2022-11-02-2700','A150-18','VzJK', 'SU')
('AC22517-2022-11-02-2701','A151-1','YLm', 'LB')
('AC22517-2022-11-01-2548','A142-10','tgF', 'UB')
('AC12058-2022-11-01-2670','A149-6','irbdYpEgrL', 'SU')
('SL04652-2022-11-02-2646','S111-6','bKBoRsH', 'UB')
('SL12058-2022-11-01-2645','S111-5','kp', 'MB')
('SL22517-2022-11-02-2715','S114-3','wLTOQzxmPOKh', 'UB')
('AC22517-2022-11-02-2726','A152-8','gyJsciC', 'LB')
('AC12058-2022-11-01-2695','A150-13','ylAkVMmBPXt', 'LB')
('SL22517-2022-11-02-2719','S114-7','mRPm', 'SL')
('AC22517-2022-11-01-2571','A143-15','cmMtstccm', 'UB')
('AC22517-2022-11-01-2572','A143-16','pNCctUdPtI', 'UB')
('SL22517-2022-11-02-2720','S114-8','tTrwLRNSr', 'SU')
('AC22517-2022-11-02-2730','A152-12','ChJmt', 'SU')
('AC12058-2022-11-01-2704','A151-4','xwUh', 'UB')
('SL04652-2022-11-01-2744','S115-8','Rootom', 'SU')
('AC04652-2022-11-01-2779','A155-7','baVnXXfz', 'LB')
('AC22517-2022-11-01-2591','A144-17','jjMBhCDNuWoW', 'SL')
('SL22517-2022-11-01-2730','S114-18','UYoR', 'MB')
('AC04652-2022-11-01-2781','A155-9','eihAIaJHUEGob', 'UB')
('AC12058-2022-11-01-2719','A152-1','naKLm', 'LB')
('AC22517-2022-11-02-2758','A154-4','clthOIsve', 'UB')
('SL12058-2022-11-01-2713','S114-1','EKG', 'LB')
('AC22517-2022-11-01-2606','A145-14','gvpdfpX', 'LB')
('SL04652-2022-11-01-2765','S116-5','hFilvIg', 'MB')
('SL12058-2022-11-01-2722','S114-10','t', 'MB')
('SL04652-2022-11-01-2769','S116-9','nqypg', 'LB')
('AC22517-2022-11-02-2768','A154-14','kKGdvoHe', 'LB')
('SL22517-2022-11-02-2771','S116-11','ExBFBMtmx', 'UB')
('AC04652-2022-11-01-2800','A156-10','qG', 'UB')
('SL22517-2022-11-01-2760','S115-24','M', 'SU')
('SL04652-2022-11-01-2776','S116-16','etvITPCJiHazmEF', 'SU')
('AC04652-2022-11-02-2753','A153-17','YqDvjgS', 'SL')
('SL04652-2022-11-02-2734','S114-22','fkoRbQYYFTuKXGTd', 'UB')
('AC04652-2022-11-02-2762','A154-8','KqI', 'LB')
('AC04652-2022-11-02-2763','A154-9','wycqTxt', 'UB')
('AC22517-2022-11-01-2647','A148-1','DS', 'LB')
('SL12058-2022-11-01-2765','S116-5','EAyQuXnotA', 'MB')
('SL12058-2022-11-01-2766','S116-6','SKCANbJVZhzLC', 'UB')
('SL22517-2022-11-02-2819','S118-11','SrvMffN', 'UB')
('SL04652-2022-11-01-2817','S118-9','VkcnwCxoI', 'LB')
('SL22517-2022-11-01-2800','S117-16','bFKzGHsOjyMlNUv', 'SU')
('SL04652-2022-11-01-2820','S118-12','rsBGcyYwLNQzD', 'LB')
('SL12058-2022-11-01-2777','S116-17','mPBCmJcQrMTbN', 'LB')
('AC22517-2022-11-01-2661','A148-15','TQAOEahKxQGARVPy', 'UB')
('SL12058-2022-11-01-2779','S116-19','gRkU', 'UB')
('AC04652-2022-11-01-2854','A159-10','jwFFKvGgFd', 'UB')
('AC22517-2022-11-02-2833','A158-7','jcIy', 'LB')
('SL04652-2022-11-02-2751','S115-15','kK', 'SL')
('AC22517-2022-11-02-2836','A158-10','GegLMHfCqp', 'UB')
('AC22517-2022-11-02-2837','A158-11','ZUaPpeXxJ', 'SL')
('AC22517-2022-11-02-2878','A160-16','jSkrkdddgTWoNB', 'UB')
('SL04652-2022-11-01-2864','S120-8','WFOHUr', 'SU')
('AC22517-2022-11-02-2879','A160-17','fuWXmQr', 'SL')
('SL22517-2022-11-02-2879','S120-23','vu', 'SL')
('SL04652-2022-11-02-2805','S117-21','kxIqxQTkHuJHVP', 'MB')
('SL04652-2022-11-01-2878','S120-22','XBbBAenGVLiVRha', 'UB')
('SL12058-2022-11-01-2836','S119-4','TZdRqVM', 'LB')
('SL22517-2022-11-01-2866','S120-10','OsrwZ', 'MB')
('AC12058-2022-11-01-2842','A158-16','kbmLjfUmA', 'UB')
('SL04652-2022-11-02-2810','S118-2','GwewcDUgURqA', 'MB')
('AC12058-2022-11-01-2844','A158-18','SgQYpt', 'SU')
('AC22517-2022-11-02-2917','A163-1','uAmEFSgrB', 'LB')
('SL04652-2022-11-02-2821','S118-13','vdXHtGnYuGppd', 'MB')
('AC04652-2022-11-01-2917','A163-1','rmXPfegFI', 'LB')
('SL22517-2022-11-01-2885','S121-5','KtEofSYcdz', 'MB')
('AC04652-2022-11-01-2918','A163-2','bIqnEkF', 'LB')
('AC22517-2022-11-02-2924','A163-8','zdNjvcA', 'LB')
('SL22517-2022-11-02-2913','S122-9','UTdZ', 'LB')
('AC12058-2022-11-01-2865','A160-3','cKINluL', 'UB')
('AC12058-2022-11-01-2866','A160-4','nscryZp', 'UB')
('AC22517-2022-11-01-2720','A152-2','upYotUp', 'LB')
('AC04652-2022-11-02-2841','A158-15','QJnZfiJ', 'UB')
('AC12058-2022-11-01-2874','A160-12','XKmSdBbXAEX', 'SU')
('SL04652-2022-11-02-2825','S118-17','JFUZCmvZ', 'LB')
('SL04652-2022-11-01-2915','S122-11','XH', 'UB')
('SL12058-2022-11-01-2870','S120-14','UmADDI', 'UB')
('SL04652-2022-11-02-2828','S118-20','JmpZV', 'LB')
('AC12058-2022-11-01-2877','A160-15','k', 'UB')
('SL22517-2022-11-01-2900','S121-20','N', 'LB')
('SL22517-2022-11-02-2958','S124-6','ERTxtJTVDDuOtGka', 'UB')
('AC04652-2022-11-01-2950','A164-16','fUWjnpIoUWj', 'UB')
('AC22517-2022-11-02-2972','A166-2','yRzXzNmMqPi', 'LB')
('AC04652-2022-11-02-2883','A161-3','CMCPqna', 'UB')
('SL04652-2022-11-01-2960','S124-8','jhnnyl', 'SU')
('AC04652-2022-11-01-2962','A165-10','PGeQtbgVVVNBjnw', 'UB')
('AC04652-2022-11-02-2895','A161-15','hrlBCHTdqfcrfMW', 'UB')
('AC22517-2022-11-01-2768','A154-14','qNDlvHcwsy', 'LB')
('SL04652-2022-11-02-2872','S120-16','BUSgGUKByVLHfAgo', 'SU')
('SL22517-2022-11-02-2972','S124-20','uaxlyXFSAHri', 'LB')
('SL04652-2022-11-01-2968','S124-16','gsvifY', 'SU')
('AC04652-2022-11-02-2902','A162-4','Sb', 'UB')
('SL04652-2022-11-01-2970','S124-18','ypXe', 'MB')
('SL04652-2022-11-01-2975','S124-23','ml', 'SL')
('AC22517-2022-11-02-3000','A167-12','nzRAemyvyMUF', 'SU')
('AC22517-2022-11-02-3010','A168-4','CwgQPPbW', 'UB')
('AC22517-2022-11-01-2788','A155-16','OYAnWMqiRtyP', 'UB')
('AC04652-2022-11-02-2924','A163-8','OexTheE', 'LB')
('AC04652-2022-11-01-2984','A166-14','rVd', 'LB')
('SL12058-2022-11-01-2933','S123-5','iaWTgox', 'MB')
('AC22517-2022-11-01-2792','A156-2','mKnlhJx', 'LB')
('AC04652-2022-11-02-2926','A163-10','TinnwFdA', 'UB')
('SL22517-2022-11-01-2961','S124-9','XoZke', 'LB')
('AC22517-2022-11-01-2795','A156-5','qsjSFOZgoj', 'SL')
('SL04652-2022-11-01-2989','S125-13','viqFdRpFwPpa', 'MB')
('AC22517-2022-11-01-2798','A156-8','Nf', 'LB')
('AC12058-2022-11-01-2954','A165-2','pJv', 'LB')
('AC04652-2022-11-01-3025','A169-1','Wappfuuugch', 'LB')
('AC04652-2022-11-02-2973','A166-3','EkvJNmDn', 'UB')
('SL22517-2022-11-02-3051','S128-3','KOcrr', 'UB')
('AC22517-2022-11-02-3059','A170-17','KgfeLDXyCjOaa', 'SL')
('AC04652-2022-11-02-2974','A166-4','sMt', 'UB')
('AC04652-2022-11-01-3037','A169-13','bmBbtQnoLpDnU', 'LB')
('AC22517-2022-11-02-3071','A171-11','XKmtoighQNFml', 'SL')
('SL22517-2022-11-02-3064','S128-16','GVEgfVFDFkJ', 'SU')
('SL22517-2022-11-02-3065','S128-17','hfVZeywkh', 'LB')
('SL04652-2022-11-02-2960','S124-8','CWxDJYVnvWcOHy', 'SU')
('SL22517-2022-11-02-3069','S128-21','jJymJ', 'MB')
('AC04652-2022-11-01-3044','A170-2','UJWcXZOvwVffSdXC', 'LB')
('SL22517-2022-11-02-3071','S128-23','IZHWEwAAzQQNrlEk', 'SL')
('SL22517-2022-11-01-3059','S128-11','wqJSrVhJb', 'UB')
('AC22517-2022-11-01-2899','A162-1','nb', 'LB')
('SL22517-2022-11-02-3100','S130-4','nzgDEWpnA', 'LB')
('SL22517-2022-11-01-3063','S128-15','SkjJSSwJ', 'SL')
('AC22517-2022-11-02-3126','A174-12','EOYcAHBYV', 'SU')
('AC22517-2022-11-02-3127','A174-13','YUpweBZXAVzg', 'LB')
('SL22517-2022-11-02-3106','S130-10','E', 'MB')
('SL04652-2022-11-01-3084','S129-12','WXDOSmMMXbeBMCdg', 'LB')
('AC04652-2022-11-01-3085','A172-7','Z', 'LB')
('SL04652-2022-11-01-3085','S129-13','AoRm', 'MB')
('SL22517-2022-11-01-3070','S128-22','mDAyBXEyjA', 'UB')
('SL04652-2022-11-02-3004','S126-4','OARJlVkHVYLmV', 'LB')
('AC12058-2022-11-01-3066','A171-6','uvTh', 'SU')
('AC22517-2022-11-01-2908','A162-10','RmJGrHWLaiQims', 'UB')
('AC22517-2022-11-01-2909','A162-11','yWNEzpikpkZpejHm', 'SL')
('AC04652-2022-11-02-3036','A169-12','tZelfIcYy', 'SU')
('SL12058-2022-11-01-3043','S127-19','dzm', 'UB')
('SL12058-2022-11-01-3044','S127-20','GBFidSEQkbp', 'LB')
('SL22517-2022-11-02-3110','S130-14','CQOzSPmwTrdK', 'UB')
('SL12058-2022-11-01-3046','S127-22','eNClEnwojiC', 'UB')
('AC04652-2022-11-02-3041','A169-17','FhoJNbbm', 'SL')
('SL22517-2022-11-02-3112','S130-16','rlMPiGVFvKKez', 'SU')
('AC04652-2022-11-02-3042','A169-18','lfUKfwdTJ', 'SU')
('AC04652-2022-11-02-3043','A170-1','ntCHKSAP', 'LB')
('SL04652-2022-11-02-3023','S126-23','xjpDeEKVMuqvDIF', 'SL')
('SL04652-2022-11-02-3024','S126-24','LZwGpqpQ', 'SU')
('SL04652-2022-11-01-3102','S130-6','s', 'UB')
('SL04652-2022-11-02-3026','S127-2','QCQmyyaYTTMWjf', 'MB')
('AC04652-2022-11-01-3102','A173-6','P', 'SU')
('AC04652-2022-11-02-3056','A170-14','JO', 'LB')
('SL04652-2022-11-01-3111','S130-15','bfABfy', 'SL')
('AC22517-2022-11-01-2930','A163-14','z', 'LB')
('AC04652-2022-11-02-3061','A171-1','Y', 'LB')
('SL22517-2022-11-01-3094','S129-22','GyFURLJRRcRdxx', 'UB')
('AC22517-2022-11-02-3161','A176-11','GaDtZRcCmWpib', 'SL')
('SL04652-2022-11-01-3115','S130-19','JkKrxRP', 'UB')
('AC12058-2022-11-01-3086','A172-8','WSZJVypD', 'LB')
('AC22517-2022-11-02-3163','A176-13','FdCITotivMRnh', 'LB')
('SL22517-2022-11-01-3099','S130-3','zDvleOPLG', 'UB')
('SL04652-2022-11-02-3040','S127-16','aTEkNuxx', 'SU')
('AC04652-2022-11-01-3115','A174-1','tvuBYdcEn', 'LB')
('AC04652-2022-11-02-3070','A171-10','sZJMHX', 'UB')
('SL04652-2022-11-02-3044','S127-20','RGN', 'LB')
('SL12058-2022-11-01-3066','S128-18','VJPxSdhjj', 'MB')
('AC04652-2022-11-01-3120','A174-6','oIAIQs', 'SU')
('SL22517-2022-11-02-3146','S132-2','ZAMy', 'MB')
('SL04652-2022-11-01-3127','S131-7','btJnppTmaZHOMRM', 'SL')
('AC22517-2022-11-02-3174','A177-6','E', 'SU')
('SL04652-2022-11-01-3131','S131-11','MayeFuKvtmVpa', 'UB')
('AC22517-2022-11-02-3176','A177-8','tMbBTuW', 'LB')
('AC12058-2022-11-01-3102','A173-6','XWzXx', 'SU')
('AC04652-2022-11-01-3127','A174-13','dYUfPLfmcGFPPh', 'LB')
('SL22517-2022-11-01-3115','S130-19','N', 'UB')
('AC12058-2022-11-01-3106','A173-10','DBvmUdmAQY', 'UB')
('AC04652-2022-11-01-3131','A174-17','GIRKmMU', 'SL')
('AC22517-2022-11-02-3181','A177-13','CftRVilN', 'LB')
('AC12058-2022-11-01-3110','A173-14','mdYsDsDolgZt', 'LB')
('SL04652-2022-11-02-3076','S129-4','SXfHiNOZoed', 'LB')
('AC04652-2022-11-01-3136','A175-4','IykJdqmshwpYAfM', 'UB')
('SL22517-2022-11-01-3132','S131-12','FyjukMKGCsItt', 'LB')
('AC04652-2022-11-02-3108','A173-12','ooVyqkYvjOhOQduP', 'SU')
('AC12058-2022-11-01-3128','A174-14','qBLaKz', 'LB')
('AC04652-2022-11-02-3111','A173-15','DAlKw', 'UB')
('SL22517-2022-11-01-3144','S131-24','Cf', 'SU')
('SL22517-2022-11-01-3152','S132-8','JcjmNijCaCn', 'SU')
('SL22517-2022-11-01-3153','S132-9','uLvMtO', 'LB')
('AC04652-2022-11-02-3122','A174-8','qkWfgHh', 'LB')
('SL22517-2022-11-01-3154','S132-10','mMtMHHVhC', 'MB')
('SL04652-2022-11-02-3105','S130-9','ptkzOIFarW', 'LB')
('AC22517-2022-11-02-3204','A178-18','gqRBE', 'SU')
('SL04652-2022-11-02-3112','S130-16','ihm', 'SU')
('SL04652-2022-11-01-3176','S133-8','unVRMnEYSnvRsNM', 'SU')
('SL04652-2022-11-01-3213','S134-21','KuJhADnGXqm', 'MB')
('SL04652-2022-11-01-3214','S134-22','WrRCkbEF', 'UB')
('AC04652-2022-11-02-3165','A176-15','NqPgjegIsW', 'UB')
('SL04652-2022-11-02-3154','S132-10','BlW', 'MB')
('AC04652-2022-11-01-3206','A179-2','BTWkJeAiLO', 'LB')
('SL22517-2022-11-02-3233','S135-17','kO', 'LB')
('SL22517-2022-11-02-3235','S135-19','zQTYIsMhlCNDKS', 'UB')
('SL22517-2022-11-02-3236','S135-20','QSZ', 'LB')
('AC22517-2022-11-01-3054','A170-12','pdXeEtuRsAfFC', 'SU')
('SL12058-2022-11-01-3143','S131-23','N', 'SL')
('SL22517-2022-11-01-3213','S134-21','iyp', 'MB')
('AC22517-2022-11-01-3061','A171-1','KhPWqqzR', 'LB')
('AC22517-2022-11-02-3263','A182-5','PNoo', 'SL')
('AC12058-2022-11-01-3198','A178-12','ygUtdFejsfwDkZcu', 'SU')
('SL04652-2022-11-02-3159','S132-15','EzljMDIFY', 'SL')
('SL04652-2022-11-01-3231','S135-15','WTfp', 'SL')
('SL12058-2022-11-01-3151','S132-7','MKfB', 'SL')
('AC22517-2022-11-02-3267','A182-9','AubVQi', 'UB')
('SL22517-2022-11-01-3225','S135-9','Yknf', 'LB')
('AC12058-2022-11-01-3207','A179-3','vTmzvDcGk', 'UB')
('SL04652-2022-11-02-3168','S132-24','tx', 'SU')
('SL04652-2022-11-01-3237','S135-21','tqgjBm', 'MB')
('AC22517-2022-11-02-3272','A182-14','ShMhDOYhCcO', 'LB')
('SL22517-2022-11-02-3252','S136-12','rnwBlnqGmJz', 'LB')
('SL04652-2022-11-02-3174','S133-6','K', 'UB')
('AC04652-2022-11-02-3189','A178-3','pObMgSVsHmG', 'UB')
('AC22517-2022-11-02-3276','A182-18','pjfLXSLfnhbhyoGX', 'SU')
('AC12058-2022-11-01-3214','A179-10','WdMiOwhgpJhWY', 'UB')
('AC04652-2022-11-02-3194','A178-8','qwNhpMmohUR', 'LB')
('AC22517-2022-11-02-3281','A183-5','RpmAcCybBZN', 'SL')
('SL04652-2022-11-02-3178','S133-10','jArPLcIqoJv', 'MB')
('AC22517-2022-11-02-3286','A183-10','Hzrlw', 'UB')
('AC12058-2022-11-01-3294','A183-18','xRNIRdNRITW', 'SU')
('SL22517-2022-11-02-3339','S140-3','wDkDoQVCxPbfwV', 'UB')
('SL12058-2022-11-01-3240','S135-24','hkFHjHK', 'SU')
('AC22517-2022-11-01-3157','A176-7','gbjkvXf', 'LB')
('AC12058-2022-11-01-3296','A184-2','kCUkbxDeM', 'LB')
('AC22517-2022-11-01-3159','A176-9','BpXYJurMJciGF', 'UB')
('AC04652-2022-11-02-3258','A181-18','GTxEaRw', 'SU')
('SL22517-2022-11-01-3302','S138-14','gUynWBBpY', 'UB')
('SL12058-2022-11-01-3246','S136-6','LttxOdxlZen', 'UB')
('AC04652-2022-11-02-3262','A182-4','mBVxAh', 'UB')
('AC22517-2022-11-01-3162','A176-12','tQ', 'SU')
('SL04652-2022-11-01-3324','S139-12','cLd', 'LB')
('AC04652-2022-11-02-3264','A182-6','kOpDMmgzFcuJ', 'SU')
('SL22517-2022-11-02-3348','S140-12','yfJ', 'LB')
('SL04652-2022-11-01-3326','S139-14','MJbxljYR', 'UB')
('SL22517-2022-11-01-3308','S138-20','M', 'LB')
('SL22517-2022-11-02-3350','S140-14','juIwbkw', 'UB')
('SL12058-2022-11-01-3253','S136-13','h', 'MB')
('AC12058-2022-11-01-3303','A184-9','WYtCxfUxUQSCSk', 'UB')
('AC22517-2022-11-02-3371','A188-5','aDzetPgf', 'SL')
('SL12058-2022-11-01-3255','S136-15','TsZnGPZJMBmwJa', 'SL')
('AC04652-2022-11-01-3310','A184-16','KdNkM', 'UB')
('SL04652-2022-11-01-3330','S139-18','obSG', 'MB')
('SL22517-2022-11-01-3312','S138-24','CIfZ', 'SU')
('SL12058-2022-11-01-3257','S136-17','qQPpVXiHkKY', 'LB')
('AC04652-2022-11-02-3273','A182-15','ci', 'UB')
('AC04652-2022-11-01-3312','A184-18','uCkchkPnVgWXfDY', 'SU')
('AC12058-2022-11-01-3307','A184-13','NPNqCZokZ', 'LB')
('SL22517-2022-11-02-3358','S140-22','TrIoqYJgJ', 'UB')
('AC04652-2022-11-02-3274','A182-16','lmHsjTXjJ', 'UB')
('SL04652-2022-11-02-3266','S137-2','syeqBXLyBiI', 'MB')
('AC22517-2022-11-02-3380','A188-14','RNs', 'LB')
('AC12058-2022-11-01-3316','A185-4','pyV', 'UB')
('AC12058-2022-11-01-3317','A185-5','IZmcQxUu', 'SL')
('AC12058-2022-11-01-3318','A185-6','Irx', 'SU')
('AC04652-2022-11-02-3279','A183-3','CVeC', 'UB')
('SL04652-2022-11-01-3341','S140-5','n', 'MB')
('AC22517-2022-11-01-3182','A177-14','GF', 'LB')
('AC12058-2022-11-01-3324','A185-12','h', 'SU')
('AC22517-2022-11-02-3388','A189-4','vJ', 'UB')
('AC04652-2022-11-01-3327','A185-15','daSWxGmeEhokrd', 'UB')
('SL22517-2022-11-01-3332','S139-20','BffhhFpgccB', 'LB')
('SL22517-2022-11-02-3378','S141-18','OZYbLSnoXeZLvyn', 'MB')
('SL04652-2022-11-02-3278','S137-14','Tq', 'UB')
('AC12058-2022-11-01-3338','A186-8','hXlWoXn', 'LB')
('SL04652-2022-11-02-3288','S137-24','zMmFdAgU', 'SU')
('SL12058-2022-11-01-3285','S137-21','leJCF', 'MB')
('AC04652-2022-11-02-3304','A184-10','MPLXQYc', 'UB')
('AC04652-2022-11-02-3305','A184-11','dneUKHEHlOaab', 'SL')
('AC04652-2022-11-01-3346','A186-16','HwFRHExiwkNxr', 'UB')
('SL12058-2022-11-01-3287','S137-23','EXYmYksPwFkehMXB', 'SL')
('SL12058-2022-11-01-3288','S137-24','tu', 'SU')
('SL22517-2022-11-02-3390','S142-6','dhGunrUJndNwi', 'UB')
('AC04652-2022-11-01-3363','A187-15','UqXwAVYCDT', 'UB')
('AC22517-2022-11-01-3217','A179-13','dnCTtVlxccXCyx', 'LB')
('AC22517-2022-11-02-3415','A190-13','UIiqaEnwnTzFRpv', 'LB')
('AC22517-2022-11-02-3417','A190-15','R', 'UB')
('AC22517-2022-11-01-3220','A179-16','c', 'UB')
('SL22517-2022-11-02-3408','S142-24','oLDvaVbX', 'SU')
('SL22517-2022-11-01-3364','S141-4','AVE', 'LB')
('AC22517-2022-11-02-3420','A190-18','CEHfDnGgIluNKDY', 'SU')
('SL12058-2022-11-01-3308','S138-20','C', 'LB')
('AC04652-2022-11-02-3323','A185-11','dixs', 'SL')
('AC22517-2022-11-01-3226','A180-4','IPEFHqJ', 'UB')
('SL22517-2022-11-01-3369','S141-9','jRmJmIlHHlbj', 'LB')
('SL04652-2022-11-01-3396','S142-12','wJekBXjl', 'LB')
('SL22517-2022-11-01-3372','S141-12','vKEEuzGb', 'LB')
('SL22517-2022-11-02-3417','S143-9','QVuOkNrnQeeS', 'LB')
('AC04652-2022-11-02-3328','A185-16','zjSzFKJlO', 'UB')
('SL12058-2022-11-01-3320','S139-8','Iom', 'SU')
('AC04652-2022-11-02-3330','A185-18','HFUgyKnAEFKw', 'SU')
('AC12058-2022-11-01-3374','A188-8','IiJw', 'LB')
('AC22517-2022-11-02-3437','A191-17','KPZT', 'SL')
('AC12058-2022-11-01-3378','A188-12','kiwgmAtr', 'SU')
('AC22517-2022-11-02-3443','A192-5','yLZYH', 'SL')
('SL12058-2022-11-01-3329','S139-17','wkOHXucXsacGFyNf', 'LB')
('AC04652-2022-11-01-3393','A189-9','BUuLjjEr', 'UB')
('SL04652-2022-11-02-3324','S139-12','FDayi', 'LB')
('SL22517-2022-11-01-3386','S142-2','orRFAtsFJjxIaZSH', 'MB')
('AC12058-2022-11-01-3383','A188-17','xwz', 'SL')
('SL04652-2022-11-01-3414','S143-6','ywxcwHkh', 'UB')
('AC22517-2022-11-02-3451','A192-13','cBSsltAKrSaCrh', 'LB')
('SL04652-2022-11-01-3418','S143-10','twjaFsvU', 'MB')
('AC22517-2022-11-01-3241','A181-1','GGsMh', 'LB')
('SL12058-2022-11-01-3340','S140-4','L', 'LB')
('SL22517-2022-11-01-3396','S142-12','eu', 'LB')
('AC04652-2022-11-01-3404','A190-2','hfWeiUST', 'LB')
('AC22517-2022-11-02-3476','A194-2','MMg', 'LB')
('AC04652-2022-11-01-3416','A190-14','vhkJSNyPjhGq', 'LB')
('SL04652-2022-11-01-3444','S144-12','kr', 'LB')
('AC22517-2022-11-01-3264','A182-6','tPT', 'SU')
('AC22517-2022-11-01-3265','A182-7','PsUQdKAKqjXr', 'LB')
('SL12058-2022-11-01-3382','S141-22','ZXBcZoGTwP', 'UB')
('SL04652-2022-11-01-3454','S144-22','WCK', 'UB')
('SL04652-2022-11-01-3455','S144-23','maspbSgwOTFq', 'SL')
('SL04652-2022-11-02-3373','S141-13','syJLayUkNhjBUU', 'MB')
('AC04652-2022-11-01-3436','A191-16','QqtvMqIlYB', 'UB')
('AC22517-2022-11-02-3499','A195-7','aHhAVZKdYkYJ', 'LB')
('SL04652-2022-11-02-3375','S141-15','rguvhMw', 'SL')
('SL12058-2022-11-01-3388','S142-4','zzotkOnQXIyVXmE', 'LB')
('SL04652-2022-11-02-3376','S141-16','ZIpCHRKiqapyg', 'SU')
('AC22517-2022-11-01-3281','A183-5','KWy', 'SL')
('AC22517-2022-11-01-3282','A183-6','TkIXJMWWnBnZdDTi', 'SU')
('AC12058-2022-11-01-3446','A192-8','cLurQMIrfXQyr', 'LB')
('AC12058-2022-11-01-3447','A192-9','sWEv', 'UB')
('AC12058-2022-11-01-3450','A192-12','fcfce', 'SU')
('SL04652-2022-11-02-3388','S142-4','jPkMxoyTffDtPD', 'LB')
('AC04652-2022-11-02-3388','A189-4','jGXlcEYPanZ', 'UB')
('SL04652-2022-11-02-3390','S142-6','ShCIaZJGdwByRLVj', 'UB')
('SL22517-2022-11-02-3505','S147-1','dVcp', 'LB')
('SL22517-2022-11-01-3441','S144-9','hZJyebXxRX', 'LB')
('AC22517-2022-11-01-3292','A183-16','jqHF', 'UB')
('SL22517-2022-11-01-3443','S144-11','SNjJsV', 'UB')
('AC22517-2022-11-01-3295','A184-1','dgGPHeF', 'LB')
('SL22517-2022-11-01-3446','S144-14','VWIky', 'UB')
('SL22517-2022-11-01-3448','S144-16','uozOCzdloX', 'SU')
('SL22517-2022-11-02-3515','S147-11','ipP', 'UB')
('SL22517-2022-11-02-3561','S149-9','DhVkLx', 'LB')
('SL04652-2022-11-02-3427','S143-19','KopshxFYzQh', 'UB')
('AC04652-2022-11-02-3429','A191-9','NZmKHuzP', 'UB')
('AC22517-2022-11-01-3330','A185-18','Afm', 'SU')
