('SL12058-2022-11-01-3005','S126-5','NFLCryEWjL', 'MB')
('AC04652-2022-11-01-5350','A298-4','Fy', 'UB')
('SL22517-2022-11-02-5049','S211-9','qSMzRx', 'LB')
('SL12058-2022-11-01-4995','S209-3','YZ', 'UB')
('AC04652-2022-11-02-5176','A288-10','TkQuhJWOSLaVheP', 'UB')
('AC22517-2022-11-01-5157','A287-9','bkVMmVxvGxu', 'UB')
('AC12058-2022-11-01-5123','A285-11','afvXxjgFES', 'SL')
('AC04652-2022-11-01-5383','A300-1','AcVzQGYQlnWcvk', 'LB')
('AC12058-2022-11-01-5152','A287-4','Txe', 'UB')
('SL04652-2022-11-02-5127','S214-15','MakOlqA', 'SL')
('SL04652-2022-11-01-5107','S213-19','sRXSt', 'UB')
('AC04652-2022-11-01-5440','A303-4','Rt', 'UB')
('AC22517-2022-11-02-5259','A293-3','Yq', 'UB')
('AC22517-2022-11-01-5247','A292-9','bmDaigNwMazjQmhW', 'UB')
('AC04652-2022-11-01-5464','A304-10','onMpBBxfJIv', 'UB')
('SL12058-2022-11-01-5156','S215-20','CUOyuqRWES', 'LB')
('SL12058-2022-11-01-5160','S215-24','EMuapGThsyrSFD', 'SU')
('AC04652-2022-11-02-5334','A297-6','avLxVQkoHQDFL', 'SU')
('AC22517-2022-11-02-5335','A297-7','RThqmrD', 'LB')
('AC22517-2022-11-01-5313','A296-3','jzlzIHrEQVNvoCK', 'UB')
('SL22517-2022-11-01-5191','S217-7','n', 'SL')
('AC22517-2022-11-02-5337','A297-9','aOBMFzds', 'UB')
('AC12058-2022-11-01-5288','A294-14','fWHBBppfBtfHDncW', 'LB')
('AC12058-2022-11-01-5289','A294-15','eqWuLniCwcy', 'UB')
('AC22517-2022-11-02-5340','A297-12','JTsPeOOaPIGdIgA', 'SU')
('AC04652-2022-11-02-5387','A300-5','ScjZYq', 'SL')
('SL22517-2022-11-02-5271','S220-15','cKExk', 'SL')
('AC12058-2022-11-01-5336','A297-8','DYtgBN', 'LB')
('AC04652-2022-11-01-5584','A311-4','qhVqqonyrtP', 'UB')
('AC12058-2022-11-01-5390','A300-8','QEwLPPGwl', 'LB')
('AC22517-2022-11-01-5418','A301-18','RMUxitjNbgYT', 'SU')
('AC22517-2022-11-01-5423','A302-5','Kb', 'SL')
('AC04652-2022-11-01-5640','A314-6','GQHhjtF', 'SU')
('AC22517-2022-11-02-5456','A304-2','YoiqnKQgwsQFfXe', 'LB')
('SL22517-2022-11-01-5299','S221-19','qYCcGaeeGRrDSfM', 'UB')
('AC12058-2022-11-01-5407','A301-7','yGeaZ', 'LB')
('SL22517-2022-11-02-5337','S223-9','ibqmTUGKDzdzv', 'LB')
('SL04652-2022-11-02-5366','S224-14','l', 'UB')
('AC22517-2022-11-01-5429','A302-11','wjjZvD', 'SL')
('SL22517-2022-11-01-5323','S222-19','xn', 'UB')
('SL04652-2022-11-01-5356','S224-4','M', 'LB')
('SL04652-2022-11-02-5417','S226-17','j', 'LB')
('SL22517-2022-11-01-5352','S223-24','rlVNOIfZUdfZYblq', 'SU')
('AC04652-2022-11-02-5510','A307-2','SGsxU', 'LB')
('SL04652-2022-11-01-5368','S224-16','BrFsyEAKe', 'SU')
('AC22517-2022-11-02-5520','A307-12','W', 'SU')
('AC04652-2022-11-02-5515','A307-7','wSwuwmkThsh', 'LB')
('SL22517-2022-11-01-5358','S224-6','M', 'UB')
('AC12058-2022-11-01-5472','A304-18','cLcYdKkVUtfD', 'SU')
('AC12058-2022-11-01-5473','A305-1','kdoYJ', 'LB')
('SL04652-2022-11-01-5375','S224-23','VktTYh', 'SL')
('SL12058-2022-11-01-5343','S223-15','nrgicLxjQa', 'SL')
('SL04652-2022-11-02-5440','S227-16','dRWQVSmwVJ', 'SU')
('SL04652-2022-11-01-5382','S225-6','IbkFJVSVOxtEppi', 'UB')
('SL22517-2022-11-01-5370','S224-18','QcBSWsf', 'MB')
('SL12058-2022-11-01-5353','S224-1','rcCFDfY', 'LB')
('AC22517-2022-11-01-5505','A306-15','mKpjaNxUmgC', 'UB')
('AC04652-2022-11-01-5719','A318-13','jvazmDBaDMGYakbP', 'LB')
('SL22517-2022-11-02-5428','S227-4','NcehjAOe', 'LB')
('SL22517-2022-11-02-5429','S227-5','Zl', 'MB')
('AC22517-2022-11-01-5577','A310-15','rhZaLbKUHhWWc', 'UB')
('AC04652-2022-11-01-5803','A323-7','RMGfH', 'LB')
('AC12058-2022-11-01-5588','A311-8','UTZIrw', 'LB')
('SL22517-2022-11-01-5468','S228-20','gr', 'LB')
('AC22517-2022-11-01-5651','A314-17','VqXIGdTgkugAyq', 'SL')
('SL12058-2022-11-01-5533','S231-13','zU', 'MB')
('SL22517-2022-11-01-5559','S232-15','rKSlBo', 'SL')
('AC04652-2022-11-02-5734','A319-10','RwhOiglyYpJOZMop', 'UB')
('AC04652-2022-11-02-5735','A319-11','HWVgRycXj', 'SL')
('SL22517-2022-11-01-5566','S232-22','zcWkOGdjCscO', 'UB')
('AC22517-2022-11-01-5711','A318-5','qVBjjZtHSvlqJSD', 'SL')
('SL12058-2022-11-01-5555','S232-11','gNggiGUlBZjtQg', 'UB')
('AC22517-2022-11-01-5713','A318-7','TMSdlNHTDeRh', 'LB')
('SL04652-2022-11-01-5603','S234-11','HohHcAZQwKumMnA', 'UB')
('SL04652-2022-11-01-5604','S234-12','rCqjibLkDUB', 'LB')
('SL04652-2022-11-01-5656','S236-16','CHhe', 'SU')
('SL04652-2022-11-01-5657','S236-17','wxGRptwKntNr', 'LB')
('SL04652-2022-11-01-5658','S236-18','stYOdtbReaKI', 'MB')
('AC04652-2022-11-02-5829','A324-15','SgpgJzstGTQ', 'UB')
('SL22517-2022-11-01-5713','S239-1','wOmSnKbY', 'LB')
('SL04652-2022-11-01-5740','S240-4','K', 'LB')
('AC04652-2022-11-01-6084','A338-18','IDdhrPeNliqWzm', 'SU')
('AC12058-2022-11-01-5832','A324-18','HGsMCXxXNubM', 'SU')
('SL22517-2022-11-02-5792','S242-8','FDWfDFrMIgFXI', 'SU')
('AC04652-2022-11-02-5905','A329-1','jMxkqRFLzBCStyKi', 'LB')
('SL04652-2022-11-01-5752','S240-16','lzGYfAo', 'SU')
('SL22517-2022-11-01-5740','S240-4','wsWddZFAo', 'LB')
('AC22517-2022-11-02-5866','A326-16','SfWxH', 'UB')
('AC22517-2022-11-02-5867','A326-17','ftQhLtZ', 'SL')
('AC04652-2022-11-02-5916','A329-12','IWJmsCNSYGn', 'SU')
('SL04652-2022-11-02-5818','S243-10','fpVtgPUj', 'MB')
('AC12058-2022-11-01-5850','A325-18','tqKxdrUKAxniuBD', 'SU')
('AC22517-2022-11-02-5876','A327-8','SDCmjtHBYmCwOAaa', 'LB')
('SL12058-2022-11-01-5725','S239-13','iZFncCvSVv', 'MB')
('SL12058-2022-11-01-5726','S239-14','LhUUqppZWPrCt', 'UB')
('AC12058-2022-11-01-5865','A326-15','vTU', 'UB')
('AC22517-2022-11-01-5892','A328-6','CxBUVlcZ', 'SU')
('AC22517-2022-11-01-5893','A328-7','iPNimaDJxTHs', 'LB')
('AC04652-2022-11-01-6125','A341-5','mfVq', 'SL')
('AC04652-2022-11-02-5940','A330-18','TLbvfhkfK', 'SU')
('AC12058-2022-11-01-5875','A327-7','cNnQ', 'LB')
('SL22517-2022-11-02-5853','S244-21','WhhwjXaCKao', 'MB')
('AC22517-2022-11-02-5901','A328-15','ICnVA', 'UB')
('SL04652-2022-11-01-5804','S242-20','sHydmnSAyru', 'LB')
('AC12058-2022-11-01-5889','A328-3','HmNZDorlJRtDh', 'UB')
('AC22517-2022-11-02-5912','A329-8','hX', 'LB')
('SL22517-2022-11-02-5874','S245-18','hwCzLRXQ', 'MB')
('AC22517-2022-11-01-5933','A330-11','rmEsVOZ', 'SL')
('AC22517-2022-11-02-5917','A329-13','n', 'LB')
('SL04652-2022-11-02-5892','S246-12','w', 'LB')
('AC04652-2022-11-02-5972','A332-14','CKQbm', 'LB')
('SL22517-2022-11-01-5814','S243-6','lRBsWbyAMeE', 'UB')
('SL22517-2022-11-01-5815','S243-7','OEKTiJYAdyqWM', 'SL')
('AC12058-2022-11-01-5927','A330-5','RnaIx', 'SL')
('AC22517-2022-11-02-5939','A330-17','FzfSe', 'SL')
('SL22517-2022-11-02-5904','S246-24','lRpS', 'SU')
('AC22517-2022-11-02-5956','A331-16','YDfAgtsZlGciK', 'UB')
('AC22517-2022-11-02-5961','A332-3','BBjX', 'UB')
('AC22517-2022-11-02-5966','A332-8','BOTsqHJUtwdLwqXR', 'LB')
('SL04652-2022-11-02-5963','S249-11','DHZl', 'UB')
('SL12058-2022-11-01-5824','S243-16','R', 'SU')
('AC04652-2022-11-01-6236','A347-8','eWJEYuOqcesUKCkl', 'LB')
('SL22517-2022-11-01-5885','S246-5','SUGwIy', 'MB')
('AC04652-2022-11-02-6056','A337-8','IiJr', 'LB')
('AC04652-2022-11-01-6256','A348-10','KVRUMaWeOLq', 'UB')
('AC04652-2022-11-01-6259','A348-13','OPyO', 'LB')
('AC12058-2022-11-01-6022','A335-10','tE', 'UB')
('SL22517-2022-11-02-5994','S250-18','ffF', 'MB')
('SL04652-2022-11-01-5911','S247-7','hZCh', 'SL')
('SL12058-2022-11-01-5862','S245-6','z', 'UB')
('AC04652-2022-11-02-6089','A339-5','UzKvquaNmPlQBnx', 'SL')
('SL04652-2022-11-01-5919','S247-15','GRydRFNkjt', 'SL')
('AC04652-2022-11-01-6290','A350-8','iQsaBnTAfkGWJ', 'LB')
('AC22517-2022-11-02-6054','A337-6','OMpoRIjGgHRu', 'SU')
('AC22517-2022-11-02-6055','A337-7','DCbBlPfmunfG', 'LB')
('AC22517-2022-11-02-6069','A338-3','wCJIDO', 'UB')
('AC22517-2022-11-02-6070','A338-4','ZVazhN', 'UB')
('AC22517-2022-11-02-6071','A338-5','zOfjXHVXesFu', 'SL')
('AC12058-2022-11-01-6095','A339-11','NqTn', 'SL')
('AC04652-2022-11-01-6416','A357-8','iTMWFLezLyL', 'LB')
('SL12058-2022-11-01-5978','S250-2','rzY', 'MB')
('SL12058-2022-11-01-5979','S250-3','HDT', 'UB')
('SL22517-2022-11-02-6124','S256-4','u', 'LB')
('AC04652-2022-11-02-6211','A346-1','dbGGT', 'LB')
('AC04652-2022-11-01-6429','A358-3','MmE', 'UB')
('SL22517-2022-11-02-6165','S257-21','sUQjmDcKtLBbbtN', 'MB')
('AC12058-2022-11-01-6220','A346-10','VJBa', 'UB')
('AC04652-2022-11-02-6253','A348-7','EiPrgapjwifRGLOP', 'LB')
('SL22517-2022-11-02-6187','S258-19','nTAYiNxRiQGZorZE', 'UB')
('SL12058-2022-11-01-6035','S252-11','Jfp', 'UB')
('AC22517-2022-11-01-6242','A347-14','vefOZxE', 'LB')
('SL04652-2022-11-02-6174','S258-6','byrIDcItjG', 'UB')
('SL22517-2022-11-02-6193','S259-1','JguQzSUuKvzp', 'LB')
('SL22517-2022-11-02-6201','S259-9','MxH', 'LB')
('SL12058-2022-11-01-6045','S252-21','kTPcgkfKv', 'MB')
('AC22517-2022-11-02-6249','A348-3','MswsyOkOlBldwH', 'UB')
('SL22517-2022-11-01-6190','S258-22','NY', 'UB')
('SL12058-2022-11-01-6108','S255-12','tfSmrjruTCP', 'LB')
('AC04652-2022-11-02-6341','A353-5','gvWsoHQ', 'SL')
('AC04652-2022-11-01-6582','A366-12','QNSvv', 'SU')
('SL04652-2022-11-01-6189','S258-21','XW', 'MB')
('AC22517-2022-11-01-6395','A356-5','ooEiz', 'SL')
('AC22517-2022-11-02-6383','A355-11','wvnzdcSnGKFi', 'SL')
('SL22517-2022-11-01-6271','S262-7','PKyQh', 'SL')
('SL04652-2022-11-01-6313','S264-1','IEomyaLHOF', 'LB')
('AC04652-2022-11-01-6706','A373-10','JJnZcbkZZ', 'UB')
('SL12058-2022-11-01-6234','S260-18','JNFbPFVQuJNAebmP', 'MB')
('AC22517-2022-11-01-6440','A358-14','CPushrqgNpELCf', 'LB')
('AC04652-2022-11-01-6709','A373-13','KIOaMc', 'LB')
('SL04652-2022-11-02-6392','S267-8','MbG', 'SU')
('SL22517-2022-11-02-6394','S267-10','NrkAYY', 'MB')
('SL22517-2022-11-02-6395','S267-11','TJOTPbOS', 'UB')
('AC22517-2022-11-02-6436','A358-10','vFVcR', 'UB')
('SL04652-2022-11-02-6393','S267-9','oKEqklOiUoOpoxQB', 'LB')
('AC12058-2022-11-01-6434','A358-8','ey', 'LB')
('AC22517-2022-11-01-6446','A359-2','IirkCKRXyg', 'LB')
('AC12058-2022-11-01-6435','A358-9','TGMYKzp', 'UB')
('AC04652-2022-11-02-6462','A359-18','IzbmzOMLWbSz', 'SU')
('SL22517-2022-11-01-6329','S264-17','p', 'LB')
('SL12058-2022-11-01-6249','S261-9','jdLsOyiYTcDQcXR', 'LB')
('AC22517-2022-11-01-6452','A359-8','WuHQgGUXmfpD', 'LB')
('SL22517-2022-11-01-6333','S264-21','eOoZgLuf', 'MB')
('SL04652-2022-11-01-6335','S264-23','w', 'SL')
('SL12058-2022-11-01-6257','S261-17','QAjYlmhxKfDsXDI', 'LB')
('SL22517-2022-11-02-6410','S268-2','FMzvO', 'MB')
('AC04652-2022-11-02-6470','A360-8','pdlwzg', 'LB')
('SL04652-2022-11-02-6451','S269-19','bQypLbFjNzWVu', 'UB')
('SL12058-2022-11-01-6305','S263-17','xQoKS', 'LB')
('AC04652-2022-11-02-6509','A362-11','jJuSCXVD', 'SL')
('AC22517-2022-11-02-6498','A361-18','OclnhjZHBgJlVNQ', 'SU')
('SL04652-2022-11-02-6477','S270-21','LgsRqQysBMui', 'MB')
('AC12058-2022-11-01-6525','A363-9','XqodgcN', 'UB')
('AC22517-2022-11-01-6525','A363-9','zPHrY', 'UB')
('SL22517-2022-11-02-6478','S270-22','vWoaexjjX', 'UB')
('SL04652-2022-11-01-6426','S268-18','vCcuzwPPel', 'MB')
('AC22517-2022-11-01-6532','A363-16','IcBIOnpdEBHuObpx', 'UB')
('AC04652-2022-11-02-6538','A364-4','i', 'UB')
('AC04652-2022-11-01-6808','A379-4','rYtQrDEioF', 'UB')
('AC22517-2022-11-01-6535','A364-1','nwj', 'LB')
('SL22517-2022-11-02-6488','S271-8','rmCELnxuGMnPOTZp', 'SU')
('AC04652-2022-11-02-6545','A364-11','eGZCqub', 'SL')
('SL22517-2022-11-02-6490','S271-10','krujO', 'MB')
('SL04652-2022-11-01-6487','S271-7','yPbpgLPcXINW', 'SL')
('AC04652-2022-11-02-6610','A368-4','wqBwbQzVokyEDRmm', 'UB')
('SL12058-2022-11-01-6413','S268-5','MFSzLZj', 'MB')
('AC04652-2022-11-01-6886','A383-10','zYOvmBykesErJ', 'UB')
('SL04652-2022-11-02-6565','S274-13','sFQbbBSSRehqOOp', 'MB')
('SL12058-2022-11-01-6417','S268-9','LJNUnWR', 'LB')
('SL22517-2022-11-02-6580','S275-4','xmstefwAkFqmDFdn', 'LB')
('AC12058-2022-11-01-6606','A367-18','ptN', 'SU')
('AC12058-2022-11-01-6607','A368-1','jxOhcqTqAtYyEUaQ', 'LB')
('SL22517-2022-11-02-6582','S275-6','HFhS', 'UB')
('AC12058-2022-11-01-6609','A368-3','ymwMMDpuyL', 'UB')
('SL04652-2022-11-01-6512','S272-8','ub', 'SU')
('AC04652-2022-11-02-6620','A368-14','hVVHCjx', 'LB')
('SL04652-2022-11-01-6518','S272-14','Eyrift', 'UB')
('AC04652-2022-11-02-6631','A369-7','eK', 'LB')
('SL04652-2022-11-02-6585','S275-9','PwliawBzmQ', 'LB')
('AC22517-2022-11-01-6666','A371-6','LrGFEDqjVINAqoYt', 'SU')
('AC22517-2022-11-02-6672','A371-12','dPZQbWlNVNoR', 'SU')
('AC22517-2022-11-02-6673','A371-13','EJNatEnOAD', 'LB')
('AC22517-2022-11-01-6683','A372-5','Ur', 'SL')
('SL04652-2022-11-01-6584','S275-8','XaGSsQWyndWBWeAC', 'SU')
('SL22517-2022-11-02-6660','S278-12','FEgviabJWbeOVPtr', 'LB')
('AC04652-2022-11-01-6958','A387-10','BVBmrVhDSouOVVX', 'UB')
('SL12058-2022-11-01-6492','S271-12','iWuYaPHsZLTA', 'LB')
('SL22517-2022-11-02-6664','S278-16','qGHoNuSCTzph', 'SU')
('SL12058-2022-11-01-6494','S271-14','crUjQAJNpqofRrn', 'UB')
('SL22517-2022-11-02-6665','S278-17','GRbbrwpP', 'LB')
('SL12058-2022-11-01-6495','S271-15','pWnWkKZ', 'SL')
('AC22517-2022-11-02-6698','A373-2','l', 'LB')
('SL22517-2022-11-01-6564','S274-12','ZJaoQeWCi', 'LB')
('AC12058-2022-11-01-6698','A373-2','gXfOBsNvP', 'LB')
('AC22517-2022-11-02-6702','A373-6','bDOkMJLbVFQebYtd', 'SU')
('AC04652-2022-11-02-6704','A373-8','HbRPaOSI', 'LB')
('AC12058-2022-11-01-6700','A373-4','JGnwH', 'UB')
('AC04652-2022-11-02-6707','A373-11','mCw', 'SL')
('AC12058-2022-11-01-6702','A373-6','eymMIzllC', 'SU')
('AC12058-2022-11-01-6703','A373-7','BNItWLUbj', 'LB')
('AC12058-2022-11-01-6704','A373-8','qDMPKLSRZCNCpJQ', 'LB')
('AC12058-2022-11-01-6707','A373-11','DGg', 'SL')
('SL04652-2022-11-01-6612','S276-12','LHDtyp', 'LB')
('SL22517-2022-11-02-6682','S279-10','nKOO', 'MB')
('SL22517-2022-11-02-6683','S279-11','GNfOC', 'UB')
('AC04652-2022-11-02-6722','A374-8','CiNmqFCS', 'LB')
('SL04652-2022-11-02-6677','S279-5','sdh', 'MB')
('SL22517-2022-11-01-6583','S275-7','zawBTryQBkVIba', 'SL')
('AC22517-2022-11-02-6727','A374-13','Edf', 'LB')
('SL04652-2022-11-01-6620','S276-20','rLWHKHPzSUrUDa', 'LB')
('AC04652-2022-11-01-6984','A388-18','BMu', 'SU')
('AC04652-2022-11-01-6985','A389-1','aEnJ', 'LB')
('SL04652-2022-11-01-6629','S277-5','lSwrtOGhxZX', 'MB')
('AC22517-2022-11-01-6720','A374-6','iNlSxoYxRtXIEY', 'SU')
('AC22517-2022-11-01-6721','A374-7','zwxAcNV', 'LB')
('AC04652-2022-11-01-6996','A389-12','YEVboYHyIftYpzU', 'SU')
('AC04652-2022-11-02-6731','A374-17','VdvXQGfsl', 'SL')
('SL04652-2022-11-02-6694','S279-22','JljU', 'UB')
('SL22517-2022-11-01-6600','S275-24','EBKXEpU', 'SU')
('SL04652-2022-11-02-6705','S280-9','Va', 'LB')
('AC04652-2022-11-01-7004','A390-2','IHWjo', 'LB')
('AC04652-2022-11-01-7005','A390-3','LhshojGPR', 'UB')
('AC22517-2022-11-02-6756','A376-6','JCdIPiPGHVzHkyOS', 'SU')
('SL22517-2022-11-01-6605','S276-5','jYiqmEZnhP', 'MB')
('AC04652-2022-11-01-7009','A390-7','sk', 'LB')
('AC04652-2022-11-02-6748','A375-16','iGMcAKdv', 'UB')
('AC12058-2022-11-01-6757','A376-7','JoBiih', 'LB')
('AC22517-2022-11-01-6819','A379-15','LlTOdQtfv', 'UB')
('SL04652-2022-11-01-6817','S285-1','GPhqkNICu', 'LB')
('SL12058-2022-11-01-6748','S282-4','jLrjZk', 'LB')
('SL04652-2022-11-01-6883','S287-19','QFXIRLyPosj', 'UB')
('AC04652-2022-11-01-7203','A401-3','WlItfbYGVqClQvj', 'UB')
('SL22517-2022-11-01-6806','S284-14','rURvx', 'UB')
('SL22517-2022-11-01-6821','S285-5','t', 'MB')
('SL22517-2022-11-01-6822','S285-6','HkvRgOJprwfe', 'UB')
('AC12058-2022-11-01-6967','A388-1','uGZP', 'LB')
('SL22517-2022-11-01-6825','S285-9','pZvzwOJpRdQT', 'LB')
('SL12058-2022-11-01-6769','S283-1','wTIAG', 'LB')
('AC22517-2022-11-01-6960','A387-12','ZxcjQeBDRJsnlZM', 'SU')
('AC12058-2022-11-01-6973','A388-7','Oxuev', 'LB')
('SL04652-2022-11-02-6939','S290-3','TrLxKEuQFGfbbATu', 'UB')
('AC22517-2022-11-01-6971','A388-5','xJvENnjcJOHzBG', 'SL')
('SL22517-2022-11-01-6874','S287-10','gKHceMIYHYQPf', 'MB')
('SL22517-2022-11-02-6974','S291-14','yqj', 'UB')
('AC22517-2022-11-02-7065','A393-9','utxcPdGq', 'UB')
('SL04652-2022-11-01-6995','S292-11','qPwKt', 'UB')
('SL22517-2022-11-01-6922','S289-10','ashcysDq', 'MB')
('AC04652-2022-11-02-7066','A393-10','wmAFtkWdN', 'UB')
('AC04652-2022-11-01-7364','A410-2','hOKWz', 'LB')
('AC04652-2022-11-02-7088','A394-14','UlRbuuXVouXf', 'LB')
('SL22517-2022-11-02-7029','S293-21','MwYN', 'MB')
('SL22517-2022-11-01-6947','S290-11','VlFTjTwas', 'UB')
('SL04652-2022-11-02-7056','S294-24','Ls', 'SU')
('AC22517-2022-11-02-7192','A400-10','opOcLBm', 'UB')
('AC22517-2022-11-02-7212','A401-12','PlWvxpHSVazcS', 'SU')
('AC22517-2022-11-01-7188','A400-6','aRqBgMYBXSd', 'SU')
('AC22517-2022-11-01-7190','A400-8','wEH', 'LB')
('SL22517-2022-11-02-7133','S298-5','Yk', 'MB')
('SL22517-2022-11-02-7166','S299-14','GsS', 'UB')
('SL22517-2022-11-01-7082','S296-2','HWn', 'MB')
('SL22517-2022-11-02-7222','S301-22','mruK', 'UB')
('SL22517-2022-11-01-7142','S298-14','yntAOtjS', 'UB')
('AC12058-2022-11-01-7285','A405-13','ExhENFZD', 'LB')
('AC12058-2022-11-01-7286','A405-14','RmQUxdNhsZR', 'LB')
('AC22517-2022-11-01-7295','A406-5','IDDlGiA', 'SL')
('SL22517-2022-11-02-7230','S302-6','yIGupiKaOjzWH', 'UB')
('SL04652-2022-11-02-7237','S302-13','NGTPOjWWUytq', 'MB')
('SL22517-2022-11-02-7232','S302-8','XCJxRTATVQnTIk', 'SU')
('SL22517-2022-11-01-7147','S298-19','UNmJ', 'UB')
('SL04652-2022-11-02-7240','S302-16','WAKGgDnU', 'SU')
('SL12058-2022-11-01-7085','S296-5','nSyWsgfv', 'MB')
('AC04652-2022-11-02-7268','A404-14','vaZzoamVKbUWg', 'LB')
('SL22517-2022-11-01-7151','S298-23','JLMgmjNxldwQnVup', 'SL')
('SL04652-2022-11-01-7214','S301-14','TlFVsHdh', 'UB')
('SL22517-2022-11-02-7238','S302-14','NzsYgxhkyKgfk', 'UB')
('SL04652-2022-11-01-7244','S302-20','gSS', 'LB')
('AC22517-2022-11-02-7353','A409-9','aSMtw', 'UB')
('AC12058-2022-11-01-7321','A407-13','uNaJfLHUNDub', 'LB')
('AC04652-2022-11-02-7296','A406-6','sUit', 'SU')
('SL22517-2022-11-02-7273','S304-1','QjITw', 'LB')
('AC22517-2022-11-02-7359','A409-15','jtXbgrzj', 'UB')
('SL22517-2022-11-01-7181','S300-5','vLksaJuXACxalNB', 'MB')
('AC22517-2022-11-01-7340','A408-14','OihSVdKeERSUr', 'LB')
('AC04652-2022-11-02-7307','A406-17','rlMMJBncgG', 'SL')
('AC22517-2022-11-02-7368','A410-6','Dzzf', 'SU')
('AC12058-2022-11-01-7338','A408-12','mKeQC', 'SU')
('AC22517-2022-11-02-7374','A410-12','CUiAbg', 'SU')
('SL04652-2022-11-01-7266','S303-18','WarmGmQTKOjP', 'MB')
('AC22517-2022-11-02-7381','A411-1','NOTmcJh', 'LB')
('SL04652-2022-11-01-7276','S304-4','AorDXSEkMybn', 'LB')
('AC04652-2022-11-01-7629','A424-15','iPEn', 'UB')
('SL12058-2022-11-01-7149','S298-21','xtGGpK', 'MB')
('SL12058-2022-11-01-7150','S298-22','xxVCgqMS', 'UB')
('AC22517-2022-11-01-7389','A411-9','rk', 'UB')
('AC04652-2022-11-01-7670','A427-2','BKgoimX', 'LB')
('SL12058-2022-11-01-7224','S301-24','tRQqUFtJlEVOWb', 'SU')
('SL22517-2022-11-01-7285','S304-13','IJsRh', 'MB')
('SL22517-2022-11-02-7396','S309-4','ksLHEjbV', 'LB')
('SL12058-2022-11-01-7229','S302-5','dkMnf', 'MB')
('AC22517-2022-11-01-7437','A414-3','kCywfPFMx', 'UB')
('SL04652-2022-11-01-7371','S308-3','UvzQXbCdr', 'UB')
('AC22517-2022-11-02-7500','A417-12','ohQohQrvMmqj', 'SU')
('SL04652-2022-11-02-7381','S308-13','BqeG', 'MB')
('SL12058-2022-11-01-7234','S302-10','kcqKHeOEPr', 'MB')
('AC22517-2022-11-02-7502','A417-14','OuaaNCngchPFWl', 'LB')
('SL22517-2022-11-02-7402','S309-10','g', 'MB')
('SL04652-2022-11-01-7375','S308-7','LWQx', 'SL')
('SL22517-2022-11-01-7299','S305-3','buQrbu', 'UB')
('AC04652-2022-11-02-7466','A415-14','AZBsTLSGWKtiJ', 'LB')
('AC12058-2022-11-01-7471','A416-1','qoCVCCkZ', 'LB')
('AC12058-2022-11-01-7472','A416-2','xCUUdHElxR', 'LB')
('SL04652-2022-11-02-7420','S310-4','AqwamBMyhgIuH', 'LB')
('AC04652-2022-11-02-7469','A415-17','L', 'SL')
('SL12058-2022-11-01-7272','S303-24','IQevxlCCjYk', 'SU')
('SL22517-2022-11-01-7343','S306-23','eUuSSnnbQpLFZQOt', 'SL')
('SL04652-2022-11-01-7423','S310-7','lNW', 'SL')
('SL22517-2022-11-01-7387','S308-19','QySZbCTc', 'UB')
('AC22517-2022-11-02-7600','A423-4','OqXkIVXXb', 'UB')
('SL22517-2022-11-01-7429','S310-13','DNBoUXPOuQlX', 'MB')
('SL04652-2022-11-01-7510','S313-22','gcipmQKZplKxMC', 'UB')
('AC22517-2022-11-02-7649','A425-17','HOwf', 'SL')
('SL12058-2022-11-01-7377','S308-9','HieyzqR', 'LB')
('AC04652-2022-11-02-7638','A425-6','S', 'SU')
('AC04652-2022-11-01-7890','A439-6','nmwfDhBEopuXIW', 'SU')
('SL04652-2022-11-01-7583','S316-23','MmGkGbzMUJ', 'SL')
('SL04652-2022-11-02-7598','S317-14','BCy', 'UB')
('AC04652-2022-11-02-7673','A427-5','b', 'SL')
('AC22517-2022-11-02-7727','A430-5','BXHaSu', 'SL')
('AC04652-2022-11-02-7676','A427-8','onkd', 'LB')
('SL22517-2022-11-02-7622','S318-14','bCVzxwAbDcZNso', 'UB')
('AC12058-2022-11-01-7700','A428-14','TR', 'LB')
('AC04652-2022-11-01-7969','A443-13','upkmTKjIUvgGA', 'LB')
('AC04652-2022-11-01-7970','A443-14','zqYUeSpwWkaTk', 'LB')
('AC22517-2022-11-02-7866','A437-18','TerkAf', 'SU')
('AC22517-2022-11-02-7943','A442-5','qljXR', 'SL')
('SL04652-2022-11-01-7799','S325-23','MbdZfVRtFoui', 'SL')
('SL04652-2022-11-01-7819','S326-19','WdhlnZrYmMe', 'UB')
('AC12058-2022-11-01-7878','A438-12','ciigETyPyitle', 'SU')
('AC04652-2022-11-02-7904','A440-2','m', 'LB')
('AC22517-2022-11-02-7961','A443-5','duXNnO', 'SL')
('SL22517-2022-11-02-7816','S326-16','ztqkq', 'SU')
('SL04652-2022-11-02-7829','S327-5','aBGsstmjcBKBfF', 'MB')
('AC22517-2022-11-01-7885','A439-1','nWksIGgqBehcvX', 'LB')
('AC04652-2022-11-02-7911','A440-9','kGehLayYnrDPAqcR', 'UB')
('SL22517-2022-11-01-7748','S323-20','ZdBxUu', 'LB')
('AC04652-2022-11-01-8189','A455-17','HYxX', 'SL')
('AC04652-2022-11-01-8201','A456-11','OFyg', 'SL')
('SL22517-2022-11-02-7879','S329-7','axOiS', 'SL')
('AC04652-2022-11-02-7960','A443-4','eZlkRMzt', 'UB')
('SL22517-2022-11-01-7802','S326-2','p', 'MB')
