('SL12058-2022-11-01-9','S1-9','xNtE', 'LB')
('SL22517-2022-11-01-4269','S178-21','Fi', 'MB')
('SL12058-2022-11-01-4245','S177-21','tRdOROQuESia', 'MB')
('SL04652-2022-11-01-4280','S179-8','SJAV', 'SU')
('AC12058-2022-11-01-4265','A237-17','PbpPYHSdrlRulgC', 'SL')
('AC04652-2022-11-02-4209','A234-15','YFvmUCTbWgKxoy', 'UB')
('SL04652-2022-11-02-4184','S175-8','ygggJYeTO', 'SU')
('AC22517-2022-11-01-4106','A229-2','IbLpJYe', 'LB')
('SL22517-2022-11-02-4348','S182-4','mJaXfqhxXwQ', 'LB')
('AC04652-2022-11-02-4213','A235-1','PmQ', 'LB')
('SL04652-2022-11-02-4227','S177-3','N', 'UB')
('AC22517-2022-11-02-4414','A246-4','AitBzFKaE', 'UB')
('AC22517-2022-11-02-4416','A246-6','sv', 'SU')
('AC04652-2022-11-02-4294','A239-10','hhiyqDMWZVVhraw', 'UB')
('SL22517-2022-11-02-4439','S185-23','RBqfWrcrXyKY', 'SL')
('AC04652-2022-11-01-4390','A244-16','gIalecEGwa', 'UB')
('SL12058-2022-11-01-4346','S182-2','uhEBSDlhX', 'MB')
('AC04652-2022-11-02-4299','A239-15','JjrKoKyAazuV', 'UB')
('AC22517-2022-11-01-4191','A233-15','J', 'UB')
('SL04652-2022-11-02-4280','S179-8','i', 'SU')
('AC22517-2022-11-02-4430','A247-2','RmfyGdV', 'LB')
('AC04652-2022-11-01-4405','A245-13','saDTnCkpckHRPo', 'LB')
('AC22517-2022-11-02-4437','A247-9','PItBSHD', 'UB')
('SL04652-2022-11-01-4369','S183-1','iddPWm', 'LB')
('SL22517-2022-11-02-4456','S186-16','QOsgHrZHol', 'SU')
('AC04652-2022-11-02-4315','A240-13','xuDylBUsWkky', 'LB')
('AC04652-2022-11-01-4453','A248-7','WDorDKPtAMwDxJJG', 'LB')
('SL22517-2022-11-01-4421','S185-5','iTGPTgqLPdc', 'MB')
('AC22517-2022-11-02-4483','A250-1','fQ', 'LB')
('SL04652-2022-11-01-4414','S184-22','wLIZApLmNvUADUvQ', 'UB')
('SL04652-2022-11-02-4341','S181-21','PgrXmzOIUubNy', 'MB')
('SL04652-2022-11-02-4342','S181-22','CpyOWq', 'UB')
('AC22517-2022-11-01-4252','A237-4','BCDZBqPby', 'UB')
('AC22517-2022-11-02-4489','A250-7','oHECqpXXmxelI', 'LB')
('SL22517-2022-11-02-4520','S189-8','NtqinoTK', 'SU')
('AC12058-2022-11-01-4422','A246-12','lQpSmqDabhZQJYFk', 'SU')
('SL22517-2022-11-01-4454','S186-14','QmVUCMq', 'UB')
('AC04652-2022-11-02-4384','A244-10','eXcz', 'UB')
('AC12058-2022-11-01-4435','A247-7','tlZfusmKbcRPocr', 'LB')
('AC22517-2022-11-02-4514','A251-14','DKxIqNI', 'LB')
('SL04652-2022-11-02-4377','S183-9','qtbmQaeWjzFURD', 'LB')
('AC22517-2022-11-02-4521','A252-3','jKJumVujsqd', 'UB')
('SL04652-2022-11-01-4453','S186-13','OwGTJFFhHDiXP', 'MB')
('SL22517-2022-11-02-4554','S190-18','ZWQQCh', 'MB')
('SL04652-2022-11-02-4386','S183-18','OhdXXF', 'MB')
('SL12058-2022-11-01-4450','S186-10','SELuvy', 'MB')
('AC12058-2022-11-01-4455','A248-9','BWUCeoN', 'UB')
('AC12058-2022-11-01-4456','A248-10','zLH', 'UB')
('AC04652-2022-11-01-4508','A251-8','YOUmuTiIq', 'LB')
('SL04652-2022-11-02-4390','S183-22','MrhTekrOaqdp', 'UB')
('AC04652-2022-11-01-4510','A251-10','ZftPgETcEoFGIxL', 'UB')
('AC04652-2022-11-01-4513','A251-13','BAMNRL', 'LB')
('AC22517-2022-11-01-4297','A239-13','Bx', 'LB')
('SL22517-2022-11-01-4485','S187-21','f', 'MB')
('AC12058-2022-11-01-4462','A248-16','ikmnkBBf', 'UB')
('AC22517-2022-11-01-4301','A239-17','eMajMRBLA', 'SL')
('AC22517-2022-11-01-4302','A239-18','eKEeQMesCLEWVlWl', 'SU')
('AC22517-2022-11-01-4303','A240-1','gpCxsnfwZRzYmFCQ', 'LB')
('SL04652-2022-11-02-4397','S184-5','lpvmYyCAqbq', 'MB')
('AC22517-2022-11-02-4534','A252-16','YHiH', 'UB')
('AC04652-2022-11-02-4415','A246-5','mkHsCf', 'SL')
('AC12058-2022-11-01-4465','A249-1','vSnUON', 'LB')
('AC04652-2022-11-01-4522','A252-4','MDmay', 'UB')
('SL04652-2022-11-01-4475','S187-11','ZKeiZVhuwboSMtDp', 'UB')
('AC22517-2022-11-02-4538','A253-2','g', 'LB')
('AC22517-2022-11-02-4539','A253-3','QLJokgTlpDwcNOgO', 'UB')
('SL04652-2022-11-01-4504','S188-16','QqaeGG', 'SU')
('SL22517-2022-11-01-4527','S189-15','pqZ', 'SL')
('AC22517-2022-11-02-4558','A254-4','FMnRqPZivLZxath', 'UB')
('AC04652-2022-11-02-4493','A250-11','NhPFDnmUsLPKIs', 'SL')
('SL22517-2022-11-01-4566','S191-6','pgTsvQItCZ', 'UB')
('SL04652-2022-11-01-4553','S190-17','lGvkyWHktFk', 'LB')
('AC22517-2022-11-02-4592','A256-2','Bn', 'LB')
('AC04652-2022-11-02-4497','A250-15','INVPT', 'UB')
('AC04652-2022-11-02-4498','A250-16','drWHr', 'UB')
('SL04652-2022-11-01-4556','S190-20','AOIjQkBBtvDzGag', 'LB')
('SL12058-2022-11-01-4535','S189-23','zKDzSSEzcZ', 'SL')
('AC04652-2022-11-02-4501','A251-1','D', 'LB')
('SL04652-2022-11-02-4477','S187-13','YSltMzYb', 'MB')
('AC12058-2022-11-01-4548','A253-12','lkvl', 'SU')
('SL04652-2022-11-02-4485','S187-21','xAmNpOd', 'MB')
('AC04652-2022-11-02-4508','A251-8','cdKmZSyhwvHrPPk', 'LB')
('AC22517-2022-11-01-4401','A245-9','IKaIkvwLVcKUxI', 'UB')
('AC12058-2022-11-01-4557','A254-3','hBwAjNaX', 'UB')
('AC12058-2022-11-01-4561','A254-7','izEyJHXlTcq', 'LB')
('SL12058-2022-11-01-4548','S190-12','eeWHKgZGLRDZab', 'LB')
('SL04652-2022-11-01-4572','S191-12','XJH', 'LB')
('AC04652-2022-11-01-4614','A257-6','IJxLAbakpknds', 'SU')
('AC12058-2022-11-01-4566','A254-12','kubf', 'SU')
('AC22517-2022-11-02-4619','A257-11','ErDSFzsBKQiDQqR', 'SL')
('AC22517-2022-11-02-4627','A258-1','IoJIjCJRWYMzd', 'LB')
('AC04652-2022-11-02-4526','A252-8','YrKi', 'LB')
('SL04652-2022-11-02-4504','S188-16','RyTw', 'SU')
('AC12058-2022-11-01-4578','A255-6','TmQVgpip', 'SU')
('AC04652-2022-11-02-4528','A252-10','gklsjnNIfw', 'UB')
('SL22517-2022-11-02-4662','S195-6','scbjnUIDOVttPC', 'UB')
('SL22517-2022-11-02-4664','S195-8','bT', 'SU')
('SL04652-2022-11-01-4594','S192-10','qrgvjkXIO', 'MB')
('SL04652-2022-11-02-4514','S189-2','HMLbzSDXek', 'MB')
('AC22517-2022-11-01-4421','A246-11','tfVmxHlrvOsEsgQf', 'SL')
('AC04652-2022-11-01-4635','A258-9','gKbr', 'UB')
('AC12058-2022-11-01-4588','A255-16','jEiXoyoTCajoGEC', 'UB')
('SL22517-2022-11-01-4605','S192-21','NfVdfnid', 'MB')
('AC12058-2022-11-01-4591','A256-1','kZo', 'LB')
('SL04652-2022-11-02-4527','S189-15','AuvUuitINXwTEH', 'SL')
('SL22517-2022-11-02-4675','S195-19','labdQQVKHufpaglD', 'UB')
('AC22517-2022-11-02-4646','A259-2','wLBx', 'LB')
('AC04652-2022-11-01-4645','A259-1','qdvNTgkopq', 'LB')
('SL22517-2022-11-02-4678','S195-22','dAgZfj', 'UB')
('SL22517-2022-11-01-4608','S192-24','zvCDc', 'SU')
('AC12058-2022-11-01-4599','A256-9','lyBPBR', 'UB')
('SL04652-2022-11-01-4612','S193-4','WwbEFkTaYaSB', 'LB')
('AC04652-2022-11-02-4547','A253-11','MNULmTZHJuvsS', 'SL')
('AC12058-2022-11-01-4604','A256-14','IhjiyUHBxuKni', 'LB')
('AC22517-2022-11-02-4657','A259-13','IO', 'LB')
('AC04652-2022-11-02-4552','A253-16','GEb', 'UB')
('SL04652-2022-11-02-4542','S190-6','XfeM', 'UB')
('AC22517-2022-11-02-4661','A259-17','BmLRBkbWbn', 'SL')
('AC04652-2022-11-01-4656','A259-12','WwYfrTXh', 'SU')
('SL04652-2022-11-02-4552','S190-16','Mz', 'SU')
('SL22517-2022-11-02-4696','S196-16','NYM', 'SU')
('AC04652-2022-11-01-4667','A260-5','BmPgFc', 'SL')
('SL12058-2022-11-01-4605','S192-21','Mh', 'MB')
('AC22517-2022-11-01-4455','A248-9','dJNZVSTciMpKE', 'UB')
('SL12058-2022-11-01-4607','S192-23','zj', 'SL')
('AC22517-2022-11-01-4456','A248-10','JOOkBTmUqiH', 'UB')
('AC12058-2022-11-01-4626','A257-18','FLflrgCzimhPmodo', 'SU')
('AC12058-2022-11-01-4630','A258-4','vk', 'UB')
('AC12058-2022-11-01-4632','A258-6','CMQ', 'SU')
('AC22517-2022-11-01-4464','A248-18','ERzoEPgEay', 'SU')
('AC22517-2022-11-02-4680','A260-18','VivfwanhSylY', 'SU')
('SL22517-2022-11-01-4637','S194-5','KvPyNlmizUNjt', 'MB')
('AC04652-2022-11-02-4579','A255-7','ouygHFacucIR', 'LB')
('SL22517-2022-11-02-4708','S197-4','OzSzyzs', 'LB')
('SL12058-2022-11-01-4625','S193-17','fwhOCJzPuMO', 'LB')
('AC04652-2022-11-02-4585','A255-13','NQEOb', 'LB')
('AC04652-2022-11-02-4587','A255-15','eWxPjtSggdkC', 'UB')
('AC22517-2022-11-02-4692','A261-12','yQ', 'SU')
('AC22517-2022-11-01-4477','A249-13','pNpaNhxrHt', 'LB')
('SL12058-2022-11-01-4631','S193-23','PuYX', 'SL')
('AC04652-2022-11-01-4690','A261-10','dDIgxtplI', 'UB')
('SL04652-2022-11-01-4644','S194-12','ozvs', 'LB')
('SL22517-2022-11-01-4652','S194-20','sRhZ', 'LB')
('AC22517-2022-11-01-4481','A249-17','QjhzrQ', 'SL')
('SL12058-2022-11-01-4643','S194-11','gZwJaCiWBndTTlu', 'UB')
('SL04652-2022-11-02-4595','S192-11','UbywvjTJvu', 'UB')
('SL04652-2022-11-01-4660','S195-4','PtMMuRmwFY', 'LB')
('SL04652-2022-11-01-4661','S195-5','A', 'MB')
('AC22517-2022-11-02-4718','A263-2','jsBX', 'LB')
('AC04652-2022-11-01-4708','A262-10','E', 'UB')
('AC04652-2022-11-02-4602','A256-12','BfsNxOZcUBKuUn', 'SU')
('AC04652-2022-11-02-4603','A256-13','IrvJxgE', 'LB')
('AC04652-2022-11-02-4604','A256-14','T', 'LB')
('AC04652-2022-11-01-4712','A262-14','o', 'LB')
('SL12058-2022-11-01-4658','S195-2','hZ', 'MB')
('AC04652-2022-11-01-4721','A263-5','GMSbdqxEVc', 'SL')
('SL04652-2022-11-02-4609','S193-1','CKT', 'LB')
('AC04652-2022-11-02-4616','A257-8','OyvJbDGgjloRiT', 'LB')
('AC22517-2022-11-01-4506','A251-6','ynztdqU', 'SU')
('SL12058-2022-11-01-4665','S195-9','FesA', 'LB')
('AC04652-2022-11-01-4727','A263-11','RSHXifgFOygVY', 'SL')
('AC12058-2022-11-01-4680','A260-18','YmOJ', 'SU')
('SL04652-2022-11-02-4616','S193-8','bQrFnqDdRurGBG', 'SU')
('AC22517-2022-11-02-4744','A264-10','uvwbMsJKB', 'UB')
('SL04652-2022-11-01-4677','S195-21','VwTRJdzucqJeWrxh', 'MB')
('AC12058-2022-11-01-4694','A261-14','GtSvtqVIKqO', 'LB')
('SL22517-2022-11-02-4770','S199-18','wfPqn', 'MB')
('SL04652-2022-11-02-4627','S193-19','yCGDS', 'UB')
('AC22517-2022-11-02-4760','A265-8','Fzkb', 'LB')
('SL22517-2022-11-01-4693','S196-13','xwYZbYtMZriWQwsl', 'MB')
('AC04652-2022-11-01-4739','A264-5','PRgCwt', 'SL')
('SL12058-2022-11-01-4722','S197-18','RGXiok', 'MB')
('SL04652-2022-11-02-4675','S195-19','EOfFZhSSLtdumBBg', 'UB')
('SL04652-2022-11-01-4746','S198-18','bpGXVwWGGFIUX', 'MB')
('AC22517-2022-11-02-4814','A268-8','Emgqhe', 'LB')
('AC12058-2022-11-01-4752','A264-18','xVE', 'SU')
('AC12058-2022-11-01-4753','A265-1','ynv', 'LB')
('AC22517-2022-11-01-4577','A255-5','vrEmCPfFYvGaTed', 'SL')
('AC22517-2022-11-02-4820','A268-14','Amhlbn', 'LB')
('AC22517-2022-11-02-4821','A268-15','pJtH', 'UB')
('SL22517-2022-11-01-4741','S198-13','PRnUCDShTqOl', 'MB')
('AC22517-2022-11-02-4825','A269-1','gxtExDOgwv', 'LB')
('SL22517-2022-11-02-4814','S201-14','bkNdIKBwcQ', 'UB')
('AC22517-2022-11-02-4826','A269-2','bw', 'LB')
('SL04652-2022-11-01-4761','S199-9','SzYJCTZdkzvFvdhs', 'LB')
('AC22517-2022-11-02-4827','A269-3','LKStpKWssJzaxHn', 'UB')
('AC22517-2022-11-01-4587','A255-15','AgEVdVxsxGQdtRI', 'UB')
('AC22517-2022-11-02-4828','A269-4','aUzggVu', 'UB')
('AC22517-2022-11-01-4589','A255-17','KhpAjPSbMM', 'SL')
('AC22517-2022-11-02-4830','A269-6','weNIeCwweKjKeHv', 'SU')
('SL04652-2022-11-01-4814','S201-14','RRfRnIDs', 'UB')
('AC12058-2022-11-01-4813','A268-7','CI', 'LB')
('AC04652-2022-11-01-4861','A271-1','vmwETQxkKQmmd', 'LB')
('SL22517-2022-11-01-4800','S200-24','OCWWndRZgDsR', 'SU')
('AC04652-2022-11-02-4739','A264-5','vYyksZWlCBCke', 'SL')
('AC22517-2022-11-01-4652','A259-8','BJTdKIOjkUeJuf', 'LB')
('AC04652-2022-11-02-4740','A264-6','OnazoNvNP', 'SU')
('AC12058-2022-11-01-4818','A268-12','Rbvefp', 'SU')
('SL04652-2022-11-02-4755','S199-3','IaX', 'UB')
('SL22517-2022-11-02-4883','S204-11','GzHqCsDM', 'UB')
('SL22517-2022-11-01-4804','S201-4','vftxkOGyL', 'LB')
('SL04652-2022-11-01-4822','S201-22','QRHfRdJ', 'UB')
('AC22517-2022-11-02-4878','A271-18','pznw', 'SU')
('AC12058-2022-11-01-4821','A268-15','EjeVSrz', 'UB')
('SL22517-2022-11-01-4806','S201-6','K', 'UB')
('AC22517-2022-11-01-4657','A259-13','vbVtEgWDgkJp', 'LB')
('AC12058-2022-11-01-4824','A268-18','VpHvZErvHsav', 'SU')
('SL22517-2022-11-01-4807','S201-7','ZGqZqjwO', 'SL')
('AC04652-2022-11-02-4747','A264-13','tCmSaWPgRMsTORuz', 'LB')
('AC12058-2022-11-01-4827','A269-3','OyutpQzuCCVjHt', 'UB')
('SL04652-2022-11-02-4767','S199-15','PwIJcbWJ', 'SL')
('AC04652-2022-11-02-4750','A264-16','mCMYYrzFAQlgJ', 'UB')
('AC22517-2022-11-01-4661','A259-17','oivYbdh', 'SL')
('SL22517-2022-11-02-4893','S204-21','gLNPbZFGPdJxw', 'MB')
('AC22517-2022-11-02-4888','A272-10','JZ', 'UB')
('SL22517-2022-11-01-4809','S201-9','GVGbLk', 'LB')
('AC22517-2022-11-02-4920','A274-6','G', 'SU')
('AC22517-2022-11-01-4695','A261-15','vMLEMEPJVQkqC', 'UB')
('AC22517-2022-11-01-4696','A261-16','zKMxgePLx', 'UB')
('SL12058-2022-11-01-4834','S202-10','UEmbFXRGYtWwFGW', 'MB')
('AC22517-2022-11-02-4924','A274-10','P', 'UB')
('AC22517-2022-11-02-4925','A274-11','uyNAYIwzDfP', 'SL')
('SL22517-2022-11-02-4932','S206-12','nYrtMEKTOWmD', 'LB')
('AC12058-2022-11-01-4867','A271-7','i', 'LB')
('AC22517-2022-11-01-4705','A262-7','XAhdr', 'LB')
('SL22517-2022-11-02-4941','S206-21','NLqKgWNte', 'MB')
('AC12058-2022-11-01-4877','A271-17','YGUpAxWXOKoZX', 'SL')
('AC22517-2022-11-01-4714','A262-16','wu', 'UB')
('AC22517-2022-11-02-4950','A275-18','dAtnypStobIsJpO', 'SU')
('AC22517-2022-11-02-4951','A276-1','BRJGttmRAlp', 'LB')
('AC04652-2022-11-02-4808','A268-2','MU', 'LB')
('SL12058-2022-11-01-4849','S203-1','lwvSzXPRrloKwfqt', 'LB')
('AC12058-2022-11-01-4886','A272-8','kLgFImhcbe', 'LB')
('SL04652-2022-11-01-4899','S205-3','QRUBPVsMvq', 'UB')
('AC04652-2022-11-01-4908','A273-12','Q', 'SU')
('SL04652-2022-11-01-4901','S205-5','m', 'MB')
('AC22517-2022-11-02-4962','A276-12','ewDMGMJZ', 'SU')
('SL04652-2022-11-02-4833','S202-9','NiE', 'LB')
('AC04652-2022-11-02-4901','A273-5','HfxhTOAcBIiLF', 'SL')
('AC04652-2022-11-01-4981','A277-13','sxBymiP', 'LB')
('SL04652-2022-11-01-4994','S209-2','Tw', 'MB')
('SL12058-2022-11-01-4933','S206-13','PjfZKU', 'MB')
('AC04652-2022-11-02-4915','A274-1','CIrk', 'LB')
('SL22517-2022-11-02-5052','S211-12','CjgLSYEWTZn', 'LB')
('AC12058-2022-11-01-4977','A277-9','DdSZvKKTPneV', 'UB')
('AC12058-2022-11-01-4978','A277-10','HXMvMCrKw', 'UB')
('AC22517-2022-11-02-5066','A282-8','mIOHtjaA', 'LB')
('SL22517-2022-11-01-4976','S208-8','cLWfPppRGXlT', 'SU')
('AC22517-2022-11-01-4828','A269-4','zJ', 'UB')
('SL04652-2022-11-01-5016','S209-24','nw', 'SU')
('SL22517-2022-11-01-4981','S208-13','ZYebJHkZNuqDP', 'MB')
('AC04652-2022-11-02-4942','A275-10','BlSQxzT', 'UB')
('SL12058-2022-11-01-4949','S207-5','clAUlMRBUPFQwmwQ', 'MB')
('SL22517-2022-11-02-5068','S212-4','DtSx', 'LB')
('SL22517-2022-11-01-4988','S208-20','DxCmYNivBoqvx', 'LB')
('AC22517-2022-11-02-5080','A283-4','tmEuun', 'UB')
('AC22517-2022-11-01-4836','A269-12','Vbm', 'SU')
('SL22517-2022-11-01-4990','S208-22','RthOixkM', 'UB')
('SL04652-2022-11-02-4958','S207-14','iAoCupgcTxN', 'UB')
('SL12058-2022-11-01-4955','S207-11','wsSMT', 'UB')
('AC12058-2022-11-01-5004','A278-18','LpNzknRtDMqhKO', 'SU')
('SL04652-2022-11-01-5031','S210-15','apJrvHw', 'SL')
('SL12058-2022-11-01-4967','S207-23','wCVW', 'SL')
('SL04652-2022-11-01-5046','S211-6','uqXfcpL', 'UB')
('AC22517-2022-11-01-4860','A270-18','uMJKsbZIhT', 'SU')
('AC22517-2022-11-02-5102','A284-8','pKyasrTH', 'LB')
('SL04652-2022-11-01-5050','S211-10','bkdoFg', 'MB')
('SL22517-2022-11-01-5015','S209-23','VL', 'SL')
('SL12058-2022-11-01-4979','S208-11','RbF', 'UB')
('AC22517-2022-11-02-5104','A284-10','ekLtIm', 'UB')
('AC04652-2022-11-02-4974','A277-6','axmZmKXL', 'SU')
('AC04652-2022-11-01-5041','A281-1','phXSdWxFF', 'LB')
('SL22517-2022-11-02-5096','S213-8','VaYAUPpjZaj', 'SU')
('AC04652-2022-11-02-4978','A277-10','OK', 'UB')
('SL22517-2022-11-02-5098','S213-10','hnVkWYxTTjI', 'MB')
('AC04652-2022-11-01-5066','A282-8','OpgGBEUwIKUSC', 'LB')
('SL04652-2022-11-02-5017','S210-1','iQqyH', 'LB')
('AC04652-2022-11-01-5076','A282-18','H', 'SU')
('AC22517-2022-11-02-5126','A285-14','DUOTMgJJopLiO', 'LB')
('AC22517-2022-11-01-4905','A273-9','JLNBEOXdvfdu', 'UB')
('AC04652-2022-11-02-5021','A279-17','HImE', 'SL')
('SL22517-2022-11-02-5137','S215-1','nDjshMLyxpSW', 'LB')
('SL12058-2022-11-01-5023','S210-7','qMgVHEbi', 'SL')
('SL04652-2022-11-01-5094','S213-6','CuxtIlmWQBh', 'UB')
('SL12058-2022-11-01-5025','S210-9','a', 'LB')
('AC04652-2022-11-02-5025','A280-3','DpPVZHMjl', 'UB')
('AC04652-2022-11-01-5077','A283-1','jDrJdptUJcEkY', 'LB')
('SL12058-2022-11-01-5027','S210-11','McuJIHh', 'UB')
('SL04652-2022-11-01-5100','S213-12','AmZADQuKXJI', 'LB')
('AC22517-2022-11-02-5135','A286-5','KlAs', 'SL')
('SL22517-2022-11-01-5072','S212-8','dVHMdB', 'SU')
('AC22517-2022-11-02-5137','A286-7','rNvPCloPELrjoIq', 'LB')
('SL04652-2022-11-01-5107','S213-19','iB', 'UB')
('AC22517-2022-11-02-5139','A286-9','Y', 'UB')
('SL04652-2022-11-02-5038','S210-22','vXUhafP', 'UB')
('SL12058-2022-11-01-5038','S210-22','lxPblMtBR', 'UB')
('AC04652-2022-11-01-5091','A283-15','rWCwxEZSUgrQ', 'UB')
('AC12058-2022-11-01-5084','A283-8','KQXPFegRjXeCpMU', 'LB')
('SL12058-2022-11-01-5042','S211-2','QmPariZbHYNQsz', 'MB')
('SL04652-2022-11-02-5042','S211-2','MvbV', 'MB')
('AC22517-2022-11-01-4933','A275-1','wZjkXEt', 'LB')
('AC22517-2022-11-01-4934','A275-2','iHsuCNGHlmpaKEdT', 'LB')
('AC12058-2022-11-01-5089','A283-13','TnIEEaLotCGNNxy', 'LB')
('SL04652-2022-11-01-5121','S214-9','yHXmYhcjMgWDDPsK', 'LB')
('AC12058-2022-11-01-5093','A283-17','crNdm', 'SL')
('SL12058-2022-11-01-5056','S211-16','BpdpcQJXWcGLR', 'SU')
('AC22517-2022-11-02-5157','A287-9','uHyhuKZVMhm', 'UB')
('AC04652-2022-11-01-5106','A284-12','GGAhdirOtJQ', 'SU')
('SL22517-2022-11-02-5169','S216-9','o', 'LB')
('SL12058-2022-11-01-5062','S211-22','XuAlDabNqdpovL', 'UB')
('AC12058-2022-11-01-5102','A284-8','RdayWCSO', 'LB')
('SL04652-2022-11-02-5064','S211-24','LdgAlzSsuSADY', 'SU')
('SL22517-2022-11-02-5172','S216-12','BRcOfAnXmljFMh', 'LB')
('AC04652-2022-11-02-5055','A281-15','XVkKmaB', 'UB')
('AC22517-2022-11-02-5164','A287-16','NZPeALNdGquQqTLH', 'UB')
('AC04652-2022-11-02-5057','A281-17','xrlpSrEBj', 'SL')
('AC04652-2022-11-02-5058','A281-18','Nb', 'SU')
('SL12058-2022-11-01-5068','S212-4','iwFDjxmtdhGyWvjb', 'LB')
('SL04652-2022-11-01-5144','S215-8','Ja', 'SU')
('SL04652-2022-11-02-5070','S212-6','RIy', 'UB')
('SL04652-2022-11-01-5147','S215-11','CRwYSdmkJdagJa', 'UB')
('AC04652-2022-11-02-5067','A282-9','WwyO', 'UB')
('AC04652-2022-11-02-5068','A282-10','Q', 'UB')
('SL12058-2022-11-01-5075','S212-11','irYqgES', 'UB')
('AC22517-2022-11-01-4966','A276-16','YboXJl', 'UB')
('SL12058-2022-11-01-5095','S213-7','ouQzptO', 'SL')
('SL04652-2022-11-01-5171','S216-11','mCMiwKQRqdTIpU', 'UB')
('SL22517-2022-11-01-5117','S214-5','DmuaHHqYxrpr', 'MB')
('AC22517-2022-11-02-5191','A289-7','CXtSfEMQg', 'LB')
('SL22517-2022-11-02-5202','S217-18','nlXznpXmew', 'MB')
('AC04652-2022-11-01-5140','A286-10','uojjlaMEBYtelIU', 'UB')
('AC22517-2022-11-01-4999','A278-13','bit', 'LB')
('SL22517-2022-11-02-5207','S217-23','yfQqH', 'SL')
('AC22517-2022-11-02-5205','A290-3','jnXb', 'UB')
('AC04652-2022-11-02-5093','A283-17','xSHIfuoNJ', 'SL')
('SL04652-2022-11-01-5176','S216-16','dkKeQVcYH', 'SU')
('SL12058-2022-11-01-5111','S213-23','RtpVpziyBRo', 'SL')
('AC22517-2022-11-02-5224','A291-4','Is', 'UB')
('SL22517-2022-11-01-5149','S215-13','DFYkNlAA', 'MB')
('SL22517-2022-11-02-5232','S218-24','URGtVIYzK', 'SU')
('SL04652-2022-11-02-5125','S214-13','BYrqQ', 'MB')
('SL22517-2022-11-01-5156','S215-20','ETGrt', 'LB')
('SL12058-2022-11-01-5135','S214-23','WBdiwWQEZ', 'SL')
('SL22517-2022-11-01-5161','S216-1','mauunIqd', 'LB')
('AC22517-2022-11-01-5026','A280-4','BNNtnLuIqxOo', 'UB')
('SL04652-2022-11-01-5204','S217-20','smsNlzvMHXHov', 'LB')
('SL04652-2022-11-02-5132','S214-20','OZdNIaQhc', 'LB')
('SL12058-2022-11-01-5138','S215-2','rZW', 'MB')
('SL22517-2022-11-02-5246','S219-14','PKkQlVchOWOrB', 'UB')
('AC22517-2022-11-02-5248','A292-10','IGQzyV', 'UB')
('SL04652-2022-11-02-5154','S215-18','MTtKb', 'MB')
('SL12058-2022-11-01-5152','S215-16','xjPUcUUvrNe', 'SU')
('SL22517-2022-11-01-5193','S217-9','WFjeIadRWAWCJ', 'LB')
('SL04652-2022-11-02-5188','S217-4','lOyUSoWZkHita', 'LB')
('SL12058-2022-11-01-5197','S217-13','CmxazWaW', 'MB')
('AC04652-2022-11-01-5239','A292-1','OmuxXtiAZLY', 'LB')
('SL04652-2022-11-01-5269','S220-13','ilPCUPB', 'MB')
('AC04652-2022-11-02-5178','A288-12','qagMqNAbkNABnyRT', 'SU')
('AC22517-2022-11-02-5311','A296-1','uAGb', 'LB')
('SL22517-2022-11-02-5321','S222-17','jvUZNScgC', 'LB')
('SL12058-2022-11-01-5216','S218-8','zOZWDSsmreJ', 'SU')
('AC04652-2022-11-02-5179','A288-13','QLuJXaswSrebNPx', 'LB')
('AC12058-2022-11-01-5238','A291-18','lThZVtNi', 'SU')
('SL22517-2022-11-02-5325','S222-21','I', 'MB')
('AC22517-2022-11-02-5316','A296-6','swgPlTyfGZMan', 'SU')
('AC12058-2022-11-01-5243','A292-5','TMdurOUdC', 'SL')
('SL12058-2022-11-01-5222','S218-14','FnC', 'UB')
('AC04652-2022-11-01-5260','A293-4','gLLelX', 'UB')
('SL04652-2022-11-02-5213','S218-5','YrCoeCBLzj', 'MB')
('SL12058-2022-11-01-5228','S218-20','G', 'LB')
('AC12058-2022-11-01-5251','A292-13','GmjFWQXyqQlgg', 'LB')
('SL22517-2022-11-01-5269','S220-13','S', 'MB')
('SL22517-2022-11-01-5271','S220-15','VfDx', 'SL')
('SL12058-2022-11-01-5264','S220-8','kyHIZnAZECStyksG', 'SU')
('SL22517-2022-11-01-5273','S220-17','JdXFqRlfjoObJBio', 'LB')
('AC22517-2022-11-02-5359','A298-13','jYBIF', 'LB')
('AC22517-2022-11-02-5360','A298-14','YHkpNFBovE', 'LB')
('AC04652-2022-11-02-5211','A290-9','sbuTOa', 'UB')
('SL22517-2022-11-01-5279','S220-23','IjdErCaBLwGAx', 'SL')
('AC22517-2022-11-02-5364','A298-18','OeOqwuodw', 'SU')
('AC04652-2022-11-02-5214','A290-12','eHM', 'SU')
('SL04652-2022-11-02-5260','S220-4','CVNKORKaGGZBLCGI', 'LB')
('SL04652-2022-11-01-5313','S222-9','sVCqxgKLmBXU', 'LB')
('SL12058-2022-11-01-5275','S220-19','LjaxM', 'UB')
('SL22517-2022-11-02-5361','S224-9','dd', 'LB')
('AC04652-2022-11-02-5217','A290-15','OZaXWoJx', 'UB')
('AC04652-2022-11-02-5218','A290-16','xvkGXAOabz', 'UB')
('SL04652-2022-11-01-5318','S222-14','VBP', 'UB')
('AC22517-2022-11-02-5372','A299-8','VXVB', 'LB')
