('AC12058-2022-11-01-9672','A538-6','IVQyAsy', 'SU')
('SL04652-2022-11-02-10196','S425-20','odblNiP', 'LB')
('AC04652-2022-11-01-10222','A568-16','Obvpr', 'UB')
('SL12058-2022-11-01-10130','S423-2','J', 'MB')
('SL04652-2022-11-01-10314','S430-18','VcDR', 'MB')
('SL04652-2022-11-01-10315','S430-19','khJanLVnvSE', 'UB')
('AC22517-2022-11-01-10106','A562-8','hYnIYIXtlK', 'LB')
('SL22517-2022-11-01-10196','S425-20','Gsiwl', 'LB')
('AC22517-2022-11-01-10108','A562-10','YswgFmrSIFBxPsjO', 'UB')
('AC04652-2022-11-02-10306','A573-10','vwdLHtWl', 'UB')
('SL04652-2022-11-01-10323','S431-3','DKwVqSBo', 'UB')
('AC22517-2022-11-02-10321','A574-7','zCEMdiASE', 'LB')
('SL04652-2022-11-01-10325','S431-5','cQ', 'MB')
('SL12058-2022-11-01-10134','S423-6','zUBtqouNei', 'UB')
('SL12058-2022-11-01-10135','S423-7','OCjOfgp', 'SL')
('AC22517-2022-11-01-10111','A562-13','oZryrupXUfd', 'LB')
('AC04652-2022-11-01-10229','A569-5','n', 'SL')
('AC22517-2022-11-02-10324','A574-10','CeX', 'UB')
('SL12058-2022-11-01-10145','S423-17','wrvxbeZFqJS', 'LB')
('SL04652-2022-11-01-10330','S431-10','SqzGQdQ', 'MB')
('AC22517-2022-11-02-10328','A574-14','smJBFLbfu', 'LB')
('SL12058-2022-11-01-10146','S423-18','LNyHkF', 'MB')
('AC22517-2022-11-01-10115','A562-17','FK', 'SL')
('AC04652-2022-11-01-10234','A569-10','VQsmQcuIMFOdn', 'UB')
('SL12058-2022-11-01-10147','S423-19','o', 'UB')
('AC22517-2022-11-01-10117','A563-1','Rj', 'LB')
('AC04652-2022-11-01-10235','A569-11','VblKBLQr', 'SL')
('SL12058-2022-11-01-10150','S423-22','yR', 'UB')
('AC22517-2022-11-01-10118','A563-2','aowhcuQTKKOf', 'LB')
('SL22517-2022-11-01-10206','S426-6','AgKp', 'UB')
('AC04652-2022-11-02-10316','A574-2','YvdMR', 'LB')
('AC04652-2022-11-02-10317','A574-3','eiRkQaGVrKXC', 'UB')
('SL04652-2022-11-01-10338','S431-18','yQOs', 'MB')
('SL04652-2022-11-02-10214','S426-14','f', 'UB')
('AC22517-2022-11-02-10332','A574-18','XUZyopcqtnfmxghw', 'SU')
('SL12058-2022-11-01-10154','S424-2','drO', 'MB')
('AC12058-2022-11-01-10121','A563-5','vKu', 'SL')
('SL12058-2022-11-01-10155','S424-3','UaiXolZYsuG', 'UB')
('SL04652-2022-11-01-10340','S431-20','LnsbaKKHHHmHFpgC', 'LB')
('AC12058-2022-11-01-10125','A563-9','pGYalSLtxdZZfctR', 'UB')
('AC04652-2022-11-02-10322','A574-8','kSQynjjrSJBqMcE', 'LB')
('AC04652-2022-11-02-10323','A574-9','ebfEQpjYGAehr', 'UB')
('SL12058-2022-11-01-10160','S424-8','HfALCIAFx', 'SU')
('AC22517-2022-11-02-10337','A575-5','JxOfUfSraDRcQ', 'SL')
('SL04652-2022-11-01-10341','S431-21','jyeYoI', 'MB')
('AC04652-2022-11-01-10242','A569-18','BbIlPtENKzJ', 'SU')
('AC22517-2022-11-01-10124','A563-8','cNlQUywZNBC', 'LB')
('SL22517-2022-11-02-10284','S429-12','lTIp', 'LB')
('AC04652-2022-11-01-10244','A570-2','gEOw', 'LB')
('AC04652-2022-11-01-10245','A570-3','uAYjFifKYQ', 'UB')
('AC04652-2022-11-01-10246','A570-4','tqbwDmpwSK', 'UB')
('AC04652-2022-11-01-10247','A570-5','iHSWo', 'SL')
('SL22517-2022-11-01-10218','S426-18','oPckTLIJxnwuHJF', 'MB')
('SL04652-2022-11-02-10223','S426-23','H', 'SL')
('AC22517-2022-11-01-10126','A563-10','IbYW', 'UB')
('AC04652-2022-11-02-10327','A574-13','TeuPwvb', 'LB')
('SL04652-2022-11-01-10343','S431-23','RoMhAHRKKrlGcg', 'SL')
('SL04652-2022-11-02-10225','S427-1','k', 'LB')
('SL04652-2022-11-02-10226','S427-2','SbtcCBipLcySF', 'MB')
('SL22517-2022-11-01-10220','S426-20','QXf', 'LB')
('AC22517-2022-11-02-10344','A575-12','ybYu', 'SU')
('SL04652-2022-11-02-10230','S427-6','Q', 'UB')
('AC22517-2022-11-02-10346','A575-14','xxnvSCAG', 'LB')
('AC04652-2022-11-02-10329','A574-15','iAiaA', 'UB')
('AC04652-2022-11-01-10253','A570-11','spR', 'SL')
('AC04652-2022-11-02-10330','A574-16','uTjJTkD', 'UB')
('AC22517-2022-11-02-10348','A575-16','xxZ', 'UB')
('AC22517-2022-11-02-10349','A575-17','Lfadqqydwlqjba', 'SL')
('SL04652-2022-11-02-10236','S427-12','jpEOFVJJEg', 'LB')
('AC04652-2022-11-02-10333','A575-1','dzCuQUOzLKBAHYp', 'LB')
('SL12058-2022-11-01-10170','S424-18','ynfkLXmbHcUK', 'MB')
('SL22517-2022-11-01-10226','S427-2','fNwFT', 'MB')
('AC04652-2022-11-02-10334','A575-2','QvrwqEVgtDXqchWS', 'LB')
('SL22517-2022-11-02-10294','S429-22','VWzDJd', 'UB')
('SL12058-2022-11-01-10172','S424-20','s', 'LB')
('SL04652-2022-11-02-10242','S427-18','osOqhbNiTMB', 'MB')
('SL04652-2022-11-02-10243','S427-19','htpJjfK', 'UB')
('AC04652-2022-11-02-10336','A575-4','bJTpWkUY', 'UB')
('SL04652-2022-11-02-10245','S427-21','aUzeANgpXSmZqsO', 'MB')
('AC22517-2022-11-02-10357','A576-7','CuERw', 'LB')
('SL04652-2022-11-02-10247','S427-23','WSzJvBQO', 'SL')
('AC04652-2022-11-01-10264','A571-4','tHSoQJgWjsUFBWZL', 'UB')
('SL04652-2022-11-02-10251','S428-3','zRMTgEAE', 'UB')
('SL22517-2022-11-02-10297','S430-1','aHTUtohIl', 'LB')
('AC22517-2022-11-01-10149','A564-15','FsMpSaZI', 'UB')
('AC04652-2022-11-02-10340','A575-8','FTuJmTKomGFjta', 'LB')
('SL04652-2022-11-01-10359','S432-15','FzNQrCsmlz', 'SL')
('SL22517-2022-11-02-10302','S430-6','zhDMJXZVa', 'UB')
('AC12058-2022-11-01-10151','A564-17','dpBoYgvwniQaOxC', 'SL')
('SL22517-2022-11-01-10235','S427-11','aErPBLWRLeEHZJbj', 'UB')
('SL22517-2022-11-02-10304','S430-8','fkSCzjXlKoXQs', 'SU')
('SL22517-2022-11-02-10305','S430-9','BNfQtOAT', 'LB')
('AC12058-2022-11-01-10153','A565-1','FRMMz', 'LB')
('AC12058-2022-11-01-10154','A565-2','PKkUgnZuutw', 'LB')
('SL22517-2022-11-02-10307','S430-11','UehtF', 'UB')
('SL22517-2022-11-01-10236','S427-12','Z', 'LB')
('AC22517-2022-11-01-10153','A565-1','TcvVxQzyvn', 'LB')
('SL22517-2022-11-02-10310','S430-14','Bcx', 'UB')
('SL12058-2022-11-01-10187','S425-11','UgH', 'UB')
('AC04652-2022-11-02-10344','A575-12','KBmZCgOIH', 'SU')
('AC04652-2022-11-01-10282','A572-4','d', 'UB')
('AC22517-2022-11-01-10157','A565-5','PnyGSfzBeHNgFeA', 'SL')
('AC04652-2022-11-01-10283','A572-5','zzLsPgvLtK', 'SL')
('AC04652-2022-11-02-10347','A575-15','WLcDEnQMCHJOCCO', 'UB')
('SL12058-2022-11-01-10190','S425-14','y', 'UB')
('AC04652-2022-11-02-10349','A575-17','UZG', 'SL')
('AC22517-2022-11-01-10158','A565-6','KfQbei', 'SU')
('SL22517-2022-11-01-10240','S427-16','hQldaPAK', 'SU')
('AC04652-2022-11-01-10285','A572-7','TtMSc', 'LB')
('AC22517-2022-11-01-10160','A565-8','ajGZlUKsDCerg', 'LB')
('AC04652-2022-11-02-10351','A576-1','ssJHmGODj', 'LB')
('AC22517-2022-11-02-10366','A576-16','JERSXxmPLfpurTCM', 'UB')
('SL12058-2022-11-01-10193','S425-17','HfxPh', 'LB')
('SL22517-2022-11-02-10320','S430-24','fHwBLpVQ', 'SU')
('SL12058-2022-11-01-10196','S425-20','oWUzGYEWVm', 'LB')
('AC04652-2022-11-02-10356','A576-6','AytAPWmd', 'SU')
('SL22517-2022-11-02-10323','S431-3','wZZ', 'UB')
('SL12058-2022-11-01-10199','S425-23','UnfeF', 'SL')
('SL12058-2022-11-01-10201','S426-1','ZYhrjyijahjvHhz', 'LB')
('AC22517-2022-11-01-10166','A565-14','njisFoe', 'LB')
('SL04652-2022-11-01-10381','S433-13','gYPHxbxwVlekyRrZ', 'MB')
('AC22517-2022-11-02-10373','A577-5','YDFUaDUURLbrUC', 'SL')
('AC04652-2022-11-02-10361','A576-11','kGZwYbRxNYCP', 'SL')
('SL22517-2022-11-02-10326','S431-6','jMpBdw', 'UB')
('AC12058-2022-11-01-10165','A565-13','EDsxHqwNqOwo', 'LB')
('SL04652-2022-11-02-10261','S428-13','OaWsBOU', 'MB')
('SL22517-2022-11-02-10328','S431-8','koW', 'SU')
('SL22517-2022-11-01-10255','S428-7','VYxMe', 'SL')
('SL12058-2022-11-01-10204','S426-4','ByTwIcRzxhLM', 'LB')
('AC22517-2022-11-01-10170','A565-18','QKNGEZjdEnnUv', 'SU')
('AC12058-2022-11-01-10171','A566-1','tAQcBVvTHMbYTSLz', 'LB')
('AC22517-2022-11-01-10172','A566-2','MvHHhdWkTWAFDP', 'LB')
('AC04652-2022-11-01-10302','A573-6','Ad', 'SU')
('AC22517-2022-11-02-10384','A577-16','NTcrK', 'UB')
('AC04652-2022-11-01-10303','A573-7','J', 'LB')
('AC22517-2022-11-01-10173','A566-3','XETpn', 'UB')
('AC22517-2022-11-01-10174','A566-4','bpuEDqxKozbFTcY', 'UB')
('AC04652-2022-11-01-10307','A573-11','T', 'SL')
('AC22517-2022-11-01-10176','A566-6','hhhVesEzC', 'SU')
('AC22517-2022-11-02-10388','A578-2','yhmQqaGTXIOCIluK', 'LB')
('SL04652-2022-11-01-10383','S433-15','j', 'SL')
('AC04652-2022-11-01-10309','A573-13','CLabdTZTiYN', 'LB')
('AC04652-2022-11-01-10310','A573-14','So', 'LB')
('AC22517-2022-11-02-10391','A578-5','AxsD', 'SL')
('AC22517-2022-11-01-10178','A566-8','OS', 'LB')
('SL22517-2022-11-01-10265','S428-17','QmIilHdms', 'LB')
('SL22517-2022-11-02-10339','S431-19','uSfSZoQUMuqRk', 'UB')
('AC22517-2022-11-01-10181','A566-11','Qrf', 'SL')
('AC12058-2022-11-01-10178','A566-8','FVdQLgcfiwdqHjUf', 'LB')
('SL04652-2022-11-01-10388','S433-20','tddwMMXIf', 'LB')
('AC12058-2022-11-01-10180','A566-10','ZPvxvnChwcyvtRp', 'UB')
('AC04652-2022-11-01-10321','A574-7','UBv', 'LB')
('SL12058-2022-11-01-10210','S426-10','RGZOtiFYBBtrCJ', 'MB')
('SL22517-2022-11-01-10267','S428-19','fiImKsBLLIjfs', 'UB')
('AC12058-2022-11-01-10182','A566-12','yGwIPNNdinq', 'SU')
('SL04652-2022-11-01-10393','S434-1','xalQF', 'LB')
('SL22517-2022-11-02-10344','S431-24','SzWLbVGtlt', 'SU')
('AC12058-2022-11-01-10185','A566-15','jOScMQTAJkcZYqe', 'UB')
('SL04652-2022-11-01-10395','S434-3','ZV', 'UB')
('SL04652-2022-11-01-10396','S434-4','WDcDZCucrb', 'LB')
('SL04652-2022-11-01-10397','S434-5','ihjhQD', 'MB')
('SL04652-2022-11-02-10273','S429-1','cnBFZN', 'LB')
('AC12058-2022-11-01-10187','A566-17','yk', 'SL')
('SL12058-2022-11-01-10215','S426-15','IEAU', 'SL')
('AC22517-2022-11-02-10397','A578-11','rMqVVP', 'SL')
('AC22517-2022-11-01-10191','A567-3','aluCL', 'UB')
('AC04652-2022-11-01-10328','A574-14','AOTbwzu', 'LB')
('SL22517-2022-11-02-10351','S432-7','pQrZRIpRbg', 'SL')
('SL22517-2022-11-02-10352','S432-8','TnXcWQxu', 'SU')
('SL22517-2022-11-02-10354','S432-10','kwNCOtDN', 'MB')
('AC04652-2022-11-02-10384','A577-16','ZGIGyrgxf', 'UB')
('SL12058-2022-11-01-10220','S426-20','ivZaeqUABsj', 'LB')
('SL04652-2022-11-01-10406','S434-14','IJR', 'UB')
('AC22517-2022-11-02-10400','A578-14','qFgxtVucwNELb', 'LB')
('SL04652-2022-11-01-10409','S434-17','NoNwh', 'LB')
('AC12058-2022-11-01-10195','A567-7','USxyeQhst', 'LB')
('AC22517-2022-11-01-10198','A567-10','XmKdRmsSaxWdbA', 'UB')
('SL04652-2022-11-02-10281','S429-9','sYkdX', 'LB')
('SL22517-2022-11-01-10276','S429-4','OafcrRzOOREXrrx', 'LB')
('AC04652-2022-11-01-10333','A575-1','QvDJwmBJLst', 'LB')
('SL22517-2022-11-02-10357','S432-13','lBb', 'MB')
('SL22517-2022-11-01-10277','S429-5','bzzqiyS', 'MB')
('SL04652-2022-11-01-10415','S434-23','CXrmLjVMzeGqIvC', 'SL')
('SL04652-2022-11-02-10286','S429-14','ViLiMYxSaTsVjUQl', 'UB')
('SL12058-2022-11-01-10227','S427-3','feW', 'UB')
('SL22517-2022-11-02-10360','S432-16','BSEWgpefVF', 'SU')
('AC04652-2022-11-01-10339','A575-7','UIelo', 'LB')
('AC04652-2022-11-01-10340','A575-8','sqpIxibmbzcIxp', 'LB')
('SL04652-2022-11-02-10290','S429-18','PVA', 'MB')
('SL22517-2022-11-02-10364','S432-20','MPJMUdqqj', 'LB')
('AC04652-2022-11-02-10390','A578-4','sZjpLdMrabS', 'UB')
('AC04652-2022-11-02-10391','A578-5','TtynzjxhlYqoWl', 'SL')
('SL04652-2022-11-02-10291','S429-19','h', 'UB')
('SL12058-2022-11-01-10230','S427-6','rWktlADapVR', 'UB')
('SL04652-2022-11-01-10421','S435-5','UizWQQFJ', 'MB')
('SL04652-2022-11-02-10292','S429-20','vooxtSoCSzsin', 'LB')
('SL22517-2022-11-01-10284','S429-12','LrJsZQFJsOLg', 'LB')
('AC22517-2022-11-01-10205','A567-17','QAGMv', 'SL')
('SL22517-2022-11-02-10369','S433-1','jhf', 'LB')
('AC04652-2022-11-01-10344','A575-12','j', 'SU')
('SL22517-2022-11-01-10286','S429-14','Xh', 'UB')
('SL04652-2022-11-02-10295','S429-23','Arx', 'SL')
('SL22517-2022-11-01-10287','S429-15','UoenAlvEOzdpafui', 'SL')
('SL04652-2022-11-02-10297','S430-1','ZBzW', 'LB')
('AC22517-2022-11-02-10411','A579-7','sG', 'LB')
('AC22517-2022-11-01-10210','A568-4','mDdGPBecyj', 'UB')
('SL04652-2022-11-02-10299','S430-3','Yg', 'UB')
('AC04652-2022-11-01-10347','A575-15','MqaHG', 'UB')
('SL22517-2022-11-02-10373','S433-5','HmpiXCJFVHeNN', 'MB')
('AC22517-2022-11-02-10415','A579-11','E', 'SL')
('SL04652-2022-11-02-10300','S430-4','idfoKEUJ', 'LB')
('AC22517-2022-11-02-10416','A579-12','ejxHUpZntsu', 'SU')
('SL12058-2022-11-01-10237','S427-13','WcTySkKNMgUaH', 'MB')
('AC22517-2022-11-01-10214','A568-8','VhKGiaL', 'LB')
('SL04652-2022-11-01-10431','S435-15','GgAdQ', 'SL')
('SL22517-2022-11-01-10297','S430-1','bBjDe', 'LB')
('AC04652-2022-11-01-10350','A575-18','UcmHvbAuOIgYoKa', 'SU')
('SL12058-2022-11-01-10241','S427-17','GGkBsxoouExwrvfy', 'LB')
('AC22517-2022-11-02-10421','A579-17','XgUqFikUzhvJs', 'SL')
('AC22517-2022-11-01-10216','A568-10','gFJ', 'UB')
('AC04652-2022-11-02-10402','A578-16','ctn', 'UB')
('SL22517-2022-11-01-10300','S430-4','S', 'LB')
('AC04652-2022-11-02-10403','A578-17','IAivcJFeJCWd', 'SL')
('AC12058-2022-11-01-10209','A568-3','KDOkGfbFGXqmzjBx', 'UB')
('AC22517-2022-11-02-10424','A580-2','CAfsnePngYMB', 'LB')
('SL12058-2022-11-01-10244','S427-20','NzUitcj', 'LB')
('AC22517-2022-11-02-10426','A580-4','JdlNyETpMFdNBU', 'UB')
('SL12058-2022-11-01-10245','S427-21','adxfAKhVTV', 'MB')
('AC22517-2022-11-01-10220','A568-14','zuiAIHtOFhzrp', 'LB')
('AC04652-2022-11-02-10406','A579-2','x', 'LB')
('AC22517-2022-11-01-10223','A568-17','iOZAA', 'SL')
('AC04652-2022-11-01-10353','A576-3','obbIPClUALOYNm', 'UB')
('SL22517-2022-11-02-10380','S433-12','DF', 'LB')
('AC04652-2022-11-01-10360','A576-10','LI', 'UB')
('AC04652-2022-11-02-10410','A579-6','RfWPAAI', 'SU')
('SL12058-2022-11-01-10249','S428-1','KTMavzunkkEXhFv', 'LB')
('SL22517-2022-11-01-10309','S430-13','sLozxVGkyINDa', 'MB')
('AC04652-2022-11-01-10362','A576-12','ZXhjT', 'SU')
('AC22517-2022-11-01-10231','A569-7','BddvamWAzI', 'LB')
('AC22517-2022-11-01-10232','A569-8','lgprKXrMNQFTd', 'LB')
('SL04652-2022-11-02-10311','S430-15','XjMDl', 'SL')
('SL12058-2022-11-01-10251','S428-3','WNDNLcn', 'UB')
('AC04652-2022-11-01-10366','A576-16','vMwbfOIp', 'UB')
('SL12058-2022-11-01-10252','S428-4','oOOETfZeSugDS', 'LB')
('AC22517-2022-11-01-10234','A569-10','RjGCbvTIeh', 'UB')
('AC12058-2022-11-01-10218','A568-12','lWZoxMEh', 'SU')
('SL22517-2022-11-02-10385','S433-17','LntISZTNpuKLxT', 'LB')
('AC22517-2022-11-01-10237','A569-13','hwYyjLMN', 'LB')
('SL22517-2022-11-02-10386','S433-18','EwWz', 'MB')
('SL22517-2022-11-02-10387','S433-19','uChZTn', 'UB')
('AC22517-2022-11-01-10238','A569-14','WVIaNvwtLvtxwC', 'LB')
('SL22517-2022-11-01-10315','S430-19','JqIs', 'UB')
('AC22517-2022-11-02-10439','A580-17','xTAmrndlzeubs', 'SL')
('SL22517-2022-11-02-10390','S433-22','JUnBkGi', 'UB')
('SL22517-2022-11-01-10318','S430-22','dtVZMQcPx', 'UB')
('SL22517-2022-11-01-10319','S430-23','LwxvSKcd', 'SL')
('SL22517-2022-11-01-10320','S430-24','oySE', 'SU')
('AC04652-2022-11-01-10376','A577-8','zlZrgB', 'LB')
('AC12058-2022-11-01-10226','A569-2','zYA', 'LB')
('SL04652-2022-11-01-10447','S436-7','otVE', 'SL')
('AC22517-2022-11-02-10442','A581-2','bhLOtU', 'LB')
('SL04652-2022-11-01-10449','S436-9','qALytgBPIvdy', 'LB')
('SL04652-2022-11-01-10450','S436-10','QehbZdJ', 'MB')
('AC12058-2022-11-01-10229','A569-5','M', 'SL')
('AC04652-2022-11-02-10424','A580-2','iBVe', 'LB')
('AC04652-2022-11-01-10378','A577-10','ecLGWSSRAh', 'UB')
('SL12058-2022-11-01-10264','S428-16','rIUPTDtgjdjqCyBX', 'SU')
('AC22517-2022-11-01-10244','A570-2','IbBSjIBfM', 'LB')
('SL22517-2022-11-01-10327','S431-7','jccxOu', 'SL')
('AC22517-2022-11-02-10444','A581-4','GNrciQMqRoi', 'UB')
('AC22517-2022-11-02-10446','A581-6','qWCdFHQJCWvrFr', 'SU')
('AC12058-2022-11-01-10234','A569-10','KltPFgBhw', 'UB')
('AC04652-2022-11-02-10430','A580-8','aPsSlzyHNvWnnOg', 'LB')
('SL04652-2022-11-01-10459','S436-19','qBoVqsqpr', 'UB')
('SL04652-2022-11-01-10460','S436-20','czFZtwTuNhUofW', 'LB')
('SL22517-2022-11-02-10400','S434-8','nZbAKhHdDfUuR', 'SU')
('SL22517-2022-11-01-10331','S431-11','rTwwwUQQkQItcqcb', 'UB')
('AC04652-2022-11-02-10431','A580-9','ncSz', 'UB')
('SL22517-2022-11-02-10402','S434-10','fNxkCKDvEIUGWs', 'MB')
('SL22517-2022-11-02-10403','S434-11','ZpGmBsukikTxOjjv', 'UB')
('AC22517-2022-11-02-10451','A581-11','AvMjuAuJJK', 'SL')
('AC22517-2022-11-02-10452','A581-12','jFquJ', 'SU')
('AC22517-2022-11-01-10251','A570-9','ayLvBuOdITphHI', 'UB')
('SL22517-2022-11-02-10404','S434-12','a', 'LB')
('AC04652-2022-11-01-10388','A578-2','VhShbfQznQOmt', 'LB')
('AC12058-2022-11-01-10237','A569-13','pOnKsBcjtOdsvB', 'LB')
('SL04652-2022-11-01-10462','S436-22','gxJKbGpMxEza', 'UB')
('SL22517-2022-11-02-10407','S434-15','nfDli', 'SL')
('SL04652-2022-11-02-10335','S431-15','ElbfMz', 'SL')
('SL22517-2022-11-02-10409','S434-17','zTRSEbcuh', 'LB')
('AC22517-2022-11-01-10253','A570-11','iMazwvJZNgV', 'SL')
('AC12058-2022-11-01-10240','A569-16','djbBLumufodKRcj', 'UB')
('SL22517-2022-11-02-10411','S434-19','abXDQ', 'UB')
('AC22517-2022-11-01-10254','A570-12','xPZXbIjPwWyILV', 'SU')
('AC12058-2022-11-01-10242','A569-18','qoWLqjIEexp', 'SU')
('AC22517-2022-11-01-10256','A570-14','cMvqkSVnG', 'LB')
('AC12058-2022-11-01-10245','A570-3','FDGdE', 'UB')
('SL04652-2022-11-02-10337','S431-17','pzV', 'LB')
('SL04652-2022-11-02-10340','S431-20','xfw', 'LB')
('AC04652-2022-11-01-10393','A578-7','BYKGTXfOIZp', 'LB')
('AC22517-2022-11-02-10465','A582-7','ANBrHjrGs', 'LB')
('AC12058-2022-11-01-10248','A570-6','BGGqpjAX', 'SU')
('AC04652-2022-11-01-10394','A578-8','IBtTquCHjWrawNR', 'LB')
('SL04652-2022-11-02-10341','S431-21','XR', 'MB')
('AC22517-2022-11-02-10467','A582-9','eQjYikkqf', 'UB')
('AC04652-2022-11-02-10441','A581-1','gwUnNnbnraS', 'LB')
('SL04652-2022-11-02-10343','S431-23','yyEXLj', 'SL')
('SL04652-2022-11-02-10344','S431-24','xBWSPNsnByQUiP', 'SU')
('SL12058-2022-11-01-10291','S429-19','A', 'UB')
('SL22517-2022-11-02-10422','S435-6','rH', 'UB')
('SL12058-2022-11-01-10293','S429-21','eFVdUrM', 'MB')
('AC04652-2022-11-02-10443','A581-3','odUYXQXrWQH', 'UB')
('AC04652-2022-11-01-10397','A578-11','FKKFUORyxwEAgJHi', 'SL')
('AC04652-2022-11-01-10398','A578-12','btN', 'SU')
('AC22517-2022-11-02-10476','A582-18','soZfMNAN', 'SU')
('SL04652-2022-11-01-10480','S437-16','NUZXyQDzi', 'SU')
('AC04652-2022-11-01-10402','A578-16','dyEClGLgYhjmaYe', 'UB')
('SL04652-2022-11-02-10349','S432-5','rMmX', 'MB')
('AC04652-2022-11-01-10403','A578-17','VIFBimjDWD', 'SL')
('SL22517-2022-11-01-10355','S432-11','UQtLb', 'UB')
('AC22517-2022-11-02-10481','A583-5','UTLqGmSWfmY', 'SL')
('AC12058-2022-11-01-10257','A570-15','yUWPyqu', 'UB')
('AC22517-2022-11-01-10268','A571-8','tNXBpaAXODVhsCI', 'LB')
('SL12058-2022-11-01-10298','S430-2','WzhCfEmMYJYGN', 'MB')
('AC04652-2022-11-02-10453','A581-13','NNj', 'LB')
('SL22517-2022-11-01-10358','S432-14','MZTcIAROlDF', 'UB')
('SL04652-2022-11-02-10353','S432-9','IhsKoiNCHv', 'LB')
('SL22517-2022-11-02-10428','S435-12','juBED', 'LB')
('AC22517-2022-11-02-10485','A583-9','AecbadKcHsg', 'UB')
('AC12058-2022-11-01-10262','A571-2','kbOwoAdOVo', 'LB')
('SL04652-2022-11-02-10358','S432-14','ugMKqunbopcEI', 'UB')
('AC04652-2022-11-01-10409','A579-5','aVkrmBZl', 'SL')
('SL04652-2022-11-02-10359','S432-15','zvBMnF', 'SL')
('AC22517-2022-11-01-10272','A571-12','XkXvMoeljuPziOY', 'SU')
('SL12058-2022-11-01-10310','S430-14','YKySLmzcGZLIjY', 'UB')
('AC22517-2022-11-01-10275','A571-15','MOWrDSltieI', 'UB')
('SL04652-2022-11-01-10497','S438-9','ziJX', 'LB')
('AC22517-2022-11-01-10279','A572-1','GVJZgROl', 'LB')
('AC22517-2022-11-02-10495','A584-1','fYjyjgNDNiExgzdk', 'LB')
('AC12058-2022-11-01-10269','A571-9','jBZBkcrsZVXyPGV', 'UB')
('AC12058-2022-11-01-10270','A571-10','xXnoIsuk', 'UB')
('SL12058-2022-11-01-10317','S430-21','llu', 'MB')
('AC12058-2022-11-01-10272','A571-12','CNDJHqozM', 'SU')
('SL04652-2022-11-01-10501','S438-13','xhYdtFzE', 'MB')
('AC22517-2022-11-01-10282','A572-4','CdHN', 'UB')
('AC04652-2022-11-02-10462','A582-4','Bhfbdq', 'UB')
('AC22517-2022-11-02-10500','A584-6','QEKMcMb', 'SU')
('SL04652-2022-11-02-10364','S432-20','khOXG', 'LB')
('SL22517-2022-11-01-10367','S432-23','UMMmQioU', 'SL')
('SL04652-2022-11-01-10506','S438-18','WEwruZgDxkfPKfi', 'MB')
('AC22517-2022-11-02-10501','A584-7','GongvGJLUSP', 'LB')
('SL22517-2022-11-01-10369','S433-1','vPIXkKMSPqR', 'LB')
('AC22517-2022-11-02-10503','A584-9','KaDqgW', 'UB')
('SL04652-2022-11-01-10509','S438-21','gfuUmEkrKqtPoqbt', 'MB')
('AC04652-2022-11-02-10467','A582-9','xGpjoDVtecnldb', 'UB')
('AC22517-2022-11-02-10505','A584-11','QEA', 'SL')
('SL12058-2022-11-01-10325','S431-5','rTOuP', 'MB')
('SL22517-2022-11-02-10441','S436-1','cBGjxotLTAHwt', 'LB')
('SL22517-2022-11-01-10371','S433-3','ruHYSAD', 'UB')
('AC04652-2022-11-02-10468','A582-10','mREgXpbYvZcerLfW', 'UB')
('AC22517-2022-11-02-10507','A584-13','TEaYA', 'LB')
('SL22517-2022-11-01-10373','S433-5','H', 'MB')
('SL12058-2022-11-01-10326','S431-6','cjuxtH', 'UB')
('SL22517-2022-11-01-10374','S433-6','RHtIlg', 'UB')
('SL22517-2022-11-01-10381','S433-13','TFY', 'MB')
('SL22517-2022-11-01-10382','S433-14','JwcLpRroIUJa', 'UB')
('SL22517-2022-11-02-10449','S436-9','ceDjpc', 'LB')
('SL22517-2022-11-01-10383','S433-15','CyuoMUtYtINK', 'SL')
('SL22517-2022-11-02-10452','S436-12','kQRsrowGzVd', 'LB')
('SL04652-2022-11-02-10375','S433-7','dXv', 'SL')
('SL22517-2022-11-02-10455','S436-15','p', 'SL')
('AC04652-2022-11-02-10477','A583-1','pWQkSXckAyzvtad', 'LB')
('SL22517-2022-11-02-10456','S436-16','GqkkLPqoJCrK', 'SU')
('AC22517-2022-11-02-10517','A585-5','lFcILOJWPNHNQNu', 'SL')
('AC22517-2022-11-02-10518','A585-6','kBEFQcGeVbqYi', 'SU')
('SL04652-2022-11-02-10377','S433-9','iPMzuguKCAw', 'LB')
('SL22517-2022-11-02-10458','S436-18','fQo', 'MB')
('SL22517-2022-11-01-10387','S433-19','aRU', 'UB')
('SL04652-2022-11-02-10378','S433-10','wjOB', 'MB')
('SL22517-2022-11-02-10461','S436-21','lPDaMbEvY', 'MB')
('AC22517-2022-11-01-10298','A573-2','bNzIffGSfIl', 'LB')
('AC04652-2022-11-01-10434','A580-12','DarkTLFwSUDenm', 'SU')
('SL04652-2022-11-01-10521','S439-9','xk', 'LB')
('AC12058-2022-11-01-10289','A572-11','XerVKzEsUdpSFXbi', 'SL')
('AC22517-2022-11-01-10300','A573-4','bpXuNIiAjvivBwIA', 'UB')
('AC22517-2022-11-01-10301','A573-5','Q', 'SL')
('AC04652-2022-11-01-10436','A580-14','GAEgJDpjTfes', 'LB')
('AC04652-2022-11-02-10483','A583-7','gSfhLWMDSy', 'LB')
