('AC12058-2022-11-01-1234','A69-10','gk', 'UB')
('SL22517-2022-11-02-2445','S102-21','LTwbZJxai', 'MB')
('AC12058-2022-11-01-2466','A137-18','WXXDojlQOGsbDq', 'SU')
('SL22517-2022-11-01-2490','S104-18','DxmSZpQY', 'MB')
('SL22517-2022-11-01-2491','S104-19','FGDlBYdk', 'UB')
('AC22517-2022-11-02-2468','A138-2','HTTkwcbNdOlJMw', 'LB')
('SL04652-2022-11-02-2492','S104-20','bPaUGAjMiVWUXQ', 'LB')
('SL22517-2022-11-01-2497','S105-1','ACe', 'LB')
('SL12058-2022-11-01-2427','S102-3','sxJtBziYPeVU', 'UB')
('SL04652-2022-11-01-2443','S102-19','qBPTMmoaWoWbna', 'UB')
('SL12058-2022-11-01-2431','S102-7','QNpMEacfNCVs', 'SL')
('AC04652-2022-11-02-2492','A139-8','QTNcdUzw', 'LB')
('AC22517-2022-11-01-2536','A141-16','dQrTepxNkDicwcC', 'UB')
('SL12058-2022-11-01-2439','S102-15','fRkeJnuGzOp', 'SL')
('SL22517-2022-11-02-2461','S103-13','rPRCscgLmpj', 'MB')
('AC04652-2022-11-02-2506','A140-4','uVOSOlETObq', 'UB')
('AC04652-2022-11-01-2606','A145-14','bYERNGWED', 'LB')
('SL22517-2022-11-02-2472','S103-24','qtYfIZUl', 'SU')
('SL22517-2022-11-01-2523','S106-3','xbnrDZcmos', 'UB')
('AC22517-2022-11-01-2553','A142-15','LgAspMGstFy', 'UB')
('SL04652-2022-11-01-2466','S103-18','wQQZzSr', 'MB')
('AC04652-2022-11-02-2531','A141-11','YMqIiPeq', 'SL')
('AC04652-2022-11-02-2533','A141-13','XFXE', 'LB')
('SL04652-2022-11-02-2533','S106-13','vK', 'MB')
('AC22517-2022-11-01-2567','A143-11','QtWitYWrnAl', 'SL')
('SL22517-2022-11-02-2492','S104-20','XIGVOsqpKTt', 'LB')
('SL22517-2022-11-01-2546','S107-2','qKhtGkmsWB', 'MB')
('AC04652-2022-11-01-2634','A147-6','wuEJ', 'SU')
('AC04652-2022-11-01-2635','A147-7','wh', 'LB')
('AC04652-2022-11-01-2637','A147-9','NBFKaflNazPtCDh', 'UB')
('AC22517-2022-11-02-2514','A140-12','nGATRYCGUuzabj', 'SU')
('AC22517-2022-11-01-2572','A143-16','KNiGsHnQCdW', 'UB')
('AC22517-2022-11-01-2573','A143-17','JMqHWntSRqF', 'SL')
('SL22517-2022-11-01-2552','S107-8','yizahrtSNyFUvM', 'SU')
('AC12058-2022-11-01-2520','A140-18','TIbeFSxjFxWPpiMs', 'SU')
('AC22517-2022-11-02-2516','A140-14','cEdDzuytZXrm', 'LB')
('SL04652-2022-11-02-2550','S107-6','mmudlLRnXTdP', 'UB')
('AC04652-2022-11-01-2644','A147-16','DX', 'UB')
('AC04652-2022-11-02-2546','A142-8','ZWHbuxbhEePC', 'LB')
('SL12058-2022-11-01-2489','S104-17','zNkay', 'LB')
('SL04652-2022-11-01-2503','S105-7','aoUXIDlD', 'SL')
('SL04652-2022-11-01-2506','S105-10','aVGCSU', 'MB')
('SL22517-2022-11-02-2502','S105-6','NRq', 'UB')
('SL22517-2022-11-02-2503','S105-7','Q', 'SL')
('SL22517-2022-11-01-2588','S108-20','JbDeYC', 'LB')
('SL22517-2022-11-01-2590','S108-22','SiIqqtOSjaKUzuao', 'UB')
('SL12058-2022-11-01-2524','S106-4','mg', 'LB')
('AC22517-2022-11-01-2615','A146-5','ptRR', 'SL')
('SL04652-2022-11-02-2601','S109-9','cBSYPI', 'LB')
('AC04652-2022-11-02-2588','A144-14','ipovviBdZSHgsLkV', 'LB')
('SL04652-2022-11-02-2608','S109-16','VpMUpVAdcCP', 'SU')
('SL12058-2022-11-01-2553','S107-9','FUDLhREVKyHOfGG', 'LB')
('AC12058-2022-11-01-2572','A143-16','JYvniFzSK', 'UB')
('SL22517-2022-11-01-2610','S109-18','WEWnSjwgSDsLpaO', 'MB')
('AC22517-2022-11-02-2608','A145-16','oQ', 'UB')
('AC22517-2022-11-02-2609','A145-17','yxJcuXFFBzq', 'SL')
('AC04652-2022-11-02-2617','A146-7','yGwcEQeATZeN', 'LB')
('AC04652-2022-11-02-2618','A146-8','SDYbLqYINIq', 'LB')
('SL12058-2022-11-01-2586','S108-18','AMcWf', 'MB')
('SL04652-2022-11-02-2631','S110-15','K', 'SL')
('SL22517-2022-11-01-2634','S110-18','mxlVhnwr', 'MB')
('AC22517-2022-11-01-2709','A151-9','hMcMYtRGOmgSrH', 'UB')
('AC04652-2022-11-01-2760','A154-6','WMc', 'SU')
('SL22517-2022-11-02-2612','S109-20','SRImF', 'LB')
('AC04652-2022-11-01-2780','A155-8','DJWSuDjRey', 'LB')
('SL04652-2022-11-01-2656','S111-16','jYVoCK', 'SU')
('AC22517-2022-11-01-2732','A152-14','WzFyTaPgsLKkBqe', 'LB')
('AC04652-2022-11-01-2801','A156-11','DvzKxRaUalh', 'SL')
('AC04652-2022-11-02-2695','A150-13','XlhdLQCYyPFCIS', 'LB')
('SL22517-2022-11-02-2652','S111-12','yDjakTBelHmx', 'LB')
('SL22517-2022-11-02-2653','S111-13','vxfeJ', 'MB')
('AC22517-2022-11-02-2694','A150-12','SiwNuNCoYdUbA', 'SU')
('SL12058-2022-11-01-2664','S111-24','XDBUFTia', 'SU')
('SL22517-2022-11-02-2669','S112-5','XPRlJKtGJE', 'MB')
('AC04652-2022-11-02-2707','A151-7','imoqXeefJYP', 'LB')
('AC22517-2022-11-02-2706','A151-6','Qud', 'SU')
('SL04652-2022-11-02-2723','S114-11','bknIl', 'UB')
('AC22517-2022-11-02-2709','A151-9','qauJHSPcpONWkh', 'UB')
('AC22517-2022-11-01-2769','A154-15','PegSkeYSdHP', 'UB')
('SL22517-2022-11-02-2673','S112-9','tHZKPKaHFaXWinz', 'LB')
('SL22517-2022-11-01-2741','S115-5','q', 'MB')
('AC04652-2022-11-02-2720','A152-2','atuyEjgnFH', 'LB')
('SL12058-2022-11-01-2673','S112-9','zGIiKdFsbWk', 'LB')
('AC04652-2022-11-02-2722','A152-4','xCyxsalxDV', 'UB')
('SL04652-2022-11-01-2706','S113-18','kdpp', 'MB')
('SL04652-2022-11-02-2743','S115-7','ejeBwEYndoKEaaWU', 'SL')
('AC04652-2022-11-01-2830','A158-4','fpESPIBB', 'UB')
('AC22517-2022-11-01-2792','A156-2','eyXsv', 'LB')
('SL04652-2022-11-02-2787','S117-3','afeMqDeerxrIlbH', 'UB')
('AC22517-2022-11-01-2844','A158-18','PXlLQGjOMDgWHvez', 'SU')
('SL04652-2022-11-02-2794','S117-10','rpoqaFwVnl', 'MB')
('SL04652-2022-11-01-2757','S115-21','BOSPeQqSflM', 'MB')
('AC22517-2022-11-01-2851','A159-7','TWeTucF', 'LB')
('SL12058-2022-11-01-2716','S114-4','wdssLqacO', 'LB')
('AC04652-2022-11-01-2884','A161-4','BFvd', 'UB')
('SL04652-2022-11-01-2764','S116-4','ifMYJgZsznjvvbQ', 'LB')
('AC04652-2022-11-01-2892','A161-12','EheoGGOkRMyEXfYO', 'SU')
('SL04652-2022-11-01-2772','S116-12','yWdNRy', 'LB')
('SL04652-2022-11-02-2809','S118-1','QetdVoSbyIQD', 'LB')
('SL04652-2022-11-01-2783','S116-23','cumcpW', 'SL')
('SL04652-2022-11-01-2784','S116-24','YLsJWueEDtfzM', 'SU')
('SL04652-2022-11-02-2815','S118-7','EpdlLXzKSPZYYA', 'SL')
('AC12058-2022-11-01-2759','A154-5','BHBwdZzOHMxuXS', 'SL')
('SL04652-2022-11-02-2816','S118-8','KmtconZabBJjZRJH', 'SU')
('AC22517-2022-11-02-2804','A156-14','ZjaIlUUHskPG', 'LB')
('SL04652-2022-11-02-2818','S118-10','cusibGuUmlRAbx', 'MB')
('AC22517-2022-11-01-2895','A161-15','jXoZSgbZ', 'UB')
('SL12058-2022-11-01-2755','S115-19','wiKQGP', 'UB')
('SL04652-2022-11-02-2843','S119-11','jqBDqYfMTC', 'UB')
('AC12058-2022-11-01-2788','A155-16','GAENOhrgrRecQi', 'UB')
('SL22517-2022-11-01-2847','S119-15','WJ', 'SL')
('AC04652-2022-11-02-2828','A158-2','qMPbHnvzlZmJWm', 'LB')
('AC22517-2022-11-01-2903','A162-5','ZrgrssWBryPHrc', 'SL')
('AC22517-2022-11-02-2842','A158-16','fMtuHU', 'UB')
('AC22517-2022-11-01-2908','A162-10','PI', 'UB')
('SL12058-2022-11-01-2760','S115-24','SImlyqTBhvtktrud', 'SU')
('SL04652-2022-11-02-2933','S123-5','NyPsfGkdjomnUF', 'MB')
('AC04652-2022-11-02-2887','A161-7','wyzmYia', 'LB')
('AC12058-2022-11-01-2862','A159-18','FdVjipxGetEuweA', 'SU')
('SL04652-2022-11-01-2893','S121-13','SSYGw', 'MB')
('SL12058-2022-11-01-2828','S118-20','WckFsBrkLU', 'LB')
('AC22517-2022-11-01-2966','A165-14','VBFkUzCNa', 'LB')
('AC12058-2022-11-01-2874','A160-12','en', 'SU')
('SL04652-2022-11-02-2990','S125-14','s', 'UB')
('SL12058-2022-11-01-2873','S120-17','TANrOpFxbAxQgEw', 'LB')
('AC04652-2022-11-01-3071','A171-11','XHBISNiOcuGRK', 'SL')
('AC04652-2022-11-02-2937','A164-3','A', 'UB')
('SL22517-2022-11-01-2959','S124-7','Oi', 'SL')
('SL22517-2022-11-01-2960','S124-8','QJuNGYOdtrG', 'SU')
('SL04652-2022-11-01-2955','S124-3','RAMaAVXre', 'UB')
('AC04652-2022-11-02-2940','A164-6','IgZbDXZjSKvwqGUv', 'SU')
('SL04652-2022-11-01-2957','S124-5','QJQNyckNiN', 'MB')
('AC12058-2022-11-01-2915','A162-17','P', 'SL')
('SL22517-2022-11-02-2931','S123-3','LfMVpWJDwSUPVja', 'UB')
('SL22517-2022-11-02-2932','S123-4','ScavvqErl', 'LB')
('AC04652-2022-11-02-2947','A164-13','AZpFeqNh', 'LB')
('SL04652-2022-11-01-2966','S124-14','scWKvUjkP', 'UB')
('SL12058-2022-11-01-2893','S121-13','RnVQiAoXSXnhXBP', 'MB')
('AC12058-2022-11-01-2919','A163-3','bHqVim', 'UB')
('AC04652-2022-11-01-3086','A172-8','IermeJIlnYujE', 'LB')
('SL22517-2022-11-01-2968','S124-16','aLG', 'SU')
('AC04652-2022-11-02-2954','A165-2','yZ', 'LB')
('SL12058-2022-11-01-2898','S121-18','lBQASPCpSZNTO', 'MB')
('SL04652-2022-11-02-3016','S126-16','AUKwqJe', 'SU')
('AC22517-2022-11-02-2975','A166-5','jvyfleEnIxn', 'SL')
('SL22517-2022-11-02-2947','S123-19','RW', 'UB')
('AC22517-2022-11-02-2982','A166-12','OgwggbrcqX', 'SU')
('AC04652-2022-11-01-3099','A173-3','J', 'UB')
('AC22517-2022-11-01-3072','A171-12','m', 'SU')
('SL04652-2022-11-02-3045','S127-21','aAHNxuleFsoJcf', 'MB')
('AC04652-2022-11-01-3128','A174-14','aLFmdmdocoTtJSo', 'LB')
('SL22517-2022-11-01-3006','S126-6','MGxkrZJvCMb', 'UB')
('AC22517-2022-11-02-3017','A168-11','VZglRqClPa', 'SL')
('SL22517-2022-11-02-2980','S125-4','tGbpOKRN', 'LB')
('SL22517-2022-11-02-2981','S125-5','TQNkyRsHqgaeh', 'MB')
('AC12058-2022-11-01-2953','A165-1','dXehFVZGpRUB', 'LB')
('AC22517-2022-11-01-3075','A171-15','Tx', 'UB')
('SL04652-2022-11-02-3052','S128-4','AP', 'LB')
('AC04652-2022-11-02-3005','A167-17','Dt', 'SL')
('AC22517-2022-11-02-3024','A168-18','lGqYBZwIpxeT', 'SU')
('AC22517-2022-11-02-3032','A169-8','GvmvyCbjADMrkNu', 'LB')
('SL12058-2022-11-01-2948','S123-20','pcl', 'LB')
('SL04652-2022-11-01-3026','S127-2','sQLRpmaKLKqw', 'MB')
('SL22517-2022-11-01-3028','S127-4','MjhL', 'LB')
('AC04652-2022-11-01-3150','A175-18','kiQRnERxkau', 'SU')
('SL04652-2022-11-01-3029','S127-5','UZuLZulEvctJTRq', 'MB')
('SL22517-2022-11-01-3036','S127-12','y', 'LB')
('AC04652-2022-11-01-3157','A176-7','ix', 'LB')
('SL04652-2022-11-02-3079','S129-7','PynCGQnqhZ', 'SL')
('SL04652-2022-11-01-3039','S127-15','pufRujOuoGp', 'SL')
('SL04652-2022-11-01-3040','S127-16','JOCtssCtnqf', 'SU')
('SL12058-2022-11-01-2964','S124-12','gTEkAa', 'LB')
('AC04652-2022-11-01-3161','A176-11','gxxYljJQU', 'SL')
('SL12058-2022-11-01-2967','S124-15','cQdoGromeF', 'SL')
('AC12058-2022-11-01-2984','A166-14','OXT', 'LB')
('SL04652-2022-11-01-3045','S127-21','DvtAGOUvZAxfL', 'MB')
('AC04652-2022-11-01-3164','A176-14','xacxHnOo', 'LB')
('SL22517-2022-11-01-3045','S127-21','iYbHbHbz', 'MB')
('SL04652-2022-11-01-3051','S128-3','CYfR', 'UB')
('AC12058-2022-11-01-2988','A166-18','JFGXmyruJJrptIAb', 'SU')
('AC12058-2022-11-01-2993','A167-5','qdyealVElPr', 'SL')
('SL12058-2022-11-01-2983','S125-7','XOCPrCNk', 'SL')
('AC22517-2022-11-02-3061','A171-1','FJleRhyin', 'LB')
('AC22517-2022-11-02-3062','A171-2','DcUoTkfWGbO', 'LB')
('AC22517-2022-11-02-3065','A171-5','UFLbhXEV', 'SL')
('SL12058-2022-11-01-2989','S125-13','UMxGory', 'MB')
('AC12058-2022-11-01-3002','A167-14','gkvKWk', 'LB')
('SL22517-2022-11-02-3033','S127-9','JTTQpFkwfyCHXDL', 'LB')
('SL04652-2022-11-01-3089','S129-17','apOZMGsePkXQ', 'LB')
('SL04652-2022-11-02-3123','S131-3','I', 'UB')
('SL04652-2022-11-02-3124','S131-4','vwCFPRUIvrTr', 'LB')
('SL04652-2022-11-01-3091','S129-19','amazyOwFleclMn', 'UB')
('SL04652-2022-11-02-3128','S131-8','njBsMzaxOmfq', 'SU')
('SL22517-2022-11-01-3082','S129-10','pKxDjYpYcojN', 'MB')
('SL04652-2022-11-01-3100','S130-4','Idx', 'LB')
('AC04652-2022-11-02-3083','A172-5','G', 'SL')
('AC22517-2022-11-01-3147','A175-15','TXyRTKma', 'UB')
('AC04652-2022-11-02-3088','A172-10','brcrVnvALyZJgM', 'UB')
('AC22517-2022-11-01-3150','A175-18','zUUdNom', 'SU')
('AC04652-2022-11-02-3094','A172-16','IzojBWImodu', 'UB')
('AC04652-2022-11-01-3216','A179-12','fiQ', 'SU')
('SL04652-2022-11-01-3110','S130-14','blyFLWiuULy', 'UB')
('AC22517-2022-11-01-3155','A176-5','PDuLOkmmDx', 'SL')
('AC04652-2022-11-01-3265','A182-7','NKKheJDsBH', 'LB')
('SL22517-2022-11-02-3100','S130-4','lzdN', 'LB')
('AC22517-2022-11-01-3194','A178-8','MFcOtoLFU', 'LB')
('SL22517-2022-11-01-3140','S131-20','hLWHnwdnFn', 'LB')
('SL12058-2022-11-01-3073','S129-1','wjWaXzL', 'LB')
('SL22517-2022-11-02-3104','S130-8','MgjmHypCOZ', 'SU')
('SL12058-2022-11-01-3075','S129-3','dJgIiea', 'UB')
('AC04652-2022-11-01-3277','A183-1','cZTfF', 'LB')
('AC22517-2022-11-01-3203','A178-17','qjKDeDraaGjRrBPl', 'SL')
('SL12058-2022-11-01-3088','S129-16','PwyNHGjQqQTzkw', 'SU')
('SL04652-2022-11-02-3216','S134-24','zxuxLX', 'SU')
('AC12058-2022-11-01-3103','A173-7','biKqOBqHPBkbnm', 'LB')
('SL22517-2022-11-01-3146','S132-2','NWXZsZkQR', 'MB')
('SL22517-2022-11-01-3147','S132-3','TmCvkHIasCbPj', 'UB')
('AC12058-2022-11-01-3112','A173-16','zPIHGSjisi', 'UB')
('SL12058-2022-11-01-3102','S130-6','dbwbhaNji', 'UB')
('SL22517-2022-11-02-3128','S131-8','KjYEJyISqyCauXW', 'SU')
('AC12058-2022-11-01-3115','A174-1','ucd', 'LB')
('SL04652-2022-11-01-3174','S133-6','xtACK', 'UB')
('SL04652-2022-11-01-3175','S133-7','YJScHocTnmXNnqfL', 'SL')
('SL22517-2022-11-02-3133','S131-13','CvUkr', 'MB')
('SL12058-2022-11-01-3108','S130-12','XGPNYLmQfch', 'LB')
('AC04652-2022-11-02-3173','A177-5','fKHvWVhILTGOTn', 'SL')
('AC04652-2022-11-02-3174','A177-6','dxgBR', 'SU')
('AC22517-2022-11-01-3220','A179-16','lgFOZ', 'UB')
('SL22517-2022-11-02-3139','S131-19','Hqp', 'UB')
('SL22517-2022-11-01-3164','S132-20','AeMUeKwryPgvT', 'LB')
('AC22517-2022-11-02-3184','A177-16','rtplzn', 'UB')
('AC04652-2022-11-01-3312','A184-18','GUXlCj', 'SU')
('AC04652-2022-11-01-3313','A185-1','evSEgYpeQpFcKO', 'LB')
('AC04652-2022-11-01-3325','A185-13','oeSGQwxcIdBbpeC', 'LB')
('AC12058-2022-11-01-3177','A177-9','A', 'UB')
('SL22517-2022-11-02-3177','S133-9','EXGFvxwaT', 'LB')
('AC22517-2022-11-02-3255','A181-15','INJQARyytdTrB', 'UB')
('SL22517-2022-11-02-3211','S134-19','mNXNauEsDwkc', 'UB')
('SL04652-2022-11-02-3306','S138-18','UkqUCKS', 'MB')
('AC22517-2022-11-02-3257','A181-17','BBln', 'SL')
('SL12058-2022-11-01-3178','S133-10','xnPOqzo', 'MB')
('AC04652-2022-11-02-3254','A181-14','aTQgTYHJM', 'LB')
('SL04652-2022-11-01-3244','S136-4','DiDHFUB', 'LB')
('SL22517-2022-11-02-3216','S134-24','aQQfkyWNgT', 'SU')
('SL04652-2022-11-01-3283','S137-19','nXdBs', 'UB')
('AC22517-2022-11-01-3357','A187-9','KCBZvhlbmL', 'UB')
('SL04652-2022-11-02-3355','S140-19','LpvfSOAZzUGDw', 'UB')
('SL22517-2022-11-01-3274','S137-10','vqL', 'MB')
('AC22517-2022-11-02-3301','A184-7','RUgjvdsiycBv', 'LB')
('AC04652-2022-11-01-3425','A191-5','kBLcQcflmUZWAWOG', 'SL')
('SL04652-2022-11-02-3362','S141-2','UFWDsCDOEWK', 'MB')
('AC22517-2022-11-02-3311','A184-17','wLeQrQ', 'SL')
('SL12058-2022-11-01-3243','S136-3','BvkIpi', 'UB')
('SL22517-2022-11-02-3253','S136-13','UGapSmZVsY', 'MB')
('AC22517-2022-11-01-3374','A188-8','ekTKJjipeE', 'LB')
('SL04652-2022-11-01-3296','S138-8','VpRIkaJT', 'SU')
('SL22517-2022-11-02-3255','S136-15','W', 'SL')
('AC04652-2022-11-02-3310','A184-16','UmydBMjMYEToVU', 'UB')
('SL22517-2022-11-02-3257','S136-17','BtlcM', 'LB')
('SL22517-2022-11-01-3294','S138-6','iYpGXQZSDjoNxiz', 'UB')
('AC22517-2022-11-02-3321','A185-9','bAovSugHug', 'UB')
('AC04652-2022-11-01-3438','A191-18','edEhTpWSUCggTIO', 'SU')
('SL22517-2022-11-01-3299','S138-11','ONBfmIr', 'UB')
('AC04652-2022-11-02-3329','A185-17','oFJbfQenNiepun', 'SL')
('SL12058-2022-11-01-3262','S136-22','ePBhpJGRQcOLh', 'UB')
('SL04652-2022-11-01-3320','S139-8','WkwEZU', 'SU')
('AC22517-2022-11-02-3364','A187-16','ckRnsNurl', 'UB')
('SL22517-2022-11-02-3312','S138-24','lgXSF', 'SU')
('AC22517-2022-11-01-3433','A191-13','JmOaaZo', 'LB')
('SL22517-2022-11-01-3347','S140-11','lznVigMGRylyk', 'UB')
('SL22517-2022-11-02-3316','S139-4','ynqnytKpJtodrO', 'LB')
('AC22517-2022-11-02-3387','A189-3','yvklPw', 'UB')
('SL22517-2022-11-01-3351','S140-15','RahaFkan', 'SL')
('AC12058-2022-11-01-3327','A185-15','EGHyYLk', 'UB')
('SL04652-2022-11-02-3437','S144-5','bPSkIfo', 'MB')
('SL04652-2022-11-01-3377','S141-17','tNwMpOCeGU', 'LB')
('SL04652-2022-11-01-3378','S141-18','aIvzfKbTCzUsTTy', 'MB')
('SL04652-2022-11-02-3452','S144-20','eaKgvjPoGbpl', 'LB')
('AC22517-2022-11-01-3468','A193-12','gysOPQG', 'SU')
('SL22517-2022-11-02-3350','S140-14','aZyk', 'UB')
('AC04652-2022-11-02-3399','A189-15','Z', 'UB')
('AC04652-2022-11-02-3401','A189-17','W', 'SL')
('SL22517-2022-11-02-3354','S140-18','OGpygxMhqeWGtQpD', 'MB')
('SL04652-2022-11-02-3458','S145-2','YCYTLofVek', 'MB')
('SL22517-2022-11-01-3377','S141-17','Y', 'LB')
('SL04652-2022-11-02-3499','S146-19','u', 'UB')
('AC04652-2022-11-01-3579','A199-15','mxTT', 'UB')
('SL04652-2022-11-02-3501','S146-21','ZIxBEsAqU', 'MB')
('AC22517-2022-11-02-3455','A192-17','pTiotr', 'SL')
('SL04652-2022-11-02-3504','S146-24','xFfs', 'SU')
('SL22517-2022-11-01-3428','S143-20','Blhk', 'LB')
('AC04652-2022-11-01-3583','A200-1','yQywJFYgYogaVnhs', 'LB')
('AC22517-2022-11-01-3523','A196-13','O', 'LB')
('AC04652-2022-11-01-3593','A200-11','YD', 'SL')
('SL12058-2022-11-01-3379','S141-19','xSabOEnxeWtFtZPf', 'UB')
('SL22517-2022-11-02-3407','S142-23','FcoITdKxi', 'SL')
('AC12058-2022-11-01-3410','A190-8','NVEjj', 'LB')
('SL12058-2022-11-01-3384','S141-24','e', 'SU')
('AC04652-2022-11-01-3599','A200-17','DR', 'SL')
('AC04652-2022-11-02-3451','A192-13','ueSaNCxUjgeIYnTu', 'LB')
('SL22517-2022-11-01-3447','S144-15','oUDYFCXV', 'SL')
('AC12058-2022-11-01-3415','A190-13','demuPQVy', 'LB')
('AC12058-2022-11-01-3416','A190-14','qfauCDHgvyQ', 'LB')
('AC12058-2022-11-01-3419','A190-17','KllYgIXK', 'SL')
('AC12058-2022-11-01-3420','A190-18','H', 'SU')
('SL04652-2022-11-02-3528','S147-24','rSgEBsqghxKaYWw', 'SU')
('AC04652-2022-11-02-3457','A193-1','Njpc', 'LB')
('AC22517-2022-11-02-3491','A194-17','TINbvspKgRI', 'SL')
('SL04652-2022-11-01-3473','S145-17','NiHrzKMA', 'LB')
('AC04652-2022-11-01-3618','A201-18','OhKyyz', 'SU')
('AC22517-2022-11-02-3494','A195-2','jEAGDiQC', 'LB')
('AC12058-2022-11-01-3442','A192-4','vHJFuuP', 'UB')
('SL12058-2022-11-01-3405','S142-21','RLFjuokNfHg', 'MB')
('AC04652-2022-11-01-3624','A202-6','JQroVjLXxA', 'SU')
('SL04652-2022-11-02-3545','S148-17','HWsQmUVlggLcoYEV', 'LB')
('SL22517-2022-11-01-3472','S145-16','qMcLfAlhqlNwQTS', 'SU')
('SL04652-2022-11-01-3482','S146-2','TPNWKvZLdGVYJIt', 'MB')
('AC22517-2022-11-01-3561','A198-15','afzJNKwldvnb', 'UB')
('SL22517-2022-11-01-3476','S145-20','gjDwxgDkJBzAk', 'LB')
('SL22517-2022-11-02-3441','S144-9','hoXePWgKJvDFdc', 'LB')
('AC22517-2022-11-02-3505','A195-13','mvQVpioTRUxU', 'LB')
('AC04652-2022-11-01-3650','A203-14','ZQFwi', 'LB')
('AC22517-2022-11-01-3588','A200-6','zeeiFMKqnephhf', 'SU')
('SL04652-2022-11-01-3509','S147-5','JqiGWEbQcFUIXYk', 'MB')
('AC22517-2022-11-01-3596','A200-14','c', 'LB')
('AC22517-2022-11-01-3597','A200-15','v', 'UB')
('AC12058-2022-11-01-3483','A194-9','um', 'UB')
('SL22517-2022-11-01-3512','S147-8','LXdms', 'SU')
('AC04652-2022-11-02-3513','A196-3','cfMJrDm', 'UB')
('AC04652-2022-11-02-3514','A196-4','wavpHP', 'UB')
('SL04652-2022-11-02-3577','S150-1','OLmzwoTTyBPHtrx', 'LB')
('SL04652-2022-11-02-3578','S150-2','spw', 'MB')
('SL12058-2022-11-01-3463','S145-7','avnOJLsKQwt', 'SL')
('SL22517-2022-11-01-3551','S148-23','Xvxo', 'SL')
('SL04652-2022-11-02-3618','S151-18','zro', 'MB')
('AC22517-2022-11-02-3578','A199-14','yEtu', 'LB')
('SL22517-2022-11-01-3555','S149-3','lxGlkEJwAHCBRcj', 'UB')
('AC04652-2022-11-01-3697','A206-7','pXFuFKOKSPEuJTOD', 'LB')
('AC04652-2022-11-02-3549','A198-3','eVWKsfeukSbGhxK', 'UB')
('SL04652-2022-11-01-3546','S148-18','nYvZZxuz', 'MB')
('AC04652-2022-11-02-3551','A198-5','YLMBGkD', 'SL')
('AC12058-2022-11-01-3533','A197-5','bLD', 'SL')
('SL04652-2022-11-01-3547','S148-19','edlgAbkRD', 'UB')
('AC12058-2022-11-01-3535','A197-7','hDmvfNfAKrz', 'LB')
('SL12058-2022-11-01-3476','S145-20','jnfcUqwjtLZDiPn', 'LB')
('AC22517-2022-11-01-3652','A203-16','VhjWzOnpgPmEVrQu', 'UB')
('SL12058-2022-11-01-3478','S145-22','THG', 'UB')
('AC22517-2022-11-01-3653','A203-17','tlVor', 'SL')
('AC22517-2022-11-01-3654','A203-18','Tw', 'SU')
('AC04652-2022-11-02-3602','A201-2','jtXibbZ', 'LB')
('AC12058-2022-11-01-3589','A200-7','J', 'LB')
('SL12058-2022-11-01-3565','S149-13','gKv', 'MB')
('AC04652-2022-11-01-3793','A211-13','dCopBbMUbnM', 'LB')
('SL22517-2022-11-02-3588','S150-12','bAE', 'LB')
('AC04652-2022-11-01-3796','A211-16','OEAqyXkHBgB', 'UB')
('AC22517-2022-11-02-3688','A205-16','tmRc', 'UB')
('SL04652-2022-11-02-3713','S155-17','iBLnLuiv', 'LB')
('AC12058-2022-11-01-3647','A203-11','SPOrWBrqvaHIMKfu', 'SL')
('AC22517-2022-11-02-3691','A206-1','ACqBLMSxLXjZK', 'LB')
('SL04652-2022-11-02-3717','S155-21','SKTxlIGQjni', 'MB')
('SL04652-2022-11-02-3718','S155-22','ILkPIUSCA', 'UB')
('SL04652-2022-11-01-3627','S152-3','QwdTebFpB', 'UB')
('AC04652-2022-11-01-3807','A212-9','VkePwCGvYcHkq', 'UB')
('SL04652-2022-11-02-3721','S156-1','IdxVyfNsmQLsMW', 'LB')
('AC22517-2022-11-02-3695','A206-5','b', 'SL')
('SL22517-2022-11-01-3661','S153-13','NnKZPDPx', 'MB')
('SL22517-2022-11-02-3594','S150-18','FXpvdvI', 'MB')
('AC22517-2022-11-01-3741','A208-15','MvghzaI', 'UB')
('AC04652-2022-11-02-3671','A204-17','IROLDxoGXwdeX', 'SL')
('SL22517-2022-11-01-3665','S153-17','nWWnvxUFNMAFGqM', 'LB')
('SL22517-2022-11-01-3666','S153-18','zDhXjQS', 'MB')
('SL04652-2022-11-01-3638','S152-14','uMdHnQ', 'UB')
('SL22517-2022-11-01-3708','S155-12','RQNQCDC', 'LB')
('AC04652-2022-11-01-3879','A216-9','WkSYHQ', 'UB')
('SL22517-2022-11-02-3660','S153-12','fHEnZZzJ', 'LB')
('SL04652-2022-11-01-3706','S155-10','KKmQep', 'MB')
('SL12058-2022-11-01-3643','S152-19','OxsgC', 'UB')
('SL22517-2022-11-01-3736','S156-16','XZVk', 'SU')
('AC12058-2022-11-01-3737','A208-11','PlOKcdUo', 'SL')
('SL04652-2022-11-02-3793','S159-1','GokFmWEyBfpKuV', 'LB')
('AC04652-2022-11-01-3888','A216-18','mwnnXQqWzjsyNk', 'SU')
('AC22517-2022-11-02-3768','A210-6','CeWpMVovFHzXlyWO', 'SU')
('SL04652-2022-11-01-3714','S155-18','nRyYpUcRIQ', 'MB')
('SL22517-2022-11-02-3665','S153-17','gjaQoAp', 'LB')
('AC04652-2022-11-02-3746','A209-2','E', 'LB')
