('SL04652-2022-11-02-5002','S209-10','GTCC', 'MB')
('SL04652-2022-11-01-7218','S301-18','o', 'MB')
('AC12058-2022-11-01-7346','A409-2','WS', 'LB')
('AC04652-2022-11-02-7323','A407-15','FdrxDZNwPXmOZpr', 'UB')
('AC12058-2022-11-01-7347','A409-3','oSJKVrgZA', 'UB')
('SL12058-2022-11-01-7141','S298-13','foaqdGdmsjUIOoWi', 'MB')
('SL04652-2022-11-02-7295','S304-23','Od', 'SL')
('SL22517-2022-11-01-7205','S301-5','ZI', 'MB')
('AC04652-2022-11-01-7633','A425-1','SGNQ', 'LB')
('AC22517-2022-11-02-7401','A412-3','XSGp', 'UB')
('SL04652-2022-11-02-7309','S305-13','RXOyOFzWJK', 'MB')
('AC22517-2022-11-02-7454','A415-2','QVmw', 'LB')
('SL04652-2022-11-01-7337','S306-17','Joy', 'LB')
('SL22517-2022-11-01-7273','S304-1','NGXzbVoECRcTZ', 'LB')
('AC04652-2022-11-01-7703','A428-17','gnvdMOlItxAQ', 'SL')
('AC22517-2022-11-02-7496','A417-8','ovvVhzyiWn', 'LB')
('SL12058-2022-11-01-7232','S302-8','TlU', 'SU')
('SL04652-2022-11-01-7372','S308-4','PQM', 'LB')
('AC04652-2022-11-01-7705','A429-1','hbKqvoVGcWon', 'LB')
('SL04652-2022-11-02-7383','S308-15','vn', 'SL')
('SL22517-2022-11-01-7301','S305-5','uYt', 'MB')
('SL04652-2022-11-01-7382','S308-14','gBSaTVNfWmfUpG', 'UB')
('AC12058-2022-11-01-7444','A414-10','FXznRKDqF', 'UB')
('SL04652-2022-11-01-7384','S308-16','Ht', 'SU')
('AC12058-2022-11-01-7446','A414-12','SAI', 'SU')
('AC04652-2022-11-02-7489','A417-1','AXJHUJLjwJuh', 'LB')
('SL22517-2022-11-01-7354','S307-10','LyR', 'MB')
('SL04652-2022-11-02-7449','S311-9','MLtGStzSbWy', 'LB')
('SL22517-2022-11-02-7463','S311-23','lXPDkhC', 'SL')
('SL12058-2022-11-01-7298','S305-2','yTukJyYdV', 'MB')
('SL04652-2022-11-01-7442','S311-2','TjESDEF', 'MB')
('AC22517-2022-11-01-7503','A417-15','HEqMjDywFxFnOz', 'UB')
('AC04652-2022-11-02-7506','A417-18','Fusy', 'SU')
('AC22517-2022-11-01-7510','A418-4','cBGVrfeXplFGgN', 'UB')
('AC12058-2022-11-01-7523','A418-17','vZfBcTta', 'SL')
('SL22517-2022-11-02-7509','S313-21','laNFFBZTPzu', 'MB')
('AC04652-2022-11-01-7801','A434-7','KXEPOiS', 'LB')
('SL12058-2022-11-01-7337','S306-17','YLUaC', 'LB')
('AC04652-2022-11-02-7551','A420-9','ZySKosOGygyCPL', 'UB')
('SL04652-2022-11-01-7479','S312-15','bWgpuPVlfWHjPhz', 'SL')
('SL04652-2022-11-02-7522','S314-10','qRyNEiLYcUSkWY', 'MB')
('AC22517-2022-11-02-7635','A425-3','VYQrGuSEoRxb', 'UB')
('AC04652-2022-11-02-7581','A422-3','g', 'UB')
('SL22517-2022-11-01-7427','S310-11','eNIQETGyNjHJk', 'UB')
('SL04652-2022-11-02-7533','S314-21','uzMXPoCQP', 'MB')
('AC04652-2022-11-02-7587','A422-9','zKsYFlEmrDwtzY', 'UB')
('SL04652-2022-11-01-7534','S314-22','poseYhVTtOVY', 'UB')
('AC04652-2022-11-01-7874','A438-8','Ed', 'LB')
('AC12058-2022-11-01-7620','A424-6','nhlOh', 'SU')
('SL04652-2022-11-01-7578','S316-18','xqGYmvqI', 'MB')
('AC04652-2022-11-02-7686','A427-18','BsEGURGVB', 'SU')
('SL22517-2022-11-01-7557','S315-21','GDNbcEYnnbx', 'MB')
('AC04652-2022-11-01-7971','A443-15','UWGeVBsawnGz', 'UB')
('AC12058-2022-11-01-7706','A429-2','DNjvTLewZzAdfmB', 'LB')
('AC12058-2022-11-01-7709','A429-5','XEUpSWouE', 'SL')
('AC22517-2022-11-01-7720','A429-16','o', 'UB')
('AC04652-2022-11-01-8014','A446-4','FBYG', 'UB')
('SL12058-2022-11-01-7526','S314-14','Wy', 'UB')
('SL12058-2022-11-01-7528','S314-16','qKKOrfhsBoJ', 'SU')
('SL04652-2022-11-01-7677','S320-21','AZcyLiD', 'MB')
('SL04652-2022-11-01-7678','S320-22','xtISlPfUzZZ', 'UB')
('SL22517-2022-11-01-7605','S317-21','lEuyz', 'MB')
('AC22517-2022-11-02-7835','A436-5','WSTCVaXSkGuxIMHj', 'SL')
('SL04652-2022-11-02-7693','S321-13','LfM', 'MB')
('AC04652-2022-11-02-7792','A433-16','Lxj', 'UB')
('SL04652-2022-11-02-7703','S321-23','WFZaKEMnmFi', 'SL')
('AC22517-2022-11-02-7843','A436-13','y', 'LB')
('AC12058-2022-11-01-7762','A432-4','rzdBIAz', 'UB')
('SL04652-2022-11-02-7705','S322-1','f', 'LB')
('AC04652-2022-11-01-8038','A447-10','vhATMscZvRD', 'UB')
('SL04652-2022-11-01-7703','S321-23','lMcGQkVmzWgWTf', 'SL')
('SL04652-2022-11-01-7704','S321-24','QBLSNrCLUSdQUctD', 'SU')
('AC22517-2022-11-01-7795','A434-1','VFGhSKcNff', 'LB')
('SL22517-2022-11-01-7635','S319-3','bSBIfZrw', 'UB')
('SL22517-2022-11-02-7727','S322-23','VKKjl', 'SL')
('SL12058-2022-11-01-7563','S316-3','iyWSUiFWV', 'UB')
('SL04652-2022-11-02-7730','S323-2','xCUQDwzBWxaiOwY', 'MB')
('SL12058-2022-11-01-7568','S316-8','XxvqGxACLKVz', 'SU')
('SL22517-2022-11-02-7737','S323-9','m', 'LB')
('SL04652-2022-11-02-7738','S323-10','GJeJoAIbgTh', 'MB')
('AC22517-2022-11-02-7906','A440-4','POCka', 'UB')
('SL22517-2022-11-02-7763','S324-11','kPRDtqMSvHJZGb', 'UB')
('AC12058-2022-11-01-7815','A435-3','HNDgyFUb', 'UB')
('SL04652-2022-11-02-7766','S324-14','cOREIgZOcmAqmt', 'UB')
('SL04652-2022-11-01-7758','S324-6','zcWtYl', 'UB')
('AC12058-2022-11-01-7819','A435-7','DHP', 'LB')
('AC22517-2022-11-01-7835','A436-5','pBCmlNDFcxrghc', 'SL')
('SL12058-2022-11-01-7602','S317-18','cZAzcqdlFfnIUpAr', 'MB')
('SL22517-2022-11-01-7686','S321-6','mcTzmaKTOXKJDwsP', 'UB')
('SL22517-2022-11-01-7687','S321-7','RVYKLGLgKuHP', 'SL')
('SL22517-2022-11-02-7772','S324-20','uPOUUwrUSlssPUg', 'LB')
('SL12058-2022-11-01-7605','S317-21','kUOEbDUkNxrnkI', 'MB')
('SL22517-2022-11-01-7689','S321-9','Hv', 'LB')
('AC22517-2022-11-01-7843','A436-13','MrGcmVAGSBnDuaA', 'LB')
('AC04652-2022-11-01-8098','A450-16','ckedqLJshq', 'UB')
('SL22517-2022-11-01-7692','S321-12','AF', 'LB')
('SL04652-2022-11-02-7782','S325-6','LkgIoDeeaydCy', 'UB')
('AC04652-2022-11-02-7860','A437-12','HRLVXRAyQYkNJV', 'SU')
('SL22517-2022-11-01-7694','S321-14','YOpWrrwpUbX', 'UB')
('SL22517-2022-11-01-7695','S321-15','XlTO', 'SL')
('AC12058-2022-11-01-7829','A435-17','pwRaDuq', 'SL')
('AC22517-2022-11-02-7918','A440-16','ywD', 'UB')
('SL22517-2022-11-01-7698','S321-18','jIJiseXmR', 'MB')
('SL22517-2022-11-02-7784','S325-8','kYTirt', 'SU')
('SL04652-2022-11-02-7793','S325-17','gTOHQGNmTqDei', 'LB')
('SL04652-2022-11-01-7783','S325-7','WtlNxr', 'SL')
('AC22517-2022-11-01-7857','A437-9','rwZiQrkwjxzzAnH', 'UB')
('AC04652-2022-11-01-8115','A451-15','ODCLJQAK', 'UB')
('SL04652-2022-11-01-7790','S325-14','zJawUoPxJrjzA', 'UB')
('SL04652-2022-11-01-7801','S326-1','tUtEAH', 'LB')
('SL12058-2022-11-01-7634','S319-2','r', 'MB')
('SL22517-2022-11-01-7725','S322-21','EwU', 'MB')
('AC22517-2022-11-02-7949','A442-11','pKjswSBVqM', 'SL')
('AC22517-2022-11-01-7871','A438-5','EGpLETTV', 'SL')
('SL12058-2022-11-01-7654','S319-22','vCWvAHoidGJ', 'UB')
('SL04652-2022-11-01-7830','S327-6','O', 'UB')
('SL22517-2022-11-02-7824','S326-24','dV', 'SU')
('SL22517-2022-11-02-7825','S327-1','JhhrEAHm', 'LB')
('SL12058-2022-11-01-7685','S321-5','cIMl', 'MB')
('SL22517-2022-11-02-7848','S327-24','lJHUkciQibUl', 'SU')
('SL22517-2022-11-02-7849','S328-1','EWalPPb', 'LB')
('SL12058-2022-11-01-7690','S321-10','YuzZQzgMAWAVUXDD', 'MB')
('AC22517-2022-11-02-7994','A445-2','XAHuvuzTZM', 'LB')
('SL22517-2022-11-01-7779','S325-3','P', 'UB')
('SL22517-2022-11-01-7780','S325-4','NswEMxMVwNXf', 'LB')
('SL22517-2022-11-02-7875','S329-3','E', 'UB')
('AC22517-2022-11-01-7930','A441-10','XpNLmulJTZoh', 'UB')
('AC22517-2022-11-01-7931','A441-11','oqoSDqmlMuzsUQ', 'SL')
('AC04652-2022-11-02-7967','A443-11','AjQoPByjd', 'SL')
('AC04652-2022-11-02-7970','A443-14','PvVnhYgnvtBly', 'LB')
('SL22517-2022-11-01-7810','S326-10','blxsiPcu', 'MB')
('SL22517-2022-11-02-7894','S329-22','HzR', 'UB')
('SL04652-2022-11-01-7897','S330-1','RPJ', 'LB')
('SL04652-2022-11-02-7909','S330-13','WRbK', 'MB')
('SL12058-2022-11-01-7741','S323-13','yXgJFxqg', 'MB')
('AC22517-2022-11-01-7968','A443-12','ZfTAFmqJ', 'SU')
('SL04652-2022-11-02-7921','S331-1','sefzGGCiJTYyuMH', 'LB')
('SL04652-2022-11-02-7932','S331-12','phOuYN', 'LB')
('AC04652-2022-11-02-8007','A445-15','oRytZsZF', 'UB')
('AC04652-2022-11-01-8255','A459-11','mg', 'SL')
('SL22517-2022-11-02-7925','S331-5','RoxgFkN', 'MB')
('SL22517-2022-11-01-7843','S327-19','Hrq', 'UB')
('AC12058-2022-11-01-8000','A445-8','zEMuEnNpeIP', 'LB')
('AC04652-2022-11-02-8043','A447-15','Z', 'UB')
('AC04652-2022-11-02-8047','A448-1','jXpMVlQdOibbC', 'LB')
('SL22517-2022-11-01-7872','S328-24','pEhaZfRWRc', 'SU')
('AC12058-2022-11-01-8039','A447-11','XULMacNtgd', 'SL')
('SL22517-2022-11-01-7875','S329-3','G', 'UB')
('SL04652-2022-11-01-7977','S333-9','QcEAdXEhRAJL', 'LB')
('AC22517-2022-11-01-8020','A446-10','PczWPnV', 'UB')
('SL22517-2022-11-01-7880','S329-8','IpytbzVfoZ', 'SU')
('AC12058-2022-11-01-8047','A448-1','rNAKbrIdAMNu', 'LB')
('AC04652-2022-11-01-8299','A462-1','bRooCCryAm', 'LB')
('AC22517-2022-11-01-8038','A447-10','vTmMRZLPQqTe', 'UB')
('SL22517-2022-11-02-8000','S334-8','TJAkjJKMvw', 'SU')
('SL12058-2022-11-01-7832','S327-8','AoCNwTzAnjI', 'SU')
('AC22517-2022-11-01-8049','A448-3','WcAtU', 'UB')
('SL22517-2022-11-01-7917','S330-21','AqHjKf', 'MB')
('AC12058-2022-11-01-8071','A449-7','qRMyohsTg', 'LB')
('SL22517-2022-11-01-7918','S330-22','CrQvziuEMtUew', 'UB')
('SL22517-2022-11-01-7923','S331-3','t', 'UB')
('SL22517-2022-11-02-8013','S334-21','cuyWmMWVLQkYc', 'MB')
('SL04652-2022-11-01-8077','S337-13','PJdscIC', 'MB')
('SL04652-2022-11-02-8058','S336-18','nDnqxKngNExw', 'MB')
('SL04652-2022-11-01-8080','S337-16','wEphrmItLfFEOkms', 'SU')
('AC22517-2022-11-02-8184','A455-12','M', 'SU')
('AC22517-2022-11-01-8116','A451-16','CyCHAQXjoVpuljPb', 'UB')
('AC22517-2022-11-01-8117','A451-17','FrLFtjOoRWa', 'SL')
('AC12058-2022-11-01-8162','A454-8','MfwnLzRqoB', 'LB')
('SL12058-2022-11-01-7965','S332-21','ZDuhbXuSrmVhg', 'MB')
('SL04652-2022-11-01-8126','S339-14','CaUxLLfYk', 'UB')
('SL12058-2022-11-01-7966','S332-22','Ip', 'UB')
('AC04652-2022-11-02-8201','A456-11','n', 'SL')
('AC22517-2022-11-01-8158','A454-4','caNDSnDg', 'UB')
('SL04652-2022-11-01-8132','S339-20','Ari', 'LB')
('SL12058-2022-11-01-7970','S333-2','H', 'MB')
('SL22517-2022-11-01-8032','S335-16','mxQVhoR', 'SU')
('SL22517-2022-11-01-8033','S335-17','GPtytcYWf', 'LB')
('AC22517-2022-11-02-8244','A458-18','rGDRUmsZC', 'SU')
('AC12058-2022-11-01-8191','A456-1','MPpWHFNd', 'LB')
('SL22517-2022-11-02-8149','S340-13','RcReyADgO', 'MB')
('AC22517-2022-11-02-8268','A460-6','KXR', 'SU')
('AC04652-2022-11-02-8241','A458-15','bQ', 'UB')
('AC04652-2022-11-02-8242','A458-16','RGEklhAwMKGL', 'UB')
('SL04652-2022-11-01-8179','S341-19','BGDqyeZYLL', 'UB')
('SL04652-2022-11-02-8144','S340-8','hpvEyQ', 'SU')
('AC04652-2022-11-02-8255','A459-11','hioKF', 'SL')
('AC04652-2022-11-02-8260','A459-16','rVZPWXVQevVrIo', 'UB')
('SL12058-2022-11-01-8020','S335-4','tYxUPHukrfMIjh', 'LB')
('AC22517-2022-11-02-8298','A461-18','KGAspzT', 'SU')
('SL04652-2022-11-02-8165','S341-5','ukpSUGoW', 'MB')
('SL12058-2022-11-01-8042','S336-2','xGhh', 'MB')
('SL04652-2022-11-01-8206','S342-22','B', 'UB')
('SL22517-2022-11-02-8194','S342-10','YHUCML', 'MB')
('AC22517-2022-11-02-8311','A462-13','nRuuZfvUFJrtXADi', 'LB')
('SL22517-2022-11-01-8116','S339-4','EhDOJAI', 'LB')
('SL12058-2022-11-01-8051','S336-11','YNmUKwlylQDOZjn', 'UB')
('SL22517-2022-11-01-8122','S339-10','gzfJefuJLSlNGrm', 'MB')
('SL22517-2022-11-02-8201','S342-17','uls', 'LB')
('SL04652-2022-11-02-8216','S343-8','ErtdrTOHhUeG', 'SU')
('SL22517-2022-11-02-8244','S344-12','WH', 'LB')
('SL22517-2022-11-01-8165','S341-5','HTYlAcuQWVUiB', 'MB')
('AC12058-2022-11-01-8313','A462-15','IYSjtaDMK', 'UB')
('AC22517-2022-11-02-8376','A466-6','IRCQd', 'SU')
('AC04652-2022-11-01-8571','A477-3','NlLuzHzJElc', 'UB')
('SL22517-2022-11-02-8251','S344-19','wJmIjtvsHovJf', 'UB')
('AC22517-2022-11-01-8299','A462-1','FTIjDrmcikMT', 'LB')
('SL22517-2022-11-02-8253','S344-21','dB', 'MB')
('SL22517-2022-11-01-8186','S342-2','ksQIDeSWXU', 'MB')
('AC22517-2022-11-01-8319','A463-3','pLhhRcGBYif', 'UB')
('SL04652-2022-11-01-8289','S346-9','AyhgEnFM', 'LB')
('AC12058-2022-11-01-8337','A464-3','v', 'UB')
('SL04652-2022-11-01-8290','S346-10','CVlkYKlpytHP', 'MB')
('SL22517-2022-11-01-8205','S342-21','rVhVDXoexwdfmYjU', 'MB')
('SL22517-2022-11-01-8239','S344-7','DaHMQaYzWyFOQ', 'SL')
('SL22517-2022-11-02-8301','S346-21','JzXSgnPfFEGTkWX', 'MB')
('AC04652-2022-11-02-8412','A468-6','OBpfby', 'SU')
('SL04652-2022-11-02-8301','S346-21','zHdfJVFeBOI', 'MB')
('AC22517-2022-11-02-8471','A471-11','EvbWwv', 'SL')
('SL22517-2022-11-02-8331','S348-3','zMtvL', 'UB')
('AC22517-2022-11-01-8387','A466-17','zkAYWckvR', 'SL')
('AC22517-2022-11-02-8483','A472-5','UuUl', 'SL')
('SL12058-2022-11-01-8185','S342-1','xZYnIPrgNGBO', 'LB')
('SL04652-2022-11-01-8350','S348-22','RgDik', 'UB')
('AC22517-2022-11-02-8519','A474-5','P', 'SL')
('AC04652-2022-11-02-8483','A472-5','CgyHnthnmy', 'SL')
('SL12058-2022-11-01-8274','S345-18','GvPh', 'MB')
('SL22517-2022-11-02-8405','S351-5','OtfSoKJulxGHJMm', 'MB')
('AC04652-2022-11-02-8535','A475-3','XrHiSvNrgilOWqQ', 'UB')
('SL22517-2022-11-02-8412','S351-12','zJbmodEoFDPn', 'LB')
('SL04652-2022-11-01-8459','S353-11','Oriztbs', 'UB')
('SL04652-2022-11-02-8438','S352-14','xeG', 'UB')
('AC04652-2022-11-01-8764','A487-16','iTMCpbvAlMW', 'UB')
('AC22517-2022-11-01-8532','A474-18','xkPYGIwV', 'SU')
('SL04652-2022-11-02-8471','S353-23','hAbjVNnRqpSUW', 'SL')
('AC22517-2022-11-02-8645','A481-5','GICQIetMZhenxA', 'SL')
('SL22517-2022-11-01-8440','S352-16','PnFcnHPtSmAjrp', 'SU')
('SL12058-2022-11-01-8339','S348-11','YVw', 'UB')
('AC04652-2022-11-02-8620','A479-16','tPb', 'UB')
('SL12058-2022-11-01-8345','S348-17','MnmiRQBWImg', 'LB')
('AC04652-2022-11-01-8819','A490-17','xDRwXLCMaUf', 'SL')
('SL04652-2022-11-02-8502','S355-6','EMHujBtubYxWM', 'UB')
('AC04652-2022-11-01-8828','A491-8','rjZkpoPBj', 'LB')
('SL04652-2022-11-01-8524','S356-4','uMAVm', 'LB')
('AC04652-2022-11-02-8635','A480-13','L', 'LB')
('AC22517-2022-11-01-8576','A477-8','NsMiChISqNMh', 'LB')
('SL22517-2022-11-01-8457','S353-9','IVf', 'LB')
('SL22517-2022-11-01-8459','S353-11','nvCaOTY', 'UB')
('AC04652-2022-11-01-8842','A492-4','WSax', 'UB')
('AC04652-2022-11-01-8844','A492-6','tMnTgF', 'SU')
('AC22517-2022-11-01-8587','A478-1','vyuEhjacONP', 'LB')
('AC22517-2022-11-01-8593','A478-7','BaXddUo', 'LB')
('AC04652-2022-11-01-8856','A492-18','r', 'SU')
('SL04652-2022-11-01-8549','S357-5','hRNATDXoJpMYqI', 'MB')
('AC22517-2022-11-01-8600','A478-14','dbRbvCJVU', 'LB')
('SL12058-2022-11-01-8395','S350-19','eVltwWDwlkTwrJ', 'UB')
('AC22517-2022-11-01-8635','A480-13','lBKmVDwqFR', 'LB')
('SL12058-2022-11-01-8439','S352-15','JEHIr', 'SL')
('SL22517-2022-11-01-8549','S357-5','XoXcaCqPVUGAM', 'MB')
('SL22517-2022-11-01-8554','S357-10','oiu', 'MB')
('AC04652-2022-11-02-8719','A485-7','vC', 'LB')
('SL22517-2022-11-01-8566','S357-22','ujTsGSlhtW', 'UB')
('SL12058-2022-11-01-8463','S353-15','lChrfNytEBboiiF', 'SL')
('SL22517-2022-11-02-8587','S358-19','KTLtiWAu', 'UB')
('AC04652-2022-11-01-8948','A498-2','lh', 'LB')
('AC04652-2022-11-02-8765','A487-17','zAUTiVlyAqt', 'SL')
('SL12058-2022-11-01-8543','S356-23','nZeq', 'SL')
('AC22517-2022-11-01-8763','A487-15','htWKpkYA', 'UB')
('SL04652-2022-11-02-8707','S363-19','hAWMzveLvJilqnJn', 'UB')
('AC22517-2022-11-01-8764','A487-16','GmlBPPyhDJ', 'UB')
('SL22517-2022-11-01-8667','S362-3','HzLydes', 'UB')
('AC22517-2022-11-02-8844','A492-6','VhuWm', 'SU')
('SL04652-2022-11-01-8703','S363-15','zXDQd', 'SL')
('AC22517-2022-11-01-8791','A489-7','QczmvyzHoiUv', 'LB')
('SL22517-2022-11-02-8710','S363-22','FdO', 'UB')
('SL12058-2022-11-01-8579','S358-11','gCGaKjWr', 'UB')
('SL04652-2022-11-02-8745','S365-9','IHiTDFAaWNJX', 'LB')
('SL04652-2022-11-01-8730','S364-18','QV', 'MB')
('AC04652-2022-11-01-9085','A505-13','ZBYqZXHjzezDGLLH', 'LB')
('SL22517-2022-11-01-8702','S363-14','ruSqQufc', 'UB')
('SL22517-2022-11-01-8728','S364-16','CvMVDZKfLvFq', 'SU')
('AC12058-2022-11-01-8825','A491-5','fPdIOqS', 'SL')
('AC04652-2022-11-02-8886','A494-12','evKjBzttEjkf', 'SU')
('SL22517-2022-11-02-8755','S365-19','GIgKcXOL', 'UB')
('AC22517-2022-11-01-8840','A492-2','wSBPurtyWD', 'LB')
('AC22517-2022-11-02-8905','A495-13','ekmBHZvp', 'LB')
('AC22517-2022-11-01-8852','A492-14','qWdSIMDlCBjftq', 'LB')
('AC04652-2022-11-01-9131','A508-5','cxGC', 'SL')
('AC12058-2022-11-01-8847','A492-9','BIZvToLFsS', 'UB')
('AC22517-2022-11-02-8914','A496-4','wsFBVxhwJPDsqNR', 'UB')
('SL22517-2022-11-02-8796','S367-12','wBDxnaeRhEppH', 'LB')
('SL22517-2022-11-02-8797','S367-13','AHcuMEcvbIayf', 'MB')
('SL04652-2022-11-02-8828','S368-20','DSuKMAFKjS', 'LB')
('AC22517-2022-11-01-8879','A494-5','w', 'SL')
('AC12058-2022-11-01-8874','A493-18','vilyZpeovpVBvylk', 'SU')
('AC04652-2022-11-02-8937','A497-9','ybwntUa', 'UB')
('AC04652-2022-11-02-8938','A497-10','kPGdzCU', 'UB')
('AC04652-2022-11-01-9159','A509-15','spwMnADzQurjGY', 'UB')
('SL04652-2022-11-01-8830','S368-22','UEukXOAM', 'UB')
('AC12058-2022-11-01-8901','A495-9','oPdJbRqfGIgEsc', 'UB')
('SL12058-2022-11-01-8696','S363-8','MDHrBaIuNyjDxMXj', 'SU')
('SL22517-2022-11-02-8838','S369-6','wsMz', 'UB')
('SL12058-2022-11-01-8709','S363-21','ZBfgIipwERzebF', 'MB')
('SL04652-2022-11-01-8868','S370-12','YLHCJXvpXq', 'LB')
('SL04652-2022-11-02-8885','S371-5','MfNdCPTSDBxkyPDJ', 'MB')
('SL04652-2022-11-01-8870','S370-14','mkrRFlJwLvphFPMZ', 'UB')
('SL04652-2022-11-01-8871','S370-15','ebTiJKUfga', 'SL')
('AC12058-2022-11-01-8936','A497-8','zBmNG', 'LB')
('AC22517-2022-11-01-8955','A498-9','NXIKKVxbBSOiGiWE', 'UB')
('SL04652-2022-11-01-8908','S372-4','T', 'LB')
('SL04652-2022-11-01-8909','S372-5','DsXhIiv', 'MB')
('SL04652-2022-11-01-8910','S372-6','sqkOi', 'UB')
('AC22517-2022-11-01-9033','A502-15','gKfRzrWpDKGoe', 'UB')
('AC22517-2022-11-01-9040','A503-4','ANYrWnjoWdxgUK', 'UB')
('AC12058-2022-11-01-9053','A503-17','FnsZjpI', 'SL')
('AC04652-2022-11-01-9336','A519-12','gRodEocOmvk', 'SU')
('SL12058-2022-11-01-8866','S370-10','ugmZlQcr', 'MB')
('AC22517-2022-11-01-9046','A503-10','YhQsRr', 'UB')
('SL12058-2022-11-01-8868','S370-12','EDXjWCngKOCpJ', 'LB')
('AC12058-2022-11-01-9057','A504-3','PAp', 'UB')
('SL04652-2022-11-02-9001','S376-1','WgZ', 'LB')
('SL22517-2022-11-01-8955','S374-3','Y', 'UB')
('AC04652-2022-11-01-9344','A520-2','sBtfmO', 'LB')
('SL04652-2022-11-02-9003','S376-3','DMTvIPv', 'UB')
('AC12058-2022-11-01-9062','A504-8','SBGgsxMnuLxZ', 'LB')
('SL22517-2022-11-01-8958','S374-6','GttQwrvk', 'UB')
('SL22517-2022-11-02-8995','S375-19','DbedhZUHIxQ', 'UB')
('AC04652-2022-11-01-9353','A520-11','jyAqbum', 'SL')
('AC04652-2022-11-01-9355','A520-13','mgGRjXRA', 'LB')
('AC04652-2022-11-02-9121','A507-13','nHqqDCGJFLK', 'LB')
('AC22517-2022-11-01-9124','A507-16','reNPmLGgxMjZ', 'UB')
('AC22517-2022-11-01-9125','A507-17','kBSTzJgLDGqgns', 'SL')
('SL04652-2022-11-01-9086','S379-14','yv', 'UB')
('AC12058-2022-11-01-9131','A508-5','eELYYxHMOEEdFaO', 'SL')
('AC22517-2022-11-02-9201','A512-3','sOCIkqMKQnpxir', 'UB')
('AC04652-2022-11-01-9421','A524-7','UzXXxqnxnK', 'LB')
('SL04652-2022-11-02-9085','S379-13','d', 'MB')
('SL22517-2022-11-02-9084','S379-12','CiboxsCoiwPltKXs', 'LB')
('SL04652-2022-11-02-9091','S379-19','qOhyPHESPUPbTU', 'UB')
('AC22517-2022-11-01-9203','A512-5','vXvsEv', 'SL')
('SL22517-2022-11-02-9122','S381-2','QTOL', 'MB')
('AC22517-2022-11-01-9208','A512-10','xUEoTPDC', 'UB')
('SL04652-2022-11-02-9137','S381-17','ufFkAB', 'LB')
('AC04652-2022-11-01-9470','A527-2','AIDquzF', 'LB')
('AC22517-2022-11-02-9257','A515-5','WjDxXjpVdwOB', 'SL')
('AC04652-2022-11-02-9237','A514-3','cp', 'UB')
('SL04652-2022-11-02-9140','S381-20','GDxXUgPy', 'LB')
('AC12058-2022-11-01-9199','A512-1','bPXKEPTt', 'LB')
('SL12058-2022-11-01-9021','S376-21','UBDQXXmhsoAtbUGS', 'MB')
('AC12058-2022-11-01-9241','A514-7','hdaDDPGu', 'LB')
('AC22517-2022-11-01-9255','A515-3','HvOORWgXQ', 'UB')
('SL04652-2022-11-02-9179','S383-11','ELDAEazPDNR', 'UB')
('SL22517-2022-11-01-9125','S381-5','HBLWnDDqCnsznOu', 'MB')
('SL22517-2022-11-01-9126','S381-6','buZZwS', 'UB')
('AC04652-2022-11-02-9327','A519-3','UHPIjy', 'UB')
('SL04652-2022-11-01-9181','S383-13','rb', 'MB')
('SL04652-2022-11-02-9211','S384-19','uGhdMW', 'UB')
('SL04652-2022-11-02-9215','S384-23','JrvfoePB', 'SL')
('AC04652-2022-11-01-9565','A532-7','YOIavGRVAEvg', 'LB')
('AC12058-2022-11-01-9291','A517-3','IdpzvawftWxwv', 'UB')
('AC22517-2022-11-01-9304','A517-16','zpEvJr', 'UB')
('AC22517-2022-11-01-9307','A518-1','LgKivyrIB', 'LB')
('SL04652-2022-11-02-9227','S385-11','TcnITlOOwQwZ', 'UB')
('AC12058-2022-11-01-9292','A517-4','qGEOndf', 'UB')
('AC04652-2022-11-01-9576','A532-18','qZeZV', 'SU')
('AC22517-2022-11-01-9315','A518-9','LYrLrayUGzBxzv', 'UB')
('SL12058-2022-11-01-9100','S380-4','cCyUWRQfGXy', 'LB')
('AC04652-2022-11-02-9357','A520-15','mOluyEhEI', 'UB')
('AC22517-2022-11-01-9319','A518-13','QvWlFvFHhJxe', 'LB')
('SL22517-2022-11-01-9184','S383-16','qhXwSeJLALNNB', 'SU')
('AC22517-2022-11-01-9320','A518-14','oerbjUOwqlxeciu', 'LB')
('SL04652-2022-11-02-9233','S385-17','Q', 'LB')
('AC22517-2022-11-02-9355','A520-13','gx', 'LB')
('SL04652-2022-11-01-9212','S384-20','DHcBOFVY', 'LB')
('AC04652-2022-11-02-9367','A521-7','z', 'LB')
('AC22517-2022-11-01-9325','A519-1','NyFFPUd', 'LB')
('SL22517-2022-11-02-9232','S385-16','omzHHofzHtF', 'SU')
('SL04652-2022-11-02-9237','S385-21','Zgtcxyf', 'MB')
('AC04652-2022-11-01-9594','A533-18','UeWu', 'SU')
('SL22517-2022-11-01-9208','S384-16','tskwGIZtzzvHo', 'SU')
('AC12058-2022-11-01-9336','A519-12','MaRWjW', 'SU')
('SL22517-2022-11-02-9250','S386-10','AJamoMkL', 'MB')
('SL04652-2022-11-01-9234','S385-18','HzhHALc', 'MB')
('AC12058-2022-11-01-9342','A519-18','NLB', 'SU')
('SL04652-2022-11-02-9259','S386-19','mfohcVSoBGHDw', 'UB')
('SL12058-2022-11-01-9137','S381-17','bWj', 'LB')
('SL22517-2022-11-01-9222','S385-6','ZyorVbHmGnBokX', 'UB')
