('SL12058-2022-11-01-187','S8-19','axVq', 'UB')
('AC12058-2022-11-01-909','A51-9','tMSumEALeL', 'UB')
('AC12058-2022-11-01-910','A51-10','LMyFQOpnjhr', 'UB')
('SL22517-2022-11-01-962','S41-2','FYeTsQGpcWFLu', 'MB')
('AC04652-2022-11-02-973','A55-1','PsljNVqXBz', 'LB')
('SL04652-2022-11-01-941','S40-5','lotnzUCJyrU', 'MB')
('SL04652-2022-11-01-943','S40-7','QfMn', 'SL')
('AC04652-2022-11-01-952','A53-16','bNOLsIHVRCb', 'UB')
('AC04652-2022-11-01-953','A53-17','kuPZSspUwyWUTRC', 'SL')
('SL12058-2022-11-01-936','S39-24','OSCJqZLhKJ', 'SU')
('AC12058-2022-11-01-918','A51-18','gRdemHw', 'SU')
('AC22517-2022-11-01-939','A53-3','hSYSKIyPF', 'UB')
('SL12058-2022-11-01-938','S40-2','jjbIeKub', 'MB')
('AC04652-2022-11-02-980','A55-8','C', 'LB')
('AC04652-2022-11-01-959','A54-5','T', 'SL')
('SL04652-2022-11-01-954','S40-18','wuZ', 'MB')
('SL04652-2022-11-01-955','S40-19','DYMGIqRBPqzBuir', 'UB')
('SL12058-2022-11-01-941','S40-5','W', 'MB')
('AC04652-2022-11-01-962','A54-8','UqXawOR', 'LB')
('AC04652-2022-11-01-963','A54-9','dBvbFV', 'UB')
('SL12058-2022-11-01-942','S40-6','WyNd', 'UB')
('SL12058-2022-11-01-943','S40-7','RSQKrjtoqAWenCg', 'SL')
('SL04652-2022-11-01-959','S40-23','YSDsuNkqtAGbMcA', 'SL')
('AC12058-2022-11-01-936','A52-18','Pq', 'SU')
('SL04652-2022-11-01-965','S41-5','dcSzEHMYlmIe', 'MB')
('AC22517-2022-11-01-951','A53-15','ySPtRTuZ', 'UB')
('AC04652-2022-11-01-977','A55-5','lOZpPHNdK', 'SL')
('SL04652-2022-11-02-960','S40-24','UTOkRDxD', 'SU')
('AC22517-2022-11-02-982','A55-10','DK', 'UB')
('SL04652-2022-11-02-962','S41-2','aPJt', 'MB')
('AC22517-2022-11-01-954','A53-18','NKAfkinIp', 'SU')
('SL04652-2022-11-01-968','S41-8','ywUyGf', 'SU')
('SL04652-2022-11-02-967','S41-7','EMnGFJLACKF', 'SL')
('SL12058-2022-11-01-956','S40-20','vKHiDxNepK', 'LB')
('AC22517-2022-11-02-989','A55-17','v', 'SL')
('AC22517-2022-11-01-957','A54-3','CSfziMQc', 'UB')
('AC12058-2022-11-01-943','A53-7','FyNuJoISZOp', 'LB')
('SL04652-2022-11-01-981','S41-21','gQmlmaKrLE', 'MB')
('SL04652-2022-11-01-982','S41-22','cybRlITfPnEw', 'UB')
('SL22517-2022-11-01-999','S42-15','jfMdaa', 'SL')
('AC22517-2022-11-02-997','A56-7','QttmumTW', 'LB')
('SL12058-2022-11-01-960','S40-24','JizEs', 'SU')
('SL22517-2022-11-02-988','S42-4','vqLPtPOUvV', 'LB')
('AC22517-2022-11-02-1001','A56-11','apYVKhlAAKG', 'SL')
('AC04652-2022-11-02-1006','A56-16','jD', 'UB')
('AC12058-2022-11-01-946','A53-10','bwOUkGoIkdvGeEDX', 'UB')
('SL12058-2022-11-01-962','S41-2','UZWKrPU', 'MB')
('AC12058-2022-11-01-948','A53-12','LJwDSrR', 'SU')
('SL04652-2022-11-01-991','S42-7','XJLUKEqfy', 'SL')
('AC04652-2022-11-02-1010','A57-2','ohbpVLqraxGZm', 'LB')
('SL12058-2022-11-01-968','S41-8','L', 'SU')
('SL22517-2022-11-01-1007','S42-23','UwtTGGsFIrAzQj', 'SL')
('SL04652-2022-11-02-981','S41-21','pEABNhTSplLhoSx', 'MB')
('SL12058-2022-11-01-975','S41-15','JoCzmiI', 'SL')
('AC04652-2022-11-02-1022','A57-14','vnrkMIepGjsKaF', 'LB')
('AC12058-2022-11-01-960','A54-6','aqtaPBBuGJwb', 'SU')
('AC04652-2022-11-01-1000','A56-10','S', 'UB')
('AC04652-2022-11-02-1030','A58-4','nUqmbpym', 'UB')
('AC12058-2022-11-01-969','A54-15','L', 'UB')
('SL12058-2022-11-01-990','S42-6','st', 'UB')
('AC22517-2022-11-02-1025','A57-17','GvPNSwKzuvZxFcc', 'SL')
('SL04652-2022-11-01-1010','S43-2','qUSgwmSZNUE', 'MB')
('SL04652-2022-11-02-1034','S44-2','ClfyhIFaG', 'MB')
('SL04652-2022-11-01-1058','S45-2','ZvaDB', 'MB')
('AC22517-2022-11-01-1027','A58-1','AHA', 'LB')
('AC04652-2022-11-02-1088','A61-8','lzymmdtlXSAvU', 'LB')
('SL04652-2022-11-02-1042','S44-10','IOjzaVmGFBqKo', 'MB')
('AC04652-2022-11-02-1094','A61-14','CXjAOcPoML', 'LB')
('AC22517-2022-11-01-1031','A58-5','CeWGOUUTQvvcSeHD', 'SL')
('AC22517-2022-11-02-1077','A60-15','XKrQxSh', 'UB')
('SL22517-2022-11-02-1054','S44-22','c', 'UB')
('AC04652-2022-11-01-1071','A60-9','jaCqO', 'UB')
('AC12058-2022-11-01-1030','A58-4','uPMGu', 'UB')
('AC22517-2022-11-02-1080','A60-18','zU', 'SU')
('AC22517-2022-11-01-1040','A58-14','RywQpFRntmTdkp', 'LB')
('SL04652-2022-11-01-1076','S45-20','OeFOitAQaVpduoj', 'LB')
('AC04652-2022-11-01-1074','A60-12','W', 'SU')
('SL22517-2022-11-02-1057','S45-1','EOQMywoMFVUDgu', 'LB')
('SL04652-2022-11-01-1078','S45-22','WYhlsabfdHRf', 'UB')
('AC22517-2022-11-02-1084','A61-4','gqT', 'UB')
('SL22517-2022-11-01-1090','S46-10','KJw', 'MB')
('SL22517-2022-11-02-1061','S45-5','tQQDWFEA', 'MB')
('SL22517-2022-11-02-1062','S45-6','KCpyPK', 'UB')
('SL04652-2022-11-01-1081','S46-1','sdGBNqU', 'LB')
('AC04652-2022-11-02-1120','A63-4','HN', 'UB')
('SL04652-2022-11-02-1141','S48-13','k', 'MB')
('AC22517-2022-11-02-1175','A66-5','bcfbcBTZIqnTNb', 'SL')
('SL22517-2022-11-02-1169','S49-17','qRCS', 'LB')
('AC04652-2022-11-01-1236','A69-12','GHiTFEF', 'SU')
('SL04652-2022-11-01-1237','S52-13','TLAhlI', 'MB')
('AC12058-2022-11-01-1198','A67-10','xyTm', 'UB')
('AC22517-2022-11-01-1212','A68-6','zQ', 'SU')
('AC12058-2022-11-01-1200','A67-12','uHT', 'SU')
('AC04652-2022-11-02-1278','A71-18','zBgCxeqAcPU', 'SU')
('SL22517-2022-11-01-1253','S53-5','CGNFKIpdFJLrO', 'MB')
('SL22517-2022-11-02-1243','S52-19','CPdQlbdIPnc', 'UB')
('AC12058-2022-11-01-1204','A67-16','nrHZNhDsYKlTYufl', 'UB')
('SL22517-2022-11-02-1247','S52-23','zK', 'SL')
('AC12058-2022-11-01-1211','A68-5','linqPeM', 'SL')
('AC22517-2022-11-01-1240','A69-16','nNMHBMTy', 'UB')
('SL04652-2022-11-01-1276','S54-4','sXMoVBTeEGfkLM', 'LB')
('AC22517-2022-11-01-1252','A70-10','inDhKElGQr', 'UB')
('SL22517-2022-11-02-1277','S54-5','C', 'MB')
('SL04652-2022-11-01-1280','S54-8','REidc', 'SU')
('SL22517-2022-11-01-1304','S55-8','zLwptXa', 'SU')
('AC22517-2022-11-01-1261','A71-1','KSPqUTBHg', 'LB')
('AC12058-2022-11-01-1251','A70-9','cXYhOmMQH', 'UB')
('AC04652-2022-11-02-1325','A74-11','gFTsyFSPfHV', 'SL')
('AC04652-2022-11-01-1301','A73-5','yUmT', 'SL')
('AC04652-2022-11-01-1304','A73-8','oIFw', 'LB')
('SL04652-2022-11-01-1285','S54-13','YmXmUnDFWwjWT', 'MB')
('AC22517-2022-11-01-1269','A71-9','ZHNdekPyTbFga', 'UB')
('SL22517-2022-11-01-1317','S55-21','JkhpPmw', 'MB')
('AC04652-2022-11-02-1337','A75-5','EcnXTjr', 'SL')
('AC04652-2022-11-02-1338','A75-6','JGli', 'SU')
('SL04652-2022-11-02-1312','S55-16','zoDaHW', 'SU')
('SL22517-2022-11-01-1333','S56-13','r', 'MB')
('AC22517-2022-11-02-1324','A74-10','KfvFeXIceEhBVE', 'UB')
('SL22517-2022-11-01-1355','S57-11','S', 'UB')
('SL22517-2022-11-01-1356','S57-12','WXtiToVRfma', 'LB')
('AC22517-2022-11-01-1347','A75-15','mKZsbYe', 'UB')
('SL22517-2022-11-01-1383','S58-15','AyomjzuhJRjzjM', 'SL')
('AC22517-2022-11-01-1349','A75-17','tXVfmtQIO', 'SL')
('AC22517-2022-11-01-1350','A75-18','yWqr', 'SU')
('AC22517-2022-11-01-1351','A76-1','pCHx', 'LB')
('SL12058-2022-11-01-1320','S55-24','DEdFaVHO', 'SU')
('AC22517-2022-11-02-1358','A76-8','OaMaWkcbNtBNO', 'LB')
('AC22517-2022-11-02-1359','A76-9','LbwrlcfmdyMlJSl', 'UB')
('SL22517-2022-11-01-1389','S58-21','XoigA', 'MB')
('SL22517-2022-11-02-1370','S58-2','DLvNGEyyD', 'MB')
('AC04652-2022-11-01-1404','A78-18','JkWfd', 'SU')
('SL04652-2022-11-02-1393','S59-1','pAYW', 'LB')
('SL04652-2022-11-02-1394','S59-2','jOrcFlF', 'MB')
('AC22517-2022-11-02-1371','A77-3','deGJhTA', 'UB')
('AC12058-2022-11-01-1377','A77-9','cKjoe', 'UB')
('SL04652-2022-11-01-1391','S58-23','bldkhsIx', 'SL')
('SL22517-2022-11-02-1395','S59-3','mUbDplyplHWpxF', 'UB')
('SL22517-2022-11-01-1424','S60-8','IqUGYZDOZv', 'SU')
('SL12058-2022-11-01-1363','S57-19','FZOSNiYnCR', 'UB')
('AC12058-2022-11-01-1396','A78-10','EPbVZnYYXDrxOo', 'UB')
('SL04652-2022-11-02-1426','S60-10','jfDGdBI', 'MB')
('AC22517-2022-11-01-1391','A78-5','CfAlKrPSIDSLdxH', 'SL')
('AC22517-2022-11-02-1412','A79-8','ohOnWYQiiVsBjtgu', 'LB')
('SL22517-2022-11-02-1404','S59-12','qlXaP', 'LB')
('SL04652-2022-11-01-1401','S59-9','k', 'LB')
('AC04652-2022-11-02-1442','A81-2','yeaLzTFiAhzT', 'LB')
('AC22517-2022-11-01-1402','A78-16','VAQ', 'UB')
('AC22517-2022-11-02-1420','A79-16','TDtqxmvMtcWRaJbB', 'UB')
('SL04652-2022-11-01-1411','S59-19','LYimSVbWr', 'UB')
('AC22517-2022-11-02-1422','A79-18','KkXHFFDirlWzY', 'SU')
('AC22517-2022-11-02-1423','A80-1','VzBuKoD', 'LB')
('AC22517-2022-11-01-1405','A79-1','atmMQxIcaj', 'LB')
('SL04652-2022-11-02-1438','S60-22','MvvdqgwsTEAkqD', 'UB')
('SL22517-2022-11-01-1441','S61-1','CgGdZE', 'LB')
('AC22517-2022-11-02-1425','A80-3','fVOdDi', 'UB')
('SL22517-2022-11-01-1443','S61-3','wnzJJXDGBwJiMKD', 'UB')
('AC12058-2022-11-01-1410','A79-6','kSGzrwIJjxEjlgo', 'SU')
('AC12058-2022-11-01-1413','A79-9','QXFgRCDRtOGJ', 'UB')
('AC04652-2022-11-02-1460','A82-2','jSqPvbutxoyHiO', 'LB')
('AC22517-2022-11-01-1415','A79-11','lrprrvfAPJ', 'SL')
('SL04652-2022-11-01-1423','S60-7','kZh', 'SL')
('SL12058-2022-11-01-1390','S58-22','bGwzyoYDTqF', 'UB')
('SL04652-2022-11-02-1441','S61-1','ByBNV', 'LB')
('AC04652-2022-11-02-1462','A82-4','neK', 'UB')
('SL04652-2022-11-02-1449','S61-9','FIUwPB', 'LB')
('AC04652-2022-11-02-1467','A82-9','scWcqxvcMd', 'UB')
('SL22517-2022-11-01-1459','S61-19','iDCWS', 'UB')
('SL12058-2022-11-01-1398','S59-6','ZarUF', 'UB')
('AC22517-2022-11-02-1440','A80-18','SmTdVcDydYxxoCT', 'SU')
('SL12058-2022-11-01-1400','S59-8','WXxtxAmbJUNn', 'SU')
('SL22517-2022-11-01-1462','S61-22','gYPOiLTsvozJORz', 'UB')
('SL12058-2022-11-01-1401','S59-9','KEYjGKmlNSrsUW', 'LB')
('AC04652-2022-11-01-1475','A82-17','ulZhdtSfvxxkUTac', 'SL')
('SL04652-2022-11-02-1455','S61-15','TjqnptdhxnDqomn', 'SL')
('AC04652-2022-11-02-1473','A82-15','knMaNN', 'UB')
('AC22517-2022-11-02-1447','A81-7','VqpfldPLUAe', 'LB')
('AC04652-2022-11-02-1474','A82-16','IVbBhPfpbVf', 'UB')
('AC04652-2022-11-02-1475','A82-17','DGKm', 'SL')
('AC22517-2022-11-02-1448','A81-8','gZaTNp', 'LB')
('SL12058-2022-11-01-1409','S59-17','RBDcSKuIIhYN', 'LB')
('SL12058-2022-11-01-1416','S59-24','oaBkKU', 'SU')
('AC22517-2022-11-02-1461','A82-3','OM', 'UB')
('SL12058-2022-11-01-1420','S60-4','xGgNMRPelQKsBCU', 'LB')
('SL22517-2022-11-02-1455','S61-15','PvmFeyICfRRgk', 'SL')
('SL22517-2022-11-01-1486','S62-22','dDbOiuBh', 'UB')
('SL04652-2022-11-02-1472','S62-8','CsvYAwB', 'SU')
('SL12058-2022-11-01-1430','S60-14','beHETJfjPHUyRzo', 'UB')
('AC22517-2022-11-01-1455','A81-15','a', 'UB')
('SL22517-2022-11-01-1498','S63-10','x', 'MB')
('SL04652-2022-11-01-1463','S61-23','gkESsCcB', 'SL')
('SL04652-2022-11-01-1465','S62-1','bkvESSuJxCkeXWx', 'LB')
('AC22517-2022-11-01-1463','A82-5','ur', 'SL')
('SL04652-2022-11-02-1487','S62-23','rq', 'SL')
('AC04652-2022-11-02-1502','A84-8','W', 'LB')
('AC22517-2022-11-01-1468','A82-10','GUxpzX', 'UB')
('SL22517-2022-11-02-1482','S62-18','DrBzDnIqQ', 'MB')
('AC04652-2022-11-01-1514','A85-2','MxKTyKfKqn', 'LB')
('SL04652-2022-11-01-1476','S62-12','IpT', 'LB')
('AC04652-2022-11-02-1512','A84-18','V', 'SU')
('SL12058-2022-11-01-1451','S61-11','MEw', 'UB')
('SL12058-2022-11-01-1454','S61-14','bAKVQMjBsIxtq', 'UB')
('SL04652-2022-11-01-1482','S62-18','zVQY', 'MB')
('SL22517-2022-11-01-1515','S64-3','SZHi', 'UB')
('AC12058-2022-11-01-1475','A82-17','g', 'SL')
('SL04652-2022-11-01-1486','S62-22','KFZvj', 'UB')
('SL04652-2022-11-02-1505','S63-17','kZRpzX', 'LB')
('AC12058-2022-11-01-1480','A83-4','CSA', 'UB')
('AC04652-2022-11-02-1525','A85-13','urvUsicConXjGFCq', 'LB')
('AC22517-2022-11-01-1492','A83-16','koJxJsnbEWKEH', 'UB')
('SL04652-2022-11-01-1497','S63-9','JAA', 'LB')
('AC04652-2022-11-01-1526','A85-14','gxWvUrOS', 'LB')
('SL04652-2022-11-02-1511','S63-23','hFrSWMbD', 'SL')
('AC22517-2022-11-01-1547','A86-17','eKqPBIZQj', 'SL')
('AC12058-2022-11-01-1532','A86-2','VE', 'LB')
('SL04652-2022-11-01-1573','S66-13','nK', 'MB')
('AC04652-2022-11-02-1608','A90-6','zdV', 'SU')
('SL22517-2022-11-01-1597','S67-13','lSHoULoAlZ', 'MB')
('AC04652-2022-11-02-1617','A90-15','RloBJKTYjiJT', 'UB')
('AC22517-2022-11-02-1596','A89-12','umSZp', 'SU')
('SL22517-2022-11-01-1603','S67-19','EvtVPM', 'UB')
('AC12058-2022-11-01-1573','A88-7','acwpo', 'LB')
('AC12058-2022-11-01-1574','A88-8','pr', 'LB')
('AC22517-2022-11-01-1603','A90-1','JACXTr', 'LB')
('AC12058-2022-11-01-1577','A88-11','XnYBQHNgAMDmU', 'SL')
('SL12058-2022-11-01-1568','S66-8','xujmAUwSOfzJ', 'SU')
('AC04652-2022-11-01-1684','A94-10','nZDIdLHx', 'UB')
('SL12058-2022-11-01-1605','S67-21','VWWkkY', 'MB')
('AC12058-2022-11-01-1632','A91-12','iNPodjWE', 'SU')
('SL04652-2022-11-01-1645','S69-13','CNOPxkGDOSUnYF', 'MB')
('AC04652-2022-11-01-1696','A95-4','G', 'UB')
('AC12058-2022-11-01-1637','A91-17','BBZLLwSFJfF', 'SL')
('AC04652-2022-11-01-1697','A95-5','ViWjkaRDSOhRsgNj', 'SL')
('SL22517-2022-11-02-1641','S69-9','mki', 'LB')
('SL12058-2022-11-01-1620','S68-12','QHyzDDGIrOyjodE', 'LB')
('SL22517-2022-11-02-1642','S69-10','qkYlEAvrNlZ', 'MB')
('AC04652-2022-11-01-1700','A95-8','rsHJnBSYUrp', 'LB')
('AC22517-2022-11-01-1707','A95-15','HZKSeMbAfNWpO', 'UB')
('AC04652-2022-11-02-1700','A95-8','cnlbCXGOd', 'LB')
('SL04652-2022-11-01-1677','S70-21','kLgbGTBFyY', 'MB')
('SL12058-2022-11-01-1655','S69-23','sh', 'SL')
('AC22517-2022-11-02-1689','A94-15','Ou', 'UB')
('SL22517-2022-11-01-1712','S72-8','FlvLdc', 'SU')
('SL04652-2022-11-02-1733','S73-5','NiVovpRgYLWhlJuu', 'MB')
('AC04652-2022-11-01-1775','A99-11','MhBjSqVoPVCnyx', 'SL')
('SL04652-2022-11-02-1734','S73-6','suy', 'UB')
('SL04652-2022-11-01-1712','S72-8','MzsJRJuxOc', 'SU')
('AC04652-2022-11-01-1781','A99-17','JsYmEKuGF', 'SL')
('SL12058-2022-11-01-1690','S71-10','ny', 'MB')
('AC04652-2022-11-02-1738','A97-10','XEhMLnMAMTl', 'UB')
('AC22517-2022-11-01-1767','A99-3','SESCqyAYWBFYN', 'UB')
('AC12058-2022-11-01-1708','A95-16','Cwzcsgffj', 'UB')
('SL04652-2022-11-02-1740','S73-12','H', 'LB')
('AC04652-2022-11-02-1745','A97-17','URybQt', 'SL')
('SL04652-2022-11-02-1742','S73-14','vzhFcOFNXcFrqe', 'UB')
('SL22517-2022-11-01-1740','S73-12','iUAnxTQYcCcrUh', 'LB')
('AC12058-2022-11-01-1710','A95-18','RuGgFGjAVhRJQ', 'SU')
('SL12058-2022-11-01-1703','S71-23','ruBUJXANgVV', 'SL')
('AC04652-2022-11-02-1757','A98-11','ozjrQpGRUAcYu', 'SL')
('SL22517-2022-11-02-1722','S72-18','UWDlxfNZw', 'MB')
('SL04652-2022-11-01-1738','S73-10','WCMEARiSDONgrMy', 'MB')
('SL22517-2022-11-01-1753','S74-1','yRMArQgjmlkGasME', 'LB')
('SL04652-2022-11-02-1751','S73-23','R', 'SL')
('AC22517-2022-11-02-1746','A97-18','zdGREHNdg', 'SU')
('AC04652-2022-11-01-1803','A101-3','sUVrbv', 'UB')
('AC12058-2022-11-01-1726','A96-16','sYbdjWxuDy', 'UB')
('SL12058-2022-11-01-1711','S72-7','mjYJVxmUvdxeKB', 'SL')
('AC22517-2022-11-02-1748','A98-2','IEDzfAVhdqTSCYLj', 'LB')
('AC12058-2022-11-01-1765','A99-1','YvgZsAGejBw', 'LB')
('SL12058-2022-11-01-1745','S73-17','LQxsxTMFas', 'LB')
('SL22517-2022-11-01-1796','S75-20','PsctBH', 'LB')
('SL22517-2022-11-01-1797','S75-21','H', 'MB')
('SL12058-2022-11-01-1750','S73-22','kUhoWSheStWeTqvB', 'UB')
('SL22517-2022-11-02-1776','S74-24','LqCIEgVnktt', 'SU')
('AC22517-2022-11-02-1784','A100-2','iFEWDHYowygvD', 'LB')
('SL12058-2022-11-01-1755','S74-3','vY', 'UB')
('SL22517-2022-11-01-1804','S76-4','U', 'LB')
('SL04652-2022-11-02-1799','S75-23','DoIdpycuphqiR', 'SL')
('SL04652-2022-11-01-1797','S75-21','buZhCFdRXJzwFQ', 'MB')
('AC22517-2022-11-02-1786','A100-4','sxdfKbDVExeOfw', 'UB')
('AC22517-2022-11-02-1787','A100-5','nNpUmj', 'SL')
('AC04652-2022-11-01-1860','A104-6','z', 'SU')
('SL22517-2022-11-02-1785','S75-9','STdSF', 'LB')
('AC04652-2022-11-01-1862','A104-8','njxIm', 'LB')
('AC04652-2022-11-01-1865','A104-11','DxrqdAdqmuYrPlLR', 'SL')
('SL12058-2022-11-01-1764','S74-12','Xyy', 'LB')
('AC04652-2022-11-01-1891','A106-1','L', 'LB')
('SL22517-2022-11-02-1816','S76-16','kXJRcFVqEwIqyBcU', 'SU')
('AC04652-2022-11-02-1843','A103-7','R', 'LB')
('SL12058-2022-11-01-1800','S75-24','nlnkyvRqPiSpKz', 'SU')
('AC22517-2022-11-01-1865','A104-11','dmjSpPcPrllymS', 'SL')
('AC12058-2022-11-01-1817','A101-17','UVwO', 'SL')
('SL12058-2022-11-01-1820','S76-20','vzbryUCWRJ', 'LB')
('AC22517-2022-11-01-1883','A105-11','ycPjpXr', 'SL')
('AC12058-2022-11-01-1838','A103-2','JOyKuTJcXeg', 'LB')
('SL04652-2022-11-01-1846','S77-22','AgjkWQYUoISeQd', 'UB')
('AC04652-2022-11-02-1860','A104-6','rIWqUOzOlgxw', 'SU')
('SL04652-2022-11-01-1849','S78-1','qipgNGdFMvI', 'LB')
('AC22517-2022-11-02-1845','A103-9','tEoQkPR', 'UB')
('SL22517-2022-11-01-1873','S79-1','YLSJUjgenaRxMbH', 'LB')
('SL04652-2022-11-01-1851','S78-3','OnOCWYi', 'UB')
('AC04652-2022-11-02-1865','A104-11','ChAHDiSdfqQxEgWM', 'SL')
('SL22517-2022-11-01-1876','S79-4','npOEzYJIjbIyecKh', 'LB')
('SL12058-2022-11-01-1844','S77-20','qOOAFUVUsAtweFaL', 'LB')
('SL12058-2022-11-01-1845','S77-21','SzWlSILYZKxyXxGd', 'MB')
('AC04652-2022-11-02-1888','A105-16','GtejuYnJgTjurZe', 'UB')
('AC04652-2022-11-01-1953','A109-9','KC', 'UB')
('SL04652-2022-11-02-1893','S79-21','GsbpINsrek', 'MB')
('SL12058-2022-11-01-1863','S78-15','yz', 'SL')
('SL04652-2022-11-01-1874','S79-2','OsFZyn', 'MB')
('SL04652-2022-11-01-1875','S79-3','zxiugIe', 'UB')
('AC12058-2022-11-01-1872','A104-18','Bqr', 'SU')
('AC22517-2022-11-02-1876','A105-4','XGxwjOc', 'UB')
('SL04652-2022-11-02-1905','S80-9','ZcR', 'LB')
('SL12058-2022-11-01-1873','S79-1','CzwgvxHVdXU', 'LB')
('SL04652-2022-11-01-1887','S79-15','cfOFEz', 'SL')
('SL22517-2022-11-02-1880','S79-8','DR', 'SU')
('AC22517-2022-11-01-1939','A108-13','hxDOmb', 'LB')
('SL04652-2022-11-01-1891','S79-19','tEYZiLbUvXgDfHr', 'UB')
('SL04652-2022-11-02-1971','S83-3','tvrTHsxIbDDAkHv', 'UB')
('AC04652-2022-11-01-2029','A113-13','GelzkZPxW', 'LB')
('SL04652-2022-11-01-1943','S81-23','OHRJFsi', 'SL')
('SL22517-2022-11-01-1970','S83-2','UR', 'MB')
('AC04652-2022-11-01-2030','A113-14','fLvC', 'LB')
('AC12058-2022-11-01-1927','A108-1','tgIqGEGPCxSQ', 'LB')
('SL22517-2022-11-02-1943','S81-23','QREYtOCupN', 'SL')
('AC22517-2022-11-01-1995','A111-15','BrTqm', 'UB')
('AC22517-2022-11-02-1942','A108-16','QcLKdQGunPqpC', 'UB')
('SL04652-2022-11-02-1976','S83-8','GPjxwFIOZ', 'SU')
('AC04652-2022-11-01-2035','A114-1','RGemUImWwZq', 'LB')
('SL22517-2022-11-02-1948','S82-4','IjlqoyqTR', 'LB')
('AC12058-2022-11-01-1939','A108-13','ah', 'LB')
('SL12058-2022-11-01-1942','S81-22','QGXzjtacB', 'UB')
('SL12058-2022-11-01-1943','S81-23','aVjLSFZZllfzxF', 'SL')
('SL22517-2022-11-01-1985','S83-17','fAJSMgKe', 'LB')
('AC22517-2022-11-01-2003','A112-5','CK', 'SL')
('AC04652-2022-11-02-1969','A110-7','UXmU', 'LB')
('SL22517-2022-11-02-1955','S82-11','GwLDQtbBWHCrZb', 'UB')
('AC22517-2022-11-01-2007','A112-9','tpRmYmxujPanCd', 'UB')
('SL04652-2022-11-01-1964','S82-20','TIHkmhQTMjmu', 'LB')
('AC22517-2022-11-01-2010','A112-12','OPBJj', 'SU')
('SL22517-2022-11-02-1959','S82-15','LOhSkXZoVClBvi', 'SL')
('AC04652-2022-11-02-1972','A110-10','QfTuhIUcpLOto', 'UB')
('AC22517-2022-11-02-1951','A109-7','YfZlrmlTZHyGlEG', 'LB')
('SL22517-2022-11-02-1962','S82-18','Yuc', 'MB')
('SL04652-2022-11-02-1986','S83-18','XWVDDmRyNebKCO', 'MB')
('SL12058-2022-11-01-1952','S82-8','YrGtIQwlgeDemL', 'SU')
('SL04652-2022-11-02-1989','S83-21','JAoRNMvcf', 'MB')
('SL04652-2022-11-02-1990','S83-22','Tfab', 'UB')
('SL22517-2022-11-01-1993','S84-1','hKZett', 'LB')
('SL04652-2022-11-01-1968','S82-24','KKTgEiJWo', 'SU')
('SL22517-2022-11-02-1970','S83-2','IijO', 'MB')
('AC22517-2022-11-01-2027','A113-11','DBXnLIiikmy', 'SL')
('AC22517-2022-11-02-1966','A110-4','edfdDzt', 'UB')
('AC04652-2022-11-01-2059','A115-7','frFoFYGlBeltcWiU', 'LB')
('AC12058-2022-11-01-1965','A110-3','tVQz', 'UB')
('SL12058-2022-11-01-1964','S82-20','kVcLH', 'LB')
('AC22517-2022-11-02-1967','A110-5','YLiidoz', 'SL')
('AC22517-2022-11-02-1968','A110-6','hszGgZGpGgPrNrd', 'SU')
('AC12058-2022-11-01-1970','A110-8','SLLEkOZFuznAS', 'LB')
('SL12058-2022-11-01-1971','S83-3','tul', 'UB')
('AC04652-2022-11-02-1987','A111-7','NLZpdWzjaxOpjk', 'LB')
('AC04652-2022-11-01-2065','A115-13','zAVtCaWtAWRjoe', 'LB')
('AC04652-2022-11-02-1989','A111-9','IaezhvMX', 'UB')
('AC12058-2022-11-01-1975','A110-13','dTM', 'LB')
('AC12058-2022-11-01-1976','A110-14','Qcoz', 'LB')
('AC12058-2022-11-01-1977','A110-15','qIZZObO', 'UB')
('SL22517-2022-11-02-1988','S83-20','hhSBGaAvkXZU', 'LB')
('AC04652-2022-11-02-1992','A111-12','NeAakJZGIDSU', 'SU')
('AC12058-2022-11-01-1992','A111-12','mpa', 'SU')
('AC22517-2022-11-01-2041','A114-7','emOQyxJwe', 'LB')
('AC22517-2022-11-01-2043','A114-9','tYWd', 'UB')
('AC22517-2022-11-02-1992','A111-12','Rdf', 'SU')
('SL04652-2022-11-02-2023','S85-7','L', 'SL')
('SL04652-2022-11-01-1998','S84-6','C', 'UB')
('SL22517-2022-11-01-2021','S85-5','SiRdAMiJEFkvfWJ', 'MB')
('SL12058-2022-11-01-1986','S83-18','xjQXXXFRnWXhF', 'MB')
('AC22517-2022-11-02-1995','A111-15','PFPdMJckByrG', 'UB')
('AC04652-2022-11-01-2093','A117-5','eYHAGwfopk', 'SL')
('AC22517-2022-11-01-2050','A114-16','MjQ', 'UB')
('AC12058-2022-11-01-2005','A112-7','bXqMa', 'LB')
('SL12058-2022-11-01-1995','S84-3','kMzFs', 'UB')
('AC12058-2022-11-01-2009','A112-11','EECcxcyqOQTGwgzA', 'SL')
('AC04652-2022-11-02-2012','A112-14','vKQKdDdoSnQcace', 'LB')
('SL22517-2022-11-02-2001','S84-9','JR', 'LB')
('AC22517-2022-11-02-2028','A113-12','Nrl', 'SU')
('AC04652-2022-11-01-2115','A118-9','oRngDOnon', 'UB')
('AC22517-2022-11-02-2029','A113-13','ZaupONhvAz', 'LB')
('AC22517-2022-11-02-2030','A113-14','DSZum', 'LB')
('AC22517-2022-11-02-2031','A113-15','bpeXDe', 'UB')
('SL04652-2022-11-02-2054','S86-14','DPHHYkDWsRSOIypp', 'UB')
