('SL04652-2022-11-01-13','S1-13','kWJbDh', 'MB')
('SL12058-2022-11-01-2884','S121-4','s', 'LB')
('AC22517-2022-11-01-2742','A153-6','Qbc', 'SU')
('AC22517-2022-11-02-2947','A164-13','bzplWjAl', 'LB')
('SL12058-2022-11-01-2888','S121-8','jCPrL', 'SU')
('SL22517-2022-11-02-2951','S123-23','XsLz', 'SL')
('AC12058-2022-11-01-2895','A161-15','ikrbiGPFUXX', 'UB')
('SL04652-2022-11-01-2941','S123-13','WG', 'MB')
('AC22517-2022-11-01-2751','A153-15','Fp', 'UB')
('AC04652-2022-11-02-2878','A160-16','JRMGYu', 'UB')
('AC04652-2022-11-01-2954','A165-2','YDcKuLLEBuk', 'LB')
('AC04652-2022-11-02-2885','A161-5','hJKcyrhadHVAj', 'SL')
('SL04652-2022-11-01-2956','S124-4','KTcvLpsrlosJv', 'LB')
('AC04652-2022-11-02-2888','A161-8','UlfbMa', 'LB')
('SL12058-2022-11-01-2910','S122-6','VD', 'UB')
('AC12058-2022-11-01-2915','A162-17','uQEuXkUVCENibn', 'SL')
('SL12058-2022-11-01-2913','S122-9','vwxdcaloCgxDaJP', 'LB')
('SL04652-2022-11-02-2870','S120-14','QstOVuJxLGymmi', 'UB')
('SL04652-2022-11-02-2871','S120-15','ONUfhHVWkdZJVUU', 'SL')
('AC04652-2022-11-02-2899','A162-1','JTFim', 'LB')
('AC12058-2022-11-01-2920','A163-4','hTtAffmISVVdfTp', 'UB')
('AC12058-2022-11-01-2921','A163-5','ldHHyy', 'SL')
('SL22517-2022-11-01-2942','S123-14','FuYxAPCzkLTmMlo', 'UB')
('AC04652-2022-11-02-2904','A162-6','FKMztTHBkeVSbkQ', 'SU')
('AC22517-2022-11-02-2992','A167-4','wyJnebb', 'UB')
('AC04652-2022-11-02-2906','A162-8','RGtbDVIJRdf', 'LB')
('AC04652-2022-11-01-2967','A165-15','MlBGFW', 'UB')
('AC04652-2022-11-01-2968','A165-16','nBjVbScRcoK', 'UB')
('SL22517-2022-11-02-2984','S125-8','d', 'SU')
('AC04652-2022-11-01-2970','A165-18','zXgvdhfyBha', 'SU')
('AC12058-2022-11-01-2929','A163-13','ayzQYF', 'LB')
('SL12058-2022-11-01-2920','S122-16','PqchLdudmc', 'SU')
('AC04652-2022-11-01-2982','A166-12','VkzsATHRfkqaeiv', 'SU')
('SL04652-2022-11-02-2892','S121-12','CjsB', 'LB')
('AC22517-2022-11-01-2787','A155-15','uvscNo', 'UB')
('SL22517-2022-11-01-2960','S124-8','FZeYLB', 'SU')
('AC22517-2022-11-02-3019','A168-13','GtulgmqfutDi', 'LB')
('AC12058-2022-11-01-2953','A165-1','FtAlpaKAwwm', 'LB')
('AC22517-2022-11-02-3022','A168-16','GMIUXId', 'UB')
('AC04652-2022-11-01-2995','A167-7','sx', 'LB')
('SL04652-2022-11-01-2994','S125-18','UQlEhMajJt', 'MB')
('SL04652-2022-11-02-2908','S122-4','YIlK', 'LB')
('SL22517-2022-11-01-2974','S124-22','zYB', 'UB')
('SL04652-2022-11-01-2997','S125-21','ySnoRepsuzSZi', 'MB')
('SL04652-2022-11-01-2999','S125-23','sQivoqaf', 'SL')
('SL22517-2022-11-01-2978','S125-2','ZRFPzN', 'MB')
('AC04652-2022-11-01-3001','A167-13','DlPianmZkcMHhBZ', 'LB')
('AC22517-2022-11-01-2811','A157-3','AVu', 'UB')
('SL22517-2022-11-01-2981','S125-5','LUmISuWj', 'MB')
('AC04652-2022-11-01-3004','A167-16','DZH', 'UB')
('SL22517-2022-11-01-2983','S125-7','H', 'SL')
('SL04652-2022-11-01-3002','S126-2','Mpvsh', 'MB')
('AC12058-2022-11-01-2973','A166-3','BbFYmgZlnH', 'UB')
('AC12058-2022-11-01-2976','A166-6','XHNR', 'SU')
('AC04652-2022-11-01-3010','A168-4','wlHMijIQUyuDVs', 'UB')
('AC04652-2022-11-01-3011','A168-5','Umzh', 'SL')
('SL12058-2022-11-01-2952','S123-24','yNbmSmEbTAionT', 'SU')
('SL22517-2022-11-02-3028','S127-4','BEcfENTWu', 'LB')
('AC22517-2022-11-02-3062','A171-2','wEfIKbN', 'LB')
('AC22517-2022-11-01-2847','A159-3','sEWlWKIdvH', 'UB')
('AC04652-2022-11-01-3033','A169-9','UzeDmGKX', 'UB')
('SL12058-2022-11-01-2987','S125-11','iirAP', 'UB')
('SL12058-2022-11-01-2988','S125-12','r', 'LB')
('SL12058-2022-11-01-2991','S125-15','OzIpPTcrNrUJS', 'SL')
('SL12058-2022-11-01-2992','S125-16','khuArclHjkGBi', 'SU')
('AC04652-2022-11-02-2991','A167-3','ngt', 'UB')
('AC22517-2022-11-02-3085','A172-7','oOvdPDTkVL', 'LB')
('SL12058-2022-11-01-3013','S126-13','CPxSKdAm', 'MB')
('AC04652-2022-11-02-3011','A168-5','i', 'SL')
('AC22517-2022-11-02-3100','A173-4','kGMvqfCeeTaKImW', 'UB')
('AC12058-2022-11-01-3038','A169-14','kNNKvKZ', 'LB')
('SL22517-2022-11-01-3043','S127-19','gOVqxDxo', 'UB')
('AC04652-2022-11-01-3064','A171-4','yOweHJK', 'UB')
('AC12058-2022-11-01-3041','A169-17','YQcNQykR', 'SL')
('AC22517-2022-11-02-3108','A173-12','suD', 'SU')
('SL12058-2022-11-01-3026','S127-2','roVrrlT', 'MB')
('SL22517-2022-11-02-3085','S129-13','xvLRUjNOsjsNZRM', 'MB')
('SL22517-2022-11-02-3087','S129-15','dtmEDEMudyMaA', 'SL')
('AC12058-2022-11-01-3044','A170-2','MBLXRjLN', 'LB')
('AC22517-2022-11-02-3113','A173-17','KlJDiU', 'SL')
('SL22517-2022-11-02-3127','S131-7','ryEdSJIRp', 'SL')
('AC22517-2022-11-01-2928','A163-12','LnL', 'SU')
('SL04652-2022-11-02-3033','S127-9','GQuVRLTFCrY', 'LB')
('AC12058-2022-11-01-3081','A172-3','BAvAEVvqtPyy', 'UB')
('AC22517-2022-11-01-2940','A164-6','NDZjFPbcxs', 'SU')
('AC22517-2022-11-01-2942','A164-8','glSLYxc', 'LB')
('SL22517-2022-11-01-3110','S130-14','TeinoRRrjuv', 'UB')
('AC12058-2022-11-01-3095','A172-17','OjogqvYRlkmL', 'SL')
('AC22517-2022-11-02-3173','A177-5','ytfTNYxQzvdBT', 'SL')
('AC04652-2022-11-01-3123','A174-9','KzURcuJ', 'UB')
('AC12058-2022-11-01-3100','A173-4','GRfnt', 'UB')
('SL22517-2022-11-01-3112','S130-16','jykhdHNlkiKZWyPo', 'SU')
('SL22517-2022-11-02-3150','S132-6','THSIdJbThiuHLL', 'UB')
('AC22517-2022-11-02-3177','A177-9','ORNPr', 'UB')
('AC12058-2022-11-01-3104','A173-8','bDmgFktezYgCDnHl', 'LB')
('AC04652-2022-11-02-3084','A172-6','hJcunTiyFt', 'SU')
('SL04652-2022-11-02-3067','S128-19','gDdfA', 'UB')
('SL04652-2022-11-02-3109','S130-13','mrk', 'MB')
('SL22517-2022-11-01-3162','S132-18','xVLOJzTOfuqVsea', 'MB')
('SL22517-2022-11-02-3198','S134-6','gVhU', 'UB')
('AC22517-2022-11-01-3009','A168-3','IgS', 'UB')
('SL22517-2022-11-01-3206','S134-14','DYxLAkdIuqb', 'UB')
('AC04652-2022-11-02-3164','A176-14','ddVAgWoJWbCmmRei', 'LB')
('SL22517-2022-11-02-3229','S135-13','JbajjDOa', 'MB')
('SL12058-2022-11-01-3135','S131-15','UasB', 'SL')
('SL22517-2022-11-02-3230','S135-14','MbH', 'UB')
('SL04652-2022-11-01-3218','S135-2','wr', 'MB')
('SL12058-2022-11-01-3145','S132-1','xjYT', 'LB')
('SL04652-2022-11-01-3227','S135-11','LyCxIdAaKazex', 'UB')
('SL12058-2022-11-01-3149','S132-5','WL', 'MB')
('SL04652-2022-11-01-3233','S135-17','orUekXn', 'LB')
('AC12058-2022-11-01-3206','A179-2','mjCOPHfrJO', 'LB')
('SL04652-2022-11-02-3167','S132-23','tAUFuKKPCL', 'SL')
('AC04652-2022-11-02-3183','A177-15','irW', 'UB')
('SL22517-2022-11-01-3228','S135-12','QINODuKMZtLIRvX', 'LB')
('SL04652-2022-11-01-3239','S135-23','dyTEJOqnOj', 'SL')
('SL04652-2022-11-02-3172','S133-4','acphioIrcBmOZAE', 'LB')
('AC22517-2022-11-01-3084','A172-6','cMJvSD', 'SU')
('AC22517-2022-11-02-3294','A183-18','o', 'SU')
('AC04652-2022-11-01-3236','A180-14','Bu', 'LB')
('AC22517-2022-11-01-3098','A173-2','JtlG', 'LB')
('AC04652-2022-11-01-3238','A180-16','pkYoCQMT', 'UB')
('SL22517-2022-11-02-3280','S137-16','dddQlp', 'SU')
('AC22517-2022-11-02-3301','A184-7','idagjvHL', 'LB')
('AC22517-2022-11-02-3302','A184-8','PbXLKEYv', 'LB')
('SL22517-2022-11-02-3304','S138-16','yWifH', 'SU')
('SL04652-2022-11-02-3213','S134-21','LKw', 'MB')
('AC12058-2022-11-01-3260','A182-2','NQBren', 'LB')
('AC22517-2022-11-02-3322','A185-10','ANoPThDPiQGgt', 'UB')
('AC12058-2022-11-01-3263','A182-5','gbPJEtCV', 'SL')
('SL22517-2022-11-02-3318','S139-6','pBQMwEvIlohgXq', 'UB')
('SL22517-2022-11-02-3319','S139-7','ptSMprdOACGFItH', 'SL')
('SL04652-2022-11-01-3299','S138-11','aPYusjMMZ', 'UB')
('AC22517-2022-11-02-3328','A185-16','KCmBYeNZoFixmF', 'UB')
('AC04652-2022-11-02-3237','A180-15','YEleUo', 'UB')
('AC22517-2022-11-01-3140','A175-8','RLElNBHQPWam', 'LB')
('AC22517-2022-11-01-3141','A175-9','JoZBPqeNzLjn', 'UB')
('AC22517-2022-11-02-3372','A188-6','zZd', 'SU')
('AC04652-2022-11-02-3271','A182-13','bHRztd', 'LB')
('AC22517-2022-11-01-3170','A177-2','YufYQsHVORTi', 'LB')
('AC12058-2022-11-01-3304','A184-10','P', 'UB')
('SL12058-2022-11-01-3259','S136-19','TKXhyIyw', 'UB')
('SL22517-2022-11-01-3316','S139-4','hmvXAYain', 'LB')
('SL22517-2022-11-01-3317','S139-5','whJq', 'MB')
('SL22517-2022-11-02-3359','S140-23','qbkfdJs', 'SL')
('AC04652-2022-11-02-3275','A182-17','dicRHRArne', 'SL')
('AC22517-2022-11-01-3172','A177-4','QCHYHiznAf', 'UB')
('SL12058-2022-11-01-3262','S136-22','cxlkhdZ', 'UB')
('SL22517-2022-11-02-3363','S141-3','YshHQUZYuU', 'UB')
('AC04652-2022-11-02-3276','A182-18','X', 'SU')
('AC04652-2022-11-02-3277','A183-1','OuefVmtdSMO', 'LB')
('AC12058-2022-11-01-3321','A185-9','bEEIaFHzIMnLdcE', 'UB')
('AC12058-2022-11-01-3322','A185-10','gwBOZon', 'UB')
('SL22517-2022-11-02-3369','S141-9','CTJlotAJ', 'LB')
('SL04652-2022-11-01-3346','S140-10','iQItcyJFjGxyr', 'MB')
('AC22517-2022-11-01-3184','A177-16','AsKWSsuZRm', 'UB')
('SL04652-2022-11-01-3348','S140-12','Roum', 'LB')
('SL22517-2022-11-01-3331','S139-19','UMBCzRqEGisvx', 'UB')
('AC22517-2022-11-01-3189','A178-3','mG', 'UB')
('SL04652-2022-11-01-3354','S140-18','LlUmRTCKQhQI', 'MB')
('AC04652-2022-11-01-3334','A186-4','LqbngUDSXSj', 'UB')
('SL22517-2022-11-02-3379','S141-19','ZiUFRMIZgySaC', 'UB')
('AC22517-2022-11-01-3225','A180-3','DkTaneIV', 'UB')
('SL22517-2022-11-02-3414','S143-6','cjOUAdhL', 'UB')
('AC22517-2022-11-02-3427','A191-7','qlr', 'LB')
('SL22517-2022-11-02-3416','S143-8','jMCfaAQ', 'SU')
('SL22517-2022-11-01-3415','S143-7','MpHzDqoBqqDLoW', 'SL')
('AC04652-2022-11-01-3419','A190-17','IMIDyfPW', 'SL')
('AC22517-2022-11-02-3482','A194-8','x', 'LB')
('SL04652-2022-11-02-3362','S141-2','cogdeQwnKVCNMqD', 'MB')
('SL04652-2022-11-02-3363','S141-3','lyivqICguRLni', 'UB')
('AC12058-2022-11-01-3422','A191-2','weZ', 'LB')
('AC22517-2022-11-02-3489','A194-15','GWtuIDajJjn', 'UB')
('AC12058-2022-11-01-3427','A191-7','ZApBPsCHZAKLc', 'LB')
('AC04652-2022-11-02-3372','A188-6','xSWrRqtvmOX', 'SU')
('AC22517-2022-11-02-3496','A195-4','DgC', 'UB')
('AC04652-2022-11-01-3433','A191-13','sZRcxfbNzOLwBXv', 'LB')
('AC22517-2022-11-02-3498','A195-6','uceuNLgZqAYoMn', 'SU')
('AC12058-2022-11-01-3436','A191-16','eFPwjTIcx', 'UB')
('AC12058-2022-11-01-3437','A191-17','UW', 'SL')
('SL04652-2022-11-01-3462','S145-6','dhaLtRlAN', 'UB')
('SL04652-2022-11-02-3379','S141-19','QMSabNStqvbhr', 'UB')
('AC22517-2022-11-01-3283','A183-7','KGT', 'LB')
('SL04652-2022-11-01-3468','S145-12','dVtgmPlfJquNX', 'LB')
('SL04652-2022-11-02-3389','S142-5','CFiIcFTtzJ', 'MB')
('SL04652-2022-11-01-3472','S145-16','uXPJwm', 'SU')
('AC04652-2022-11-02-3390','A189-6','zre', 'SU')
('SL12058-2022-11-01-3400','S142-16','XdzGoD', 'SU')
('SL22517-2022-11-02-3506','S147-2','NPriqBqyckDnITI', 'MB')
('AC22517-2022-11-02-3538','A197-10','DGwjKsjHAxkUrP', 'UB')
('SL04652-2022-11-02-3408','S142-24','IwgkevBVSbp', 'SU')
('AC04652-2022-11-01-3535','A197-7','lREspNLxwrhoTLp', 'LB')
('SL22517-2022-11-01-3505','S147-1','njkOvIjTHbKDIi', 'LB')
('AC04652-2022-11-02-3445','A192-7','LyXqnDQNQ', 'LB')
('SL04652-2022-11-01-3539','S148-11','YQKT', 'UB')
('AC22517-2022-11-02-3580','A199-16','UJdpNp', 'UB')
('SL04652-2022-11-01-3541','S148-13','cwzKsiFY', 'MB')
('SL22517-2022-11-02-3594','S150-18','V', 'MB')
('AC12058-2022-11-01-3526','A196-16','oxCLrxvPNgoVacK', 'UB')
('SL04652-2022-11-01-3545','S148-17','hMD', 'LB')
('SL22517-2022-11-02-3630','S152-6','lBUbJFqUSjcRu', 'UB')
('SL12058-2022-11-01-3510','S147-6','qiMxJtmExia', 'UB')
('SL22517-2022-11-01-3547','S148-19','ISpC', 'UB')
('AC04652-2022-11-02-3483','A194-9','UnkBw', 'UB')
('SL22517-2022-11-01-3550','S148-22','fbhPanVpdXTYJR', 'UB')
('AC12058-2022-11-01-3573','A199-9','RQktlQpB', 'UB')
('SL22517-2022-11-01-3556','S149-4','tXe', 'LB')
('AC04652-2022-11-01-3571','A199-7','JpVYHSFU', 'LB')
('SL04652-2022-11-02-3494','S146-14','DuhTEQJ', 'UB')
('AC04652-2022-11-01-3575','A199-11','nd', 'SL')
('SL12058-2022-11-01-3525','S147-21','bbKSatShy', 'MB')
('SL04652-2022-11-02-3496','S146-16','wrkuXBOO', 'SU')
('SL12058-2022-11-01-3527','S147-23','NAOJUOfLMYitKK', 'SL')
('AC22517-2022-11-01-3409','A190-7','klEUIFhky', 'LB')
('SL04652-2022-11-01-3591','S150-15','AdDwoVDppH', 'SL')
('AC04652-2022-11-02-3503','A195-11','UFVkzNKOPOj', 'SL')
('AC22517-2022-11-01-3421','A191-1','AFhaJDIvp', 'LB')
('SL12058-2022-11-01-3565','S149-13','ZOIDsCPM', 'MB')
('AC04652-2022-11-02-3535','A197-7','Jt', 'LB')
('SL22517-2022-11-01-3609','S151-9','QqvBpTbGgKSFLP', 'LB')
('SL22517-2022-11-02-3676','S154-4','xRCUN', 'LB')
('AC22517-2022-11-02-3668','A204-14','r', 'LB')
('AC04652-2022-11-01-3614','A201-14','OPtns', 'LB')
('SL04652-2022-11-01-3621','S151-21','TARXMGIGYyMJ', 'MB')
('SL04652-2022-11-01-3622','S151-22','OVOpZe', 'UB')
('SL22517-2022-11-01-3613','S151-13','qrhghnRbLqQfuk', 'MB')
('AC22517-2022-11-01-3452','A192-14','sMj', 'LB')
('SL04652-2022-11-01-3626','S152-2','TXbySyjbSEupi', 'MB')
('SL04652-2022-11-02-3544','S148-16','mvMjtWube', 'SU')
('AC22517-2022-11-02-3677','A205-5','Pz', 'SL')
('AC22517-2022-11-02-3688','A205-16','YcYOz', 'UB')
('SL12058-2022-11-01-3591','S150-15','kO', 'SL')
('AC22517-2022-11-01-3464','A193-8','DAwXOlEGwdUEQcH', 'LB')
('AC04652-2022-11-02-3557','A198-11','xLXWdmQ', 'SL')
('SL22517-2022-11-02-3692','S154-20','MvKtLLwmhK', 'LB')
('AC22517-2022-11-01-3469','A193-13','TNJwhTukp', 'LB')
('AC04652-2022-11-01-3628','A202-10','iA', 'UB')
('AC12058-2022-11-01-3649','A203-13','BjRMHCkWgRgILzxg', 'LB')
('AC04652-2022-11-02-3563','A198-17','KvBPSY', 'SL')
('SL12058-2022-11-01-3608','S151-8','VDTApUjqJUS', 'SU')
('AC22517-2022-11-02-3703','A206-13','JvvOhIVsUxO', 'LB')
('AC04652-2022-11-02-3571','A199-7','NGjueYQBxqCL', 'LB')
('AC22517-2022-11-02-3706','A206-16','Q', 'UB')
('SL12058-2022-11-01-3617','S151-17','MBOzRIOmasZrmJiZ', 'LB')
('AC04652-2022-11-02-3578','A199-14','Rto', 'LB')
('AC12058-2022-11-01-3664','A204-10','bxTddAlLvoXyC', 'UB')
('SL04652-2022-11-02-3580','S150-4','coHutkjgLDRr', 'LB')
('AC04652-2022-11-02-3585','A200-3','R', 'UB')
('SL04652-2022-11-02-3581','S150-5','toe', 'MB')
('SL04652-2022-11-01-3701','S155-5','Por', 'MB')
('AC22517-2022-11-01-3533','A197-5','XA', 'SL')
('AC22517-2022-11-02-3754','A209-10','IvQ', 'UB')
('SL04652-2022-11-01-3704','S155-8','YNvxjcwHJdlJnrLs', 'SU')
('AC22517-2022-11-02-3757','A209-13','WjpLYGVqH', 'LB')
('AC04652-2022-11-01-3682','A205-10','souiJ', 'UB')
('AC22517-2022-11-02-3758','A209-14','HsDqIEWU', 'LB')
('AC22517-2022-11-02-3765','A210-3','ZjqkZhrXapwifhh', 'UB')
('SL04652-2022-11-01-3710','S155-14','GEAiRPDmVWv', 'UB')
('SL04652-2022-11-01-3711','S155-15','zvpHrS', 'SL')
('SL04652-2022-11-02-3632','S152-8','pRQeTORzlurYJUkw', 'SU')
('SL22517-2022-11-02-3765','S157-21','eGYXErVy', 'MB')
('AC22517-2022-11-02-3778','A210-16','vZPv', 'UB')
('SL12058-2022-11-01-3670','S153-22','uYxfsIGfjP', 'UB')
('AC22517-2022-11-01-3551','A198-5','fjoCLUj', 'SL')
('AC12058-2022-11-01-3721','A207-13','sG', 'LB')
('AC12058-2022-11-01-3722','A207-14','FoJuoaJdVB', 'LB')
('AC04652-2022-11-02-3634','A202-16','YlOEAQGkxZi', 'UB')
('SL22517-2022-11-01-3696','S154-24','FUbzNS', 'SU')
('AC04652-2022-11-02-3637','A203-1','y', 'LB')
('SL12058-2022-11-01-3676','S154-4','FsFzOy', 'LB')
('SL22517-2022-11-02-3778','S158-10','LsWltZlObidcM', 'MB')
('SL22517-2022-11-01-3699','S155-3','pZmCZmAimlAkNG', 'UB')
('AC04652-2022-11-02-3644','A203-8','cisxvXkqUVCH', 'LB')
('AC04652-2022-11-01-3715','A207-7','knEcLOrYSxQgCV', 'LB')
('AC22517-2022-11-02-3792','A211-12','KNMXorOGIgUwGzZK', 'SU')
('AC22517-2022-11-01-3562','A198-16','HzxlLfmIMgNyCGI', 'UB')
('AC22517-2022-11-02-3794','A211-14','uwjXOSWzhY', 'LB')
('SL04652-2022-11-02-3665','S153-17','dFMTYAcjLjnBeqQ', 'LB')
('AC22517-2022-11-02-3811','A212-13','Kxu', 'LB')
('SL12058-2022-11-01-3697','S155-1','gvTWqZC', 'LB')
('AC22517-2022-11-02-3821','A213-5','RVMWhSpcHeIop', 'SL')
('AC04652-2022-11-01-3760','A209-16','fENh', 'UB')
('AC04652-2022-11-02-3688','A205-16','lcUbTbFYShKouZxf', 'UB')
('AC22517-2022-11-02-3854','A215-2','jCJHzdjYCyTTetW', 'LB')
('AC04652-2022-11-01-3774','A210-12','eWbQPTXEvWCmh', 'SU')
('AC04652-2022-11-01-3775','A210-13','KggSYhkb', 'LB')
('SL22517-2022-11-01-3756','S157-12','fh', 'LB')
('SL04652-2022-11-02-3703','S155-7','AcWeqarvnBQgT', 'SL')
('SL22517-2022-11-01-3758','S157-14','NhLxUOiosQGlozSa', 'UB')
('SL04652-2022-11-01-3799','S159-7','DOgzolNNxllMI', 'SL')
('SL04652-2022-11-01-3800','S159-8','L', 'SU')
('AC22517-2022-11-01-3622','A202-4','CSksGdxEk', 'UB')
('SL22517-2022-11-01-3763','S157-19','hrfESRzOXJkRx', 'UB')
('SL12058-2022-11-01-3737','S156-17','hmIuzwiVsVfhCjIj', 'LB')
('SL04652-2022-11-02-3708','S155-12','fkQbTVv', 'LB')
('AC12058-2022-11-01-3781','A211-1','pATQGmzJXvXBn', 'LB')
('AC04652-2022-11-01-3818','A213-2','qFmYXWeM', 'LB')
('SL22517-2022-11-02-3858','S161-18','ZMqBJPTKK', 'MB')
('SL22517-2022-11-01-3792','S158-24','c', 'SU')
('AC22517-2022-11-02-3884','A216-14','GzefNTfatj', 'LB')
('AC22517-2022-11-02-3885','A216-15','ZtATak', 'UB')
('SL04652-2022-11-02-3740','S156-20','UdBVMomQEUd', 'LB')
('SL22517-2022-11-02-3862','S161-22','VONqCJZcEpodA', 'UB')
('SL22517-2022-11-02-3863','S161-23','hLSCanCedaPT', 'SL')
('SL22517-2022-11-02-3865','S162-1','tBQzKRMwhTk', 'LB')
('SL04652-2022-11-01-3830','S160-14','kZexuPG', 'UB')
('AC22517-2022-11-01-3651','A203-15','ZRnrgN', 'UB')
('SL04652-2022-11-02-3743','S156-23','nlErWKBA', 'SL')
('AC04652-2022-11-02-3740','A208-14','eQc', 'LB')
('AC22517-2022-11-02-3891','A217-3','zfTbSKlHtk', 'UB')
('AC22517-2022-11-02-3893','A217-5','oMWYlBaIRZfox', 'SL')
('SL12058-2022-11-01-3780','S158-12','BAQRBjdeBrUYsl', 'LB')
('AC12058-2022-11-01-3817','A213-1','BoY', 'LB')
('AC12058-2022-11-01-3819','A213-3','FUUjFoVxSiR', 'UB')
('AC22517-2022-11-01-3664','A204-10','WgUgsc', 'UB')
('SL22517-2022-11-02-3883','S162-19','AgfrT', 'UB')
('SL22517-2022-11-01-3825','S160-9','vhCHbJNZid', 'LB')
('AC12058-2022-11-01-3836','A214-2','GNiIE', 'LB')
('AC22517-2022-11-01-3676','A205-4','qbjAbPGFbAu', 'UB')
('AC04652-2022-11-02-3771','A210-9','BoX', 'UB')
('AC22517-2022-11-01-3678','A205-6','mLEjkDN', 'SU')
('AC04652-2022-11-02-3776','A210-14','MSNEScwAQWYURsw', 'LB')
('AC12058-2022-11-01-3847','A214-13','vCCUsPQSnKSAmGI', 'LB')
('AC22517-2022-11-01-3686','A205-14','bTEp', 'LB')
('SL04652-2022-11-02-3789','S158-21','YVocDkyWG', 'MB')
('SL22517-2022-11-02-3909','S163-21','gxjed', 'MB')
('SL04652-2022-11-01-3860','S161-20','iYLQxjz', 'LB')
('AC12058-2022-11-01-3858','A215-6','iVTXKQS', 'SU')
('SL12058-2022-11-01-3815','S159-23','CvZO', 'SL')
('SL04652-2022-11-02-3793','S159-1','lQaREQVewssHB', 'LB')
('AC22517-2022-11-02-3936','A219-12','psudrJdDTDDEC', 'SU')
('SL04652-2022-11-02-3797','S159-5','AgmDohqla', 'MB')
('AC04652-2022-11-02-3790','A211-10','RkufhYiirvfWQzc', 'UB')
('SL22517-2022-11-01-3851','S161-11','LfUtPtC', 'UB')
('SL12058-2022-11-01-3823','S160-7','Wrv', 'SL')
('SL22517-2022-11-02-3930','S164-18','RmYbrPhoxwtXK', 'MB')
('AC22517-2022-11-02-3943','A220-1','ZJonDwcfPR', 'LB')
('SL22517-2022-11-02-3932','S164-20','WjZGthbjPtrLUts', 'LB')
('SL22517-2022-11-01-3863','S161-23','hAiilmVKbhaQUPvI', 'SL')
('AC22517-2022-11-02-3949','A220-7','gSHTdFjG', 'LB')
('SL22517-2022-11-01-3867','S162-3','kfJ', 'UB')
('AC04652-2022-11-02-3801','A212-3','drQ', 'UB')
('SL12058-2022-11-01-3828','S160-12','pUaRAtNPH', 'LB')
('AC04652-2022-11-02-3803','A212-5','eRniITnluk', 'SL')
('AC12058-2022-11-01-3886','A216-16','deDbYXJMm', 'UB')
('AC22517-2022-11-02-3955','A220-13','aCuGCqknf', 'LB')
('AC04652-2022-11-01-3909','A218-3','C', 'UB')
('AC04652-2022-11-01-3910','A218-4','R', 'UB')
('AC04652-2022-11-01-3915','A218-9','aTERbUZDfoCB', 'UB')
('SL12058-2022-11-01-3845','S161-5','hhgJjVuYjK', 'MB')
('SL22517-2022-11-02-3968','S166-8','EdaoIpyvvaiRe', 'SU')
('AC22517-2022-11-01-3734','A208-8','Ukn', 'LB')
('SL22517-2022-11-01-3888','S162-24','PwzxXWmzrVkZ', 'SU')
('AC22517-2022-11-02-3972','A221-12','dGUAkEi', 'SU')
('SL04652-2022-11-02-3827','S160-11','EPZGKkBYzrBBsOp', 'UB')
('SL22517-2022-11-02-3975','S166-15','kdEiDGR', 'SL')
('AC04652-2022-11-01-3940','A219-16','O', 'UB')
('SL04652-2022-11-01-3911','S163-23','PulwwvxttyM', 'SL')
('AC04652-2022-11-01-3942','A219-18','YanhxSnN', 'SU')
('SL22517-2022-11-01-3899','S163-11','fKJasL', 'UB')
('AC22517-2022-11-02-3984','A222-6','mjNSeKwsKjaSksSn', 'SU')
('SL22517-2022-11-02-3982','S166-22','IXe', 'UB')
('AC22517-2022-11-01-3741','A208-15','m', 'UB')
('SL04652-2022-11-02-3838','S160-22','gjyKrJqVL', 'UB')
('SL22517-2022-11-01-3904','S163-16','TUUkKXPAKH', 'SU')
('SL22517-2022-11-01-3906','S163-18','JAzfRxZbmtQmFog', 'MB')
('SL12058-2022-11-01-3868','S162-4','QhwvVQvNST', 'LB')
('SL04652-2022-11-01-3914','S164-2','NYBEKerI', 'MB')
('AC22517-2022-11-02-3987','A222-9','ycDJ', 'UB')
('AC22517-2022-11-01-3748','A209-4','TmVsGNWRVSlDAfGJ', 'UB')
('AC22517-2022-11-01-3749','A209-5','jSeHfOTfIYeTeT', 'SL')
('SL04652-2022-11-02-3842','S161-2','rCguD', 'MB')
('SL22517-2022-11-02-3991','S167-7','CLmrsHu', 'SL')
('SL04652-2022-11-01-3918','S164-6','YUiLnrURMfXso', 'UB')
('SL04652-2022-11-01-3919','S164-7','DSQDfBZrqJYXWd', 'SL')
('AC04652-2022-11-01-3954','A220-12','viX', 'SU')
('SL22517-2022-11-01-3914','S164-2','YrHtlckyt', 'MB')
('SL04652-2022-11-02-3848','S161-8','iXy', 'SU')
('SL04652-2022-11-02-3849','S161-9','YUxIcCxF', 'LB')
('AC22517-2022-11-02-4001','A223-5','vpqtQ', 'SL')
('AC22517-2022-11-02-4002','A223-6','aJLenDHQiz', 'SU')
('AC22517-2022-11-02-4003','A223-7','stCEy', 'LB')
('AC22517-2022-11-01-3756','A209-12','nWnKj', 'SU')
('AC12058-2022-11-01-3932','A219-8','BZcYWpzyeyL', 'LB')
('SL12058-2022-11-01-3881','S162-17','NfEXYWkcXow', 'LB')
('AC04652-2022-11-01-3959','A220-17','wAvsDTLBU', 'SL')
('SL04652-2022-11-01-3924','S164-12','hiGVeAiytlEJ', 'LB')
('AC04652-2022-11-01-3962','A221-2','EKYlByGXxkvtWhf', 'LB')
