('SL22517-2022-11-02-5334','S223-6','fqDqjsdTVICcbuS', 'UB')
('SL04652-2022-11-02-7505','S313-17','xnJaPgcQerDRHHw', 'LB')
('AC22517-2022-11-02-7622','A424-8','KNlCJkIh', 'LB')
('SL22517-2022-11-02-7524','S314-12','hswKXBBsx', 'LB')
('AC12058-2022-11-01-7580','A422-2','L', 'LB')
('AC04652-2022-11-02-7579','A422-1','xWlTx', 'LB')
('SL22517-2022-11-02-7549','S315-13','ruVsVRYuP', 'MB')
('SL04652-2022-11-01-7507','S313-19','GiHm', 'UB')
('AC04652-2022-11-01-7844','A436-14','XcJuJwB', 'LB')
('AC04652-2022-11-01-7857','A437-9','jKmqc', 'UB')
('AC12058-2022-11-01-7603','A423-7','zMpVpOTzJzOtQUBZ', 'LB')
('AC04652-2022-11-01-7878','A438-12','ZlMMwcUgHQpP', 'SU')
('SL04652-2022-11-01-7544','S315-8','HQRuYDsumuJ', 'SU')
('AC04652-2022-11-02-7632','A424-18','aasdrjfabURnlGNC', 'SU')
('SL04652-2022-11-02-7572','S316-12','lwVyx', 'LB')
('AC12058-2022-11-01-7629','A424-15','tIMajfKU', 'UB')
('SL12058-2022-11-01-7434','S310-18','jgYqYkSwTHsFu', 'MB')
('SL22517-2022-11-02-7599','S317-15','tUUsuPBlvLJm', 'SL')
('AC04652-2022-11-02-7655','A426-5','CYZveSwJSJoIac', 'SL')
('AC04652-2022-11-02-7656','A426-6','dRroGD', 'SU')
('AC04652-2022-11-01-7903','A440-1','arODHKyG', 'LB')
('AC22517-2022-11-02-7710','A429-6','xNxSPBvwCHq', 'SU')
('SL04652-2022-11-01-7576','S316-16','WxN', 'SU')
('SL22517-2022-11-02-7606','S317-22','cTVZN', 'UB')
('AC12058-2022-11-01-7656','A426-6','KyFDszRBleDLASyr', 'SU')
('SL22517-2022-11-01-7507','S313-19','N', 'UB')
('SL04652-2022-11-01-7584','S316-24','cox', 'SU')
('SL22517-2022-11-02-7613','S318-5','OEnqtjWnFdJdhg', 'MB')
('AC22517-2022-11-01-7661','A426-11','ERmrkIiu', 'SL')
('AC22517-2022-11-02-7729','A430-7','pkTXBtom', 'LB')
('AC04652-2022-11-02-7678','A427-10','tWNUhYZSL', 'UB')
('AC22517-2022-11-02-7736','A430-14','pB', 'LB')
('AC04652-2022-11-02-7733','A430-11','zPT', 'SL')
('SL22517-2022-11-01-7564','S316-4','sIWXoi', 'LB')
('AC22517-2022-11-01-7794','A433-18','aPRiyBeOloORMM', 'SU')
('SL04652-2022-11-02-7723','S322-19','fgoEAjUNllzUHul', 'UB')
('AC04652-2022-11-01-8042','A447-14','SskEzgz', 'LB')
('AC04652-2022-11-01-8059','A448-13','AlNzD', 'LB')
('SL04652-2022-11-02-7744','S323-16','XuYMEdJnA', 'SU')
('AC04652-2022-11-02-7826','A435-14','qK', 'LB')
('AC04652-2022-11-02-7827','A435-15','r', 'UB')
('SL22517-2022-11-01-7653','S319-21','Nm', 'MB')
('AC22517-2022-11-01-7818','A435-6','xW', 'SU')
('AC12058-2022-11-01-7791','A433-15','EmEVYlLnqPAQIMBn', 'UB')
('AC04652-2022-11-02-7831','A436-1','wiJQYIBJhhCBlZ', 'LB')
('AC12058-2022-11-01-7792','A433-16','RBnA', 'UB')
('SL04652-2022-11-01-7728','S322-24','GgMWeXN', 'SU')
('AC22517-2022-11-01-7821','A435-9','JbgWGyEAdDyQ', 'UB')
('SL04652-2022-11-01-7730','S323-2','GHRPJZANgaD', 'MB')
('SL04652-2022-11-02-7752','S323-24','OuDEMgPzdYWiPg', 'SU')
('AC04652-2022-11-01-8118','A451-18','ofxvShanbSCWwRU', 'SU')
('SL04652-2022-11-02-7818','S326-18','OuwrcDtjCmtppHa', 'MB')
('AC04652-2022-11-01-8132','A452-14','qlubJIxzFHFncBOw', 'LB')
('SL12058-2022-11-01-7655','S319-23','w', 'SL')
('AC22517-2022-11-01-7888','A439-4','ugpPMjhMRDwlsJnP', 'UB')
('AC22517-2022-11-01-7889','A439-5','W', 'SL')
('SL12058-2022-11-01-7657','S320-1','ErnXy', 'LB')
('AC04652-2022-11-01-8152','A453-16','cpwyMP', 'UB')
('AC04652-2022-11-02-7915','A440-13','LMgfRNfBYttSuRSS', 'LB')
('AC22517-2022-11-01-7893','A439-9','n', 'UB')
('AC12058-2022-11-01-7890','A439-6','n', 'SU')
('AC22517-2022-11-01-7895','A439-11','cHwVjwPGCGSUml', 'SL')
('SL04652-2022-11-02-7864','S328-16','MmRzXo', 'SU')
('AC22517-2022-11-01-7920','A440-18','NEZOxiQzwoji', 'SU')
('AC04652-2022-11-01-8193','A456-3','CSgsTmVRAFfZaUdH', 'UB')
('SL04652-2022-11-01-7892','S329-20','XKBzpfFfvqaMmdp', 'LB')
('AC12058-2022-11-01-7959','A443-3','sPdpdEKfPnT', 'UB')
('SL22517-2022-11-02-7895','S329-23','o', 'SL')
('SL22517-2022-11-01-7815','S326-15','LRFySKxjhQQzF', 'SL')
('AC22517-2022-11-01-7954','A442-16','hCYgHsHegdLhMeJq', 'UB')
('SL22517-2022-11-02-7899','S330-3','ZTKkxmimIWGuBzgw', 'UB')
('AC22517-2022-11-02-8029','A447-1','mhhnGHGKJE', 'LB')
('AC04652-2022-11-01-8234','A458-8','pKhMnlHzLJbMPkE', 'LB')
('SL22517-2022-11-01-7822','S326-22','oSrkwBOGA', 'UB')
('AC22517-2022-11-01-7964','A443-8','PaaoKZclpDXfXnwr', 'LB')
('SL22517-2022-11-02-7907','S330-11','GOZKQpb', 'UB')
('AC22517-2022-11-02-8041','A447-13','qglzuKbEUI', 'LB')
('AC12058-2022-11-01-7978','A444-4','NOndrdwmghbFypqT', 'UB')
('SL22517-2022-11-02-7912','S330-16','xIhwPFq', 'SU')
('AC04652-2022-11-01-8254','A459-10','MSXEhUTahMspK', 'UB')
('SL12058-2022-11-01-7783','S325-7','JcFUyycWnfw', 'SL')
('SL12058-2022-11-01-7784','S325-8','akQ', 'SU')
('SL04652-2022-11-01-7969','S333-1','JLRcwFqHXK', 'LB')
('AC04652-2022-11-01-8283','A461-3','lgxMmRGIVEhkFs', 'UB')
('SL22517-2022-11-02-7966','S332-22','ZjrV', 'UB')
('SL12058-2022-11-01-7807','S326-7','qSComBixnzYETua', 'SL')
('SL12058-2022-11-01-7808','S326-8','rsFeNCypAQ', 'SU')
('AC04652-2022-11-02-8141','A453-5','JfI', 'SL')
('AC22517-2022-11-01-8098','A450-16','cNnk', 'UB')
('AC22517-2022-11-01-8099','A450-17','CXpr', 'SL')
('SL22517-2022-11-02-8056','S336-16','pFneicBzrU', 'SU')
('SL04652-2022-11-02-8055','S336-15','IFeOTsSdNxTy', 'SL')
('AC22517-2022-11-01-8106','A451-6','HUVFjbKoufb', 'SU')
('SL04652-2022-11-01-8078','S337-14','AM', 'UB')
('AC12058-2022-11-01-8131','A452-13','lvMx', 'LB')
('SL22517-2022-11-02-8067','S337-3','ArgIuoDIbjYX', 'UB')
('AC04652-2022-11-01-8390','A467-2','HmrLDwvf', 'LB')
('AC22517-2022-11-01-8111','A451-11','WxCUXtgsawcTikxb', 'SL')
('AC04652-2022-11-02-8157','A454-3','JjSsMrtdqkwqB', 'UB')
('AC04652-2022-11-01-8416','A468-10','fylPVxUizASfG', 'UB')
('SL22517-2022-11-01-7992','S333-24','CJ', 'SU')
('SL22517-2022-11-02-8092','S338-4','etxp', 'LB')
('SL22517-2022-11-02-8097','S338-9','MRiorPXJXKmm', 'LB')
('SL04652-2022-11-02-8098','S338-10','mcce', 'MB')
('SL04652-2022-11-02-8102','S338-14','fLdlXpwlFyHh', 'UB')
('AC12058-2022-11-01-8175','A455-3','hzsJhku', 'UB')
('AC22517-2022-11-01-8156','A454-2','FDnuWAchPPq', 'LB')
('SL04652-2022-11-01-8169','S341-9','nYpvhjZ', 'LB')
('SL22517-2022-11-02-8141','S340-5','rkGzKzQi', 'MB')
('SL04652-2022-11-01-8171','S341-11','engAfv', 'UB')
('AC22517-2022-11-02-8263','A460-1','VvboV', 'LB')
('AC04652-2022-11-02-8244','A458-18','CPJQTpoTmYA', 'SU')
('AC22517-2022-11-02-8272','A460-10','BtGIxUkQEp', 'UB')
('AC04652-2022-11-02-8247','A459-3','YcC', 'UB')
('AC04652-2022-11-01-8485','A472-7','Zt', 'LB')
('SL12058-2022-11-01-8010','S334-18','Q', 'MB')
('AC04652-2022-11-02-8249','A459-5','wt', 'SL')
('SL22517-2022-11-01-8076','S337-12','XmKuVf', 'LB')
('AC22517-2022-11-02-8280','A460-18','UvLHNWBHw', 'SU')
('SL04652-2022-11-02-8149','S340-13','NIK', 'MB')
('AC12058-2022-11-01-8226','A457-18','yJVAnVDWyCIgxPai', 'SU')
('AC22517-2022-11-02-8337','A464-3','IrxdTyMDFtbY', 'UB')
('SL12058-2022-11-01-8066','S337-2','rye', 'MB')
('SL22517-2022-11-01-8135','S339-23','EYyYN', 'SL')
('SL04652-2022-11-01-8225','S343-17','BrMEbhAK', 'LB')
('SL22517-2022-11-02-8226','S343-18','lgSnCiDjHx', 'MB')
('SL04652-2022-11-02-8202','S342-18','KXGgoKwnkf', 'MB')
('SL04652-2022-11-01-8232','S343-24','PlHRCH', 'SU')
('SL22517-2022-11-01-8142','S340-6','OsoWaRx', 'UB')
('AC04652-2022-11-01-8546','A475-14','LgoAJsTxmnlW', 'LB')
('AC22517-2022-11-02-8349','A464-15','AvQM', 'UB')
('SL12058-2022-11-01-8076','S337-12','AHSLBS', 'LB')
('AC12058-2022-11-01-8292','A461-12','WDVsSGjwVcCS', 'SU')
('SL22517-2022-11-02-8235','S344-3','IR', 'UB')
('SL12058-2022-11-01-8079','S337-15','bV', 'SL')
('SL04652-2022-11-01-8241','S344-9','auuAzy', 'LB')
('AC22517-2022-11-02-8360','A465-8','QyIpXzQTarEjk', 'LB')
('SL22517-2022-11-01-8163','S341-3','AyUlcQZPqkuiPb', 'UB')
('AC22517-2022-11-02-8374','A466-4','ACWLF', 'UB')
('SL04652-2022-11-02-8231','S343-23','oDtNtzwVGLrtbq', 'SL')
('SL22517-2022-11-02-8250','S344-18','fedpvrJtdeDShRXp', 'MB')
('SL22517-2022-11-01-8175','S341-15','DCVKvzxLlOqDD', 'SL')
('SL04652-2022-11-01-8271','S345-15','DGIYAkOMs', 'SL')
('SL22517-2022-11-02-8256','S344-24','OwfSVdxCA', 'SU')
('AC12058-2022-11-01-8327','A463-11','yrmjviTVwdYCVklB', 'SL')
('SL22517-2022-11-01-8197','S342-13','ljpXSRc', 'MB')
('SL04652-2022-11-02-8283','S346-3','hXCdGqKGifu', 'UB')
('SL12058-2022-11-01-8133','S339-21','StPIQVzVFnDkzth', 'MB')
('AC22517-2022-11-01-8338','A464-4','qsb', 'UB')
('SL04652-2022-11-02-8286','S346-6','CmhxDmIdLjNEzKr', 'UB')
('AC04652-2022-11-02-8398','A467-10','NWnCrhQ', 'UB')
('SL12058-2022-11-01-8137','S340-1','LGg', 'LB')
('SL22517-2022-11-02-8297','S346-17','zvGVsENBkY', 'LB')
('AC04652-2022-11-02-8405','A467-17','yKCLvtqwytbjRcZz', 'SL')
('AC04652-2022-11-02-8473','A471-13','kIttrWCwFUTWiJK', 'LB')
('SL22517-2022-11-02-8359','S349-7','OsQeyTVad', 'SL')
('AC04652-2022-11-02-8478','A471-18','oYekkbCHbYAXj', 'SU')
('SL04652-2022-11-01-8388','S350-12','ciRl', 'LB')
('AC04652-2022-11-02-8490','A472-12','q', 'SU')
('SL22517-2022-11-01-8316','S347-12','liRxc', 'LB')
('SL04652-2022-11-01-8391','S350-15','TTswoeESzr', 'SL')
('AC04652-2022-11-02-8493','A472-15','eDHkn', 'UB')
('SL04652-2022-11-01-8397','S350-21','vgFQq', 'MB')
('SL04652-2022-11-02-8387','S350-11','qpLEURU', 'UB')
('AC12058-2022-11-01-8435','A469-11','zmHtvhIdR', 'SL')
('AC12058-2022-11-01-8436','A469-12','eglQHNqs', 'SU')
('AC04652-2022-11-02-8503','A473-7','BLTUtdoXKF', 'LB')
('AC04652-2022-11-01-8713','A485-1','u', 'LB')
('AC12058-2022-11-01-8466','A471-6','rnNKyyRxUcHMM', 'SU')
('SL22517-2022-11-02-8398','S350-22','LrcHkcQRmpHCYn', 'UB')
('AC04652-2022-11-01-8739','A486-9','svcuGuaAQUDOWNmr', 'UB')
('AC04652-2022-11-01-8740','A486-10','nISsagh', 'UB')
('AC12058-2022-11-01-8471','A471-11','CLFNaaXkMrXWLfP', 'SL')
('AC22517-2022-11-02-8566','A476-16','XjtaUGSWeeO', 'UB')
('AC22517-2022-11-02-8574','A477-6','uwhVZcpnb', 'SU')
('SL22517-2022-11-02-8413','S351-13','pXpMSzXpF', 'MB')
('AC22517-2022-11-02-8577','A477-9','djK', 'UB')
('AC12058-2022-11-01-8493','A472-15','QUPmlOv', 'UB')
('SL12058-2022-11-01-8295','S346-15','jbkm', 'SL')
('SL04652-2022-11-01-8466','S353-18','yyxHPbDozg', 'MB')
('AC04652-2022-11-01-8766','A487-18','MEVGUxChbuz', 'SU')
('AC12058-2022-11-01-8506','A473-10','qQweYh', 'UB')
('SL22517-2022-11-02-8445','S352-21','nWYLrJROugaLos', 'MB')
('AC12058-2022-11-01-8513','A473-17','RHYkfOQm', 'SL')
('AC04652-2022-11-02-8582','A477-14','Mzrzzj', 'LB')
('AC04652-2022-11-02-8586','A477-18','AlAKKxRJxtTcRRTw', 'SU')
('AC04652-2022-11-01-8786','A489-2','IgRmkKi', 'LB')
('SL22517-2022-11-02-8454','S353-6','O', 'UB')
('SL22517-2022-11-01-8413','S351-13','MvCBL', 'MB')
('SL22517-2022-11-02-8457','S353-9','hdTiEwPWAbQzbvy', 'LB')
('SL22517-2022-11-01-8418','S351-18','AfMIKSARIx', 'MB')
('AC22517-2022-11-02-8627','A480-5','DQFVKKFs', 'SL')
('SL04652-2022-11-01-8497','S355-1','ngWDAjq', 'LB')
('SL22517-2022-11-01-8448','S352-24','Dpxg', 'SU')
('SL12058-2022-11-01-8355','S349-3','lmqUaQdFlr', 'UB')
('SL22517-2022-11-02-8491','S354-19','i', 'UB')
('AC04652-2022-11-01-8831','A491-11','ewcXyXENFSIQXeKu', 'SL')
('AC12058-2022-11-01-8567','A476-17','SYCJNgwQTzZII', 'SL')
('SL12058-2022-11-01-8358','S349-6','CGNV', 'UB')
('SL04652-2022-11-01-8532','S356-12','SJ', 'LB')
('SL04652-2022-11-02-8515','S355-19','fLZllnO', 'UB')
('AC12058-2022-11-01-8572','A477-4','UqQGAsVuEJhmB', 'UB')
('AC22517-2022-11-01-8577','A477-9','UpVHx', 'UB')
('SL22517-2022-11-01-8458','S353-10','LWYaSx', 'MB')
('AC04652-2022-11-01-8841','A492-3','qetSTFw', 'UB')
('SL04652-2022-11-02-8524','S356-4','QmotWghfgRZE', 'LB')
('SL04652-2022-11-02-8527','S356-7','MYKTLUEgf', 'SL')
('AC04652-2022-11-02-8643','A481-3','vBUIBjFk', 'UB')
('AC22517-2022-11-01-8589','A478-3','ccgwZRdPLes', 'UB')
('AC04652-2022-11-01-8850','A492-12','hAVZAUU', 'SU')
('SL12058-2022-11-01-8385','S350-9','rsHCHFuLWUaE', 'LB')
('SL12058-2022-11-01-8386','S350-10','IZeyYQrwqWLsvHU', 'MB')
('SL22517-2022-11-02-8517','S355-21','JDQyj', 'MB')
('SL04652-2022-11-01-8553','S357-9','VyVjCbrxc', 'LB')
('SL22517-2022-11-01-8490','S354-18','WWgf', 'MB')
('SL12058-2022-11-01-8396','S350-20','MXUwbUYtjRHkg', 'LB')
('SL22517-2022-11-01-8492','S354-20','sKwRWlMsxoz', 'LB')
('SL04652-2022-11-01-8555','S357-11','qlFyDDGNTvUQ', 'UB')
('SL04652-2022-11-01-8556','S357-12','YajLgDADVLlFzk', 'LB')
('SL12058-2022-11-01-8399','S350-23','vKVuaUnFNmHPu', 'SL')
('AC04652-2022-11-01-8872','A493-16','BiqgnBRf', 'UB')
('AC04652-2022-11-01-8875','A494-1','PpZdy', 'LB')
('SL22517-2022-11-02-8524','S356-4','JuZIeED', 'LB')
('AC22517-2022-11-02-8698','A484-4','QqacTmxAMN', 'UB')
('AC04652-2022-11-01-8879','A494-5','nPqcgZvAiOfxYk', 'SL')
('SL04652-2022-11-01-8573','S358-5','FIgGqnDXVmuCM', 'MB')
('AC12058-2022-11-01-8626','A480-4','BRaiIFAmjVXxU', 'UB')
('SL12058-2022-11-01-8419','S351-19','BQRtfpwrDf', 'UB')
('SL12058-2022-11-01-8423','S351-23','MQ', 'SL')
('SL22517-2022-11-01-8547','S357-3','uZNY', 'UB')
('SL22517-2022-11-01-8574','S358-6','vdIMSJIMbKV', 'UB')
('SL04652-2022-11-02-8628','S360-12','BCxbtOqGcmTudve', 'LB')
('SL22517-2022-11-02-8598','S359-6','NJsYfPwXjI', 'UB')
('SL22517-2022-11-01-8582','S358-14','JUcvguvD', 'UB')
('SL22517-2022-11-01-8588','S358-20','RXnvWX', 'LB')
('AC04652-2022-11-01-8972','A499-8','wXxvlVzl', 'LB')
('AC04652-2022-11-01-8973','A499-9','IuoMLkEsYSR', 'UB')
('SL04652-2022-11-02-8646','S361-6','HezeIHgIjg', 'UB')
('SL12058-2022-11-01-8491','S354-19','GrzMI', 'UB')
('AC12058-2022-11-01-8705','A484-11','dKbgshZnrsRC', 'SL')
('AC12058-2022-11-01-8708','A484-14','JVDKScxrEENMnJ', 'LB')
('AC22517-2022-11-02-8791','A489-7','qt', 'LB')
('AC22517-2022-11-02-8793','A489-9','ipCIU', 'UB')
('AC04652-2022-11-02-8807','A490-5','jute', 'SL')
('SL12058-2022-11-01-8536','S356-16','Bk', 'SU')
('SL04652-2022-11-02-8703','S363-15','xe', 'SL')
('AC04652-2022-11-01-9041','A503-5','jBnJPUPuwOyUZ', 'SL')
('AC04652-2022-11-02-8828','A491-8','NcQpEwldsbO', 'LB')
('SL12058-2022-11-01-8578','S358-10','QuvVjDrdxddgNhL', 'MB')
('AC22517-2022-11-02-8856','A492-18','QCUIoSj', 'SU')
('AC22517-2022-11-01-8794','A489-10','XGzyQx', 'UB')
('SL22517-2022-11-01-8695','S363-7','TvxfDdUsYdjlw', 'SL')
('SL12058-2022-11-01-8585','S358-17','gxL', 'LB')
('AC22517-2022-11-02-8863','A493-7','MDZZNUUUksfnS', 'LB')
('SL22517-2022-11-02-8740','S365-4','pZYHUOa', 'LB')
('SL22517-2022-11-01-8722','S364-10','iFDKmRZP', 'MB')
('SL22517-2022-11-01-8723','S364-11','GfKfSBr', 'UB')
('SL12058-2022-11-01-8606','S359-14','OjqxWvrjoArx', 'UB')
('AC22517-2022-11-02-8892','A494-18','YJIWzrPK', 'SU')
('SL04652-2022-11-02-8781','S366-21','jtBIgtzmkquHUP', 'MB')
('AC22517-2022-11-01-8835','A491-15','BneF', 'UB')
('SL04652-2022-11-02-8783','S366-23','Ny', 'SL')
('AC04652-2022-11-02-8890','A494-16','BT', 'UB')
('SL04652-2022-11-02-8785','S367-1','mI', 'LB')
('SL22517-2022-11-02-8760','S365-24','wWQPs', 'SU')
('AC04652-2022-11-01-9125','A507-17','cueMiOpUAHHaczu', 'SL')
('SL22517-2022-11-02-8768','S366-8','ACFErbXhpkKQmdwE', 'SU')
('SL04652-2022-11-02-8819','S368-11','KybfDsxKN', 'UB')
('AC12058-2022-11-01-8870','A493-14','QCwxFrhNP', 'LB')
('AC22517-2022-11-02-8933','A497-5','Mijt', 'SL')
('AC22517-2022-11-02-8934','A497-6','kfLAN', 'SU')
('AC04652-2022-11-02-8932','A497-4','LBEhWuM', 'UB')
('AC12058-2022-11-01-8872','A493-16','LkYYzbcWQtzN', 'UB')
('AC12058-2022-11-01-8873','A493-17','clEzFprLdOWKmvA', 'SL')
('SL12058-2022-11-01-8665','S362-1','vQBwuSoNtAfAa', 'LB')
('AC04652-2022-11-01-9151','A509-7','qnFsWOCoGXhUn', 'LB')
('AC04652-2022-11-02-8936','A497-8','aghCdSmcODPW', 'LB')
('SL12058-2022-11-01-8667','S362-3','SXDnKrxUzPYM', 'UB')
('AC22517-2022-11-02-8940','A497-12','kJPNXzQQPShN', 'SU')
('SL04652-2022-11-01-8844','S369-12','XMG', 'LB')
('AC22517-2022-11-02-8981','A499-17','mbnwSgsxc', 'SL')
('SL22517-2022-11-02-8859','S370-3','Ej', 'UB')
('AC12058-2022-11-01-8954','A498-8','FoxPolYIvMbH', 'LB')
('AC22517-2022-11-01-8973','A499-9','X', 'UB')
('SL04652-2022-11-01-8898','S371-18','si', 'MB')
('AC04652-2022-11-01-9242','A514-8','CvGBmXUGl', 'LB')
('SL22517-2022-11-02-8905','S372-1','LAtvoMLBFOznlRz', 'LB')
('SL04652-2022-11-01-8902','S371-22','kSgB', 'UB')
('AC22517-2022-11-01-8980','A499-16','kTdIFSqbyxe', 'UB')
('SL04652-2022-11-02-8916','S372-12','OTKUWWDYKLTHA', 'LB')
('SL12058-2022-11-01-8763','S366-3','TBiB', 'UB')
('SL04652-2022-11-02-8920','S372-16','eeibFdiGrakkiro', 'SU')
('SL04652-2022-11-02-8929','S373-1','gLhSjHQwFkOnvpSy', 'LB')
('AC04652-2022-11-01-9256','A515-4','vhA', 'UB')
('AC04652-2022-11-01-9278','A516-8','WZfoqtAqVaxeWOF', 'LB')
('SL22517-2022-11-01-8907','S372-3','TuykbUIoA', 'UB')
('AC04652-2022-11-01-9333','A519-9','ZoxjSSNFrK', 'UB')
('AC22517-2022-11-01-9118','A507-10','KTUxTVElg', 'UB')
('AC22517-2022-11-01-9201','A512-3','zOjoOoFVt', 'UB')
('SL04652-2022-11-01-9117','S380-21','RJEzkMRjutWsI', 'MB')
('AC04652-2022-11-01-9468','A526-18','PhWeAGTRqjEpwa', 'SU')
('SL22517-2022-11-01-9083','S379-11','NhNAUHW', 'UB')
('AC22517-2022-11-02-9263','A515-11','XIQQQbfrNRM', 'SL')
('AC22517-2022-11-01-9216','A512-18','srJFu', 'SU')
('SL22517-2022-11-01-9091','S379-19','LuMleoGPR', 'UB')
('SL22517-2022-11-01-9094','S379-22','SAyfX', 'UB')
('AC04652-2022-11-01-9481','A527-13','idlcfKwf', 'LB')
('AC04652-2022-11-01-9482','A527-14','EBtq', 'LB')
('SL04652-2022-11-01-9133','S381-13','abuy', 'MB')
('SL12058-2022-11-01-9025','S377-1','c', 'LB')
('SL12058-2022-11-01-9026','S377-2','lhRSpNvVwMBols', 'MB')
('SL22517-2022-11-01-9099','S380-3','WNaD', 'UB')
('SL12058-2022-11-01-9028','S377-4','uSIePxAFM', 'LB')
('SL12058-2022-11-01-9029','S377-5','iGn', 'MB')
('AC22517-2022-11-02-9272','A516-2','tKqVSOytoXRU', 'LB')
('SL04652-2022-11-02-9153','S382-9','gjy', 'LB')
('AC04652-2022-11-01-9490','A528-4','In', 'UB')
('SL04652-2022-11-01-9145','S382-1','hgdfIzLIl', 'LB')
('AC12058-2022-11-01-9219','A513-3','oQCMwcdNYbafkDTe', 'UB')
('AC04652-2022-11-02-9264','A515-12','UdQseF', 'SU')
('AC22517-2022-11-01-9261','A515-9','ESlUUBEL', 'UB')
('AC04652-2022-11-02-9285','A516-15','knQMtbO', 'UB')
('SL22517-2022-11-01-9127','S381-7','fWMTcP', 'SL')
('SL22517-2022-11-02-9172','S383-4','TjJ', 'LB')
('SL04652-2022-11-02-9182','S383-14','WW', 'UB')
('SL22517-2022-11-01-9131','S381-11','ZIFxtJ', 'UB')
('SL04652-2022-11-02-9185','S383-17','Y', 'LB')
('SL04652-2022-11-02-9186','S383-18','A', 'MB')
('AC12058-2022-11-01-9248','A514-14','LaURaRZDEo', 'LB')
('AC04652-2022-11-02-9301','A517-13','ibzVaEpoyDnVBAw', 'LB')
('AC12058-2022-11-01-9253','A515-1','jQigoDmuPvgaiQ', 'LB')
('AC22517-2022-11-02-9311','A518-5','N', 'SL')
('AC12058-2022-11-01-9254','A515-2','hpuPcazYqTXgKTw', 'LB')
('SL22517-2022-11-01-9141','S381-21','hjoAVco', 'MB')
('AC12058-2022-11-01-9257','A515-5','MUengSyAncLg', 'SL')
('AC22517-2022-11-02-9315','A518-9','ZeoJVlQGgpeBfy', 'UB')
('AC12058-2022-11-01-9259','A515-7','VWqldsPncAmt', 'LB')
('AC04652-2022-11-02-9321','A518-15','CcD', 'UB')
('AC12058-2022-11-01-9277','A516-7','YpWjyGmF', 'LB')
('AC04652-2022-11-01-9548','A531-8','QrSspyOCmQ', 'LB')
('AC04652-2022-11-01-9549','A531-9','Ywhaw', 'UB')
('AC04652-2022-11-01-9550','A531-10','DgBPI', 'UB')
('SL22517-2022-11-01-9163','S382-19','OnQjX', 'UB')
('SL04652-2022-11-02-9212','S384-20','bokrCPScnjcVCosB', 'LB')
('AC04652-2022-11-01-9551','A531-11','lPg', 'SL')
('AC12058-2022-11-01-9314','A518-8','dtErTakCQKbaO', 'LB')
('AC22517-2022-11-02-9363','A521-3','dDFNujKRP', 'UB')
('SL12058-2022-11-01-9121','S381-1','wrAVO', 'LB')
('AC04652-2022-11-02-9382','A522-4','LLWmxBhpcOq', 'UB')
('SL04652-2022-11-02-9245','S386-5','JptYHWky', 'MB')
('SL04652-2022-11-02-9246','S386-6','wpzSxEeq', 'UB')
('AC04652-2022-11-01-9601','A534-7','dnYDExoBwArGgy', 'LB')
('AC12058-2022-11-01-9332','A519-8','YwrkCES', 'LB')
('SL22517-2022-11-02-9264','S386-24','PbmgAUHGya', 'SU')
('SL04652-2022-11-02-9267','S387-3','LsCMBJv', 'UB')
('SL04652-2022-11-01-9250','S386-10','ku', 'MB')
('AC22517-2022-11-01-9358','A520-16','ObKcfYjGtuXHv', 'UB')
('SL22517-2022-11-02-9278','S387-14','eKSNcGZk', 'UB')
('SL04652-2022-11-01-9255','S386-15','siQqAQByrH', 'SL')
('AC22517-2022-11-01-9362','A521-2','vgQzmZeXtsmUHO', 'LB')
('SL04652-2022-11-01-9258','S386-18','moXTBQa', 'MB')
('SL04652-2022-11-02-9281','S387-17','gQFXAoIZL', 'LB')
('SL12058-2022-11-01-9157','S382-13','OSadbDRp', 'MB')
('SL04652-2022-11-01-9285','S387-21','IyvWkDotnVldyZXe', 'MB')
('AC12058-2022-11-01-9395','A522-17','Is', 'SL')
('SL22517-2022-11-01-9280','S387-16','plEyHVnSPoQ', 'SU')
('AC12058-2022-11-01-9436','A525-4','AbNlimbWeg', 'UB')
('SL12058-2022-11-01-9251','S386-11','ANyWZQzeskWpK', 'UB')
('SL22517-2022-11-02-9366','S391-6','tnGfZoFQ', 'UB')
('SL12058-2022-11-01-9252','S386-12','CGeKfTDaVkBD', 'LB')
('SL22517-2022-11-01-9320','S389-8','scnmYAJna', 'SU')
('SL04652-2022-11-02-9367','S391-7','pknqlHNNpUxQiCW', 'SL')
('AC04652-2022-11-02-9486','A527-18','MmD', 'SU')
('SL04652-2022-11-02-9370','S391-10','eNIo', 'MB')
('AC12058-2022-11-01-9471','A527-3','cUZAHRGW', 'UB')
('AC22517-2022-11-01-9491','A528-5','aiyoOoPFepjs', 'SL')
('AC04652-2022-11-01-9769','A543-13','afvUElVtOUpKfjTO', 'LB')
('SL04652-2022-11-01-9409','S393-1','EQBvnTnkENikSq', 'LB')
('SL22517-2022-11-01-9363','S391-3','MQzNiywivrBj', 'UB')
('SL04652-2022-11-01-9410','S393-2','YmCkivJmCASCEPKW', 'MB')
('SL22517-2022-11-02-9422','S393-14','GQbATPFHAFCnn', 'UB')
('AC22517-2022-11-02-9528','A530-6','AM', 'SU')
('AC22517-2022-11-02-9564','A532-6','CfVDlcCV', 'SU')
('SL12058-2022-11-01-9327','S389-15','sTZqIHbTNQHa', 'SL')
('AC12058-2022-11-01-9537','A530-15','o', 'UB')
