('SL22517-2022-11-02-1231','S52-7','KhETARuWtySMXFyh', 'SL')
('SL22517-2022-11-01-1819','S76-19','nPtlMZArDNhOhJx', 'UB')
('AC22517-2022-11-01-1821','A102-3','X', 'UB')
('AC22517-2022-11-01-1822','A102-4','HgUzPDp', 'UB')
('SL04652-2022-11-01-1869','S78-21','rQurJdPYXjRWMHux', 'MB')
('AC12058-2022-11-01-1850','A103-14','wQZtD', 'LB')
('AC04652-2022-11-02-1894','A106-4','ZYGgGtLADg', 'UB')
('SL22517-2022-11-01-1821','S76-21','y', 'MB')
('AC04652-2022-11-01-1854','A103-18','oMLuvJXYmfs', 'SU')
('SL04652-2022-11-01-1872','S78-24','OKjvDWagiFzuHfyh', 'SU')
('AC22517-2022-11-01-1825','A102-7','xgZiUfpAEFpOZ', 'LB')
('SL04652-2022-11-02-1830','S77-6','mJjQWMvhlND', 'UB')
('AC04652-2022-11-01-1857','A104-3','IwtoVovcLBfLEc', 'UB')
('SL22517-2022-11-02-1850','S78-2','qzGOKoUgMy', 'MB')
('SL22517-2022-11-01-1824','S76-24','uMFAD', 'SU')
('SL22517-2022-11-01-1825','S77-1','uulWRD', 'LB')
('SL04652-2022-11-01-1875','S79-3','KLMfGIZ', 'UB')
('AC04652-2022-11-01-1859','A104-5','LdYSQsX', 'SL')
('AC22517-2022-11-02-1934','A108-8','tFwXogcijgXe', 'LB')
('SL22517-2022-11-02-1854','S78-6','kCzRcuOOgq', 'UB')
('SL04652-2022-11-02-1832','S77-8','wCIeVMmjHRBBAq', 'SU')
('SL22517-2022-11-02-1856','S78-8','YXvKxBkWMJaoJyGa', 'SU')
('SL04652-2022-11-02-1834','S77-10','fxSxQUIwBWeegN', 'MB')
('AC22517-2022-11-01-1829','A102-11','jeBlvtXTbxqQH', 'SL')
('AC12058-2022-11-01-1857','A104-3','IMtPoBpDNiepCxAj', 'UB')
('AC12058-2022-11-01-1858','A104-4','UZPQxlVSKfmxs', 'UB')
('AC04652-2022-11-02-1907','A106-17','ccgJpDPsjLKP', 'SL')
('AC22517-2022-11-01-1830','A102-12','LOYctjfw', 'SU')
('SL22517-2022-11-02-1860','S78-12','MfqDXOB', 'LB')
('AC22517-2022-11-02-1938','A108-12','UZMEKxYF', 'SU')
('SL04652-2022-11-02-1837','S77-13','DiHcAqw', 'MB')
('SL22517-2022-11-02-1865','S78-17','SormVjipOJAoEe', 'LB')
('AC04652-2022-11-01-1860','A104-6','KPOLCjOzmtuXYqE', 'SU')
('SL04652-2022-11-01-1883','S79-11','ycTLrSw', 'UB')
('SL04652-2022-11-01-1884','S79-12','EcbmCcJR', 'LB')
('AC04652-2022-11-02-1911','A107-3','XvnLpb', 'UB')
('AC12058-2022-11-01-1861','A104-7','FRLOnZ', 'LB')
('SL04652-2022-11-01-1885','S79-13','LoVIOTFebUMjuS', 'MB')
('SL12058-2022-11-01-1871','S78-23','xcgyZLUslqFmgg', 'SL')
('SL04652-2022-11-02-1839','S77-15','FOTjOlehnbjesHq', 'SL')
('SL04652-2022-11-02-1840','S77-16','VtJ', 'SU')
('AC04652-2022-11-02-1914','A107-6','zltxKiZMeUNP', 'SU')
('SL04652-2022-11-01-1888','S79-16','YEkpBOPQNldTlE', 'SU')
('AC22517-2022-11-02-1944','A108-18','BIJxEaDr', 'SU')
('SL12058-2022-11-01-1876','S79-4','sJs', 'LB')
('SL04652-2022-11-01-1890','S79-18','YbmDkZxrlzL', 'MB')
('AC04652-2022-11-02-1916','A107-8','bv', 'LB')
('SL12058-2022-11-01-1878','S79-6','crlyQnFctWekZtH', 'UB')
('AC04652-2022-11-02-1917','A107-9','zwZuoMIjIOWIeswP', 'UB')
('SL12058-2022-11-01-1879','S79-7','wrQ', 'SL')
('AC12058-2022-11-01-1865','A104-11','zZItWpefMk', 'SL')
('SL12058-2022-11-01-1881','S79-9','bwVFmypsKJovDk', 'LB')
('SL12058-2022-11-01-1883','S79-11','YnLtoWwmaTRc', 'UB')
('SL04652-2022-11-01-1897','S80-1','KunyNZhjFEj', 'LB')
('SL04652-2022-11-02-1845','S77-21','JdakYKzlHr', 'MB')
('AC04652-2022-11-01-1870','A104-16','B', 'UB')
('AC04652-2022-11-01-1871','A104-17','DxqbBEK', 'SL')
('SL04652-2022-11-02-1846','S77-22','gmVAhXIe', 'UB')
('AC12058-2022-11-01-1869','A104-15','ytwYxxxdwt', 'UB')
('AC04652-2022-11-01-1875','A105-3','ypLDlGtAolpc', 'UB')
('SL22517-2022-11-01-1834','S77-10','vzqiODeHIykh', 'MB')
('AC04652-2022-11-02-1922','A107-14','AFf', 'LB')
('SL04652-2022-11-01-1900','S80-4','zpamoGXtWtiO', 'LB')
('AC04652-2022-11-01-1876','A105-4','aHUqG', 'UB')
('SL04652-2022-11-02-1849','S78-1','T', 'LB')
('AC22517-2022-11-02-1949','A109-5','hVOWuwKOl', 'SL')
('SL22517-2022-11-02-1877','S79-5','nfbTGEQt', 'MB')
('SL22517-2022-11-02-1878','S79-6','qSvDOIBBosvdc', 'UB')
('AC12058-2022-11-01-1877','A105-5','UjLNzXLQyp', 'SL')
('SL22517-2022-11-02-1879','S79-7','jSiTxoGOSw', 'SL')
('SL22517-2022-11-02-1880','S79-8','mxEvVof', 'SU')
('SL04652-2022-11-02-1854','S78-6','WeGtXXRdGgn', 'UB')
('SL04652-2022-11-01-1905','S80-9','NZzi', 'LB')
('SL04652-2022-11-01-1906','S80-10','tR', 'MB')
('SL04652-2022-11-02-1855','S78-7','VdAMrJQpxbvoRxGN', 'SL')
('SL04652-2022-11-01-1909','S80-13','dtNqW', 'MB')
('SL04652-2022-11-02-1857','S78-9','qAXi', 'LB')
('SL04652-2022-11-01-1911','S80-15','yeTbJNo', 'SL')
('AC22517-2022-11-02-1960','A109-16','tpWiARXnBpgzZWJy', 'UB')
('AC04652-2022-11-02-1931','A108-5','eLKcquQ', 'SL')
('AC04652-2022-11-02-1932','A108-6','KPoLefxub', 'SU')
('SL22517-2022-11-02-1885','S79-13','wOVslVyF', 'MB')
('AC04652-2022-11-01-1890','A105-18','sbcUjf', 'SU')
('AC22517-2022-11-01-1858','A104-4','bKRplZClnEuf', 'UB')
('AC12058-2022-11-01-1884','A105-12','L', 'SU')
('AC12058-2022-11-01-1885','A105-13','HlMYnf', 'LB')
('SL12058-2022-11-01-1901','S80-5','jCIwbLfeYIWL', 'MB')
('AC12058-2022-11-01-1889','A105-17','JtnBCFJmmL', 'SL')
('AC04652-2022-11-01-1892','A106-2','FiKtoFOeguDWZrK', 'LB')
('AC04652-2022-11-01-1894','A106-4','dpuptgLaYxNKdLk', 'UB')
('AC04652-2022-11-02-1944','A108-18','GRQhmbJHBrPeynr', 'SU')
('AC22517-2022-11-01-1864','A104-10','tMgKpUVI', 'UB')
('AC04652-2022-11-01-1896','A106-6','LrRCnVQ', 'SU')
('AC04652-2022-11-01-1897','A106-7','rIdrAMNQmsl', 'LB')
('AC22517-2022-11-01-1866','A104-12','PrDnB', 'SU')
('SL04652-2022-11-02-1874','S79-2','YQUCvHAlaqH', 'MB')
('SL04652-2022-11-01-1919','S80-23','IJyGLxjMJkC', 'SL')
('AC12058-2022-11-01-1890','A105-18','iryeTe', 'SU')
('SL12058-2022-11-01-1905','S80-9','lLpNKegw', 'LB')
('SL04652-2022-11-01-1920','S80-24','yUEpyBDUQ', 'SU')
('SL04652-2022-11-01-1921','S81-1','RGf', 'LB')
('AC22517-2022-11-02-1977','A110-15','A', 'UB')
('SL04652-2022-11-01-1922','S81-2','Iw', 'MB')
('SL22517-2022-11-01-1857','S78-9','Taa', 'LB')
('SL04652-2022-11-02-1876','S79-4','oWpD', 'LB')
('AC04652-2022-11-01-1899','A106-9','OEgFCQtALxlzWM', 'UB')
('SL04652-2022-11-01-1925','S81-5','DeIxFXaMl', 'MB')
('SL12058-2022-11-01-1910','S80-14','jDBMT', 'UB')
('AC04652-2022-11-01-1901','A106-11','GzpddjDPxsH', 'SL')
('SL12058-2022-11-01-1911','S80-15','nYX', 'SL')
('SL12058-2022-11-01-1912','S80-16','dRgt', 'SU')
('AC04652-2022-11-02-1954','A109-10','CbgqGEBAM', 'UB')
('SL04652-2022-11-02-1880','S79-8','NBsGizvVPCKt', 'SU')
('SL04652-2022-11-02-1882','S79-10','HEOfyalsFzhYbBp', 'MB')
('SL22517-2022-11-01-1863','S78-15','ojNeCIVyoGJtTBu', 'SL')
('AC22517-2022-11-01-1874','A105-2','Bes', 'LB')
('SL22517-2022-11-02-1906','S80-10','ACJYgiKsIplfs', 'MB')
('AC22517-2022-11-02-1987','A111-7','XjAF', 'LB')
('SL12058-2022-11-01-1914','S80-18','bDJiGVkoUVYEzHaF', 'MB')
('SL04652-2022-11-02-1886','S79-14','IzXGbfAsfUufcT', 'UB')
('AC12058-2022-11-01-1901','A106-11','rOpjTOIQm', 'SL')
('AC04652-2022-11-02-1960','A109-16','ZeJFcPz', 'UB')
('AC22517-2022-11-01-1876','A105-4','cKQuEojtxU', 'UB')
('AC22517-2022-11-01-1877','A105-5','IzzvyMoBMWBYv', 'SL')
('AC04652-2022-11-01-1910','A107-2','HDKheaOoSoLQK', 'LB')
('SL04652-2022-11-02-1890','S79-18','FVn', 'MB')
('AC04652-2022-11-01-1913','A107-5','BJatSxeZYglXqKVz', 'SL')
('AC12058-2022-11-01-1904','A106-14','bECGFEXDHoMtHVlj', 'LB')
('SL22517-2022-11-01-1866','S78-18','MbymQZciNEmPo', 'MB')
('SL04652-2022-11-01-1932','S81-12','QBs', 'LB')
('AC12058-2022-11-01-1907','A106-17','AUeAubfwD', 'SL')
('AC22517-2022-11-01-1884','A105-12','cHUhfFx', 'SU')
('AC22517-2022-11-02-1992','A111-12','nAoHMJFsE', 'SU')
('AC12058-2022-11-01-1910','A107-2','RvlJpukxlnBXp', 'LB')
('AC22517-2022-11-02-1994','A111-14','BYyXGb', 'LB')
('AC22517-2022-11-02-1995','A111-15','VKEYMscHl', 'UB')
('SL22517-2022-11-02-1914','S80-18','k', 'MB')
('AC22517-2022-11-02-1997','A111-17','aJAnFTSvNTbXKo', 'SL')
('SL22517-2022-11-01-1874','S79-2','WRAsygmpSLxwJDvx', 'MB')
('SL12058-2022-11-01-1927','S81-7','VAdI', 'SL')
('SL12058-2022-11-01-1928','S81-8','ajT', 'SU')
('SL04652-2022-11-02-1895','S79-23','jyAmKV', 'SL')
('SL22517-2022-11-02-1916','S80-20','RDcBFVUUW', 'LB')
('AC04652-2022-11-02-1972','A110-10','yfSzITy', 'UB')
('SL04652-2022-11-01-1938','S81-18','jldYX', 'MB')
('AC12058-2022-11-01-1914','A107-6','smovHM', 'SU')
('SL12058-2022-11-01-1937','S81-17','nwnF', 'LB')
('SL04652-2022-11-01-1940','S81-20','GGK', 'LB')
('AC04652-2022-11-01-1924','A107-16','sFmddvGdkEOUdVhM', 'UB')
('SL04652-2022-11-01-1943','S81-23','nC', 'SL')
('AC22517-2022-11-01-1894','A106-4','JGIGB', 'UB')
('SL04652-2022-11-02-1898','S80-2','xMm', 'MB')
('SL04652-2022-11-02-1899','S80-3','AjYzhyanRuw', 'UB')
('SL22517-2022-11-01-1879','S79-7','tnLpc', 'SL')
('AC22517-2022-11-01-1895','A106-5','RItbsJZPZHEt', 'SL')
('SL22517-2022-11-02-1919','S80-23','tmWxvZNuY', 'SL')
('SL12058-2022-11-01-1941','S81-21','vRIUfzi', 'MB')
('SL04652-2022-11-01-1948','S82-4','rZpCNjkNFvJhn', 'LB')
('AC12058-2022-11-01-1921','A107-13','TAqNMlItSBu', 'LB')
('AC22517-2022-11-02-2010','A112-12','DvHvBBLkUQIiD', 'SU')
('SL04652-2022-11-01-1950','S82-6','RlWcHgKqLBmySOYK', 'UB')
('SL22517-2022-11-02-1928','S81-8','SSNoWCNBg', 'SU')
('AC22517-2022-11-02-2014','A112-16','XWEgEHrKXCvOLYj', 'UB')
('SL12058-2022-11-01-1947','S82-3','XWsUvxAdQrwuYgfe', 'UB')
('SL12058-2022-11-01-1948','S82-4','magaikicELRldtWQ', 'LB')
('AC22517-2022-11-02-2016','A112-18','evhrKr', 'SU')
('AC04652-2022-11-01-1931','A108-5','rhkxs', 'SL')
('SL22517-2022-11-02-1931','S81-11','N', 'UB')
('SL04652-2022-11-02-1909','S80-13','fHYI', 'MB')
('SL22517-2022-11-02-1934','S81-14','X', 'UB')
('AC12058-2022-11-01-1928','A108-2','Unz', 'LB')
('AC22517-2022-11-01-1906','A106-16','C', 'UB')
('AC04652-2022-11-02-1992','A111-12','rwicFNbCIW', 'SU')
('AC22517-2022-11-02-2021','A113-5','qTsogx', 'SL')
('AC22517-2022-11-02-2022','A113-6','JKvrayJwi', 'SU')
('AC22517-2022-11-01-1908','A106-18','dSMprNxYoAofJWo', 'SU')
('AC22517-2022-11-01-1909','A107-1','UmWCRCtuYKo', 'LB')
('SL22517-2022-11-01-1897','S80-1','aiFnWYUYuTnymg', 'LB')
('SL04652-2022-11-02-1912','S80-16','tDMSNmtjrXHcvM', 'SU')
('SL12058-2022-11-01-1953','S82-9','nCZFIvJKeRXqLNJ', 'LB')
('SL12058-2022-11-01-1954','S82-10','dmOjaCPm', 'MB')
('AC04652-2022-11-01-1940','A108-14','wqTr', 'LB')
('AC22517-2022-11-01-1914','A107-6','FCftattaHaXpolB', 'SU')
('SL22517-2022-11-01-1904','S80-8','HFY', 'SU')
('SL22517-2022-11-02-1942','S81-22','aTJpn', 'UB')
('AC22517-2022-11-02-2028','A113-12','nNevQuEBPyMCUQJh', 'SU')
('AC22517-2022-11-01-1915','A107-7','GkVVy', 'LB')
('AC04652-2022-11-01-1942','A108-16','CFwMzOzciveLVcGo', 'UB')
('SL04652-2022-11-01-1966','S82-22','P', 'UB')
('SL22517-2022-11-01-1905','S80-9','XijwBWA', 'LB')
('SL22517-2022-11-02-1944','S81-24','AkpiGVwJ', 'SU')
('AC12058-2022-11-01-1936','A108-10','gQKmyxuLgZWNAt', 'UB')
('AC04652-2022-11-02-2002','A112-4','tpMx', 'UB')
('SL22517-2022-11-02-1947','S82-3','TPJ', 'UB')
('SL22517-2022-11-02-1948','S82-4','mMIpJTgsEwuPvunf', 'LB')
('SL04652-2022-11-02-1919','S80-23','WrNpHDWaofZ', 'SL')
('AC12058-2022-11-01-1941','A108-15','ptt', 'UB')
('SL22517-2022-11-02-1949','S82-5','xIqlXacsyAheRS', 'MB')
('SL04652-2022-11-01-1971','S83-3','LsUKRcHIfHRk', 'UB')
('AC22517-2022-11-01-1919','A107-11','YamNdSpCixlXCmVu', 'SL')
('SL04652-2022-11-02-1921','S81-1','DGmhyhM', 'LB')
('AC04652-2022-11-02-2010','A112-12','bmRXeRQKJ', 'SU')
('AC04652-2022-11-01-1949','A109-5','hZxxepaEJuQW', 'SL')
('SL22517-2022-11-01-1913','S80-17','ReQLWMnISdNDxF', 'LB')
('SL04652-2022-11-01-1977','S83-9','tD', 'LB')
('AC22517-2022-11-01-1922','A107-14','nGIXOWDniGQG', 'LB')
('AC22517-2022-11-01-1923','A107-15','NRqZiLMkE', 'UB')
('SL22517-2022-11-02-1957','S82-13','bcBABImSUWDP', 'MB')
('SL12058-2022-11-01-1973','S83-5','HQhZToQUqnjef', 'MB')
('SL04652-2022-11-01-1984','S83-16','gPVnWTVsnbARj', 'SU')
('AC22517-2022-11-02-2046','A114-12','NNpCIFhJCxlFqQeT', 'SU')
('SL22517-2022-11-01-1918','S80-22','HJ', 'UB')
('SL22517-2022-11-02-1967','S82-23','v', 'SL')
('SL04652-2022-11-01-1985','S83-17','r', 'LB')
('SL12058-2022-11-01-1982','S83-14','eTPZdowFVmHcURAO', 'UB')
('AC04652-2022-11-01-1956','A109-12','cLe', 'SU')
('AC22517-2022-11-01-1935','A108-9','FkUhtSFdFXlNpym', 'UB')
('AC22517-2022-11-01-1936','A108-10','BUJwsMFbL', 'UB')
('SL12058-2022-11-01-1985','S83-17','ZIp', 'LB')
('SL22517-2022-11-01-1938','S81-18','RgMtAvUtdBiUgnRL', 'MB')
('SL04652-2022-11-02-1947','S82-3','JhG', 'UB')
('AC04652-2022-11-01-1960','A109-16','qcbwNCsCEkhOIk', 'UB')
('SL12058-2022-11-01-2002','S84-10','KIgqBbMEDafrFz', 'MB')
('AC04652-2022-11-01-1962','A109-18','ZkbVsmxYKPDpj', 'SU')
('AC04652-2022-11-01-1963','A110-1','gGTDWIMLin', 'LB')
('SL22517-2022-11-02-1974','S83-6','NrYghK', 'UB')
('SL04652-2022-11-02-1950','S82-6','edn', 'UB')
('AC04652-2022-11-02-2030','A113-14','stl', 'LB')
('AC04652-2022-11-01-1967','A110-5','PEs', 'SL')
('SL04652-2022-11-01-1998','S84-6','cmA', 'UB')
('AC22517-2022-11-01-1941','A108-15','xvR', 'UB')
('SL04652-2022-11-01-2000','S84-8','UPJUygNeMHwQ', 'SU')
('SL12058-2022-11-01-2008','S84-16','pkAICnDGhQOfwoY', 'SU')
('SL22517-2022-11-01-1945','S82-1','ulWX', 'LB')
('SL12058-2022-11-01-2009','S84-17','kkUtksuL', 'LB')
('AC04652-2022-11-01-1970','A110-8','vYkPuitenJCGFhu', 'LB')
('SL04652-2022-11-02-1954','S82-10','iBjOiuimhBXhjah', 'MB')
('AC04652-2022-11-02-2035','A114-1','DeboCnrxzI', 'LB')
('SL04652-2022-11-01-2007','S84-15','IgJnbCgcaBZCwlV', 'SL')
('SL04652-2022-11-01-2008','S84-16','DbnFCEOXGtMW', 'SU')
('SL04652-2022-11-01-2010','S84-18','fAJYuLMPcDQHe', 'MB')
('SL22517-2022-11-02-1981','S83-13','fwrpokAeQTKCB', 'MB')
('SL04652-2022-11-01-2012','S84-20','NdMXvTBiFxwbEr', 'LB')
('AC22517-2022-11-01-1949','A109-5','SOftDKeo', 'SL')
('AC22517-2022-11-02-2065','A115-13','aFGBbYmLRgk', 'LB')
('SL04652-2022-11-01-2015','S84-23','eriILANxhYAKi', 'SL')
('SL04652-2022-11-01-2017','S85-1','jpvrlcyIMOkEFFW', 'LB')
('AC12058-2022-11-01-1972','A110-10','dck', 'UB')
('SL04652-2022-11-02-1959','S82-15','eZCSdIF', 'SL')
('SL22517-2022-11-01-1955','S82-11','Shc', 'UB')
('AC12058-2022-11-01-1973','A110-11','IYmTKFl', 'SL')
('AC22517-2022-11-02-2069','A115-17','fgIhIvdFCIZYv', 'SL')
('AC04652-2022-11-01-1980','A110-18','he', 'SU')
('AC12058-2022-11-01-1974','A110-12','TyqZNgaAjNYb', 'SU')
('AC22517-2022-11-02-2070','A115-18','x', 'SU')
('AC22517-2022-11-01-1958','A109-14','Isc', 'LB')
('SL04652-2022-11-02-1963','S82-19','ZquBiwFNKOelxmTB', 'UB')
('AC22517-2022-11-01-1960','A109-16','rxqxAsUho', 'UB')
('AC22517-2022-11-01-1961','A109-17','nJCmsZeWmrKCvuS', 'SL')
('AC12058-2022-11-01-1977','A110-15','onsYZ', 'UB')
('SL22517-2022-11-02-1995','S84-3','RoMtsILYmLLi', 'UB')
('SL22517-2022-11-01-1958','S82-14','fDWeQOgwZgTPw', 'UB')
('SL04652-2022-11-01-2024','S85-8','UsAZNVYKvSwRB', 'SU')
('AC04652-2022-11-01-1985','A111-5','RpWqgVBdTs', 'SL')
('SL12058-2022-11-01-2026','S85-10','bNzJIbZTWyd', 'MB')
('SL04652-2022-11-01-2025','S85-9','FNuERssGAhCwy', 'LB')
('SL22517-2022-11-02-1998','S84-6','xndZQvHxT', 'UB')
('AC04652-2022-11-02-2051','A114-17','mjJUBRUAosLWwgFJ', 'SL')
('SL04652-2022-11-01-2026','S85-10','YUcwSvnUwwIdrY', 'MB')
('SL04652-2022-11-01-2027','S85-11','WeiMwtWGynJIBN', 'UB')
('AC12058-2022-11-01-1979','A110-17','iXL', 'SL')
('SL12058-2022-11-01-2028','S85-12','e', 'LB')
('AC04652-2022-11-02-2054','A115-2','rhDvtXmX', 'LB')
('AC04652-2022-11-01-1988','A111-8','EmECLrsYrpckziW', 'LB')
('AC22517-2022-11-02-2079','A116-9','VZOwTNf', 'UB')
('SL12058-2022-11-01-2030','S85-14','JGi', 'UB')
('SL12058-2022-11-01-2031','S85-15','vOGVF', 'SL')
('AC04652-2022-11-01-1992','A111-12','OV', 'SU')
('AC04652-2022-11-01-1993','A111-13','LGeGTiFljJRSfxaJ', 'LB')
('SL12058-2022-11-01-2034','S85-18','EHhbSASHBPcWl', 'MB')
('SL04652-2022-11-01-2034','S85-18','jDeGAwS', 'MB')
('AC22517-2022-11-01-1965','A110-3','rifJcst', 'UB')
('SL22517-2022-11-02-2009','S84-17','yGFPO', 'LB')
('SL22517-2022-11-02-2010','S84-18','USaGiBTQjhCs', 'MB')
('SL22517-2022-11-02-2011','S84-19','AeJDkJGYkuSHWSOA', 'UB')
('SL04652-2022-11-01-2037','S85-21','RqBxjL', 'MB')
('AC04652-2022-11-01-1996','A111-16','m', 'UB')
('AC04652-2022-11-01-1997','A111-17','XjNImpbyeBTK', 'SL')
('SL04652-2022-11-02-1978','S83-10','zLYEfw', 'MB')
('SL12058-2022-11-01-2041','S86-1','rkxeUxYAUVIAB', 'LB')
('SL04652-2022-11-02-1982','S83-14','vUIQEIdzFsQSXn', 'UB')
('SL22517-2022-11-02-2013','S84-21','MFgSjLwXUCxlfOQn', 'MB')
('SL22517-2022-11-02-2014','S84-22','xEbyIyyBwihqUfi', 'UB')
('AC04652-2022-11-01-2004','A112-6','EJvSC', 'SU')
('SL12058-2022-11-01-2043','S86-3','YLWk', 'UB')
('SL04652-2022-11-01-2046','S86-6','AOJkIQwwlPrors', 'UB')
('SL22517-2022-11-02-2018','S85-2','H', 'MB')
('SL12058-2022-11-01-2044','S86-4','MKN', 'LB')
('SL22517-2022-11-01-1978','S83-10','SfI', 'MB')
('AC12058-2022-11-01-1992','A111-12','aXEWNgCBq', 'SU')
('AC22517-2022-11-02-2091','A117-3','qHEJNju', 'UB')
('AC22517-2022-11-02-2092','A117-4','zc', 'UB')
('SL04652-2022-11-01-2049','S86-9','yFhvaUJlNXUGLNO', 'LB')
('AC22517-2022-11-01-1977','A110-15','ukqlzDqkewKSM', 'UB')
('AC22517-2022-11-01-1978','A110-16','kOyzRsLqVdfCV', 'UB')
('SL04652-2022-11-02-1987','S83-19','eqwLydbbedGo', 'UB')
('AC22517-2022-11-01-1980','A110-18','raLfPQZ', 'SU')
('SL12058-2022-11-01-2046','S86-6','JuDsODBjZJMqaMAR', 'UB')
('AC22517-2022-11-01-1981','A111-1','LwxRF', 'LB')
('SL04652-2022-11-01-2053','S86-13','rMEsbVLeLQr', 'MB')
('SL04652-2022-11-02-1988','S83-20','AImOFGIBjXMWMM', 'LB')
('SL22517-2022-11-02-2023','S85-7','ZIwM', 'SL')
('SL04652-2022-11-02-1989','S83-21','JSXjPubLNMB', 'MB')
('AC04652-2022-11-02-2073','A116-3','V', 'UB')
('AC22517-2022-11-01-1984','A111-4','WUNhZSpjHglnvo', 'UB')
('SL22517-2022-11-01-1990','S83-22','rJRI', 'UB')
('SL12058-2022-11-01-2053','S86-13','CKZNdCXnfoKN', 'MB')
('SL04652-2022-11-01-2059','S86-19','BVauDUWQnMB', 'UB')
('AC12058-2022-11-01-1998','A111-18','SPYkMGTLqpkqp', 'SU')
('AC04652-2022-11-02-2076','A116-6','vftPoEzvKUSzBdf', 'SU')
('SL04652-2022-11-02-1995','S84-3','isdp', 'UB')
('SL12058-2022-11-01-2055','S86-15','Fnvmlos', 'SL')
('SL22517-2022-11-01-1993','S84-1','PqxsnhOsGJt', 'LB')
('AC22517-2022-11-02-2100','A117-12','ChIMqafbA', 'SU')
('AC04652-2022-11-02-2080','A116-10','IipRvHOHmYR', 'UB')
('SL22517-2022-11-01-1995','S84-3','UOfIkhfhhHoPC', 'UB')
('SL22517-2022-11-01-1996','S84-4','JAodAScenwBxMd', 'LB')
('AC04652-2022-11-01-2018','A113-2','QiPtoSKlfW', 'LB')
('SL22517-2022-11-02-2027','S85-11','hSgl', 'UB')
('SL22517-2022-11-01-1999','S84-7','kxi', 'SL')
('SL04652-2022-11-02-1998','S84-6','JtsNq', 'UB')
('SL04652-2022-11-02-1999','S84-7','urCwOkpEDoXRRYoK', 'SL')
('AC22517-2022-11-02-2103','A117-15','ZxjCi', 'UB')
('AC04652-2022-11-01-2020','A113-4','onFBeGKrQXL', 'UB')
('AC04652-2022-11-01-2022','A113-6','MsJcvYIdxULrPa', 'SU')
('SL22517-2022-11-02-2030','S85-14','fTAa', 'UB')
('SL04652-2022-11-01-2069','S87-5','RCBMaIpXbsdDx', 'MB')
('AC12058-2022-11-01-2012','A112-14','ZqRZJZR', 'LB')
('SL12058-2022-11-01-2060','S86-20','NoITQWePeLAHgmL', 'LB')
('SL22517-2022-11-01-2003','S84-11','omj', 'UB')
('SL22517-2022-11-02-2031','S85-15','lzjIS', 'SL')
('SL22517-2022-11-01-2004','S84-12','HpafQYuAdRKjo', 'LB')
('SL12058-2022-11-01-2066','S87-2','MfDbM', 'MB')
('SL04652-2022-11-01-2070','S87-6','bcDNCdZgvtKt', 'UB')
('SL22517-2022-11-01-2009','S84-17','SHQsHhocbHY', 'LB')
('AC04652-2022-11-01-2029','A113-13','qRDtFHRHEfewfp', 'LB')
('SL22517-2022-11-01-2013','S84-21','roIsKCUGXAMdBY', 'MB')
('SL04652-2022-11-02-2012','S84-20','Muqx', 'LB')
('AC22517-2022-11-02-2112','A118-6','KxrMjO', 'SU')
('AC22517-2022-11-02-2113','A118-7','HbPlnBGXeSwL', 'LB')
('AC22517-2022-11-01-2005','A112-7','GDxnaX', 'LB')
('AC22517-2022-11-02-2114','A118-8','aZmMkTGb', 'LB')
('AC04652-2022-11-01-2033','A113-17','QyInebjSytAd', 'SL')
('SL04652-2022-11-01-2076','S87-12','hNAcWWLOZD', 'LB')
('SL04652-2022-11-01-2077','S87-13','Keya', 'MB')
('AC04652-2022-11-02-2095','A117-7','JbqSGC', 'LB')
('SL04652-2022-11-01-2079','S87-15','takbVEKhs', 'SL')
('SL04652-2022-11-01-2080','S87-16','SjdITXAWNzhrjuc', 'SU')
('AC12058-2022-11-01-2017','A113-1','jxqRPhQjliNR', 'LB')
('SL04652-2022-11-02-2017','S85-1','wOXqrqkjC', 'LB')
('AC04652-2022-11-01-2037','A114-3','ruKgP', 'UB')
('AC04652-2022-11-01-2038','A114-4','AKwvIiAExNkE', 'UB')
('AC22517-2022-11-02-2120','A118-14','BvOGzuh', 'LB')
('SL04652-2022-11-01-2084','S87-20','QmfCAUH', 'LB')
('AC04652-2022-11-01-2040','A114-6','IuxgQ', 'SU')
('SL22517-2022-11-01-2019','S85-3','T', 'UB')
('SL22517-2022-11-02-2042','S86-2','LZgj', 'MB')
('SL22517-2022-11-01-2020','S85-4','vEjMvTg', 'LB')
('SL04652-2022-11-02-2023','S85-7','qsYCoTgSYoaATu', 'SL')
('SL22517-2022-11-01-2022','S85-6','xfZp', 'UB')
('SL22517-2022-11-01-2023','S85-7','d', 'SL')
('AC04652-2022-11-01-2046','A114-12','myxIEK', 'SU')
('AC22517-2022-11-01-2020','A113-4','TtyFwG', 'UB')
('AC22517-2022-11-01-2022','A113-6','FgXPhSkDMEeRbZQ', 'SU')
('SL12058-2022-11-01-2081','S87-17','fxTfp', 'LB')
('AC04652-2022-11-02-2103','A117-15','ttAiJRvwTsGC', 'UB')
('SL22517-2022-11-02-2044','S86-4','LvXRDbnJB', 'LB')
('SL04652-2022-11-01-2091','S88-3','XNKEikabq', 'UB')
('SL04652-2022-11-01-2092','S88-4','B', 'LB')
('AC04652-2022-11-01-2052','A114-18','KJnQjsffUAnwvAp', 'SU')
('SL12058-2022-11-01-2087','S87-23','IqF', 'SL')
('SL04652-2022-11-02-2031','S85-15','OknSDV', 'SL')
