('AC04652-2022-11-02-4','A1-4','hTodfFfgmRzbVt', 'UB')
('SL12058-2022-11-01-1283','S54-11','wAkxCQG', 'UB')
('SL22517-2022-11-01-1301','S55-5','pSrEGQBvyWiuKAS', 'MB')
('AC22517-2022-11-02-1380','A77-12','txWEQk', 'SU')
('SL22517-2022-11-02-1390','S58-22','ry', 'UB')
('AC22517-2022-11-02-1382','A77-14','rxYG', 'LB')
('AC22517-2022-11-01-1355','A76-5','gOcmAdQUZJT', 'SL')
('SL04652-2022-11-02-1357','S57-13','unOxtb', 'MB')
('SL12058-2022-11-01-1365','S57-21','tCdPsKJNS', 'MB')
('AC22517-2022-11-01-1370','A77-2','F', 'LB')
('SL04652-2022-11-02-1368','S57-24','ey', 'SU')
('AC22517-2022-11-02-1418','A79-14','IP', 'LB')
('AC04652-2022-11-01-1415','A79-11','wxBLAfHWHsquiPfd', 'SL')
('SL22517-2022-11-02-1426','S60-10','ZOvWFcXHt', 'MB')
('SL04652-2022-11-01-1394','S59-2','RqkGwgrNwZdf', 'MB')
('AC12058-2022-11-01-1406','A79-2','uSKV', 'LB')
('AC22517-2022-11-02-1426','A80-4','y', 'UB')
('AC04652-2022-11-02-1381','A77-13','ppcJzCzvZ', 'LB')
('AC22517-2022-11-01-1388','A78-2','sHwMhIFRV', 'LB')
('SL22517-2022-11-01-1397','S59-5','RFFpSYUXBVGlUxKT', 'MB')
('SL22517-2022-11-01-1400','S59-8','TutOgXgoLiDFsBj', 'SU')
('AC04652-2022-11-02-1385','A77-17','hmQyiebEseKiyY', 'SL')
('SL22517-2022-11-02-1449','S61-9','jBeRyox', 'LB')
('SL22517-2022-11-02-1450','S61-10','eKNrVy', 'MB')
('SL22517-2022-11-01-1407','S59-15','gBrplzzG', 'SL')
('AC04652-2022-11-01-1434','A80-12','bihpnHOn', 'SU')
('SL04652-2022-11-01-1419','S60-3','WTFyXcWVq', 'UB')
('SL04652-2022-11-01-1420','S60-4','NJJKGwCNj', 'LB')
('SL22517-2022-11-02-1454','S61-14','aKkcqrh', 'UB')
('AC12058-2022-11-01-1430','A80-8','QfvyxVAxFABJ', 'LB')
('AC22517-2022-11-02-1455','A81-15','Csid', 'UB')
('AC22517-2022-11-01-1411','A79-7','fCDkEkwWZgnG', 'LB')
('AC04652-2022-11-01-1445','A81-5','ODMcv', 'SL')
('SL04652-2022-11-01-1434','S60-18','Dxk', 'MB')
('SL04652-2022-11-02-1406','S59-14','oe', 'UB')
('SL12058-2022-11-01-1405','S59-13','nwSD', 'MB')
('SL04652-2022-11-02-1410','S59-18','SEfIRLTZQ', 'MB')
('AC22517-2022-11-01-1415','A79-11','yjlNuL', 'SL')
('AC22517-2022-11-02-1500','A84-6','JdfGTbSpBUUNxNO', 'SU')
('AC22517-2022-11-01-1438','A80-16','vrqiAWe', 'UB')
('AC04652-2022-11-01-1514','A85-2','maQhBrnIbASUmmTc', 'LB')
('SL04652-2022-11-02-1465','S62-1','qJBMEaJocOMGyFJ', 'LB')
('SL04652-2022-11-02-1475','S62-11','nLLldLt', 'UB')
('AC22517-2022-11-02-1532','A86-2','pZEgdXsNgaZOi', 'LB')
('SL04652-2022-11-01-1513','S64-1','FrORVXXSBsIIchJ', 'LB')
('AC22517-2022-11-02-1617','A90-15','wzvul', 'UB')
('AC04652-2022-11-02-1538','A86-8','fjtCJYTZNFI', 'LB')
('AC04652-2022-11-01-1626','A91-6','xyxkAVmgVE', 'SU')
('AC04652-2022-11-01-1627','A91-7','ggaBW', 'LB')
('SL04652-2022-11-02-1571','S66-11','t', 'UB')
('SL04652-2022-11-01-1604','S67-20','iJm', 'LB')
('AC22517-2022-11-01-1545','A86-15','pvFZEHHLp', 'UB')
('SL22517-2022-11-02-1685','S71-5','laaoNLefFxvsh', 'MB')
('AC12058-2022-11-01-1651','A92-13','hcHT', 'LB')
('AC04652-2022-11-02-1590','A89-6','qkTNYrOCZ', 'SU')
('SL04652-2022-11-02-1620','S68-12','QOWPKXbjfRuUUAFK', 'LB')
('AC04652-2022-11-01-1684','A94-10','RonAzBEFNXshM', 'UB')
('SL04652-2022-11-01-1652','S69-20','cixNYQepEaxlmuca', 'LB')
('AC22517-2022-11-02-1681','A94-7','pklZEnQZQx', 'LB')
('SL12058-2022-11-01-1641','S69-9','rGHSgaBD', 'LB')
('AC22517-2022-11-01-1599','A89-15','bwnZq', 'UB')
('SL12058-2022-11-01-1642','S69-10','LoI', 'MB')
('SL22517-2022-11-01-1655','S69-23','BrLHSjUTQduJHiC', 'SL')
('AC12058-2022-11-01-1664','A93-8','soBzHxy', 'LB')
('SL04652-2022-11-02-1626','S68-18','UvBMgQkQRtTmqaHN', 'MB')
('AC12058-2022-11-01-1665','A93-9','jozof', 'UB')
('SL12058-2022-11-01-1645','S69-13','ZlxyIirohIj', 'MB')
('AC04652-2022-11-02-1602','A89-18','veXQiqpYnyczdeYW', 'SU')
('SL22517-2022-11-02-1701','S71-21','TnnVjYvVHLenxr', 'MB')
('SL12058-2022-11-01-1647','S69-15','JuuEijeQlwkS', 'SL')
('AC22517-2022-11-02-1693','A95-1','XzxmuocajobNUJUx', 'LB')
('SL04652-2022-11-01-1664','S70-8','glujuCWBStmeI', 'SU')
('AC04652-2022-11-01-1701','A95-9','tBK', 'UB')
('AC04652-2022-11-01-1769','A99-5','D', 'SL')
('SL22517-2022-11-01-1740','S73-12','EVLxOQ', 'LB')
('AC12058-2022-11-01-1723','A96-13','gYxnhlbuXqjQyrm', 'LB')
('AC04652-2022-11-01-1775','A99-11','NEnwZzXYf', 'SL')
('AC04652-2022-11-02-1664','A93-8','YPNprslOaJe', 'LB')
('SL22517-2022-11-02-1759','S74-7','LIhjAshFxuiZhaRu', 'SL')
('AC12058-2022-11-01-1728','A96-18','dKrMwCwIc', 'SU')
('SL04652-2022-11-02-1711','S72-7','Q', 'SL')
('SL12058-2022-11-01-1714','S72-10','bvnrWPGPO', 'MB')
('AC22517-2022-11-01-1688','A94-14','oOlEOPfUqg', 'LB')
('AC22517-2022-11-01-1693','A95-1','Vl', 'LB')
('SL04652-2022-11-01-1739','S73-11','BOGeUyXNEelfAGAA', 'UB')
('SL22517-2022-11-01-1762','S74-10','mVfOwzEjqcl', 'MB')
('SL04652-2022-11-01-1741','S73-13','rguqdtwKBrKit', 'MB')
('SL12058-2022-11-01-1727','S72-23','GyxZDFxDxuXijOJ', 'SL')
('AC04652-2022-11-02-1682','A94-8','PurZg', 'LB')
('SL22517-2022-11-01-1802','S76-2','KQfTuWBzMGJohPM', 'MB')
('SL04652-2022-11-02-1760','S74-8','pRyI', 'SU')
('AC22517-2022-11-01-1727','A96-17','wfnuWuqXCA', 'SL')
('SL22517-2022-11-01-1806','S76-6','bvFXFCIt', 'UB')
('SL22517-2022-11-02-1813','S76-13','aFmLXsbLRQN', 'MB')
('SL12058-2022-11-01-1770','S74-18','fXiyYKgpcNkxH', 'MB')
('SL04652-2022-11-02-1765','S74-13','RGMJf', 'MB')
('AC12058-2022-11-01-1792','A100-10','AZoCirTIolQoNdUE', 'UB')
('AC04652-2022-11-02-1722','A96-12','zHtjoXphiqyo', 'SU')
('AC04652-2022-11-02-1723','A96-13','xmcnCHDG', 'LB')
('AC22517-2022-11-02-1830','A102-12','XnmsQZTFEDysK', 'SU')
('SL22517-2022-11-01-1819','S76-19','LHoVvCxq', 'UB')
('AC22517-2022-11-01-1739','A97-11','rtu', 'SL')
('AC12058-2022-11-01-1801','A101-1','urosxeGaIULUorrU', 'LB')
('AC12058-2022-11-01-1802','A101-2','NWENAxKksAVmQlx', 'LB')
('AC22517-2022-11-02-1835','A102-17','aAzYjI', 'SL')
('SL22517-2022-11-02-1824','S76-24','i', 'SU')
('SL12058-2022-11-01-1785','S75-9','ChyRTvWWWlclyh', 'LB')
('AC22517-2022-11-01-1745','A97-17','mHyyvOgkKvwZbU', 'SL')
('SL04652-2022-11-01-1787','S75-11','trSOuQdeqN', 'UB')
('AC12058-2022-11-01-1805','A101-5','zsQRzYWvKb', 'SL')
('SL04652-2022-11-01-1789','S75-13','ldnkYXJZLPycfm', 'MB')
('SL04652-2022-11-01-1791','S75-15','XOkjuLYipbsyy', 'SL')
('SL04652-2022-11-01-1845','S77-21','JWTf', 'MB')
('SL22517-2022-11-01-1875','S79-3','iYMQZxa', 'UB')
('SL04652-2022-11-01-1853','S78-5','sqQVtqXf', 'MB')
('SL04652-2022-11-01-1854','S78-6','ODsemLQG', 'UB')
('AC22517-2022-11-02-1894','A106-4','ZWfIfp', 'UB')
('AC04652-2022-11-02-1798','A100-16','RiitYxqfw', 'UB')
('AC22517-2022-11-02-1898','A106-8','MTlCSLjwlIvBno', 'LB')
('AC22517-2022-11-01-1803','A101-3','oqY', 'UB')
('AC04652-2022-11-01-1916','A107-8','iWtEncgUpLlDf', 'LB')
('AC22517-2022-11-02-1903','A106-13','EDNcexfBRViRy', 'LB')
('AC22517-2022-11-02-1907','A106-17','hApBIqDJfANKCo', 'SL')
('SL04652-2022-11-01-1878','S79-6','OAcHmJIZSeXf', 'UB')
('SL04652-2022-11-01-1881','S79-9','vnFJmXvugZwUuN', 'LB')
('AC22517-2022-11-01-1821','A102-3','eALwQvGDxLkBPdcD', 'UB')
('AC22517-2022-11-01-1822','A102-4','nmZTg', 'UB')
('SL22517-2022-11-02-1903','S80-7','NBkjSpcDRQKB', 'SL')
('SL22517-2022-11-02-1911','S80-15','qaorJQvuL', 'SL')
('SL12058-2022-11-01-1869','S78-21','aavrSi', 'MB')
('SL22517-2022-11-02-1914','S80-18','yJcmzhXaLHBJm', 'MB')
('SL04652-2022-11-02-1861','S78-13','HJKEajvISZ', 'MB')
('SL22517-2022-11-02-1920','S80-24','NlovyRkjg', 'SU')
('AC04652-2022-11-01-1943','A108-17','WPUPTHicWv', 'SL')
('SL22517-2022-11-01-1924','S81-4','tuWcZRoUuOh', 'LB')
('AC04652-2022-11-02-1833','A102-15','slVTVrPH', 'UB')
('AC04652-2022-11-02-1834','A102-16','vHoQyQUQEtD', 'UB')
('AC04652-2022-11-01-1947','A109-3','MszGIfxsfyGTJ', 'UB')
('AC04652-2022-11-01-1950','A109-6','PeqxqQjwzwmm', 'SU')
('AC04652-2022-11-02-1841','A103-5','epgNdlQUEIVcbX', 'SL')
('SL04652-2022-11-01-1909','S80-13','XrfwPMkTkiQ', 'MB')
('SL04652-2022-11-01-1912','S80-16','vxzBheQOeXXxgmbH', 'SU')
('SL04652-2022-11-02-1876','S79-4','niqdBmPrfTriQSzO', 'LB')
('SL04652-2022-11-01-1914','S80-18','sdEGUkCyYtFREPoV', 'MB')
('SL04652-2022-11-02-1877','S79-5','nHTCZfulVUhr', 'MB')
('AC22517-2022-11-02-1942','A108-16','VsZgS', 'UB')
('AC04652-2022-11-02-1844','A103-8','YnqOXknKj', 'LB')
('AC22517-2022-11-02-1944','A108-18','qfbLcxDUOncDxj', 'SU')
('SL22517-2022-11-02-1946','S82-2','gskZYnlHfXN', 'MB')
('SL12058-2022-11-01-1890','S79-18','k', 'MB')
('SL04652-2022-11-02-1890','S79-18','CVREoDsruKkzkq', 'MB')
('SL04652-2022-11-01-1934','S81-14','LtAxvfUF', 'UB')
('AC04652-2022-11-02-1858','A104-4','c', 'UB')
('AC12058-2022-11-01-1932','A108-6','TgDb', 'SU')
('SL22517-2022-11-01-1946','S82-2','CMLHrW', 'MB')
('SL04652-2022-11-02-1892','S79-20','zKikepYQSQVLqXRL', 'LB')
('AC04652-2022-11-01-1968','A110-6','eBFQsMImvfSuQK', 'SU')
('SL22517-2022-11-01-1949','S82-5','XmMvMqCvxyh', 'MB')
('SL22517-2022-11-01-1951','S82-7','UEvmCrsXwcCQoeyO', 'SL')
('SL12058-2022-11-01-1897','S80-1','C', 'LB')
('SL12058-2022-11-01-1898','S80-2','Jhh', 'MB')
('AC22517-2022-11-01-1873','A105-1','qQcagDdlPeaKNO', 'LB')
('AC12058-2022-11-01-1941','A108-15','VWzWS', 'UB')
('SL12058-2022-11-01-1900','S80-4','akKTFbRncS', 'LB')
('AC04652-2022-11-01-1978','A110-16','jjlplmwbysfHohRn', 'UB')
('AC22517-2022-11-02-1968','A110-6','cnPOypy', 'SU')
('SL12058-2022-11-01-1907','S80-11','BQNkNEzP', 'UB')
('AC22517-2022-11-02-1972','A110-10','uKQuITpzffid', 'UB')
('SL04652-2022-11-01-1987','S83-19','kgRwtcuxZvXbD', 'UB')
('AC12058-2022-11-01-1973','A110-11','eZJbYSbceyUM', 'SL')
('AC22517-2022-11-02-2026','A113-10','cjrYSdQNZdll', 'UB')
('AC04652-2022-11-02-1922','A107-14','y', 'LB')
('AC12058-2022-11-01-2041','A114-7','irBMiTn', 'LB')
('SL12058-2022-11-01-2020','S85-4','strXlIySBPLNMv', 'LB')
('SL22517-2022-11-02-2062','S86-22','dzLx', 'UB')
('AC12058-2022-11-01-2044','A114-10','zYjvjlbkFevf', 'UB')
('SL04652-2022-11-02-2016','S84-24','YeMfgxmuG', 'SU')
('SL04652-2022-11-01-2074','S87-10','wpAHWAzXcgpXkCU', 'MB')
('SL22517-2022-11-02-2068','S87-4','fFpSZxiGRbmaw', 'LB')
('AC04652-2022-11-01-2086','A116-16','EmsFqYUhxC', 'UB')
('AC12058-2022-11-01-2056','A115-4','owmrbgQ', 'UB')
('AC12058-2022-11-01-2057','A115-5','oovlXkRPuDqqwWUz', 'SL')
('AC04652-2022-11-02-2001','A112-3','mraFUJQXJxhVKyi', 'UB')
('SL12058-2022-11-01-2040','S85-24','TOBJeQMwTxOAe', 'SU')
('SL22517-2022-11-02-2080','S87-16','vXSjkcF', 'SU')
('AC22517-2022-11-01-1989','A111-9','d', 'UB')
('AC12058-2022-11-01-2066','A115-14','n', 'LB')
('SL04652-2022-11-01-2094','S88-6','eRdtHcHwNLCjfs', 'UB')
('AC22517-2022-11-02-2100','A117-12','pabKkCETQrnqug', 'SU')
('AC04652-2022-11-02-2013','A112-15','LnGqoWl', 'UB')
('SL22517-2022-11-02-2088','S87-24','U', 'SU')
('AC22517-2022-11-02-2109','A118-3','yztZQHmLptPBF', 'UB')
('SL22517-2022-11-02-2094','S88-6','VqPtuKuYBVglhWf', 'UB')
('SL04652-2022-11-01-2107','S88-19','ytJGYyAsAf', 'UB')
('AC22517-2022-11-02-2112','A118-6','CxljzVQddx', 'SU')
('AC22517-2022-11-01-2003','A112-5','lGx', 'SL')
('AC22517-2022-11-02-2114','A118-8','BUGbasGvvyuaSC', 'LB')
('SL22517-2022-11-02-2096','S88-8','NghIghwzKvAp', 'SU')
('SL04652-2022-11-02-2054','S86-14','LLcUzmdQW', 'UB')
('AC04652-2022-11-02-2035','A114-1','GOdmXCiiKXpZ', 'LB')
('AC04652-2022-11-01-2126','A119-2','Octts', 'LB')
('AC04652-2022-11-01-2129','A119-5','FZzpRtHsGhHf', 'SL')
('SL22517-2022-11-02-2115','S89-3','YYiF', 'UB')
('AC04652-2022-11-01-2131','A119-7','ueBFgHLiEGCSWFc', 'LB')
('AC22517-2022-11-01-2021','A113-5','fInB', 'SL')
('SL12058-2022-11-01-2076','S87-12','vAqwz', 'LB')
('AC04652-2022-11-01-2139','A119-15','aolp', 'UB')
('SL22517-2022-11-02-2123','S89-11','zihydfMzre', 'UB')
('SL22517-2022-11-02-2124','S89-12','mCXVCVOSaTcwdiyn', 'LB')
('SL04652-2022-11-01-2136','S89-24','ILuC', 'SU')
('AC22517-2022-11-02-2141','A119-17','kHPnUebqKzST', 'SL')
('SL22517-2022-11-01-2131','S89-19','MGCzacRDSHNvLNC', 'UB')
('AC04652-2022-11-02-2062','A115-10','R', 'UB')
('SL04652-2022-11-01-2143','S90-7','XHTvrUJtl', 'SL')
('AC04652-2022-11-01-2166','A121-6','f', 'SU')
('SL12058-2022-11-01-2112','S88-24','kFbk', 'SU')
('AC04652-2022-11-01-2176','A121-16','nyNzpDBxTJL', 'UB')
('SL04652-2022-11-02-2118','S89-6','EWKEGdN', 'UB')
('AC04652-2022-11-01-2191','A122-13','eFHqgYRz', 'LB')
('SL04652-2022-11-02-2129','S89-17','qXVVSOqMkPE', 'LB')
('SL12058-2022-11-01-2127','S89-15','RXJFzT', 'SL')
('AC04652-2022-11-02-2095','A117-7','wNJc', 'LB')
('AC04652-2022-11-01-2201','A123-5','wf', 'SL')
('AC04652-2022-11-02-2101','A117-13','xZHWkHwhOwVoqffX', 'LB')
('SL22517-2022-11-02-2175','S91-15','GlsROX', 'SL')
('AC22517-2022-11-01-2083','A116-13','joZgvSpbyYrcwA', 'LB')
('SL22517-2022-11-02-2176','S91-16','dqkQMEqYVoUofnVZ', 'SU')
('AC12058-2022-11-01-2141','A119-17','JRY', 'SL')
('AC12058-2022-11-01-2146','A120-4','EMcBpbcvNbvVa', 'UB')
('AC22517-2022-11-02-2196','A122-18','iHvcRmsWfS', 'SU')
('AC22517-2022-11-02-2197','A123-1','Zpgoubv', 'LB')
('SL12058-2022-11-01-2141','S90-5','Z', 'MB')
('AC12058-2022-11-01-2148','A120-6','A', 'SU')
('AC22517-2022-11-01-2091','A117-3','QXkHjClOg', 'UB')
('SL04652-2022-11-02-2149','S90-13','UmiVaurwY', 'MB')
('AC22517-2022-11-02-2203','A123-7','KVJjDl', 'LB')
('SL22517-2022-11-02-2186','S92-2','WZVUhQQDIAHZl', 'MB')
('SL04652-2022-11-01-2186','S92-2','VAMyWSD', 'MB')
('AC04652-2022-11-01-2220','A124-6','d', 'SU')
('AC22517-2022-11-01-2102','A117-14','VKzCCYWjEY', 'LB')
('AC22517-2022-11-01-2103','A117-15','Fqlxafq', 'UB')
('SL22517-2022-11-01-2190','S92-6','tdwnKzAygWhuRi', 'UB')
('SL04652-2022-11-02-2169','S91-9','asFFVDaSDaGA', 'LB')
('AC22517-2022-11-02-2217','A124-3','I', 'UB')
('SL12058-2022-11-01-2163','S91-3','HVkBatF', 'UB')
('SL12058-2022-11-01-2164','S91-4','EjkNJQSLzBgP', 'LB')
('SL04652-2022-11-02-2172','S91-12','QxPEGVdmqbmHV', 'LB')
('SL04652-2022-11-02-2174','S91-14','eVGrTkfK', 'UB')
('SL04652-2022-11-02-2175','S91-15','a', 'SL')
('AC04652-2022-11-02-2136','A119-12','hgK', 'SU')
('AC04652-2022-11-02-2139','A119-15','OzIkV', 'UB')
('SL04652-2022-11-01-2206','S92-22','Nx', 'UB')
('AC04652-2022-11-02-2141','A119-17','jQO', 'SL')
('AC04652-2022-11-01-2238','A125-6','xzN', 'SU')
('AC22517-2022-11-01-2119','A118-13','cJLpGgQZnXpz', 'LB')
('AC04652-2022-11-01-2240','A125-8','b', 'LB')
('AC12058-2022-11-01-2182','A122-4','dFTDgsmvLcrcsRx', 'UB')
('SL04652-2022-11-01-2212','S93-4','YyClm', 'LB')
('AC22517-2022-11-01-2121','A118-15','TkjYvyHarmtpTFb', 'UB')
('SL04652-2022-11-02-2183','S91-23','W', 'SL')
('SL22517-2022-11-01-2210','S93-2','JxcmXgNGmzu', 'MB')
('SL04652-2022-11-01-2214','S93-6','AwF', 'UB')
('SL22517-2022-11-02-2213','S93-5','kSn', 'MB')
('SL04652-2022-11-01-2218','S93-10','QfnwbFnDhpXe', 'MB')
('SL22517-2022-11-02-2215','S93-7','WqdPhoJGbxMzGmCW', 'SL')
('AC04652-2022-11-02-2157','A120-15','OtsHMgPyQWNfnNEN', 'UB')
('SL04652-2022-11-02-2193','S92-9','bHDBXIjjRdmQq', 'LB')
('AC22517-2022-11-02-2234','A125-2','WBnKrk', 'LB')
('SL04652-2022-11-02-2200','S92-16','UoPfdRKnfLrhZte', 'SU')
('SL22517-2022-11-01-2221','S93-13','azjoAhUeBAxAfK', 'MB')
('AC22517-2022-11-01-2136','A119-12','SRxzgiKGrDha', 'SU')
('SL22517-2022-11-01-2222','S93-14','tnYytOSNDNMLm', 'UB')
('SL22517-2022-11-02-2231','S93-23','P', 'SL')
('SL22517-2022-11-01-2240','S94-8','bcvJCRkaXq', 'SU')
('AC22517-2022-11-01-2154','A120-12','uqPCw', 'SU')
('SL04652-2022-11-01-2248','S94-16','KNzTKPeuQdtfXh', 'SU')
('SL04652-2022-11-01-2252','S94-20','ByNMuzXlbiqupux', 'LB')
('SL22517-2022-11-01-2245','S94-13','nWYPINnaR', 'MB')
('SL22517-2022-11-01-2251','S94-19','S', 'UB')
('SL04652-2022-11-02-2227','S93-19','pzIaVBuHfCzysdrK', 'UB')
('SL12058-2022-11-01-2225','S93-17','z', 'LB')
('AC22517-2022-11-02-2273','A127-5','V', 'SL')
('SL04652-2022-11-01-2261','S95-5','jLIsiLj', 'MB')
('SL04652-2022-11-01-2262','S95-6','UacDnilINtjA', 'UB')
('AC04652-2022-11-02-2188','A122-10','aZVaMXsErhTVG', 'UB')
('SL22517-2022-11-02-2274','S95-18','QwGmUimHwuGfWTc', 'MB')
('AC22517-2022-11-01-2176','A121-16','dB', 'UB')
('AC04652-2022-11-01-2297','A128-11','CK', 'SL')
('SL22517-2022-11-01-2274','S95-18','KYHjmkCSCsIb', 'MB')
('SL04652-2022-11-01-2276','S95-20','bnuJtXDI', 'LB')
('SL04652-2022-11-02-2249','S94-17','l', 'LB')
('SL12058-2022-11-01-2244','S94-12','ihFNImWSXoTv', 'LB')
('AC04652-2022-11-02-2201','A123-5','ZfpAZidjafy', 'SL')
('SL04652-2022-11-01-2311','S97-7','RssZYzqIcu', 'SL')
('AC22517-2022-11-01-2207','A123-11','uuRb', 'SL')
('SL22517-2022-11-01-2303','S96-23','quyOPXM', 'SL')
('SL04652-2022-11-01-2313','S97-9','v', 'LB')
('SL04652-2022-11-02-2282','S96-2','R', 'MB')
('SL04652-2022-11-02-2283','S96-3','WpJ', 'UB')
('AC12058-2022-11-01-2288','A128-2','ZhzvzYtUdUHbnCe', 'LB')
('AC04652-2022-11-02-2240','A125-8','L', 'LB')
('AC22517-2022-11-02-2329','A130-7','R', 'LB')
('AC22517-2022-11-02-2331','A130-9','iM', 'UB')
('SL22517-2022-11-02-2321','S97-17','IwXNzviIn', 'LB')
('AC04652-2022-11-01-2343','A131-3','Ekhy', 'UB')
('AC22517-2022-11-01-2221','A124-7','rSSSpqnKEDDAv', 'LB')
('SL22517-2022-11-02-2327','S97-23','mXX', 'SL')
('SL04652-2022-11-02-2295','S96-15','uCmXYC', 'SL')
('SL12058-2022-11-01-2297','S96-17','jFXOKGd', 'LB')
('AC04652-2022-11-02-2256','A126-6','apuhXf', 'SU')
('SL22517-2022-11-02-2330','S98-2','mXilWclHzy', 'MB')
('AC04652-2022-11-02-2258','A126-8','ZHZXRpSgyKapuEx', 'LB')
('AC22517-2022-11-01-2229','A124-15','RbZgifp', 'UB')
('AC22517-2022-11-01-2263','A126-13','BPDgRAQDjQ', 'LB')
('SL12058-2022-11-01-2370','S99-18','PAr', 'MB')
('SL22517-2022-11-01-2396','S100-20','numoyiBaTrH', 'LB')
('AC22517-2022-11-01-2296','A128-10','LQQhYLztXWjp', 'UB')
('AC04652-2022-11-02-2349','A131-9','lMZDJsZTDWzmVVRJ', 'UB')
('AC04652-2022-11-01-2442','A136-12','QcvRoOMQ', 'SU')
('AC22517-2022-11-01-2318','A129-14','SzIUzudpdXr', 'LB')
('AC12058-2022-11-01-2390','A133-14','TMA', 'LB')
('SL04652-2022-11-02-2389','S100-13','O', 'MB')
('SL12058-2022-11-01-2391','S100-15','MdGmyFXVnITNNJxw', 'SL')
('AC22517-2022-11-02-2429','A135-17','LJQsd', 'SL')
('AC12058-2022-11-01-2394','A133-18','rmgrzkPIrdw', 'SU')
('SL04652-2022-11-02-2402','S101-2','P', 'MB')
('AC12058-2022-11-01-2405','A134-11','HsUZzIw', 'SL')
('SL04652-2022-11-02-2404','S101-4','Q', 'LB')
('AC04652-2022-11-02-2370','A132-12','FKbDx', 'SU')
('AC22517-2022-11-01-2335','A130-13','DEBEIjrnzm', 'LB')
('AC22517-2022-11-02-2445','A136-15','imP', 'UB')
('SL22517-2022-11-02-2439','S102-15','WwBIjJmacJ', 'SL')
('SL04652-2022-11-02-2462','S103-14','p', 'UB')
('SL12058-2022-11-01-2449','S103-1','HEgnWqMjWp', 'LB')
('AC12058-2022-11-01-2472','A138-6','fwLzEpZXRe', 'SU')
('AC22517-2022-11-01-2387','A133-11','vgMk', 'SL')
('SL04652-2022-11-02-2465','S103-17','FmJzQpaNNWl', 'LB')
('AC22517-2022-11-02-2492','A139-8','jbCHSCEtDWHxx', 'LB')
('SL12058-2022-11-01-2452','S103-4','rxKkDZtDDxE', 'LB')
('SL22517-2022-11-02-2501','S105-5','MbN', 'MB')
('AC12058-2022-11-01-2478','A138-12','lICsvSIZuv', 'SU')
('AC04652-2022-11-01-2522','A141-2','Daf', 'LB')
('SL12058-2022-11-01-2456','S103-8','z', 'SU')
('AC22517-2022-11-01-2394','A133-18','DcBiKcmu', 'SU')
('AC12058-2022-11-01-2481','A138-15','cYG', 'UB')
('AC22517-2022-11-01-2396','A134-2','ztgNynGGfF', 'LB')
('SL22517-2022-11-02-2505','S105-9','hTXsZFNKr', 'LB')
('SL04652-2022-11-02-2471','S103-23','pnybDr', 'SL')
('SL04652-2022-11-02-2473','S104-1','RnMPPk', 'LB')
('AC04652-2022-11-01-2532','A141-12','NkVjjJnVDJ', 'SU')
('AC12058-2022-11-01-2485','A139-1','q', 'LB')
('AC22517-2022-11-01-2398','A134-4','MqY', 'UB')
('SL12058-2022-11-01-2463','S103-15','cNnWWDTq', 'SL')
('SL22517-2022-11-02-2510','S105-14','gZybMRJtCtNU', 'UB')
('SL04652-2022-11-01-2506','S105-10','CCDqunSJDWJF', 'MB')
('AC12058-2022-11-01-2490','A139-6','LVIPs', 'SU')
('SL04652-2022-11-02-2501','S105-5','cmTQGmaCq', 'MB')
('SL12058-2022-11-01-2493','S104-21','gCqdjhUSDwvxQDS', 'MB')
('AC22517-2022-11-01-2424','A135-12','uZGzVIhIyGBthR', 'SU')
('AC04652-2022-11-01-2563','A143-7','eInyAzYdUlenuNR', 'LB')
('AC04652-2022-11-01-2564','A143-8','NdPymvkNe', 'LB')
('SL04652-2022-11-02-2505','S105-9','g', 'LB')
('SL22517-2022-11-02-2544','S106-24','rCUArtAjNbQEl', 'SU')
('AC04652-2022-11-01-2574','A143-18','rNg', 'SU')
('AC22517-2022-11-02-2553','A142-15','qkZbYKbtFX', 'UB')
('AC04652-2022-11-02-2482','A138-16','EmT', 'UB')
('AC04652-2022-11-02-2497','A139-13','ouDufknfesEFFRpZ', 'LB')
('SL04652-2022-11-01-2559','S107-15','swYRGfbLgqfGct', 'SL')
('SL12058-2022-11-01-2521','S106-1','diwMUJeXqX', 'LB')
('SL12058-2022-11-01-2522','S106-2','I', 'MB')
('SL04652-2022-11-02-2522','S106-2','ZAsJmraYnBkVKmut', 'MB')
('SL22517-2022-11-01-2548','S107-4','MpsKfDXUcWiXXNLk', 'LB')
('AC22517-2022-11-02-2582','A144-8','vPuseeuTQtrNsi', 'LB')
('SL22517-2022-11-01-2550','S107-6','weWZy', 'UB')
('AC22517-2022-11-01-2448','A136-18','V', 'SU')
('AC12058-2022-11-01-2555','A142-17','hli', 'SL')
('SL22517-2022-11-01-2551','S107-7','DJGnqurgvUqN', 'SL')
('SL22517-2022-11-02-2570','S108-2','GSSalYikyRltFM', 'MB')
('AC04652-2022-11-01-2635','A147-7','MHchVsxISmqqM', 'LB')
('SL04652-2022-11-02-2556','S107-12','L', 'LB')
('SL04652-2022-11-01-2605','S109-13','GhCxTl', 'MB')
('AC22517-2022-11-02-2616','A146-6','zWVCeu', 'SU')
('AC04652-2022-11-02-2541','A142-3','XwokrqFIJOQVrmwS', 'UB')
('AC12058-2022-11-01-2588','A144-14','PlHJMZUNnv', 'LB')
('SL22517-2022-11-02-2603','S109-11','uJDqMD', 'UB')
