('SL22517-2022-11-01-1417','S60-1','KvraX', 'LB')
('SL04652-2022-11-01-2702','S113-14','vsvKCw', 'UB')
('SL22517-2022-11-01-2750','S115-14','gWYATDffX', 'UB')
('SL04652-2022-11-02-2750','S115-14','TCNJ', 'UB')
('AC22517-2022-11-01-2799','A156-9','zIGpGIdf', 'UB')
('SL22517-2022-11-02-2698','S113-10','ZTkhICoKaLTDRB', 'MB')
('AC04652-2022-11-02-2735','A152-17','zQZQo', 'SL')
('AC04652-2022-11-02-2736','A152-18','UgfaPNAom', 'SU')
('AC12058-2022-11-01-2704','A151-4','yhMCPV', 'UB')
('AC22517-2022-11-01-2805','A156-15','ki', 'UB')
('AC22517-2022-11-01-2806','A156-16','iLMym', 'UB')
('AC04652-2022-11-02-2743','A153-7','NbbqERgUSw', 'LB')
('AC12058-2022-11-01-2710','A151-10','IuxFSb', 'UB')
('AC22517-2022-11-02-2748','A153-12','jhjUHX', 'SU')
('SL12058-2022-11-01-2720','S114-8','adRwwPjQtW', 'SU')
('SL22517-2022-11-01-2804','S117-20','ZUZURVBYVJHH', 'LB')
('SL22517-2022-11-01-2805','S117-21','ybjAsQhXYrKmJXAY', 'MB')
('AC04652-2022-11-01-2894','A161-14','OOjxBkothyP', 'LB')
('AC22517-2022-11-01-2861','A159-17','bFGNJFfBbi', 'SL')
('AC22517-2022-11-01-2863','A160-1','DYhkmOqEHlAi', 'LB')
('SL04652-2022-11-01-2860','S120-4','zfRXIAAbf', 'LB')
('AC04652-2022-11-02-2857','A159-13','crgsKi', 'LB')
('AC22517-2022-11-01-2938','A164-4','R', 'UB')
('SL22517-2022-11-02-2833','S119-1','WgrDXdpZKMZcJ', 'LB')
('AC22517-2022-11-02-2876','A160-14','TnHj', 'LB')
('SL04652-2022-11-02-2900','S121-20','ewlQUC', 'LB')
('AC22517-2022-11-02-2878','A160-16','ccHp', 'UB')
('AC22517-2022-11-02-2879','A160-17','dFaULQiqeSi', 'SL')
('SL12058-2022-11-01-2796','S117-12','GVIBfEzqXzNq', 'LB')
('AC22517-2022-11-02-2881','A161-1','UKuzs', 'LB')
('SL12058-2022-11-01-2797','S117-13','ysUKcxxgHpJye', 'MB')
('SL12058-2022-11-01-2798','S117-14','Inwa', 'UB')
('SL22517-2022-11-02-2840','S119-8','JqKYMDAfSJroNLFN', 'SU')
('AC04652-2022-11-02-2862','A159-18','uegLF', 'SU')
('AC04652-2022-11-02-2863','A160-1','zMGAajkbOlIe', 'LB')
('SL12058-2022-11-01-2801','S117-17','cXGPqOgOoe', 'LB')
('AC22517-2022-11-01-2944','A164-10','RYTB', 'UB')
('SL04652-2022-11-02-2910','S122-6','XcFDSAqt', 'UB')
('AC04652-2022-11-02-2868','A160-6','oPCswvmjzaTFAL', 'SU')
('SL04652-2022-11-01-2875','S120-19','MopJ', 'UB')
('SL04652-2022-11-01-2879','S120-23','jPSnHgHpRBce', 'SL')
('SL04652-2022-11-02-2917','S122-13','wChjZTiRVC', 'MB')
('AC12058-2022-11-01-2846','A159-2','xd', 'LB')
('SL22517-2022-11-02-2853','S119-21','UnTsRBKghqKDBRFk', 'MB')
('SL22517-2022-11-02-2857','S120-1','fOpBf', 'LB')
('AC22517-2022-11-02-2890','A161-10','kOtK', 'UB')
('SL12058-2022-11-01-2813','S118-5','lnjS', 'MB')
('SL22517-2022-11-02-2864','S120-8','BTkIoIAYDRyEE', 'SU')
('AC12058-2022-11-01-2854','A159-10','lvvrcqqiQLh', 'UB')
('AC04652-2022-11-01-3013','A168-7','Qb', 'LB')
('SL12058-2022-11-01-2824','S118-16','YjWKfrYitcHjDr', 'SU')
('AC04652-2022-11-02-2889','A161-9','eYGuSrMQpl', 'UB')
('SL22517-2022-11-01-2907','S122-3','KvmdZpWRQmINwRXx', 'UB')
('SL12058-2022-11-01-2826','S118-18','dYbXxkLoS', 'MB')
('SL22517-2022-11-01-2909','S122-5','Mn', 'MB')
('AC22517-2022-11-02-2906','A162-8','Hr', 'LB')
('SL22517-2022-11-02-2875','S120-19','pwtWxLem', 'UB')
('AC04652-2022-11-02-2924','A163-8','qftFGYRHGAOf', 'LB')
('SL04652-2022-11-02-2987','S125-11','efe', 'UB')
('SL04652-2022-11-01-2943','S123-15','eQNI', 'SL')
('SL04652-2022-11-01-2944','S123-16','kYBRIP', 'SU')
('SL22517-2022-11-01-2950','S123-22','pNbem', 'UB')
('AC22517-2022-11-02-2948','A164-14','saS', 'LB')
('SL22517-2022-11-02-2921','S122-17','iVMVqXJrAkjhriZ', 'LB')
('SL22517-2022-11-01-2956','S124-4','QwZjzqJhjYtAE', 'LB')
('AC04652-2022-11-01-3074','A171-14','wXnMQWukDrWolYE', 'LB')
('AC12058-2022-11-01-2913','A162-15','XfbbVlupbdq', 'UB')
('AC22517-2022-11-02-2956','A165-4','UdaCsLUSxJJLGj', 'UB')
('AC04652-2022-11-02-2971','A166-1','VbaxiAzYWCMltZ', 'LB')
('AC12058-2022-11-01-2933','A163-17','YhhH', 'SL')
('AC04652-2022-11-01-3101','A173-5','gck', 'SL')
('AC22517-2022-11-01-3048','A170-6','TewxO', 'SU')
('SL04652-2022-11-02-3028','S127-4','PpSXlftFth', 'LB')
('SL22517-2022-11-02-2954','S124-2','uRgG', 'MB')
('AC22517-2022-11-02-2999','A167-11','OedLiANinqjxPxJR', 'SL')
('SL22517-2022-11-02-2962','S124-10','Lyxbu', 'MB')
('SL22517-2022-11-02-2963','S124-11','HyQvOce', 'UB')
('SL22517-2022-11-01-3004','S126-4','gOgyNMtvnfiN', 'LB')
('SL12058-2022-11-01-2943','S123-15','vKhveRriUE', 'SL')
('SL04652-2022-11-01-3016','S126-16','vVmF', 'SU')
('SL22517-2022-11-02-2991','S125-15','hkferCqj', 'SL')
('SL22517-2022-11-01-3022','S126-22','DmqQYcGoevwFup', 'UB')
('AC04652-2022-11-02-3103','A173-7','F', 'LB')
('AC04652-2022-11-02-3104','A173-8','KCwj', 'LB')
('AC22517-2022-11-01-3164','A176-14','WFig', 'LB')
('AC04652-2022-11-02-3105','A173-9','gHHCHymIOn', 'UB')
('AC04652-2022-11-01-3270','A182-12','XIGxo', 'SU')
('AC22517-2022-11-02-3157','A176-7','OpMsiTSlpkF', 'LB')
('AC04652-2022-11-01-3274','A182-16','GwT', 'UB')
('AC22517-2022-11-02-3160','A176-10','N', 'UB')
('AC12058-2022-11-01-3100','A173-4','oWUbcef', 'UB')
('SL22517-2022-11-02-3119','S130-23','DXZegkQinGnCTG', 'SL')
('SL04652-2022-11-02-3214','S134-22','nojfOQiUoi', 'UB')
('SL04652-2022-11-02-3215','S134-23','YUZemxpOtpM', 'SL')
('SL12058-2022-11-01-3093','S129-21','btKZHCN', 'MB')
('AC12058-2022-11-01-3106','A173-10','eoPs', 'UB')
('SL04652-2022-11-02-3219','S135-3','RsIvIuFKKqQIifDv', 'UB')
('SL22517-2022-11-02-3123','S131-3','VnfvvTkacGGwWxyj', 'UB')
('SL04652-2022-11-02-3221','S135-5','zam', 'MB')
('SL22517-2022-11-01-3152','S132-8','fpAC', 'SU')
('SL04652-2022-11-02-3224','S135-8','wHnLIUjScgqrckGQ', 'SU')
('SL22517-2022-11-01-3153','S132-9','LKXVzv', 'LB')
('SL04652-2022-11-01-3172','S133-4','B', 'LB')
('AC22517-2022-11-01-3218','A179-14','ReJeZIzsF', 'LB')
('AC12058-2022-11-01-3120','A174-6','LgJKcnJG', 'SU')
('SL22517-2022-11-01-3157','S132-13','r', 'MB')
('AC04652-2022-11-01-3300','A184-6','YYxgPudpmQyqCf', 'SU')
('SL22517-2022-11-02-3137','S131-17','pYNS', 'LB')
('AC04652-2022-11-01-3303','A184-9','OWAcUHkNZBKYiGK', 'UB')
('SL22517-2022-11-01-3190','S133-22','JmrZOsRdf', 'UB')
('SL04652-2022-11-01-3215','S134-23','Tj', 'SL')
('SL04652-2022-11-02-3286','S137-22','UcHGiCnJoFNngQDq', 'UB')
('SL22517-2022-11-02-3181','S133-13','xLjIXcfUUF', 'MB')
('SL04652-2022-11-01-3216','S134-24','svoVjSGoZjF', 'SU')
('AC12058-2022-11-01-3189','A178-3','KhhBICsmwPVjLevM', 'UB')
('AC04652-2022-11-01-3345','A186-15','dOBfgrF', 'UB')
('SL22517-2022-11-01-3202','S134-10','q', 'MB')
('SL04652-2022-11-01-3218','S135-2','at', 'MB')
('SL22517-2022-11-02-3186','S133-18','OgKmdDsu', 'MB')
('SL12058-2022-11-01-3153','S132-9','ck', 'LB')
('AC22517-2022-11-01-3280','A183-4','hdYzWuD', 'UB')
('SL22517-2022-11-01-3209','S134-17','yJGVeQzDdhH', 'LB')
('AC04652-2022-11-02-3230','A180-8','OPGyNbvpa', 'LB')
('AC12058-2022-11-01-3193','A178-7','Npi', 'LB')
('AC04652-2022-11-02-3231','A180-9','hGOMvusbBubxdgTD', 'UB')
('AC04652-2022-11-02-3232','A180-10','TjFhhINnwkxMqV', 'UB')
('SL04652-2022-11-02-3293','S138-5','hlpmD', 'MB')
('SL04652-2022-11-02-3294','S138-6','ejgyp', 'UB')
('AC04652-2022-11-01-3357','A187-9','EgrBUSnTo', 'UB')
('SL22517-2022-11-02-3203','S134-11','SQPeGEKdS', 'UB')
('SL12058-2022-11-01-3214','S134-22','yaIVzECZUQk', 'UB')
('AC04652-2022-11-02-3284','A183-8','zHWEWghETOIPqN', 'LB')
('SL04652-2022-11-01-3271','S137-7','lkaEHBJqmfgjYDe', 'SL')
('SL12058-2022-11-01-3217','S135-1','flVDFaJeP', 'LB')
('SL12058-2022-11-01-3221','S135-5','OvMHfBqy', 'MB')
('SL12058-2022-11-01-3222','S135-6','GIoEVyKEBeWVjCmx', 'UB')
('SL22517-2022-11-02-3239','S135-23','usTYzSvSNsaARXoN', 'SL')
('AC22517-2022-11-02-3295','A184-1','KaYYzuRSVNaZ', 'LB')
('AC12058-2022-11-01-3251','A181-11','PiKNpZEt', 'SL')
('SL12058-2022-11-01-3227','S135-11','zlC', 'UB')
('AC22517-2022-11-02-3297','A184-3','OSogNFKzlHHGEN', 'UB')
('SL12058-2022-11-01-3228','S135-12','GTvQkkk', 'LB')
('SL22517-2022-11-01-3275','S137-11','jArjJHjb', 'UB')
('AC12058-2022-11-01-3258','A181-18','pUWHIEaAudzznbF', 'SU')
('SL04652-2022-11-01-3289','S138-1','VorFHdzbgMWNwzn', 'LB')
('AC04652-2022-11-02-3299','A184-5','ilhfIEZFo', 'SL')
('AC22517-2022-11-01-3364','A187-16','BVOhDXkziuHiAMEP', 'UB')
('SL04652-2022-11-02-3360','S140-24','QsdEgSEGkfBcJ', 'SU')
('AC22517-2022-11-02-3310','A184-16','tdSsWL', 'UB')
('SL22517-2022-11-01-3282','S137-18','FzdIkzloIqhys', 'MB')
('SL04652-2022-11-02-3364','S141-4','OVTfpsylH', 'LB')
('AC12058-2022-11-01-3267','A182-9','cScxIxWztvsBvSB', 'UB')
('AC22517-2022-11-01-3372','A188-6','Cpg', 'SU')
('SL04652-2022-11-01-3294','S138-6','JiWXAPhqfZpGPFS', 'UB')
('SL22517-2022-11-01-3284','S137-20','iYSqSbvzbUPKJ', 'LB')
('AC04652-2022-11-02-3305','A184-11','dkMgMJOyGaiepPEZ', 'SL')
('SL04652-2022-11-01-3297','S138-9','QKcMYYtlZnuCndz', 'LB')
('AC22517-2022-11-01-3377','A188-11','JBApRvCO', 'SL')
('SL04652-2022-11-01-3298','S138-10','WDaEIfEjPkYYiKgO', 'MB')
('SL22517-2022-11-01-3288','S137-24','CEhK', 'SU')
('SL22517-2022-11-02-3256','S136-16','Osxge', 'SU')
('SL22517-2022-11-01-3290','S138-2','l', 'MB')
('SL04652-2022-11-01-3300','S138-12','fB', 'LB')
('AC04652-2022-11-01-3432','A191-12','fddABPwO', 'SU')
('AC22517-2022-11-01-3380','A188-14','MOxHcsySMPztMwl', 'LB')
('AC04652-2022-11-01-3452','A192-14','JV', 'LB')
('AC04652-2022-11-02-3326','A185-14','cPyyddobRo', 'LB')
('AC22517-2022-11-01-3453','A192-15','dPYvi', 'UB')
('AC22517-2022-11-01-3479','A194-5','ORfLivnsHnxU', 'SL')
('SL04652-2022-11-02-3466','S145-10','issJeMdXtqXmCyo', 'MB')
('SL12058-2022-11-01-3343','S140-7','IbZlyX', 'SL')
('SL12058-2022-11-01-3346','S140-10','PadRTvHjLCprgF', 'MB')
('SL22517-2022-11-01-3391','S142-7','mgJHhPKCHuj', 'SL')
('AC12058-2022-11-01-3369','A188-3','dokzVlEbREMSYk', 'UB')
('AC04652-2022-11-01-3551','A198-5','AyUGbLFm', 'SL')
('SL04652-2022-11-01-3414','S143-6','NUelwrZjlKx', 'UB')
('AC04652-2022-11-02-3417','A190-15','KWCnXEFjJ', 'UB')
('AC04652-2022-11-02-3424','A191-4','elDduAM', 'UB')
('SL04652-2022-11-01-3428','S143-20','aCDNbWWa', 'LB')
('SL12058-2022-11-01-3356','S140-20','QOyqJHcv', 'LB')
('SL04652-2022-11-02-3489','S146-9','dDbcC', 'LB')
('SL04652-2022-11-02-3490','S146-10','nAgajBWyiIyJXp', 'MB')
('AC12058-2022-11-01-3386','A189-2','rvFQwxOjC', 'LB')
('SL04652-2022-11-02-3491','S146-11','cYocsHjM', 'UB')
('AC22517-2022-11-02-3448','A192-10','qvMpn', 'UB')
('AC04652-2022-11-01-3571','A199-7','HsA', 'LB')
('AC04652-2022-11-02-3432','A191-12','QgFaW', 'SU')
('SL12058-2022-11-01-3362','S141-2','TZUmHPnrOb', 'MB')
('AC22517-2022-11-01-3510','A195-18','voivipv', 'SU')
('AC04652-2022-11-01-3573','A199-9','OcNCryhVZJ', 'UB')
('SL12058-2022-11-01-3363','S141-3','JNFVAlpmjp', 'UB')
('SL22517-2022-11-01-3419','S143-11','IqkLyCTqu', 'UB')
('AC12058-2022-11-01-3390','A189-6','nzIR', 'SU')
('SL22517-2022-11-01-3421','S143-13','EwoCuiiDmmBfPFm', 'MB')
('AC22517-2022-11-02-3584','A200-2','Wr', 'LB')
('SL12058-2022-11-01-3474','S145-18','mgKIpYfuzHhmPDo', 'MB')
('AC22517-2022-11-01-3649','A203-13','TpOqydvDniCItEwP', 'LB')
('AC22517-2022-11-02-3588','A200-6','gDnFgaS', 'SU')
('SL22517-2022-11-02-3509','S147-5','BeXLm', 'MB')
('SL12058-2022-11-01-3477','S145-21','FsUPq', 'MB')
('AC04652-2022-11-01-3706','A206-16','nFL', 'UB')
('AC22517-2022-11-02-3593','A200-11','TxBJidlPieD', 'SL')
('SL22517-2022-11-01-3566','S149-14','MRUcYwVX', 'UB')
('SL22517-2022-11-02-3514','S147-10','myTWDs', 'MB')
('AC04652-2022-11-01-3708','A206-18','qgUVJFS', 'SU')
('AC04652-2022-11-01-3709','A207-1','yaU', 'LB')
('SL04652-2022-11-02-3628','S152-4','JUfmcvwyQfrrCEb', 'LB')
('AC04652-2022-11-01-3714','A207-6','XQHqYajiIXaWgDyf', 'SU')
('SL04652-2022-11-02-3633','S152-9','jltHjJ', 'LB')
('AC22517-2022-11-01-3663','A204-9','z', 'UB')
('AC12058-2022-11-01-3552','A198-6','yWHsPhp', 'SU')
('AC04652-2022-11-02-3569','A199-5','SGYE', 'SL')
('SL04652-2022-11-01-3559','S149-7','TnigOAfXtK', 'SL')
('SL04652-2022-11-02-3636','S152-12','s', 'LB')
('SL04652-2022-11-02-3637','S152-13','uZ', 'MB')
('AC12058-2022-11-01-3561','A198-15','MF', 'UB')
('SL22517-2022-11-02-3527','S147-23','zMv', 'SL')
('SL12058-2022-11-01-3498','S146-18','mBHulypKvdQcRFt', 'MB')
('AC04652-2022-11-02-3579','A199-15','fBITpkUe', 'UB')
('AC12058-2022-11-01-3567','A199-3','WQKdZxOFWDAr', 'UB')
('AC04652-2022-11-02-3594','A200-12','E', 'SU')
('SL12058-2022-11-01-3511','S147-7','mfKTQwudyN', 'SL')
('SL04652-2022-11-02-3659','S153-11','MMZewwKhLMmw', 'UB')
('SL04652-2022-11-01-3579','S150-3','fjmTMKVlC', 'UB')
('AC04652-2022-11-02-3600','A200-18','NgKGNeJ', 'SU')
('SL04652-2022-11-02-3664','S153-16','PV', 'SU')
('AC04652-2022-11-01-3742','A208-16','IRMIbmltgHgqB', 'UB')
('SL04652-2022-11-01-3581','S150-5','UuPhHWeyISCJm', 'MB')
('AC04652-2022-11-01-3744','A208-18','AfsvdVLS', 'SU')
('AC22517-2022-11-02-3696','A206-6','nwAYiyNYZg', 'SU')
('SL22517-2022-11-02-3595','S150-19','ARRPzwyjKjj', 'UB')
('AC04652-2022-11-01-3814','A212-16','PGFHiSHT', 'UB')
('AC12058-2022-11-01-3659','A204-5','MPSlurowNgsybJE', 'SL')
('AC12058-2022-11-01-3665','A204-11','CUwsTfUcx', 'SL')
('SL22517-2022-11-01-3669','S153-21','JR', 'MB')
('AC04652-2022-11-02-3681','A205-9','rjJJul', 'UB')
('SL22517-2022-11-02-3606','S151-6','dIJiPnDvkIbdt', 'UB')
('AC04652-2022-11-02-3683','A205-11','bTfLaXpbwFEgYxhs', 'SL')
('SL04652-2022-11-01-3686','S154-14','cuHmmU', 'UB')
('AC04652-2022-11-01-3858','A215-6','Bfl', 'SU')
('AC04652-2022-11-01-3859','A215-7','IT', 'LB')
('SL22517-2022-11-01-3718','S155-22','KYvBPHtXxgpMvVfF', 'UB')
('AC04652-2022-11-01-3978','A221-18','ySUgjeN', 'SU')
('SL22517-2022-11-01-3830','S160-14','lIyIHvAsDLGhJLU', 'UB')
('AC04652-2022-11-01-3987','A222-9','HPEAhHpBeRp', 'UB')
('AC04652-2022-11-02-3852','A214-18','dAhxJwGZdir', 'SU')
('SL12058-2022-11-01-3720','S155-24','rl', 'SU')
('SL12058-2022-11-01-3721','S156-1','jEDpccdvOuobW', 'LB')
('AC22517-2022-11-01-3911','A218-5','aaYej', 'SL')
('AC12058-2022-11-01-3840','A214-6','kdofCoU', 'SU')
('AC22517-2022-11-01-3914','A218-8','DsDzsWRC', 'LB')
('SL22517-2022-11-02-3751','S157-7','uAYshiyEyUjMW', 'SL')
('AC22517-2022-11-01-3916','A218-10','ZiBDBto', 'UB')
('AC04652-2022-11-01-3994','A222-16','wIGduXCbBdmaTvht', 'UB')
('AC22517-2022-11-02-3867','A215-15','AfuYMMJAJGSruh', 'UB')
('AC04652-2022-11-01-3996','A222-18','GMPtkpka', 'SU')
('AC12058-2022-11-01-3844','A214-10','urkkSkH', 'UB')
('SL12058-2022-11-01-3737','S156-17','RhINVkoJshFEv', 'LB')
('SL22517-2022-11-02-3759','S157-15','nWGlLwPRUEwkzsGq', 'SL')
('AC22517-2022-11-01-3921','A218-15','MicUZXzFafwVojyU', 'UB')
('SL12058-2022-11-01-3739','S156-19','RvsKbzD', 'UB')
('SL12058-2022-11-01-3740','S156-20','tbvDyjsHu', 'LB')
('SL12058-2022-11-01-3741','S156-21','sAaFhdXdf', 'MB')
('AC22517-2022-11-02-3874','A216-4','HRmsNKOGqsba', 'UB')
('SL04652-2022-11-01-3811','S159-19','VdOzk', 'UB')
('AC22517-2022-11-01-3933','A219-9','sVjxbmfxeyBJP', 'UB')
('AC04652-2022-11-01-4016','A224-2','cmRwrlfmQn', 'LB')
('AC22517-2022-11-01-3942','A219-18','PswspyAkt', 'SU')
('SL04652-2022-11-02-3885','S162-21','ShohXHaDmck', 'MB')
('AC12058-2022-11-01-3863','A215-11','Bdpl', 'SL')
('SL12058-2022-11-01-3754','S157-10','bGqUflDXplsF', 'MB')
('SL12058-2022-11-01-3755','S157-11','qIGkBfILxhll', 'UB')
('AC04652-2022-11-02-3894','A217-6','XhUvEeUwf', 'SU')
('AC04652-2022-11-02-3895','A217-7','emG', 'LB')
('SL04652-2022-11-02-3917','S164-5','CbEXknkCohAMVI', 'MB')
('AC22517-2022-11-01-3973','A221-13','KmxFMFoBobkirTHY', 'LB')
('AC12058-2022-11-01-3890','A217-2','LmnQskfHsGcJsev', 'LB')
('AC12058-2022-11-01-3891','A217-3','hFJCWJt', 'UB')
('SL22517-2022-11-01-3888','S162-24','AXczHH', 'SU')
('AC04652-2022-11-01-4048','A225-16','uJVIKlh', 'UB')
('AC04652-2022-11-01-4049','A225-17','RJMkKfcnsO', 'SL')
('AC04652-2022-11-01-4050','A225-18','kr', 'SU')
('AC22517-2022-11-01-3976','A221-16','GMCINN', 'UB')
('SL22517-2022-11-02-3807','S159-15','zNzOPijgjiwQIDke', 'SL')
('AC04652-2022-11-02-3913','A218-7','hWuOGmLvseTAE', 'LB')
('AC22517-2022-11-01-3994','A222-16','zzPIaQeRCYvJ', 'UB')
('AC04652-2022-11-01-4152','A231-12','ovqlbQIxPmE', 'SU')
('SL22517-2022-11-02-3898','S163-10','ZscsFnz', 'MB')
('SL12058-2022-11-01-3866','S162-2','xWF', 'MB')
('SL12058-2022-11-01-3867','S162-3','whuQiUUscNKjg', 'UB')
('SL22517-2022-11-02-3902','S163-14','nl', 'UB')
('AC22517-2022-11-02-3987','A222-9','Tqtbt', 'UB')
('SL12058-2022-11-01-3869','S162-5','PUkgBZQvyKatsS', 'MB')
('SL22517-2022-11-02-3904','S163-16','FXGEawsdn', 'SU')
('AC12058-2022-11-01-3994','A222-16','umQFoYmxwhFC', 'UB')
('SL22517-2022-11-01-3974','S166-14','pMZh', 'UB')
('SL12058-2022-11-01-3872','S162-8','IF', 'SU')
('AC22517-2022-11-02-3991','A222-13','B', 'LB')
('SL12058-2022-11-01-3874','S162-10','ysXoBJ', 'MB')
('SL12058-2022-11-01-3878','S162-14','bjNLVouhsVROU', 'UB')
('SL22517-2022-11-01-3984','S166-24','JPEwjubpUYbGwpQ', 'SU')
('AC22517-2022-11-02-4003','A223-7','ejj', 'LB')
('SL04652-2022-11-01-3957','S165-21','syxPaBhShcBFtvnp', 'MB')
('SL12058-2022-11-01-3881','S162-17','GyyBdAwDkbn', 'LB')
('AC04652-2022-11-01-4218','A235-6','qhEqZD', 'SU')
('AC04652-2022-11-01-4219','A235-7','zLoRNmvCHdZGJ', 'LB')
('SL04652-2022-11-02-4085','S171-5','ijZ', 'MB')
('SL04652-2022-11-02-4086','S171-6','GBaPTDZKUfpnSCHU', 'UB')
('SL04652-2022-11-01-4020','S168-12','soAYgtagQZIuaj', 'LB')
('SL12058-2022-11-01-3954','S165-18','CDBRpSW', 'MB')
('AC22517-2022-11-01-4146','A231-6','jrYABvUNLX', 'SU')
('AC22517-2022-11-02-4073','A227-5','dL', 'SL')
('AC22517-2022-11-02-4074','A227-6','Jpfg', 'SU')
('AC04652-2022-11-01-4260','A237-12','MEoHXSLuy', 'SU')
('AC12058-2022-11-01-4094','A228-8','tORhpoBfI', 'LB')
('AC12058-2022-11-01-4102','A228-16','uTIiMsX', 'UB')
('SL22517-2022-11-01-4074','S170-18','Nat', 'MB')
('SL12058-2022-11-01-3974','S166-14','NhtqH', 'UB')
('SL22517-2022-11-01-4078','S170-22','LHXTkGLpi', 'UB')
('AC22517-2022-11-01-4171','A232-13','mhllnmYRzUuxDBft', 'LB')
('AC22517-2022-11-01-4186','A233-10','PUsyvtQsxms', 'UB')
('AC22517-2022-11-01-4188','A233-12','E', 'SU')
('AC22517-2022-11-01-4190','A233-14','FCHpJs', 'LB')
('AC04652-2022-11-01-4288','A239-4','eREx', 'UB')
('SL04652-2022-11-01-4058','S170-2','rAohVUBOclAz', 'MB')
('SL22517-2022-11-01-4095','S171-15','ZhlyGwm', 'SL')
('SL22517-2022-11-01-4096','S171-16','JrhxdYxICG', 'SU')
('SL22517-2022-11-01-4098','S171-18','bHvDVEj', 'MB')
('SL22517-2022-11-02-4038','S169-6','yEkahNauwG', 'UB')
('AC04652-2022-11-02-4142','A231-2','QW', 'LB')
('SL04652-2022-11-02-4132','S173-4','t', 'LB')
('SL04652-2022-11-02-4133','S173-5','hmHMnyRA', 'MB')
('SL12058-2022-11-01-4001','S167-17','dBVt', 'LB')
('SL04652-2022-11-02-4139','S173-11','RiEdQd', 'UB')
('AC04652-2022-11-01-4301','A239-17','qq', 'SL')
('AC22517-2022-11-02-4122','A229-18','EDWeUTQe', 'SU')
('SL22517-2022-11-01-4109','S172-5','qwg', 'MB')
('AC22517-2022-11-02-4138','A230-16','NhzXvMVee', 'UB')
('AC12058-2022-11-01-4157','A231-17','TLaohPaapoMuX', 'SL')
('SL22517-2022-11-02-4063','S170-7','STqBhtS', 'SL')
('AC04652-2022-11-01-4324','A241-4','V', 'UB')
('AC04652-2022-11-01-4325','A241-5','T', 'SL')
('AC04652-2022-11-01-4326','A241-6','cluzUXUPg', 'SU')
('AC04652-2022-11-02-4171','A232-13','hOYyWDH', 'LB')
('SL04652-2022-11-01-4093','S171-13','oDRYB', 'MB')
('AC12058-2022-11-01-4163','A232-5','SmdYfdkeqGcVWiCB', 'SL')
('AC22517-2022-11-02-4143','A231-3','MTIklRfns', 'UB')
('SL04652-2022-11-02-4169','S174-17','zj', 'LB')
('AC12058-2022-11-01-4166','A232-8','E', 'LB')
('SL04652-2022-11-01-4097','S171-17','ZBzaOTqIAKEnnpnq', 'LB')
('SL04652-2022-11-01-4147','S173-19','mlKPnqMJU', 'UB')
('SL04652-2022-11-01-4148','S173-20','HwJy', 'LB')
('AC04652-2022-11-01-4392','A244-18','Oyvsqps', 'SU')
('SL22517-2022-11-01-4187','S175-11','jTrUWyAkgkR', 'UB')
('AC22517-2022-11-02-4211','A234-17','QzTmrvwL', 'SL')
('SL22517-2022-11-02-4140','S173-12','qJhhYVRWvaeudN', 'LB')
('AC04652-2022-11-02-4285','A239-1','eOI', 'LB')
('AC04652-2022-11-02-4286','A239-2','vSV', 'LB')
('SL22517-2022-11-02-4204','S176-4','XPmTKyTbgAO', 'LB')
('AC04652-2022-11-02-4389','A244-15','ypSfMdIMIP', 'UB')
('AC04652-2022-11-02-4392','A244-18','orzxoctXL', 'SU')
('AC12058-2022-11-01-4376','A244-2','TDAVKk', 'LB')
('AC22517-2022-11-02-4375','A244-1','LeCrXyRLj', 'LB')
('AC04652-2022-11-02-4402','A245-10','MfiUOSCSh', 'UB')
('SL22517-2022-11-01-4330','S181-10','bYswwMaOvgTJs', 'MB')
('AC04652-2022-11-02-4406','A245-14','WPeXNRJqAfI', 'LB')
('AC22517-2022-11-01-4444','A247-16','qwAaZBPJusV', 'UB')
('SL04652-2022-11-02-4395','S184-3','BaGGNs', 'UB')
('SL04652-2022-11-01-4346','S182-2','oFEVDozO', 'MB')
('AC04652-2022-11-02-4432','A247-4','nWWJtKyKsAGXQIQg', 'UB')
('SL04652-2022-11-01-4348','S182-4','NDlVxVzDZTc', 'LB')
('AC22517-2022-11-02-4423','A246-13','cr', 'LB')
('AC04652-2022-11-02-4444','A247-16','fXWDa', 'UB')
('SL22517-2022-11-01-4371','S183-3','SCvXbgLrxYimYG', 'UB')
('SL12058-2022-11-01-4304','S180-8','iLdjGDmaCZ', 'SU')
('SL04652-2022-11-02-4406','S184-14','OkMinap', 'UB')
('AC12058-2022-11-01-4436','A247-8','skBfBzK', 'LB')
('AC12058-2022-11-01-4442','A247-14','hnLUfVq', 'LB')
('AC22517-2022-11-01-4500','A250-18','HLx', 'SU')
('AC04652-2022-11-01-4607','A256-17','PUWjvkzLDBA', 'SL')
('AC04652-2022-11-01-4608','A256-18','wms', 'SU')
('AC22517-2022-11-01-4503','A251-3','WtlJYSewPdzy', 'UB')
('AC12058-2022-11-01-4469','A249-5','xEiPbB', 'SL')
('AC22517-2022-11-01-4519','A252-1','GdG', 'LB')
('SL22517-2022-11-02-4367','S182-23','Kid', 'SL')
('AC12058-2022-11-01-4472','A249-8','HwvqBxNZqzDElp', 'LB')
('SL04652-2022-11-01-4393','S184-1','iDBnbT', 'LB')
('AC04652-2022-11-01-4634','A258-8','UpToMGgYQn', 'LB')
