('AC04652-2022-11-01-3641','A203-5','WqyglCDmMWeUI', 'SL')
('SL04652-2022-11-01-5552','S232-8','GmFcxmme', 'SU')
('SL12058-2022-11-01-5519','S230-23','eCsWlEBCEnWu', 'SL')
('SL22517-2022-11-01-5531','S231-11','vtVSVBpsVRt', 'UB')
('AC12058-2022-11-01-5664','A315-12','wgdDWM', 'SU')
('SL22517-2022-11-02-5588','S233-20','xsEJ', 'LB')
('AC04652-2022-11-01-5871','A327-3','mOB', 'UB')
('AC04652-2022-11-02-5712','A318-6','qKG', 'SU')
('AC04652-2022-11-02-5713','A318-7','VzAVOfyIfTfnFK', 'LB')
('AC22517-2022-11-01-5684','A316-14','isvyHl', 'LB')
('AC22517-2022-11-01-5687','A316-17','KmRKnudwzUK', 'SL')
('AC12058-2022-11-01-5683','A316-13','wwcsxTbyFSQyEtl', 'LB')
('SL04652-2022-11-01-5577','S233-9','AVFGPscTg', 'LB')
('SL04652-2022-11-01-5581','S233-13','MCbgVFMFV', 'MB')
('AC22517-2022-11-01-5695','A317-7','yWzsWsrKcw', 'LB')
('AC12058-2022-11-01-5705','A317-17','FXbHLrG', 'SL')
('SL22517-2022-11-02-5631','S235-15','cyhrZSHDUwXmuyTW', 'SL')
('AC12058-2022-11-01-5707','A318-1','XaQkaNsrhSpkwcWo', 'LB')
('SL04652-2022-11-02-5652','S236-12','fUKWh', 'LB')
('SL22517-2022-11-02-5634','S235-18','UtncZ', 'MB')
('AC22517-2022-11-01-5715','A318-9','apeAh', 'UB')
('AC22517-2022-11-01-5735','A319-11','grEMGXaxO', 'SL')
('SL04652-2022-11-02-5694','S238-6','rxdBLoXmiBJZzTS', 'UB')
('SL22517-2022-11-02-5676','S237-12','fcJlwoxJmwMyN', 'LB')
('SL22517-2022-11-02-5677','S237-13','zyuELt', 'MB')
('SL04652-2022-11-01-5641','S236-1','PAyk', 'LB')
('SL04652-2022-11-01-5642','S236-2','rJrTYdxuxco', 'MB')
('SL04652-2022-11-01-5643','S236-3','nV', 'UB')
('AC04652-2022-11-02-5794','A322-16','DkftvaulbeJDT', 'UB')
('SL22517-2022-11-01-5666','S237-2','ErZnr', 'MB')
('SL22517-2022-11-01-5667','S237-3','Df', 'UB')
('AC04652-2022-11-01-6033','A336-3','BFpdMLDTFJyH', 'UB')
('SL22517-2022-11-01-5669','S237-5','uIrGsSzbTXnYHD', 'MB')
('SL22517-2022-11-02-5736','S239-24','qqLEWuvcJdw', 'SU')
('SL04652-2022-11-02-5758','S240-22','IsuHZRT', 'UB')
('SL12058-2022-11-01-5659','S236-19','XauJBvTEdt', 'UB')
('SL22517-2022-11-02-5740','S240-4','bWpqhoedzPYCB', 'LB')
('AC04652-2022-11-02-5856','A326-6','vRBTTiDLxKblC', 'SU')
('AC22517-2022-11-02-5805','A323-9','SbyOVZOSErgi', 'UB')
('SL04652-2022-11-02-5764','S241-4','DBTUYa', 'LB')
('SL12058-2022-11-01-5664','S236-24','zwiansUMqU', 'SU')
('AC04652-2022-11-02-5862','A326-12','tToTJmBf', 'SU')
('AC22517-2022-11-02-5837','A325-5','fEDUBF', 'SL')
('SL22517-2022-11-02-5783','S241-23','AH', 'SL')
('AC12058-2022-11-01-5830','A324-16','PAivknjyeccCGTSG', 'UB')
('SL12058-2022-11-01-5701','S238-13','TpHDuQyyh', 'MB')
('AC22517-2022-11-01-5869','A327-1','dLTZBXDUpTXG', 'LB')
('AC22517-2022-11-02-5856','A326-6','OxSPZjbl', 'SU')
('SL04652-2022-11-02-5829','S243-21','czzZSgjoL', 'MB')
('AC22517-2022-11-01-5879','A327-11','ofUtaRXEfgUdgRO', 'SL')
('AC22517-2022-11-02-5877','A327-9','Co', 'UB')
('SL22517-2022-11-02-5824','S243-16','BDhSJx', 'SU')
('AC04652-2022-11-01-6109','A340-7','otRhyXrwYwaT', 'LB')
('AC22517-2022-11-01-5883','A327-15','Fralqik', 'UB')
('SL22517-2022-11-02-5830','S243-22','inteAzdzsiYFzgi', 'UB')
('SL12058-2022-11-01-5732','S239-20','ATiOgXcS', 'LB')
('AC12058-2022-11-01-5860','A326-10','DUJJlm', 'UB')
('SL22517-2022-11-01-5756','S240-20','szFGArO', 'LB')
('AC22517-2022-11-02-5906','A329-2','VkmL', 'LB')
('AC04652-2022-11-01-6137','A341-17','wylwOzujba', 'SL')
('AC22517-2022-11-01-5923','A330-1','gjnmAipVKOvigdY', 'LB')
('SL04652-2022-11-02-5901','S246-21','gvUbTVqKIA', 'MB')
('SL12058-2022-11-01-5775','S241-15','MSLQqADavyCtO', 'SL')
('AC12058-2022-11-01-5921','A329-17','j', 'SL')
('SL12058-2022-11-01-5788','S242-4','Xm', 'LB')
('SL12058-2022-11-01-5799','S242-15','ZXSQXxls', 'SL')
('AC12058-2022-11-01-5953','A331-13','VtArFo', 'LB')
('AC12058-2022-11-01-5955','A331-15','Q', 'UB')
('AC22517-2022-11-01-5970','A332-12','NgYg', 'SU')
('SL22517-2022-11-01-5851','S244-19','CPGqmcBWIU', 'UB')
('AC04652-2022-11-01-6207','A345-15','uMfrDO', 'UB')
('AC22517-2022-11-01-5976','A332-18','uEpuiXQZETCsHyn', 'SU')
('SL22517-2022-11-02-5941','S248-13','GdhWxoAOqEJ', 'MB')
('AC04652-2022-11-01-6219','A346-9','yB', 'UB')
('SL04652-2022-11-01-5868','S245-12','aGkXeKeIPZtvgV', 'LB')
('SL22517-2022-11-01-5869','S245-13','jDfrqAILHJBam', 'MB')
('SL12058-2022-11-01-5820','S243-12','LQ', 'LB')
('SL22517-2022-11-02-5958','S249-6','nYsnAmBzf', 'UB')
('SL04652-2022-11-01-5880','S245-24','QF', 'SU')
('AC22517-2022-11-02-6005','A334-11','rBCjzkG', 'SL')
('SL12058-2022-11-01-5837','S244-5','PLJeTft', 'MB')
('AC22517-2022-11-02-6007','A334-13','pF', 'LB')
('SL22517-2022-11-02-5969','S249-17','DrGHTnyx', 'LB')
('AC04652-2022-11-01-6249','A348-3','AQjitRBbkR', 'UB')
('AC22517-2022-11-01-6012','A334-18','EYmCkIlV', 'SU')
('SL22517-2022-11-02-5977','S250-1','BC', 'LB')
('AC04652-2022-11-02-6071','A338-5','chbbryGa', 'SL')
('SL12058-2022-11-01-5847','S244-15','PoRihOyaoO', 'SL')
('AC04652-2022-11-01-6262','A348-16','txLeHPwBpTk', 'UB')
('SL04652-2022-11-01-6004','S251-4','OjDl', 'LB')
('SL12058-2022-11-01-5959','S249-7','dRkzYYfzFOHwmHQH', 'SL')
('AC04652-2022-11-01-6391','A356-1','vWjcVapRNOVkuS', 'LB')
('AC04652-2022-11-02-6180','A344-6','Kk', 'SU')
('AC12058-2022-11-01-6133','A341-13','vxrCvhjcMQb', 'LB')
('SL22517-2022-11-02-6111','S255-15','ZC', 'SL')
('SL04652-2022-11-01-6033','S252-9','aM', 'LB')
('SL22517-2022-11-01-6037','S252-13','OYvAxLblRvbFWmNT', 'MB')
('AC22517-2022-11-01-6175','A344-1','eZlcc', 'LB')
('AC04652-2022-11-01-6425','A357-17','Uhd', 'SL')
('AC04652-2022-11-02-6210','A345-18','WooSbKeJAxBhxccz', 'SU')
('AC22517-2022-11-01-6184','A344-10','MKgjmFghEbvx', 'UB')
('AC12058-2022-11-01-6166','A343-10','ZIxtsKjrIqJDBufJ', 'UB')
('SL04652-2022-11-02-6136','S256-16','lANZDdrjzGEJ', 'SU')
('SL04652-2022-11-01-6057','S253-9','XNKtavnF', 'LB')
('SL22517-2022-11-01-6062','S253-14','AWdcVpszV', 'UB')
('AC04652-2022-11-02-6223','A346-13','aTFcutxQyq', 'LB')
('SL22517-2022-11-01-6063','S253-15','KhVCvBZhujqfIU', 'SL')
('SL12058-2022-11-01-5992','S250-16','liO', 'SU')
('SL22517-2022-11-01-6064','S253-16','K', 'SU')
('SL04652-2022-11-02-6142','S256-22','Uuf', 'UB')
('AC22517-2022-11-02-6197','A345-5','XPx', 'SL')
('SL04652-2022-11-02-6144','S256-24','wLkhGg', 'SU')
('SL04652-2022-11-01-6062','S253-14','LadpPRDkwe', 'UB')
('AC12058-2022-11-01-6185','A344-11','UzHRmyCobDUIQ', 'SL')
('AC12058-2022-11-01-6186','A344-12','QpEyeZONpcZIKOmL', 'SU')
('AC04652-2022-11-02-6231','A347-3','QwPJGAZYxBjyHxQI', 'UB')
('AC12058-2022-11-01-6188','A344-14','uyQSRTj', 'LB')
('AC04652-2022-11-01-6451','A359-7','ZcCpC', 'LB')
('SL22517-2022-11-01-6072','S253-24','l', 'SU')
('AC04652-2022-11-02-6235','A347-7','KPfVs', 'LB')
('SL04652-2022-11-01-6083','S254-11','LtJEVcAWoPBM', 'UB')
('SL22517-2022-11-01-6091','S254-19','YgXzj', 'UB')
('AC04652-2022-11-01-6469','A360-7','rY', 'LB')
('SL04652-2022-11-02-6188','S258-20','HlkWG', 'LB')
('AC22517-2022-11-01-6268','A349-4','dOBCaYxhZjkFCw', 'UB')
('AC04652-2022-11-02-6277','A349-13','fZhM', 'LB')
('SL22517-2022-11-01-6143','S256-23','R', 'SL')
('SL22517-2022-11-02-6225','S260-9','AaD', 'LB')
('SL04652-2022-11-01-6153','S257-9','k', 'LB')
('SL12058-2022-11-01-6071','S253-23','CwcIhYjWMJIJR', 'SL')
('AC04652-2022-11-02-6300','A350-18','zbDlrqlhP', 'SU')
('AC22517-2022-11-02-6280','A349-16','VkmSxkgUitNfdHA', 'UB')
('SL22517-2022-11-02-6245','S261-5','tWvDKUotXuaz', 'MB')
('AC22517-2022-11-01-6290','A350-8','Ur', 'LB')
('AC22517-2022-11-01-6292','A350-10','pYwxIQrsMYm', 'UB')
('AC22517-2022-11-02-6285','A350-3','jjoCReBbTeb', 'UB')
('AC04652-2022-11-02-6331','A352-13','wNLGsQvRZqlV', 'LB')
('SL12058-2022-11-01-6100','S255-4','M', 'LB')
('SL04652-2022-11-02-6255','S261-15','yEtyiDB', 'SL')
('SL04652-2022-11-01-6184','S258-16','wrbslXsKYBUV', 'SU')
('SL22517-2022-11-01-6192','S258-24','nHLfAcKPqzTcClw', 'SU')
('SL12058-2022-11-01-6104','S255-8','vbPSyu', 'SU')
('SL22517-2022-11-02-6274','S262-10','NReexYmm', 'MB')
('AC04652-2022-11-01-6579','A366-9','PoHrszQBc', 'UB')
('AC22517-2022-11-01-6325','A352-7','Nvwx', 'LB')
('AC04652-2022-11-02-6351','A353-15','ZrcfOfiyoZjGUHft', 'UB')
('SL12058-2022-11-01-6122','S256-2','yjk', 'MB')
('AC22517-2022-11-01-6341','A353-5','SOEYAGOezdL', 'SL')
('AC22517-2022-11-02-6327','A352-9','XNwkrj', 'UB')
('AC12058-2022-11-01-6327','A352-9','sARnjezcyk', 'UB')
('SL22517-2022-11-02-6287','S262-23','SSmXVfqNyZqCjqOK', 'SL')
('SL22517-2022-11-01-6213','S259-21','kYGSzKzfTFL', 'MB')
('AC12058-2022-11-01-6332','A352-14','eqzKCXvcHpT', 'LB')
('SL22517-2022-11-01-6217','S260-1','arQOLvErLWepHQO', 'LB')
('SL04652-2022-11-01-6223','S260-7','oqzRHgKM', 'SL')
('SL22517-2022-11-02-6333','S264-21','KQZa', 'MB')
('AC22517-2022-11-01-6380','A355-8','iEPYRZAMu', 'LB')
('SL04652-2022-11-01-6249','S261-9','rCbYpAFRLQcCCq', 'LB')
('SL04652-2022-11-02-6325','S264-13','ECZiCOH', 'MB')
('AC04652-2022-11-01-6643','A370-1','xNKbHvsycD', 'LB')
('AC22517-2022-11-01-6387','A355-15','tYgdz', 'UB')
('SL04652-2022-11-01-6336','S264-24','fTecwFX', 'SU')
('AC22517-2022-11-02-6448','A359-4','yX', 'UB')
('SL22517-2022-11-01-6338','S265-2','DgSuhqbhDcOzpTB', 'MB')
('SL12058-2022-11-01-6258','S261-18','QhMAiAyBw', 'MB')
('SL22517-2022-11-01-6343','S265-7','MRN', 'SL')
('AC04652-2022-11-02-6472','A360-10','KMbT', 'UB')
('AC22517-2022-11-01-6458','A359-14','RrmFeYmwIKBPggxO', 'LB')
('AC04652-2022-11-01-6733','A375-1','TOiRcgGJh', 'LB')
('SL22517-2022-11-02-6415','S268-7','KJ', 'SL')
('AC22517-2022-11-01-6461','A359-17','uK', 'SL')
('AC12058-2022-11-01-6452','A359-8','reVehfkBcsVaNSl', 'LB')
('SL22517-2022-11-02-6452','S269-20','dcBEOGWZza', 'LB')
('AC12058-2022-11-01-6490','A361-10','u', 'UB')
('AC22517-2022-11-02-6491','A361-11','sU', 'SL')
('AC04652-2022-11-02-6508','A362-10','MMNHnqcaEjQK', 'UB')
('AC04652-2022-11-02-6511','A362-13','nVIbZcUdZbMCFPW', 'LB')
('SL04652-2022-11-02-6455','S269-23','pYEOybPW', 'SL')
('AC04652-2022-11-02-6512','A362-14','jyAhgwHaO', 'LB')
('AC04652-2022-11-01-6780','A377-12','KYZEMuKnMCI', 'SU')
('AC22517-2022-11-01-6505','A362-7','TsKrIsQVuo', 'LB')
('AC04652-2022-11-02-6515','A362-17','sVSlMmftLPzvSSm', 'SL')
('SL22517-2022-11-02-6471','S270-15','ccPIEEROqqE', 'SL')
('AC22517-2022-11-02-6517','A363-1','wJKVn', 'LB')
('AC04652-2022-11-01-6801','A378-15','ga', 'UB')
('SL04652-2022-11-02-6485','S271-5','voVFldmFG', 'MB')
('AC12058-2022-11-01-6539','A364-5','ziJZnEoxPau', 'SL')
('AC12058-2022-11-01-6562','A365-10','ZkYaPoGTRSy', 'UB')
('SL04652-2022-11-02-6527','S272-23','OMBmW', 'SL')
('AC22517-2022-11-01-6593','A367-5','PlUxmfmDGH', 'SL')
('AC04652-2022-11-01-6858','A381-18','youRYWfr', 'SU')
('AC04652-2022-11-01-6859','A382-1','sxU', 'LB')
('AC04652-2022-11-02-6593','A367-5','yhxBVJkqkbgyjF', 'SL')
('AC22517-2022-11-01-6606','A367-18','HjhpmSEjJG', 'SU')
('SL04652-2022-11-01-6553','S274-1','vEjiLWlLVP', 'LB')
('AC04652-2022-11-01-6936','A386-6','OVXmn', 'SU')
('AC22517-2022-11-02-6676','A371-16','kYsy', 'UB')
('AC12058-2022-11-01-6676','A371-16','kFe', 'UB')
('AC22517-2022-11-02-6721','A374-7','OjnPoRCLlKgYBI', 'LB')
('SL04652-2022-11-02-6707','S280-11','vWMLBkCIjnNlMz', 'UB')
('AC04652-2022-11-01-7006','A390-4','QDCfqqe', 'UB')
('SL04652-2022-11-01-6662','S278-14','BueavDVMKgralS', 'UB')
('SL04652-2022-11-02-6722','S281-2','DlDJnTQYxroMqa', 'MB')
('AC04652-2022-11-01-7033','A391-13','nSvsvGETDxqtJ', 'LB')
('SL22517-2022-11-01-6630','S277-6','spE', 'UB')
('SL12058-2022-11-01-6571','S274-19','WHqckJPtzgKSdf', 'UB')
('SL22517-2022-11-02-6736','S281-16','w', 'SU')
('AC12058-2022-11-01-6783','A377-15','pEcvVpyxz', 'UB')
('AC22517-2022-11-01-6775','A377-7','CH', 'LB')
('AC04652-2022-11-02-6772','A377-4','ZkQbQ', 'UB')
('AC04652-2022-11-01-7039','A392-1','EqgMxLVzMED', 'LB')
('AC04652-2022-11-02-6773','A377-5','u', 'SL')
('SL22517-2022-11-02-6803','S284-11','Xdx', 'UB')
('AC04652-2022-11-02-6822','A379-18','sZXOhonfFBu', 'SU')
('AC04652-2022-11-01-7098','A395-6','J', 'SU')
('SL22517-2022-11-01-6698','S280-2','dJ', 'MB')
('SL12058-2022-11-01-6657','S278-9','HvUZgbUjwvFujAj', 'LB')
('AC12058-2022-11-01-6880','A383-4','XAcquodbNyndrnOh', 'UB')
('AC22517-2022-11-02-6877','A383-1','erWdJqJaRw', 'LB')
('SL04652-2022-11-02-6818','S285-2','ChAcLMOf', 'MB')
('AC04652-2022-11-01-7134','A397-6','qCAasO', 'SU')
('SL04652-2022-11-02-6851','S286-11','CqMhoLtlxGrdpu', 'UB')
('SL12058-2022-11-01-6701','S280-5','pdB', 'MB')
('AC22517-2022-11-02-6912','A384-18','kMTKFUUdeHNNn', 'SU')
('SL12058-2022-11-01-6704','S280-8','d', 'SU')
('SL22517-2022-11-01-6755','S282-11','BAfaXGS', 'UB')
('SL22517-2022-11-01-6756','S282-12','mAHhim', 'LB')
('SL22517-2022-11-01-6764','S282-20','ExoYVRAgrSHQbvca', 'LB')
('AC22517-2022-11-02-6922','A385-10','mYTbCDfv', 'UB')
('AC12058-2022-11-01-6923','A385-11','S', 'SL')
('AC22517-2022-11-02-6924','A385-12','kOlVPHfFTkadnk', 'SU')
('AC04652-2022-11-02-6902','A384-8','XHEZc', 'LB')
('AC12058-2022-11-01-6926','A385-14','UpkhPx', 'LB')
('SL22517-2022-11-02-6873','S287-9','nRVZs', 'LB')
('SL04652-2022-11-02-6887','S287-23','WdlkUHvauw', 'SL')
('AC12058-2022-11-01-6943','A386-13','tKJqmGGzqHVIZ', 'LB')
('AC04652-2022-11-01-7197','A400-15','Y', 'UB')
('AC22517-2022-11-02-6951','A387-3','d', 'UB')
('AC04652-2022-11-02-6928','A385-16','kGRCRdXOYaM', 'UB')
('SL04652-2022-11-02-6896','S288-8','aaLBzFXZIbDvYwk', 'SU')
('SL04652-2022-11-01-6876','S287-12','tQpDGwPzD', 'LB')
('AC22517-2022-11-02-6954','A387-6','cRBFl', 'SU')
('SL04652-2022-11-01-6879','S287-15','lvhTeABP', 'SL')
('SL04652-2022-11-01-6882','S287-18','TUscpxJq', 'MB')
('AC12058-2022-11-01-6955','A387-7','usdGhHhgVaCAtG', 'LB')
('AC12058-2022-11-01-6956','A387-8','zyiXTUxKxOhwu', 'LB')
('AC04652-2022-11-01-7204','A401-4','gjxAycMdRWVblK', 'UB')
('SL22517-2022-11-01-6808','S284-16','oETKaO', 'SU')
('AC04652-2022-11-01-7214','A401-14','NCLIemyFMW', 'LB')
('SL22517-2022-11-02-6907','S288-19','jjT', 'UB')
('AC22517-2022-11-01-6948','A386-18','XIybRucgXlHO', 'SU')
('SL12058-2022-11-01-6760','S282-16','WehsmzeXOrbuGrB', 'SU')
('AC12058-2022-11-01-6966','A387-18','RXkdzSyjBwUBMtPp', 'SU')
('SL04652-2022-11-02-6919','S289-7','UjwAGIBSkNSSA', 'SL')
('AC04652-2022-11-01-7219','A402-1','KIQrzkoYQB', 'LB')
('AC22517-2022-11-01-6955','A387-7','AFSLAYhYFE', 'LB')
('SL12058-2022-11-01-6766','S282-22','pkXrW', 'UB')
('SL22517-2022-11-01-6828','S285-12','AsDhYVM', 'LB')
('SL04652-2022-11-02-6929','S289-17','DwsP', 'LB')
('SL22517-2022-11-02-6918','S289-6','bPTAgPmHGWxHMYw', 'UB')
('AC04652-2022-11-02-6959','A387-11','eQh', 'SL')
('SL04652-2022-11-01-6908','S288-20','lrDI', 'LB')
('SL04652-2022-11-01-6916','S289-4','TuuunTCv', 'LB')
('SL04652-2022-11-01-6917','S289-5','QU', 'MB')
('SL22517-2022-11-01-6845','S286-5','sxrMz', 'MB')
('AC22517-2022-11-02-6993','A389-9','Fz', 'UB')
('SL12058-2022-11-01-6785','S283-17','tMGJUKEuxSl', 'LB')
('AC04652-2022-11-02-6969','A388-3','wTlFGC', 'UB')
('AC04652-2022-11-01-7245','A403-9','TpHepXOoTD', 'UB')
('AC22517-2022-11-02-7006','A390-4','OSLfsjWAYLjCCiEU', 'UB')
('SL22517-2022-11-02-6944','S290-8','stvnvN', 'SU')
('AC04652-2022-11-01-7251','A403-15','ypIhUlyDnw', 'UB')
('AC04652-2022-11-02-6980','A388-14','TksRyIhAuhOR', 'LB')
('AC04652-2022-11-02-6981','A388-15','tqpP', 'UB')
('SL22517-2022-11-01-6860','S286-20','UeVAaSBqGjfR', 'LB')
('AC04652-2022-11-01-7258','A404-4','dvntUYVlpD', 'UB')
('SL04652-2022-11-01-6941','S290-5','ewQIhw', 'MB')
('SL22517-2022-11-02-6957','S290-21','DLOjqLPVQIoZkr', 'MB')
('AC22517-2022-11-01-6990','A389-6','NSFrQ', 'SU')
('SL12058-2022-11-01-6810','S284-18','ddpkMW', 'MB')
('AC04652-2022-11-01-7269','A404-15','m', 'UB')
('SL22517-2022-11-02-6967','S291-7','bVyegzB', 'SL')
('SL04652-2022-11-02-6980','S291-20','VvDY', 'LB')
('SL22517-2022-11-02-6975','S291-15','qzCLElHd', 'SL')
('SL22517-2022-11-02-6996','S292-12','zzoHWGvGUd', 'LB')
('AC04652-2022-11-02-7042','A392-4','jrDvYIpjQHThZ', 'UB')
('AC22517-2022-11-02-7066','A393-10','AguwbH', 'UB')
('SL22517-2022-11-01-6909','S288-21','Q', 'MB')
('AC04652-2022-11-01-7320','A407-12','HzTukiiHiFT', 'SU')
('AC04652-2022-11-01-7329','A408-3','zFRsPyMahVcyt', 'UB')
('AC22517-2022-11-01-7045','A392-7','hWQPusoPmmEksZ', 'LB')
('SL04652-2022-11-01-6990','S292-6','ZRYZhHJtS', 'UB')
('AC22517-2022-11-01-7048','A392-10','XKNyDuapKBvCW', 'UB')
('SL12058-2022-11-01-6860','S286-20','D', 'LB')
('SL04652-2022-11-02-7026','S293-18','ogp', 'MB')
('SL12058-2022-11-01-6861','S286-21','CSKJQbMVOZtcStYI', 'MB')
('AC12058-2022-11-01-7076','A394-2','Zs', 'LB')
('AC04652-2022-11-02-7064','A393-8','zC', 'LB')
('AC22517-2022-11-01-7056','A392-18','Xqe', 'SU')
('AC04652-2022-11-01-7350','A409-6','DGdfHiWcMAjrYN', 'SU')
('SL04652-2022-11-01-7060','S295-4','XlFnhWemvXejB', 'LB')
('SL12058-2022-11-01-6963','S291-3','ERRNXtbDMRgDa', 'UB')
('AC12058-2022-11-01-7157','A398-11','fUEuutd', 'SL')
('AC22517-2022-11-01-7155','A398-9','FYGyIPx', 'UB')
('SL04652-2022-11-01-7088','S296-8','lRoogPG', 'SU')
('AC04652-2022-11-02-7146','A397-18','AVfi', 'SU')
('AC04652-2022-11-02-7149','A398-3','Hp', 'UB')
('SL04652-2022-11-02-7119','S297-15','XAnMdEMezlJhe', 'SL')
('SL04652-2022-11-01-7094','S296-14','zDNHjDjOL', 'UB')
('AC04652-2022-11-02-7152','A398-6','gaFwwWZFORtzRd', 'SU')
('AC22517-2022-11-02-7210','A401-10','biZYucijv', 'UB')
('SL22517-2022-11-01-7044','S294-12','QOWLoi', 'LB')
('AC04652-2022-11-01-7463','A415-11','tzaMf', 'SL')
('AC12058-2022-11-01-7195','A400-13','pZ', 'LB')
('SL22517-2022-11-01-7057','S295-1','NqwqGM', 'LB')
('SL22517-2022-11-02-7143','S298-15','HHsM', 'SL')
('AC12058-2022-11-01-7203','A401-3','XuOnfziDDxMkps', 'UB')
('SL12058-2022-11-01-7010','S293-2','pgxZXYywmr', 'MB')
('SL12058-2022-11-01-7012','S293-4','taL', 'LB')
('SL22517-2022-11-02-7155','S299-3','GHYwdBrKYALFQvm', 'UB')
('SL22517-2022-11-02-7159','S299-7','KTkHd', 'SL')
('AC04652-2022-11-01-7497','A417-9','EyIGQpOh', 'UB')
('AC04652-2022-11-02-7206','A401-6','jKsgIKFW', 'SU')
('AC22517-2022-11-02-7258','A404-4','AfRuAoMLgHmZIg', 'UB')
('SL04652-2022-11-02-7187','S300-11','dWJErZnGjLbkLEN', 'UB')
('SL12058-2022-11-01-7042','S294-10','cExbwV', 'MB')
('SL22517-2022-11-01-7095','S296-15','jfe', 'SL')
('SL04652-2022-11-02-7192','S300-16','EYO', 'SU')
('AC04652-2022-11-02-7223','A402-5','BTznt', 'SL')
('SL22517-2022-11-02-7184','S300-8','cBdNBdbrQK', 'SU')
('AC22517-2022-11-02-7274','A405-2','DJRj', 'LB')
('AC12058-2022-11-01-7236','A402-18','Aigl', 'SU')
('AC04652-2022-11-02-7230','A402-12','CTrYan', 'SU')
('SL04652-2022-11-02-7198','S300-22','xHcMqyjcUVV', 'UB')
('AC12058-2022-11-01-7245','A403-9','vRKuxDkZh', 'UB')
('AC12058-2022-11-01-7248','A403-12','RYmQCvIxIna', 'SU')
('AC22517-2022-11-02-7403','A412-5','motudjtyBQGFaU', 'SL')
('SL12058-2022-11-01-7162','S299-10','nMFeFl', 'MB')
('SL04652-2022-11-02-7310','S305-14','QcnClgpIcWveMG', 'UB')
('SL22517-2022-11-02-7320','S305-24','f', 'SU')
('SL22517-2022-11-02-7340','S306-20','KsHSQEguSDbE', 'LB')
('SL04652-2022-11-01-7326','S306-6','MKR', 'UB')
('AC22517-2022-11-01-7381','A411-1','SgfRKVhipDlbOL', 'LB')
('AC22517-2022-11-01-7382','A411-2','hBnMdbjDaLiBjd', 'LB')
('AC22517-2022-11-02-7444','A414-10','OPbxd', 'UB')
('AC22517-2022-11-01-7383','A411-3','ktrsUDOtWYMG', 'UB')
('SL22517-2022-11-02-7346','S307-2','TQwd', 'MB')
('SL22517-2022-11-01-7267','S303-19','siyxVwKqyqTUiI', 'UB')
('AC04652-2022-11-01-7684','A427-16','ZChBjFfR', 'UB')
('SL12058-2022-11-01-7209','S301-9','tjmakNFbhArm', 'LB')
('SL22517-2022-11-02-7369','S308-1','MuuDMbeoWDicjKK', 'LB')
('SL12058-2022-11-01-7211','S301-11','IWWq', 'UB')
('AC22517-2022-11-02-7475','A416-5','sviZYluvmRJ', 'SL')
('AC04652-2022-11-01-7688','A428-2','W', 'LB')
('AC04652-2022-11-02-7417','A413-1','QZsuevBWQGdQyT', 'LB')
('AC04652-2022-11-02-7421','A413-5','ZtZgmz', 'SL')
('AC12058-2022-11-01-7435','A414-1','hUAtLGgiMSRS', 'LB')
('SL12058-2022-11-01-7235','S302-11','ypzOPHAccAipn', 'UB')
('SL22517-2022-11-01-7298','S305-2','GAZytgnFsgGBZG', 'MB')
('SL04652-2022-11-01-7380','S308-12','MVHwKifDteczvxC', 'LB')
('AC22517-2022-11-01-7444','A414-10','VdxPJqmvwFGJYMYY', 'UB')
('AC04652-2022-11-02-7444','A414-10','vDdRwmYPeNWmWTQS', 'UB')
('AC04652-2022-11-01-7713','A429-9','X', 'UB')
('SL04652-2022-11-01-7385','S308-17','KRLWFWJexkrwKAR', 'LB')
('SL04652-2022-11-01-7386','S308-18','EOGRTkCHApDYE', 'MB')
('SL12058-2022-11-01-7261','S303-13','ulpiuRFgohhkyx', 'MB')
('SL22517-2022-11-01-7331','S306-11','bA', 'UB')
('SL12058-2022-11-01-7262','S303-14','ZYMiDKowhB', 'UB')
('AC12058-2022-11-01-7476','A416-6','zrkFceZW', 'SU')
('AC22517-2022-11-01-7471','A416-1','jiwVTCWNU', 'LB')
('SL04652-2022-11-02-7426','S310-10','xdXqDsmsVDAwZlBF', 'MB')
('AC12058-2022-11-01-7480','A416-10','Rneba', 'UB')
('SL22517-2022-11-02-7472','S312-8','kWOYCPtdtcu', 'SU')
('SL04652-2022-11-02-7465','S312-1','CQnBBnvLCVwnMGB', 'LB')
('SL04652-2022-11-02-7470','S312-6','oYfGbFZEV', 'UB')
('SL12058-2022-11-01-7320','S305-24','OYFoXPFwWp', 'SU')
('SL22517-2022-11-01-7379','S308-11','QFJsBLc', 'UB')
('AC04652-2022-11-01-7784','A433-8','XLKCvLS', 'LB')
('AC04652-2022-11-01-7785','A433-9','fvpD', 'UB')
('AC04652-2022-11-02-7528','A419-4','smjahmTZcOOglR', 'UB')
('SL22517-2022-11-01-7380','S308-12','t', 'LB')
('SL04652-2022-11-02-7477','S312-13','ThSr', 'MB')
('AC04652-2022-11-02-7553','A420-11','dtVQwqdv', 'SL')
('SL22517-2022-11-01-7401','S309-9','fZkzhFHDWRF', 'LB')
('AC04652-2022-11-02-7620','A424-6','EqUVEndcNdz', 'SU')
('SL12058-2022-11-01-7410','S309-18','QjVwc', 'MB')
('AC12058-2022-11-01-7622','A424-8','mkKjjkwZv', 'LB')
