('SL22517-2022-11-01-166','S7-22','XzkTLhQO', 'UB')
('AC22517-2022-11-01-1074','A60-12','akAQWK', 'SU')
('SL22517-2022-11-01-1110','S47-6','otGy', 'UB')
('SL22517-2022-11-01-1111','S47-7','CFlmbrdChDgJF', 'SL')
('AC12058-2022-11-01-1060','A59-16','yjhPdiZqnJ', 'UB')
('AC12058-2022-11-01-1064','A60-2','umno', 'LB')
('SL22517-2022-11-01-1117','S47-13','YMpZRNuz', 'MB')
('AC22517-2022-11-01-1083','A61-3','FlSIACZjhu', 'UB')
('SL04652-2022-11-02-1086','S46-6','suJeUhEQsogNX', 'UB')
('SL04652-2022-11-02-1087','S46-7','qwDgwOfioxqnmqZR', 'SL')
('AC22517-2022-11-01-1085','A61-5','IhfowY', 'SL')
('AC22517-2022-11-01-1096','A61-16','bZUJgwCAIUuozl', 'UB')
('AC04652-2022-11-01-1113','A62-15','MeqlPJNnLqCwU', 'UB')
('SL04652-2022-11-01-1120','S47-16','elrsj', 'SU')
('SL04652-2022-11-02-1099','S46-19','cZt', 'UB')
('SL04652-2022-11-01-1121','S47-17','FySWoZLm', 'LB')
('AC04652-2022-11-02-1148','A64-14','RbtU', 'LB')
('AC22517-2022-11-02-1131','A63-15','NIiTI', 'UB')
('SL12058-2022-11-01-1098','S46-18','ZiYPGhhYFa', 'MB')
('AC12058-2022-11-01-1086','A61-6','YhP', 'SU')
('SL12058-2022-11-01-1104','S46-24','unXphrMGvRvME', 'SU')
('AC22517-2022-11-02-1138','A64-4','FKHeyoyDAf', 'UB')
('AC04652-2022-11-02-1160','A65-8','fLoRdpwgppHVVca', 'LB')
('SL04652-2022-11-02-1113','S47-9','cxaUicyt', 'LB')
('SL12058-2022-11-01-1107','S47-3','OaATMsgVFLWrgI', 'UB')
('AC22517-2022-11-01-1102','A62-4','D', 'UB')
('SL04652-2022-11-02-1114','S47-10','BiuUuWudd', 'MB')
('SL12058-2022-11-01-1108','S47-4','iPVh', 'LB')
('SL12058-2022-11-01-1116','S47-12','EGAMWyBTyaty', 'LB')
('AC22517-2022-11-02-1152','A64-18','AnXwyurkLEJXIO', 'SU')
('SL22517-2022-11-01-1145','S48-17','WoZZxeu', 'LB')
('SL22517-2022-11-02-1140','S48-12','xxW', 'LB')
('SL22517-2022-11-02-1141','S48-13','JLAQFnIswwvECW', 'MB')
('AC04652-2022-11-01-1141','A64-7','UreYYVXZf', 'LB')
('AC04652-2022-11-01-1142','A64-8','Yw', 'LB')
('AC04652-2022-11-01-1143','A64-9','dxPJTyRSFeDwxk', 'UB')
('AC04652-2022-11-01-1165','A65-13','soWvZdNQ', 'LB')
('SL04652-2022-11-02-1148','S48-20','YjRJiQyqtM', 'LB')
('SL22517-2022-11-02-1174','S49-22','XZUwSVwifdAW', 'UB')
('SL22517-2022-11-02-1175','S49-23','PHspXkOSTMrQbvAN', 'SL')
('AC22517-2022-11-02-1188','A66-18','QBdeandQt', 'SU')
('AC04652-2022-11-02-1213','A68-7','ptrkaRaIY', 'LB')
('AC04652-2022-11-01-1199','A67-11','agBSmnYSebSWQc', 'SL')
('SL22517-2022-11-02-1208','S51-8','ZlKztJp', 'SU')
('SL04652-2022-11-01-1203','S51-3','NEMldiWsyvE', 'UB')
('AC12058-2022-11-01-1157','A65-5','vVX', 'SL')
('SL04652-2022-11-02-1191','S50-15','bXQal', 'SL')
('SL04652-2022-11-02-1193','S50-17','NgyAoZnuqL', 'LB')
('AC22517-2022-11-02-1217','A68-11','Pkbwjw', 'SL')
('SL12058-2022-11-01-1219','S51-19','LlsqmAXRPrkqjhJM', 'UB')
('SL04652-2022-11-01-1245','S52-21','JYShldbYX', 'MB')
('AC22517-2022-11-01-1222','A68-16','aVroCqsmdFUXKY', 'UB')
('SL04652-2022-11-01-1246','S52-22','CCl', 'UB')
('AC04652-2022-11-01-1252','A70-10','XwUSdtgicKSJLCH', 'UB')
('SL04652-2022-11-02-1242','S52-18','CpryTyMAEfAvWZh', 'MB')
('AC22517-2022-11-02-1257','A70-15','WwSAEGtqNGulQu', 'UB')
('SL22517-2022-11-02-1253','S53-5','hBFRiET', 'MB')
('AC04652-2022-11-02-1287','A72-9','j', 'UB')
('AC22517-2022-11-01-1225','A69-1','zJwpMJPRy', 'LB')
('AC04652-2022-11-01-1255','A70-13','EcEKlqoLjz', 'LB')
('SL04652-2022-11-01-1251','S53-3','xEXWvnYFKINCfzic', 'UB')
('AC22517-2022-11-02-1259','A70-17','TefvhijS', 'SL')
('AC04652-2022-11-01-1258','A70-16','XvTtyAZQCiZZp', 'UB')
('SL22517-2022-11-02-1256','S53-8','TkozYnCOMX', 'SU')
('SL22517-2022-11-02-1257','S53-9','aZ', 'LB')
('AC04652-2022-11-01-1260','A70-18','fy', 'SU')
('SL12058-2022-11-01-1229','S52-5','zymqAkMsCLSb', 'MB')
('AC04652-2022-11-02-1290','A72-12','tVPNNYZEzCRSxm', 'SU')
('AC12058-2022-11-01-1217','A68-11','iLPXcm', 'SL')
('SL22517-2022-11-01-1273','S54-1','UIqUeB', 'LB')
('AC04652-2022-11-02-1293','A72-15','VFCrRIT', 'UB')
('SL04652-2022-11-01-1253','S53-5','FbfuynH', 'MB')
('AC04652-2022-11-01-1267','A71-7','EvYiSNw', 'LB')
('AC22517-2022-11-02-1267','A71-7','uhkwxVo', 'LB')
('AC22517-2022-11-02-1268','A71-8','VoodVjgbfGswcc', 'LB')
('SL22517-2022-11-01-1278','S54-6','ZEOZVn', 'UB')
('SL12058-2022-11-01-1238','S52-14','NKpvAzxrMVP', 'UB')
('SL22517-2022-11-01-1281','S54-9','oPZswoChFl', 'LB')
('SL12058-2022-11-01-1242','S52-18','wZE', 'MB')
('SL04652-2022-11-02-1261','S53-13','hMvqEPkgelrD', 'MB')
('AC22517-2022-11-02-1273','A71-13','baTWuhKgNlrzC', 'LB')
('SL22517-2022-11-02-1265','S53-17','zbzWvLosrEmts', 'LB')
('AC22517-2022-11-01-1237','A69-13','dZJQVbifn', 'LB')
('SL04652-2022-11-01-1267','S53-19','YvxeSGVt', 'UB')
('AC04652-2022-11-01-1312','A73-16','HBzsktwpp', 'UB')
('SL04652-2022-11-01-1295','S54-23','PKlKsTmKmu', 'SL')
('SL04652-2022-11-01-1296','S54-24','o', 'SU')
('AC22517-2022-11-01-1292','A72-14','Tuhgos', 'LB')
('SL12058-2022-11-01-1278','S54-6','VVsVIbYVXOAtdb', 'UB')
('AC12058-2022-11-01-1277','A71-17','rmnYdoIxmacOqiQ', 'SL')
('AC22517-2022-11-01-1302','A73-6','ww', 'SU')
('SL04652-2022-11-01-1321','S56-1','lBq', 'LB')
('SL04652-2022-11-01-1322','S56-2','jENaiMgVitLW', 'MB')
('AC22517-2022-11-02-1315','A74-1','IgXuM', 'LB')
('SL04652-2022-11-02-1325','S56-5','CCnjhCenHcNPS', 'MB')
('AC04652-2022-11-01-1346','A75-14','wqFGcIyqmPrUouGW', 'LB')
('SL22517-2022-11-02-1318','S55-22','RpWRxauOP', 'UB')
('AC04652-2022-11-01-1351','A76-1','J', 'LB')
('AC12058-2022-11-01-1297','A73-1','T', 'LB')
('SL22517-2022-11-01-1353','S57-9','AqJEuL', 'LB')
('SL12058-2022-11-01-1293','S54-21','hXUnzLyg', 'MB')
('AC12058-2022-11-01-1303','A73-7','uF', 'LB')
('SL22517-2022-11-02-1325','S56-5','nOXcNMUlmnd', 'MB')
('SL12058-2022-11-01-1294','S54-22','mii', 'UB')
('AC22517-2022-11-02-1325','A74-11','kBZY', 'SL')
('SL04652-2022-11-02-1341','S56-21','R', 'MB')
('AC22517-2022-11-02-1326','A74-12','v', 'SU')
('AC22517-2022-11-01-1322','A74-8','NgMJpsEF', 'LB')
('SL12058-2022-11-01-1296','S54-24','GMAMquIkSHJzdDX', 'SU')
('SL22517-2022-11-01-1358','S57-14','oR', 'UB')
('SL04652-2022-11-01-1340','S56-20','NHtzF', 'LB')
('AC12058-2022-11-01-1317','A74-3','WXmpS', 'UB')
('AC12058-2022-11-01-1318','A74-4','NOp', 'UB')
('AC22517-2022-11-01-1328','A74-14','ygqOVXBWndyD', 'LB')
('SL22517-2022-11-01-1364','S57-20','r', 'LB')
('AC12058-2022-11-01-1324','A74-10','YlV', 'UB')
('AC12058-2022-11-01-1325','A74-11','vkFPFjylrNlIldh', 'SL')
('AC04652-2022-11-02-1378','A77-10','egisUplqlL', 'UB')
('AC12058-2022-11-01-1327','A74-13','V', 'LB')
('SL22517-2022-11-01-1369','S58-1','neRdcUqanOkox', 'LB')
('SL04652-2022-11-01-1344','S56-24','PxvTdcbRbkYe', 'SU')
('AC22517-2022-11-01-1366','A76-16','oaFiAxrOtJJtIObS', 'UB')
('SL22517-2022-11-01-1399','S59-7','VwEjkyHiVWl', 'SL')
('SL22517-2022-11-02-1377','S58-9','gCuEBJdzpnAQP', 'LB')
('AC12058-2022-11-01-1365','A76-15','EOG', 'UB')
('AC04652-2022-11-01-1411','A79-7','tgAMkIVVxCkLKB', 'LB')
('AC22517-2022-11-02-1373','A77-5','xKjEyV', 'SL')
('SL04652-2022-11-02-1399','S59-7','TbSDbhlvQPHeWXu', 'SL')
('SL04652-2022-11-01-1377','S58-9','THeBefusTxOVgB', 'LB')
('AC22517-2022-11-01-1372','A77-4','OtebfFdhJNrMdaBA', 'UB')
('SL22517-2022-11-02-1379','S58-11','g', 'UB')
('SL04652-2022-11-01-1380','S58-12','tbGf', 'LB')
('SL04652-2022-11-01-1381','S58-13','L', 'MB')
('AC04652-2022-11-01-1416','A79-12','JVUofUCN', 'SU')
('SL22517-2022-11-02-1380','S58-12','iRAvGRPF', 'LB')
('AC22517-2022-11-02-1378','A77-10','qyvasrgTG', 'UB')
('AC04652-2022-11-01-1421','A79-17','NIQTyCNb', 'SL')
('SL12058-2022-11-01-1354','S57-10','O', 'MB')
('SL04652-2022-11-02-1413','S59-21','HOQSgQb', 'MB')
('AC22517-2022-11-02-1394','A78-8','zyyuryxvjQjUXt', 'LB')
('AC12058-2022-11-01-1390','A78-4','LuGxf', 'UB')
('SL22517-2022-11-02-1387','S58-19','yu', 'UB')
('AC22517-2022-11-02-1397','A78-11','wQtExsTZxiJs', 'SL')
('SL22517-2022-11-02-1389','S58-21','ENneNPckMqglWbKk', 'MB')
('AC04652-2022-11-02-1429','A80-7','oqSsysyKMDRtWtkW', 'LB')
('SL22517-2022-11-02-1393','S59-1','FOlyZZRNLD', 'LB')
('AC22517-2022-11-01-1387','A78-1','VArhRR', 'LB')
('SL04652-2022-11-02-1423','S60-7','JwDXeqOiUjOu', 'SL')
('AC22517-2022-11-01-1388','A78-2','udquOCiNK', 'LB')
('AC22517-2022-11-02-1408','A79-4','rnyioyOona', 'UB')
('AC12058-2022-11-01-1397','A78-11','yqyL', 'SL')
('SL12058-2022-11-01-1373','S58-5','RbyVdblaHV', 'MB')
('SL04652-2022-11-01-1405','S59-13','G', 'MB')
('SL22517-2022-11-01-1433','S60-17','b', 'LB')
('AC04652-2022-11-02-1454','A81-14','iXYLBYw', 'LB')
('AC22517-2022-11-02-1427','A80-5','Ki', 'SL')
('SL22517-2022-11-01-1447','S61-7','GKwCScI', 'SL')
('SL04652-2022-11-01-1422','S60-6','jRlOocAWCpyPd', 'UB')
('SL12058-2022-11-01-1389','S58-21','hxhuC', 'MB')
('AC22517-2022-11-01-1421','A79-17','AsoGTba', 'SL')
('AC12058-2022-11-01-1419','A79-15','tXpynnYeTCSr', 'UB')
('SL22517-2022-11-01-1457','S61-17','V', 'LB')
('SL04652-2022-11-02-1450','S61-10','YQZdbHUiHfUcA', 'MB')
('AC22517-2022-11-02-1438','A80-16','vbTUhRIOgznyO', 'UB')
('AC12058-2022-11-01-1424','A80-2','JKoxu', 'LB')
('SL22517-2022-11-02-1449','S61-9','V', 'LB')
('SL04652-2022-11-02-1467','S62-3','GUXQRbqHg', 'UB')
('AC04652-2022-11-02-1487','A83-11','pXtIgJVeezouNUp', 'SL')
('AC22517-2022-11-01-1443','A81-3','eFqjB', 'UB')
('AC22517-2022-11-02-1462','A82-4','cEZRmQIe', 'UB')
('AC04652-2022-11-01-1495','A84-1','XodmBhAubmA', 'LB')
('SL12058-2022-11-01-1428','S60-12','RntQFPbCwWGFjxF', 'LB')
('SL22517-2022-11-01-1487','S62-23','wCttDxJ', 'SL')
('SL22517-2022-11-01-1488','S62-24','PLCTnXuf', 'SU')
('AC12058-2022-11-01-1446','A81-6','mNrTINrbVVfxtHNQ', 'SU')
('AC12058-2022-11-01-1447','A81-7','ostxFjouhCacYVJb', 'LB')
('SL22517-2022-11-01-1490','S63-2','LdyDiBaBnuIo', 'MB')
('SL04652-2022-11-01-1455','S61-15','vgbetAnJKHNvCPg', 'SL')
('SL22517-2022-11-01-1492','S63-4','QtjFDeqC', 'LB')
('SL04652-2022-11-01-1457','S61-17','NooBTuYYwC', 'LB')
('AC22517-2022-11-02-1476','A82-18','VQFtLiJXz', 'SU')
('AC22517-2022-11-01-1458','A81-18','cmOhAACbKdBUQEJ', 'SU')
('AC04652-2022-11-02-1498','A84-4','LrdKNoDljTBqpou', 'UB')
('SL04652-2022-11-02-1485','S62-21','itxMnRggZsPCIA', 'MB')
('AC22517-2022-11-02-1486','A83-10','HLHGaAjUJPIdM', 'UB')
('AC04652-2022-11-02-1503','A84-9','XTPlWLKi', 'UB')
('SL12058-2022-11-01-1444','S61-4','qOJeIwuudDELLKl', 'LB')
('SL22517-2022-11-02-1478','S62-14','IpCh', 'UB')
('SL12058-2022-11-01-1445','S61-5','PlgjzdTCK', 'MB')
('SL22517-2022-11-02-1486','S62-22','E', 'UB')
('SL04652-2022-11-02-1503','S63-15','urryihpWhbZed', 'SL')
('SL04652-2022-11-01-1488','S62-24','WjTlkcunKVqJsFn', 'SU')
('AC22517-2022-11-01-1489','A83-13','npEwsKTW', 'LB')
('SL22517-2022-11-01-1520','S64-8','xgSsWnNMO', 'SU')
('AC22517-2022-11-02-1505','A84-11','DVOBb', 'SL')
('AC04652-2022-11-01-1521','A85-9','EclfAvKRNaDwZrK', 'UB')
('SL12058-2022-11-01-1467','S62-3','GoYuvzAErtQaM', 'UB')
('SL22517-2022-11-01-1523','S64-11','fyzbmBSwWUCB', 'UB')
('SL04652-2022-11-02-1508','S63-20','PT', 'LB')
('AC22517-2022-11-01-1549','A87-1','Sb', 'LB')
('AC22517-2022-11-02-1551','A87-3','aqMLa', 'UB')
('SL22517-2022-11-02-1550','S65-14','QtSWr', 'UB')
('SL04652-2022-11-02-1550','S65-14','bYkZrHS', 'UB')
('AC04652-2022-11-01-1585','A89-1','cTdgCniGBjSlmhM', 'LB')
('SL22517-2022-11-02-1553','S65-17','AsjKUZtbDmQyiCah', 'LB')
('AC12058-2022-11-01-1534','A86-4','jDhL', 'UB')
('AC22517-2022-11-01-1556','A87-8','XuUXrsxrOamW', 'LB')
('AC04652-2022-11-02-1579','A88-13','mVECaysXKZelfEw', 'LB')
('AC12058-2022-11-01-1544','A86-14','OWJdshdHOl', 'LB')
('AC04652-2022-11-01-1597','A89-13','YpjIhYBUYTn', 'LB')
('AC04652-2022-11-02-1587','A89-3','q', 'UB')
('AC04652-2022-11-02-1588','A89-4','eBGezTcbWWvCagQy', 'UB')
('AC22517-2022-11-02-1573','A88-7','rDaq', 'LB')
('AC12058-2022-11-01-1551','A87-3','vbiMgOcLlvMcu', 'UB')
('SL04652-2022-11-02-1572','S66-12','QnClOhfOdmuwnQoV', 'LB')
('AC22517-2022-11-01-1580','A88-14','mMnreHC', 'LB')
('SL04652-2022-11-01-1574','S66-14','dm', 'UB')
('AC04652-2022-11-02-1630','A91-10','ZJm', 'UB')
('AC12058-2022-11-01-1594','A89-10','ABKPwdgZZEOp', 'UB')
('AC04652-2022-11-02-1635','A91-15','msbJLpfVZFtbo', 'UB')
('AC04652-2022-11-02-1636','A91-16','OanUkNAx', 'UB')
('SL22517-2022-11-02-1603','S67-19','ciQnxkVbgdUQ', 'UB')
('AC22517-2022-11-01-1624','A91-4','Mm', 'UB')
('SL04652-2022-11-01-1611','S68-3','sfGsR', 'UB')
('SL04652-2022-11-02-1610','S68-2','IT', 'MB')
('SL04652-2022-11-02-1611','S68-3','dA', 'UB')
('AC22517-2022-11-02-1621','A91-1','HAwIySoYqU', 'LB')
('SL22517-2022-11-01-1637','S69-5','pnLwwVC', 'MB')
('AC22517-2022-11-02-1627','A91-7','VGuhtdochJTuEi', 'LB')
('AC12058-2022-11-01-1607','A90-5','gVAnPKFnFoyu', 'SL')
('SL04652-2022-11-02-1662','S70-6','DzVShzY', 'UB')
('AC22517-2022-11-01-1682','A94-8','wMTFySeALsytGVe', 'LB')
('AC04652-2022-11-01-1711','A96-1','OcLGtrRa', 'LB')
('SL12058-2022-11-01-1630','S68-22','uFwkgSJPsSX', 'UB')
('AC04652-2022-11-01-1717','A96-7','KZgsKHrvigg', 'LB')
('SL12058-2022-11-01-1644','S69-12','GhAQQkXBRU', 'LB')
('SL22517-2022-11-02-1666','S70-10','k', 'MB')
('AC22517-2022-11-02-1671','A93-15','AmsqrwtirEqJTu', 'UB')
('SL12058-2022-11-01-1645','S69-13','XxJZJwVQS', 'MB')
('SL12058-2022-11-01-1666','S70-10','qtpRYKJ', 'MB')
('SL22517-2022-11-01-1707','S72-3','mkdvaUSeA', 'UB')
('SL04652-2022-11-02-1707','S72-3','aHNQjlmVsmcP', 'UB')
('SL04652-2022-11-02-1708','S72-4','vsxuyY', 'LB')
('AC22517-2022-11-02-1705','A95-13','nyYlVdrHGb', 'LB')
('AC04652-2022-11-02-1720','A96-10','AihhaEiZNq', 'UB')
('AC12058-2022-11-01-1747','A98-1','DiNsa', 'LB')
('AC12058-2022-11-01-1750','A98-4','JNiFBxBGUMjktY', 'UB')
('AC22517-2022-11-01-1810','A101-10','VhJuoFQbRLJss', 'UB')
('AC04652-2022-11-02-1796','A100-14','zDUpbj', 'LB')
('AC04652-2022-11-02-1797','A100-15','pajfwBOi', 'UB')
('SL22517-2022-11-02-1758','S74-6','cDbXQPgBNXpJYNLC', 'UB')
('AC04652-2022-11-01-1841','A103-5','gkZQJHnu', 'SL')
('AC04652-2022-11-02-1807','A101-7','hNyddpRIhVYgl', 'LB')
('AC04652-2022-11-02-1808','A101-8','lIITMUim', 'LB')
('AC22517-2022-11-02-1780','A99-16','eGpEsjc', 'UB')
('SL12058-2022-11-01-1751','S73-23','mLCFMlqx', 'SL')
('SL04652-2022-11-01-1790','S75-14','lwPl', 'UB')
('AC22517-2022-11-01-1834','A102-16','DWULuQV', 'UB')
('SL22517-2022-11-01-1809','S76-9','yaVIMvTyaZzf', 'LB')
('AC12058-2022-11-01-1778','A99-14','KYcpIl', 'LB')
('AC22517-2022-11-02-1789','A100-7','iZRK', 'LB')
('AC22517-2022-11-01-1838','A103-2','AJ', 'LB')
('AC04652-2022-11-01-1866','A104-12','rK', 'SU')
('SL04652-2022-11-02-1803','S76-3','UwZkVwVQXBuVjwZ', 'UB')
('SL22517-2022-11-01-1815','S76-15','LuGzBVgXMPfjIe', 'SL')
('SL12058-2022-11-01-1769','S74-17','Q', 'LB')
('SL12058-2022-11-01-1770','S74-18','hZjLWNFspf', 'MB')
('AC22517-2022-11-02-1794','A100-12','eEdeNryrhNv', 'SU')
('AC22517-2022-11-02-1795','A100-13','SwxMtV', 'LB')
('SL04652-2022-11-01-1806','S76-6','JzIcSzeqG', 'UB')
('SL22517-2022-11-02-1793','S75-17','ppPskenvZkoSHEv', 'LB')
('AC04652-2022-11-02-1827','A102-9','XhHJrMcPRMrddh', 'UB')
('SL12058-2022-11-01-1780','S75-4','RRDFwSN', 'LB')
('SL04652-2022-11-01-1813','S76-13','kb', 'MB')
('SL22517-2022-11-02-1801','S76-1','WvkPOXxyYXtE', 'LB')
('SL22517-2022-11-01-1830','S77-6','yvDAnXtNRq', 'UB')
('SL04652-2022-11-02-1818','S76-18','WDnWChBbyeOcdm', 'MB')
('AC04652-2022-11-01-1880','A105-8','cfZdAX', 'LB')
('AC22517-2022-11-01-1852','A103-16','WrnWNZxfeG', 'UB')
('AC22517-2022-11-01-1878','A105-6','RxDuewMKxMnrJ', 'SU')
('AC04652-2022-11-01-1917','A107-9','ZVHyPANORLftcLda', 'UB')
('SL04652-2022-11-01-1843','S77-19','jooNWhsRL', 'UB')
('AC22517-2022-11-01-1882','A105-10','KTseogNLtPXWzWP', 'UB')
('SL22517-2022-11-01-1914','S80-18','XVqsRYNzkHVhMw', 'MB')
('SL12058-2022-11-01-1870','S78-22','duCDQgECcPlP', 'UB')
('AC12058-2022-11-01-1874','A105-2','univyIMHo', 'LB')
('SL22517-2022-11-01-1919','S80-23','eAppQf', 'SL')
('AC04652-2022-11-02-1899','A106-9','RqBB', 'UB')
('AC22517-2022-11-01-1937','A108-11','IDiBoRLxXl', 'SL')
('SL12058-2022-11-01-1874','S79-2','YcViQmNM', 'MB')
('SL04652-2022-11-01-1903','S80-7','LKzOpdS', 'SL')
('AC04652-2022-11-01-1985','A111-5','sVxdmQlqFKasCfN', 'SL')
('SL12058-2022-11-01-1891','S79-19','sYfkqBEUkdw', 'UB')
('SL04652-2022-11-02-1930','S81-10','pyOnjxqNHfHD', 'MB')
('SL22517-2022-11-01-1938','S81-18','nOtCWlXU', 'MB')
('SL22517-2022-11-01-1939','S81-19','adbcvJovrjuRbZ', 'UB')
('SL04652-2022-11-02-1933','S81-13','uGTXTh', 'MB')
('SL04652-2022-11-02-1934','S81-14','cBxumSivjlvRgzrq', 'UB')
('AC04652-2022-11-01-1992','A111-12','Zhs', 'SU')
('AC04652-2022-11-02-1921','A107-13','YECzKZNro', 'LB')
('AC04652-2022-11-02-1922','A107-14','fSAbUXvoiubeMOS', 'LB')
('SL12058-2022-11-01-1903','S80-7','IjeIjZiPF', 'SL')
('AC04652-2022-11-02-1923','A107-15','xLxz', 'UB')
('SL22517-2022-11-02-1907','S80-11','blJN', 'UB')
('AC04652-2022-11-02-1927','A108-1','BePW', 'LB')
('AC12058-2022-11-01-1893','A106-3','lKTbpaAx', 'UB')
('SL04652-2022-11-01-1919','S80-23','y', 'SL')
('AC04652-2022-11-02-1932','A108-6','DGWwutbnPTzUwFkw', 'SU')
('AC22517-2022-11-02-1906','A106-16','SxXYGBtJXUKaKYPw', 'UB')
('AC12058-2022-11-01-1896','A106-6','mjJe', 'SU')
('AC04652-2022-11-02-1935','A108-9','Zla', 'UB')
('AC04652-2022-11-01-2007','A112-9','OvmiVFcC', 'UB')
('AC22517-2022-11-02-1912','A107-4','FkytUHqyjbluiLQ', 'UB')
('SL04652-2022-11-01-1926','S81-6','uYlOekjcF', 'UB')
('AC04652-2022-11-01-2010','A112-12','rS', 'SU')
('AC04652-2022-11-02-1948','A109-4','ABT', 'UB')
('AC22517-2022-11-01-1977','A110-15','lIlHvqhzXZqHrD', 'UB')
('SL22517-2022-11-02-1926','S81-6','NbRiaqyozi', 'UB')
('AC12058-2022-11-01-1905','A106-15','lpEaiUmfpnX', 'UB')
('AC22517-2022-11-01-1979','A110-17','vfORzXPWxEpo', 'SL')
('SL04652-2022-11-01-1931','S81-11','PzMLKDmR', 'UB')
('SL04652-2022-11-02-1960','S82-16','SCHTCypGHHAm', 'SU')
('AC22517-2022-11-01-1980','A110-18','GUGoZxt', 'SU')
('SL12058-2022-11-01-1914','S80-18','gibGEWJgBWkf', 'MB')
('SL04652-2022-11-02-1964','S82-20','Yoxtoaorhq', 'LB')
('AC22517-2022-11-02-1929','A108-3','ceKrrtOWfjZEmE', 'UB')
('SL12058-2022-11-01-1921','S81-1','tCrNcPvwzAQG', 'LB')
('AC12058-2022-11-01-1922','A107-14','XCQdWVjaX', 'LB')
('SL22517-2022-11-01-1969','S83-1','IVQhcPzWlWzQf', 'LB')
('AC22517-2022-11-02-1938','A108-12','N', 'SU')
('AC22517-2022-11-02-1941','A108-15','Bnzpv', 'UB')
('SL04652-2022-11-02-1974','S83-6','zpuVOnrmaypBWZVB', 'UB')
('AC04652-2022-11-02-1961','A109-17','hfg', 'SL')
('SL04652-2022-11-01-1949','S82-5','Ux', 'MB')
('AC12058-2022-11-01-1933','A108-7','gOsnUWr', 'LB')
('SL22517-2022-11-02-1947','S82-3','hRWkr', 'UB')
('SL12058-2022-11-01-1938','S81-18','Ue', 'MB')
('AC22517-2022-11-01-1997','A111-17','mbVVRWwakEEofBBO', 'SL')
('AC04652-2022-11-01-2036','A114-2','EedJmmipUk', 'LB')
('SL04652-2022-11-01-1955','S82-11','NlQzNTHDLUquabB', 'UB')
('SL04652-2022-11-01-2023','S85-7','CGTHtq', 'SL')
('AC22517-2022-11-02-2071','A116-1','t', 'LB')
('AC12058-2022-11-01-2072','A116-2','excsLiiRQEva', 'LB')
('SL12058-2022-11-01-2059','S86-19','lbTiJNli', 'UB')
('SL22517-2022-11-01-2101','S88-13','NQBZSt', 'MB')
('AC22517-2022-11-02-2081','A116-11','VYhM', 'SL')
('AC12058-2022-11-01-2080','A116-10','cuyBMhaFZsIEcV', 'UB')
('AC22517-2022-11-01-2123','A118-17','n', 'SL')
('SL04652-2022-11-01-2071','S87-7','kYxPrbBNX', 'SL')
('AC12058-2022-11-01-2083','A116-13','o', 'LB')
('SL04652-2022-11-01-2072','S87-8','iiovHdHn', 'SU')
('SL22517-2022-11-01-2110','S88-22','Pc', 'UB')
('AC22517-2022-11-02-2086','A116-16','zOEkRhuaBBPMTV', 'UB')
('AC04652-2022-11-02-2089','A117-1','iUlWblsLfiQcvc', 'LB')
('SL12058-2022-11-01-2062','S86-22','q', 'UB')
('AC04652-2022-11-01-2173','A121-13','h', 'LB')
('SL12058-2022-11-01-2065','S87-1','fNraVPmL', 'LB')
('SL04652-2022-11-01-2082','S87-18','khH', 'MB')
('SL22517-2022-11-02-2088','S87-24','dkUFBSUvXNB', 'SU')
('SL22517-2022-11-01-2115','S89-3','yuBsGUMn', 'UB')
('SL22517-2022-11-01-2116','S89-4','qFEUynhVFo', 'LB')
('AC04652-2022-11-01-2180','A122-2','RiFKKPNRN', 'LB')
('AC22517-2022-11-02-2093','A117-5','bvlkZCK', 'SL')
('AC04652-2022-11-02-2139','A119-15','jRjqFA', 'UB')
('AC22517-2022-11-02-2139','A119-15','IsiDPROSnMXTExh', 'UB')
('AC22517-2022-11-02-2140','A119-16','WxrYXTHDAVZPGA', 'UB')
('SL04652-2022-11-02-2168','S91-8','RGMeU', 'SU')
('SL12058-2022-11-01-2116','S89-4','zgExYTEIaauJSL', 'LB')
('SL04652-2022-11-01-2134','S89-22','FDxZwdDmlMA', 'UB')
('AC04652-2022-11-02-2155','A120-13','L', 'LB')
('AC22517-2022-11-02-2157','A120-15','iZnQCwYvr', 'UB')
('AC04652-2022-11-02-2157','A120-15','iBqvMaqPGsVTRJYO', 'UB')
('SL04652-2022-11-01-2156','S90-20','xvITIdEBADvZJVz', 'LB')
('SL12058-2022-11-01-2135','S89-23','TIIwRhr', 'SL')
('AC04652-2022-11-02-2167','A121-7','GFnbnG', 'LB')
('AC22517-2022-11-02-2169','A121-9','zyhLIp', 'UB')
('SL22517-2022-11-02-2171','S91-11','pKXWmzZt', 'UB')
('AC04652-2022-11-02-2180','A122-2','QL', 'LB')
('SL12058-2022-11-01-2151','S90-15','c', 'SL')
('AC22517-2022-11-01-2249','A125-17','Cogkf', 'SL')
('AC22517-2022-11-01-2260','A126-10','MTeiRjEIMw', 'UB')
('AC22517-2022-11-01-2261','A126-11','XyfTZatqPlFYKl', 'SL')
('AC22517-2022-11-02-2218','A124-4','fP', 'UB')
('AC22517-2022-11-02-2223','A124-9','NcogbZuWruFcEynI', 'UB')
('SL22517-2022-11-01-2233','S94-1','VnrQEVB', 'LB')
('SL22517-2022-11-01-2234','S94-2','a', 'MB')
