('SL04652-2022-11-01-9','S1-9','yi', 'LB')
('AC04652-2022-11-02-1281','A72-3','jbcRVwBt', 'UB')
('AC22517-2022-11-02-1333','A75-1','DlCNipSFtfoQ', 'LB')
('AC04652-2022-11-01-1323','A74-9','iEOgIKVArMmnjfSC', 'UB')
('AC12058-2022-11-01-1311','A73-15','NeTvhXc', 'UB')
('AC04652-2022-11-01-1326','A74-12','NVay', 'SU')
('AC22517-2022-11-02-1341','A75-9','RBEpJebZyPVI', 'UB')
('AC04652-2022-11-02-1287','A72-9','qe', 'UB')
('SL04652-2022-11-02-1286','S54-14','xbKUbNwaG', 'UB')
('SL12058-2022-11-01-1292','S54-20','EDyXCOngzX', 'LB')
('SL12058-2022-11-01-1295','S54-23','XseSxmcgYeZLZ', 'SL')
('AC04652-2022-11-02-1292','A72-14','DmTPCipbGmuCJGhE', 'LB')
('AC04652-2022-11-02-1293','A72-15','YXGxVPrDrci', 'UB')
('SL12058-2022-11-01-1297','S55-1','rIIUAbsjlE', 'LB')
('AC04652-2022-11-01-1338','A75-6','ZLvFpzLiMvapQwJc', 'SU')
('AC12058-2022-11-01-1328','A74-14','cvMFo', 'LB')
('AC04652-2022-11-02-1304','A73-8','OUAXMLbJES', 'LB')
('SL22517-2022-11-01-1320','S55-24','bPTMvSqjteDZSjQC', 'SU')
('SL04652-2022-11-02-1300','S55-4','zmaPtM', 'LB')
('SL04652-2022-11-02-1301','S55-5','bruMtdYb', 'MB')
('AC22517-2022-11-01-1300','A73-4','yxdROJrxIEMPDcB', 'UB')
('AC12058-2022-11-01-1332','A74-18','aO', 'SU')
('SL12058-2022-11-01-1304','S55-8','qMpWocTKdfcDJVb', 'SU')
('AC22517-2022-11-01-1301','A73-5','ZmNoZgNjr', 'SL')
('AC22517-2022-11-02-1358','A76-8','hoP', 'LB')
('AC22517-2022-11-02-1359','A76-9','qObWzJDkVzlf', 'UB')
('AC04652-2022-11-01-1342','A75-10','avqmDR', 'UB')
('SL22517-2022-11-01-1324','S56-4','MMrGXNRqCcv', 'LB')
('AC12058-2022-11-01-1337','A75-5','iQeTsTZjJ', 'SL')
('SL12058-2022-11-01-1306','S55-10','OyrBaUgyUrgdok', 'MB')
('AC12058-2022-11-01-1339','A75-7','iRmJtci', 'LB')
('SL04652-2022-11-02-1345','S57-1','YMl', 'LB')
('AC22517-2022-11-01-1339','A75-7','eqMVJCnfPJUeJsKm', 'LB')
('AC22517-2022-11-02-1396','A78-10','NTewmt', 'UB')
('SL04652-2022-11-02-1347','S57-3','BF', 'UB')
('AC04652-2022-11-02-1352','A76-2','yvHLS', 'LB')
('AC22517-2022-11-02-1399','A78-13','pnY', 'LB')
('SL22517-2022-11-01-1367','S57-23','hTGdtfeVoxf', 'SL')
('AC22517-2022-11-02-1402','A78-16','twhLTwcrzeKYw', 'UB')
('SL22517-2022-11-02-1405','S59-13','lBM', 'MB')
('SL12058-2022-11-01-1352','S57-8','Ri', 'SU')
('AC04652-2022-11-02-1356','A76-6','fddFHFnypwi', 'SU')
('AC04652-2022-11-02-1357','A76-7','sm', 'LB')
('SL12058-2022-11-01-1353','S57-9','ulSQuAMClltB', 'LB')
('SL04652-2022-11-02-1352','S57-8','sXAN', 'SU')
('AC04652-2022-11-02-1362','A76-12','dsSSVyfqClUZPru', 'SU')
('AC22517-2022-11-02-1408','A79-4','JXOOB', 'UB')
('SL22517-2022-11-02-1411','S59-19','pKyxpwdrbQRo', 'UB')
('AC04652-2022-11-01-1402','A78-16','d', 'UB')
('SL04652-2022-11-01-1376','S58-8','EvR', 'SU')
('SL22517-2022-11-01-1375','S58-7','JsQyG', 'SL')
('SL12058-2022-11-01-1363','S57-19','YWmXCKuos', 'UB')
('SL04652-2022-11-02-1359','S57-15','sl', 'SL')
('SL22517-2022-11-01-1377','S58-9','ajAGChsyYpGROp', 'LB')
('SL22517-2022-11-01-1378','S58-10','ilzDrR', 'MB')
('AC04652-2022-11-02-1371','A77-3','c', 'UB')
('SL04652-2022-11-01-1389','S58-21','zh', 'MB')
('AC12058-2022-11-01-1396','A78-10','IKeeCksDm', 'UB')
('AC12058-2022-11-01-1397','A78-11','QqEB', 'SL')
('AC22517-2022-11-02-1420','A79-16','rrxRUhSDnfxXJq', 'UB')
('SL22517-2022-11-01-1389','S58-21','mSmQnEupKGxh', 'MB')
('SL04652-2022-11-01-1399','S59-7','Un', 'SL')
('AC12058-2022-11-01-1419','A79-15','PHiVbF', 'UB')
('AC04652-2022-11-02-1386','A77-18','lMCWfsNjVMupuF', 'SU')
('SL04652-2022-11-01-1411','S59-19','ZxiWILoEhdz', 'UB')
('SL04652-2022-11-02-1386','S58-18','ROwYlpprwAJNG', 'MB')
('AC22517-2022-11-02-1442','A81-2','irG', 'LB')
('AC12058-2022-11-01-1423','A80-1','ssFzdWYsmCG', 'LB')
('SL04652-2022-11-01-1418','S60-2','qMtMquAkKunagID', 'MB')
('AC22517-2022-11-02-1471','A82-13','tK', 'LB')
('AC22517-2022-11-02-1473','A82-15','xQ', 'UB')
('AC22517-2022-11-02-1474','A82-16','rKlUdoGPXWnRVp', 'UB')
('SL22517-2022-11-02-1473','S62-9','bGP', 'LB')
('SL04652-2022-11-01-1448','S61-8','FP', 'SU')
('SL12058-2022-11-01-1415','S59-23','YRwxp', 'SL')
('SL22517-2022-11-02-1477','S62-13','jXlBiyMfRVcSJjQ', 'MB')
('SL04652-2022-11-01-1462','S61-22','sIW', 'UB')
('SL22517-2022-11-01-1444','S61-4','QEyJfZ', 'LB')
('AC22517-2022-11-02-1485','A83-9','qJGhqXWoXRv', 'UB')
('AC22517-2022-11-02-1486','A83-10','KvOHfKQ', 'UB')
('AC22517-2022-11-02-1487','A83-11','YwcnGlixcnDMRo', 'SL')
('AC22517-2022-11-01-1429','A80-7','oWzyjlUVsK', 'LB')
('SL12058-2022-11-01-1425','S60-9','Rz', 'LB')
('AC22517-2022-11-01-1430','A80-8','wpzlJRPFYZpo', 'LB')
('AC04652-2022-11-01-1477','A83-1','TVVL', 'LB')
('AC12058-2022-11-01-1467','A82-9','LCNc', 'UB')
('AC04652-2022-11-01-1479','A83-3','liJSLAAeYMtVM', 'UB')
('SL04652-2022-11-02-1437','S60-21','lWSNQuhoVu', 'MB')
('SL22517-2022-11-01-1449','S61-9','c', 'LB')
('SL22517-2022-11-01-1450','S61-10','RY', 'MB')
('AC22517-2022-11-02-1502','A84-8','iTebR', 'LB')
('AC04652-2022-11-01-1488','A83-12','NMHGrVTBmrIb', 'SU')
('AC04652-2022-11-01-1489','A83-13','lQbZOgfHQFS', 'LB')
('AC22517-2022-11-02-1507','A84-13','KGLEWhH', 'LB')
('SL12058-2022-11-01-1473','S62-9','pQn', 'LB')
('SL04652-2022-11-02-1487','S62-23','vEALAJQO', 'SL')
('SL04652-2022-11-02-1491','S63-3','DzCxNjQYbf', 'UB')
('AC22517-2022-11-02-1549','A87-1','gVvhqS', 'LB')
('AC04652-2022-11-01-1537','A86-7','zRqOThywH', 'LB')
('SL04652-2022-11-02-1500','S63-12','AYpKlKmGRMPccBS', 'LB')
('SL04652-2022-11-02-1501','S63-13','A', 'MB')
('SL04652-2022-11-02-1502','S63-14','PeanViB', 'UB')
('SL04652-2022-11-01-1526','S64-14','vUGVzlme', 'UB')
('SL12058-2022-11-01-1493','S63-5','k', 'MB')
('AC12058-2022-11-01-1531','A86-1','ZqISSZ', 'LB')
('SL04652-2022-11-01-1528','S64-16','bYuI', 'SU')
('AC04652-2022-11-02-1482','A83-6','Dnupz', 'SU')
('SL22517-2022-11-02-1566','S66-6','XI', 'UB')
('SL04652-2022-11-02-1508','S63-20','dhpdbckGgBsKBzV', 'LB')
('SL22517-2022-11-02-1572','S66-12','lWKhxAcpCiLV', 'LB')
('SL12058-2022-11-01-1503','S63-15','LLrPynjOD', 'SL')
('AC04652-2022-11-01-1554','A87-6','wpfVjb', 'SU')
('SL04652-2022-11-01-1540','S65-4','gVImpjjkxWqCRWP', 'LB')
('AC22517-2022-11-01-1489','A83-13','hnYTcGNPRIGAY', 'LB')
('AC22517-2022-11-02-1574','A88-8','RCB', 'LB')
('SL22517-2022-11-01-1533','S64-21','IjgWleytHVOqWP', 'MB')
('AC04652-2022-11-01-1560','A87-12','fJZhqisiKzFMYJj', 'SU')
('AC22517-2022-11-01-1495','A84-1','uSlDhgNeUuvXudP', 'LB')
('AC12058-2022-11-01-1556','A87-8','cJIMp', 'LB')
('SL04652-2022-11-01-1551','S65-15','OfMh', 'SL')
('AC04652-2022-11-01-1564','A87-16','xg', 'UB')
('SL04652-2022-11-01-1555','S65-19','QKuKvv', 'UB')
('AC22517-2022-11-01-1499','A84-5','MNxKLa', 'SL')
('SL22517-2022-11-02-1587','S67-3','DssckyfFcU', 'UB')
('AC12058-2022-11-01-1564','A87-16','ADeOIza', 'UB')
('SL12058-2022-11-01-1522','S64-10','OkOmXfGFNIETDYR', 'MB')
('AC22517-2022-11-01-1503','A84-9','kwvgDSlBXrEbrF', 'UB')
('AC22517-2022-11-02-1585','A89-1','OmQxVtkpyjicl', 'LB')
('AC12058-2022-11-01-1575','A88-9','PQxwvaGTLjXNz', 'UB')
('SL04652-2022-11-01-1563','S66-3','XJraZmWfWUV', 'UB')
('SL22517-2022-11-01-1550','S65-14','TMlYNCYezZBOX', 'UB')
('SL22517-2022-11-02-1601','S67-17','oxOnozntXXDtMxYl', 'LB')
('AC04652-2022-11-01-1584','A88-18','lJalB', 'SU')
('AC04652-2022-11-02-1523','A85-11','lduVbLqmraQE', 'SL')
('AC22517-2022-11-02-1594','A89-10','LNyaFOODSM', 'UB')
('SL22517-2022-11-02-1607','S67-23','wZnzlJV', 'SL')
('SL22517-2022-11-01-1555','S65-19','vwakwQBaB', 'UB')
('AC04652-2022-11-02-1527','A85-15','uNTno', 'UB')
('AC04652-2022-11-01-1595','A89-11','mSLfuvr', 'SL')
('AC22517-2022-11-02-1601','A89-17','dbzrGJwgRVl', 'SL')
('AC04652-2022-11-02-1528','A85-16','SUQbcShlkH', 'UB')
('AC04652-2022-11-01-1598','A89-14','ZFPFePjSs', 'LB')
('AC22517-2022-11-02-1602','A89-18','l', 'SU')
('SL04652-2022-11-02-1549','S65-13','PgdXeqWPvztMEbfg', 'MB')
('AC12058-2022-11-01-1585','A89-1','IeKVSRViHLg', 'LB')
('SL22517-2022-11-01-1563','S66-3','WgGByOsojbav', 'UB')
('SL22517-2022-11-01-1564','S66-4','jAmzeL', 'LB')
('AC22517-2022-11-01-1523','A85-11','dgWrLSa', 'SL')
('AC04652-2022-11-02-1532','A86-2','cESqprcXU', 'LB')
('AC04652-2022-11-01-1613','A90-11','qvglbkaSLQdLnQb', 'SL')
('SL22517-2022-11-02-1630','S68-22','kkA', 'UB')
('AC04652-2022-11-01-1618','A90-16','YCXuwPDeP', 'UB')
('SL12058-2022-11-01-1570','S66-10','SfAOGBbaU', 'MB')
('AC04652-2022-11-01-1620','A90-18','ofmAsFcvFYOHL', 'SU')
('SL22517-2022-11-01-1586','S67-2','SunNVWwxliiVvF', 'MB')
('SL22517-2022-11-01-1590','S67-6','mrOjt', 'UB')
('AC12058-2022-11-01-1608','A90-6','A', 'SU')
('SL04652-2022-11-01-1606','S67-22','jblQnedTEG', 'UB')
('SL04652-2022-11-02-1573','S66-13','aChHkouzrDVBaAd', 'MB')
('SL22517-2022-11-01-1594','S67-10','CjCh', 'MB')
('SL12058-2022-11-01-1585','S67-1','gMzVmPNE', 'LB')
('SL22517-2022-11-02-1642','S69-10','iVozaBeHlCHzri', 'MB')
('AC22517-2022-11-01-1553','A87-5','afqnKEGDWAvgQWrR', 'SL')
('AC22517-2022-11-01-1558','A87-10','VAhhAVBBkJs', 'UB')
('SL22517-2022-11-02-1646','S69-14','yIMYCnMdW', 'UB')
('AC22517-2022-11-02-1631','A91-11','tsugsB', 'SL')
('AC04652-2022-11-01-1642','A92-4','INo', 'UB')
('AC22517-2022-11-02-1632','A91-12','ZgeImkSiMhqD', 'SU')
('AC04652-2022-11-02-1554','A87-6','wMoljoKMVeCCI', 'SU')
('AC04652-2022-11-02-1555','A87-7','CKD', 'LB')
('AC22517-2022-11-01-1562','A87-14','VTTRW', 'LB')
('AC12058-2022-11-01-1622','A91-2','iyzlbHQBf', 'LB')
('SL04652-2022-11-01-1624','S68-16','hDaaaGlekh', 'SU')
('SL12058-2022-11-01-1613','S68-5','JIAoaeJBL', 'MB')
('AC04652-2022-11-01-1656','A92-18','SQVpCat', 'SU')
('SL22517-2022-11-01-1622','S68-14','htCyy', 'UB')
('AC04652-2022-11-01-1658','A93-2','qEqQpBYTRSZmKEE', 'LB')
('SL04652-2022-11-01-1639','S69-7','MNdAbzNLqAptyNFn', 'SL')
('SL04652-2022-11-02-1598','S67-14','eZKokMcC', 'UB')
('AC22517-2022-11-02-1651','A92-13','QK', 'LB')
('SL04652-2022-11-02-1601','S67-17','iNE', 'LB')
('AC22517-2022-11-01-1582','A88-16','NsMLFqqZiKdeC', 'UB')
('AC04652-2022-11-02-1574','A88-8','lwaUpFX', 'LB')
('SL22517-2022-11-01-1632','S68-24','dMHRvYErLQJkwyPq', 'SU')
('AC12058-2022-11-01-1641','A92-3','mXLmJVmGnWqzi', 'UB')
('AC04652-2022-11-01-1676','A94-2','eDUFSjHtgQUZHg', 'LB')
('SL22517-2022-11-01-1646','S69-14','Qwz', 'UB')
('AC22517-2022-11-01-1590','A89-6','UooIGlrywB', 'SU')
('AC04652-2022-11-02-1593','A89-9','xWHVLcx', 'UB')
('AC22517-2022-11-01-1595','A89-11','VPoSZEPbffuDYBS', 'SL')
('SL04652-2022-11-01-1655','S69-23','CvyvqfYHLoEFi', 'SL')
('SL22517-2022-11-02-1698','S71-18','MsOOZFATrLS', 'MB')
('SL04652-2022-11-02-1627','S68-19','whgLMzQo', 'UB')
('AC22517-2022-11-01-1605','A90-3','BvZsNcnjqh', 'UB')
('AC22517-2022-11-01-1611','A90-9','pAmyRIPEs', 'UB')
('AC22517-2022-11-01-1612','A90-10','KNZfkqw', 'UB')
('AC04652-2022-11-01-1738','A97-10','cXFcHqVUN', 'UB')
('SL22517-2022-11-01-1703','S71-23','aitAwkWUpQHnqit', 'SL')
('SL22517-2022-11-01-1704','S71-24','PnYfxjoHWIwJDJCe', 'SU')
('AC04652-2022-11-01-1748','A98-2','POG', 'LB')
('SL04652-2022-11-02-1698','S71-18','rdlnCpppqNyKgYZu', 'MB')
('SL04652-2022-11-01-1720','S72-16','mMUStT', 'SU')
('AC12058-2022-11-01-1722','A96-12','zDGdETL', 'SU')
('SL04652-2022-11-01-1722','S72-18','yAAAMjKsSloKEWW', 'MB')
('SL04652-2022-11-02-1714','S72-10','xLgbfEwNx', 'MB')
('SL22517-2022-11-01-1754','S74-2','ZAQRwyDquHzeb', 'MB')
('SL12058-2022-11-01-1720','S72-16','MzaqZoyrY', 'SU')
('SL22517-2022-11-01-1757','S74-5','pn', 'MB')
('AC12058-2022-11-01-1737','A97-9','tXiPPp', 'UB')
('AC12058-2022-11-01-1744','A97-16','VerFjx', 'UB')
('AC04652-2022-11-01-1817','A101-17','vJXoLPNHnQ', 'SL')
('SL12058-2022-11-01-1749','S73-21','pBwPQGhffSd', 'MB')
('SL22517-2022-11-02-1795','S75-19','f', 'UB')
('AC04652-2022-11-02-1703','A95-11','kAAB', 'SL')
('SL22517-2022-11-01-1787','S75-11','wiO', 'UB')
('AC22517-2022-11-01-1716','A96-6','CtOAnjkTD', 'SU')
('SL22517-2022-11-01-1792','S75-16','f', 'SU')
('SL22517-2022-11-01-1793','S75-17','vgIeHrjPBXWKeB', 'LB')
('AC12058-2022-11-01-1774','A99-10','om', 'UB')
('AC22517-2022-11-01-1720','A96-10','fKCcLlEWgspo', 'UB')
('AC12058-2022-11-01-1775','A99-11','mJurjNpekq', 'SL')
('SL22517-2022-11-01-1798','S75-22','lqimIld', 'UB')
('SL22517-2022-11-01-1800','S75-24','inEdXKUsbsGYuJ', 'SU')
('AC04652-2022-11-01-1834','A102-16','tGCJb', 'UB')
('AC04652-2022-11-02-1712','A96-2','TbfEEWqwWcKIXA', 'LB')
('AC04652-2022-11-01-1871','A104-17','hkuLyvvzx', 'SL')
('SL04652-2022-11-01-1807','S76-7','YnjoeYNUIe', 'SL')
('AC04652-2022-11-01-1880','A105-8','XEIvifhTt', 'LB')
('SL04652-2022-11-01-1814','S76-14','i', 'UB')
('SL04652-2022-11-02-1802','S76-2','deBy', 'MB')
('SL12058-2022-11-01-1814','S76-14','uX', 'UB')
('SL12058-2022-11-01-1817','S76-17','YxwKbvvPlUDnexEB', 'LB')
('AC22517-2022-11-01-1768','A99-4','UkdVd', 'UB')
('AC04652-2022-11-01-1889','A105-17','ntXRnaMUTn', 'SL')
('AC22517-2022-11-01-1773','A99-9','ndChyiKEeCZ', 'UB')
('AC04652-2022-11-01-1890','A105-18','MEaGeYerfmqLepQx', 'SU')
('SL04652-2022-11-01-1824','S76-24','kcBrKFbf', 'SU')
('SL04652-2022-11-01-1825','S77-1','tDvUxQd', 'LB')
('SL12058-2022-11-01-1827','S77-3','MWBtnzHowEXC', 'UB')
('SL04652-2022-11-01-1828','S77-4','zQfLMoUVVBN', 'LB')
('AC04652-2022-11-01-1891','A106-1','BukwYoJVWj', 'LB')
('SL22517-2022-11-02-1863','S78-15','wuUtTQgqAFCZ', 'SL')
('AC22517-2022-11-01-1782','A99-18','POJObVHPtwdP', 'SU')
('AC04652-2022-11-02-1778','A99-14','EmDGby', 'LB')
('SL22517-2022-11-01-1868','S78-20','FwKIrPJyFKVnWgo', 'LB')
('SL22517-2022-11-02-1865','S78-17','Hak', 'LB')
('SL04652-2022-11-01-1840','S77-16','It', 'SU')
('SL22517-2022-11-01-1871','S78-23','xdwswIrIKNjJGxh', 'SL')
('SL04652-2022-11-02-1826','S77-2','hpGmSQNFBwYBuC', 'MB')
('SL22517-2022-11-01-1874','S79-2','uG', 'MB')
('SL04652-2022-11-02-1829','S77-5','F', 'MB')
('AC04652-2022-11-01-1903','A106-13','QkplFwaI', 'LB')
('AC22517-2022-11-01-1791','A100-9','sHYVTpFXcrtETSYl', 'UB')
('AC22517-2022-11-02-1888','A105-16','OdpbNQAuZqQqS', 'UB')
('SL12058-2022-11-01-1837','S77-13','qTY', 'MB')
('SL22517-2022-11-01-1878','S79-6','TjNCme', 'UB')
('AC22517-2022-11-01-1794','A100-12','eFSROguZRVSqpyn', 'SU')
('SL22517-2022-11-02-1876','S79-4','qcuz', 'LB')
('SL04652-2022-11-01-1861','S78-13','hFJsWcoPTGSdkpBr', 'MB')
('AC22517-2022-11-01-1807','A101-7','TTCf', 'LB')
('AC04652-2022-11-02-1804','A101-4','DHkEfjLMhY', 'UB')
('SL04652-2022-11-01-1872','S78-24','NsjiG', 'SU')
('SL04652-2022-11-01-1873','S79-1','SLFcMpDlrnzomOJ', 'LB')
('AC12058-2022-11-01-1876','A105-4','XzIU', 'UB')
('AC22517-2022-11-01-1819','A102-1','aDXw', 'LB')
('SL04652-2022-11-01-1889','S79-17','Bzxa', 'LB')
('AC12058-2022-11-01-1886','A105-14','mTCaZb', 'LB')
('SL04652-2022-11-02-1857','S78-9','KsBWLtzwdtUelFr', 'LB')
('SL22517-2022-11-01-1973','S83-5','rgW', 'MB')
('SL04652-2022-11-01-1966','S82-22','w', 'UB')
('AC22517-2022-11-02-1986','A111-6','g', 'SU')
('AC04652-2022-11-02-1884','A105-12','FJWlGhVRDzVwVkCx', 'SU')
('SL22517-2022-11-02-1980','S83-12','LBxkPjhGiGjmBHII', 'LB')
('AC22517-2022-11-01-1889','A105-17','vamqxIafxX', 'SL')
('SL12058-2022-11-01-1921','S81-1','WgFdGosghIrHED', 'LB')
('AC22517-2022-11-01-1892','A106-2','AOO', 'LB')
('AC04652-2022-11-01-1999','A112-1','zldFiLVnvBnS', 'LB')
('AC22517-2022-11-01-1893','A106-3','HqvupUdE', 'UB')
('SL04652-2022-11-02-1921','S81-1','EQXSLSleHeHhN', 'LB')
('SL12058-2022-11-01-1929','S81-9','AGdbBbuhTrmbn', 'LB')
('AC04652-2022-11-02-1900','A106-10','yF', 'UB')
('AC22517-2022-11-02-2000','A112-2','iTjmhpL', 'LB')
('SL12058-2022-11-01-1937','S81-17','wT', 'LB')
('SL04652-2022-11-01-1990','S83-22','T', 'UB')
('AC22517-2022-11-02-2012','A112-14','kh', 'LB')
('SL12058-2022-11-01-1952','S82-8','JqNOxxHbGh', 'SU')
('AC22517-2022-11-02-2021','A113-5','b', 'SL')
('AC04652-2022-11-02-1937','A108-11','kQam', 'SL')
('AC04652-2022-11-02-1938','A108-12','UGuZOySkkJjf', 'SU')
('SL04652-2022-11-02-1972','S83-4','jGNYpdmV', 'LB')
('SL22517-2022-11-02-2032','S85-16','nuzcIypPAaTEC', 'SU')
('SL04652-2022-11-01-2028','S85-12','jFTMRPGY', 'LB')
('SL04652-2022-11-02-1977','S83-9','RWsmnPjBXIKqF', 'LB')
('SL04652-2022-11-01-2031','S85-15','rQp', 'SL')
('AC22517-2022-11-02-2050','A114-16','uLzl', 'UB')
('SL04652-2022-11-01-2033','S85-17','ljpszBp', 'LB')
('SL22517-2022-11-02-2036','S85-20','ld', 'LB')
('SL22517-2022-11-02-2037','S85-21','zVDWBm', 'MB')
('AC12058-2022-11-01-2016','A112-18','yGOFszZUoUjWz', 'SU')
('SL12058-2022-11-01-2005','S84-13','N', 'MB')
('SL22517-2022-11-01-2037','S85-21','ZiyzWzvu', 'MB')
('SL04652-2022-11-01-2048','S86-8','YXyNpxFmEeFNGRtJ', 'SU')
('AC04652-2022-11-01-2061','A115-9','JSjHeEM', 'UB')
('SL22517-2022-11-02-2047','S86-7','TbXYxEcGSZvXSug', 'SL')
('SL04652-2022-11-01-2051','S86-11','AZePoJ', 'UB')
('SL04652-2022-11-01-2054','S86-14','LBuKERILorwmeFf', 'UB')
('SL04652-2022-11-02-1995','S84-3','MxzflMagrDajmgHI', 'UB')
('SL22517-2022-11-02-2052','S86-12','obtULZQWOKERDuRB', 'LB')
('SL04652-2022-11-02-1996','S84-4','ni', 'LB')
('AC04652-2022-11-02-1965','A110-3','DgJBUIAt', 'UB')
('AC22517-2022-11-01-1964','A110-2','scgwYrmjvMKU', 'LB')
('SL04652-2022-11-02-2001','S84-9','HsSCCALSaFmgFJvh', 'LB')
('AC04652-2022-11-02-1971','A110-9','nBvDmdPmIRrAWWeS', 'UB')
('SL04652-2022-11-01-2063','S86-23','PNLQftBb', 'SL')
('SL22517-2022-11-01-2050','S86-10','NuK', 'MB')
('SL12058-2022-11-01-2018','S85-2','BXNoidz', 'MB')
('SL22517-2022-11-02-2059','S86-19','fltkH', 'UB')
('AC22517-2022-11-02-2078','A116-8','olWxvPWEWqarUX', 'LB')
('AC12058-2022-11-01-2052','A114-18','IrxHuGgspRA', 'SU')
('SL04652-2022-11-02-2023','S85-7','lBtnsfhII', 'SL')
('AC12058-2022-11-01-2058','A115-6','hnPmxxrk', 'SU')
('SL04652-2022-11-01-2085','S87-21','YgljS', 'MB')
('AC04652-2022-11-01-2095','A117-7','ibbjyPReUUlTJy', 'LB')
('SL12058-2022-11-01-2042','S86-2','HPaDHy', 'MB')
('AC04652-2022-11-02-2007','A112-9','Rs', 'UB')
('AC22517-2022-11-01-1996','A111-16','TdfNb', 'UB')
('SL04652-2022-11-02-2038','S85-22','OQWFKakHzOkEVRs', 'UB')
('SL22517-2022-11-01-2080','S87-16','RCgYTyFLEHwJqmCo', 'SU')
('AC22517-2022-11-02-2111','A118-5','evWRSONwUefSEDg', 'SL')
('AC04652-2022-11-01-2114','A118-8','hAYGcC', 'LB')
('SL12058-2022-11-01-2057','S86-17','DyqOQFFWdbjSfu', 'LB')
('SL22517-2022-11-01-2083','S87-19','DBGfGzCDhAvwwyG', 'UB')
('SL22517-2022-11-01-2090','S88-2','LUNNJysWRXDz', 'MB')
('SL04652-2022-11-02-2051','S86-11','QJHbAddp', 'UB')
('SL22517-2022-11-01-2095','S88-7','x', 'SL')
('AC22517-2022-11-01-2010','A112-12','eCgLN', 'SU')
('AC22517-2022-11-02-2124','A118-18','Fkd', 'SU')
('SL04652-2022-11-02-2070','S87-6','kH', 'UB')
('AC04652-2022-11-02-2043','A114-9','MaLTl', 'UB')
('SL12058-2022-11-01-2085','S87-21','lRGHYHSLAkde', 'MB')
('SL04652-2022-11-02-2081','S87-17','ajUvH', 'LB')
('AC04652-2022-11-01-2148','A120-6','mtosGjhlSL', 'SU')
('SL22517-2022-11-01-2123','S89-11','FSM', 'UB')
('SL04652-2022-11-02-2085','S87-21','mJQEXSJtqRxAfDf', 'MB')
('AC04652-2022-11-01-2151','A120-9','ZNcCbfRwX', 'UB')
('AC04652-2022-11-02-2055','A115-3','EzonH', 'UB')
('AC04652-2022-11-02-2058','A115-6','wHXC', 'SU')
('SL12058-2022-11-01-2097','S88-9','OaiM', 'LB')
('SL04652-2022-11-02-2097','S88-9','kLp', 'LB')
('AC04652-2022-11-02-2064','A115-12','GnYHRPwiGngcf', 'SU')
('SL04652-2022-11-01-2148','S90-12','lqhLjAAvhWhgK', 'LB')
('AC22517-2022-11-02-2155','A120-13','IabHjgHSuM', 'LB')
('SL04652-2022-11-02-2105','S88-17','PXKPXHSZTY', 'LB')
('SL12058-2022-11-01-2115','S89-3','dCMuqBShBWDD', 'UB')
('SL22517-2022-11-01-2144','S90-8','HZdjdNiXJiqNl', 'SU')
('SL12058-2022-11-01-2117','S89-5','laAS', 'MB')
('SL22517-2022-11-02-2188','S92-4','QYBDGi', 'LB')
('AC12058-2022-11-01-2155','A120-13','m', 'LB')
('SL22517-2022-11-02-2200','S92-16','Cd', 'SU')
('AC22517-2022-11-02-2225','A124-11','ZsULCXgmEGzd', 'SL')
('AC22517-2022-11-02-2229','A124-15','ejVQFb', 'UB')
('AC22517-2022-11-02-2241','A125-9','hbF', 'UB')
('AC04652-2022-11-01-2260','A126-10','zNXGhkoURM', 'UB')
('AC12058-2022-11-01-2206','A123-10','DrhvgTKLqkEDEvr', 'UB')
('AC12058-2022-11-01-2207','A123-11','eiDAHdDBtOQQaCx', 'SL')
('SL04652-2022-11-01-2241','S94-9','JPczQhAASo', 'LB')
('SL22517-2022-11-01-2232','S93-24','rRVmOZNFT', 'SU')
('SL22517-2022-11-01-2234','S94-2','oHxshjtD', 'MB')
('SL22517-2022-11-02-2246','S94-14','wFIgUMdtV', 'UB')
('AC04652-2022-11-01-2270','A127-2','z', 'LB')
('SL12058-2022-11-01-2209','S93-1','PGfTKuOPVNXy', 'LB')
('AC04652-2022-11-02-2166','A121-6','pr', 'SU')
('SL04652-2022-11-02-2220','S93-12','CEOpwKxOCBHgd', 'LB')
('SL12058-2022-11-01-2214','S93-6','QTHuB', 'UB')
('AC12058-2022-11-01-2216','A124-2','pFBs', 'LB')
('AC22517-2022-11-01-2156','A120-14','PWqPzS', 'LB')
('SL22517-2022-11-01-2250','S94-18','aMwDa', 'MB')
('SL22517-2022-11-02-2259','S95-3','hkRlpnaC', 'UB')
('AC12058-2022-11-01-2225','A124-11','DuFOg', 'SL')
('SL22517-2022-11-01-2256','S94-24','BtlmUtF', 'SU')
('AC04652-2022-11-02-2184','A122-6','pXGVLGMegVRcKHtE', 'SU')
('SL04652-2022-11-02-2238','S94-6','RLArefDEA', 'UB')
('AC12058-2022-11-01-2236','A125-4','AsNKMRqiNhOisSxj', 'UB')
('AC04652-2022-11-02-2186','A122-8','dUBj', 'LB')
('AC04652-2022-11-02-2187','A122-9','mbaoGfXupUPNEEL', 'UB')
('AC12058-2022-11-01-2241','A125-9','YIXQyig', 'UB')
('AC04652-2022-11-01-2301','A128-15','VfrANbep', 'UB')
('SL04652-2022-11-01-2284','S96-4','yyCSnrbsudLsPvz', 'LB')
