('SL22517-2022-11-01-54','S3-6','QLiOgNepLHnRe', 'UB')
('AC04652-2022-11-01-602','A34-8','Lrl', 'LB')
('AC22517-2022-11-02-584','A33-8','XwjXhiLBDvXrRXU', 'LB')
('AC04652-2022-11-01-603','A34-9','qcAWYNtWl', 'UB')
('AC12058-2022-11-01-551','A31-11','LwRCGcqtI', 'SL')
('AC04652-2022-11-02-601','A34-7','vrKfSflUxRult', 'LB')
('AC04652-2022-11-02-602','A34-8','oqwvbnHMIGkXPljX', 'LB')
('AC04652-2022-11-02-605','A34-11','RzdPRh', 'SL')
('AC22517-2022-11-02-587','A33-11','hHbzlQskSG', 'SL')
('SL12058-2022-11-01-559','S24-7','qitv', 'SL')
('AC04652-2022-11-01-607','A34-13','lDF', 'LB')
('SL12058-2022-11-01-562','S24-10','TOHKskHIbafxGe', 'MB')
('SL22517-2022-11-01-582','S25-6','NZ', 'UB')
('SL04652-2022-11-01-587','S25-11','abanmUzxJhpXWM', 'UB')
('AC22517-2022-11-02-592','A33-16','Hthvrso', 'UB')
('SL22517-2022-11-02-574','S24-22','FdCoySlrGEXnAj', 'UB')
('SL22517-2022-11-01-585','S25-9','kK', 'LB')
('AC04652-2022-11-01-611','A34-17','ymj', 'SL')
('SL12058-2022-11-01-570','S24-18','YZwJKvPdiN', 'MB')
('AC04652-2022-11-02-613','A35-1','c', 'LB')
('SL04652-2022-11-02-578','S25-2','pgzZZJFKYjWYi', 'MB')
('SL22517-2022-11-02-579','S25-3','EslLz', 'UB')
('SL22517-2022-11-02-580','S25-4','OBSLMWhwnKUmZGi', 'LB')
('AC12058-2022-11-01-560','A32-2','DRwuFO', 'LB')
('SL22517-2022-11-01-590','S25-14','ktT', 'UB')
('AC22517-2022-11-02-601','A34-7','mzeLUvKiJ', 'LB')
('SL12058-2022-11-01-573','S24-21','AIzxfP', 'MB')
('AC04652-2022-11-02-620','A35-8','eJxAH', 'LB')
('AC22517-2022-11-01-577','A33-1','TIThNaDgPmqkMrVp', 'LB')
('SL12058-2022-11-01-575','S24-23','lXocl', 'SL')
('AC22517-2022-11-02-605','A34-11','RVDHQU', 'SL')
('AC22517-2022-11-01-579','A33-3','Tem', 'UB')
('SL04652-2022-11-02-586','S25-10','txRaQUTpbJq', 'MB')
('AC04652-2022-11-02-625','A35-13','maHRhUXXDhqI', 'LB')
('AC22517-2022-11-01-580','A33-4','PseyCevFuqfQf', 'UB')
('SL22517-2022-11-01-593','S25-17','pnP', 'LB')
('AC12058-2022-11-01-568','A32-10','GKCxui', 'UB')
('SL12058-2022-11-01-578','S25-2','xrKv', 'MB')
('AC04652-2022-11-01-624','A35-12','UacFhdULgDuYjSn', 'SU')
('SL04652-2022-11-02-593','S25-17','mAqaPTfLvIPGQxDh', 'LB')
('SL04652-2022-11-02-594','S25-18','ycwgSGmKCeo', 'MB')
('AC04652-2022-11-02-630','A35-18','wcvKxkpjxgN', 'SU')
('AC12058-2022-11-01-570','A32-12','zCmVqfp', 'SU')
('AC04652-2022-11-01-626','A35-14','WILUBrabxpWJtx', 'LB')
('AC12058-2022-11-01-572','A32-14','qXgpR', 'LB')
('AC12058-2022-11-01-573','A32-15','Mf', 'UB')
('AC12058-2022-11-01-574','A32-16','l', 'UB')
('SL04652-2022-11-01-604','S26-4','AQVEYk', 'LB')
('SL04652-2022-11-02-600','S25-24','K', 'SU')
('AC12058-2022-11-01-577','A33-1','nTywBOvdILhA', 'LB')
('SL04652-2022-11-01-607','S26-7','MkHI', 'SL')
('AC04652-2022-11-02-634','A36-4','WFyLlZa', 'UB')
('SL04652-2022-11-02-603','S26-3','wTtpC', 'UB')
('SL22517-2022-11-02-594','S25-18','AaIRxcyxKAtIOvTL', 'MB')
('SL04652-2022-11-02-604','S26-4','voi', 'LB')
('AC12058-2022-11-01-580','A33-4','y', 'UB')
('SL04652-2022-11-01-610','S26-10','HtFF', 'MB')
('AC22517-2022-11-02-622','A35-10','f', 'UB')
('AC22517-2022-11-02-623','A35-11','hlX', 'SL')
('SL04652-2022-11-01-611','S26-11','iQKts', 'UB')
('AC12058-2022-11-01-582','A33-6','Tu', 'SU')
('SL04652-2022-11-02-606','S26-6','IlIWCNMU', 'UB')
('SL12058-2022-11-01-594','S25-18','FzGJjJ', 'MB')
('AC22517-2022-11-02-625','A35-13','aX', 'LB')
('AC22517-2022-11-02-631','A36-1','ZpXtkOeqYDEhwfy', 'LB')
('AC04652-2022-11-02-642','A36-12','TS', 'SU')
('SL04652-2022-11-01-620','S26-20','QuldbOjJfTOJnba', 'LB')
('AC22517-2022-11-01-599','A34-5','y', 'SL')
('AC12058-2022-11-01-589','A33-13','GymyNq', 'LB')
('SL04652-2022-11-02-609','S26-9','CyLhv', 'LB')
('AC22517-2022-11-01-601','A34-7','sH', 'LB')
('AC22517-2022-11-02-634','A36-4','OGp', 'UB')
('SL04652-2022-11-01-624','S26-24','M', 'SU')
('SL22517-2022-11-02-604','S26-4','mpYxswcrjPbkpNGg', 'LB')
('AC04652-2022-11-01-643','A36-13','xfHBPKlV', 'LB')
('AC04652-2022-11-02-651','A37-3','lHZDCKomfamMgAcB', 'UB')
('SL04652-2022-11-01-627','S27-3','svhTktThIrypy', 'UB')
('SL04652-2022-11-01-628','S27-4','sJzmw', 'LB')
('SL12058-2022-11-01-608','S26-8','zILtnkNttuAdNe', 'SU')
('AC22517-2022-11-01-607','A34-13','kzqFGTOELXBOtqT', 'LB')
('AC22517-2022-11-01-608','A34-14','Q', 'LB')
('SL04652-2022-11-01-632','S27-8','nbAaJczR', 'SU')
('AC22517-2022-11-02-636','A36-6','phVhZTwP', 'SU')
('AC04652-2022-11-01-648','A36-18','kYYJf', 'SU')
('AC04652-2022-11-01-649','A37-1','LlOCIRgIsnXVId', 'LB')
('SL22517-2022-11-02-610','S26-10','nsdHe', 'MB')
('SL12058-2022-11-01-612','S26-12','FovFguhEOCPOgRgC', 'LB')
('AC04652-2022-11-01-651','A37-3','poaSweAIhNgoxi', 'UB')
('AC22517-2022-11-01-651','A37-3','Me', 'UB')
('AC22517-2022-11-02-681','A38-15','PyyD', 'UB')
('AC12058-2022-11-01-641','A36-11','rmjXsfPQ', 'SL')
('SL22517-2022-11-01-655','S28-7','LnlSOPFonOfx', 'SL')
('AC12058-2022-11-01-642','A36-12','LXVUYshbt', 'SU')
('SL22517-2022-11-01-661','S28-13','mZZ', 'MB')
('SL04652-2022-11-02-663','S28-15','WvaLPNG', 'SL')
('SL12058-2022-11-01-664','S28-16','DRAYRGfYuHdYHqPS', 'SU')
('AC12058-2022-11-01-647','A36-17','ygFLlPRtMTh', 'SL')
('AC22517-2022-11-01-659','A37-11','ji', 'SL')
('AC04652-2022-11-01-701','A39-17','GNnTG', 'SL')
('AC12058-2022-11-01-657','A37-9','HmUNyAFq', 'UB')
('SL22517-2022-11-02-663','S28-15','sYMsaAywXNMjj', 'SL')
('SL04652-2022-11-02-676','S29-4','NzGForvdIji', 'LB')
('SL04652-2022-11-02-678','S29-6','wpojjBUyPfMwcXnz', 'UB')
('SL22517-2022-11-01-678','S29-6','hX', 'UB')
('SL22517-2022-11-01-680','S29-8','oPcXNlgFye', 'SU')
('SL12058-2022-11-01-677','S29-5','mgEmATEeddMM', 'MB')
('AC22517-2022-11-02-690','A39-6','VVXowkGfsHi', 'SU')
('SL04652-2022-11-01-689','S29-17','Ml', 'LB')
('SL22517-2022-11-02-671','S28-23','SPlKn', 'SL')
('SL22517-2022-11-02-672','S28-24','bu', 'SU')
('AC12058-2022-11-01-662','A37-14','agvK', 'LB')
('SL22517-2022-11-01-683','S29-11','bWRKvaMxFJEFim', 'UB')
('AC04652-2022-11-02-737','A41-17','DGvwNQOvELs', 'SL')
('SL04652-2022-11-02-681','S29-9','Ct', 'LB')
('SL22517-2022-11-01-689','S29-17','lQyiCLv', 'LB')
('SL22517-2022-11-02-679','S29-7','JhzDKNxZawJPT', 'SL')
('SL22517-2022-11-01-690','S29-18','AdRjwckkAUXGcrA', 'MB')
('SL12058-2022-11-01-685','S29-13','dxF', 'MB')
('AC04652-2022-11-02-741','A42-3','i', 'UB')
('AC12058-2022-11-01-668','A38-2','mOtKVPMqmzyVwEEm', 'LB')
('AC12058-2022-11-01-669','A38-3','ZgtDvwPLiO', 'UB')
('AC04652-2022-11-02-821','A46-11','wdISfTdEcyRzk', 'SL')
('SL22517-2022-11-02-768','S32-24','NXymPdPVFfiLyu', 'SU')
('SL22517-2022-11-02-769','S33-1','jYGaYmtL', 'LB')
('AC22517-2022-11-01-747','A42-9','PyGk', 'UB')
('AC04652-2022-11-01-784','A44-10','KtPPCebHReU', 'UB')
('AC04652-2022-11-02-824','A46-14','ha', 'LB')
('SL04652-2022-11-02-772','S33-4','HrUtfPkSsoDdLr', 'LB')
('AC04652-2022-11-01-785','A44-11','EDtFchDiC', 'SL')
('SL22517-2022-11-01-779','S33-11','pHSZbahvwAmGO', 'UB')
('SL22517-2022-11-02-774','S33-6','QTeoCz', 'UB')
('SL22517-2022-11-01-781','S33-13','ezlTMItZeV', 'MB')
('SL22517-2022-11-01-782','S33-14','ojceuJBGas', 'UB')
('SL22517-2022-11-01-783','S33-15','mXjNXIxIaRrwN', 'SL')
('AC04652-2022-11-02-827','A46-17','p', 'SL')
('AC04652-2022-11-02-828','A46-18','qduqRWJPeGcsQefz', 'SU')
('AC04652-2022-11-02-829','A47-1','YCeTmNSyuiBnmtX', 'LB')
('AC22517-2022-11-02-786','A44-12','IFUiuhffowqySR', 'SU')
('SL12058-2022-11-01-787','S33-19','lL', 'UB')
('AC22517-2022-11-02-790','A44-16','HXuXReQa', 'UB')
('AC04652-2022-11-01-789','A44-15','ufDh', 'UB')
('AC04652-2022-11-02-835','A47-7','D', 'LB')
('AC12058-2022-11-01-759','A43-3','hlAAUJPgxJe', 'UB')
('SL22517-2022-11-01-794','S34-2','IWQ', 'MB')
('AC22517-2022-11-01-765','A43-9','IzjqJbEeuTkjL', 'UB')
('AC22517-2022-11-02-799','A45-7','zgOap', 'LB')
('AC04652-2022-11-02-867','A49-3','VCUDtnkgR', 'UB')
('SL04652-2022-11-01-818','S35-2','bzVsattCMjrHLnrE', 'MB')
('AC12058-2022-11-01-788','A44-14','L', 'LB')
('AC22517-2022-11-02-829','A47-1','niRVouAbriDo', 'LB')
('SL04652-2022-11-02-848','S36-8','hpmdsokJGfyy', 'SU')
('AC22517-2022-11-01-840','A47-12','XBp', 'SU')
('SL12058-2022-11-01-848','S36-8','WmJOmTzzgIwlf', 'SU')
('SL22517-2022-11-02-860','S36-20','HU', 'LB')
('AC12058-2022-11-01-827','A46-17','bcUZKwQFyY', 'SL')
('SL04652-2022-11-01-853','S36-13','wb', 'MB')
('AC22517-2022-11-02-870','A49-6','XRKhU', 'SU')
('SL04652-2022-11-01-859','S36-19','KNPyWvyWPt', 'UB')
('SL04652-2022-11-01-862','S36-22','yWJViXuiHHUYeGd', 'UB')
('SL22517-2022-11-02-876','S37-12','GL', 'LB')
('AC04652-2022-11-02-921','A52-3','ISUkRVDgcQKY', 'UB')
('SL22517-2022-11-01-879','S37-15','OL', 'SL')
('AC04652-2022-11-02-923','A52-5','giCcbMWmIj', 'SL')
('AC12058-2022-11-01-845','A47-17','CvcNlhxIys', 'SL')
('SL04652-2022-11-02-865','S37-1','lSXGRgkRm', 'LB')
('AC22517-2022-11-02-878','A49-14','CpIRvoKXK', 'LB')
('AC22517-2022-11-02-879','A49-15','KVDW', 'UB')
('SL22517-2022-11-01-887','S37-23','TjNmrrWArmWR', 'SL')
('AC04652-2022-11-01-878','A49-14','nJVGY', 'LB')
('SL22517-2022-11-02-883','S37-19','zahhhultD', 'UB')
('AC04652-2022-11-01-881','A49-17','mEameAagnFgQncE', 'SL')
('AC04652-2022-11-02-929','A52-11','X', 'SL')
('AC12058-2022-11-01-850','A48-4','RRGMtTwCTwjpXg', 'UB')
('SL22517-2022-11-02-904','S38-16','fis', 'SU')
('SL22517-2022-11-02-905','S38-17','mjMnwveDSToWxAh', 'LB')
('SL04652-2022-11-02-889','S38-1','tARqWVTH', 'LB')
('SL22517-2022-11-02-908','S38-20','mwrjroOrgdKRJX', 'LB')
('SL22517-2022-11-01-914','S39-2','nN', 'MB')
('AC22517-2022-11-01-885','A50-3','CilZaaPjoqoQSPJ', 'UB')
('AC04652-2022-11-01-903','A51-3','iUeAKdv', 'UB')
('SL04652-2022-11-01-894','S38-6','Q', 'UB')
('SL22517-2022-11-01-917','S39-5','sEXCvmq', 'MB')
('AC22517-2022-11-02-911','A51-11','HLWL', 'SL')
('SL04652-2022-11-02-894','S38-6','QbWpOOvJsrDLs', 'UB')
('AC04652-2022-11-01-908','A51-8','MIKGrAeAmJHUF', 'LB')
('AC04652-2022-11-01-910','A51-10','ESlyQEH', 'UB')
('SL04652-2022-11-01-899','S38-11','lxawqkAcNTwEONW', 'UB')
('AC12058-2022-11-01-867','A49-3','KiwEqbBSRqDAubd', 'UB')
('SL04652-2022-11-02-900','S38-12','NCcAP', 'LB')
('SL04652-2022-11-01-900','S38-12','LIhP', 'LB')
('AC12058-2022-11-01-869','A49-5','nasibUOKXNqe', 'SL')
('AC22517-2022-11-02-916','A51-16','enyWVN', 'UB')
('SL12058-2022-11-01-887','S37-23','zOYGlsgjG', 'SL')
('AC22517-2022-11-02-922','A52-4','KZtl', 'UB')
('AC04652-2022-11-02-953','A53-17','gtQyGzFG', 'SL')
('SL22517-2022-11-01-930','S39-18','fzEjaoksLBGUvboc', 'MB')
('SL12058-2022-11-01-893','S38-5','mDARmcFJeSMxhkMY', 'MB')
('SL04652-2022-11-01-910','S38-22','DzAnzC', 'UB')
('AC22517-2022-11-01-905','A51-5','JwxsuhFit', 'SL')
('SL22517-2022-11-01-936','S39-24','ztHBZEZSpejGBSL', 'SU')
('SL22517-2022-11-02-921','S39-9','IVU', 'LB')
('AC04652-2022-11-01-924','A52-6','rVorMdigXQTsNo', 'SU')
('SL04652-2022-11-02-922','S39-10','Qj', 'MB')
('SL22517-2022-11-02-933','S39-21','WP', 'MB')
('AC04652-2022-11-02-963','A54-9','ymxv', 'UB')
('SL04652-2022-11-02-924','S39-12','kGEqUvxFIYfWR', 'LB')
('AC04652-2022-11-02-967','A54-13','jaIoTEs', 'LB')
('AC22517-2022-11-01-921','A52-3','pOlD', 'UB')
('AC12058-2022-11-01-900','A50-18','DtYGLoChOuZnG', 'SU')
('SL22517-2022-11-01-954','S40-18','qYkIpdaGFsgB', 'MB')
('SL22517-2022-11-01-959','S40-23','dud', 'SL')
('AC12058-2022-11-01-907','A51-7','EuKyxZIBnlhTXeB', 'LB')
('AC12058-2022-11-01-908','A51-8','LTSGkIym', 'LB')
('AC04652-2022-11-01-944','A53-8','WHaEftuDSFLk', 'LB')
('AC22517-2022-11-02-960','A54-6','mcpDRQgfwkUPWq', 'SU')
('SL04652-2022-11-02-937','S40-1','MHXG', 'LB')
('AC22517-2022-11-01-932','A52-14','WowExEsTyeMreug', 'LB')
('SL04652-2022-11-01-945','S40-9','kD', 'LB')
('SL22517-2022-11-02-949','S40-13','Zigz', 'MB')
('AC22517-2022-11-01-938','A53-2','AcTcdqbxlMFlt', 'LB')
('AC22517-2022-11-02-963','A54-9','cktR', 'UB')
('SL22517-2022-11-01-969','S41-9','TKUOoRlWYNaZA', 'LB')
('AC04652-2022-11-01-958','A54-4','RUdT', 'UB')
('AC12058-2022-11-01-922','A52-4','OyeoDidqekyRxDt', 'UB')
('SL22517-2022-11-02-961','S41-1','afcN', 'LB')
('SL04652-2022-11-02-952','S40-16','IINQ', 'SU')
('AC22517-2022-11-02-973','A55-1','VkoHdZlweVg', 'LB')
('AC04652-2022-11-01-967','A54-13','IPgqHbTpb', 'LB')
('AC04652-2022-11-01-969','A54-15','KWjYQcOqszsdc', 'UB')
('AC04652-2022-11-02-993','A56-3','B', 'UB')
('AC04652-2022-11-01-972','A54-18','eTqfdoytFZhMVbcD', 'SU')
('SL04652-2022-11-01-970','S41-10','kSQgKcQJETJwjxoS', 'MB')
('AC22517-2022-11-01-956','A54-2','OZxQOEjv', 'LB')
('SL22517-2022-11-02-979','S41-19','yiwsL', 'UB')
('SL22517-2022-11-01-994','S42-10','ddXG', 'MB')
('SL04652-2022-11-01-975','S41-15','IpXWGmqaSOEM', 'SL')
('AC04652-2022-11-02-1000','A56-10','wvaIwOsZzAmhQ', 'UB')
('AC22517-2022-11-01-958','A54-4','xjugeNTaYMEADLXE', 'UB')
('SL04652-2022-11-01-980','S41-20','kWZWhdPoflbSGgO', 'LB')
('AC22517-2022-11-02-994','A56-4','qGekQ', 'UB')
('SL04652-2022-11-01-985','S42-1','pzLnTrSXEG', 'LB')
('AC04652-2022-11-01-988','A55-16','WolyVNQkbn', 'UB')
('SL04652-2022-11-01-986','S42-2','P', 'MB')
('SL04652-2022-11-01-990','S42-6','HtTPykoqVziSB', 'UB')
('AC04652-2022-11-01-1040','A58-14','ZpIc', 'LB')
('SL04652-2022-11-02-1022','S43-14','zPhvrOPZvHI', 'UB')
('SL04652-2022-11-02-1023','S43-15','zMkwBfYylsUhoxvX', 'SL')
('AC22517-2022-11-02-1052','A59-8','v', 'LB')
('AC04652-2022-11-02-1069','A60-7','vyAdE', 'LB')
('SL12058-2022-11-01-1025','S43-17','IuuJSN', 'LB')
('SL04652-2022-11-02-1026','S43-18','nr', 'MB')
('AC04652-2022-11-02-1075','A60-13','jCtHmAlrmim', 'LB')
('AC22517-2022-11-02-1058','A59-14','JmxWL', 'LB')
('SL22517-2022-11-01-1061','S45-5','BqdMiTWYhyDvG', 'MB')
('AC04652-2022-11-02-1078','A60-16','x', 'UB')
('AC22517-2022-11-01-1017','A57-9','l', 'UB')
('AC04652-2022-11-02-1081','A61-1','oHOK', 'LB')
('AC04652-2022-11-02-1082','A61-2','gXnIvwvjkZjBOQn', 'LB')
('SL04652-2022-11-02-1033','S44-1','chQgqwB', 'LB')
('AC12058-2022-11-01-1010','A57-2','ucIJuExC', 'LB')
('AC22517-2022-11-02-1068','A60-6','yzuazIdGPykkW', 'SU')
('AC04652-2022-11-02-1090','A61-10','ByzoZ', 'UB')
('AC04652-2022-11-02-1091','A61-11','HBznpiRdiRpRipOm', 'SL')
('AC04652-2022-11-01-1059','A59-15','RBTVWZ', 'UB')
('AC12058-2022-11-01-1026','A57-18','ClpFNgJeZ', 'SU')
('AC04652-2022-11-02-1097','A61-17','eYcbwhPiUjxJTyvX', 'SL')
('AC04652-2022-11-02-1098','A61-18','hKdjNnny', 'SU')
('AC22517-2022-11-02-1078','A60-16','cnYN', 'UB')
('AC04652-2022-11-02-1100','A62-2','ENEReyoUWRb', 'LB')
('AC12058-2022-11-01-1034','A58-8','qtLxizoSXdwskqyj', 'LB')
('AC12058-2022-11-01-1037','A58-11','TCDTbZrFrNN', 'SL')
('SL22517-2022-11-01-1091','S46-11','pNvRhKAQGRFPncG', 'UB')
('SL04652-2022-11-02-1060','S45-4','vAhN', 'LB')
('SL12058-2022-11-01-1056','S44-24','qyqJzdrrZmMZJA', 'SU')
('SL22517-2022-11-01-1095','S46-15','NTJUsDr', 'SL')
('SL22517-2022-11-02-1074','S45-18','grAakpohNUQja', 'MB')
('SL04652-2022-11-02-1064','S45-8','DCnFXBCi', 'SU')
('AC12058-2022-11-01-1044','A58-18','QBoBRVMJKsA', 'SU')
('AC04652-2022-11-01-1085','A61-5','DZtWr', 'SL')
('AC04652-2022-11-01-1086','A61-6','TAf', 'SU')
('AC04652-2022-11-02-1119','A63-3','DWaazp', 'UB')
('AC22517-2022-11-02-1096','A61-16','zeE', 'UB')
('SL12058-2022-11-01-1066','S45-10','ulYH', 'MB')
('AC22517-2022-11-02-1155','A65-3','ffJpyYV', 'UB')
('AC04652-2022-11-01-1160','A65-8','eVoKqNhrBJmKOx', 'LB')
('AC04652-2022-11-02-1198','A67-10','oafkIVzuIsGQDjA', 'UB')
('SL04652-2022-11-01-1169','S49-17','DxxnAOKpXw', 'LB')
('SL12058-2022-11-01-1143','S48-15','fOsatUG', 'SL')
('AC22517-2022-11-01-1134','A63-18','LJgQLaZKoWLwEC', 'SU')
('AC12058-2022-11-01-1124','A63-8','mfQh', 'LB')
('SL22517-2022-11-01-1173','S49-21','YmyEraF', 'MB')
('AC04652-2022-11-01-1238','A69-14','V', 'LB')
('AC12058-2022-11-01-1199','A67-11','YjlrXsFkDIx', 'SL')
('AC04652-2022-11-01-1240','A69-16','Q', 'UB')
('AC22517-2022-11-01-1213','A68-7','DMYgYV', 'LB')
('SL04652-2022-11-02-1230','S52-6','flTSzlrwwLrvrwr', 'UB')
('AC04652-2022-11-02-1311','A73-15','KEwTCvAyoQ', 'UB')
('AC04652-2022-11-02-1312','A73-16','I', 'UB')
('AC04652-2022-11-01-1280','A72-2','xGGoM', 'LB')
('SL22517-2022-11-02-1271','S53-23','JNMkqxzOkulahDrm', 'SL')
('AC12058-2022-11-01-1240','A69-16','HGRTTqOYNzpeWdbE', 'UB')
('SL04652-2022-11-01-1274','S54-2','HBPHMDhCrS', 'MB')
('AC04652-2022-11-02-1317','A74-3','HUnZPR', 'UB')
('AC12058-2022-11-01-1242','A69-18','gGaxYwqaHJwB', 'SU')
('SL22517-2022-11-01-1297','S55-1','siaCkLrpV', 'LB')
('AC12058-2022-11-01-1243','A70-1','cgtlXhVaxXW', 'LB')
('AC22517-2022-11-01-1265','A71-5','smnGBxwe', 'SL')
('SL22517-2022-11-01-1309','S55-13','GYu', 'MB')
('AC12058-2022-11-01-1254','A70-12','YMIzunXE', 'SU')
('SL04652-2022-11-01-1290','S54-18','Zc', 'MB')
('AC04652-2022-11-01-1310','A73-14','uwlPT', 'LB')
('AC12058-2022-11-01-1258','A70-16','KrbR', 'UB')
('AC04652-2022-11-01-1319','A74-5','XqiPTKUc', 'SL')
('AC04652-2022-11-02-1339','A75-7','Zvmax', 'LB')
('SL04652-2022-11-01-1306','S55-10','oIiyam', 'MB')
('SL04652-2022-11-02-1309','S55-13','WhxazmKBfv', 'MB')
('AC12058-2022-11-01-1278','A71-18','RPyowFC', 'SU')
('AC12058-2022-11-01-1281','A72-3','UIWuhcoJHMCUN', 'UB')
('SL04652-2022-11-02-1323','S56-3','jaxqYSlphYwp', 'UB')
('AC04652-2022-11-02-1348','A75-16','w', 'UB')
('SL22517-2022-11-02-1311','S55-15','plrMMtXqxWpT', 'SL')
('SL04652-2022-11-02-1324','S56-4','NGoQLdxqX', 'LB')
('SL22517-2022-11-01-1341','S56-21','CSrREmLdSWFTIkg', 'MB')
('AC04652-2022-11-01-1340','A75-8','wCIrgDPTmPCn', 'LB')
('SL22517-2022-11-01-1342','S56-22','Ot', 'UB')
('SL04652-2022-11-01-1323','S56-3','yBUFeTyzUDDzLDRO', 'UB')
('AC04652-2022-11-01-1343','A75-11','uqdTtAEFFFpQeknL', 'SL')
('SL22517-2022-11-02-1315','S55-19','wDuzANEXLUMzRLiq', 'UB')
('SL22517-2022-11-01-1345','S57-1','DAuzacOTRlBIQDZ', 'LB')
('AC12058-2022-11-01-1293','A72-15','celk', 'UB')
('AC12058-2022-11-01-1294','A72-16','foHA', 'UB')
('AC04652-2022-11-01-1349','A75-17','lxDjMPCzjfKaW', 'SL')
('SL22517-2022-11-02-1319','S55-23','bZASWqGyKVAaAkaw', 'SL')
('AC22517-2022-11-02-1321','A74-7','gUlYRUfoGagZ', 'LB')
('SL22517-2022-11-01-1351','S57-7','LPqdosxSV', 'SL')
('AC22517-2022-11-01-1315','A74-1','GBN', 'LB')
('AC12058-2022-11-01-1300','A73-4','lvJKh', 'UB')
('SL04652-2022-11-01-1330','S56-10','pnq', 'MB')
('AC22517-2022-11-01-1319','A74-5','tgcSWPbvzIAXlnSO', 'SL')
('AC04652-2022-11-02-1367','A76-17','Sei', 'SL')
('AC22517-2022-11-01-1321','A74-7','ccEUghxqgNXcjGyx', 'LB')
('AC12058-2022-11-01-1314','A73-18','Ov', 'SU')
('SL22517-2022-11-01-1391','S58-23','t', 'SL')
('SL22517-2022-11-02-1372','S58-4','KIJiHlXZbhmGb', 'LB')
('AC12058-2022-11-01-1362','A76-12','IcUjdZrb', 'SU')
('AC04652-2022-11-01-1409','A79-5','NDtRAB', 'SL')
('AC12058-2022-11-01-1366','A76-16','flhDq', 'UB')
('AC12058-2022-11-01-1367','A76-17','uRyG', 'SL')
('AC22517-2022-11-02-1377','A77-9','cdx', 'UB')
('SL04652-2022-11-02-1400','S59-8','jXysNB', 'SU')
('SL04652-2022-11-02-1403','S59-11','WnsoTw', 'UB')
('AC22517-2022-11-01-1383','A77-15','vRDu', 'UB')
('AC04652-2022-11-01-1427','A80-5','fbadRJunDVoicOGh', 'SL')
('SL22517-2022-11-02-1390','S58-22','hkMncmMbAl', 'UB')
('AC04652-2022-11-02-1430','A80-8','L', 'LB')
('AC22517-2022-11-02-1399','A78-13','GOXCB', 'LB')
('SL12058-2022-11-01-1359','S57-15','HvpaSJBCRzBYKQlQ', 'SL')
('SL22517-2022-11-02-1409','S59-17','BtksSrnf', 'LB')
('SL22517-2022-11-01-1435','S60-19','OvThg', 'UB')
('SL04652-2022-11-01-1409','S59-17','Rw', 'LB')
('SL22517-2022-11-01-1437','S60-21','fiHmcDAC', 'MB')
('SL12058-2022-11-01-1381','S58-13','v', 'MB')
('SL04652-2022-11-01-1414','S59-22','OuVnD', 'UB')
('SL04652-2022-11-01-1415','S59-23','VbAxVXWJW', 'SL')
('SL04652-2022-11-01-1416','S59-24','wR', 'SU')
('AC04652-2022-11-01-1456','A81-16','z', 'UB')
('SL04652-2022-11-01-1417','S60-1','XdNXSgS', 'LB')
('SL22517-2022-11-01-1444','S61-4','wdfuHTh', 'LB')
('SL22517-2022-11-01-1445','S61-5','rbsUvXroGtRDRkcq', 'MB')
('AC22517-2022-11-02-1429','A80-7','kTEKW', 'LB')
('AC12058-2022-11-01-1414','A79-10','VEcygT', 'UB')
('SL12058-2022-11-01-1388','S58-20','xqbbXe', 'LB')
('SL22517-2022-11-01-1449','S61-9','agyFlkXPOJBU', 'LB')
('SL22517-2022-11-02-1422','S60-6','OLeFRI', 'UB')
('SL22517-2022-11-02-1423','S60-7','a', 'SL')
('SL22517-2022-11-02-1425','S60-9','miWbCMsdA', 'LB')
('AC04652-2022-11-02-1461','A82-3','mvBrvpkgyTNu', 'UB')
('AC04652-2022-11-01-1465','A82-7','HHZjfEjPxMk', 'LB')
('AC04652-2022-11-01-1466','A82-8','iqPZJJgrJbaFHXJ', 'LB')
('SL04652-2022-11-02-1444','S61-4','JMVS', 'LB')
('AC12058-2022-11-01-1418','A79-14','ZMRYqTfuaWLcC', 'LB')
('AC04652-2022-11-02-1464','A82-6','TIO', 'SU')
('AC04652-2022-11-01-1469','A82-11','COophhUfXq', 'SL')
('AC22517-2022-11-01-1428','A80-6','tPYkEg', 'SU')
('AC22517-2022-11-01-1429','A80-7','CDqNa', 'LB')
('SL22517-2022-11-01-1461','S61-21','jIfygM', 'MB')
('AC22517-2022-11-02-1441','A81-1','IPErgeqIOgZ', 'LB')
('SL04652-2022-11-01-1431','S60-15','SDwicPXurrTwfD', 'SL')
('SL22517-2022-11-01-1464','S61-24','xEgtYNxcdmo', 'SU')
('SL22517-2022-11-02-1445','S61-5','iRBiEygYrCHwTs', 'MB')
('AC12058-2022-11-01-1438','A80-16','aSw', 'UB')
('SL12058-2022-11-01-1414','S59-22','CeV', 'UB')
('AC04652-2022-11-01-1492','A83-16','DDicEjJXy', 'UB')
('AC22517-2022-11-02-1465','A82-7','RHFPKcAefWyxePZ', 'LB')
('SL22517-2022-11-01-1485','S62-21','UsM', 'MB')
('AC04652-2022-11-02-1492','A83-16','R', 'UB')
('AC22517-2022-11-02-1469','A82-11','usdYSTRvupTrvvea', 'SL')
