('SL22517-2022-11-01-2582','S108-14','zxiViaW', 'UB')
('SL04652-2022-11-01-4489','S188-1','sWrzaUwhP', 'LB')
('SL04652-2022-11-02-4535','S189-23','DFyv', 'SL')
('SL04652-2022-11-01-4491','S188-3','FnWyen', 'UB')
('SL04652-2022-11-02-4575','S191-15','NEqMg', 'SL')
('AC04652-2022-11-01-4788','A266-18','ULeoDRlLjrj', 'SU')
('AC22517-2022-11-02-4643','A258-17','K', 'SL')
('AC22517-2022-11-02-4644','A258-18','oIOFjbqUfFCmObit', 'SU')
('AC04652-2022-11-01-4792','A267-4','eSflZBuIDURDrX', 'UB')
('SL04652-2022-11-01-4544','S190-8','tARfpGtU', 'SU')
('AC04652-2022-11-02-4629','A258-3','n', 'UB')
('SL22517-2022-11-01-4542','S190-6','FxhgLWPdnGdCG', 'UB')
('AC22517-2022-11-02-4655','A259-11','iRGdqgWOaJoelBCO', 'SL')
('AC04652-2022-11-01-4800','A267-12','blqQGIsPoezRe', 'SU')
('SL12058-2022-11-01-4509','S188-21','fmNhAB', 'MB')
('SL22517-2022-11-01-4550','S190-14','uUVerJcPMc', 'UB')
('SL22517-2022-11-01-4551','S190-15','wBBQAvaBgH', 'SL')
('AC12058-2022-11-01-4627','A258-1','VHJMufJsvsIhZo', 'LB')
('AC04652-2022-11-02-4638','A258-12','ysRxSuQiefSuxW', 'SU')
('SL22517-2022-11-02-4521','S189-9','E', 'LB')
('SL12058-2022-11-01-4525','S189-13','aXvJQ', 'MB')
('SL22517-2022-11-02-4536','S189-24','mIZmFXOYLjm', 'SU')
('AC22517-2022-11-02-4680','A260-18','lNeYiAfDn', 'SU')
('SL12058-2022-11-01-4541','S190-5','FcSLqUJyL', 'MB')
('SL22517-2022-11-01-4571','S191-11','PnCrU', 'UB')
('SL04652-2022-11-02-4633','S194-1','yIsctnIIpRBCBKs', 'LB')
('AC12058-2022-11-01-4661','A259-17','tmxKalnkz', 'SL')
('AC04652-2022-11-02-4680','A260-18','CPIq', 'SU')
('SL22517-2022-11-02-4598','S192-14','nh', 'UB')
('AC22517-2022-11-01-4717','A263-1','UwDIaOWAZwdRqB', 'LB')
('AC12058-2022-11-01-4701','A262-3','aZtdVZjqQngRvh', 'UB')
('SL04652-2022-11-02-4666','S195-10','AsuIzuRLJvce', 'MB')
('SL04652-2022-11-02-4667','S195-11','FuzAVnaUEbskqY', 'UB')
('AC22517-2022-11-02-4840','A269-16','kuAwyWhlRIEJUydJ', 'UB')
('AC12058-2022-11-01-4797','A267-9','Cy', 'UB')
('SL22517-2022-11-01-4707','S197-3','DW', 'UB')
('AC12058-2022-11-01-4804','A267-16','kP', 'UB')
('AC04652-2022-11-02-4797','A267-9','Zckr', 'UB')
('SL04652-2022-11-02-4758','S199-6','RnQvVi', 'UB')
('AC12058-2022-11-01-4808','A268-2','JmN', 'LB')
('AC22517-2022-11-02-4878','A271-18','PKMnZdTotinDEzAW', 'SU')
('SL22517-2022-11-01-4742','S198-14','vQKqLbgKXzyjNgWn', 'UB')
('SL04652-2022-11-02-4792','S200-16','LhUqNoROnDljVCs', 'SU')
('AC22517-2022-11-02-4885','A272-7','RCcrFjRI', 'LB')
('AC22517-2022-11-01-4854','A270-12','yaC', 'SU')
('SL22517-2022-11-01-4758','S199-6','KFSgXQgFE', 'UB')
('SL22517-2022-11-02-4746','S198-18','ILOJGDTDtRju', 'MB')
('AC04652-2022-11-01-5073','A282-15','UJyioQFcHSmCxe', 'UB')
('AC04652-2022-11-02-4874','A271-14','jzBakGZMB', 'LB')
('AC04652-2022-11-01-5096','A284-2','pqQQkVKkGH', 'LB')
('AC22517-2022-11-01-4889','A272-11','uRySBjXhO', 'SL')
('SL22517-2022-11-01-4793','S200-17','VIiVHVcdip', 'LB')
('AC04652-2022-11-02-4884','A272-6','jpmiyNhKwRsyu', 'SU')
('AC22517-2022-11-02-4922','A274-8','UAmTFYla', 'LB')
('SL04652-2022-11-01-4819','S201-19','i', 'UB')
('SL22517-2022-11-02-4787','S200-11','k', 'UB')
('SL04652-2022-11-01-4831','S202-7','XakfiSwjRRXqlwkO', 'SL')
('SL04652-2022-11-01-4832','S202-8','ztnCrQd', 'SU')
('AC22517-2022-11-01-4898','A273-2','ABmWIFfkpISy', 'LB')
('SL12058-2022-11-01-4776','S199-24','zyORj', 'SU')
('SL12058-2022-11-01-4777','S200-1','MJXDQMpMeD', 'LB')
('SL22517-2022-11-01-4848','S202-24','vuNWfdWZUflmTfh', 'SU')
('AC04652-2022-11-01-5153','A287-5','OPGvpADUijt', 'SL')
('SL22517-2022-11-02-4870','S203-22','zTGkeRkOwFfuLq', 'UB')
('AC22517-2022-11-02-5012','A279-8','ZnpyzUoCsAJCAWM', 'LB')
('SL22517-2022-11-01-4881','S204-9','TuD', 'LB')
('AC04652-2022-11-01-5211','A290-9','bkSfNY', 'UB')
('AC04652-2022-11-02-5019','A279-15','DHyTsNroDMo', 'UB')
('AC22517-2022-11-02-5043','A281-3','LlaNkpqtYLRVw', 'UB')
('AC04652-2022-11-02-5021','A279-17','qZTqIslagLcNidz', 'SL')
('SL04652-2022-11-02-4940','S206-20','A', 'LB')
('AC04652-2022-11-02-5061','A282-3','pYuDRDVdhV', 'UB')
('SL22517-2022-11-02-4948','S207-4','sdCtqH', 'LB')
('SL12058-2022-11-01-4902','S205-6','Y', 'UB')
('SL04652-2022-11-01-4958','S207-14','yckmzsGwUPG', 'UB')
('AC22517-2022-11-01-5051','A281-11','iHpOcMY', 'SL')
('AC22517-2022-11-02-5118','A285-6','KLwNOdDGyTfgs', 'SU')
('AC22517-2022-11-01-5069','A282-11','Fhw', 'SL')
('SL12058-2022-11-01-4924','S206-4','MEupaTdcKtkk', 'LB')
('SL04652-2022-11-02-5015','S209-23','IwzDEwmmvGJ', 'SL')
('AC04652-2022-11-02-5105','A284-11','YwSonHSUTJom', 'SL')
('SL12058-2022-11-01-4926','S206-6','b', 'UB')
('AC22517-2022-11-02-5121','A285-9','VDsUHxHhWVPzVNj', 'UB')
('AC22517-2022-11-02-5163','A287-15','gVlMpBk', 'UB')
('AC04652-2022-11-02-5152','A287-4','aBjsh', 'UB')
('SL12058-2022-11-01-4969','S208-1','LLhpdFqNoTjRWgM', 'LB')
('AC22517-2022-11-01-5118','A285-6','bzlLruAXe', 'SU')
('SL22517-2022-11-02-5014','S209-22','ZgHfmVudaYkYFnU', 'UB')
('AC12058-2022-11-01-5088','A283-12','HRrhb', 'SU')
('AC04652-2022-11-01-5327','A296-17','qbXc', 'SL')
('SL22517-2022-11-02-5020','S210-4','hFiLEnefN', 'LB')
('AC12058-2022-11-01-5092','A283-16','WWqSu', 'UB')
('SL04652-2022-11-02-5093','S213-5','OOboo', 'MB')
('AC04652-2022-11-01-5356','A298-10','JdrUQxY', 'UB')
('SL04652-2022-11-01-5058','S211-18','tdFhLs', 'MB')
('SL04652-2022-11-02-5114','S214-2','wdnBEkb', 'MB')
('SL12058-2022-11-01-5011','S209-19','CG', 'UB')
('AC22517-2022-11-01-5170','A288-4','q', 'UB')
('AC04652-2022-11-01-5385','A300-3','gkTMjxkEdth', 'UB')
('AC12058-2022-11-01-5171','A288-5','wuYZnx', 'SL')
('AC04652-2022-11-01-5406','A301-6','vv', 'SU')
('SL04652-2022-11-01-5105','S213-17','wzjvvnWiwhyr', 'LB')
('SL12058-2022-11-01-5043','S211-3','rkqwVNcyRioe', 'UB')
('SL22517-2022-11-02-5117','S214-5','mOMzOAQFF', 'MB')
('AC22517-2022-11-01-5201','A289-17','nUNcwdVJLZiF', 'SL')
('AC22517-2022-11-02-5246','A292-8','kTkoxuqWAqChlmAO', 'LB')
('SL22517-2022-11-01-5085','S212-21','uI', 'MB')
('SL22517-2022-11-01-5090','S213-2','CUMxVALojZN', 'MB')
('SL04652-2022-11-02-5165','S216-5','mG', 'MB')
('AC12058-2022-11-01-5199','A289-15','hCgVuxvzJejSTcrY', 'UB')
('SL04652-2022-11-02-5169','S216-9','iDOQwpId', 'LB')
('SL22517-2022-11-02-5133','S214-21','OUJoWhQTlGWt', 'MB')
('AC22517-2022-11-01-5219','A290-17','kgZiIPoVd', 'SL')
('SL22517-2022-11-01-5106','S213-18','bBETLIArTqJlWb', 'MB')
('AC22517-2022-11-01-5231','A291-11','XoVR', 'SL')
('AC22517-2022-11-01-5232','A291-12','rKQOEwVHBbPgoFSK', 'SU')
('SL12058-2022-11-01-5084','S212-20','BZVweHIlIN', 'LB')
('SL22517-2022-11-01-5119','S214-7','RCzQrDjEhSGeOab', 'SL')
('SL04652-2022-11-01-5147','S215-11','GwXZwNHecCE', 'UB')
('AC04652-2022-11-02-5267','A293-11','OgxuKxbYYHXaJAKO', 'SL')
('AC22517-2022-11-01-5252','A292-14','OY', 'LB')
('SL04652-2022-11-01-5160','S215-24','C', 'SU')
('SL22517-2022-11-01-5135','S214-23','xkpjteONaoVfITZ', 'SL')
('AC22517-2022-11-01-5261','A293-5','VNqXXBrvTcIvlVe', 'SL')
('SL22517-2022-11-02-5168','S216-8','vQpMaDzarOgmmGCQ', 'SU')
('SL22517-2022-11-01-5138','S215-2','VBOajavUb', 'MB')
('SL04652-2022-11-02-5220','S218-12','pILKvYLGKDUJkxCT', 'LB')
('AC04652-2022-11-01-5483','A305-11','isAJsDrjDiPPmbt', 'SL')
('AC22517-2022-11-01-5272','A293-16','yeAcfP', 'UB')
('AC22517-2022-11-02-5296','A295-4','GhTfmTJeKUh', 'UB')
('SL22517-2022-11-02-5175','S216-15','zIfmpkUsLP', 'SL')
('AC04652-2022-11-01-5487','A305-15','TNY', 'UB')
('AC04652-2022-11-02-5299','A295-7','TryYck', 'LB')
('SL12058-2022-11-01-5121','S214-9','ALMXEclEFz', 'LB')
('AC12058-2022-11-01-5261','A293-5','tXflznznzjendI', 'SL')
('AC04652-2022-11-01-5494','A306-4','v', 'UB')
('AC04652-2022-11-01-5495','A306-5','nCSvGWfhfYTM', 'SL')
('SL22517-2022-11-02-5186','S217-2','dXSZ', 'MB')
('SL22517-2022-11-01-5158','S215-22','jjWyHDabUVLauY', 'UB')
('AC12058-2022-11-01-5267','A293-11','SApoZJwk', 'SL')
('SL12058-2022-11-01-5128','S214-16','g', 'SU')
('AC22517-2022-11-01-5292','A294-18','YgweZZLXvF', 'SU')
('AC04652-2022-11-02-5310','A295-18','lEqAsMQCOj', 'SU')
('AC04652-2022-11-02-5317','A296-7','yW', 'LB')
('AC04652-2022-11-02-5333','A297-5','KdAghdsKyWmgU', 'SL')
('AC22517-2022-11-02-5333','A297-5','qRHpdTiIw', 'SL')
('AC22517-2022-11-01-5310','A295-18','FjsrBNkDoP', 'SU')
('AC22517-2022-11-02-5334','A297-6','olg', 'SU')
('SL04652-2022-11-02-5282','S221-2','uT', 'MB')
('SL04652-2022-11-02-5283','S221-3','ZIySrDaNTWvkmR', 'UB')
('AC04652-2022-11-02-5362','A298-16','flPMaGCvL', 'UB')
('AC12058-2022-11-01-5310','A295-18','JcoMGdTOfalI', 'SU')
('AC22517-2022-11-02-5366','A299-2','I', 'LB')
('SL22517-2022-11-02-5243','S219-11','w', 'UB')
('AC22517-2022-11-01-5339','A297-11','ap', 'SL')
('AC04652-2022-11-01-5553','A309-9','nCGqfdRtwnRwzM', 'UB')
('AC12058-2022-11-01-5340','A297-12','KkWWvSosUOTGcLi', 'SU')
('SL22517-2022-11-01-5314','S222-10','IwgTb', 'MB')
('AC22517-2022-11-01-5459','A304-5','ovkkTWxt', 'SL')
('AC04652-2022-11-02-5485','A305-13','pCawLmuCPvUcb', 'LB')
('SL22517-2022-11-02-5370','S224-18','ReyDMgjuIkYGXo', 'MB')
('AC22517-2022-11-01-5466','A304-12','cuieCBRjYEvdTW', 'SU')
('AC04652-2022-11-02-5494','A306-4','soCtSCTmcJ', 'UB')
('AC22517-2022-11-01-5478','A305-6','hiLEmLCFwPDoKC', 'SU')
('AC22517-2022-11-02-5507','A306-17','Q', 'SL')
('AC22517-2022-11-02-5513','A307-5','PAmHFTao', 'SL')
('SL22517-2022-11-02-5426','S227-2','YHGa', 'MB')
('SL04652-2022-11-01-5398','S225-22','dfzpnQNL', 'UB')
('AC12058-2022-11-01-5502','A306-12','sPurUtNnrTLXU', 'SU')
('SL22517-2022-11-01-5390','S225-14','tYOWxau', 'UB')
('AC04652-2022-11-01-5742','A319-18','EGvQvQBMsfMoERxY', 'SU')
('AC04652-2022-11-01-5743','A320-1','KuYpswqiByZC', 'LB')
('AC12058-2022-11-01-5512','A307-4','lMaaZQk', 'UB')
('SL04652-2022-11-01-5412','S226-12','tM', 'LB')
('SL22517-2022-11-01-5396','S225-20','dIKzjgrteDAbpwu', 'LB')
('AC22517-2022-11-02-5558','A309-14','dDwxixwMYVdf', 'LB')
('AC04652-2022-11-01-5747','A320-5','VQXCxnnjJidzEkR', 'SL')
('SL12058-2022-11-01-5372','S224-20','TKxGsIDndqHEJAXZ', 'LB')
('SL22517-2022-11-02-5444','S227-20','IPmiOQKRONmlI', 'LB')
('SL12058-2022-11-01-5374','S224-22','VgNLWYxFZ', 'UB')
('AC22517-2022-11-02-5569','A310-7','nFDhwQf', 'LB')
('SL04652-2022-11-01-5425','S227-1','Lr', 'LB')
('SL04652-2022-11-02-5483','S229-11','pCONiW', 'UB')
('SL22517-2022-11-02-5452','S228-4','jWcISmxFPLrfJgM', 'LB')
('AC22517-2022-11-01-5598','A311-18','DrdBbpMWoqKL', 'SU')
('SL22517-2022-11-01-5470','S228-22','nhlDYoyedPck', 'UB')
('AC12058-2022-11-01-5597','A311-17','lWDOLSMgbZZl', 'SL')
('AC12058-2022-11-01-5598','A311-18','ygQxeJTXEBBugOH', 'SU')
('SL04652-2022-11-02-5545','S232-1','RdzKYNIiK', 'LB')
('AC12058-2022-11-01-5600','A312-2','CQELYUNydFpo', 'LB')
('SL22517-2022-11-01-5473','S229-1','QfIQfMJoAOdbLO', 'LB')
('SL22517-2022-11-02-5518','S230-22','zdJSzdFqpBCloA', 'UB')
('AC22517-2022-11-01-5604','A312-6','dPYyJTeFcO', 'SU')
('SL04652-2022-11-01-5510','S230-14','FwWPvY', 'UB')
('AC04652-2022-11-02-5664','A315-12','WOGLceLMfkPZVD', 'SU')
('SL04652-2022-11-02-5569','S233-1','xzclkHGAGeequRTP', 'LB')
('AC22517-2022-11-01-5623','A313-7','Jg', 'LB')
('AC12058-2022-11-01-5627','A313-11','If', 'SL')
('AC04652-2022-11-01-5834','A325-2','tORWEWm', 'LB')
('AC12058-2022-11-01-5629','A313-13','uBXUWxMOgzvR', 'LB')
('AC04652-2022-11-02-5673','A316-3','t', 'UB')
('SL04652-2022-11-01-5520','S230-24','yrJLjpPvEl', 'SU')
('AC12058-2022-11-01-5630','A313-14','Ac', 'LB')
('SL22517-2022-11-01-5493','S229-21','gbatuALOTkEOMS', 'MB')
('SL22517-2022-11-01-5522','S231-2','OTUJOnbawNJCELIE', 'MB')
('SL22517-2022-11-01-5523','S231-3','oTouNeS', 'UB')
('AC04652-2022-11-01-5900','A328-14','y', 'LB')
('AC12058-2022-11-01-5695','A317-7','PFYphDmibW', 'LB')
('AC22517-2022-11-02-5699','A317-11','qS', 'SL')
('SL12058-2022-11-01-5546','S232-2','cTErqvzFkoIh', 'MB')
('SL12058-2022-11-01-5547','S232-3','KPCQBQj', 'UB')
('AC22517-2022-11-01-5702','A317-14','WXp', 'LB')
('AC12058-2022-11-01-5699','A317-11','V', 'SL')
('AC22517-2022-11-02-5700','A317-12','ZUtqlHehGhwCnmuR', 'SU')
('SL04652-2022-11-01-5593','S234-1','ohgT', 'LB')
('SL22517-2022-11-02-5624','S235-8','tAWsAeuaGnn', 'SU')
('SL22517-2022-11-01-5563','S232-19','McUbq', 'UB')
('AC12058-2022-11-01-5718','A318-12','cUpwUWAiCiX', 'SU')
('SL04652-2022-11-01-5613','S234-21','KPlAi', 'MB')
('AC04652-2022-11-02-5765','A321-5','UZZwLyysCCc', 'SL')
('AC12058-2022-11-01-5727','A319-3','tNrmvcmscFoXG', 'UB')
('SL22517-2022-11-01-5618','S235-2','WpGHTByLF', 'MB')
('AC04652-2022-11-02-5798','A323-2','aWnRQbovn', 'LB')
('AC22517-2022-11-01-5781','A322-3','iFMchV', 'UB')
('SL04652-2022-11-01-5662','S236-22','lYiddewJLYnUa', 'UB')
('SL12058-2022-11-01-5625','S235-9','JBqzuFgSYb', 'LB')
('AC04652-2022-11-02-5815','A324-1','wMywoEVWxacgzN', 'LB')
('SL12058-2022-11-01-5630','S235-14','jQQk', 'UB')
('SL04652-2022-11-01-5667','S237-3','RQVLjsWCsVp', 'UB')
('SL04652-2022-11-01-5668','S237-4','YHuZTawoT', 'LB')
('SL04652-2022-11-01-5669','S237-5','hVHmRJsycMfRt', 'MB')
('SL22517-2022-11-01-5637','S235-21','EjrL', 'MB')
('AC04652-2022-11-02-5819','A324-5','DFOHGowSj', 'SL')
('SL12058-2022-11-01-5633','S235-17','SqbweJwQAnwHUjNj', 'LB')
('SL04652-2022-11-01-5671','S237-7','uRskk', 'SL')
('SL22517-2022-11-02-5711','S238-23','JO', 'SL')
('SL22517-2022-11-01-5642','S236-2','ccUFhHRgfgvmS', 'MB')
('AC12058-2022-11-01-5773','A321-13','Uf', 'LB')
('SL04652-2022-11-01-5677','S237-13','dcMfPWtCHqwTC', 'MB')
('AC12058-2022-11-01-5778','A321-18','TqhsXblIjPZKfjB', 'SU')
('SL22517-2022-11-01-5646','S236-6','MngoZPEolnAV', 'UB')
('AC22517-2022-11-02-5776','A321-16','ZUWe', 'UB')
('SL04652-2022-11-01-5685','S237-21','wokPW', 'MB')
('SL22517-2022-11-01-5674','S237-10','iHaMMYV', 'MB')
('SL22517-2022-11-02-5742','S240-6','iUW', 'UB')
('SL04652-2022-11-01-5711','S238-23','hYkpOIGqJG', 'SL')
('AC22517-2022-11-01-5838','A325-6','gCGFDvSUUTg', 'SU')
('SL22517-2022-11-01-5701','S238-13','VKdkwJtVqesUt', 'MB')
('AC22517-2022-11-01-5850','A325-18','vBvgWsatxqjoIVx', 'SU')
('AC04652-2022-11-01-6066','A337-18','NVPPVAKCl', 'SU')
('AC04652-2022-11-02-5885','A327-17','ZatasXU', 'SL')
('SL22517-2022-11-02-5825','S243-17','CgkiJiEeeXbLfb', 'LB')
('SL12058-2022-11-01-5730','S239-18','oayZUUq', 'MB')
('AC22517-2022-11-02-5881','A327-13','foEiHSrxRtH', 'LB')
('SL22517-2022-11-01-5754','S240-18','KiHduPhS', 'MB')
('AC12058-2022-11-01-5858','A326-8','sgdJmcGnnUX', 'LB')
('AC22517-2022-11-01-5885','A327-17','MYENNrK', 'SL')
('SL12058-2022-11-01-5733','S239-21','xoEDjWuEEpJdcf', 'MB')
('SL22517-2022-11-02-5857','S245-1','eIMtkFGK', 'LB')
('AC04652-2022-11-01-6140','A342-2','x', 'LB')
('AC04652-2022-11-01-6146','A342-8','Tc', 'LB')
('SL04652-2022-11-01-5819','S243-11','dKhIE', 'UB')
('SL04652-2022-11-02-5893','S246-13','Xg', 'MB')
('AC04652-2022-11-02-5973','A332-15','amhOIclKGahgpiWx', 'UB')
('AC12058-2022-11-01-5916','A329-12','SeYDGfDKoreTl', 'SU')
('AC22517-2022-11-02-5929','A330-7','BHJXoiVQtB', 'LB')
('SL12058-2022-11-01-5774','S241-14','xletKbPdKadGdumM', 'UB')
('SL12058-2022-11-01-5783','S241-23','ebF', 'SL')
('AC04652-2022-11-01-6179','A344-5','sFspKQZL', 'SL')
('AC22517-2022-11-02-5950','A331-10','EaUGGAdsOqRnMV', 'UB')
('SL22517-2022-11-02-5910','S247-6','VVg', 'UB')
('SL22517-2022-11-01-5837','S244-5','vvXZrdjhMG', 'MB')
('AC04652-2022-11-01-6191','A344-17','KvKj', 'SL')
('AC22517-2022-11-02-5974','A332-16','cbsMWKTacFEU', 'UB')
('AC04652-2022-11-02-6023','A335-11','TKqgjOp', 'SL')
('AC12058-2022-11-01-5970','A332-12','tqPZU', 'SU')
('SL04652-2022-11-02-5947','S248-19','UDUnqQUx', 'UB')
('AC04652-2022-11-01-6216','A346-6','LNREJyOmqnBIR', 'SU')
('SL22517-2022-11-02-5944','S248-16','jyYhU', 'SU')
('AC04652-2022-11-02-6032','A336-2','ELUYpfprRaE', 'LB')
('SL04652-2022-11-01-5870','S245-14','QTHpcQuYFA', 'UB')
('AC04652-2022-11-01-6222','A346-12','fjVeH', 'SU')
('SL22517-2022-11-01-5871','S245-15','PgYXugBE', 'SL')
('SL04652-2022-11-02-5956','S249-4','nrcv', 'LB')
('AC22517-2022-11-02-6040','A336-10','fMlSA', 'UB')
('AC04652-2022-11-01-6278','A349-14','zZ', 'LB')
('AC22517-2022-11-01-6049','A337-1','bjlW', 'LB')
('SL04652-2022-11-01-5924','S247-20','OMfwAq', 'LB')
('AC22517-2022-11-02-6103','A340-1','M', 'LB')
('SL22517-2022-11-01-6054','S253-6','TLPOYi', 'UB')
('SL04652-2022-11-02-6132','S256-12','X', 'LB')
('AC12058-2022-11-01-6165','A343-9','OyE', 'UB')
('AC12058-2022-11-01-6168','A343-12','SQzK', 'SU')
('SL04652-2022-11-02-6138','S256-18','wRkkx', 'MB')
('SL04652-2022-11-01-6093','S254-21','oxEQnXqDpIkvj', 'MB')
('AC12058-2022-11-01-6213','A346-3','JXlaaEIHUdJmFwCW', 'UB')
('AC04652-2022-11-02-6244','A347-16','kdPRSPNFga', 'UB')
('SL22517-2022-11-02-6178','S258-10','F', 'MB')
('AC22517-2022-11-02-6229','A347-1','vmEFuQnGYHTa', 'LB')
('SL12058-2022-11-01-6028','S252-4','t', 'LB')
('SL04652-2022-11-02-6170','S258-2','cXvLsd', 'MB')
('AC04652-2022-11-02-6250','A348-4','boyIqbsWXuzd', 'UB')
('SL04652-2022-11-01-6101','S255-5','GZJBc', 'MB')
('AC22517-2022-11-02-6233','A347-5','cmerv', 'SL')
('AC12058-2022-11-01-6227','A346-17','lblEYXTrOHNsCgkW', 'SL')
('SL22517-2022-11-02-6194','S259-2','OnE', 'MB')
('AC04652-2022-11-01-6494','A361-14','aqenPYMcVEfEmg', 'LB')
('SL12058-2022-11-01-6040','S252-16','ZR', 'SU')
('AC22517-2022-11-02-6242','A347-14','JlRYbztwIJTLz', 'LB')
('SL04652-2022-11-01-6107','S255-11','c', 'UB')
('AC04652-2022-11-02-6262','A348-16','hxpxbOZjYsA', 'UB')
('SL22517-2022-11-01-6117','S255-21','kkCQFwe', 'MB')
('AC04652-2022-11-01-6501','A362-3','ZuCTda', 'UB')
('AC12058-2022-11-01-6235','A347-7','QE', 'LB')
('SL22517-2022-11-02-6206','S259-14','phLG', 'UB')
('AC04652-2022-11-02-6313','A351-13','KCwBxiWeut', 'LB')
('AC04652-2022-11-02-6322','A352-4','a', 'UB')
('AC22517-2022-11-01-6318','A351-18','jCcteYbcpDcSiB', 'SU')
('SL12058-2022-11-01-6105','S255-9','kbtxyfSJzCJPc', 'LB')
('AC22517-2022-11-01-6344','A353-8','SyPOxieUhh', 'LB')
('SL22517-2022-11-01-6207','S259-15','fBOuaXgrG', 'SL')
('SL22517-2022-11-01-6210','S259-18','WlWVDTTQWrKwy', 'MB')
('SL04652-2022-11-01-6210','S259-18','ERXALvSs', 'MB')
('AC12058-2022-11-01-6336','A352-18','WEWluO', 'SU')
('AC12058-2022-11-01-6345','A353-9','lxvJGweUgDVZjD', 'UB')
('AC22517-2022-11-02-6379','A355-7','VfOmNYzKohmehmc', 'LB')
('AC22517-2022-11-01-6392','A356-2','avblEXuEtFoE', 'LB')
('SL22517-2022-11-01-6290','S263-2','uFQVF', 'MB')
('AC04652-2022-11-01-6680','A372-2','qGRxvVUfPMS', 'LB')
('AC04652-2022-11-02-6433','A358-7','mciJ', 'LB')
('SL12058-2022-11-01-6212','S259-20','kKINvHnlm', 'LB')
('SL04652-2022-11-02-6372','S266-12','QxNSlWXSw', 'LB')
('SL12058-2022-11-01-6218','S260-2','ZFclpBXFQuMmGHBU', 'MB')
('SL22517-2022-11-01-6323','S264-11','bBgWMlSCOH', 'UB')
('AC22517-2022-11-02-6443','A358-17','ZpPvxHi', 'SL')
('SL04652-2022-11-02-6433','S269-1','ZmpCUiLm', 'LB')
('AC22517-2022-11-01-6480','A360-18','vuifqnrIR', 'SU')
('AC12058-2022-11-01-6475','A360-13','XwCD', 'LB')
('AC04652-2022-11-02-6501','A362-3','pIjQbs', 'UB')
('AC12058-2022-11-01-6477','A360-15','nDDBuyR', 'UB')
('SL22517-2022-11-01-6383','S266-23','PwnQHacHZMf', 'SL')
('SL04652-2022-11-01-6378','S266-18','zTPMOfZqPb', 'MB')
('SL22517-2022-11-02-6445','S269-13','KTOYHLHSTASU', 'MB')
('SL04652-2022-11-02-6449','S269-17','NT', 'LB')
('SL12058-2022-11-01-6306','S263-18','OHniGaHCRnBMbnH', 'MB')
('AC22517-2022-11-01-6508','A362-10','xWLFJtLjzpN', 'UB')
('AC22517-2022-11-02-6506','A362-8','QKydkBuwo', 'LB')
('AC04652-2022-11-01-6788','A378-2','OjVjDdllvCWbmIa', 'LB')
('AC04652-2022-11-02-6521','A363-5','ZxAaQPG', 'SL')
('AC22517-2022-11-01-6514','A362-16','KNcnibwVC', 'UB')
('AC04652-2022-11-02-6524','A363-8','CtpJt', 'LB')
('SL04652-2022-11-02-6480','S270-24','QP', 'SU')
('SL04652-2022-11-02-6518','S272-14','hbQLpXdkSL', 'UB')
('SL04652-2022-11-01-6455','S269-23','mxUvYDNKjLYGfEc', 'SL')
('AC04652-2022-11-02-6564','A365-12','ug', 'SU')
('SL12058-2022-11-01-6358','S265-22','WMKkrdcAeyDcPC', 'UB')
('AC12058-2022-11-01-6555','A365-3','CTkToCRP', 'UB')
('SL12058-2022-11-01-6360','S265-24','qdBEctRLVVT', 'SU')
('AC22517-2022-11-01-6568','A365-16','coleMwNMFUsvTYv', 'UB')
('AC04652-2022-11-02-6567','A365-15','UONbOGkFAG', 'UB')
('SL04652-2022-11-01-6462','S270-6','uXyzsFlwuzL', 'UB')
('SL22517-2022-11-01-6460','S270-4','JOHhfOz', 'LB')
('SL04652-2022-11-01-6463','S270-7','d', 'SL')
('AC12058-2022-11-01-6563','A365-11','rXjtSSFflv', 'SL')
('AC04652-2022-11-01-6841','A381-1','gDiX', 'LB')
('AC04652-2022-11-01-6853','A381-13','UMYkbCxzDJt', 'LB')
('SL04652-2022-11-01-6485','S271-5','jmooUXDV', 'MB')
('SL12058-2022-11-01-6389','S267-5','KxAeTxdJXptbBcMT', 'MB')
('AC04652-2022-11-01-6857','A381-17','XxfGbLUmZK', 'SL')
('AC22517-2022-11-01-6595','A367-7','SVVBPVhFAhCxJ', 'LB')
('AC22517-2022-11-02-6585','A366-15','c', 'UB')
('SL12058-2022-11-01-6398','S267-14','icGnrW', 'UB')
('AC04652-2022-11-01-6894','A383-18','XwFxkFPSiqBwDf', 'SU')
('SL22517-2022-11-01-6504','S271-24','dphkySgFdX', 'SU')
('SL22517-2022-11-02-6589','S275-13','fGRnIAPFZEnO', 'MB')
('SL12058-2022-11-01-6426','S268-18','bxtWvL', 'MB')
('SL12058-2022-11-01-6427','S268-19','PKgd', 'UB')
('AC22517-2022-11-02-6627','A369-3','ZxpeyTXm', 'UB')
('AC04652-2022-11-01-6913','A385-1','KsjE', 'LB')
('SL22517-2022-11-01-6521','S272-17','mnFkR', 'LB')
('SL22517-2022-11-02-6631','S277-7','FdOVKCIX', 'SL')
('AC04652-2022-11-02-6682','A372-4','DOYIBgrTXZaVLW', 'UB')
('SL22517-2022-11-01-6546','S273-18','CdutVMeDcnVE', 'MB')
('AC04652-2022-11-02-6685','A372-7','EQJ', 'LB')
('SL22517-2022-11-01-6550','S273-22','A', 'UB')
