('SL22517-2022-11-02-7','S1-7','zWBZorP', 'SL')
('SL04652-2022-11-02-1167','S49-15','QimVCAtuOQAWZXN', 'SL')
('AC04652-2022-11-01-1216','A68-10','xfIQKlYKEfNs', 'UB')
('AC04652-2022-11-01-1218','A68-12','mqLWzgAsrmGCvuxM', 'SU')
('SL04652-2022-11-02-1170','S49-18','QH', 'MB')
('SL04652-2022-11-02-1171','S49-19','QlwnAjlMbf', 'UB')
('AC04652-2022-11-01-1221','A68-15','PZzqeTackfnJ', 'UB')
('AC12058-2022-11-01-1193','A67-5','ckPG', 'SL')
('SL04652-2022-11-01-1199','S50-23','BWoov', 'SL')
('AC04652-2022-11-02-1182','A66-12','Wqd', 'SU')
('AC04652-2022-11-02-1183','A66-13','SGKmbJTSSa', 'LB')
('SL22517-2022-11-01-1210','S51-10','QMceFFiIuJNYL', 'MB')
('SL04652-2022-11-01-1203','S51-3','HwwHsaHnN', 'UB')
('AC22517-2022-11-02-1232','A69-8','FFcp', 'LB')
('SL22517-2022-11-02-1241','S52-17','uSQdObpEdaW', 'LB')
('SL22517-2022-11-01-1218','S51-18','kRmMRRBoJgUVWWTI', 'MB')
('AC22517-2022-11-02-1239','A69-15','XRuXUgnIfaHxe', 'UB')
('AC04652-2022-11-02-1198','A67-10','RGfmicyfVLibzug', 'UB')
('SL04652-2022-11-01-1219','S51-19','Kv', 'UB')
('SL22517-2022-11-01-1230','S52-6','Jj', 'UB')
('SL22517-2022-11-01-1232','S52-8','kqSoYicgbGc', 'SU')
('SL04652-2022-11-01-1223','S51-23','bLIBMtdMRSAtXn', 'SL')
('SL22517-2022-11-01-1294','S54-22','vhONVhTxJRPZbQw', 'UB')
('AC12058-2022-11-01-1294','A72-16','yIqAw', 'UB')
('SL22517-2022-11-01-1295','S54-23','EqXwQXFduCx', 'SL')
('AC22517-2022-11-01-1270','A71-10','NwSotmBG', 'UB')
('SL04652-2022-11-01-1305','S55-9','nqURuk', 'LB')
('AC22517-2022-11-02-1339','A75-7','KQoPhSGfeJL', 'LB')
('AC12058-2022-11-01-1313','A73-17','QgiyjKnLT', 'SL')
('AC04652-2022-11-01-1328','A74-14','poiCuysGRtHZp', 'LB')
('AC12058-2022-11-01-1315','A74-1','gkcwS', 'LB')
('SL04652-2022-11-02-1288','S54-16','byQeqETKnpbQx', 'SU')
('SL22517-2022-11-01-1307','S55-11','kN', 'UB')
('SL04652-2022-11-01-1311','S55-15','qsCMYqIVzhHX', 'SL')
('SL22517-2022-11-02-1348','S57-4','LIqJXLMX', 'LB')
('SL04652-2022-11-02-1295','S54-23','qSteYttIAvf', 'SL')
('SL22517-2022-11-01-1315','S55-19','tsdMmaKM', 'UB')
('SL22517-2022-11-01-1316','S55-20','XqXrfOrkhQXv', 'LB')
('SL22517-2022-11-02-1355','S57-11','sqz', 'UB')
('SL12058-2022-11-01-1302','S55-6','FEq', 'UB')
('SL04652-2022-11-02-1298','S55-2','GYuVUtl', 'MB')
('AC22517-2022-11-01-1298','A73-2','CJnm', 'LB')
('AC12058-2022-11-01-1335','A75-3','vprYEszZEnwOYdI', 'UB')
('AC04652-2022-11-02-1312','A73-16','ECjjLDtXmuLzmq', 'UB')
('AC04652-2022-11-02-1313','A73-17','Us', 'SL')
('SL04652-2022-11-01-1334','S56-14','ZpvyWkMtSdEO', 'UB')
('SL22517-2022-11-02-1368','S57-24','RwwNeQWk', 'SU')
('SL04652-2022-11-01-1337','S56-17','GVSQsQAFsE', 'LB')
('AC22517-2022-11-01-1308','A73-12','OB', 'SU')
('AC04652-2022-11-02-1319','A74-5','SaziGaNyarJtk', 'SL')
('SL12058-2022-11-01-1310','S55-14','zXhjKrAiR', 'UB')
('SL12058-2022-11-01-1311','S55-15','RtemXHwU', 'SL')
('AC04652-2022-11-02-1323','A74-9','nrQOWje', 'UB')
('SL22517-2022-11-02-1373','S58-5','jRwmIyjhmgreeJ', 'MB')
('SL04652-2022-11-02-1316','S55-20','ysHR', 'LB')
('AC22517-2022-11-02-1367','A76-17','kDuXAUZUTpLfacU', 'SL')
('AC04652-2022-11-01-1355','A76-5','ueP', 'SL')
('SL04652-2022-11-01-1345','S57-1','TQXmyyKXieIUzwV', 'LB')
('SL22517-2022-11-01-1341','S56-21','EAPKznnwBZiJUbn', 'MB')
('SL22517-2022-11-02-1386','S58-18','jp', 'MB')
('AC22517-2022-11-01-1323','A74-9','uyNxWGMKz', 'UB')
('SL22517-2022-11-02-1387','S58-19','iIR', 'UB')
('AC22517-2022-11-01-1324','A74-10','uqiUI', 'UB')
('SL22517-2022-11-02-1389','S58-21','mrjpqJLuIIDRJhi', 'MB')
('AC04652-2022-11-02-1334','A75-2','dGJlHhq', 'LB')
('AC12058-2022-11-01-1354','A76-4','LwgJbUiCuQa', 'UB')
('AC12058-2022-11-01-1355','A76-5','mWAcdFb', 'SL')
('AC04652-2022-11-02-1336','A75-4','gJHmRW', 'UB')
('AC22517-2022-11-01-1331','A74-17','qetrMndquDFW', 'SL')
('SL22517-2022-11-02-1393','S59-1','ZcxX', 'LB')
('AC22517-2022-11-01-1337','A75-5','q', 'SL')
('AC04652-2022-11-01-1379','A77-11','siGvzMMFZRPwRlv', 'SL')
('AC12058-2022-11-01-1394','A78-8','GIOtoEyQ', 'LB')
('SL04652-2022-11-01-1392','S58-24','mHeVXtNDEbFrGw', 'SU')
('SL12058-2022-11-01-1377','S58-9','hdxyBCD', 'LB')
('SL04652-2022-11-02-1371','S58-3','lcfT', 'UB')
('SL12058-2022-11-01-1380','S58-12','QmUJRxnYBxTdtJ', 'LB')
('SL22517-2022-11-02-1431','S60-15','kXtslL', 'SL')
('SL22517-2022-11-01-1391','S58-23','DTnrJ', 'SL')
('AC12058-2022-11-01-1408','A79-4','FgMfZofKoWX', 'UB')
('SL22517-2022-11-02-1437','S60-21','NpXsXSHT', 'MB')
('SL22517-2022-11-01-1393','S59-1','ejlvXRlQyFYBtTt', 'LB')
('AC12058-2022-11-01-1417','A79-13','fAbKzyRTRnIwCo', 'LB')
('AC22517-2022-11-02-1438','A80-16','YCtPQbzGYrid', 'UB')
('AC22517-2022-11-01-1396','A78-10','QhLfgwEV', 'UB')
('SL22517-2022-11-02-1493','S63-5','tteryUwmSpdXHsC', 'MB')
('AC22517-2022-11-01-1440','A80-18','oCnmxsSbbrvZo', 'SU')
('AC22517-2022-11-02-1504','A84-10','yUzDY', 'UB')
('SL04652-2022-11-02-1443','S61-3','qXZsZytjh', 'UB')
('SL04652-2022-11-02-1444','S61-4','pETpYsyMqCoQter', 'LB')
('SL04652-2022-11-01-1490','S63-2','o', 'MB')
('SL22517-2022-11-02-1521','S64-9','NWwlymThnXO', 'LB')
('AC12058-2022-11-01-1491','A83-15','UEy', 'UB')
('AC22517-2022-11-01-1451','A81-11','ERNfdqRzLe', 'SL')
('SL22517-2022-11-01-1463','S61-23','jSf', 'SL')
('AC12058-2022-11-01-1492','A83-16','sPgqxrQhRuND', 'UB')
('AC04652-2022-11-02-1442','A81-2','H', 'LB')
('SL22517-2022-11-02-1528','S64-16','JIA', 'SU')
('SL22517-2022-11-01-1467','S62-3','TLqDhozNiBzTzoWH', 'UB')
('AC04652-2022-11-02-1445','A81-5','FqmUAAIwcI', 'SL')
('AC04652-2022-11-02-1446','A81-6','PlLlOd', 'SU')
('SL04652-2022-11-01-1495','S63-7','XubIfPbwZfL', 'SL')
('SL04652-2022-11-02-1459','S61-19','IXGgBA', 'UB')
('SL22517-2022-11-02-1533','S64-21','kaCRhluhkKfR', 'MB')
('SL22517-2022-11-01-1470','S62-6','uljS', 'UB')
('AC12058-2022-11-01-1496','A84-2','VfknJotqDSO', 'LB')
('AC12058-2022-11-01-1497','A84-3','PfXu', 'UB')
('SL04652-2022-11-02-1463','S61-23','rXTyIkdgW', 'SL')
('AC12058-2022-11-01-1501','A84-7','iPpzcY', 'LB')
('AC12058-2022-11-01-1502','A84-8','rRlumQoLHiYyYL', 'LB')
('AC22517-2022-11-02-1526','A85-14','bVxCGddmJM', 'LB')
('SL22517-2022-11-01-1477','S62-13','xturFEjybfzDe', 'MB')
('AC04652-2022-11-01-1515','A85-3','WWBHbuOM', 'UB')
('SL12058-2022-11-01-1455','S61-15','LxsFqDmZVVyn', 'SL')
('AC22517-2022-11-02-1527','A85-15','VDxcrmQMtx', 'UB')
('SL04652-2022-11-02-1471','S62-7','egqvhPYIhtIbj', 'SL')
('SL04652-2022-11-02-1472','S62-8','xRihZqsaqblXaq', 'SU')
('AC04652-2022-11-02-1460','A82-2','jThVVdAPicwm', 'LB')
('AC22517-2022-11-01-1463','A82-5','CiSuNnCBWEzGn', 'SL')
('AC22517-2022-11-01-1464','A82-6','abmhBxzdHpq', 'SU')
('SL04652-2022-11-02-1482','S62-18','NQsDkcyvtfoFxNer', 'MB')
('SL22517-2022-11-01-1491','S63-3','r', 'UB')
('SL12058-2022-11-01-1490','S63-2','v', 'MB')
('AC22517-2022-11-01-1486','A83-10','zKxPHIPcwMsCx', 'UB')
('SL22517-2022-11-02-1577','S66-17','uwJEKa', 'LB')
('SL22517-2022-11-01-1524','S64-12','jExj', 'LB')
('AC22517-2022-11-01-1490','A83-14','zfHyS', 'LB')
('SL22517-2022-11-02-1578','S66-18','yAvaJIuxhIvi', 'MB')
('SL12058-2022-11-01-1506','S63-18','WMuzLQESSBTnf', 'MB')
('SL04652-2022-11-02-1522','S64-10','sVtgUNavyfmBmGId', 'MB')
('SL22517-2022-11-02-1580','S66-20','sVQQRmXtgFRnKO', 'LB')
('AC04652-2022-11-01-1559','A87-11','Mph', 'SL')
('AC12058-2022-11-01-1551','A87-3','gnvsPpXOxZO', 'UB')
('SL22517-2022-11-02-1582','S66-22','TFel', 'UB')
('SL04652-2022-11-02-1528','S64-16','qjCuEafxpP', 'SU')
('SL22517-2022-11-01-1537','S65-1','CyqSKBByrqFSK', 'LB')
('SL04652-2022-11-02-1530','S64-18','yPVdOrrVTSPhB', 'MB')
('SL22517-2022-11-02-1584','S66-24','RTHSxMuRNRZ', 'SU')
('AC22517-2022-11-02-1581','A88-15','YgTgeLT', 'UB')
('SL12058-2022-11-01-1518','S64-6','NwFQHYB', 'UB')
('AC12058-2022-11-01-1598','A89-14','OdWLQ', 'LB')
('SL22517-2022-11-02-1629','S68-21','MrtVmYXahY', 'MB')
('AC22517-2022-11-02-1654','A92-16','jfFDeuCkyqvMpq', 'UB')
('AC12058-2022-11-01-1642','A92-4','GP', 'UB')
('SL22517-2022-11-02-1674','S70-18','aagvKuajxkuUa', 'MB')
('SL04652-2022-11-01-1643','S69-11','SZuJXzd', 'UB')
('AC04652-2022-11-01-1672','A93-16','kLEui', 'UB')
('SL22517-2022-11-01-1637','S69-5','Zm', 'MB')
('SL22517-2022-11-02-1676','S70-20','JIdVGocoHTTeFCoE', 'LB')
('SL04652-2022-11-01-1645','S69-13','WYvNdaD', 'MB')
('SL04652-2022-11-02-1613','S68-5','mjmhouRNGzlJ', 'MB')
('AC22517-2022-11-02-1666','A93-10','qAmy', 'UB')
('SL22517-2022-11-02-1680','S70-24','SyMam', 'SU')
('AC04652-2022-11-02-1583','A88-17','C', 'SL')
('SL12058-2022-11-01-1628','S68-20','KMqmZOfR', 'LB')
('AC12058-2022-11-01-1649','A92-11','urzh', 'SL')
('AC04652-2022-11-02-1586','A89-2','hZgUgmX', 'LB')
('SL12058-2022-11-01-1633','S69-1','BFOvV', 'LB')
('SL12058-2022-11-01-1634','S69-2','pJz', 'MB')
('AC12058-2022-11-01-1653','A92-15','xaXyxKWTfo', 'UB')
('AC22517-2022-11-01-1591','A89-7','cH', 'LB')
('AC04652-2022-11-02-1592','A89-8','Zinsd', 'LB')
('SL12058-2022-11-01-1636','S69-4','aCscTuQd', 'LB')
('AC22517-2022-11-01-1598','A89-14','IPEG', 'LB')
('SL22517-2022-11-02-1699','S71-19','IzD', 'UB')
('AC12058-2022-11-01-1663','A93-7','Jcjd', 'LB')
('AC04652-2022-11-02-1600','A89-16','FLCTSOyfOXWE', 'UB')
('AC22517-2022-11-02-1689','A94-15','lpJ', 'UB')
('AC12058-2022-11-01-1669','A93-13','LcZ', 'LB')
('SL22517-2022-11-02-1705','S72-1','aeVoilzkWFq', 'LB')
('AC22517-2022-11-01-1609','A90-7','SRJAZCbuNjjqEVh', 'LB')
('SL22517-2022-11-02-1709','S72-5','SADyYu', 'MB')
('AC04652-2022-11-02-1611','A90-9','OTbmm', 'UB')
('AC22517-2022-11-02-1700','A95-8','ZyTDaHYFE', 'LB')
('AC04652-2022-11-01-1702','A95-10','qlhNESRfXVAhpH', 'UB')
('SL12058-2022-11-01-1653','S69-21','DcuAexsiUE', 'MB')
('SL04652-2022-11-02-1640','S69-8','TbRcpPNLCI', 'SU')
('SL04652-2022-11-02-1641','S69-9','LWPwIvGwPHQIAHhh', 'LB')
('SL04652-2022-11-02-1688','S71-8','RKovbNzZzdsdLOl', 'SU')
('AC22517-2022-11-01-1658','A93-2','XL', 'LB')
('SL04652-2022-11-02-1693','S71-13','DTAe', 'MB')
('AC12058-2022-11-01-1713','A96-3','QGT', 'UB')
('AC22517-2022-11-01-1664','A93-8','qssauXy', 'LB')
('SL22517-2022-11-01-1756','S74-4','cC', 'LB')
('AC04652-2022-11-01-1790','A100-8','Xv', 'LB')
('SL22517-2022-11-01-1758','S74-6','rOLGHQIW', 'UB')
('SL22517-2022-11-01-1759','S74-7','q', 'SL')
('SL22517-2022-11-02-1772','S74-20','nuUlod', 'LB')
('AC12058-2022-11-01-1741','A97-13','UqyKeysnYrTdPNi', 'LB')
('AC04652-2022-11-02-1679','A94-5','nTXKviTfgciNDrmP', 'SL')
('AC04652-2022-11-02-1680','A94-6','I', 'SU')
('AC12058-2022-11-01-1745','A97-17','KtmNE', 'SL')
('SL12058-2022-11-01-1730','S73-2','SiI', 'MB')
('SL04652-2022-11-01-1744','S73-16','vaYOAyPFA', 'SU')
('SL04652-2022-11-01-1745','S73-17','GvpJTYZXIhvd', 'LB')
('SL04652-2022-11-01-1749','S73-21','FBrSWnDlvXj', 'MB')
('AC04652-2022-11-01-1833','A102-15','OOdvCQ', 'UB')
('SL12058-2022-11-01-1766','S74-14','GYEMKAdQeFVS', 'UB')
('AC22517-2022-11-02-1821','A102-3','thIvwItwkFyIy', 'UB')
('AC22517-2022-11-02-1822','A102-4','vyafAqN', 'UB')
('SL04652-2022-11-02-1763','S74-11','idxmIstrDuCYF', 'UB')
('SL12058-2022-11-01-1769','S74-17','OSfKYRLXzvpIEnlp', 'LB')
('SL12058-2022-11-01-1772','S74-20','TNt', 'LB')
('SL12058-2022-11-01-1773','S74-21','Xufn', 'MB')
('SL04652-2022-11-01-1772','S74-20','kF', 'LB')
('AC04652-2022-11-02-1721','A96-11','oekAB', 'SL')
('AC22517-2022-11-01-1734','A97-6','ZynJuTyhszYQh', 'SU')
('SL12058-2022-11-01-1776','S74-24','UFMfAjH', 'SU')
('AC22517-2022-11-01-1735','A97-7','DtPJfjjDTr', 'LB')
('SL04652-2022-11-02-1771','S74-19','UURRiS', 'UB')
('AC22517-2022-11-02-1831','A102-13','kGxjr', 'LB')
('SL12058-2022-11-01-1780','S75-4','lPLANDlag', 'LB')
('SL04652-2022-11-02-1777','S75-1','GxqzySbxIsrISemC', 'LB')
('AC04652-2022-11-02-1730','A97-2','rNpPYGtQeY', 'LB')
('SL04652-2022-11-02-1778','S75-2','tntOTvneLyLQv', 'MB')
('AC22517-2022-11-01-1744','A97-16','xlZVdfJnuksZghF', 'UB')
('SL04652-2022-11-01-1786','S75-10','slHCreQDF', 'MB')
('AC04652-2022-11-02-1735','A97-7','covxGPe', 'LB')
('AC22517-2022-11-02-1841','A103-5','Mbn', 'SL')
('SL12058-2022-11-01-1788','S75-12','JdbwkoXDAI', 'LB')
('AC22517-2022-11-01-1747','A98-1','qTekwiYDLphRxjr', 'LB')
('SL12058-2022-11-01-1790','S75-14','rX', 'UB')
('SL04652-2022-11-02-1786','S75-10','IqvzFBAxz', 'MB')
('SL12058-2022-11-01-1791','S75-15','aWARynLwjsLvVl', 'SL')
('SL12058-2022-11-01-1792','S75-16','O', 'SU')
('AC22517-2022-11-01-1748','A98-2','GhmTtJXKRiHd', 'LB')
('AC22517-2022-11-01-1749','A98-3','IldeVhkgFsPmOwU', 'UB')
('AC04652-2022-11-02-1742','A97-14','rQBCJPReahIUSHp', 'LB')
('SL22517-2022-11-02-1840','S77-16','DmpVEPOUnqWj', 'SU')
('AC22517-2022-11-01-1753','A98-7','RvKVOVFOYBgqeG', 'LB')
('AC22517-2022-11-01-1757','A98-11','MM', 'SL')
('AC04652-2022-11-02-1753','A98-7','oACBEHmIkhI', 'LB')
('SL04652-2022-11-01-1808','S76-8','apuTgyHdRowHcD', 'SU')
('SL12058-2022-11-01-1806','S76-6','zgZZmClxDmdGDSE', 'UB')
('SL04652-2022-11-01-1810','S76-10','vNxdhqFFs', 'MB')
('SL22517-2022-11-01-1848','S77-24','LBElGNB', 'SU')
('SL12058-2022-11-01-1835','S77-11','VLE', 'UB')
('AC22517-2022-11-01-1792','A100-10','eXeLTqsokYTCpQdy', 'UB')
('AC22517-2022-11-02-1890','A105-18','aLxZHHVLFvKnFcD', 'SU')
('SL22517-2022-11-01-1880','S79-8','EvcgVEnFaVJgy', 'SU')
('SL12058-2022-11-01-1839','S77-15','SMNVuxka', 'SL')
('SL22517-2022-11-02-1877','S79-5','qBXYbCG', 'MB')
('SL04652-2022-11-02-1837','S77-13','oWdhXBGd', 'MB')
('AC22517-2022-11-01-1799','A100-17','GVvCOKQfnAnFGy', 'SL')
('SL12058-2022-11-01-1845','S77-21','GrD', 'MB')
('SL04652-2022-11-02-1839','S77-15','SgkmCBg', 'SL')
('AC04652-2022-11-02-1801','A101-1','rHpdrRdodG', 'LB')
('AC22517-2022-11-01-1801','A101-1','ANSxO', 'LB')
('SL04652-2022-11-01-1866','S78-18','rnxJYAJTLO', 'MB')
('AC04652-2022-11-01-1918','A107-10','ZOgWrgsI', 'UB')
('SL22517-2022-11-02-1889','S79-17','XoeC', 'LB')
('AC22517-2022-11-02-1906','A106-16','x', 'UB')
('SL22517-2022-11-01-1894','S79-22','baxQbPxNTV', 'UB')
('AC04652-2022-11-01-1920','A107-12','aKGYBgYzryQWE', 'SU')
('AC04652-2022-11-01-1923','A107-15','tasgeAnRNl', 'UB')
('SL22517-2022-11-01-1897','S80-1','iuCiXcPpspfX', 'LB')
('SL12058-2022-11-01-1852','S78-4','cLsByRk', 'LB')
('SL22517-2022-11-02-1906','S80-10','qJeupgaxHUBp', 'MB')
('SL04652-2022-11-01-1891','S79-19','KYPxBGcmOLqR', 'UB')
('SL04652-2022-11-01-1897','S80-1','AADPUJ', 'LB')
('AC12058-2022-11-01-1894','A106-4','OucVp', 'UB')
('SL22517-2022-11-01-1916','S80-20','rWHTPBPYy', 'LB')
('AC22517-2022-11-02-1927','A108-1','m', 'LB')
('AC12058-2022-11-01-1895','A106-5','iwFNyNVSmQ', 'SL')
('SL04652-2022-11-01-1906','S80-10','q', 'MB')
('AC22517-2022-11-02-1947','A109-3','XFeDTSeUTsACcD', 'UB')
('AC12058-2022-11-01-1919','A107-11','SSDWd', 'SL')
('AC04652-2022-11-02-1848','A103-12','jrvkWKebq', 'SU')
('SL22517-2022-11-01-1940','S81-20','ZiaZLKhQxvluU', 'LB')
('SL22517-2022-11-01-1941','S81-21','sHT', 'MB')
('AC22517-2022-11-02-1957','A109-13','PYoOtEvQGLXd', 'LB')
('SL22517-2022-11-02-1944','S81-24','QSmxJcHipQOgVFV', 'SU')
('SL22517-2022-11-02-1949','S82-5','g', 'MB')
('SL22517-2022-11-02-1953','S82-9','siYLPMeUzPkg', 'LB')
('SL04652-2022-11-02-1891','S79-19','ZEklrOHa', 'UB')
('AC04652-2022-11-02-1860','A104-6','Xd', 'SU')
('SL22517-2022-11-01-1948','S82-4','zJSAqyJuK', 'LB')
('SL22517-2022-11-01-1950','S82-6','xahrRUPBUfk', 'UB')
('SL04652-2022-11-02-1898','S80-2','XnYnlbHmHwuw', 'MB')
('SL04652-2022-11-01-1944','S81-24','oe', 'SU')
('AC22517-2022-11-02-1967','A110-5','QpB', 'SL')
('SL12058-2022-11-01-1899','S80-3','rNSmzUIiZgl', 'UB')
('AC04652-2022-11-01-1980','A110-18','bSxXSP', 'SU')
('SL12058-2022-11-01-1904','S80-8','lAQCGsysuAqLmFAO', 'SU')
('SL12058-2022-11-01-1905','S80-9','RXyHruhfZcEIR', 'LB')
('SL12058-2022-11-01-1906','S80-10','s', 'MB')
('AC22517-2022-11-01-1879','A105-7','nLMwocxFrtglS', 'LB')
('SL04652-2022-11-01-1958','S82-14','zbtMtrWLJnYUIGTb', 'UB')
('SL04652-2022-11-02-1911','S80-15','RVKQbwsRsseYTNfB', 'SL')
('AC04652-2022-11-02-1879','A105-7','ShTLVWFRVjW', 'LB')
('AC04652-2022-11-01-1991','A111-11','ABzGdFURzJnD', 'SL')
('AC12058-2022-11-01-1948','A109-4','AnuRrLjw', 'UB')
('SL22517-2022-11-02-1975','S83-7','hFKilgrl', 'SL')
('SL04652-2022-11-01-1963','S82-19','deybTH', 'UB')
('SL04652-2022-11-01-1965','S82-21','gxA', 'MB')
('AC04652-2022-11-01-1998','A111-18','RluJoTw', 'SU')
('AC04652-2022-11-02-1887','A105-15','nwlpCXWYTmOtPkKM', 'UB')
('AC22517-2022-11-02-1992','A111-12','Bwe', 'SU')
('AC12058-2022-11-01-1959','A109-15','AYuqmQmpAws', 'UB')
('AC22517-2022-11-02-1995','A111-15','pM', 'UB')
('SL12058-2022-11-01-1933','S81-13','pYZtJdbr', 'MB')
('AC22517-2022-11-02-2001','A112-3','giNJU', 'UB')
('SL12058-2022-11-01-1934','S81-14','CFiPamzydMQuGZeV', 'UB')
('SL04652-2022-11-02-1931','S81-11','joJ', 'UB')
('SL04652-2022-11-01-1989','S83-21','sZGmoLPkzlZS', 'MB')
('AC04652-2022-11-02-1906','A106-16','UcOYxYTqx', 'UB')
('SL04652-2022-11-01-1991','S83-23','URJXtEtBhuj', 'SL')
('SL22517-2022-11-01-1989','S83-21','YfWjcBUKx', 'MB')
('SL22517-2022-11-02-2002','S84-10','DsMbTAPycxv', 'MB')
('AC12058-2022-11-01-1977','A110-15','lONSXyLbry', 'UB')
('SL04652-2022-11-01-1995','S84-3','ctkzWxQzqiRJ', 'UB')
('AC04652-2022-11-01-2012','A112-14','JdOx', 'LB')
('AC22517-2022-11-01-1915','A107-7','HtCw', 'LB')
('SL04652-2022-11-02-1952','S82-8','Ey', 'SU')
('SL04652-2022-11-02-1953','S82-9','agoiPcmUpkoxxUwo', 'LB')
('SL22517-2022-11-01-2004','S84-12','PApOpQDLlaV', 'LB')
('AC22517-2022-11-02-2032','A113-16','BYbbxFmnlnCx', 'UB')
('SL22517-2022-11-01-2005','S84-13','GwU', 'MB')
('AC12058-2022-11-01-1994','A111-14','iMZht', 'LB')
('AC04652-2022-11-01-2036','A114-2','LarvkAWoBUjOO', 'LB')
('AC22517-2022-11-02-2035','A114-1','FaKHbcsqYiDESIS', 'LB')
('AC22517-2022-11-01-1923','A107-15','a', 'UB')
('AC04652-2022-11-02-1931','A108-5','qPTgJY', 'SL')
('AC04652-2022-11-02-1932','A108-6','ekoWUbTOKjXNyULz', 'SU')
('SL12058-2022-11-01-1974','S83-6','ORKBchYvqCmZUrXd', 'UB')
('SL12058-2022-11-01-1976','S83-8','Gdm', 'SU')
('SL12058-2022-11-01-1977','S83-9','rk', 'LB')
('AC04652-2022-11-01-2044','A114-10','BZV', 'UB')
('SL22517-2022-11-02-2027','S85-11','agHHf', 'UB')
('SL12058-2022-11-01-1983','S83-15','ExVOUosf', 'SL')
('AC04652-2022-11-02-1941','A108-15','cuqi', 'UB')
('SL04652-2022-11-01-2029','S85-13','YenFvmXQDjkc', 'MB')
('SL22517-2022-11-02-2035','S85-19','YKeoamtYESIPVQj', 'UB')
('SL12058-2022-11-01-1992','S83-24','uSgcSGx', 'SU')
('AC12058-2022-11-01-2012','A112-14','gDGxlaPo', 'LB')
('SL04652-2022-11-01-2035','S85-19','iScNdUsBuFls', 'UB')
('SL22517-2022-11-01-2022','S85-6','AtGytuxQ', 'UB')
('AC22517-2022-11-01-1940','A108-14','okYKS', 'LB')
('AC22517-2022-11-02-2057','A115-5','bSWsghKNvqMYwNy', 'SL')
('AC12058-2022-11-01-2018','A113-2','JsyohiGnpuKL', 'LB')
('AC22517-2022-11-01-1948','A109-4','ViKMpVGrtQG', 'UB')
('SL22517-2022-11-01-2039','S85-23','PsnYsbtQtyxdsp', 'SL')
('AC22517-2022-11-02-2063','A115-11','pTavhgLCkTNIRPVP', 'SL')
('AC22517-2022-11-01-1967','A110-5','wfSok', 'SL')
('AC22517-2022-11-02-2086','A116-16','prqPba', 'UB')
('SL12058-2022-11-01-2024','S85-8','xfUkYWIgLnlq', 'SU')
('AC22517-2022-11-01-1978','A110-16','MlWRpkubxPIZMxrU', 'UB')
('SL04652-2022-11-01-2075','S87-11','jCoV', 'UB')
('AC12058-2022-11-01-2051','A114-17','wgxEcFVUqu', 'SL')
('SL12058-2022-11-01-2033','S85-17','SifBtNmUZuKwRllf', 'LB')
('AC22517-2022-11-02-2093','A117-5','sKBNUNYlTQZMvCpw', 'SL')
('SL12058-2022-11-01-2039','S85-23','TchSKFIWuLAin', 'SL')
('SL22517-2022-11-01-2071','S87-7','MxDUbmSvkPtIY', 'SL')
('SL22517-2022-11-02-2081','S87-17','QxcxsRjcJtdHgj', 'LB')
('AC04652-2022-11-02-2008','A112-10','jltuvHFUvGQnZBXQ', 'UB')
('AC04652-2022-11-02-2012','A112-14','YtltUFX', 'LB')
('AC22517-2022-11-02-2106','A117-18','xThWxJDkw', 'SU')
('AC22517-2022-11-01-1998','A111-18','rdfpCeqYLHh', 'SU')
('AC22517-2022-11-01-1999','A112-1','njEYZtiGIUpyX', 'LB')
('AC22517-2022-11-02-2108','A118-2','RjmnoGOcblxpu', 'LB')
('AC22517-2022-11-01-2001','A112-3','Wd', 'UB')
('SL22517-2022-11-02-2093','S88-5','unpcqAKKQq', 'MB')
('SL04652-2022-11-02-2057','S86-17','ai', 'LB')
('AC22517-2022-11-02-2125','A119-1','tLAoviUZohIwW', 'LB')
('SL22517-2022-11-02-2111','S88-23','MiZxea', 'SL')
('SL04652-2022-11-02-2065','S87-1','bOiugNmbkVRCfWly', 'LB')
('AC22517-2022-11-02-2130','A119-6','NfyfA', 'SU')
('AC12058-2022-11-01-2092','A117-4','fiuGEn', 'UB')
('AC22517-2022-11-01-2022','A113-6','Hnkj', 'SU')
('AC04652-2022-11-01-2140','A119-16','CyVxGuTKpcCkQ', 'UB')
('SL22517-2022-11-01-2183','S91-23','xQstIVcoNeA', 'SL')
('SL04652-2022-11-02-2167','S91-7','uHZOOmNBmsPIBxxU', 'SL')
('AC22517-2022-11-01-2112','A118-6','UaMX', 'SU')
('AC22517-2022-11-02-2219','A124-5','qCDKGMzJLhjDOati', 'SL')
('AC22517-2022-11-02-2224','A124-10','gxOocuA', 'UB')
('SL22517-2022-11-02-2202','S92-18','HtNZ', 'MB')
('SL04652-2022-11-02-2178','S91-18','LPMRlGPTgzKHpkN', 'MB')
('AC04652-2022-11-02-2140','A119-16','EuPPj', 'UB')
('AC22517-2022-11-02-2237','A125-5','JRQnxr', 'SL')
('AC04652-2022-11-01-2256','A126-6','yixqZRhflOqI', 'SU')
('AC22517-2022-11-01-2135','A119-11','YrYb', 'SL')
('AC12058-2022-11-01-2195','A122-17','XomP', 'SL')
('AC04652-2022-11-01-2258','A126-8','f', 'LB')
('SL04652-2022-11-01-2237','S94-5','MKORIDjrk', 'MB')
('SL12058-2022-11-01-2201','S92-17','bQrfdoiM', 'LB')
