('SL04652-2022-11-02-833','S35-17','rLpkXtJUyhB', 'LB')
('AC04652-2022-11-01-2273','A127-5','MKUKEaArblELcnv', 'SL')
('AC04652-2022-11-02-2177','A121-17','ilpMKrXYRMrT', 'SL')
('AC04652-2022-11-02-2178','A121-18','s', 'SU')
('AC04652-2022-11-02-2179','A122-1','AxRWklWPoKA', 'LB')
('AC12058-2022-11-01-2175','A121-15','BGKpMPjcnvQZwvm', 'UB')
('AC12058-2022-11-01-2176','A121-16','WyVHPBdFEILrHRP', 'UB')
('SL04652-2022-11-01-2170','S91-10','sTHOCQ', 'MB')
('AC22517-2022-11-01-2234','A125-2','AkQQehdVLJQ', 'LB')
('AC04652-2022-11-01-2309','A129-5','mGZaPYKayyIldF', 'SL')
('AC04652-2022-11-02-2212','A123-16','ccrczbCWSE', 'UB')
('AC22517-2022-11-01-2259','A126-9','uYkfEhTOfK', 'UB')
('SL22517-2022-11-01-2222','S93-14','kuoQJXoeuzgFpIlg', 'UB')
('AC12058-2022-11-01-2197','A123-1','JBENCsCDkvE', 'LB')
('SL04652-2022-11-02-2234','S94-2','DUBWdb', 'MB')
('AC22517-2022-11-01-2269','A127-1','CNN', 'LB')
('SL22517-2022-11-01-2232','S93-24','KXAcaspS', 'SU')
('AC22517-2022-11-02-2234','A125-2','MoIOD', 'LB')
('SL12058-2022-11-01-2197','S92-13','Xe', 'MB')
('SL22517-2022-11-02-2226','S93-18','JAvnYfB', 'MB')
('AC04652-2022-11-01-2336','A130-14','rKCoKFJRoILkfu', 'LB')
('SL22517-2022-11-02-2232','S93-24','YJR', 'SU')
('AC22517-2022-11-02-2243','A125-11','uDkiIpu', 'SL')
('AC22517-2022-11-02-2244','A125-12','WdzuWnqAqXVHan', 'SU')
('AC22517-2022-11-02-2245','A125-13','IXPShhkPva', 'LB')
('SL12058-2022-11-01-2205','S92-21','gFYZlXoFQgKslHd', 'MB')
('SL12058-2022-11-01-2211','S93-3','hboadnCftCAh', 'UB')
('SL22517-2022-11-02-2241','S94-9','SSxTNJOPtBfs', 'LB')
('AC22517-2022-11-01-2297','A128-11','NDasvmoThBFhtEtn', 'SL')
('AC04652-2022-11-02-2258','A126-8','qsVEOCxiDWwRB', 'LB')
('AC22517-2022-11-01-2298','A128-12','vye', 'SU')
('AC04652-2022-11-01-2407','A134-13','mktRsCZZ', 'LB')
('AC22517-2022-11-02-2298','A128-12','KjShwYUZvkfWdHmI', 'SU')
('AC22517-2022-11-02-2299','A128-13','HseWwTnhcOL', 'LB')
('AC12058-2022-11-01-2280','A127-12','MwRkUFCtDOUT', 'SU')
('SL22517-2022-11-01-2307','S97-3','eAnruPNGoc', 'UB')
('AC12058-2022-11-01-2285','A127-17','RaRmcukVnwYWgzFi', 'SL')
('AC22517-2022-11-01-2359','A132-1','PGWgUrfMYhh', 'LB')
('SL04652-2022-11-01-2270','S95-14','KaSzNqvKfARs', 'UB')
('AC22517-2022-11-01-2360','A132-2','eVuFeEnIq', 'LB')
('SL22517-2022-11-02-2300','S96-20','W', 'LB')
('AC22517-2022-11-02-2304','A128-18','gMDdz', 'SU')
('AC12058-2022-11-01-2291','A128-5','WCBGfXJNT', 'SL')
('SL22517-2022-11-01-2325','S97-21','Eoop', 'MB')
('AC04652-2022-11-02-2332','A130-10','xkOsy', 'UB')
('SL22517-2022-11-02-2310','S97-6','rVjXahjEtE', 'UB')
('AC22517-2022-11-02-2316','A129-12','aiTRiYEJoRrRCfbw', 'SU')
('AC12058-2022-11-01-2306','A129-2','aAX', 'LB')
('SL04652-2022-11-01-2291','S96-11','XGSOiXVOGwyERnrR', 'UB')
('AC04652-2022-11-02-2338','A130-16','sdCRqBFdCFh', 'UB')
('AC04652-2022-11-02-2339','A130-17','ytdNyF', 'SL')
('SL22517-2022-11-01-2332','S98-4','PKjeRtsnStOspvzj', 'LB')
('SL04652-2022-11-01-2295','S96-15','YudHtY', 'SL')
('SL04652-2022-11-01-2296','S96-16','VIikwyDGfvUhDFHt', 'SU')
('SL04652-2022-11-01-2297','S96-17','eOUqZWZZUvaZ', 'LB')
('AC04652-2022-11-02-2344','A131-4','ZIWtRhNdcXpAOP', 'UB')
('AC12058-2022-11-01-2315','A129-11','M', 'SL')
('SL04652-2022-11-02-2335','S98-7','yMAqsjDGCKU', 'SL')
('AC04652-2022-11-02-2348','A131-8','dqkepjFEpFuzIL', 'LB')
('AC12058-2022-11-01-2318','A129-14','rZP', 'LB')
('AC22517-2022-11-01-2385','A133-9','qYfmR', 'UB')
('AC04652-2022-11-01-2447','A136-17','xwHRnKlJOSCaP', 'SL')
('AC04652-2022-11-01-2449','A137-1','dNnEivqsLhXWXH', 'LB')
('SL22517-2022-11-01-2348','S98-20','hHkVWnKLxxcyIX', 'LB')
('SL22517-2022-11-02-2330','S98-2','OOkhtQiA', 'MB')
('SL22517-2022-11-02-2331','S98-3','VdlbusLcXtSWE', 'UB')
('AC22517-2022-11-02-2336','A130-14','LyQGuVBEpgo', 'LB')
('SL04652-2022-11-01-2317','S97-13','zN', 'MB')
('AC22517-2022-11-01-2402','A134-8','XruGmzDFb', 'LB')
('SL12058-2022-11-01-2302','S96-22','kHXlMOIqVri', 'UB')
('AC04652-2022-11-01-2464','A137-16','D', 'UB')
('SL04652-2022-11-02-2355','S99-3','zCvXaWcJhfe', 'UB')
('AC12058-2022-11-01-2337','A130-15','fGsDaSUiHRkHbgvL', 'UB')
('AC04652-2022-11-02-2362','A132-4','oUzJqqDyKHTmdL', 'UB')
('SL04652-2022-11-02-2364','S99-12','oTgYMWlSMWKWMQCY', 'LB')
('SL04652-2022-11-02-2369','S99-17','LVGtpIoKoEyPO', 'LB')
('AC04652-2022-11-02-2370','A132-12','KqmDI', 'SU')
('AC04652-2022-11-01-2477','A138-11','IqOf', 'SL')
('AC04652-2022-11-02-2381','A133-5','RhInqFsnKhMbkHEW', 'SL')
('AC04652-2022-11-02-2385','A133-9','fiPt', 'UB')
('SL22517-2022-11-01-2385','S100-9','FIOeBuNlSYIMGl', 'LB')
('AC04652-2022-11-01-2489','A139-5','WagyBNtjRPgVHUmS', 'SL')
('SL04652-2022-11-01-2352','S98-24','PzVDpHGilsvUl', 'SU')
('AC04652-2022-11-01-2493','A139-9','LQajUSPpZBoa', 'UB')
('SL22517-2022-11-02-2372','S99-20','tITXY', 'LB')
('SL04652-2022-11-01-2359','S99-7','aRXIJcfuB', 'SL')
('AC04652-2022-11-01-2501','A139-17','SXy', 'SL')
('AC04652-2022-11-02-2398','A134-4','sYidgqBLRDrfEJ', 'UB')
('SL22517-2022-11-01-2406','S101-6','E', 'UB')
('AC22517-2022-11-01-2447','A136-17','uOWImilzuOQvH', 'SL')
('SL22517-2022-11-02-2390','S100-14','QUzsnTM', 'UB')
('AC22517-2022-11-01-2449','A137-1','DbGvryEM', 'LB')
('SL04652-2022-11-02-2411','S101-11','PIWvrLqXCAZy', 'UB')
('AC04652-2022-11-02-2412','A134-18','kVnXNhbTSpvPz', 'SU')
('AC22517-2022-11-02-2396','A134-2','HuDlAFLWCAYA', 'LB')
('SL12058-2022-11-01-2362','S99-10','yuonehlBLroLTMBl', 'MB')
('SL04652-2022-11-01-2388','S100-12','pNvICEEaSwS', 'LB')
('SL04652-2022-11-02-2422','S101-22','v', 'UB')
('AC12058-2022-11-01-2405','A134-11','oLIluRMlNL', 'SL')
('SL22517-2022-11-01-2430','S102-6','VydKtUDC', 'UB')
('SL04652-2022-11-02-2426','S102-2','OLimZIc', 'MB')
('SL12058-2022-11-01-2367','S99-15','epl', 'SL')
('SL04652-2022-11-02-2483','S104-11','GCX', 'UB')
('SL22517-2022-11-01-2486','S104-14','HtRFu', 'UB')
('SL22517-2022-11-01-2487','S104-15','Z', 'SL')
('SL04652-2022-11-01-2433','S102-9','YjJ', 'LB')
('SL22517-2022-11-01-2489','S104-17','mP', 'LB')
('AC22517-2022-11-01-2522','A141-2','YZ', 'LB')
('AC04652-2022-11-02-2482','A138-16','gEdiVk', 'UB')
('SL22517-2022-11-01-2494','S104-22','zHYWqJXXw', 'UB')
('SL04652-2022-11-02-2493','S104-21','HDWtTmrXM', 'MB')
('SL04652-2022-11-02-2494','S104-22','eo', 'UB')
('AC22517-2022-11-01-2530','A141-10','nFY', 'UB')
('SL04652-2022-11-01-2442','S102-18','y', 'MB')
('AC04652-2022-11-02-2489','A139-5','aHpjd', 'SL')
('SL04652-2022-11-02-2498','S105-2','vHSkNXafXZ', 'MB')
('AC12058-2022-11-01-2487','A139-3','RIjDZSEhw', 'UB')
('SL04652-2022-11-02-2506','S105-10','qcZiiXB', 'MB')
('SL22517-2022-11-02-2464','S103-16','MsRuotkgSvfTN', 'SU')
('SL22517-2022-11-02-2465','S103-17','oNLOX', 'LB')
('SL12058-2022-11-01-2444','S102-20','uhSJUwePd', 'LB')
('AC12058-2022-11-01-2488','A139-4','OdxbXXuWrkaA', 'UB')
('SL22517-2022-11-01-2515','S105-19','pikuyXbRTkqjXJY', 'UB')
('AC22517-2022-11-02-2485','A139-1','zyKOrEDXTtH', 'LB')
('SL22517-2022-11-01-2517','S105-21','ytmPVLFn', 'MB')
('SL22517-2022-11-01-2518','S105-22','LJvSjMo', 'UB')
('SL12058-2022-11-01-2451','S103-3','aIRBMnq', 'UB')
('SL22517-2022-11-01-2524','S106-4','oTBUeesOf', 'LB')
('AC22517-2022-11-01-2558','A143-2','kfWtaIBpj', 'LB')
('AC12058-2022-11-01-2499','A139-15','Q', 'UB')
('AC04652-2022-11-01-2625','A146-15','upVhFL', 'UB')
('SL22517-2022-11-02-2486','S104-14','UUWWOYHVVzgR', 'UB')
('AC22517-2022-11-02-2503','A140-1','mhUuhMICPituZzdO', 'LB')
('SL12058-2022-11-01-2469','S103-21','qJFwkBcfRT', 'MB')
('AC04652-2022-11-01-2627','A146-17','QNnklzW', 'SL')
('AC12058-2022-11-01-2516','A140-14','BezJBzQhwrOAh', 'LB')
('AC04652-2022-11-02-2539','A142-1','KhArTzamw', 'LB')
('SL12058-2022-11-01-2482','S104-10','pLJvUTMbrAe', 'MB')
('AC22517-2022-11-02-2517','A140-15','Zjrp', 'UB')
('SL04652-2022-11-01-2497','S105-1','ldmlHmmGYBgB', 'LB')
('SL04652-2022-11-01-2499','S105-3','vsDyYk', 'UB')
('AC12058-2022-11-01-2525','A141-5','MtrBsvn', 'SL')
('AC22517-2022-11-02-2520','A140-18','OGZTMS', 'SU')
('AC12058-2022-11-01-2528','A141-8','kCulcVvkbvr', 'LB')
('SL04652-2022-11-02-2556','S107-12','JUbGHQnWav', 'LB')
('AC22517-2022-11-01-2580','A144-6','hRlRfygTeTnbeKJO', 'SU')
('AC12058-2022-11-01-2532','A141-12','TkOGBO', 'SU')
('AC22517-2022-11-02-2530','A141-10','KfCzhSBOygwAdk', 'UB')
('SL22517-2022-11-02-2507','S105-11','hXhvhFWhJiQ', 'UB')
('AC22517-2022-11-01-2592','A144-18','ljrJnPZCKKOjy', 'SU')
('AC22517-2022-11-02-2537','A141-17','PFmlDSWezZHTl', 'SL')
('SL04652-2022-11-01-2519','S105-23','NU', 'SL')
('AC22517-2022-11-01-2595','A145-3','VQmwzvjbd', 'UB')
('SL04652-2022-11-02-2566','S107-22','i', 'UB')
('AC12058-2022-11-01-2546','A142-8','EMBv', 'LB')
('SL12058-2022-11-01-2507','S105-11','VueYoRXpbyQFx', 'UB')
('AC04652-2022-11-02-2560','A143-4','EXjtwCNkkyib', 'UB')
('AC04652-2022-11-01-2664','A148-18','vYdmhFKyVe', 'SU')
('SL04652-2022-11-01-2528','S106-8','cnllPPo', 'SU')
('SL12058-2022-11-01-2510','S105-14','MyNnqCPVEhVGNhjG', 'UB')
('SL12058-2022-11-01-2511','S105-15','cF', 'SL')
('SL04652-2022-11-01-2530','S106-10','EwpeFbp', 'MB')
('SL04652-2022-11-02-2574','S108-6','YXGqWpBa', 'UB')
('AC12058-2022-11-01-2550','A142-12','ZigWsA', 'SU')
('SL04652-2022-11-01-2533','S106-13','MGJQ', 'MB')
('SL04652-2022-11-02-2576','S108-8','U', 'SU')
('SL22517-2022-11-02-2522','S106-2','VQCuliFlKw', 'MB')
('AC04652-2022-11-02-2564','A143-8','BRlAV', 'LB')
('SL22517-2022-11-02-2523','S106-3','vK', 'UB')
('AC12058-2022-11-01-2554','A142-16','eDXiEftawDwCH', 'UB')
('SL12058-2022-11-01-2568','S107-24','ZvPV', 'SU')
('AC12058-2022-11-01-2582','A144-8','YOyZa', 'LB')
('SL04652-2022-11-02-2620','S110-4','QuCCtdAfcA', 'LB')
('SL22517-2022-11-02-2569','S108-1','WPuAebgjemuzxR', 'LB')
('AC22517-2022-11-02-2597','A145-5','jOTcCbaahn', 'SL')
('AC04652-2022-11-01-2715','A151-15','nKAOhBgH', 'UB')
('AC22517-2022-11-01-2662','A148-16','gFKvpNs', 'UB')
('SL22517-2022-11-01-2628','S110-12','nXOQPljODBOL', 'LB')
('AC12058-2022-11-01-2603','A145-11','RbgVImC', 'SL')
('AC04652-2022-11-02-2623','A146-13','zOAyRu', 'LB')
('SL12058-2022-11-01-2611','S109-19','FbchY', 'UB')
('SL12058-2022-11-01-2618','S110-2','vyHKrPiEPOTLDq', 'MB')
('SL22517-2022-11-02-2610','S109-18','sLAXFbTgKJZGxvcU', 'MB')
('SL22517-2022-11-02-2611','S109-19','PTsxuuOvJz', 'UB')
('AC04652-2022-11-02-2666','A149-2','K', 'LB')
('AC04652-2022-11-01-2766','A154-12','yK', 'SU')
('AC22517-2022-11-01-2717','A151-17','QXQHXeM', 'SL')
('AC04652-2022-11-01-2770','A154-16','NTfMARjV', 'UB')
('AC22517-2022-11-01-2720','A152-2','IDWvCQ', 'LB')
('AC04652-2022-11-02-2671','A149-7','JgeC', 'LB')
('SL04652-2022-11-01-2646','S111-6','Xs', 'UB')
('SL04652-2022-11-02-2685','S112-21','MClSbpAQVwkQHX', 'MB')
('SL22517-2022-11-01-2691','S113-3','RpW', 'UB')
('AC22517-2022-11-01-2737','A153-1','UsjLRAAKztIC', 'LB')
('SL12058-2022-11-01-2646','S111-6','DMfGf', 'UB')
('SL22517-2022-11-02-2645','S111-5','jgC', 'MB')
('AC04652-2022-11-02-2686','A150-4','lLxTu', 'UB')
('SL22517-2022-11-01-2712','S113-24','KGrKuFGPML', 'SU')
('AC22517-2022-11-02-2688','A150-6','NmvwxJRuMQk', 'SU')
('SL04652-2022-11-02-2699','S113-11','dG', 'UB')
('SL22517-2022-11-01-2715','S114-3','FK', 'UB')
('AC22517-2022-11-01-2746','A153-10','G', 'UB')
('AC04652-2022-11-01-2796','A156-6','OJFbzThohUtgE', 'SU')
('SL04652-2022-11-01-2670','S112-6','NNMsZi', 'UB')
('AC22517-2022-11-01-2749','A153-13','cRMvzjq', 'LB')
('AC22517-2022-11-01-2754','A153-18','vsGeLTdWXVjHrifF', 'SU')
('SL04652-2022-11-02-2708','S113-20','cOBDQ', 'LB')
('SL22517-2022-11-01-2725','S114-13','YgcTgoXFHg', 'MB')
('SL04652-2022-11-01-2681','S112-17','O', 'LB')
('AC04652-2022-11-01-2817','A157-9','y', 'UB')
('AC22517-2022-11-02-2712','A151-12','YRYWpFfAYeFtFtrZ', 'SU')
('SL04652-2022-11-02-2727','S114-15','EMdRzwW', 'SL')
('SL04652-2022-11-02-2733','S114-21','ErnGySRtp', 'MB')
('AC22517-2022-11-01-2781','A155-9','UqtMQ', 'UB')
('SL04652-2022-11-01-2703','S113-15','Sw', 'SL')
('AC04652-2022-11-01-2825','A157-17','bBVpRBNFf', 'SL')
('AC22517-2022-11-02-2754','A153-18','zScNeFLhtknCVX', 'SU')
('AC04652-2022-11-02-2765','A154-11','xJHHbU', 'SL')
('AC22517-2022-11-01-2835','A158-9','pJ', 'UB')
('SL04652-2022-11-01-2747','S115-11','OM', 'UB')
('AC22517-2022-11-02-2764','A154-10','UfErbTYPPCzKtLY', 'UB')
('SL04652-2022-11-01-2749','S115-13','CDYfYDzNw', 'MB')
('SL12058-2022-11-01-2711','S113-23','yMTD', 'SL')
('SL12058-2022-11-01-2712','S113-24','dBmTf', 'SU')
('AC22517-2022-11-01-2842','A158-16','nFkVZqj', 'UB')
('AC22517-2022-11-01-2843','A158-17','eRek', 'SL')
('SL04652-2022-11-01-2753','S115-17','crAMpPe', 'LB')
('AC04652-2022-11-02-2780','A155-8','zDdzv', 'LB')
('SL22517-2022-11-01-2802','S117-18','V', 'MB')
('AC04652-2022-11-02-2782','A155-10','z', 'UB')
('SL04652-2022-11-02-2805','S117-21','udedcJO', 'MB')
('SL22517-2022-11-02-2737','S115-1','oCg', 'LB')
('AC22517-2022-11-02-2783','A155-11','zLOdsXruUN', 'SL')
('SL12058-2022-11-01-2724','S114-12','IpPVh', 'LB')
('AC04652-2022-11-02-2791','A156-1','DqmVyK', 'LB')
('SL22517-2022-11-01-2808','S117-24','zjcKo', 'SU')
('SL04652-2022-11-01-2776','S116-16','ooWBbpCXmZwNFk', 'SU')
('AC04652-2022-11-01-2918','A163-2','NEl', 'LB')
('AC22517-2022-11-02-2815','A157-7','fFhO', 'LB')
('AC04652-2022-11-02-2807','A156-17','oZwNLFqit', 'SL')
('SL22517-2022-11-02-2767','S116-7','X', 'SL')
('SL22517-2022-11-01-2835','S119-3','GJjknQY', 'UB')
('AC12058-2022-11-01-2769','A154-15','ypbWjD', 'UB')
('SL12058-2022-11-01-2746','S115-10','CaK', 'MB')
('AC12058-2022-11-01-2772','A154-18','MRexyCGFMpqykWN', 'SU')
('SL12058-2022-11-01-2747','S115-11','bZeUgDPRtiByLW', 'UB')
('AC22517-2022-11-01-2887','A161-7','P', 'LB')
('SL12058-2022-11-01-2749','S115-13','IAaUR', 'MB')
('SL22517-2022-11-01-2842','S119-10','I', 'MB')
('AC04652-2022-11-02-2814','A157-6','JuODLOHreBEGcZn', 'SU')
('AC12058-2022-11-01-2781','A155-9','GQAD', 'UB')
('AC12058-2022-11-01-2782','A155-10','DyfYuYsj', 'UB')
('AC04652-2022-11-01-2939','A164-5','YBf', 'SL')
('SL12058-2022-11-01-2756','S115-20','EpNPzaQc', 'LB')
('SL12058-2022-11-01-2757','S115-21','wzLGBzrkJQ', 'MB')
('AC22517-2022-11-01-2902','A162-4','P', 'UB')
('AC04652-2022-11-02-2829','A158-3','XjPS', 'UB')
('AC04652-2022-11-01-2945','A164-11','lW', 'SL')
('SL04652-2022-11-01-2823','S118-15','hjnPovO', 'SL')
('SL12058-2022-11-01-2763','S116-3','ZtwQRuLs', 'UB')
('SL04652-2022-11-01-2832','S118-24','LgJQABV', 'SU')
('SL04652-2022-11-02-2865','S120-9','IKLGKGqpfq', 'LB')
('SL22517-2022-11-02-2803','S117-19','oWv', 'UB')
('SL22517-2022-11-02-2804','S117-20','Z', 'LB')
('SL22517-2022-11-01-2868','S120-12','HUlUB', 'LB')
('AC22517-2022-11-01-2919','A163-3','wTsrEKOc', 'UB')
('SL22517-2022-11-01-2869','S120-13','wQh', 'MB')
('SL12058-2022-11-01-2775','S116-15','jsuQbAE', 'SL')
('AC22517-2022-11-02-2859','A159-15','EabMjdyIyFm', 'UB')
('AC04652-2022-11-01-2967','A165-15','AYEFoiLGZweevp', 'UB')
('AC12058-2022-11-01-2820','A157-12','lfVazINfxxpFRp', 'SU')
('SL22517-2022-11-02-2814','S118-6','cm', 'UB')
('SL04652-2022-11-01-2848','S119-16','nTM', 'SU')
('AC22517-2022-11-01-2928','A163-12','Hpv', 'SU')
('AC04652-2022-11-02-2848','A159-4','la', 'UB')
('SL22517-2022-11-02-2821','S118-13','bNJeAqZyOmDA', 'MB')
('SL04652-2022-11-01-2851','S119-19','krrDIWvOafJ', 'UB')
('SL04652-2022-11-02-2884','S121-4','Ijxpdor', 'LB')
('AC04652-2022-11-01-2978','A166-8','OIJijNHqmKZGXHA', 'LB')
('SL22517-2022-11-02-2825','S118-17','CkiVerjFaNP', 'LB')
('SL12058-2022-11-01-2784','S116-24','buVZX', 'SU')
('AC04652-2022-11-01-2981','A166-11','nhLTACfbNP', 'SL')
('SL22517-2022-11-01-2877','S120-21','TZxOuDbZYLked', 'MB')
('AC12058-2022-11-01-2830','A158-4','UYgQhnIji', 'UB')
('AC12058-2022-11-01-2831','A158-5','JbNCpKwsXEkGCLIr', 'SL')
('SL04652-2022-11-02-2891','S121-11','XXAIT', 'UB')
('SL04652-2022-11-02-2897','S121-17','TtCRKjlPViDiDRQ', 'LB')
('SL22517-2022-11-02-2834','S119-2','r', 'MB')
('SL04652-2022-11-02-2898','S121-18','juPxdrJENoyb', 'MB')
('AC22517-2022-11-02-2877','A160-15','VAu', 'UB')
('SL22517-2022-11-01-2880','S120-24','fqKNOrzRyOEyLe', 'SU')
('AC04652-2022-11-01-2986','A166-16','csNMBgCzlr', 'UB')
('SL04652-2022-11-02-2965','S124-13','wgKFi', 'MB')
('AC22517-2022-11-02-2932','A163-16','hFMUb', 'UB')
('AC22517-2022-11-02-2933','A163-17','pCrjfwPM', 'SL')
('AC22517-2022-11-02-2934','A163-18','xkLWUkVkWsrmPBZ', 'SU')
('SL22517-2022-11-02-2901','S121-21','XABcdbqpUKGhi', 'MB')
('SL04652-2022-11-01-2925','S122-21','IeZKMZYXdeEaKno', 'MB')
('AC04652-2022-11-01-3052','A170-10','csNVwbyxuVkx', 'UB')
('AC04652-2022-11-02-2920','A163-4','mkkXcDAweVOHEx', 'UB')
('SL04652-2022-11-02-2979','S125-3','GnklyqGnB', 'UB')
('SL04652-2022-11-01-2963','S124-11','UCyjhaulMNvOZaQE', 'UB')
('AC22517-2022-11-01-3022','A168-16','nYcIBKbfUd', 'UB')
('AC04652-2022-11-01-3083','A172-5','JMLAhW', 'SL')
('AC22517-2022-11-01-3026','A169-2','QXIqMehNqLCtW', 'LB')
('AC22517-2022-11-01-3027','A169-3','ywhrFJPQD', 'UB')
('SL22517-2022-11-01-2966','S124-14','lNOFqdWW', 'UB')
('SL12058-2022-11-01-2895','S121-15','tQHKKPwq', 'SL')
('SL12058-2022-11-01-2896','S121-16','mvKVDAqbKea', 'SU')
('AC22517-2022-11-02-2968','A165-16','zwzRpwU', 'UB')
('SL04652-2022-11-02-3014','S126-14','qpdsZdaKHxJIwzr', 'UB')
('AC12058-2022-11-01-2925','A163-9','SPDsZevUs', 'UB')
('SL12058-2022-11-01-2899','S121-19','kZggUkqWOIAp', 'UB')
('SL04652-2022-11-02-3018','S126-18','FEJvJXooT', 'MB')
('SL04652-2022-11-01-2976','S124-24','Zq', 'SU')
('AC22517-2022-11-01-3042','A169-18','OtZSWuTfdFpWDw', 'SU')
('AC04652-2022-11-02-2967','A165-15','sLBuQG', 'UB')
('AC22517-2022-11-01-3050','A170-8','ZtZyDWYt', 'LB')
('SL12058-2022-11-01-2911','S122-7','wNrzGydCFuF', 'SL')
('AC04652-2022-11-02-2976','A166-6','xrmkAXn', 'SU')
('AC04652-2022-11-01-3108','A173-12','BsrOvturbLvVGN', 'SU')
('SL04652-2022-11-01-3002','S126-2','gfYCOfKGfA', 'MB')
('SL22517-2022-11-01-3044','S127-20','rrQPBb', 'LB')
('SL12058-2022-11-01-2977','S125-1','AFSKtsGU', 'LB')
('AC04652-2022-11-02-3039','A169-15','pku', 'UB')
('AC12058-2022-11-01-2989','A167-1','tsYQnmTT', 'LB')
('SL04652-2022-11-02-3095','S129-23','AfOXndHLZTRLG', 'SL')
('SL22517-2022-11-01-3052','S128-4','PFcd', 'LB')
('SL22517-2022-11-01-3053','S128-5','FgwKPvMZYmCTFZAh', 'MB')
('AC04652-2022-11-02-3049','A170-7','Pb', 'LB')
('SL22517-2022-11-01-3075','S129-3','FtFlr', 'UB')
('AC04652-2022-11-01-3190','A178-4','Qyq', 'UB')
('SL12058-2022-11-01-2998','S125-22','sNtdHfxBnV', 'UB')
('SL04652-2022-11-01-3083','S129-11','uUHlefiGTtoEAU', 'UB')
('AC04652-2022-11-02-3085','A172-7','yctVaVhPA', 'LB')
('AC04652-2022-11-02-3141','A175-9','dbQfKFxnfUVasm', 'UB')
('SL12058-2022-11-01-3063','S128-15','JmjBpkhVCY', 'SL')
('AC22517-2022-11-01-3187','A178-1','Kp', 'LB')
('AC22517-2022-11-02-3144','A175-12','vqqcZw', 'SU')
('AC12058-2022-11-01-3075','A171-15','mIVt', 'UB')
('SL22517-2022-11-01-3131','S131-11','WRsjswC', 'UB')
('AC22517-2022-11-01-3192','A178-6','ATqcUycpgKGdofW', 'SU')
('SL04652-2022-11-02-3199','S134-7','aeRJUd', 'SL')
('SL22517-2022-11-02-3107','S130-11','FtZoPSlj', 'UB')
('AC12058-2022-11-01-3094','A172-16','JkIRB', 'UB')
('SL12058-2022-11-01-3080','S129-8','edXiIvovzvjKQ', 'SU')
('AC22517-2022-11-02-3166','A176-16','TPM', 'UB')
('AC12058-2022-11-01-3109','A173-13','uTAM', 'LB')
('SL22517-2022-11-02-3125','S131-5','dXCAKwOhO', 'MB')
('AC22517-2022-11-01-3208','A179-4','CXHoCY', 'UB')
('SL04652-2022-11-01-3171','S133-3','WRxQR', 'UB')
('SL22517-2022-11-02-3127','S131-7','liXKcuDanj', 'SL')
('AC22517-2022-11-01-3211','A179-7','hZtZOqK', 'LB')
('SL22517-2022-11-02-3131','S131-11','OfAxMi', 'UB')
('SL22517-2022-11-02-3132','S131-12','D', 'LB')
('SL04652-2022-11-01-3176','S133-8','oynKK', 'SU')
('SL22517-2022-11-02-3135','S131-15','UoNJRJCnEjUzFTZv', 'SL')
('AC12058-2022-11-01-3119','A174-5','xeetQtYI', 'SL')
('SL04652-2022-11-02-3233','S135-17','e', 'LB')
('AC22517-2022-11-02-3175','A177-7','qWQpovKvFqJWmxWV', 'LB')
('AC04652-2022-11-02-3177','A177-9','ewMCIyd', 'UB')
('SL04652-2022-11-01-3177','S133-9','YJfXp', 'LB')
('AC12058-2022-11-01-3122','A174-8','CtzDBHfTz', 'LB')
('AC22517-2022-11-01-3224','A180-2','n', 'LB')
('AC22517-2022-11-02-3177','A177-9','AueqFQry', 'UB')
('SL22517-2022-11-02-3141','S131-21','FXJadNN', 'MB')
('SL22517-2022-11-02-3145','S132-1','gFmniDkYhe', 'LB')
('SL22517-2022-11-02-3146','S132-2','OrYZFplbkrTrnhjg', 'MB')
('SL12058-2022-11-01-3124','S131-4','VOTGXxck', 'LB')
('AC12058-2022-11-01-3149','A175-17','gfx', 'SL')
('AC22517-2022-11-02-3201','A178-15','VLiL', 'UB')
('AC12058-2022-11-01-3150','A175-18','wSGJEfomSVb', 'SU')
('SL04652-2022-11-02-3260','S136-20','pgcpeh', 'LB')
('SL22517-2022-11-01-3179','S133-11','KapogheuprcO', 'UB')
('SL22517-2022-11-01-3180','S133-12','JxmieqYnxunHebUi', 'LB')
('AC04652-2022-11-01-3329','A185-17','PWOQauLvYEWKyWGX', 'SL')
('SL12058-2022-11-01-3135','S131-15','iaQOHoxDB', 'SL')
('AC04652-2022-11-02-3204','A178-18','tAVbgM', 'SU')
('AC12058-2022-11-01-3160','A176-10','kujYqlCFE', 'UB')
('AC04652-2022-11-02-3207','A179-3','cyOTD', 'UB')
('SL22517-2022-11-01-3197','S134-5','vgjwlRwtUvvxw', 'MB')
('AC12058-2022-11-01-3197','A178-11','OWMySlvixyFSI', 'SL')
('AC04652-2022-11-01-3363','A187-15','ehbXedZxZjiW', 'UB')
('AC04652-2022-11-01-3364','A187-16','e', 'UB')
('AC04652-2022-11-01-3367','A188-1','wDxmipxMpobN', 'LB')
('SL04652-2022-11-01-3265','S137-1','SRs', 'LB')
('AC22517-2022-11-01-3368','A188-2','oYoDDb', 'LB')
('SL12058-2022-11-01-3239','S135-23','tQbE', 'SL')
('SL04652-2022-11-02-3363','S141-3','xvOmhTj', 'UB')
