('SL22517-2022-11-02-4','S1-4','UAqhzrzGlBLqSGP', 'LB')
('AC04652-2022-11-01-1518','A85-6','atvYhT', 'SU')
('SL22517-2022-11-01-1518','S64-6','fcf', 'UB')
('AC22517-2022-11-02-1501','A84-7','TlS', 'LB')
('SL12058-2022-11-01-1469','S62-5','LnFgflRErRMd', 'MB')
('AC22517-2022-11-01-1498','A84-4','pzBzieKFQvO', 'UB')
('AC04652-2022-11-01-1531','A86-1','gpVxozbxgxgu', 'LB')
('SL22517-2022-11-02-1508','S63-20','AoBiIUfhyZc', 'LB')
('AC12058-2022-11-01-1490','A83-14','rsVZNwTxvV', 'LB')
('AC04652-2022-11-02-1537','A86-7','KHrqXQxVXXCRZW', 'LB')
('AC04652-2022-11-01-1534','A86-4','yhPEtI', 'UB')
('SL04652-2022-11-02-1519','S64-7','aGWbxJv', 'SL')
('AC22517-2022-11-01-1510','A84-16','UegrA', 'UB')
('AC12058-2022-11-01-1493','A83-17','mRbpr', 'SL')
('AC04652-2022-11-02-1542','A86-12','YJFKtNREUwdtiwoS', 'SU')
('AC04652-2022-11-02-1543','A86-13','LhgDf', 'LB')
('AC04652-2022-11-02-1546','A86-16','yHiFUFXzbo', 'UB')
('AC12058-2022-11-01-1496','A84-2','xeaVggbq', 'LB')
('SL04652-2022-11-01-1518','S64-6','iP', 'UB')
('SL22517-2022-11-01-1537','S65-1','jDaWTZXzFJgajEFN', 'LB')
('SL12058-2022-11-01-1481','S62-17','vNQHSHiFihbMyVwK', 'LB')
('AC04652-2022-11-01-1551','A87-3','iEIBLkuOt', 'UB')
('SL12058-2022-11-01-1488','S62-24','z', 'SU')
('SL22517-2022-11-01-1544','S65-8','RNlhmPWJBhTz', 'SU')
('AC22517-2022-11-02-1529','A85-17','IfD', 'SL')
('SL04652-2022-11-02-1529','S64-17','NthLVjFsE', 'LB')
('SL12058-2022-11-01-1492','S63-4','xlZlHHQadytSHT', 'LB')
('AC22517-2022-11-02-1534','A86-4','QrrOwwPLEIVWgvFt', 'UB')
('SL22517-2022-11-01-1546','S65-10','HfQHGYXmwTNK', 'MB')
('SL12058-2022-11-01-1495','S63-7','fIjxRwz', 'SL')
('SL04652-2022-11-01-1528','S64-16','GyaWkuS', 'SU')
('AC22517-2022-11-02-1538','A86-8','uRvkpyedtffNnnJ', 'LB')
('AC12058-2022-11-01-1519','A85-7','dRNcCqgpIiAfNm', 'LB')
('AC04652-2022-11-02-1559','A87-11','HhijAbqDfpZEygp', 'SL')
('SL04652-2022-11-01-1532','S64-20','zYGgXA', 'LB')
('AC04652-2022-11-01-1564','A87-16','KODrJqqFrCQc', 'UB')
('AC04652-2022-11-01-1565','A87-17','bKSISDozBzL', 'SL')
('SL22517-2022-11-01-1554','S65-18','VIBzQy', 'MB')
('AC04652-2022-11-02-1560','A87-12','ase', 'SU')
('SL04652-2022-11-02-1539','S65-3','QxtaYaLe', 'UB')
('SL12058-2022-11-01-1506','S63-18','piMjdLLTtmdfD', 'MB')
('AC04652-2022-11-01-1569','A88-3','mNVu', 'UB')
('AC04652-2022-11-02-1562','A87-14','EtLxecWLPzviks', 'LB')
('AC04652-2022-11-01-1572','A88-6','tEORBCeCn', 'SU')
('SL04652-2022-11-02-1542','S65-6','VFnep', 'UB')
('SL12058-2022-11-01-1514','S64-2','FaZYcGatV', 'MB')
('SL22517-2022-11-01-1562','S66-2','dQOfgbCCOa', 'MB')
('AC04652-2022-11-01-1576','A88-10','gwtnLavCdgsHqV', 'UB')
('AC04652-2022-11-01-1577','A88-11','XnH', 'SL')
('AC22517-2022-11-01-1550','A87-2','ClxqYAafXTldEpD', 'LB')
('SL12058-2022-11-01-1524','S64-12','qyZsccdli', 'LB')
('SL22517-2022-11-01-1567','S66-7','jbNvkRAGGKb', 'SL')
('AC22517-2022-11-02-1616','A90-14','QHPTQEmx', 'LB')
('AC22517-2022-11-02-1622','A91-2','SyCVSkKrS', 'LB')
('AC04652-2022-11-01-1660','A93-4','HIRXAMXqwheHWiCE', 'UB')
('AC22517-2022-11-01-1635','A91-15','uVpu', 'UB')
('SL22517-2022-11-02-1616','S68-8','hnuuuHmjtihbTDSQ', 'SU')
('SL04652-2022-11-02-1624','S68-16','sqhjFM', 'SU')
('AC22517-2022-11-02-1632','A91-12','YBirsTa', 'SU')
('SL22517-2022-11-02-1620','S68-12','qLzWK', 'LB')
('SL04652-2022-11-01-1624','S68-16','nc', 'SU')
('AC22517-2022-11-01-1643','A92-5','LJNfkLnAJktrd', 'SL')
('AC04652-2022-11-02-1651','A92-13','Tjk', 'LB')
('SL04652-2022-11-01-1633','S69-1','MrjiIutogIxa', 'LB')
('SL12058-2022-11-01-1596','S67-12','LBNP', 'LB')
('AC22517-2022-11-02-1635','A91-15','Q', 'UB')
('AC04652-2022-11-02-1653','A92-15','wAlV', 'UB')
('SL04652-2022-11-01-1635','S69-3','CFyjFVgBP', 'UB')
('SL04652-2022-11-01-1637','S69-5','NPgqBLI', 'MB')
('SL04652-2022-11-02-1637','S69-5','dqdrU', 'MB')
('AC04652-2022-11-02-1659','A93-3','F', 'UB')
('AC22517-2022-11-01-1657','A93-1','sHRdWy', 'LB')
('SL04652-2022-11-01-1640','S69-8','kOvvUYHQz', 'SU')
('AC12058-2022-11-01-1629','A91-9','ryVgfMJqcPfvr', 'UB')
('SL04652-2022-11-01-1648','S69-16','VBBzlkUDrPmPTs', 'SU')
('AC04652-2022-11-01-1691','A94-17','yaajDnpbFLMFXJ', 'SL')
('AC22517-2022-11-02-1646','A92-8','PncyhPzhLdAbVk', 'LB')
('SL04652-2022-11-01-1650','S69-18','jiYGgpW', 'MB')
('AC22517-2022-11-01-1665','A93-9','FR', 'UB')
('AC04652-2022-11-01-1699','A95-7','xMoEgOtYYz', 'LB')
('AC22517-2022-11-02-1653','A92-15','eHGnHDLZEE', 'UB')
('SL22517-2022-11-01-1664','S70-8','O', 'SU')
('SL04652-2022-11-02-1656','S69-24','QvLnetOUAWNPksR', 'SU')
('AC22517-2022-11-02-1655','A92-17','rhBYePuFHUJbjSyV', 'SL')
('SL22517-2022-11-02-1646','S69-14','WImOqNpwSQjDzwI', 'UB')
('AC22517-2022-11-02-1659','A93-3','miRPbXROahljlCo', 'UB')
('SL12058-2022-11-01-1625','S68-17','VYkdkfSej', 'LB')
('SL22517-2022-11-01-1667','S70-11','Ee', 'UB')
('SL12058-2022-11-01-1626','S68-18','o', 'MB')
('SL22517-2022-11-01-1672','S70-16','GLXKViVUx', 'SU')
('SL12058-2022-11-01-1627','S68-19','wUAEPGkzhLtPCeF', 'UB')
('AC12058-2022-11-01-1645','A92-7','xGUUeiXVqRUhcS', 'LB')
('AC22517-2022-11-01-1697','A95-5','OZkWMTbtCwTvRwm', 'SL')
('SL04652-2022-11-02-1677','S70-21','vPvP', 'MB')
('SL04652-2022-11-02-1678','S70-22','In', 'UB')
('SL04652-2022-11-02-1679','S70-23','DgihXLHHiz', 'SL')
('AC22517-2022-11-01-1701','A95-9','JxErgWmNxi', 'UB')
('AC04652-2022-11-01-1733','A97-5','fuGzkV', 'SL')
('SL04652-2022-11-02-1682','S71-2','ugFMS', 'MB')
('AC12058-2022-11-01-1662','A93-6','BYFw', 'SU')
('AC12058-2022-11-01-1663','A93-7','aXLUFNXiRyyp', 'LB')
('AC22517-2022-11-01-1711','A96-1','DaOLDVymoVh', 'LB')
('AC22517-2022-11-01-1715','A96-5','qYxrYAnkfqhao', 'SL')
('SL04652-2022-11-02-1696','S71-16','VY', 'SU')
('AC04652-2022-11-02-1708','A95-16','LrYHR', 'UB')
('SL04652-2022-11-01-1685','S71-5','ScAWZMv', 'MB')
('SL04652-2022-11-01-1686','S71-6','WOgJclccJY', 'UB')
('SL22517-2022-11-02-1684','S71-4','lZQkxqOwVRoYKawX', 'LB')
('AC04652-2022-11-01-1762','A98-16','qazCPrgIC', 'UB')
('SL12058-2022-11-01-1673','S70-17','J', 'LB')
('SL12058-2022-11-01-1675','S70-19','sKIqDEQZIfsbt', 'UB')
('AC22517-2022-11-01-1739','A97-11','KBXVYusIZfHQCv', 'SL')
('AC04652-2022-11-01-1769','A99-5','KLtwt', 'SL')
('AC04652-2022-11-02-1727','A96-17','vTWEp', 'SL')
('SL04652-2022-11-02-1725','S72-21','qwpUnAFn', 'MB')
('SL04652-2022-11-01-1703','S71-23','pAsbAxZAByslwUQf', 'SL')
('AC12058-2022-11-01-1692','A94-18','KrXJqd', 'SU')
('SL04652-2022-11-01-1705','S72-1','dqJUfrUmYpJ', 'LB')
('AC12058-2022-11-01-1695','A95-3','QbtVr', 'UB')
('AC12058-2022-11-01-1702','A95-10','cF', 'UB')
('AC04652-2022-11-01-1782','A99-18','isAsXtnrgalxMOoq', 'SU')
('SL22517-2022-11-01-1734','S73-6','uuAWFoCHrHvMnM', 'UB')
('AC04652-2022-11-02-1750','A98-4','iLhXCLqeFOoR', 'UB')
('AC04652-2022-11-02-1753','A98-7','MhyTpCgKhNLdq', 'LB')
('AC22517-2022-11-01-1775','A99-11','riccaYMsDqsw', 'SL')
('AC22517-2022-11-02-1732','A97-4','smYkjhdiuSWTkLDw', 'UB')
('AC22517-2022-11-02-1734','A97-6','EuSTvyhSReCogcf', 'SU')
('SL04652-2022-11-01-1731','S73-3','LcIjyV', 'UB')
('AC04652-2022-11-02-1755','A98-9','TAavIIbHT', 'UB')
('AC04652-2022-11-02-1756','A98-10','lBucfeqndxmsNB', 'UB')
('SL04652-2022-11-01-1734','S73-6','Mmar', 'UB')
('AC12058-2022-11-01-1720','A96-10','Sagh', 'UB')
('SL04652-2022-11-01-1778','S75-2','gSGdIPmN', 'MB')
('SL22517-2022-11-01-1793','S75-17','YDMBjce', 'LB')
('SL04652-2022-11-01-1779','S75-3','JCzSjDOobtDjkU', 'UB')
('AC04652-2022-11-01-1844','A103-8','UUVdqjIo', 'LB')
('SL12058-2022-11-01-1741','S73-13','BQbBZXOPyy', 'MB')
('AC12058-2022-11-01-1762','A98-16','eZlClMDQwENQZ', 'UB')
('SL04652-2022-11-01-1784','S75-8','nPIvuEUyiXU', 'SU')
('AC04652-2022-11-02-1854','A103-18','WVOmyKoGR', 'SU')
('AC04652-2022-11-02-1855','A104-1','Grdhz', 'LB')
('AC22517-2022-11-01-1880','A105-8','nDv', 'LB')
('AC04652-2022-11-01-1923','A107-15','HxGBAoBqQgOdqMl', 'UB')
('SL22517-2022-11-02-1872','S78-24','uTFWTNYiESAl', 'SU')
('SL04652-2022-11-01-1937','S81-17','ognXVuKKu', 'LB')
('AC04652-2022-11-01-2024','A113-8','Eo', 'LB')
('SL22517-2022-11-02-1936','S81-16','tZmfncoVzSOhRz', 'SU')
('AC22517-2022-11-01-1987','A111-7','k', 'LB')
('AC22517-2022-11-01-1988','A111-8','Grz', 'LB')
('AC22517-2022-11-02-1931','A108-5','aXPm', 'SL')
('AC22517-2022-11-02-1932','A108-6','iwDjlT', 'SU')
('AC12058-2022-11-01-1925','A107-17','iPvDsZM', 'SL')
('AC22517-2022-11-01-1992','A111-12','LBr', 'SU')
('AC12058-2022-11-01-1926','A107-18','UIKmSJiOvIeTc', 'SU')
('AC22517-2022-11-02-1940','A108-14','FKAqjdCNrkVmU', 'LB')
('AC04652-2022-11-02-1965','A110-3','YQAnILvYZj', 'UB')
('AC12058-2022-11-01-1937','A108-11','VdlUBRtKRlorxL', 'SL')
('SL22517-2022-11-02-1951','S82-7','jSwba', 'SL')
('AC04652-2022-11-01-2073','A116-3','ISdqQvgWBNDi', 'UB')
('AC04652-2022-11-01-2074','A116-4','eMJHtHqs', 'UB')
('AC04652-2022-11-02-1994','A111-14','r', 'LB')
('SL04652-2022-11-02-2011','S84-19','bjovbfFejahj', 'UB')
('SL04652-2022-11-01-1988','S83-20','dpyVlrmZOp', 'LB')
('SL22517-2022-11-01-2014','S84-22','XjuqCPquRAB', 'UB')
('SL04652-2022-11-01-1990','S83-22','s', 'UB')
('AC12058-2022-11-01-1996','A111-16','xEayan', 'UB')
('AC04652-2022-11-01-2086','A116-16','olj', 'UB')
('AC12058-2022-11-01-1999','A112-1','ZrscknBfMlANpkN', 'LB')
('SL12058-2022-11-01-1991','S83-23','vLUHnRdvBEocSy', 'SL')
('SL04652-2022-11-01-2003','S84-11','dshUXQhkKgLpong', 'UB')
('SL22517-2022-11-01-2030','S85-14','UABbxTc', 'UB')
('SL12058-2022-11-01-1999','S84-7','jZdcuzdvVjNxMY', 'SL')
('SL12058-2022-11-01-2000','S84-8','TRQ', 'SU')
('SL22517-2022-11-01-2034','S85-18','qtJH', 'MB')
('AC22517-2022-11-01-2054','A115-2','HnjcRGSuDPWgjk', 'LB')
('SL22517-2022-11-01-2036','S85-20','cVOd', 'LB')
('AC22517-2022-11-02-2007','A112-9','iKIEJ', 'UB')
('SL04652-2022-11-01-2009','S84-17','DQnrALLmtIh', 'LB')
('SL12058-2022-11-01-2005','S84-13','MTZDQzKwEVvGBg', 'MB')
('SL04652-2022-11-02-2040','S85-24','ppFgYIEn', 'SU')
('SL22517-2022-11-02-2007','S84-15','a', 'SL')
('SL04652-2022-11-01-2013','S84-21','jyT', 'MB')
('AC22517-2022-11-01-2061','A115-9','ZlFruEAqK', 'UB')
('SL22517-2022-11-02-2033','S85-17','rpobXJKfcJWpu', 'LB')
('SL12058-2022-11-01-2027','S85-11','vduHeLcSeRax', 'UB')
('AC04652-2022-11-01-2123','A118-17','yFaFd', 'SL')
('SL22517-2022-11-02-2036','S85-20','YVKNjzcSZzvq', 'LB')
('SL22517-2022-11-02-2044','S86-4','qCWlEs', 'LB')
('AC22517-2022-11-01-2093','A117-5','exH', 'SL')
('SL04652-2022-11-01-2051','S86-11','kuCXZsEGSXihk', 'UB')
('SL04652-2022-11-02-2084','S87-20','GD', 'LB')
('AC04652-2022-11-02-2065','A115-13','oChqIOWktNAKKOiB', 'LB')
('SL22517-2022-11-01-2088','S87-24','xTgOVRDuUNHMlE', 'SU')
('SL22517-2022-11-02-2067','S87-3','B', 'UB')
('AC04652-2022-11-01-2198','A123-2','zCsnQ', 'LB')
('SL22517-2022-11-01-2128','S89-16','IkjCaxUNQupWkpAb', 'SU')
('AC12058-2022-11-01-2104','A117-16','aIZuE', 'UB')
('SL04652-2022-11-01-2095','S88-7','By', 'SL')
('AC12058-2022-11-01-2105','A117-17','rcLWdDplPIa', 'SL')
('SL22517-2022-11-01-2130','S89-18','RnCpLpCXnI', 'MB')
('AC04652-2022-11-02-2107','A118-1','cR', 'LB')
('AC22517-2022-11-02-2107','A118-1','lqH', 'LB')
('SL04652-2022-11-01-2098','S88-10','O', 'MB')
('SL22517-2022-11-01-2140','S90-4','bybkShSpm', 'LB')
('AC22517-2022-11-02-2116','A118-10','e', 'UB')
('SL04652-2022-11-01-2107','S88-19','SWKgShalE', 'UB')
('AC22517-2022-11-02-2122','A118-16','ccH', 'UB')
('AC04652-2022-11-02-2125','A119-1','obZtrdImPMULI', 'LB')
('AC04652-2022-11-02-2126','A119-2','zeSPya', 'LB')
('SL04652-2022-11-01-2115','S89-3','ixHEPgSbMMR', 'UB')
('SL04652-2022-11-02-2150','S90-14','YjjKLk', 'UB')
('AC04652-2022-11-02-2129','A119-5','Lq', 'SL')
('AC04652-2022-11-01-2222','A124-8','IFzwgticlSIxKag', 'LB')
('AC12058-2022-11-01-2131','A119-7','cv', 'LB')
('AC04652-2022-11-01-2224','A124-10','iwpUiPRp', 'UB')
('AC04652-2022-11-01-2225','A124-11','aAVLihkLiAQRGaMV', 'SL')
('SL22517-2022-11-01-2162','S91-2','VItbsidiJzo', 'MB')
('SL04652-2022-11-02-2161','S91-1','JfwRhfEZMLYtih', 'LB')
('SL04652-2022-11-01-2122','S89-10','araPrxOKW', 'MB')
('AC12058-2022-11-01-2139','A119-15','hisIMVh', 'UB')
('SL04652-2022-11-01-2125','S89-13','LwxEnaCmFo', 'MB')
('AC12058-2022-11-01-2141','A119-17','cSDqnEsXctRqmqra', 'SL')
('SL04652-2022-11-02-2164','S91-4','IZjjBahWsWb', 'LB')
('AC22517-2022-11-02-2136','A119-12','BXdZQWvNWlEInU', 'SU')
('AC12058-2022-11-01-2143','A120-1','GKwPhiyu', 'LB')
('SL04652-2022-11-02-2167','S91-7','fnLNsy', 'SL')
('AC12058-2022-11-01-2144','A120-2','ujHXO', 'LB')
('AC04652-2022-11-02-2141','A119-17','wktstMUn', 'SL')
('AC22517-2022-11-02-2141','A119-17','QMTgfdryRBtx', 'SL')
('AC04652-2022-11-02-2150','A120-8','dIAVdkm', 'LB')
('SL22517-2022-11-01-2178','S91-18','IvOYVwrvIU', 'MB')
('AC22517-2022-11-02-2161','A121-1','DyhMJaVjBcZK', 'LB')
('SL04652-2022-11-02-2180','S91-20','rlzzsWNL', 'LB')
('SL22517-2022-11-01-2183','S91-23','JMAWiD', 'SL')
('AC04652-2022-11-01-2263','A126-13','mdSgLEsPMl', 'LB')
('SL22517-2022-11-02-2169','S91-9','JwDiYZaSYpaCF', 'LB')
('SL04652-2022-11-01-2155','S90-19','VPPmFWZREAW', 'UB')
('SL12058-2022-11-01-2134','S89-22','xIzLx', 'UB')
('SL22517-2022-11-01-2188','S92-4','OtzrwGPhXDVQjtQp', 'LB')
('AC04652-2022-11-02-2169','A121-9','NTzlei', 'UB')
('SL22517-2022-11-02-2173','S91-13','unQWTWM', 'MB')
('SL04652-2022-11-02-2191','S92-7','DUdjZn', 'SL')
('SL22517-2022-11-01-2194','S92-10','cBVmxkdXUHzqm', 'MB')
('AC04652-2022-11-02-2183','A122-5','TC', 'SL')
('AC04652-2022-11-02-2185','A122-7','ahiljUFAfnBHyqB', 'LB')
('AC22517-2022-11-02-2195','A122-17','PjcGMypBySEhSc', 'SL')
('AC04652-2022-11-02-2192','A122-14','MojADYezOglEABu', 'LB')
('AC22517-2022-11-01-2254','A126-4','uoqL', 'UB')
('SL22517-2022-11-01-2219','S93-11','eEgghBdqCrUfA', 'UB')
('AC04652-2022-11-01-2312','A129-8','rPaAQgw', 'LB')
('AC04652-2022-11-02-2216','A124-2','AcOYIzWCUWymgY', 'LB')
('SL22517-2022-11-02-2207','S92-23','CoqmbyqYqjtGIjv', 'SL')
('SL22517-2022-11-02-2208','S92-24','F', 'SU')
('SL04652-2022-11-02-2233','S94-1','RnpaEwbMRVuerhdo', 'LB')
('SL22517-2022-11-02-2209','S93-1','hcEdEgrYDcasrubV', 'LB')
('AC22517-2022-11-01-2278','A127-10','MuzW', 'UB')
('AC12058-2022-11-01-2210','A123-14','vjGN', 'LB')
('SL12058-2022-11-01-2192','S92-8','n', 'SU')
('AC12058-2022-11-01-2213','A123-17','pMFlhtnZNSNc', 'SL')
('AC22517-2022-11-02-2238','A125-6','dQNFRBidvXWf', 'SU')
('AC04652-2022-11-02-2249','A125-17','aZXIIyP', 'SL')
('SL12058-2022-11-01-2201','S92-17','IwcqWlOWziJ', 'LB')
('SL22517-2022-11-01-2254','S94-22','IjVHpVz', 'UB')
('SL04652-2022-11-02-2253','S94-21','uyDfMdhrNZNPlmh', 'MB')
('SL04652-2022-11-02-2260','S95-4','HEhjiLipeKmUdwb', 'LB')
('AC04652-2022-11-01-2351','A131-11','RDbYJqpNZwxE', 'SL')
('SL04652-2022-11-02-2265','S95-9','sVuJkcdyrjTJVR', 'LB')
('AC04652-2022-11-02-2259','A126-9','LjZJw', 'UB')
('AC04652-2022-11-01-2352','A131-12','IISBvnKr', 'SU')
('SL04652-2022-11-02-2267','S95-11','EvQqkQKiQFIuDt', 'UB')
('AC04652-2022-11-02-2261','A126-11','YLpgLlGyOwylvG', 'SL')
('AC04652-2022-11-01-2353','A131-13','sytOZxGTKIHDlvx', 'LB')
('AC22517-2022-11-02-2257','A126-7','uilZdkp', 'LB')
('SL12058-2022-11-01-2220','S93-12','JUIhWVND', 'LB')
('AC22517-2022-11-02-2262','A126-12','bxppyUqgeSP', 'SU')
('AC04652-2022-11-01-2366','A132-8','h', 'LB')
('AC22517-2022-11-01-2312','A129-8','pQAvYEhHMLYDE', 'LB')
('AC12058-2022-11-01-2242','A125-10','ZIK', 'UB')
('SL04652-2022-11-02-2274','S95-18','ltb', 'MB')
('SL12058-2022-11-01-2234','S94-2','dBeSevMzXwZTrah', 'MB')
('AC12058-2022-11-01-2253','A126-3','YheQdLL', 'UB')
('AC22517-2022-11-02-2274','A127-6','MsjugWRJ', 'SU')
('AC22517-2022-11-01-2322','A129-18','zpOKOF', 'SU')
('SL22517-2022-11-02-2264','S95-8','shKnAalhFHECBOyZ', 'SU')
('AC22517-2022-11-02-2277','A127-9','dE', 'UB')
('AC12058-2022-11-01-2268','A126-18','RV', 'SU')
('SL22517-2022-11-01-2297','S96-17','EtsFztgJBjDLW', 'LB')
('SL04652-2022-11-01-2256','S94-24','CdC', 'SU')
('AC22517-2022-11-02-2293','A128-7','siMd', 'LB')
('SL12058-2022-11-01-2260','S95-4','GiVnTvQSluDZHhiX', 'LB')
('AC04652-2022-11-02-2308','A129-4','zlXFmQ', 'UB')
('AC04652-2022-11-02-2309','A129-5','ppo', 'SL')
('AC12058-2022-11-01-2275','A127-7','n', 'LB')
('SL12058-2022-11-01-2267','S95-11','ugvuiItWHTpPARQp', 'UB')
('SL04652-2022-11-01-2264','S95-8','UZL', 'SU')
('AC22517-2022-11-02-2301','A128-15','glemBThcdB', 'UB')
('SL04652-2022-11-01-2265','S95-9','o', 'LB')
('AC04652-2022-11-02-2318','A129-14','jOcDnMp', 'LB')
('AC12058-2022-11-01-2286','A127-18','sbLkIsV', 'SU')
('AC04652-2022-11-02-2323','A130-1','MVhanEWDaFLN', 'LB')
('SL22517-2022-11-01-2315','S97-11','iAQTBMyUsh', 'UB')
('SL04652-2022-11-02-2317','S97-13','OANXpywErNT', 'MB')
('SL12058-2022-11-01-2271','S95-15','BAJBU', 'SL')
('AC22517-2022-11-01-2370','A132-12','du', 'SU')
('SL04652-2022-11-02-2321','S97-17','unAVPWA', 'LB')
('AC22517-2022-11-01-2374','A132-16','EqyOXhYUcXLoPgfz', 'UB')
('SL22517-2022-11-02-2305','S97-1','xnzNKZ', 'LB')
('SL04652-2022-11-01-2285','S96-5','ysbiMbQBzcvi', 'MB')
('AC22517-2022-11-02-2315','A129-11','nTBlqvqjS', 'SL')
('AC22517-2022-11-01-2377','A133-1','NVbcJfOHDTbBs', 'LB')
('SL04652-2022-11-01-2288','S96-8','cbEGmMVEjy', 'SU')
('AC12058-2022-11-01-2304','A128-18','VSNMIrqe', 'SU')
('AC04652-2022-11-02-2335','A130-13','qHJMzSfLuqZneeb', 'LB')
('SL04652-2022-11-02-2330','S98-2','IAlPGHqAXXvmYeV', 'MB')
('SL04652-2022-11-02-2331','S98-3','JBRQfGqxLcyHoIo', 'UB')
('AC04652-2022-11-02-2337','A130-15','QLmQRwEvPyWpCgw', 'UB')
('SL22517-2022-11-01-2330','S98-2','XfHpAFfnkqTZUK', 'MB')
('AC12058-2022-11-01-2343','A131-3','TAT', 'UB')
('SL12058-2022-11-01-2308','S97-4','hHnxsuIiZ', 'LB')
('SL04652-2022-11-01-2343','S98-15','ZCbUgpolpLUb', 'SL')
('AC22517-2022-11-02-2360','A132-2','zuvjYrNDvTCIuYk', 'LB')
('AC22517-2022-11-01-2424','A135-12','gBluHIX', 'SU')
('SL22517-2022-11-01-2384','S100-8','Zw', 'SU')
('SL12058-2022-11-01-2325','S97-21','mHaCjJCsV', 'MB')
('SL12058-2022-11-01-2326','S97-22','XInpxAf', 'UB')
('SL22517-2022-11-02-2368','S99-16','yhbaojRUHXLuHbw', 'SU')
('SL04652-2022-11-02-2383','S100-7','U', 'SL')
('SL12058-2022-11-01-2329','S98-1','uftbi', 'LB')
('AC22517-2022-11-01-2427','A135-15','xdBgdWMEjiOYnho', 'UB')
('AC22517-2022-11-02-2460','A137-12','bsRvJmgZWaaOVr', 'SU')
('SL22517-2022-11-02-2442','S102-18','OuRDngvBLFNDcMy', 'MB')
('SL12058-2022-11-01-2420','S101-20','vnzh', 'LB')
('AC22517-2022-11-01-2520','A140-18','eS', 'SU')
('SL22517-2022-11-01-2492','S104-20','B', 'LB')
('SL04652-2022-11-01-2438','S102-14','vlbtzIduTH', 'UB')
('AC22517-2022-11-01-2524','A141-4','X', 'UB')
('AC04652-2022-11-02-2488','A139-4','hXcTUTILvTuPjl', 'UB')
('SL04652-2022-11-02-2496','S104-24','hBwcXJTWTeS', 'SU')
('AC22517-2022-11-01-2534','A141-14','BtefAJICtvgpnvu', 'LB')
('SL22517-2022-11-02-2456','S103-8','YqMoGNptOAuVj', 'SU')
('SL12058-2022-11-01-2434','S102-10','RLgw', 'MB')
('AC12058-2022-11-01-2479','A138-13','RwTGKsuqRGXCv', 'LB')
('AC04652-2022-11-02-2495','A139-11','KIpbIDcbznnxRWiN', 'SL')
('SL22517-2022-11-01-2507','S105-11','ujZGyAAD', 'UB')
('SL04652-2022-11-01-2453','S103-5','U', 'MB')
('AC04652-2022-11-02-2498','A139-14','ximPLzLBxSzGi', 'LB')
('SL22517-2022-11-02-2495','S104-23','lxVVeb', 'SL')
('AC22517-2022-11-01-2610','A145-18','PXlRCrtrlalMWGe', 'SU')
('SL22517-2022-11-01-2591','S108-23','LYS', 'SL')
('AC04652-2022-11-02-2568','A143-12','UVQTAkus', 'SU')
('SL22517-2022-11-01-2592','S108-24','XWpiPjcvWkNZ', 'SU')
('AC12058-2022-11-01-2560','A143-4','zxtFPYrkzciGD', 'UB')
('AC12058-2022-11-01-2562','A143-6','CKjZlpoPegcko', 'SU')
('AC22517-2022-11-01-2670','A149-6','GbzbLvvTTTCxK', 'SU')
('AC12058-2022-11-01-2611','A146-1','mkn', 'LB')
('AC22517-2022-11-01-2696','A150-14','buZKAuqnBqHIEmfH', 'LB')
('AC22517-2022-11-01-2706','A151-6','VMDZfSAdlQVn', 'SU')
('AC04652-2022-11-01-2757','A154-3','XMihijYjWoOjzL', 'UB')
('AC22517-2022-11-02-2693','A150-11','Ma', 'SL')
('AC22517-2022-11-01-2750','A153-14','MBId', 'LB')
('SL04652-2022-11-01-2673','S112-9','dLgKxKAM', 'LB')
('AC12058-2022-11-01-2664','A148-18','kRn', 'SU')
('SL22517-2022-11-02-2657','S111-17','kVyuf', 'LB')
('SL04652-2022-11-02-2712','S113-24','hmr', 'SU')
('AC04652-2022-11-02-2701','A151-1','BWvZbFTMeEJtFyIH', 'LB')
('SL22517-2022-11-01-2729','S114-17','jvLwnoMAUpWgUs', 'LB')
('SL22517-2022-11-01-2730','S114-18','Mmyi', 'MB')
('SL12058-2022-11-01-2667','S112-3','Gk', 'UB')
('SL22517-2022-11-01-2735','S114-23','JKoBICouoSTQrv', 'SL')
('AC22517-2022-11-01-2767','A154-13','ryvKELuU', 'LB')
('AC22517-2022-11-01-2776','A155-4','NSJwZLeTgO', 'UB')
('SL04652-2022-11-01-2698','S113-10','PIBceAPmoOP', 'MB')
('AC12058-2022-11-01-2682','A149-18','QoDTdVbppFhDYaCN', 'SU')
('SL04652-2022-11-02-2731','S114-19','aEhKgovPxmch', 'UB')
('SL04652-2022-11-01-2700','S113-12','O', 'LB')
('SL22517-2022-11-02-2682','S112-18','afsPAKMCZ', 'MB')
('SL04652-2022-11-01-2777','S116-17','M', 'LB')
('AC12058-2022-11-01-2771','A154-17','bRDGK', 'SL')
('SL04652-2022-11-02-2832','S118-24','tvxXwIKLTBEJyxvV', 'SU')
('AC12058-2022-11-01-2775','A155-3','PRUUnfJT', 'UB')
('SL04652-2022-11-02-2836','S119-4','hsAGdbwPUT', 'LB')
('AC22517-2022-11-01-2890','A161-10','Zelb', 'UB')
('AC04652-2022-11-01-2958','A165-6','aEwUgupkom', 'SU')
('SL22517-2022-11-02-2808','S117-24','dPNWl', 'SU')
