('SL04652-2022-11-02-9','S1-9','EPRAqNVDc', 'LB')
('SL04652-2022-11-01-731','S31-11','HSeCh', 'UB')
('AC22517-2022-11-01-692','A39-8','bBkL', 'LB')
('SL12058-2022-11-01-753','S32-9','qUkosjTFXSArHGqc', 'LB')
('SL22517-2022-11-02-738','S31-18','wknOmctmkoDW', 'MB')
('AC22517-2022-11-02-773','A43-17','DcFrTq', 'SL')
('AC12058-2022-11-01-746','A42-8','KMjcToKqQN', 'LB')
('SL22517-2022-11-02-743','S31-23','vTJyLFkbUKZ', 'SL')
('SL22517-2022-11-02-744','S31-24','yjvUcN', 'SU')
('AC22517-2022-11-02-777','A44-3','mhPslBi', 'UB')
('AC12058-2022-11-01-750','A42-12','UGSoWHZodDmG', 'SU')
('AC12058-2022-11-01-751','A42-13','NjvHbjCyHw', 'LB')
('AC04652-2022-11-01-740','A42-2','IHbtxXCCUifjn', 'LB')
('SL22517-2022-11-02-785','S33-17','IPUZzmXhhhTB', 'LB')
('SL04652-2022-11-01-783','S33-15','zcWuue', 'SL')
('AC12058-2022-11-01-796','A45-4','dlRdZwRqKg', 'UB')
('SL04652-2022-11-01-784','S33-16','PkYbeFIuvvsPEsqF', 'SU')
('AC12058-2022-11-01-823','A46-13','PyLWhCFKGZ', 'LB')
('AC22517-2022-11-01-772','A43-16','CLR', 'UB')
('SL04652-2022-11-02-774','S33-6','OSYrlUTbRtvbpDTu', 'UB')
('SL22517-2022-11-01-826','S35-10','NF', 'MB')
('SL22517-2022-11-01-827','S35-11','IKpMcoxNatXv', 'UB')
('SL22517-2022-11-02-828','S35-12','lAraNEoWdTpGVoMJ', 'LB')
('SL22517-2022-11-01-829','S35-13','aPlbWYhvFdaVOnji', 'MB')
('SL04652-2022-11-02-798','S34-6','cAYhqgJJ', 'UB')
('AC04652-2022-11-02-831','A47-3','CgU', 'UB')
('SL22517-2022-11-01-850','S36-10','GRTsuOoNR', 'MB')
('SL04652-2022-11-02-803','S34-11','rpHRTcLP', 'UB')
('SL04652-2022-11-02-821','S35-5','icnpxgoTPtO', 'MB')
('SL04652-2022-11-01-849','S36-9','DUloIBMebkk', 'LB')
('SL04652-2022-11-01-850','S36-10','VZoukZsGASODOUGL', 'MB')
('SL04652-2022-11-01-851','S36-11','wozMA', 'UB')
('SL04652-2022-11-02-824','S35-8','XUbjJNbzdKZJT', 'SU')
('AC12058-2022-11-01-871','A49-7','mwkFLytjEcm', 'LB')
('AC22517-2022-11-02-909','A51-9','R', 'UB')
('SL22517-2022-11-02-868','S37-4','Y', 'LB')
('SL22517-2022-11-02-869','S37-5','IqTCzABcxIpASrA', 'MB')
('AC04652-2022-11-01-884','A50-2','McSn', 'LB')
('AC22517-2022-11-02-912','A51-12','hXafdHC', 'SU')
('SL12058-2022-11-01-886','S37-22','JmtLskoYKAnN', 'UB')
('AC22517-2022-11-01-832','A47-4','FemfhfJwzv', 'UB')
('AC22517-2022-11-01-833','A47-5','cXLTPNf', 'SL')
('SL22517-2022-11-01-871','S37-7','SUkkHAlHoh', 'SL')
('SL22517-2022-11-01-872','S37-8','yP', 'SU')
('AC22517-2022-11-02-917','A51-17','DXiBQjwartB', 'SL')
('AC04652-2022-11-02-865','A49-1','rXWbaEEp', 'LB')
('AC12058-2022-11-01-888','A50-6','YJwXgeAHwvh', 'SU')
('AC04652-2022-11-02-867','A49-3','mrgSxDNqYbc', 'UB')
('AC04652-2022-11-01-932','A52-14','zldAeraToDo', 'LB')
('SL12058-2022-11-01-940','S40-4','MPomGyehH', 'LB')
('SL04652-2022-11-02-877','S37-13','DefFSOpEfgESLt', 'MB')
('SL12058-2022-11-01-942','S40-6','rmXzoVgOYcweEAQ', 'UB')
('SL12058-2022-11-01-943','S40-7','vvDsIoQxsvgsecOH', 'SL')
('AC22517-2022-11-01-878','A49-14','rZbAroEoRWQVizl', 'LB')
('SL22517-2022-11-01-920','S39-8','Hf', 'SU')
('AC22517-2022-11-01-880','A49-16','ZjhsuvfJfFZR', 'UB')
('AC22517-2022-11-01-881','A49-17','idDnXzBsNK', 'SL')
('AC04652-2022-11-02-901','A51-1','uorFLgv', 'LB')
('AC12058-2022-11-01-921','A52-3','BgC', 'UB')
('SL22517-2022-11-02-934','S39-22','jwmVv', 'UB')
('AC04652-2022-11-02-903','A51-3','PZ', 'UB')
('AC04652-2022-11-01-937','A53-1','ZWGmckzsKXzhbAGo', 'LB')
('AC22517-2022-11-01-889','A50-7','mlDxJnqSdDCXL', 'LB')
('AC22517-2022-11-02-973','A55-1','ecwPSQcwfIrYV', 'LB')
('SL04652-2022-11-01-925','S39-13','QB', 'MB')
('SL04652-2022-11-01-930','S39-18','bMLzNNFOuOMpP', 'MB')
('SL04652-2022-11-02-896','S38-8','iVfw', 'SU')
('AC22517-2022-11-01-903','A51-3','aKv', 'UB')
('AC04652-2022-11-01-945','A53-9','GCLZXB', 'UB')
('SL04652-2022-11-01-932','S39-20','irZegtxDJqhdnbGB', 'LB')
('SL22517-2022-11-01-948','S40-12','PIAJaBbvINJz', 'LB')
('AC22517-2022-11-01-907','A51-7','IDAcplb', 'LB')
('AC04652-2022-11-01-951','A53-15','ZgtHLZPqWdZii', 'UB')
('AC12058-2022-11-01-940','A53-4','waCUMvPsGjEIMF', 'UB')
('AC12058-2022-11-01-941','A53-5','wECgID', 'SL')
('AC22517-2022-11-02-989','A55-17','uIaIsrkZiecv', 'SL')
('SL04652-2022-11-01-933','S39-21','QM', 'MB')
('SL04652-2022-11-01-934','S39-22','ssXQVxPTiGPoGRCW', 'UB')
('SL22517-2022-11-02-968','S41-8','dgqFxwdhlCAa', 'SU')
('AC04652-2022-11-02-926','A52-8','HPqIa', 'LB')
('AC04652-2022-11-01-965','A54-11','wmKUUiVArcjTvm', 'SL')
('AC22517-2022-11-01-923','A52-5','JnLTzC', 'SL')
('SL04652-2022-11-01-949','S40-13','odFP', 'MB')
('SL22517-2022-11-02-984','S41-24','IPmQKkFWwpFOu', 'SU')
('AC22517-2022-11-02-1010','A57-2','INCrt', 'LB')
('AC22517-2022-11-01-930','A52-12','JeyGdjxCV', 'SU')
('SL04652-2022-11-01-956','S40-20','XDsZHuK', 'LB')
('SL04652-2022-11-02-920','S39-8','uqzRcDxwZBXrm', 'SU')
('AC22517-2022-11-02-1012','A57-4','seHbDuJnyzizsRa', 'UB')
('SL22517-2022-11-02-989','S42-5','hnhU', 'MB')
('AC12058-2022-11-01-960','A54-6','hiXtvGqhQvZ', 'SU')
('SL04652-2022-11-01-961','S41-1','jOdtRQ', 'LB')
('AC04652-2022-11-02-947','A53-11','HTnQjMYfMfIdH', 'SL')
('SL22517-2022-11-02-1043','S44-11','xQeHJlIycGfOPg', 'UB')
('AC22517-2022-11-01-988','A55-16','DSzv', 'UB')
('SL22517-2022-11-02-1050','S44-18','pMOdGUdvvnLZ', 'MB')
('SL22517-2022-11-02-1052','S44-20','jshaQDVP', 'LB')
('AC22517-2022-11-02-1059','A59-15','KJsi', 'UB')
('AC22517-2022-11-01-992','A56-2','zSKkxXdWvnWvGXfC', 'LB')
('SL22517-2022-11-01-1024','S43-16','EqRMKExNBGzU', 'SU')
('SL22517-2022-11-02-1067','S45-11','rEYRUsrIjvSue', 'UB')
('AC22517-2022-11-02-1067','A60-5','eSFqvnQMhWeuheS', 'SL')
('AC22517-2022-11-01-1001','A56-11','CwpBVS', 'SL')
('SL22517-2022-11-02-1078','S45-22','UtGiE', 'UB')
('AC04652-2022-11-01-1077','A60-15','uYyPWPoEtW', 'UB')
('AC04652-2022-11-01-1079','A60-17','zvixyiO', 'SL')
('SL22517-2022-11-01-1079','S45-23','Pc', 'SL')
('SL12058-2022-11-01-1077','S45-21','JBmVFSuziwgc', 'MB')
('AC22517-2022-11-01-1055','A59-11','XzjZwT', 'SL')
('AC04652-2022-11-02-1055','A59-11','AW', 'SL')
('SL22517-2022-11-02-1117','S47-13','Tn', 'MB')
('SL04652-2022-11-02-1037','S44-5','QgvjcbjOlBSyVPNi', 'MB')
('SL22517-2022-11-01-1082','S46-2','YqsDlJTVbDgUb', 'MB')
('AC04652-2022-11-01-1103','A62-5','MuRmcHIYW', 'SL')
