('SL04652-2022-11-01-11','S1-11','bdPIlrsePUx', 'UB')
('AC12058-2022-11-01-3222','A179-18','zaS', 'SU')
('AC22517-2022-11-02-3298','A184-4','pAz', 'UB')
('SL04652-2022-11-02-3192','S133-24','RCCBFmQ', 'SU')
('SL22517-2022-11-01-3245','S136-5','DtkOJYGaOEMGtLai', 'MB')
('SL04652-2022-11-01-3266','S137-2','wdymkuyzops', 'MB')
('SL12058-2022-11-01-3181','S133-13','DQLgNUnyufEeS', 'MB')
('SL04652-2022-11-01-3273','S137-9','Sesn', 'LB')
('SL04652-2022-11-02-3198','S134-6','VORLpaQlFQDHKUVd', 'UB')
('SL22517-2022-11-02-3287','S137-23','qrxvYJbghnWxqTn', 'SL')
('SL12058-2022-11-01-3186','S133-18','jwvo', 'MB')
('AC04652-2022-11-02-3216','A179-12','mvlOXHz', 'SU')
('AC22517-2022-11-02-3308','A184-14','TlbGXPqKvY', 'LB')
('SL04652-2022-11-02-3201','S134-9','lpdMTw', 'LB')
('AC22517-2022-11-01-3118','A174-4','G', 'UB')
('AC22517-2022-11-01-3119','A174-5','goMrdYAMZYKYOjw', 'SL')
('AC12058-2022-11-01-3246','A181-6','rIRlWGgHrnJMRWUQ', 'SU')
('SL04652-2022-11-01-3282','S137-18','rNbfrMpQhAC', 'MB')
('AC12058-2022-11-01-3254','A181-14','o', 'LB')
('SL12058-2022-11-01-3202','S134-10','ky', 'MB')
('AC04652-2022-11-01-3264','A182-6','bShhmBGJB', 'SU')
('AC22517-2022-11-01-3135','A175-3','sKYNpdiUmzZAoE', 'UB')
('SL22517-2022-11-01-3271','S137-7','jzJKsWyTamwU', 'SL')
('SL22517-2022-11-02-3312','S138-24','p', 'SU')
('SL22517-2022-11-02-3313','S139-1','zn', 'LB')
('SL22517-2022-11-02-3315','S139-3','UVcjtXsuScJHDEg', 'UB')
('AC04652-2022-11-01-3269','A182-11','aNNqkWA', 'SL')
('AC12058-2022-11-01-3275','A182-17','JBBXDtKzhQuy', 'SL')
('AC22517-2022-11-02-3331','A186-1','d', 'LB')
('AC22517-2022-11-02-3332','A186-2','cLbma', 'LB')
('AC04652-2022-11-01-3278','A183-2','UbBGyfLYEML', 'LB')
('AC22517-2022-11-02-3335','A186-5','pQxfsxkNUDWf', 'SL')
('AC04652-2022-11-02-3242','A181-2','VsQtXs', 'LB')
('AC22517-2022-11-01-3148','A175-16','MuncQuYgcj', 'UB')
('AC12058-2022-11-01-3286','A183-10','rvMGOmTPubqPQA', 'UB')
('SL04652-2022-11-02-3238','S135-22','FmBAKbtYKeILOwd', 'UB')
('SL04652-2022-11-02-3243','S136-3','g', 'UB')
('SL22517-2022-11-01-3293','S138-5','yvTuvWp', 'MB')
('SL04652-2022-11-01-3316','S139-4','fFrkioTJ', 'LB')
('SL22517-2022-11-01-3295','S138-7','IQDhaDQbXWkmVvbo', 'SL')
('AC04652-2022-11-01-3294','A183-18','gyGhjbLnxdjBmT', 'SU')
('AC12058-2022-11-01-3299','A184-5','m', 'SL')
('SL22517-2022-11-02-3343','S140-7','HfxZpLizhOia', 'SL')
('AC04652-2022-11-02-3263','A182-5','zObm', 'SL')
('SL12058-2022-11-01-3248','S136-8','SLiXOkDUDxVxxgTp', 'SU')
('SL22517-2022-11-01-3306','S138-18','uKp', 'MB')
('AC22517-2022-11-02-3367','A188-1','Z', 'LB')
('SL04652-2022-11-02-3251','S136-11','yaS', 'UB')
('AC04652-2022-11-02-3268','A182-10','XMHUs', 'UB')
('SL22517-2022-11-02-3352','S140-16','jkWpPXW', 'SU')
('SL04652-2022-11-01-3329','S139-17','vOfTuB', 'LB')
('SL22517-2022-11-01-3315','S139-3','iImltfxq', 'UB')
('SL22517-2022-11-01-3318','S139-6','RDlE', 'UB')
('SL22517-2022-11-02-3361','S141-1','mXi', 'LB')
('AC22517-2022-11-01-3173','A177-5','HmOrQEe', 'SL')
('AC12058-2022-11-01-3314','A185-2','NLmWcISmD', 'LB')
('AC22517-2022-11-01-3176','A177-8','ejsiTggAUrMkTu', 'LB')
('AC04652-2022-11-01-3321','A185-9','cGrAopVtFuTGdaX', 'UB')
('AC22517-2022-11-01-3177','A177-9','OMdWVFMckpf', 'UB')
('AC22517-2022-11-01-3178','A177-10','YMSiHE', 'UB')
('SL04652-2022-11-01-3338','S140-2','GzxSNqRK', 'MB')
('AC22517-2022-11-02-3384','A188-18','KpfmOQXnfKolFZI', 'SU')
('SL04652-2022-11-01-3340','S140-4','dgmBQhtqYUoEV', 'LB')
('AC04652-2022-11-02-3284','A183-8','czIohmkdsoJNDBo', 'LB')
('AC22517-2022-11-02-3386','A189-2','MUCSNVVShYsAX', 'LB')
('AC04652-2022-11-02-3287','A183-11','DYmj', 'SL')
('AC22517-2022-11-02-3396','A189-12','BimfJtVmyoFOxisD', 'SU')
('AC22517-2022-11-01-3190','A178-4','ydsNOgXuyJGdY', 'UB')
('SL04652-2022-11-02-3280','S137-16','IOTqdJYAsem', 'SU')
('AC12058-2022-11-01-3348','A186-18','bNKfneem', 'SU')
('SL12058-2022-11-01-3291','S138-3','TWtnfacCAGSLrbkS', 'UB')
('AC04652-2022-11-01-3359','A187-11','RhEoAqRSDUADaWVQ', 'SL')
('AC04652-2022-11-02-3315','A185-3','cwfOzz', 'UB')
('SL22517-2022-11-02-3405','S142-21','iKZlvD', 'MB')
('SL04652-2022-11-02-3301','S138-13','xax', 'MB')
('AC22517-2022-11-02-3419','A190-17','jhgVr', 'SL')
('AC22517-2022-11-01-3222','A179-18','IOEXCPXAHvpRRM', 'SU')
('AC04652-2022-11-01-3376','A188-10','SOILEqpP', 'UB')
('SL22517-2022-11-02-3415','S143-7','dBDsfCzsUI', 'SL')
('SL22517-2022-11-01-3395','S142-11','VRwS', 'UB')
('AC22517-2022-11-01-3272','A182-14','Uequ', 'LB')
('SL22517-2022-11-01-3430','S143-22','Vt', 'UB')
('SL22517-2022-11-01-3431','S143-23','tZQeF', 'SL')
('AC22517-2022-11-02-3521','A196-11','NdtLJQ', 'SL')
('SL22517-2022-11-02-3525','S147-21','eDEFMYeTUwlBK', 'MB')
('SL12058-2022-11-01-3420','S143-12','D', 'LB')
('AC12058-2022-11-01-3474','A193-18','UhOzZ', 'SU')
('SL04652-2022-11-01-3489','S146-9','dZf', 'LB')
('SL04652-2022-11-02-3407','S142-23','HQOt', 'SL')
('AC22517-2022-11-01-3312','A184-18','XWowDjLzJqI', 'SU')
('SL12058-2022-11-01-3426','S143-18','nnCaATrylX', 'MB')
('SL04652-2022-11-02-3410','S143-2','exT', 'MB')
('AC04652-2022-11-02-3416','A190-14','TPbjlVtQ', 'LB')
('SL22517-2022-11-02-3534','S148-6','nAw', 'UB')
('SL04652-2022-11-02-3413','S143-5','QpaKLmBCGKPsp', 'MB')
('SL22517-2022-11-01-3473','S145-17','pADLEMw', 'LB')
('AC04652-2022-11-01-3491','A194-17','CFQHwsZwlr', 'SL')
('AC04652-2022-11-01-3492','A194-18','bbDyU', 'SU')
('SL04652-2022-11-02-3416','S143-8','rmlnIaJGK', 'SU')
('SL22517-2022-11-02-3541','S148-13','YFScVDTxi', 'MB')
('AC22517-2022-11-02-3590','A200-8','MMTTIK', 'LB')
('AC04652-2022-11-02-3459','A193-3','YvtMQWiEfW', 'UB')
('AC04652-2022-11-01-3543','A197-15','HKurcCym', 'UB')
('SL04652-2022-11-01-3552','S148-24','fwivlqLLPekwXLby', 'SU')
('SL22517-2022-11-02-3604','S151-4','XwIUmhMTTOA', 'LB')
('AC22517-2022-11-02-3593','A200-11','lzqlKsCPqs', 'SL')
('SL22517-2022-11-01-3518','S147-14','yOstkEk', 'UB')
('AC22517-2022-11-01-3362','A187-14','zaOqpFqEiA', 'LB')
('AC04652-2022-11-01-3546','A197-18','WyTzlDtzALTa', 'SU')
('SL22517-2022-11-01-3519','S147-15','hlPLgwKhnTa', 'SL')
('SL04652-2022-11-02-3466','S145-10','vwre', 'MB')
('SL22517-2022-11-01-3521','S147-17','nkkLITonVh', 'LB')
('SL04652-2022-11-01-3561','S149-9','pEnXq', 'LB')
('SL12058-2022-11-01-3492','S146-12','QQuZgmKRayAnsfH', 'LB')
('AC04652-2022-11-02-3464','A193-8','vvlxrhEUiNd', 'LB')
('AC22517-2022-11-01-3372','A188-6','tIi', 'SU')
('SL22517-2022-11-01-3537','S148-9','D', 'LB')
('SL22517-2022-11-02-3625','S152-1','KRZVRUCvNqkQsc', 'LB')
('SL22517-2022-11-01-3538','S148-10','uPCL', 'MB')
('SL12058-2022-11-01-3506','S147-2','qp', 'MB')
('SL22517-2022-11-02-3629','S152-5','uUYzRGJ', 'MB')
('SL04652-2022-11-02-3481','S146-1','jlLMMrdkXOqx', 'LB')
('SL22517-2022-11-02-3642','S152-18','R', 'MB')
('AC04652-2022-11-02-3510','A195-18','rVALQb', 'SU')
('SL22517-2022-11-02-3653','S153-5','Zx', 'MB')
('SL12058-2022-11-01-3547','S148-19','dgfKZXhKg', 'UB')
('AC04652-2022-11-01-3597','A200-15','KfMXZADtxDMOg', 'UB')
('SL12058-2022-11-01-3548','S148-20','QUTDhlLIMBULq', 'LB')
('AC04652-2022-11-02-3517','A196-7','l', 'LB')
('AC22517-2022-11-01-3432','A191-12','SbMpkJOCveJhSN', 'SU')
('SL22517-2022-11-01-3593','S150-17','Mbo', 'LB')
('AC04652-2022-11-02-3520','A196-10','tfEkfVgnTMiXIq', 'UB')
('SL04652-2022-11-01-3607','S151-7','GCRJulEnkLcw', 'SL')
('AC04652-2022-11-02-3562','A198-16','UckkWAg', 'UB')
('SL22517-2022-11-01-3628','S152-4','omV', 'LB')
('SL22517-2022-11-01-3629','S152-5','ubbRtIkMRQFBCzkI', 'MB')
('AC22517-2022-11-02-3696','A206-6','KZ', 'SU')
('SL12058-2022-11-01-3603','S151-3','Tmba', 'UB')
('AC04652-2022-11-02-3567','A199-3','wKrvVNbJivM', 'UB')
('AC04652-2022-11-01-3644','A203-8','EzI', 'LB')
('SL04652-2022-11-02-3574','S149-22','haBf', 'UB')
('SL04652-2022-11-01-3654','S153-6','fNWzdRthX', 'UB')
('SL04652-2022-11-01-3655','S153-7','HodvBiXBAUzPY', 'SL')
('SL04652-2022-11-02-3576','S149-24','GuPjUZjRboznL', 'SU')
('AC22517-2022-11-02-3719','A207-11','yaEBmrm', 'SL')
('SL12058-2022-11-01-3623','S151-23','yacUvVYDrxR', 'SL')
('SL04652-2022-11-02-3583','S150-7','UfwaRRYnn', 'SL')
('SL04652-2022-11-01-3663','S153-15','pNVQzbnqRpojNSl', 'SL')
('AC04652-2022-11-01-3657','A204-3','rnBGlTgVXWVjTlR', 'UB')
('AC22517-2022-11-02-3728','A208-2','GhS', 'LB')
('SL22517-2022-11-02-3730','S156-10','FqHZjjFVYSJsybu', 'MB')
('AC04652-2022-11-01-3666','A204-12','LdXlAKxiiZ', 'SU')
('SL22517-2022-11-01-3653','S153-5','MaSCnjXc', 'MB')
('AC12058-2022-11-01-3684','A205-12','HBYjfhzrwBn', 'SU')
('AC04652-2022-11-02-3594','A200-12','tBkEjfoBoOa', 'SU')
('AC12058-2022-11-01-3686','A205-14','RECnlNRiwSA', 'LB')
('SL12058-2022-11-01-3642','S152-18','oYEinmkiqQDlv', 'MB')
('SL22517-2022-11-01-3661','S153-13','RPPwiMY', 'MB')
('SL22517-2022-11-01-3663','S153-15','tOTbSMxwiBdCJV', 'SL')
('SL22517-2022-11-01-3664','S153-16','yFjOV', 'SU')
('SL22517-2022-11-02-3741','S156-21','RFdJCxGgKjfQB', 'MB')
('AC04652-2022-11-02-3600','A200-18','X', 'SU')
('AC12058-2022-11-01-3694','A206-4','UyyCPTwhj', 'UB')
('SL22517-2022-11-02-3743','S156-23','TnCwwLxGlpzD', 'SL')
('AC12058-2022-11-01-3696','A206-6','eUNRQpGF', 'SU')
('AC22517-2022-11-01-3527','A196-17','TsvghCbWJNTKHp', 'SL')
('AC12058-2022-11-01-3698','A206-8','SEhVlwyBZt', 'LB')
('SL04652-2022-11-01-3691','S154-19','JGUpOKeNnZ', 'UB')
('SL04652-2022-11-01-3694','S154-22','nfvQ', 'UB')
('SL04652-2022-11-01-3695','S154-23','SvyTi', 'SL')
('SL12058-2022-11-01-3653','S153-5','nPzzXGhheyqpW', 'MB')
('SL22517-2022-11-01-3670','S153-22','NSKrdSdrEcRGgVC', 'UB')
('AC22517-2022-11-02-3747','A209-3','anHpzINPOOfHL', 'UB')
('AC12058-2022-11-01-3701','A206-11','oMNZOy', 'SL')
('AC04652-2022-11-02-3609','A201-9','BRIkIqik', 'UB')
('AC12058-2022-11-01-3703','A206-13','qCk', 'LB')
('SL04652-2022-11-02-3616','S151-16','bYIFHlvLqUPS', 'SU')
('AC04652-2022-11-02-3611','A201-11','KAUtwrmSJ', 'SL')
('SL12058-2022-11-01-3655','S153-7','DQLEq', 'SL')
('AC12058-2022-11-01-3707','A206-17','ktiDtUVaGr', 'SL')
('SL04652-2022-11-01-3702','S155-6','LKlzhJP', 'UB')
('SL22517-2022-11-02-3752','S157-8','kvYhInQ', 'SU')
('SL22517-2022-11-02-3753','S157-9','YylOQArZdXpqnEp', 'LB')
('SL04652-2022-11-01-3707','S155-11','RaMYScxqjmrn', 'UB')
('AC22517-2022-11-01-3536','A197-8','uhxcGdBRlis', 'LB')
('AC04652-2022-11-02-3616','A201-16','nmPVtlqv', 'UB')
('SL22517-2022-11-01-3683','S154-11','NNDMqylS', 'UB')
('AC04652-2022-11-02-3617','A201-17','yEQEdW', 'SL')
('AC22517-2022-11-01-3537','A197-9','UUW', 'UB')
('SL04652-2022-11-01-3708','S155-12','LDCulrebJmxF', 'LB')
('AC22517-2022-11-02-3766','A210-4','wnt', 'UB')
('AC04652-2022-11-02-3622','A202-4','X', 'UB')
('SL22517-2022-11-01-3689','S154-17','ObTPcIJlyQvzSt', 'LB')
('SL04652-2022-11-02-3634','S152-10','QQFaMPWBL', 'MB')
('SL22517-2022-11-02-3768','S157-24','ZdEAoQNvPCxY', 'SU')
('SL04652-2022-11-02-3636','S152-12','dwbV', 'LB')
('AC22517-2022-11-02-3779','A210-17','ji', 'SL')
('SL22517-2022-11-02-3773','S158-5','mBRRnoDBQeHW', 'MB')
('AC22517-2022-11-01-3553','A198-7','LVJkkfLs', 'LB')
('AC22517-2022-11-01-3556','A198-10','oO', 'UB')
('AC04652-2022-11-01-3702','A206-12','iLA', 'SU')
('AC04652-2022-11-01-3707','A206-17','kUZOyHkehuCCk', 'SL')
('AC04652-2022-11-02-3640','A203-4','Qx', 'UB')
('AC12058-2022-11-01-3728','A208-2','DXeMHIzJr', 'LB')
('AC04652-2022-11-01-3711','A207-3','SttDVYMc', 'UB')
('SL04652-2022-11-02-3656','S153-8','qOznGrE', 'SU')
('SL12058-2022-11-01-3680','S154-8','x', 'SU')
('AC12058-2022-11-01-3733','A208-7','oCxkWfqcEKXx', 'LB')
('SL12058-2022-11-01-3681','S154-9','igyHRS', 'LB')
('SL22517-2022-11-01-3708','S155-12','vlCYqnRGAteY', 'LB')
('SL22517-2022-11-02-3785','S158-17','hXOMcvfZmyk', 'LB')
('SL04652-2022-11-02-3663','S153-15','Aq', 'SL')
('AC22517-2022-11-02-3804','A212-6','XesxGBekywsfTS', 'SU')
('SL22517-2022-11-01-3723','S156-3','qUjNDgMdEBPxDCu', 'UB')
('SL12058-2022-11-01-3698','S155-2','YoaWnmLwmkMvS', 'MB')
('AC22517-2022-11-01-3583','A200-1','xl', 'LB')
('SL12058-2022-11-01-3705','S155-9','bvHZzvzTLiWPkPc', 'LB')
('SL12058-2022-11-01-3707','S155-11','oWLiAk', 'UB')
('SL04652-2022-11-01-3761','S157-17','fcbbU', 'LB')
('SL22517-2022-11-02-3805','S159-13','nn', 'MB')
('AC22517-2022-11-01-3589','A200-7','e', 'LB')
('AC04652-2022-11-01-3763','A210-1','kLCkdzuqPBwuOgMS', 'LB')
('SL04652-2022-11-02-3699','S155-3','QFqWqZRZ', 'UB')
('AC22517-2022-11-01-3611','A201-11','qCkXTiWprwTp', 'SL')
('SL04652-2022-11-01-3795','S159-3','XLIoQt', 'UB')
('AC22517-2022-11-01-3617','A201-17','mJXSSMLh', 'SL')
('SL04652-2022-11-02-3702','S155-6','HQMORClypKaqXFb', 'UB')
('SL12058-2022-11-01-3732','S156-12','OBwbI', 'LB')
('AC12058-2022-11-01-3775','A210-13','EahjDwoSDQogrDO', 'LB')
('AC22517-2022-11-02-3858','A215-6','YC', 'SU')
('AC22517-2022-11-01-3621','A202-3','WL', 'UB')
('AC04652-2022-11-02-3702','A206-12','Ycyrm', 'SU')
('SL04652-2022-11-02-3705','S155-9','RP', 'LB')
('SL22517-2022-11-01-3761','S157-17','LSbi', 'LB')
('SL12058-2022-11-01-3734','S156-14','ZI', 'UB')
('SL04652-2022-11-01-3803','S159-11','nGjWtJog', 'UB')
('SL04652-2022-11-02-3706','S155-10','MfOrq', 'MB')
('SL22517-2022-11-02-3840','S160-24','Nh', 'SU')
('SL12058-2022-11-01-3740','S156-20','xetzPmZP', 'LB')
('SL04652-2022-11-02-3709','S155-13','Cui', 'MB')
('AC04652-2022-11-01-3791','A211-11','GqCuLz', 'SL')
('SL04652-2022-11-01-3812','S159-20','IqoVLrg', 'LB')
('SL22517-2022-11-01-3773','S158-5','TNucnT', 'MB')
('SL12058-2022-11-01-3751','S157-7','Dq', 'SL')
('AC04652-2022-11-01-3844','A214-10','RFilRlbtaPTCww', 'UB')
('SL04652-2022-11-02-3773','S158-5','RmGp', 'MB')
('AC04652-2022-11-01-3874','A216-4','mxSuspsUyBtVZ', 'UB')
('AC04652-2022-11-01-3875','A216-5','XKvuDfQROGvS', 'SL')
('SL22517-2022-11-02-3903','S163-15','aZdNWdTvMfgUejbd', 'SL')
('SL22517-2022-11-01-3840','S160-24','yDVk', 'SU')
('SL12058-2022-11-01-3807','S159-15','eyLeBfvU', 'SL')
('AC22517-2022-11-02-3930','A219-6','zx', 'SU')
('AC22517-2022-11-01-3690','A205-18','KqvqFhAKwVsOsBL', 'SU')
('AC04652-2022-11-01-3890','A217-2','Bk', 'LB')
('SL04652-2022-11-02-3796','S159-4','YhMjuRzHOOUmUXIP', 'LB')
('SL22517-2022-11-02-3921','S164-9','i', 'LB')
('AC12058-2022-11-01-3866','A215-14','wA', 'LB')
('SL04652-2022-11-01-3869','S162-5','KhWsUUCDekP', 'MB')
('SL22517-2022-11-01-3852','S161-12','A', 'LB')
('AC04652-2022-11-02-3793','A211-13','KHtsotD', 'LB')
('SL22517-2022-11-01-3861','S161-21','rBzDkOu', 'MB')
('AC04652-2022-11-02-3797','A211-17','oxXHz', 'SL')
('AC22517-2022-11-02-3947','A220-5','ATgzK', 'SL')
('AC12058-2022-11-01-3874','A216-4','rhHYBTPwApp', 'UB')
('SL22517-2022-11-02-3937','S165-1','qMNxRHkYbZwXiWq', 'LB')
('AC22517-2022-11-01-3709','A207-1','yfrKYaQiy', 'LB')
('SL22517-2022-11-02-3939','S165-3','VLwA', 'UB')
('AC12058-2022-11-01-3881','A216-11','YFLAkYzNC', 'SL')
('SL22517-2022-11-01-3874','S162-10','zjWDVt', 'MB')
('SL22517-2022-11-01-3876','S162-12','huadIkXBqHxs', 'LB')
('AC22517-2022-11-01-3716','A207-8','nmOiSUvjU', 'LB')
('SL22517-2022-11-02-3944','S165-8','DpNXPOvWygKcYta', 'SU')
('AC04652-2022-11-02-3810','A212-12','nqbuhKKF', 'SU')
('AC12058-2022-11-01-3888','A216-18','ARAV', 'SU')
('AC22517-2022-11-01-3717','A207-9','RjhIZtMRi', 'UB')
('AC12058-2022-11-01-3889','A217-1','pUGDRKtnbz', 'LB')
('AC12058-2022-11-01-3890','A217-2','vsCsxYGylpNCv', 'LB')
('AC04652-2022-11-01-3919','A218-13','dNuuZGzDc', 'LB')
('AC22517-2022-11-01-3728','A208-2','vLL', 'LB')
('AC04652-2022-11-01-3963','A221-3','NGlcjNVXGsa', 'UB')
('AC04652-2022-11-01-3964','A221-4','hxFvoB', 'UB')
('SL22517-2022-11-02-4003','S167-19','HqHhynnZdNZmNP', 'UB')
('SL22517-2022-11-01-3924','S164-12','BcKPmuUS', 'LB')
('AC04652-2022-11-02-3860','A215-8','rFhgeJcAiBUcrQ', 'LB')
('SL12058-2022-11-01-3887','S162-23','gBovKTfn', 'SL')
('AC22517-2022-11-02-4013','A223-17','LZVzBNgOjuGO', 'SL')
('SL22517-2022-11-02-4005','S167-21','fBbheRqFGOypXf', 'MB')
('SL04652-2022-11-01-3945','S165-9','tDGrTkfpko', 'LB')
('SL22517-2022-11-01-3940','S165-4','ZLKdGhYhAC', 'LB')
('AC04652-2022-11-02-3873','A216-3','PMAYnFLf', 'UB')
('AC04652-2022-11-01-3977','A221-17','rRh', 'SL')
('AC04652-2022-11-02-3878','A216-8','n', 'LB')
('SL22517-2022-11-01-3947','S165-11','FeeJWjBTiosVad', 'UB')
('SL12058-2022-11-01-3899','S163-11','TOuxAZVOWjcrW', 'UB')
('AC04652-2022-11-02-3880','A216-10','CUUny', 'UB')
('AC04652-2022-11-01-3980','A222-2','ZBtspgtdcDMzb', 'LB')
('SL04652-2022-11-01-3957','S165-21','fJLJpPEI', 'MB')
('AC04652-2022-11-02-3885','A216-15','Zlcl', 'UB')
('AC04652-2022-11-01-3984','A222-6','QnY', 'SU')
('AC22517-2022-11-01-3780','A210-18','GAVoJikC', 'SU')
('SL12058-2022-11-01-3908','S163-20','aIPin', 'LB')
('AC22517-2022-11-02-4033','A225-1','HiXRVoi', 'LB')
('AC22517-2022-11-02-4034','A225-2','ZjOnrxSSkFeKX', 'LB')
('SL04652-2022-11-01-3965','S166-5','JwrvRBoJxpexJLM', 'MB')
('SL12058-2022-11-01-3915','S164-3','ZhCSSGYXa', 'UB')
('SL04652-2022-11-01-3967','S166-7','GCVNURkMeaP', 'SL')
('AC04652-2022-11-01-3994','A222-16','ZXGXnHwtGDNmbiji', 'UB')
('SL22517-2022-11-01-3964','S166-4','gYKF', 'LB')
('AC04652-2022-11-01-3998','A223-2','qpl', 'LB')
('SL04652-2022-11-02-3887','S162-23','DVTzwDrbf', 'SL')
('AC22517-2022-11-01-3794','A211-14','GUExLf', 'LB')
('SL12058-2022-11-01-3921','S164-9','FNKXrNaaMQixLcs', 'LB')
('SL04652-2022-11-01-3974','S166-14','xz', 'UB')
('AC22517-2022-11-02-4047','A225-15','jaiQnplfckEqMoqT', 'UB')
('SL12058-2022-11-01-3923','S164-11','VPupydzriWqj', 'UB')
('SL22517-2022-11-02-4046','S169-14','ywA', 'UB')
('AC04652-2022-11-01-4004','A223-8','UaYRHslMnd', 'LB')
('AC22517-2022-11-01-3801','A212-3','gBxTMRduHjtI', 'UB')
('SL04652-2022-11-02-3895','S163-7','iensPpFRXssSEQf', 'SL')
('AC04652-2022-11-01-4011','A223-15','VDgSxmHopB', 'UB')
('AC04652-2022-11-02-3911','A218-5','OZyxRqSESZL', 'SL')
('SL22517-2022-11-01-3984','S166-24','UvzZpBnTldnzWRrc', 'SU')
('AC04652-2022-11-02-3913','A218-7','hMsbMyiGRwjfZVV', 'LB')
('AC04652-2022-11-01-4014','A223-18','vQsaqyruhaW', 'SU')
('AC22517-2022-11-01-3813','A212-15','qfyJlwlZ', 'UB')
('AC12058-2022-11-01-3984','A222-6','mHQLnbr', 'SU')
('AC04652-2022-11-01-4016','A224-2','qVejYukIngXQQVE', 'LB')
('AC04652-2022-11-02-3917','A218-11','QtULTLRspj', 'SL')
('AC04652-2022-11-01-4018','A224-4','UATnRwTtqJGlSWQ', 'UB')
('AC12058-2022-11-01-3989','A222-11','uZOLxVjQSqJ', 'SL')
('AC12058-2022-11-01-3991','A222-13','G', 'LB')
('AC04652-2022-11-02-3922','A218-16','Yk', 'UB')
('SL04652-2022-11-01-3994','S167-10','I', 'MB')
('AC22517-2022-11-02-4069','A227-1','Tq', 'LB')
('SL22517-2022-11-01-3994','S167-10','TpBsITWGmm', 'MB')
('AC22517-2022-11-02-4070','A227-2','m', 'LB')
('AC22517-2022-11-01-3821','A213-5','Qpc', 'SL')
('AC04652-2022-11-01-4026','A224-12','vNAMzPg', 'SU')
('AC22517-2022-11-02-4074','A227-6','JC', 'SU')
('SL22517-2022-11-02-4066','S170-10','hLmqMPgRXrWoAZ', 'MB')
('AC22517-2022-11-02-4076','A227-8','hSPrUCOilagb', 'LB')
('AC12058-2022-11-01-3997','A223-1','I', 'LB')
('SL22517-2022-11-01-4004','S167-20','CLkwbfmQfQGcu', 'LB')
('SL04652-2022-11-02-3921','S164-9','nxfeRY', 'LB')
('AC22517-2022-11-01-3834','A213-18','XtCxKcayBNj', 'SU')
('AC04652-2022-11-02-3935','A219-11','q', 'SL')
('SL22517-2022-11-01-4007','S167-23','ohgKyIgAHePAaKVt', 'SL')
('SL04652-2022-11-01-4008','S167-24','km', 'SU')
('AC04652-2022-11-01-4036','A225-4','gikgI', 'UB')
('AC04652-2022-11-02-3942','A219-18','kEBTeaqGRb', 'SU')
('AC04652-2022-11-02-3943','A220-1','MufFCjCTGqeW', 'LB')
('AC04652-2022-11-02-3946','A220-4','CoSg', 'UB')
('AC12058-2022-11-01-4065','A226-15','tu', 'UB')
('SL12058-2022-11-01-4043','S169-11','dOqTehsRMNXXz', 'UB')
('SL22517-2022-11-02-4156','S174-4','yVmVHWv', 'LB')
('AC12058-2022-11-01-4068','A226-18','T', 'SU')
('AC04652-2022-11-01-4111','A229-7','lwfYwUqTiGoGxwU', 'LB')
('SL22517-2022-11-02-4186','S175-10','DaluhNIJNCvkO', 'MB')
('AC04652-2022-11-02-4054','A226-4','ZA', 'UB')
('SL04652-2022-11-02-4029','S168-21','DgbbMFCYkm', 'MB')
('SL04652-2022-11-02-4033','S169-1','RjdetxehChw', 'LB')
('SL04652-2022-11-01-4117','S172-13','ReuemwPSroUpmL', 'MB')
('SL12058-2022-11-01-4135','S173-7','cwgaicOjPKMe', 'SL')
('SL04652-2022-11-01-4160','S174-8','wfgg', 'SU')
('AC04652-2022-11-01-4210','A234-16','DVlRD', 'UB')
('AC12058-2022-11-01-4163','A232-5','ZDIA', 'SL')
('SL22517-2022-11-02-4237','S177-13','zEqfveYc', 'MB')
('AC22517-2022-11-01-3991','A222-13','cgyVynfivUAqbt', 'LB')
('SL22517-2022-11-01-4163','S174-11','LvV', 'UB')
('AC22517-2022-11-02-4254','A237-6','EKZddSerirT', 'SU')
('AC12058-2022-11-01-4167','A232-9','aGnmYj', 'UB')
('SL12058-2022-11-01-4149','S173-21','hVQFHsUrEY', 'MB')
('SL22517-2022-11-01-4165','S174-13','ixzEfTyNuLyyv', 'MB')
('SL22517-2022-11-01-4166','S174-14','MkHrbgaUvveoASYb', 'UB')
('AC04652-2022-11-02-4103','A228-17','PEsixwpDXLjM', 'SL')
('AC12058-2022-11-01-4172','A232-14','imPqDPRnllwCN', 'LB')
('AC04652-2022-11-01-4225','A235-13','AR', 'LB')
('SL04652-2022-11-01-4182','S175-6','nGvFORExmSxFGxR', 'UB')
('SL22517-2022-11-02-4250','S178-2','tazRUEGlrmTmOe', 'MB')
('SL22517-2022-11-02-4251','S178-3','GMVwQIENPJwHwNK', 'UB')
('SL04652-2022-11-01-4184','S175-8','QnlUcZHnrU', 'SU')
('SL22517-2022-11-01-4181','S175-5','SmHWTbswOMr', 'MB')
('AC04652-2022-11-02-4112','A229-8','bDD', 'LB')
('AC04652-2022-11-01-4254','A237-6','oMQOOD', 'SU')
('SL22517-2022-11-02-4283','S179-11','VJlRENDe', 'UB')
('AC04652-2022-11-02-4141','A231-1','apVwzNJZ', 'LB')
('AC04652-2022-11-02-4195','A234-1','fqQrUDKe', 'LB')
('SL22517-2022-11-02-4336','S181-16','bFhj', 'SU')
