('SL22517-2022-11-02-4','S1-4','pAYqNDgtLvy', 'LB')
('AC04652-2022-11-02-1014','A57-6','NdD', 'SU')
('AC04652-2022-11-02-1015','A57-7','KmuHtsDpvhoWR', 'LB')
('AC22517-2022-11-02-1076','A60-14','KTpsMQAnQovKOBCu', 'LB')
('AC04652-2022-11-02-1019','A57-11','eSPA', 'SL')
('SL04652-2022-11-02-988','S42-4','wfJkZMuNSrKP', 'LB')
('AC04652-2022-11-02-1023','A57-15','kWkbdipItslFR', 'UB')
('SL22517-2022-11-01-1049','S44-17','hXGaEZzOpwbX', 'LB')
('SL22517-2022-11-02-1092','S46-12','VUtxKteLNnsb', 'LB')
('SL22517-2022-11-02-1094','S46-14','nFbpHHr', 'UB')
('SL12058-2022-11-01-1058','S45-2','dx', 'MB')
('AC22517-2022-11-01-1053','A59-9','lAYblCjucjz', 'UB')
('AC22517-2022-11-01-1054','A59-10','YrabXVJYUHuin', 'UB')
('SL12058-2022-11-01-1079','S45-23','WbvSEFKgbZ', 'SL')
('SL04652-2022-11-01-1076','S45-20','xRhBrwYvJ', 'LB')
('AC12058-2022-11-01-1072','A60-10','yyOiwsVRGlhROuM', 'UB')
('SL22517-2022-11-01-1081','S46-1','HjMoxbFplYeEaRG', 'LB')
('SL22517-2022-11-02-1119','S47-15','mqy', 'SL')
('AC12058-2022-11-01-1075','A60-13','p', 'LB')
('AC04652-2022-11-01-1091','A61-11','GFstIwGeZSANYkQ', 'SL')
('AC04652-2022-11-01-1094','A61-14','C', 'LB')
('AC04652-2022-11-02-1059','A59-15','QFdSxmmWsVa', 'UB')
('SL04652-2022-11-02-1046','S44-14','Cu', 'UB')
('SL04652-2022-11-01-1083','S46-3','cVxNLzeORjR', 'UB')
('AC22517-2022-11-02-1119','A63-3','thPxUTfAxB', 'UB')
('SL22517-2022-11-02-1130','S48-2','nGDKaXaNMugBTimh', 'MB')
('AC04652-2022-11-02-1065','A60-3','gZkSp', 'UB')
('SL04652-2022-11-02-1053','S44-21','Y', 'MB')
('SL22517-2022-11-01-1091','S46-11','ceHJkphyT', 'UB')
('AC22517-2022-11-02-1124','A63-8','mb', 'LB')
('SL04652-2022-11-02-1059','S45-3','QuETi', 'UB')
('AC12058-2022-11-01-1093','A61-13','SPGbxKRysYg', 'LB')
('AC22517-2022-11-02-1127','A63-11','maqcj', 'SL')
('SL22517-2022-11-02-1138','S48-10','iXPsIJt', 'MB')
('SL04652-2022-11-02-1066','S45-10','arTxAGp', 'MB')
('SL04652-2022-11-02-1067','S45-11','QffryKDgp', 'UB')
('AC04652-2022-11-02-1108','A62-10','c', 'UB')
('SL04652-2022-11-02-1094','S46-14','jMb', 'UB')
('SL22517-2022-11-02-1166','S49-14','k', 'UB')
('AC04652-2022-11-01-1145','A64-11','mlWvNGKnaH', 'SL')
('SL04652-2022-11-01-1137','S48-9','JyYGwbBwoMdYclZ', 'LB')
('AC22517-2022-11-02-1162','A65-10','CYGWnVsXTZF', 'UB')
('AC22517-2022-11-02-1164','A65-12','XXdVJkPZ', 'SU')
('SL04652-2022-11-02-1101','S46-21','VKEVlxSfnYe', 'MB')
('AC04652-2022-11-01-1149','A64-15','gKziFxor', 'UB')
('AC12058-2022-11-01-1125','A63-9','jFkVhj', 'UB')
('AC04652-2022-11-01-1151','A64-17','VuMVjGAFxEmEb', 'SL')
('AC12058-2022-11-01-1127','A63-11','N', 'SL')
('AC04652-2022-11-02-1121','A63-5','KOoEQHqDgfh', 'SL')
('SL22517-2022-11-01-1144','S48-16','ZjGQFDNffbe', 'SU')
('SL04652-2022-11-01-1143','S48-15','ArZdtstZvD', 'SL')
('SL04652-2022-11-02-1107','S47-3','FTjmDYCH', 'UB')
('AC04652-2022-11-02-1125','A63-9','xzEdxuiLHUKndA', 'UB')
('SL04652-2022-11-01-1145','S48-17','nU', 'LB')
('AC22517-2022-11-02-1178','A66-8','lsb', 'LB')
('AC04652-2022-11-02-1130','A63-14','lVtaVNOJRk', 'LB')
('AC22517-2022-11-01-1131','A63-15','iokkNDVmiUakoiC', 'UB')
('SL04652-2022-11-01-1153','S49-1','kGRuaqmU', 'LB')
('AC04652-2022-11-01-1180','A66-10','QXj', 'UB')
('SL04652-2022-11-02-1126','S47-22','PBnfYK', 'UB')
('AC12058-2022-11-01-1149','A64-15','gvDvgohgCWCKd', 'UB')
('AC22517-2022-11-02-1196','A67-8','Y', 'LB')
('AC04652-2022-11-02-1147','A64-13','ziNay', 'LB')
('AC04652-2022-11-01-1184','A66-14','cHpaRVkS', 'LB')
('SL04652-2022-11-02-1133','S48-5','BXZAx', 'MB')
('SL04652-2022-11-01-1165','S49-13','rkgRJbXgZcpZwmN', 'MB')
('AC22517-2022-11-02-1202','A67-14','gLwPErQwXB', 'LB')
('AC22517-2022-11-02-1203','A67-15','iTsknSjuKSjHfEXE', 'UB')
('SL22517-2022-11-02-1209','S51-9','anOPNIBgPqPJoRZi', 'LB')
('SL04652-2022-11-01-1168','S49-16','UgmN', 'SU')
('AC12058-2022-11-01-1165','A65-13','EZfgHQmLbbME', 'LB')
('SL22517-2022-11-02-1215','S51-15','bVQRdKRBiqhTNENg', 'SL')
('AC22517-2022-11-01-1158','A65-6','wtXVCJPgfyQiy', 'SU')
('AC22517-2022-11-01-1190','A67-2','GTPoMuE', 'LB')
('AC22517-2022-11-01-1194','A67-6','vsPGcfcjNOhKW', 'SU')
('AC22517-2022-11-01-1195','A67-7','XTPBDQoTTZx', 'LB')
('SL22517-2022-11-01-1233','S52-9','NecRQtyXKu', 'LB')
('AC22517-2022-11-01-1197','A67-9','hacSfHfDBknZw', 'UB')
('SL12058-2022-11-01-1209','S51-9','RzLpM', 'LB')
('SL04652-2022-11-01-1224','S51-24','WZExTt', 'SU')
('AC04652-2022-11-01-1247','A70-5','cRaVvseJaeU', 'SL')
('AC22517-2022-11-02-1253','A70-11','YLIcEvAFxrMDukg', 'SL')
('AC22517-2022-11-01-1201','A67-13','GFmquUzgEm', 'LB')
('AC04652-2022-11-02-1209','A68-3','qKsygJ', 'UB')
('SL04652-2022-11-01-1227','S52-3','QEoGCtDpkFTJjhDr', 'UB')
('AC22517-2022-11-01-1204','A67-16','sTr', 'UB')
('AC22517-2022-11-02-1256','A70-14','jSLuT', 'LB')
('AC04652-2022-11-01-1252','A70-10','uEzcteLNKqJBMO', 'UB')
('SL12058-2022-11-01-1214','S51-14','wzNUo', 'UB')
('AC22517-2022-11-01-1207','A68-1','XHJtB', 'LB')
('AC04652-2022-11-02-1216','A68-10','psHaWlYGwbjwK', 'UB')
('SL22517-2022-11-01-1249','S53-1','xlnUQJLZcPIkjn', 'LB')
('SL04652-2022-11-02-1207','S51-7','rOuecowJoFfDB', 'SL')
('SL04652-2022-11-01-1236','S52-12','qqFVtLxN', 'LB')
('SL04652-2022-11-01-1237','S52-13','m', 'MB')
('SL22517-2022-11-02-1274','S54-2','uCTkC', 'MB')
('AC12058-2022-11-01-1234','A69-10','ekoOMsHss', 'UB')
('SL22517-2022-11-01-1256','S53-8','UL', 'SU')
('SL04652-2022-11-02-1215','S51-15','B', 'SL')
('AC12058-2022-11-01-1239','A69-15','pUxzJC', 'UB')
('AC22517-2022-11-02-1270','A71-10','PRxTr', 'UB')
('SL22517-2022-11-01-1262','S53-14','ZOxYlXzKXmcAIcJJ', 'UB')
('SL22517-2022-11-01-1263','S53-15','LomIsJPyTNkDPfh', 'SL')
('SL12058-2022-11-01-1233','S52-9','bYPziYVZegcq', 'LB')
('AC22517-2022-11-02-1276','A71-16','UST', 'UB')
('AC04652-2022-11-01-1274','A71-14','UEMlorCyKgxczUPT', 'LB')
('AC22517-2022-11-02-1280','A72-2','pqNTOUOGrVV', 'LB')
('SL22517-2022-11-01-1291','S54-19','xfrkcsUtLHcpJT', 'UB')
('AC12058-2022-11-01-1287','A72-9','YPDZKMjjlrUG', 'UB')
('SL04652-2022-11-02-1267','S53-19','PmmJcvcleZyGVRV', 'UB')
('SL22517-2022-11-02-1335','S56-15','zAWZpeGbWM', 'SL')
('AC04652-2022-11-02-1270','A71-10','ezczyRhJFS', 'UB')
('AC04652-2022-11-01-1309','A73-13','KSBbbJOejN', 'LB')
('AC04652-2022-11-01-1310','A73-14','YrMFVtSq', 'LB')
('AC22517-2022-11-02-1324','A74-10','TNQLSWbWUdS', 'UB')
('SL04652-2022-11-02-1276','S54-4','bWWPJrwmFwMOwe', 'LB')
('AC22517-2022-11-02-1326','A74-12','ZtdPfgqLMpsuN', 'SU')
('SL04652-2022-11-01-1301','S55-5','KaNRVjJ', 'MB')
('AC22517-2022-11-02-1328','A74-14','CceyU', 'LB')
('AC22517-2022-11-02-1330','A74-16','OMR', 'UB')
('AC12058-2022-11-01-1304','A73-8','VjPvkCEVJuDgeV', 'LB')
('SL22517-2022-11-02-1342','S56-22','iUzIoCspGkpFXbLg', 'UB')
('AC04652-2022-11-01-1318','A74-4','JRaBdaSwqEyTXyon', 'UB')
('SL22517-2022-11-01-1298','S55-2','aaSNTqHoRrHnKE', 'MB')
('AC12058-2022-11-01-1306','A73-10','J', 'UB')
('AC22517-2022-11-02-1337','A75-5','pwKmstAvsP', 'SL')
('SL04652-2022-11-01-1308','S55-12','W', 'LB')
('AC04652-2022-11-01-1324','A74-10','ibGq', 'UB')
('AC22517-2022-11-02-1340','A75-8','hwDCMixGCyR', 'LB')
('AC12058-2022-11-01-1312','A73-16','zo', 'UB')
('AC22517-2022-11-01-1282','A72-4','IjPipRFsI', 'UB')
('AC04652-2022-11-02-1288','A72-10','fvRUsm', 'UB')
('SL22517-2022-11-02-1351','S57-7','SEYbunNMIP', 'SL')
('AC12058-2022-11-01-1323','A74-9','Bl', 'UB')
('AC22517-2022-11-01-1291','A72-13','QqaavSy', 'LB')
('SL04652-2022-11-01-1317','S55-21','BjwS', 'MB')
('AC04652-2022-11-02-1301','A73-5','oT', 'SL')
('SL22517-2022-11-01-1317','S55-21','xqa', 'MB')
('SL22517-2022-11-01-1318','S55-22','uJHgTUxlOqwyBI', 'UB')
('SL04652-2022-11-01-1319','S55-23','rdoYOR', 'SL')
('SL04652-2022-11-01-1322','S56-2','cD', 'MB')
('SL04652-2022-11-01-1325','S56-5','QgoWC', 'MB')
('AC22517-2022-11-01-1299','A73-3','Oud', 'UB')
('AC22517-2022-11-02-1355','A76-5','kzgHzkN', 'SL')
('AC04652-2022-11-01-1341','A75-9','WILKeIreWrASyo', 'UB')
('SL04652-2022-11-01-1328','S56-8','dMLmOpDdnjQD', 'SU')
('AC04652-2022-11-02-1311','A73-15','r', 'UB')
('SL04652-2022-11-01-1332','S56-12','Yc', 'LB')
('SL22517-2022-11-01-1326','S56-6','tzy', 'UB')
('SL22517-2022-11-01-1328','S56-8','DC', 'SU')
('SL22517-2022-11-02-1367','S57-23','apuBRyUnIEyC', 'SL')
('SL04652-2022-11-01-1336','S56-16','JBXQflPF', 'SU')
('AC22517-2022-11-01-1306','A73-10','eUADZGOIhUBuitYv', 'UB')
('SL04652-2022-11-02-1309','S55-13','UsG', 'MB')
('SL22517-2022-11-01-1332','S56-12','QH', 'LB')
('AC22517-2022-11-01-1309','A73-13','WtsMDgWOlLfTy', 'LB')
('AC04652-2022-11-01-1348','A75-16','GLNPBSaERqHHcC', 'UB')
('AC22517-2022-11-01-1311','A73-15','GdqNOKMOXkptQ', 'UB')
('AC04652-2022-11-01-1350','A75-18','uJR', 'SU')
('SL04652-2022-11-02-1313','S55-17','WIhtVDrSTP', 'LB')
('SL04652-2022-11-02-1314','S55-18','BtRCd', 'MB')
('SL22517-2022-11-02-1371','S58-3','X', 'UB')
('SL04652-2022-11-01-1342','S56-22','mEoeWygUhDRQte', 'UB')
('SL04652-2022-11-02-1315','S55-19','jHOczxZfluiPZvo', 'UB')
('SL22517-2022-11-01-1338','S56-18','jUVrklHkGQ', 'MB')
('AC04652-2022-11-01-1354','A76-4','Pbt', 'UB')
('SL22517-2022-11-01-1339','S56-19','eEbDTIeICB', 'UB')
('AC04652-2022-11-01-1357','A76-7','SrTmZFNvfskes', 'LB')
('SL22517-2022-11-02-1377','S58-9','BWLFMx', 'LB')
('AC12058-2022-11-01-1346','A75-14','feKtJoCcTso', 'LB')
('SL04652-2022-11-02-1322','S56-2','itXitiCbnVEW', 'MB')
('AC22517-2022-11-01-1349','A75-17','qEvjph', 'SL')
('AC22517-2022-11-01-1350','A75-18','Vzk', 'SU')
('AC04652-2022-11-02-1355','A76-5','UjCEnWwmwNbYF', 'SL')
('AC04652-2022-11-01-1396','A78-10','eHDMTnxQ', 'UB')
('SL22517-2022-11-02-1408','S59-16','YwoxrG', 'SU')
('SL12058-2022-11-01-1362','S57-18','CXJIPg', 'MB')
('SL04652-2022-11-01-1380','S58-12','ZnorN', 'LB')
('AC22517-2022-11-01-1365','A76-15','brCKDEUoz', 'UB')
('SL04652-2022-11-01-1382','S58-14','TzTZpyrlSApAQbn', 'UB')
('AC04652-2022-11-02-1368','A76-18','LfDsJfwMSzr', 'SU')
('SL04652-2022-11-02-1363','S57-19','TmxcpcuLkMqwrX', 'UB')
('AC12058-2022-11-01-1390','A78-4','BcGFDsLhOQc', 'UB')
('SL12058-2022-11-01-1371','S58-3','PA', 'UB')
('SL12058-2022-11-01-1372','S58-4','APChEFxXx', 'LB')
('AC22517-2022-11-02-1417','A79-13','fKBbjQsjHu', 'LB')
('SL22517-2022-11-02-1424','S60-8','qKfrqqagxxsgw', 'SU')
('SL22517-2022-11-02-1425','S60-9','JLmMsT', 'LB')
('SL22517-2022-11-01-1388','S58-20','y', 'LB')
('SL22517-2022-11-02-1432','S60-16','upNIFvvkwcL', 'SU')
('SL22517-2022-11-02-1441','S61-1','hOQ', 'LB')
('SL22517-2022-11-01-1396','S59-4','qpYf', 'LB')
('SL04652-2022-11-02-1429','S60-13','eahrOulhpaIig', 'MB')
('SL12058-2022-11-01-1426','S60-10','kCUIFZYlWR', 'MB')
('AC22517-2022-11-02-1491','A83-15','I', 'UB')
('AC22517-2022-11-01-1432','A80-10','OOwCCmrNMToeMHY', 'UB')
('AC12058-2022-11-01-1468','A82-10','QZJUVLuhnpEdysgV', 'UB')
('SL22517-2022-11-02-1489','S63-1','CaMpRCnjloNW', 'LB')
('SL04652-2022-11-02-1436','S60-20','in', 'LB')
('SL12058-2022-11-01-1432','S60-16','hHqDUKYQYr', 'SU')
('AC12058-2022-11-01-1473','A82-15','tsguUwTDU', 'UB')
('AC04652-2022-11-02-1425','A80-3','uDF', 'UB')
('SL04652-2022-11-02-1440','S60-24','ZDimI', 'SU')
('AC04652-2022-11-01-1516','A85-4','JqbPQi', 'UB')
('AC12058-2022-11-01-1505','A84-11','mGO', 'SL')
('AC04652-2022-11-02-1456','A81-16','xSpPeiVNynf', 'UB')
('SL04652-2022-11-02-1476','S62-12','Rc', 'LB')
('SL04652-2022-11-01-1507','S63-19','DavlW', 'UB')
('AC04652-2022-11-01-1522','A85-10','FqKqZYjPnXdY', 'UB')
('SL12058-2022-11-01-1465','S62-1','HJujUpbEvivT', 'LB')
('SL04652-2022-11-01-1510','S63-22','TleqkzckvdTQdm', 'UB')
('AC22517-2022-11-02-1535','A86-5','hwBUP', 'SL')
('AC04652-2022-11-02-1463','A82-5','uMJHtyYWHQfD', 'SL')
('AC22517-2022-11-02-1539','A86-9','wcKvepvBMJz', 'UB')
('SL22517-2022-11-02-1547','S65-11','nIUCClSb', 'UB')
('AC22517-2022-11-02-1595','A89-11','yU', 'SL')
('SL12058-2022-11-01-1544','S65-8','ZviTE', 'SU')
('AC04652-2022-11-01-1639','A92-1','IXNIyveWypxt', 'LB')
('SL12058-2022-11-01-1599','S67-15','WmrgxDVF', 'SL')
('AC04652-2022-11-02-1556','A87-8','YAHyDSi', 'LB')
('SL22517-2022-11-01-1612','S68-4','oHtWrwkxV', 'LB')
('SL12058-2022-11-01-1604','S67-20','hSgdgOYR', 'LB')
('AC12058-2022-11-01-1624','A91-4','vnL', 'UB')
('AC04652-2022-11-01-1649','A92-11','POyGrVdhbpGkvRH', 'SL')
('SL22517-2022-11-01-1617','S68-9','fMWlUSm', 'LB')
('SL12058-2022-11-01-1609','S68-1','mEpoDRQkvDuqKNRz', 'LB')
('AC22517-2022-11-02-1644','A92-6','WznENZIkEycmyal', 'SU')
('SL22517-2022-11-02-1658','S70-2','YmLkz', 'MB')
('AC22517-2022-11-01-1572','A88-6','NMfO', 'SU')
('AC12058-2022-11-01-1632','A91-12','JKILVvcjXXBWKm', 'SU')
('SL22517-2022-11-01-1624','S68-16','zNwfjjQ', 'SU')
('SL22517-2022-11-02-1664','S70-8','jrMBGL', 'SU')
('SL22517-2022-11-02-1665','S70-9','UTsA', 'LB')
('SL04652-2022-11-01-1654','S69-22','jiZBVfcIkbwkin', 'UB')
('AC22517-2022-11-02-1686','A94-12','IAkmEBtXbVD', 'SU')
('AC04652-2022-11-02-1603','A90-1','KcTDbrpkGOzVQcH', 'LB')
('SL04652-2022-11-01-1661','S70-5','qBuWS', 'MB')
('AC22517-2022-11-01-1607','A90-5','XdhLVzBefHyDC', 'SL')
('SL22517-2022-11-01-1667','S70-11','DrKAZrKNWJH', 'UB')
('SL22517-2022-11-01-1670','S70-14','mEyZiVaigsLSqoTX', 'UB')
('SL22517-2022-11-02-1715','S72-11','xcUJfXPBXn', 'UB')
('SL12058-2022-11-01-1655','S69-23','XdS', 'SL')
('SL04652-2022-11-02-1644','S69-12','ZH', 'LB')
('SL22517-2022-11-01-1676','S70-20','Bj', 'LB')
('SL22517-2022-11-02-1720','S72-16','zssX', 'SU')
('AC22517-2022-11-02-1711','A96-1','nWI', 'LB')
('AC12058-2022-11-01-1680','A94-6','aeFPHOhyDgDAb', 'SU')
('AC04652-2022-11-01-1719','A96-9','bslNt', 'UB')
('SL04652-2022-11-02-1658','S70-2','ZRlJbNQRf', 'MB')
('SL22517-2022-11-01-1685','S71-5','wtyjIIQqfirjBdSv', 'MB')
('SL22517-2022-11-01-1688','S71-8','Ct', 'SU')
('AC22517-2022-11-02-1725','A96-15','MhtYZVkP', 'UB')
('SL12058-2022-11-01-1696','S71-16','bObdUZWTWx', 'SU')
('SL04652-2022-11-02-1697','S71-17','JTpcvwNtNbujCprn', 'LB')
('AC04652-2022-11-01-1795','A100-13','F', 'LB')
('SL04652-2022-11-01-1740','S73-12','RqbGIKxL', 'LB')
('SL22517-2022-11-02-1775','S74-23','aRcXQACDhLY', 'SL')
('SL22517-2022-11-02-1778','S75-2','FtsKUotGdSglW', 'MB')
('SL04652-2022-11-01-1743','S73-15','IzueCZE', 'SL')
('SL22517-2022-11-01-1777','S75-1','qLjZQLTGb', 'LB')
('AC22517-2022-11-01-1703','A95-11','l', 'SL')
('AC12058-2022-11-01-1759','A98-13','DanobtSN', 'LB')
('AC12058-2022-11-01-1763','A98-17','XIPeMLzBkKbTUlQP', 'SL')
('SL22517-2022-11-01-1783','S75-7','xlCpRcPJSGkHTfU', 'SL')
('AC04652-2022-11-01-1819','A102-1','AZOQhLhQ', 'LB')
('SL04652-2022-11-01-1760','S74-8','bgpozlEwELS', 'SU')
('AC04652-2022-11-01-1822','A102-4','gTmLqCurWGWxlant', 'UB')
('AC04652-2022-11-01-1825','A102-7','zFskvGEGEcJrTY', 'LB')
('AC12058-2022-11-01-1782','A99-18','hkqzvDZFQbLYF', 'SU')
('SL22517-2022-11-01-1808','S76-8','qshvnobnJe', 'SU')
('SL22517-2022-11-01-1809','S76-9','mK', 'LB')
('SL04652-2022-11-02-1766','S74-14','zNYbREeoO', 'UB')
('AC04652-2022-11-01-1887','A105-15','wmmKlHvGxindLBX', 'UB')
('SL12058-2022-11-01-1821','S76-21','DvUXirlMrljazeG', 'MB')
('AC22517-2022-11-02-1946','A109-2','NYbenPoqFnz', 'LB')
('SL22517-2022-11-02-1941','S81-21','CsAsvilJKISIRz', 'MB')
('SL04652-2022-11-02-1885','S79-13','FNih', 'MB')
('SL22517-2022-11-02-1948','S82-4','nRTAOKSwktkhLbk', 'LB')
('AC04652-2022-11-02-1856','A104-2','t', 'LB')
('AC04652-2022-11-02-1857','A104-3','V', 'UB')
('AC22517-2022-11-01-1867','A104-13','KKEYvkO', 'LB')
('SL04652-2022-11-02-1895','S79-23','pmUxZyK', 'SL')
('SL12058-2022-11-01-1893','S79-21','AsUyQuSWS', 'MB')
('AC12058-2022-11-01-1937','A108-11','lvyctpVtsnRSTH', 'SL')
('SL04652-2022-11-02-1897','S80-1','ULdqzZJpneiYgs', 'LB')
('AC12058-2022-11-01-1938','A108-12','iVfu', 'SU')
('AC12058-2022-11-01-1939','A108-13','JtPGyHaKDxpcU', 'LB')
('SL22517-2022-11-01-1953','S82-9','WrAmhNP', 'LB')
('AC12058-2022-11-01-1940','A108-14','SmrYKWzPaY', 'LB')
('AC04652-2022-11-01-1976','A110-14','qMEwiPPiYHb', 'LB')
('AC12058-2022-11-01-1942','A108-16','bDD', 'UB')
('AC22517-2022-11-01-1875','A105-3','DCxOwVtigNisE', 'UB')
('SL22517-2022-11-01-1956','S82-12','BUjCzKpwB', 'LB')
('AC22517-2022-11-02-1970','A110-8','EGZBMOCXkY', 'LB')
('SL22517-2022-11-02-1966','S82-22','idwHgpDUiHKI', 'UB')
('AC22517-2022-11-01-1878','A105-6','ckMB', 'SU')
('SL22517-2022-11-02-1968','S82-24','vnj', 'SU')
('SL04652-2022-11-01-1953','S82-9','PXtz', 'LB')
('AC04652-2022-11-01-1988','A111-8','irY', 'LB')
('SL04652-2022-11-01-1959','S82-15','TpiUCMBlF', 'SL')
('SL22517-2022-11-01-1966','S82-22','ZCvvLZ', 'UB')
('AC04652-2022-11-01-1990','A111-10','UPlZIUHcyMAjxP', 'UB')
('SL04652-2022-11-02-1914','S80-18','AmWpKX', 'MB')
('AC04652-2022-11-02-1885','A105-13','YPiunZmydyXJt', 'LB')
('SL22517-2022-11-01-1976','S83-8','NzrP', 'SU')
('SL04652-2022-11-01-1974','S83-6','nemaAPcT', 'UB')
('SL12058-2022-11-01-1926','S81-6','HVb', 'UB')
('SL04652-2022-11-01-1976','S83-8','Xt', 'SU')
('AC22517-2022-11-01-1898','A106-8','Nly', 'LB')
('AC04652-2022-11-02-1903','A106-13','OT', 'LB')
('AC22517-2022-11-01-1902','A106-12','ZsBJpLhlV', 'SU')
('AC12058-2022-11-01-1972','A110-10','W', 'UB')
('AC22517-2022-11-02-2008','A112-10','FGKQcAXMyaXQehH', 'UB')
('SL12058-2022-11-01-1942','S81-22','aETaouGqxubZCCcq', 'UB')
('SL22517-2022-11-02-2010','S84-18','AXsxpBFdUeaWPu', 'MB')
('SL04652-2022-11-02-1944','S81-24','bHJiEqqzgDE', 'SU')
('SL12058-2022-11-01-1955','S82-11','I', 'UB')
('AC22517-2022-11-02-2024','A113-8','cPEXzPPZjLjcLY', 'LB')
('SL22517-2022-11-01-2002','S84-10','pihF', 'MB')
('AC22517-2022-11-01-1914','A107-6','YeVGUJEkFXdGp', 'SU')
('AC22517-2022-11-02-2027','A113-11','GhPruczMPyG', 'SL')
('SL12058-2022-11-01-1960','S82-16','RDrjwXycFw', 'SU')
('AC04652-2022-11-01-2032','A113-16','LxQRDtNOmiDmcCjT', 'UB')
('AC12058-2022-11-01-1999','A112-1','DBRwpjN', 'LB')
('SL22517-2022-11-01-2012','S84-20','yNksmbODy', 'LB')
('AC04652-2022-11-02-1929','A108-3','K', 'UB')
('SL22517-2022-11-02-2022','S85-6','uOkCXrjGYcT', 'UB')
('SL22517-2022-11-02-2023','S85-7','bkOWBdWnLXPLOyNI', 'SL')
('AC22517-2022-11-02-2037','A114-3','ENFckuRRbdm', 'UB')
('AC04652-2022-11-01-2042','A114-8','AfzusZHOevcSp', 'LB')
('AC22517-2022-11-02-2042','A114-8','rUZVh', 'LB')
('AC22517-2022-11-01-1936','A108-10','ndMySgVVscsvMUdJ', 'UB')
('SL22517-2022-11-01-2019','S85-3','tHn', 'UB')
('SL04652-2022-11-01-2032','S85-16','JvFQ', 'SU')
('AC04652-2022-11-02-1947','A109-3','LXTjHa', 'UB')
('AC12058-2022-11-01-2017','A113-1','gbj', 'LB')
('SL04652-2022-11-02-1981','S83-13','Hcwy', 'MB')
('SL22517-2022-11-02-2041','S86-1','JexIeKrxpAnH', 'LB')
('SL04652-2022-11-01-2040','S85-24','JlIKRRyWqOmSr', 'SU')
('SL04652-2022-11-02-1984','S83-16','Pqmfhw', 'SU')
('SL04652-2022-11-02-1985','S83-17','LqHUrGyjsXJD', 'LB')
('AC22517-2022-11-01-1947','A109-3','rXzdrqzxD', 'UB')
('SL04652-2022-11-02-1987','S83-19','VWU', 'UB')
('SL22517-2022-11-01-2040','S85-24','EbnpJOocgqaejfjd', 'SU')
('AC04652-2022-11-02-1957','A109-13','oMTGTnkWOGREC', 'LB')
('AC22517-2022-11-02-2064','A115-12','vMbxikkqOlJfwW', 'SU')
('AC22517-2022-11-01-1954','A109-10','gfJCpuKLOtW', 'UB')
('AC22517-2022-11-01-1955','A109-11','RGGmmShH', 'SL')
('SL04652-2022-11-01-2053','S86-13','MeQMwQYGKGpKEwA', 'MB')
('SL22517-2022-11-01-2046','S86-6','uhsZHXi', 'UB')
('AC04652-2022-11-02-1964','A110-2','znVYkFHS', 'LB')
('SL04652-2022-11-02-1998','S84-6','rfUZsDHTl', 'UB')
('AC04652-2022-11-01-2065','A115-13','urdalKiRG', 'LB')
('SL12058-2022-11-01-2014','S84-22','pqfLkhZdQFKX', 'UB')
('AC04652-2022-11-01-2069','A115-17','mDVhkwkTEnP', 'SL')
('AC12058-2022-11-01-2031','A113-15','UKSaHm', 'UB')
('SL22517-2022-11-01-2048','S86-8','gyXx', 'SU')
('AC22517-2022-11-02-2075','A116-5','iBVwJWOsTp', 'SL')
('AC04652-2022-11-02-1976','A110-14','NqNdA', 'LB')
('SL22517-2022-11-02-2061','S86-21','W', 'MB')
('AC04652-2022-11-02-1983','A111-3','sgGwujoDe', 'UB')
('AC22517-2022-11-02-2089','A117-1','PM', 'LB')
('SL12058-2022-11-01-2029','S85-13','TtlhsWR', 'MB')
('SL04652-2022-11-01-2080','S87-16','mi', 'SU')
('SL22517-2022-11-02-2072','S87-8','t', 'SU')
('SL04652-2022-11-01-2082','S87-18','rglAsihZsOdF', 'MB')
('AC22517-2022-11-01-1984','A111-4','lQALxJaiMAXCidyC', 'UB')
('SL12058-2022-11-01-2077','S87-13','qCNQm', 'MB')
('AC12058-2022-11-01-2095','A117-7','CXwbZyWwrw', 'LB')
('AC22517-2022-11-02-2134','A119-10','NvlIu', 'UB')
('SL22517-2022-11-02-2122','S89-10','CppNzTVznVMSczK', 'MB')
('SL04652-2022-11-02-2121','S89-9','BTZ', 'LB')
('SL22517-2022-11-01-2156','S90-20','ZdkjHnKId', 'LB')
('SL22517-2022-11-02-2163','S91-3','KRVyyTJrKzO', 'UB')
('SL04652-2022-11-02-2127','S89-15','xwUwmVk', 'SL')
('AC22517-2022-11-02-2177','A121-17','pOxqoqreOBoiUUi', 'SL')
('AC22517-2022-11-02-2178','A121-18','eIldIjlBZGPEX', 'SU')
('AC22517-2022-11-01-2074','A116-4','hCpla', 'UB')
('AC22517-2022-11-02-2183','A122-5','pvFcUEERe', 'SL')
('AC12058-2022-11-01-2132','A119-8','zvWfAwaDPoYLXvk', 'LB')
('SL22517-2022-11-01-2167','S91-7','DUSRtlpODKEyb', 'SL')
('AC22517-2022-11-01-2078','A116-8','HUiVzxa', 'LB')
('AC22517-2022-11-01-2079','A116-9','LMMFiOosubAWI', 'UB')
('AC04652-2022-11-02-2100','A117-12','uXvaalQlhRc', 'SU')
('SL22517-2022-11-01-2169','S91-9','a', 'LB')
('AC12058-2022-11-01-2139','A119-15','fVSWP', 'UB')
('AC12058-2022-11-01-2140','A119-16','tFjSOiT', 'UB')
