('AC12058-2022-11-01-16','A1-16','ieJ', 'UB')
('SL04652-2022-11-02-1271','S53-23','EPyESvULsgn', 'SL')
('AC22517-2022-11-01-1264','A71-4','fTDqKyCpcW', 'UB')
('AC22517-2022-11-01-1265','A71-5','chMCPn', 'SL')
('AC22517-2022-11-01-1266','A71-6','MippAtxzWwxeC', 'SU')
('SL04652-2022-11-01-1302','S55-6','fmvpFvfYS', 'UB')
('AC22517-2022-11-01-1335','A75-3','iVOiu', 'UB')
('AC22517-2022-11-02-1388','A78-2','MlfYqq', 'LB')
('SL22517-2022-11-02-1394','S59-2','YCjkXii', 'MB')
('AC04652-2022-11-02-1341','A75-9','UWwiN', 'UB')
('SL22517-2022-11-02-1395','S59-3','N', 'UB')
('AC04652-2022-11-02-1345','A75-13','E', 'LB')
('AC12058-2022-11-01-1401','A78-15','VLV', 'UB')
('AC04652-2022-11-02-1378','A77-10','zvuNfPxlRq', 'UB')
('AC12058-2022-11-01-1404','A78-18','pNQxqPycVwwDCJ', 'SU')
('SL12058-2022-11-01-1384','S58-16','xNOrXYUzjhLxD', 'SU')
('AC22517-2022-11-01-1389','A78-3','wbbgCkIuZYgBl', 'UB')
('SL12058-2022-11-01-1388','S58-20','AMUAXajcBeFN', 'LB')
('SL04652-2022-11-02-1381','S58-13','yaBV', 'MB')
('SL22517-2022-11-01-1399','S59-7','gyHyHQ', 'SL')
('SL04652-2022-11-01-1408','S59-16','iPMsdAPqRFvMho', 'SU')
('AC22517-2022-11-01-1394','A78-8','Yorusv', 'LB')
('AC04652-2022-11-01-1430','A80-8','QaFxEWr', 'LB')
('SL22517-2022-11-01-1403','S59-11','goUUXu', 'UB')
('SL22517-2022-11-02-1466','S62-2','oEZzOPLrLfFp', 'MB')
('SL22517-2022-11-01-1427','S60-11','ep', 'UB')
('AC22517-2022-11-01-1417','A79-13','Y', 'LB')
('SL04652-2022-11-02-1411','S59-19','yfOYKHOt', 'UB')
('AC12058-2022-11-01-1445','A81-5','TGlQhFhVxYQ', 'SL')
('SL04652-2022-11-02-1413','S59-21','xti', 'MB')
('SL04652-2022-11-01-1446','S61-6','WIpOYgoAxFnaRuYq', 'UB')
('SL22517-2022-11-01-1432','S60-16','eBxuwMj', 'SU')
('AC04652-2022-11-02-1402','A78-16','BYzFCg', 'UB')
('AC04652-2022-11-02-1403','A78-17','PxFlNQZpuZ', 'SL')
('AC04652-2022-11-01-1464','A82-6','plzkUJZoBJUvKl', 'SU')
('SL04652-2022-11-01-1455','S61-15','fHILwbhIF', 'SL')
('SL04652-2022-11-02-1423','S60-7','nhmewPzEVgjLV', 'SL')
('AC12058-2022-11-01-1459','A82-1','DQGjvNtJlw', 'LB')
('SL04652-2022-11-01-1459','S61-19','eRLsCvztEDoHt', 'UB')
('AC12058-2022-11-01-1462','A82-4','M', 'UB')
('AC22517-2022-11-01-1427','A80-5','gI', 'SL')
('SL12058-2022-11-01-1424','S60-8','AsU', 'SU')
('SL04652-2022-11-01-1468','S62-4','kNwQTjQ', 'LB')
('AC22517-2022-11-02-1497','A84-3','MIHJmhfkOmFu', 'UB')
('AC22517-2022-11-01-1436','A80-14','nSbOEmKNxC', 'LB')
('SL12058-2022-11-01-1430','S60-14','QKzbscmKurim', 'UB')
('SL22517-2022-11-02-1505','S63-17','DRSr', 'LB')
('AC12058-2022-11-01-1481','A83-5','idV', 'SL')
('AC12058-2022-11-01-1482','A83-6','LzMcEDQt', 'SU')
('AC04652-2022-11-01-1527','A85-15','leTuDQfpflTDEA', 'UB')
('SL22517-2022-11-02-1549','S65-13','j', 'MB')
('SL22517-2022-11-02-1550','S65-14','n', 'UB')
('SL12058-2022-11-01-1474','S62-10','TbDxOtkzAJvhTobh', 'MB')
('SL12058-2022-11-01-1475','S62-11','DCJTtDhDBYdaTXi', 'UB')
('SL22517-2022-11-01-1499','S63-11','OcQyjN', 'UB')
('SL12058-2022-11-01-1482','S62-18','zfsytVwxnXOmS', 'MB')
('SL12058-2022-11-01-1483','S62-19','hrVD', 'UB')
('AC22517-2022-11-02-1550','A87-2','eKkarWTjNCtDLw', 'LB')
('AC04652-2022-11-01-1538','A86-8','GAzsqbHDyfcqUK', 'LB')
('AC22517-2022-11-02-1558','A87-10','MRUz', 'UB')
('SL04652-2022-11-02-1504','S63-16','oyAQArzxGeRBBN', 'SU')
('SL12058-2022-11-01-1495','S63-7','JIlNE', 'SL')
('AC04652-2022-11-01-1545','A86-15','FG', 'UB')
('SL04652-2022-11-01-1532','S64-20','CqzInddJjD', 'LB')
('SL04652-2022-11-02-1509','S63-21','BIZuWHUmxsMY', 'MB')
('AC22517-2022-11-01-1487','A83-11','T', 'SL')
('AC04652-2022-11-02-1495','A84-1','JcHRgDMV', 'LB')
('AC12058-2022-11-01-1548','A86-18','wtVYZnzsYpixQ', 'SU')
('AC04652-2022-11-02-1498','A84-4','OwVqEZwVfbSbPc', 'UB')
('SL22517-2022-11-01-1530','S64-18','mGmqfeZBWe', 'MB')
('AC12058-2022-11-01-1550','A87-2','XhnZQ', 'LB')
('SL04652-2022-11-02-1526','S64-14','aqQXOxNd', 'UB')
('AC12058-2022-11-01-1552','A87-4','Cg', 'UB')
('AC04652-2022-11-02-1502','A84-8','WEmeDLXhYRH', 'LB')
('AC04652-2022-11-01-1561','A87-13','euVQX', 'LB')
('SL04652-2022-11-01-1550','S65-14','HZxvasWsSnWqAJvj', 'UB')
('SL22517-2022-11-02-1583','S66-23','BgFAwC', 'SL')
('AC12058-2022-11-01-1558','A87-10','DiejnqeqBAglOf', 'UB')
('AC12058-2022-11-01-1559','A87-11','c', 'SL')
('AC12058-2022-11-01-1567','A88-1','vDHYxIPtRIhx', 'LB')
('AC04652-2022-11-02-1513','A85-1','JkWiiyiJYp', 'LB')
('SL04652-2022-11-02-1537','S65-1','hxvGmIJLB', 'LB')
('AC22517-2022-11-01-1505','A84-11','iKlflX', 'SL')
('AC04652-2022-11-02-1517','A85-5','KMWCGtTOJj', 'SL')
('AC04652-2022-11-02-1518','A85-6','DsjxGbTvZHBlaf', 'SU')
('AC04652-2022-11-02-1520','A85-8','FBT', 'LB')
('AC22517-2022-11-01-1509','A84-15','kdJeOqnEij', 'UB')
('SL22517-2022-11-01-1546','S65-10','g', 'MB')
('SL22517-2022-11-01-1547','S65-11','z', 'UB')
('SL04652-2022-11-02-1540','S65-4','drHBuLqSI', 'LB')
('SL22517-2022-11-01-1549','S65-13','WuxDdBGlPu', 'MB')
('SL04652-2022-11-02-1543','S65-7','ly', 'SL')
('AC22517-2022-11-01-1513','A85-1','LlTujdjnrE', 'LB')
('AC04652-2022-11-01-1585','A89-1','vblzZOAyCpz', 'LB')
('SL12058-2022-11-01-1536','S64-24','HRWTQi', 'SU')
('AC04652-2022-11-02-1525','A85-13','zdTtGUEWz', 'LB')
('AC22517-2022-11-02-1599','A89-15','htBL', 'UB')
('SL04652-2022-11-01-1583','S66-23','fgzMLBKw', 'SL')
('AC22517-2022-11-02-1608','A90-6','pcDaEQIoEYl', 'SU')
('SL04652-2022-11-02-1555','S65-19','LsRWUl', 'UB')
('AC12058-2022-11-01-1591','A89-7','uMVHFm', 'LB')
('SL04652-2022-11-01-1585','S67-1','Ujbt', 'LB')
('SL22517-2022-11-02-1624','S68-16','JmtEJVSWkNfB', 'SU')
('SL04652-2022-11-02-1559','S65-23','gAvcTYeiEjZN', 'SL')
('SL22517-2022-11-01-1572','S66-12','DGK', 'LB')
('SL12058-2022-11-01-1559','S65-23','Llsgtq', 'SL')
('SL22517-2022-11-01-1575','S66-15','zjRB', 'SL')
('SL04652-2022-11-02-1581','S66-21','LIbCZjvu', 'MB')
('SL12058-2022-11-01-1601','S67-17','UVJqUvSfW', 'LB')
('AC12058-2022-11-01-1623','A91-3','QHUgQQ', 'UB')
('SL12058-2022-11-01-1612','S68-4','hinY', 'LB')
('SL22517-2022-11-01-1621','S68-13','WrAmLxyQzqnoA', 'MB')
('AC04652-2022-11-01-1661','A93-5','jIzOEQJWuzuQNK', 'SL')
('AC04652-2022-11-02-1569','A88-3','rlofX', 'UB')
('AC22517-2022-11-01-1578','A88-12','KwpJIiasCB', 'SU')
('SL04652-2022-11-01-1638','S69-6','YR', 'UB')
('SL04652-2022-11-01-1640','S69-8','ToaILKS', 'SU')
('SL22517-2022-11-02-1668','S70-12','OrIzLu', 'LB')
('SL04652-2022-11-02-1603','S67-19','OLyfs', 'UB')
('AC04652-2022-11-01-1667','A93-11','qsSZWlxmSNvCJd', 'SL')
('SL22517-2022-11-02-1672','S70-16','J', 'SU')
('AC04652-2022-11-01-1669','A93-13','BYx', 'LB')
('AC22517-2022-11-02-1655','A92-17','dmfGZDIc', 'SL')
('AC22517-2022-11-01-1585','A89-1','UtWOjtJe', 'LB')
('SL12058-2022-11-01-1621','S68-13','flqnaQDpFvtAkx', 'MB')
('AC22517-2022-11-02-1659','A93-3','tjM', 'UB')
('SL22517-2022-11-01-1638','S69-6','RXwbS', 'UB')
('AC22517-2022-11-02-1665','A93-9','fsBnoKnYKGaKtL', 'UB')
('SL04652-2022-11-01-1647','S69-15','JXx', 'SL')
('AC04652-2022-11-01-1675','A94-1','X', 'LB')
('AC22517-2022-11-02-1668','A93-12','jIs', 'SU')
('AC04652-2022-11-01-1715','A96-5','gERQPULO', 'SL')
('SL12058-2022-11-01-1666','S70-10','htQ', 'MB')
('AC12058-2022-11-01-1685','A94-11','tdJeOjrtGvRnPh', 'SL')
('SL22517-2022-11-02-1726','S72-22','QOmBePKwawXkPiSI', 'UB')
('AC22517-2022-11-01-1630','A91-10','iFuEqsQQNl', 'UB')
('AC22517-2022-11-02-1722','A96-12','WMfUGmzQcgZ', 'SU')
('SL04652-2022-11-02-1661','S70-5','NfkSUGvVzl', 'MB')
('SL04652-2022-11-02-1664','S70-8','i', 'SU')
('AC22517-2022-11-01-1638','A91-18','lDPRVDDY', 'SU')
('AC04652-2022-11-01-1731','A97-3','On', 'UB')
('AC04652-2022-11-01-1732','A97-4','RhlRkRObeZZvuFB', 'UB')
('AC12058-2022-11-01-1694','A95-2','oEhhS', 'LB')
('AC22517-2022-11-01-1641','A92-3','SQLUGmL', 'UB')
('AC22517-2022-11-02-1736','A97-8','CYGuYDrMBCtovrc', 'LB')
('AC04652-2022-11-01-1735','A97-7','cKoeBUp', 'LB')
('AC22517-2022-11-01-1644','A92-6','NMIJEAdgl', 'SU')
('AC04652-2022-11-02-1636','A91-16','pmtufHmNRb', 'UB')
('SL12058-2022-11-01-1683','S71-3','PHpTgjMsUE', 'UB')
('SL04652-2022-11-01-1697','S71-17','uijI', 'LB')
('SL22517-2022-11-02-1739','S73-11','QLITbqEePIeyIi', 'UB')
('AC22517-2022-11-01-1652','A92-14','rKFpJtTrrY', 'LB')
('SL22517-2022-11-02-1745','S73-17','hvDNdd', 'LB')
('SL04652-2022-11-01-1726','S72-22','pgvTPpD', 'UB')
('SL04652-2022-11-01-1727','S72-23','XQxQ', 'SL')
('AC22517-2022-11-02-1780','A99-16','Aj', 'UB')
('AC22517-2022-11-02-1781','A99-17','zUiT', 'SL')
('SL22517-2022-11-02-1766','S74-14','neq', 'UB')
('AC12058-2022-11-01-1734','A97-6','PSlfoaVkd', 'SU')
('SL04652-2022-11-02-1721','S72-17','zhGQjvwUQ', 'LB')
('AC12058-2022-11-01-1738','A97-10','lwUgKB', 'UB')
('AC12058-2022-11-01-1739','A97-11','XBwenTUTIIfLRae', 'SL')
('AC04652-2022-11-01-1805','A101-5','iZLbnZwGZccDziW', 'SL')
('AC22517-2022-11-01-1701','A95-9','lEj', 'UB')
('AC04652-2022-11-02-1693','A95-1','iFjpJMAftmlhg', 'LB')
('AC04652-2022-11-02-1695','A95-3','FoXfWsO', 'UB')
('SL04652-2022-11-01-1755','S74-3','Sg', 'UB')
('AC22517-2022-11-01-1704','A95-12','wnW', 'SU')
('SL04652-2022-11-01-1757','S74-5','ravsu', 'MB')
('AC22517-2022-11-02-1806','A101-6','RUqixMaCI', 'SU')
('SL22517-2022-11-01-1781','S75-5','PCoXJWYA', 'MB')
('AC22517-2022-11-01-1719','A96-9','BnTDfEd', 'UB')
('SL04652-2022-11-01-1763','S74-11','gfYUc', 'UB')
('SL22517-2022-11-01-1794','S75-18','zfSQPrF', 'MB')
('SL04652-2022-11-02-1751','S73-23','HzaXpSV', 'SL')
('SL04652-2022-11-02-1752','S73-24','JO', 'SU')
('AC04652-2022-11-01-1862','A104-8','kMjVuYQzYK', 'LB')
('SL12058-2022-11-01-1797','S75-21','DFVvKcDlupr', 'MB')
('AC04652-2022-11-02-1748','A98-2','RZcZSrGgUYJveH', 'LB')
('AC04652-2022-11-02-1749','A98-3','vrOBSXoo', 'UB')
('AC04652-2022-11-02-1750','A98-4','ialacveWgzU', 'UB')
('SL12058-2022-11-01-1801','S76-1','uOuGZGaJCCoeqTL', 'LB')
('SL04652-2022-11-02-1793','S75-17','n', 'LB')
('SL04652-2022-11-02-1794','S75-18','sN', 'MB')
('AC04652-2022-11-01-1873','A105-1','cWopdz', 'LB')
('AC22517-2022-11-02-1855','A104-1','kQxpMBmDSW', 'LB')
('AC22517-2022-11-02-1858','A104-4','TmBiueeCF', 'UB')
('SL12058-2022-11-01-1813','S76-13','anOUikehoyT', 'MB')
('AC04652-2022-11-02-1763','A98-17','zUl', 'SL')
('AC04652-2022-11-01-1881','A105-9','p', 'UB')
('SL04652-2022-11-01-1815','S76-15','mN', 'SL')
('AC22517-2022-11-02-1863','A104-9','ukku', 'UB')
('SL22517-2022-11-01-1850','S78-2','slqmHTTBwckGIzw', 'MB')
('SL22517-2022-11-02-1852','S78-4','i', 'LB')
('AC22517-2022-11-01-1764','A98-18','FQahlzZsmTQ', 'SU')
('AC22517-2022-11-01-1766','A99-2','DavWDV', 'LB')
('SL22517-2022-11-01-1853','S78-5','dbRyHnnnOpOH', 'MB')
('SL12058-2022-11-01-1820','S76-20','RHJpSNDx', 'LB')
('SL04652-2022-11-02-1809','S76-9','mTBridrunHL', 'LB')
('AC12058-2022-11-01-1838','A103-2','P', 'LB')
('AC22517-2022-11-02-1871','A104-17','SpqHmnxFuXSLtV', 'SL')
('SL12058-2022-11-01-1824','S76-24','qe', 'SU')
('SL04652-2022-11-01-1823','S76-23','JVXiQevSyXxgu', 'SL')
('AC22517-2022-11-01-1779','A99-15','tdeEP', 'UB')
('SL04652-2022-11-01-1836','S77-12','zmvpKMKaMMqmWBFr', 'LB')
('SL04652-2022-11-01-1879','S79-7','TqWaxAlXZS', 'SL')
('SL04652-2022-11-02-1849','S78-1','zybC', 'LB')
('SL22517-2022-11-02-1899','S80-3','LZzNXH', 'UB')
('AC04652-2022-11-02-1813','A101-13','ziXIsISz', 'LB')
('AC22517-2022-11-02-1915','A107-7','mMUtkwfLOkxOA', 'LB')
('SL22517-2022-11-02-1910','S80-14','tyVB', 'UB')
('AC04652-2022-11-01-1934','A108-8','aqVkqoUqBWGNv', 'LB')
('SL04652-2022-11-02-1858','S78-10','kW', 'MB')
('AC04652-2022-11-02-1822','A102-4','lSfaGkAi', 'UB')
('AC22517-2022-11-01-1831','A102-13','HV', 'LB')
('AC04652-2022-11-01-1939','A108-13','PwkoIccMzSl', 'LB')
('AC04652-2022-11-01-1940','A108-14','Hdvg', 'LB')
('AC12058-2022-11-01-1901','A106-11','dqxSdCvcUZy', 'SL')
('SL04652-2022-11-02-1868','S78-20','FsGWkDVru', 'LB')
('AC12058-2022-11-01-1907','A106-17','odkaYBLzyJHsw', 'SL')
('AC22517-2022-11-01-1846','A103-10','dVvxEUdiGlbBa', 'UB')
('AC04652-2022-11-02-1843','A103-7','gSddYmuJgpqZVtyh', 'LB')
('AC04652-2022-11-01-1955','A109-11','elqB', 'SL')
('SL04652-2022-11-01-1920','S80-24','zbBCzrP', 'SU')
('AC22517-2022-11-01-1852','A103-16','GDUwYJXwBAbCqgQm', 'UB')
('SL04652-2022-11-02-1880','S79-8','nZTNazUHOSdhLCM', 'SU')
('AC04652-2022-11-01-1960','A109-16','u', 'UB')
('AC22517-2022-11-02-1950','A109-6','daYk', 'SU')
('SL04652-2022-11-01-1926','S81-6','hhBVOeJZDCfHULSO', 'UB')
('SL12058-2022-11-01-1887','S79-15','zUJocuYxlPobmfVB', 'SL')
('SL04652-2022-11-02-1883','S79-11','YBiSgiBJ', 'UB')
('SL04652-2022-11-01-1929','S81-9','bwywHoAcXFIVU', 'LB')
('SL12058-2022-11-01-1889','S79-17','fjPTw', 'LB')
('AC22517-2022-11-01-1858','A104-4','O', 'UB')
('SL04652-2022-11-01-1933','S81-13','lJkl', 'MB')
('AC22517-2022-11-01-1862','A104-8','wyuHOZjKYaJ', 'LB')
('SL04652-2022-11-01-1935','S81-15','tCOhI', 'SL')
('AC22517-2022-11-02-1962','A109-18','fxWVWFyfhSSNOn', 'SU')
('SL04652-2022-11-01-1937','S81-17','ae', 'LB')
('SL04652-2022-11-02-1894','S79-22','L', 'UB')
('AC04652-2022-11-01-1969','A110-7','u', 'LB')
('AC04652-2022-11-02-1863','A104-9','nCwtoaxUZDtAu', 'UB')
('SL04652-2022-11-01-1941','S81-21','bAJMX', 'MB')
('AC04652-2022-11-01-1973','A110-11','mBQdBpLUt', 'SL')
('SL04652-2022-11-01-1942','S81-22','TEDqlMpY', 'UB')
('SL12058-2022-11-01-1896','S79-24','kUnZ', 'SU')
('AC04652-2022-11-01-1974','A110-12','xzPjDUtmUaabPXt', 'SU')
('SL04652-2022-11-01-1946','S82-2','NlN', 'MB')
('SL04652-2022-11-01-1947','S82-3','Y', 'UB')
('AC04652-2022-11-01-1979','A110-17','ZwxjciUri', 'SL')
('AC04652-2022-11-02-1872','A104-18','ecMdnFvtmNhN', 'SU')
('AC12058-2022-11-01-1944','A108-18','JYrqUzVdLxK', 'SU')
('AC22517-2022-11-01-1881','A105-9','DMmEiiJnZHDNHiKV', 'UB')
('SL04652-2022-11-01-1954','S82-10','lnPqPaz', 'MB')
('SL22517-2022-11-02-1971','S83-3','QDqJizRjsb', 'UB')
('SL04652-2022-11-02-1908','S80-12','GyUfz', 'LB')
('AC04652-2022-11-02-1877','A105-5','tImYmjTDTnUsrDYy', 'SL')
('AC22517-2022-11-02-1979','A110-17','dCjucqNIiZqyZEu', 'SL')
('SL22517-2022-11-01-1985','S83-17','rv', 'LB')
('SL12058-2022-11-01-1935','S81-15','HlQaeFrfoIF', 'SL')
('AC22517-2022-11-02-2013','A112-15','kApPkHlJmgkhIDpP', 'UB')
('AC04652-2022-11-01-2025','A113-9','xtZlrFjQQ', 'UB')
('SL12058-2022-11-01-2015','S84-23','gIYrbqaAU', 'SL')
('SL22517-2022-11-01-2051','S86-11','GDhIGgriGb', 'UB')
('AC04652-2022-11-02-1977','A110-15','mSSmZMNBEkFWMxY', 'UB')
('AC22517-2022-11-02-2088','A116-18','DWyAAFjH', 'SU')
('SL12058-2022-11-01-2030','S85-14','xSQyWVWDNV', 'UB')
('AC04652-2022-11-01-2090','A117-2','kUqPxdRZLtmtKh', 'LB')
('SL04652-2022-11-01-2081','S87-17','SmQczgQB', 'LB')
('SL04652-2022-11-02-2022','S85-6','S', 'UB')
('AC22517-2022-11-02-2095','A117-7','pMDVnWZjqOViwQfM', 'LB')
('AC04652-2022-11-02-1997','A111-17','EQOKraZbzyVIT', 'SL')
('AC04652-2022-11-02-1998','A111-18','nGtsPn', 'SU')
('SL04652-2022-11-01-2086','S87-22','SXzQsWvIuCKfGWh', 'UB')
('AC22517-2022-11-01-1988','A111-8','ntO', 'LB')
('AC12058-2022-11-01-2062','A115-10','KPxOtZYbv', 'UB')
('AC22517-2022-11-02-2097','A117-9','YXzogrs', 'UB')
('AC12058-2022-11-01-2070','A115-18','bOYhvQbHQOQkgp', 'SU')
('AC22517-2022-11-02-2103','A117-15','dQBcR', 'UB')
('AC04652-2022-11-01-2112','A118-6','zPPCBpJDtoLVEsx', 'SU')
('SL12058-2022-11-01-2055','S86-15','FN', 'SL')
('SL12058-2022-11-01-2056','S86-16','vkwnRNgRjGq', 'SU')
('AC04652-2022-11-02-2018','A113-2','xrbaVavXDvFA', 'LB')
('SL04652-2022-11-02-2044','S86-4','VVpizuIyivkQckbL', 'LB')
('SL22517-2022-11-01-2086','S87-22','EwCHGJBTtUz', 'UB')
('SL22517-2022-11-02-2099','S88-11','uZogcMTSaCmTuejs', 'UB')
('SL22517-2022-11-01-2091','S88-3','baPhEEPqpEG', 'UB')
('AC22517-2022-11-02-2122','A118-16','raDeAcAqAO', 'UB')
('SL04652-2022-11-01-2117','S89-5','SkdBMeCxaW', 'MB')
('AC04652-2022-11-01-2121','A118-15','SW', 'UB')
('SL22517-2022-11-02-2106','S88-18','SDtVRWf', 'MB')
('SL22517-2022-11-02-2107','S88-19','WXbHZxJ', 'UB')
('SL04652-2022-11-01-2118','S89-6','sqdOlYRuEHYy', 'UB')
('AC04652-2022-11-02-2033','A113-17','gPhfRJqutrCsVNXe', 'SL')
('AC04652-2022-11-02-2034','A113-18','WYmuBAoSzA', 'SU')
('AC22517-2022-11-01-2014','A112-16','OJvGdPAxlgkcBf', 'UB')
('SL22517-2022-11-01-2102','S88-14','AehqbdJwW', 'UB')
('SL22517-2022-11-01-2112','S88-24','QldWhxWcrmBgf', 'SU')
('SL12058-2022-11-01-2084','S87-20','opLLTaXIOYdQAwHt', 'LB')
('SL04652-2022-11-01-2130','S89-18','rwqDgwRWYuQKcB', 'MB')
('SL22517-2022-11-02-2129','S89-17','CYytSVJxYTLCpQA', 'LB')
('SL04652-2022-11-01-2134','S89-22','KqOCWEUXkZB', 'UB')
('AC22517-2022-11-02-2140','A119-16','w', 'UB')
('AC22517-2022-11-01-2039','A114-5','wcAlT', 'SL')
('SL04652-2022-11-02-2087','S87-23','WR', 'SL')
('AC12058-2022-11-01-2102','A117-14','DDIaakwzbEfxI', 'LB')
('AC04652-2022-11-01-2155','A120-13','WTVzFhqeyMbFXJ', 'LB')
('AC04652-2022-11-01-2156','A120-14','adSMjz', 'LB')
('SL04652-2022-11-02-2094','S88-6','qPe', 'UB')
('AC04652-2022-11-01-2159','A120-17','XcGSwctjv', 'SL')
('SL22517-2022-11-02-2148','S90-12','prLzKs', 'LB')
('AC12058-2022-11-01-2111','A118-5','VoTb', 'SL')
('SL22517-2022-11-02-2150','S90-14','ROoxazPyZhVJzyf', 'UB')
('AC22517-2022-11-02-2158','A120-16','NIyTIWjGPVWU', 'UB')
('SL22517-2022-11-01-2146','S90-10','vwNxu', 'MB')
('AC04652-2022-11-02-2075','A116-5','oCXnwrvabvmZVyEI', 'SL')
('SL22517-2022-11-01-2148','S90-12','y', 'LB')
('SL22517-2022-11-02-2155','S90-19','OGjYFGKCRfB', 'UB')
('SL22517-2022-11-01-2151','S90-15','MaialDFklDdt', 'SL')
('AC04652-2022-11-02-2084','A116-14','rPFBYM', 'LB')
('SL12058-2022-11-01-2122','S89-10','CrRphosdo', 'MB')
('AC04652-2022-11-01-2193','A122-15','gTBCQMbpLSuAZggl', 'UB')
('SL22517-2022-11-01-2189','S92-5','vWcZHt', 'MB')
('SL04652-2022-11-02-2162','S91-2','qfiER', 'MB')
('SL04652-2022-11-02-2163','S91-3','lczmlwDb', 'UB')
('AC04652-2022-11-02-2127','A119-3','kEqjDjjdaWXXCkq', 'UB')
('AC04652-2022-11-02-2128','A119-4','UmnBYXJrpMpCKUgS', 'UB')
('AC12058-2022-11-01-2169','A121-9','sBI', 'UB')
('SL12058-2022-11-01-2157','S90-21','mFhJpDrEllOHk', 'MB')
('AC22517-2022-11-02-2214','A123-18','cHCtGynyuE', 'SU')
('SL04652-2022-11-02-2170','S91-10','YfKTc', 'MB')
('SL22517-2022-11-01-2204','S92-20','wzkZukWY', 'LB')
('SL22517-2022-11-01-2205','S92-21','YX', 'MB')
('AC22517-2022-11-02-2221','A124-7','XfqzOSjhOpmyNiP', 'LB')
('SL04652-2022-11-01-2219','S93-11','coCqUzX', 'UB')
('SL22517-2022-11-02-2217','S93-9','kUvfkaGcVZ', 'LB')
('AC04652-2022-11-02-2156','A120-14','xoQgVGN', 'LB')
('SL22517-2022-11-02-2220','S93-12','MDdXQeYRSjNLyXL', 'LB')
('AC22517-2022-11-02-2232','A124-18','OeybibC', 'SU')
('SL04652-2022-11-02-2196','S92-12','teTdabMhoWtKyEIa', 'LB')
('SL22517-2022-11-02-2234','S94-2','vlxJVoGiMyl', 'MB')
('AC04652-2022-11-01-2264','A126-14','AIIbmQzCndYJlSj', 'LB')
('AC22517-2022-11-01-2146','A120-4','ynMDMoQpLAvwmYg', 'UB')
('SL22517-2022-11-01-2230','S93-22','PYNjpbWUafMKGu', 'UB')
('SL22517-2022-11-01-2231','S93-23','cwFsbGZMvfs', 'SL')
('SL12058-2022-11-01-2204','S92-20','iyttranpTjG', 'LB')
('SL04652-2022-11-01-2243','S94-11','SmJnctJO', 'UB')
('AC22517-2022-11-01-2151','A120-9','KAtv', 'UB')
('SL12058-2022-11-01-2231','S93-23','AcktMWa', 'SL')
('AC22517-2022-11-02-2277','A127-9','FCfozqeER', 'UB')
('AC12058-2022-11-01-2235','A125-3','rD', 'UB')
('AC04652-2022-11-01-2291','A128-5','tkoymtWCUQ', 'SL')
('SL04652-2022-11-02-2240','S94-8','TYn', 'SU')
('SL04652-2022-11-01-2269','S95-13','fPNnxAjAAR', 'MB')
('SL12058-2022-11-01-2237','S94-5','ebUB', 'MB')
('AC22517-2022-11-02-2280','A127-12','QbCIoaS', 'SU')
('SL22517-2022-11-01-2269','S95-13','MvLI', 'MB')
('SL04652-2022-11-02-2244','S94-12','Jmcr', 'LB')
('SL04652-2022-11-01-2275','S95-19','gfdvpJUkszUvp', 'UB')
('SL04652-2022-11-02-2246','S94-14','RIMmL', 'UB')
('AC04652-2022-11-01-2304','A128-18','hoIIFerpRTKJbWwp', 'SU')
('SL22517-2022-11-01-2287','S96-7','qf', 'SL')
('SL04652-2022-11-02-2266','S95-10','HboheLyZqQS', 'MB')
('AC22517-2022-11-02-2300','A128-14','PCZq', 'LB')
('AC22517-2022-11-01-2190','A122-12','zQnQMrQgjuXcd', 'SU')
('SL22517-2022-11-01-2290','S96-10','obb', 'MB')
('AC04652-2022-11-01-2316','A129-12','rUibQQTseLodb', 'SU')
('SL22517-2022-11-02-2298','S96-18','hsFwyGCsPMlNecVJ', 'MB')
('AC04652-2022-11-02-2221','A124-7','AZfZtofo', 'LB')
('AC04652-2022-11-01-2320','A129-16','z', 'UB')
('AC22517-2022-11-01-2196','A122-18','YeVlkgjUCSvODZ', 'SU')
('AC12058-2022-11-01-2266','A126-16','dOJ', 'UB')
('AC22517-2022-11-01-2197','A123-1','pigNqyUqxqVDHP', 'LB')
('SL12058-2022-11-01-2303','S96-23','rcIdWSXnuoDECwcW', 'SL')
('SL04652-2022-11-02-2305','S97-1','AuboRIBygK', 'LB')
('AC04652-2022-11-01-2363','A132-5','PG', 'SL')
('AC04652-2022-11-02-2267','A126-17','kFbHjaVsaTdDVeK', 'SL')
('AC22517-2022-11-02-2351','A131-11','zb', 'SL')
('SL22517-2022-11-01-2333','S98-5','seAOILSCnAC', 'MB')
('AC04652-2022-11-02-2269','A127-1','sZIwwsKkdywnlTkF', 'LB')
('SL04652-2022-11-02-2310','S97-6','eU', 'UB')
('AC04652-2022-11-02-2272','A127-4','qIokJZWdlQIZC', 'UB')
('SL04652-2022-11-01-2342','S98-14','iiECkBEUlo', 'UB')
('SL22517-2022-11-01-2338','S98-10','mlwkQiA', 'MB')
('AC22517-2022-11-02-2360','A132-2','yXvmKRlarg', 'LB')
('AC22517-2022-11-02-2361','A132-3','WskHZQzmnJc', 'UB')
('AC04652-2022-11-01-2376','A132-18','evYFVCHctCd', 'SU')
('SL22517-2022-11-01-2347','S98-19','Jm', 'UB')
