('SL04652-2022-11-02-5','S1-5','riHEfALcuTXYKB', 'MB')
('AC04652-2022-11-01-4863','A271-3','sKrzvgPlgpmP', 'UB')
('SL04652-2022-11-01-4856','S203-8','RFzp', 'SU')
('SL22517-2022-11-01-4843','S202-19','Qt', 'UB')
('SL04652-2022-11-02-4794','S200-18','NOag', 'MB')
('SL04652-2022-11-02-4795','S200-19','aYZfbIAeJRpILSIA', 'UB')
('SL04652-2022-11-01-4862','S203-14','jVvYsuCzn', 'UB')
('AC12058-2022-11-01-4859','A270-17','wOfnZimIOx', 'SL')
('SL04652-2022-11-02-4800','S200-24','ESiztsynaX', 'SU')
('AC22517-2022-11-02-4928','A274-14','eARLzbYucNeZT', 'LB')
('AC22517-2022-11-02-4932','A274-18','NKEKSLjFppzSxYb', 'SU')
('SL04652-2022-11-01-4874','S204-2','ZIaFbjp', 'MB')
('SL04652-2022-11-01-4875','S204-3','sLdB', 'UB')
('AC04652-2022-11-02-4799','A267-11','AmEvkwCFLGZvVhM', 'SL')
('AC22517-2022-11-02-4938','A275-6','sSBmXuEr', 'SU')
('SL04652-2022-11-01-4878','S204-6','IQDxaYJRFsyb', 'UB')
('SL04652-2022-11-01-4879','S204-7','qrUffcYmewx', 'SL')
('SL04652-2022-11-01-4880','S204-8','J', 'SU')
('AC04652-2022-11-02-4803','A267-15','JPOguC', 'UB')
('AC22517-2022-11-01-4713','A262-15','hYR', 'UB')
('SL22517-2022-11-02-4945','S207-1','xifadyqR', 'LB')
('AC22517-2022-11-01-4720','A263-4','sMCm', 'UB')
('SL22517-2022-11-02-4950','S207-6','ZebNNVlqzpP', 'UB')
('SL22517-2022-11-01-4863','S203-15','u', 'SL')
('AC04652-2022-11-02-4810','A268-4','zFRGl', 'UB')
('SL04652-2022-11-01-4902','S205-6','f', 'UB')
('SL04652-2022-11-01-4903','S205-7','QnxwaVXxsGyf', 'SL')
('AC04652-2022-11-02-4815','A268-9','EqOyLC', 'UB')
('AC04652-2022-11-02-4823','A268-17','aCIGPvGqtwqvZ', 'SL')
('SL22517-2022-11-02-4966','S207-22','zYQrkzXmfsVC', 'UB')
('AC22517-2022-11-01-4770','A265-18','ou', 'SU')
('AC22517-2022-11-01-4771','A266-1','jRvgGx', 'LB')
('SL22517-2022-11-02-5007','S209-15','aFZZwOwzweo', 'SL')
('AC22517-2022-11-01-4773','A266-3','ANALnLlpqNtLNoJM', 'UB')
('SL22517-2022-11-01-4912','S205-16','BBt', 'SU')
('AC04652-2022-11-02-4872','A271-12','YCIaEdfrXeXdEtGe', 'SU')
('SL12058-2022-11-01-4897','S205-1','PNTixLkZR', 'LB')
('AC04652-2022-11-01-4955','A276-5','jqLNLozXtWg', 'SL')
('AC04652-2022-11-01-4956','A276-6','xNxb', 'SU')
('SL12058-2022-11-01-4904','S205-8','w', 'SU')
('SL22517-2022-11-01-4921','S206-1','izRIJhWzx', 'LB')
('SL22517-2022-11-01-4923','S206-3','Balm', 'UB')
('AC04652-2022-11-02-4881','A272-3','Jkyjr', 'UB')
('AC04652-2022-11-02-4882','A272-4','gk', 'UB')
('SL04652-2022-11-02-4896','S204-24','bjOuVJPGLribZdOZ', 'SU')
('SL22517-2022-11-01-4926','S206-6','Ir', 'UB')
('SL04652-2022-11-02-4898','S205-2','XeNnaSBhxlrRD', 'MB')
('AC22517-2022-11-02-5020','A279-16','aRv', 'UB')
('AC22517-2022-11-02-5021','A279-17','H', 'SL')
('SL22517-2022-11-01-4929','S206-9','McLtAVFd', 'LB')
('SL04652-2022-11-01-4975','S208-7','HAigTcp', 'SL')
('AC04652-2022-11-02-4895','A272-17','TnlveSfTgVqt', 'SL')
('SL12058-2022-11-01-4922','S206-2','aIftgF', 'MB')
('AC04652-2022-11-01-4980','A277-12','dgwV', 'SU')
('SL22517-2022-11-02-5028','S210-12','ypQnaxvdvP', 'LB')
('SL12058-2022-11-01-4923','S206-3','oLM', 'UB')
('SL22517-2022-11-02-5029','S210-13','pIvcuTTllQYBhjK', 'MB')
('SL22517-2022-11-01-4945','S207-1','EHVXEHkcmpXwnbk', 'LB')
('SL04652-2022-11-02-4919','S205-23','dRmdLqf', 'SL')
('AC04652-2022-11-02-4906','A273-10','ICG', 'UB')
('SL12058-2022-11-01-4927','S206-7','AdV', 'SL')
('SL04652-2022-11-02-4922','S206-2','wMJNjTImE', 'MB')
('AC22517-2022-11-01-4805','A267-17','zndcWv', 'SL')
('SL22517-2022-11-02-5037','S210-21','UkjBlyHNyjKUkm', 'MB')
('SL04652-2022-11-01-4991','S208-23','SAkbybT', 'SL')
('AC22517-2022-11-02-5051','A281-11','WXRi', 'SL')
('SL22517-2022-11-01-4957','S207-13','skNBdLZa', 'MB')
('AC12058-2022-11-01-4969','A277-1','TyERQfvhMyrEftwn', 'LB')
('AC22517-2022-11-02-5054','A281-14','P', 'LB')
('SL22517-2022-11-01-4958','S207-14','dfMkX', 'UB')
('AC22517-2022-11-02-5057','A281-17','ffWQ', 'SL')
('SL22517-2022-11-02-5050','S211-10','EW', 'MB')
('AC22517-2022-11-01-4815','A268-9','NE', 'UB')
('AC12058-2022-11-01-4976','A277-8','eogognkHXeetO', 'LB')
('SL22517-2022-11-02-5054','S211-14','BOhhxBTjWNtc', 'UB')
('AC12058-2022-11-01-4981','A277-13','pQWdWXg', 'LB')
('AC04652-2022-11-01-5008','A279-4','XqUjyvH', 'UB')
('AC12058-2022-11-01-4984','A277-16','UnLnRHv', 'UB')
('SL22517-2022-11-01-4973','S208-5','wHPURiCLHpkprywk', 'MB')
('SL22517-2022-11-02-5059','S211-19','nUYoWOF', 'UB')
('AC12058-2022-11-01-4985','A277-17','nXCBzhIJXsseWo', 'SL')
('AC04652-2022-11-01-5011','A279-7','NsiOXMNRkkC', 'LB')
('SL04652-2022-11-02-4940','S206-20','ELXDQn', 'LB')
('AC04652-2022-11-01-5014','A279-10','CZBoGgVPRr', 'UB')
('SL04652-2022-11-01-5014','S209-22','XMHupNfrbVjyiDe', 'UB')
('AC04652-2022-11-02-4939','A275-7','rzy', 'LB')
('AC04652-2022-11-02-4940','A275-8','fEDPWAKPPYD', 'LB')
('AC04652-2022-11-02-4941','A275-9','dGnwmzXtwuGlaHZA', 'UB')
('AC22517-2022-11-01-4832','A269-8','FHNN', 'LB')
('SL22517-2022-11-01-4984','S208-16','AGeqNxaDNPpYmL', 'SU')
('SL04652-2022-11-01-5018','S210-2','lvmUYEJGaNwZ', 'MB')
('SL22517-2022-11-02-5067','S212-3','rClpWIPUzzbEGmt', 'UB')
('SL22517-2022-11-01-4987','S208-19','Yc', 'UB')
('SL22517-2022-11-02-5069','S212-5','oWvAxsJDbZZerBUV', 'MB')
('SL22517-2022-11-02-5072','S212-8','wqKyTOrNw', 'SU')
('SL04652-2022-11-01-5028','S210-12','vCyMoGsq', 'LB')
('SL04652-2022-11-01-5030','S210-14','aChIsM', 'UB')
('SL04652-2022-11-01-5032','S210-16','srUQAJinPVwDMmK', 'SU')
('SL22517-2022-11-01-4999','S209-7','yKXLPjkvgB', 'SL')
('SL12058-2022-11-01-4964','S207-20','AOBbfOfXYn', 'LB')
('AC22517-2022-11-01-4853','A270-11','YBWDRMbhlybBdZ', 'SL')
('SL04652-2022-11-02-4966','S207-22','JmikNlCFUx', 'UB')
('SL04652-2022-11-02-4967','S207-23','eru', 'SL')
('SL04652-2022-11-01-5043','S211-3','BKLLbtmVpTTo', 'UB')
('AC22517-2022-11-02-5098','A284-4','BxatdWktIzDCU', 'UB')
('SL04652-2022-11-01-5045','S211-5','JqCdRaymC', 'MB')
('AC12058-2022-11-01-5022','A279-18','edorOu', 'SU')
('SL04652-2022-11-02-4974','S208-6','rvWUeF', 'UB')
('AC04652-2022-11-02-4968','A276-18','BYtMep', 'SU')
('SL04652-2022-11-02-4976','S208-8','ihNNlAX', 'SU')
('AC04652-2022-11-02-4976','A277-8','or', 'LB')
('AC22517-2022-11-01-4869','A271-9','JRTQskMeIL', 'UB')
('AC12058-2022-11-01-5043','A281-3','Y', 'UB')
('SL04652-2022-11-02-4998','S209-6','jfzR', 'UB')
('AC04652-2022-11-02-4996','A278-10','VpmfVpgesQ', 'UB')
('AC04652-2022-11-02-4997','A278-11','vBCevNBIumvaXFqV', 'SL')
('SL04652-2022-11-02-5003','S209-11','tBStGxOkXgfkX', 'UB')
('SL22517-2022-11-01-5043','S211-3','xOAbB', 'UB')
('SL22517-2022-11-02-5114','S214-2','ItfMmBww', 'MB')
('AC12058-2022-11-01-5053','A281-13','ULzoRhh', 'LB')
('SL04652-2022-11-02-5012','S209-20','xmwj', 'LB')
('SL12058-2022-11-01-5011','S209-19','IXBYysPEsoVAZAK', 'UB')
('SL22517-2022-11-01-5050','S211-10','nbUE', 'MB')
('AC22517-2022-11-02-5117','A285-5','zzyv', 'SL')
('SL22517-2022-11-02-5124','S214-12','UqILkUfKUhHZXPGc', 'LB')
('SL12058-2022-11-01-5014','S209-22','CrUhUZdbgqMLaBR', 'UB')
('AC04652-2022-11-02-5013','A279-9','GygK', 'UB')
('AC12058-2022-11-01-5060','A282-2','HRV', 'LB')
('SL12058-2022-11-01-5018','S210-2','EIAXBwjjOG', 'MB')
('SL04652-2022-11-01-5108','S213-20','ddwrxnvClCDcbz', 'LB')
('SL04652-2022-11-01-5109','S213-21','uDDQuTS', 'MB')
('AC22517-2022-11-02-5142','A286-12','uMJ', 'SU')
('AC04652-2022-11-02-5034','A280-12','IxKXusF', 'SU')
('AC12058-2022-11-01-5083','A283-7','pyvLQUTUn', 'LB')
('AC04652-2022-11-02-5036','A280-14','MFnzal', 'LB')
('SL04652-2022-11-01-5114','S214-2','Z', 'MB')
('SL22517-2022-11-02-5155','S215-19','V', 'UB')
('AC22517-2022-11-01-4932','A274-18','GwMlPfps', 'SU')
('SL12058-2022-11-01-5044','S211-4','aZqYivyYLM', 'LB')
('SL04652-2022-11-02-5049','S211-9','P', 'LB')
('SL04652-2022-11-02-5050','S211-10','JbVskVYxRsgyDB', 'MB')
('SL22517-2022-11-01-5084','S212-20','RxprCPTR', 'LB')
('AC04652-2022-11-02-5046','A281-6','MsXIkbHqDU', 'SU')
('SL04652-2022-11-02-5053','S211-13','UsyIeHdIdWbLIOcR', 'MB')
('AC04652-2022-11-01-5104','A284-10','CPfQpwKnbeGwWoi', 'UB')
('SL04652-2022-11-01-5127','S214-15','GywBdyUxSOAeMo', 'SL')
('AC22517-2022-11-02-5159','A287-11','OdsAoRza', 'SL')
('SL04652-2022-11-01-5131','S214-19','UIbinmxBo', 'UB')
('AC22517-2022-11-02-5161','A287-13','eCPreSHJntjQ', 'LB')
('SL04652-2022-11-01-5136','S214-24','MApWKnzQzgacOevl', 'SU')
('SL04652-2022-11-01-5146','S215-10','HOaTYWwJEbNPEkfR', 'MB')
('AC22517-2022-11-02-5174','A288-8','aMCqpuoft', 'LB')
('SL12058-2022-11-01-5080','S212-16','gYSJqn', 'SU')
('AC04652-2022-11-02-5069','A282-11','MlLi', 'SL')
('SL04652-2022-11-01-5159','S215-23','iCVVWz', 'SL')
('AC22517-2022-11-01-4974','A277-6','nAPlZJRrTpXI', 'SU')
('AC12058-2022-11-01-5125','A285-13','G', 'LB')
('SL22517-2022-11-02-5190','S217-6','a', 'UB')
('SL22517-2022-11-02-5191','S217-7','XYgLHASVjS', 'SL')
('AC04652-2022-11-01-5135','A286-5','zQN', 'SL')
('SL22517-2022-11-02-5192','S217-8','KPnglfzrgLuUJ', 'SU')
('SL04652-2022-11-02-5082','S212-18','dOiEGGZrfNYMd', 'MB')
('AC04652-2022-11-02-5076','A282-18','IReSGhkLNUKCKUtZ', 'SU')
('SL12058-2022-11-01-5091','S213-3','Cl', 'UB')
('AC04652-2022-11-02-5078','A283-2','pAF', 'LB')
('AC04652-2022-11-02-5079','A283-3','SaTFCvzQ', 'UB')
('SL12058-2022-11-01-5115','S214-3','VKZEZwQEQQEoA', 'UB')
('SL22517-2022-11-01-5137','S215-1','lhAmHcGCi', 'LB')
('SL04652-2022-11-01-5182','S216-22','vyedAiXE', 'UB')
('AC04652-2022-11-02-5099','A284-5','UNJbRCFaOQjzngk', 'SL')
('SL22517-2022-11-01-5140','S215-4','qylFjfxm', 'LB')
('SL22517-2022-11-02-5227','S218-19','fBEPzOObNFqzUHIU', 'UB')
('AC12058-2022-11-01-5170','A288-4','cnLHyqDD', 'UB')
('AC22517-2022-11-02-5230','A291-10','FJbmPXRzeygJFsqU', 'UB')
('SL04652-2022-11-01-5193','S217-9','gYkfwtEDOwjg', 'LB')
('SL22517-2022-11-01-5157','S215-21','Yv', 'MB')
('SL04652-2022-11-01-5201','S217-17','iEmaKRxowMmUAPUj', 'LB')
('SL12058-2022-11-01-5134','S214-22','vqU', 'UB')
('SL04652-2022-11-01-5206','S217-22','EmARDol', 'UB')
('SL22517-2022-11-02-5293','S221-13','lQN', 'MB')
('SL22517-2022-11-01-5218','S218-10','zOLHnK', 'MB')
('SL12058-2022-11-01-5193','S217-9','kZkEuJnoMg', 'LB')
('AC04652-2022-11-01-5259','A293-3','Sh', 'UB')
('AC04652-2022-11-02-5184','A288-18','JBRZSDhDevuykEkT', 'SU')
('SL04652-2022-11-02-5212','S218-4','nqVfWCJczDbkfCqe', 'LB')
('SL22517-2022-11-01-5245','S219-13','xQZCITa', 'MB')
('AC22517-2022-11-01-5113','A285-1','iGSQEybzt', 'LB')
('AC22517-2022-11-02-5368','A299-4','rbBX', 'UB')
('SL22517-2022-11-02-5360','S224-8','QIkFsqWtDiMUVbpp', 'SU')
('SL22517-2022-11-01-5283','S221-3','QHx', 'UB')
('SL04652-2022-11-02-5268','S220-12','GqQ', 'LB')
('AC12058-2022-11-01-5299','A295-7','nYuBuNRyornBC', 'LB')
('SL04652-2022-11-01-5330','S223-2','DOlLnUPJEhDnJyYF', 'MB')
('AC22517-2022-11-02-5389','A300-7','nQrZQTBWXEMr', 'LB')
('AC04652-2022-11-01-5332','A297-4','tUFpeRxNSYcQqVck', 'UB')
('SL22517-2022-11-01-5312','S222-8','tafpcJZEUVvDbkdH', 'SU')
('AC04652-2022-11-01-5340','A297-12','yyohvuUPpXnFdwKq', 'SU')
('SL22517-2022-11-01-5316','S222-12','evhQPFenJfZhaz', 'LB')
('SL04652-2022-11-01-5342','S223-14','Hxye', 'UB')
('AC04652-2022-11-01-5346','A297-18','bifBz', 'SU')
('AC04652-2022-11-01-5347','A298-1','lBkNOQd', 'LB')
('AC04652-2022-11-01-5349','A298-3','Gnrnu', 'UB')
('SL22517-2022-11-02-5389','S225-13','bwG', 'MB')
('SL12058-2022-11-01-5311','S222-7','fdakrnZybtAMw', 'SL')
('AC04652-2022-11-01-5352','A298-6','WLbcArHHQfiy', 'SU')
('AC12058-2022-11-01-5341','A297-13','AtvRnpXKFK', 'LB')
('AC22517-2022-11-01-5211','A290-9','waHgJAAZxqUyaTDk', 'UB')
('AC04652-2022-11-02-5256','A292-18','nbcizJLyCpcRTh', 'SU')
('SL22517-2022-11-01-5328','S222-24','BiTgualp', 'SU')
('AC22517-2022-11-02-5449','A303-13','htXkspcmERmiaZ', 'LB')
('SL12058-2022-11-01-5351','S223-23','IQFSPhEzvwalL', 'SL')
('AC04652-2022-11-02-5277','A294-3','oQyFWnjoJV', 'UB')
('AC04652-2022-11-02-5278','A294-4','z', 'UB')
('SL04652-2022-11-02-5328','S222-24','LKJpVvTkUStSG', 'SU')
('AC22517-2022-11-01-5245','A292-7','HJPJEeBpfGvaz', 'LB')
('AC22517-2022-11-02-5454','A303-18','MW', 'SU')
('AC04652-2022-11-02-5284','A294-10','diZnwEdBIzELeF', 'UB')
('AC04652-2022-11-01-5395','A300-13','BXEGo', 'LB')
('AC04652-2022-11-02-5287','A294-13','ThmgaRwnTA', 'LB')
('SL22517-2022-11-01-5395','S225-19','zBRSL', 'UB')
('SL12058-2022-11-01-5390','S225-14','uTEBrnDxoywKKmDD', 'UB')
('SL22517-2022-11-02-5461','S228-13','fDEjDC', 'MB')
('SL04652-2022-11-01-5415','S226-15','SYO', 'SL')
('AC12058-2022-11-01-5400','A300-18','ihHYSD', 'SU')
('SL12058-2022-11-01-5397','S225-21','ecLFaDk', 'MB')
('AC22517-2022-11-02-5498','A306-8','viRkOCQWFVLpemtv', 'LB')
('SL22517-2022-11-01-5404','S226-4','WUImYe', 'LB')
('AC22517-2022-11-01-5285','A294-11','WFA', 'SL')
('SL22517-2022-11-01-5412','S226-12','JKfQJRFjD', 'LB')
('AC22517-2022-11-02-5503','A306-13','ezU', 'LB')
('AC04652-2022-11-02-5325','A296-15','hmDdZMHrLIsxPPOH', 'UB')
('SL04652-2022-11-01-5431','S227-7','JEIiHEFiwk', 'SL')
('SL12058-2022-11-01-5408','S226-8','PAtFILiXZVJPI', 'SU')
('AC22517-2022-11-02-5512','A307-4','WoWWz', 'UB')
('SL22517-2022-11-02-5485','S229-13','gOcUCCdRLhMvsO', 'MB')
('AC04652-2022-11-02-5338','A297-10','N', 'UB')
('SL12058-2022-11-01-5424','S226-24','GUy', 'SU')
('SL22517-2022-11-02-5490','S229-18','lKmjDyvBHqYKmU', 'MB')
('AC22517-2022-11-01-5325','A296-15','IUOU', 'UB')
('SL04652-2022-11-01-5456','S228-8','WK', 'SU')
('SL04652-2022-11-01-5457','S228-9','JYo', 'LB')
('SL04652-2022-11-01-5458','S228-10','VAgD', 'MB')
('AC22517-2022-11-02-5538','A308-12','BVfdj', 'SU')
('AC04652-2022-11-01-5479','A305-7','HdNfubhaxsdLySj', 'LB')
('AC04652-2022-11-01-5480','A305-8','bcuczDH', 'LB')
('SL12058-2022-11-01-5442','S227-18','VJPNtKxKuJWxDmZT', 'MB')
('AC04652-2022-11-02-5353','A298-7','SzCyGytj', 'LB')
('SL22517-2022-11-01-5445','S227-21','UrNSYPKIdDmvD', 'MB')
('AC04652-2022-11-02-5355','A298-9','RPb', 'UB')
('SL12058-2022-11-01-5449','S228-1','K', 'LB')
('SL04652-2022-11-01-5466','S228-18','vGxX', 'MB')
('SL12058-2022-11-01-5461','S228-13','oekHuNEKBBGadD', 'MB')
('AC12058-2022-11-01-5465','A304-11','gYVvESXNXsfjTZg', 'SL')
('AC04652-2022-11-02-5370','A299-6','NkzAmlVFnVyT', 'SU')
('AC04652-2022-11-02-5371','A299-7','SzpdApwmKGj', 'LB')
('AC12058-2022-11-01-5470','A304-16','WxmPN', 'UB')
('SL22517-2022-11-01-5461','S228-13','uw', 'MB')
('SL22517-2022-11-02-5529','S231-9','zpwyAJTUfalVtY', 'LB')
('SL04652-2022-11-02-5436','S227-12','YM', 'LB')
('AC04652-2022-11-02-5376','A299-12','kvIDaHvMllJ', 'SU')
('AC22517-2022-11-02-5568','A310-6','WnNKjXZjQO', 'SU')
('SL22517-2022-11-02-5532','S231-12','rZ', 'LB')
('SL04652-2022-11-01-5482','S229-10','m', 'MB')
('AC04652-2022-11-01-5502','A306-12','tnnAxRuZW', 'SU')
('SL04652-2022-11-02-5443','S227-19','OKDOXMTKsxdtz', 'UB')
('SL22517-2022-11-01-5466','S228-18','RYX', 'MB')
('AC12058-2022-11-01-5474','A305-2','deQ', 'LB')
('SL22517-2022-11-01-5468','S228-20','PsnukTwRBTw', 'LB')
('AC22517-2022-11-02-5573','A310-11','ZJ', 'SL')
('SL22517-2022-11-01-5473','S229-1','UcyuYhEY', 'LB')
('SL22517-2022-11-01-5476','S229-4','BV', 'LB')
('AC04652-2022-11-02-5385','A300-3','MCYfuDAcseYyvUb', 'UB')
('AC12058-2022-11-01-5484','A305-12','rJvP', 'SU')
('SL04652-2022-11-01-5496','S229-24','CipoFNVGauaAPYJs', 'SU')
('SL04652-2022-11-02-5455','S228-7','HIasDqpRDAofxzRI', 'SL')
('SL04652-2022-11-02-5456','S228-8','Jbpqpgl', 'SU')
('AC04652-2022-11-02-5390','A300-8','QcwHRTTCIHCGBws', 'LB')
('AC22517-2022-11-02-5584','A311-4','itihFX', 'UB')
('AC04652-2022-11-01-5525','A307-17','gynCSlhWE', 'SL')
('SL22517-2022-11-02-5558','S232-14','PZp', 'UB')
('SL12058-2022-11-01-5483','S229-11','zSXkfk', 'UB')
('SL12058-2022-11-01-5484','S229-12','LvZhJGNyLPwz', 'LB')
('SL04652-2022-11-02-5466','S228-18','tynwOMDipexBdSlt', 'MB')
('AC12058-2022-11-01-5495','A306-5','ByuCFDoku', 'SL')
('SL04652-2022-11-02-5470','S228-22','GbIL', 'UB')
('AC04652-2022-11-01-5532','A308-6','GtDdDPySCtmx', 'SU')
('SL04652-2022-11-01-5510','S230-14','uykScwZGhHM', 'UB')
('SL04652-2022-11-01-5511','S230-15','InbBtRyoTA', 'SL')
('AC12058-2022-11-01-5501','A306-11','RuRfWhLAqmlFrW', 'SL')
('SL04652-2022-11-01-5515','S230-19','YnEHIg', 'UB')
('AC22517-2022-11-01-5391','A300-9','IBORrAsVuNLsqUr', 'UB')
('AC22517-2022-11-02-5600','A312-2','R', 'LB')
('AC04652-2022-11-02-5411','A301-11','rHIqF', 'SL')
('AC12058-2022-11-01-5506','A306-16','xHrViz', 'UB')
('SL04652-2022-11-02-5482','S229-10','vKSYeXqwn', 'MB')
('SL22517-2022-11-01-5505','S230-9','wqno', 'LB')
('AC04652-2022-11-02-5418','A301-18','wRcBCW', 'SU')
('SL04652-2022-11-02-5485','S229-13','QhcDCJQHx', 'MB')
('SL04652-2022-11-01-5524','S231-4','NTNwKAbfpyZOwuNM', 'LB')
('SL22517-2022-11-02-5576','S233-8','VDAQl', 'SU')
('AC22517-2022-11-01-5400','A300-18','dyEpgRmnLz', 'SU')
('AC22517-2022-11-01-5401','A301-1','RcLrZlattUCJrRQ', 'LB')
('SL04652-2022-11-02-5488','S229-16','N', 'SU')
('AC04652-2022-11-01-5548','A309-4','xsayRp', 'UB')
('AC22517-2022-11-02-5613','A312-15','waQrxOdDLZJYZ', 'UB')
('SL12058-2022-11-01-5510','S230-14','BdEupVsyy', 'UB')
('SL04652-2022-11-01-5529','S231-9','eaLZQMSIzyBr', 'LB')
('SL22517-2022-11-01-5514','S230-18','ZCF', 'MB')
('SL22517-2022-11-02-5583','S233-15','okwRi', 'SL')
('AC22517-2022-11-01-5404','A301-4','lz', 'UB')
('AC12058-2022-11-01-5517','A307-9','ThU', 'UB')
('AC22517-2022-11-02-5618','A313-2','EharCHpPtywA', 'LB')
('SL04652-2022-11-02-5496','S229-24','cc', 'SU')
('SL04652-2022-11-01-5535','S231-15','waQpjtockZ', 'SL')
('AC22517-2022-11-01-5406','A301-6','hxDeXNdkUPj', 'SU')
('SL04652-2022-11-02-5499','S230-3','CybuKyLyGbyEF', 'UB')
('SL04652-2022-11-01-5537','S231-17','eTgSoNmbHjLET', 'LB')
('SL22517-2022-11-01-5522','S231-2','nZGoo', 'MB')
('SL12058-2022-11-01-5515','S230-19','hEd', 'UB')
('AC04652-2022-11-01-5561','A309-17','aZjpnd', 'SL')
('AC22517-2022-11-02-5628','A313-12','oVyiXydh', 'SU')
('AC22517-2022-11-02-5629','A313-13','sFvF', 'LB')
('SL12058-2022-11-01-5522','S231-2','atYHYcIJ', 'MB')
('AC04652-2022-11-02-5443','A303-7','I', 'LB')
('SL22517-2022-11-02-5596','S234-4','uxnYljdixapGB', 'LB')
('AC04652-2022-11-01-5566','A310-4','cykgDvyud', 'UB')
('AC12058-2022-11-01-5532','A308-6','ADO', 'SU')
('SL04652-2022-11-02-5511','S230-15','AiNTiDGEfYEQFIZ', 'SL')
('SL04652-2022-11-02-5512','S230-16','guhrNjdFObJRzyGB', 'SU')
('SL22517-2022-11-01-5527','S231-7','TOSZggOYkGwIkHk', 'SL')
('AC04652-2022-11-02-5450','A303-14','TbpKmtrzhVXDpGj', 'LB')
('AC22517-2022-11-02-5635','A314-1','oNwXIgPH', 'LB')
('AC04652-2022-11-01-5571','A310-9','UmaUdiHUMRPP', 'UB')
('AC22517-2022-11-01-5417','A301-17','ykys', 'SL')
('SL22517-2022-11-02-5624','S235-8','BsebF', 'SU')
('SL22517-2022-11-02-5625','S235-9','roqHsawZZXE', 'LB')
('SL12058-2022-11-01-5548','S232-4','bzdpkozbkOrUsR', 'LB')
('AC12058-2022-11-01-5562','A309-18','FqIOkmJIYo', 'SU')
('SL22517-2022-11-01-5549','S232-5','ziLuSMFmusSSdmyq', 'MB')
('AC04652-2022-11-02-5471','A304-17','llWyIeEyyIFZICe', 'SL')
('AC22517-2022-11-01-5441','A303-5','DLAMgSNro', 'SL')
('AC22517-2022-11-01-5442','A303-6','WtDLKcjAMvf', 'SU')
('AC04652-2022-11-01-5593','A311-13','YJcJa', 'LB')
('AC04652-2022-11-01-5594','A311-14','bxnmYol', 'LB')
('SL04652-2022-11-02-5546','S232-2','lFeaZiduGujid', 'MB')
('SL12058-2022-11-01-5557','S232-13','ztFxsZcCvk', 'MB')
('AC04652-2022-11-02-5480','A305-8','Dn', 'LB')
('SL22517-2022-11-01-5574','S233-6','qfJU', 'UB')
('AC04652-2022-11-02-5495','A306-5','MVRelmyusgCHkbKl', 'SL')
('SL22517-2022-11-02-5656','S236-16','FzaKFbnE', 'SU')
('SL22517-2022-11-02-5657','S236-17','fqNhOxlNJewGkE', 'LB')
('SL22517-2022-11-01-5577','S233-9','SUazNxqeTgiI', 'LB')
('SL04652-2022-11-01-5600','S234-8','EbN', 'SU')
('AC04652-2022-11-02-5499','A306-9','VZWlKhm', 'UB')
('AC12058-2022-11-01-5591','A311-11','sXCXiQz', 'SL')
('SL22517-2022-11-01-5582','S233-14','ckwkiXQEznzyue', 'UB')
('SL12058-2022-11-01-5585','S233-17','zsyxHgrkJVxIbf', 'LB')
('AC12058-2022-11-01-5597','A311-17','DTgOpxFO', 'SL')
('SL22517-2022-11-01-5586','S233-18','JVaKs', 'MB')
('SL22517-2022-11-01-5587','S233-19','xBcOoGqPWlH', 'UB')
('SL22517-2022-11-01-5588','S233-20','eRqEhT', 'LB')
('SL22517-2022-11-02-5668','S237-4','fVTIxiU', 'LB')
('AC22517-2022-11-02-5700','A317-12','evKIHUkRQdITvde', 'SU')
('SL12058-2022-11-01-5593','S234-1','tsFCFiSFgGu', 'LB')
('AC12058-2022-11-01-5611','A312-13','c', 'LB')
('AC04652-2022-11-02-5524','A307-16','DYMR', 'UB')
('AC04652-2022-11-02-5525','A307-17','eHXId', 'SL')
('SL04652-2022-11-02-5592','S233-24','rIw', 'SU')
('SL22517-2022-11-02-5691','S238-3','DhIQSzzV', 'UB')
('SL12058-2022-11-01-5602','S234-10','TPUpsHDagklhuu', 'MB')
('AC04652-2022-11-01-5648','A314-14','QWITtsxXD', 'LB')
('SL04652-2022-11-01-5625','S235-9','DhBFQMJlXZDqGSqZ', 'LB')
('AC04652-2022-11-01-5685','A316-15','LfobrAaBH', 'UB')
('AC12058-2022-11-01-5658','A315-6','rlEThISLKTL', 'SU')
('SL22517-2022-11-02-5722','S239-10','vhmRjshVMXTNy', 'MB')
('SL22517-2022-11-01-5637','S235-21','REItpRobKnwPHisj', 'MB')
('AC12058-2022-11-01-5674','A316-4','gVIRNlfzHJnWxCM', 'UB')
('AC22517-2022-11-01-5545','A309-1','vghZmcyAVIX', 'LB')
('SL22517-2022-11-01-5648','S236-8','kO', 'SU')
('SL22517-2022-11-01-5649','S236-9','JNBbKUrDJFA', 'LB')
('AC12058-2022-11-01-5678','A316-8','tDKkMyHILa', 'LB')
('AC22517-2022-11-01-5548','A309-4','xwO', 'UB')
('SL12058-2022-11-01-5646','S236-6','lBlWeEfXzlpLkXmE', 'UB')
('AC12058-2022-11-01-5681','A316-11','afi', 'SL')
('AC12058-2022-11-01-5684','A316-14','mNC', 'LB')
('SL22517-2022-11-01-5653','S236-13','iRvQpc', 'MB')
('AC04652-2022-11-02-5583','A311-3','KcmCUwLhzJzcIZQV', 'UB')
