('SL22517-2022-11-01-3','S1-3','aGlHy', 'UB')
('AC04652-2022-11-01-978','A55-6','OQZe', 'SU')
('SL12058-2022-11-01-988','S42-4','xPbnxSBcZDYRbc', 'LB')
('SL04652-2022-11-01-959','S40-23','UqfHmUBUhVWhVt', 'SL')
('SL04652-2022-11-01-960','S40-24','mZeYaKZivsVruy', 'SU')
('SL22517-2022-11-02-993','S42-9','HTaGCCPsm', 'LB')
('AC22517-2022-11-01-938','A53-2','OnzwSWtp', 'LB')
('SL22517-2022-11-02-995','S42-11','RrdlsKtjXjP', 'UB')
('SL22517-2022-11-02-1002','S42-18','RqMvzjmn', 'MB')
('AC12058-2022-11-01-967','A54-13','Iyb', 'LB')
('SL04652-2022-11-02-926','S39-14','GotyxLVTWFlEe', 'UB')
('AC22517-2022-11-02-1020','A57-12','VfsnIO', 'SU')
('SL22517-2022-11-02-1054','S44-22','neBFhn', 'UB')
('SL22517-2022-11-02-1055','S44-23','EFqMBY', 'SL')
('SL04652-2022-11-02-968','S41-8','en', 'SU')
('SL04652-2022-11-02-969','S41-9','LAJMTCI', 'LB')
('SL04652-2022-11-02-970','S41-10','HUBPCUhZeweGMk', 'MB')
('AC12058-2022-11-01-1019','A57-11','xvsSQHkCCcMX', 'SL')
('SL04652-2022-11-02-975','S41-15','DVsuUOfiVtx', 'SL')
('SL22517-2022-11-01-1038','S44-6','EzdbSzKwJGLkQyCi', 'UB')
('SL12058-2022-11-01-1045','S44-13','WEaAtMiis', 'MB')
('SL22517-2022-11-01-1073','S45-17','UAnVWpZciDDMzc', 'LB')
('AC12058-2022-11-01-1060','A59-16','YxYOtgQcBtZ', 'UB')
('SL22517-2022-11-02-1112','S47-8','cR', 'SU')
('SL12058-2022-11-01-1073','S45-17','E', 'LB')
('SL04652-2022-11-01-1067','S45-11','O', 'UB')
('AC04652-2022-11-02-1051','A59-7','zlEtFAbdZsrKSTjP', 'LB')
('SL04652-2022-11-01-1072','S45-16','OndiEcUoOpZfXll', 'SU')
('AC22517-2022-11-01-1064','A60-2','bDGyllSoVGveb', 'LB')
('AC04652-2022-11-02-1058','A59-14','CkSAuuLAKqvRdLI', 'LB')
('SL22517-2022-11-02-1125','S47-21','KtdmDerIAiG', 'MB')
('AC04652-2022-11-02-1063','A60-1','alZgOqjLY', 'LB')
('AC04652-2022-11-01-1099','A62-1','eunBtN', 'LB')
('AC12058-2022-11-01-1088','A61-8','phoy', 'LB')
('AC04652-2022-11-02-1069','A60-7','Y', 'LB')
('AC22517-2022-11-02-1155','A65-3','lLiKdsFRisoWX', 'UB')
('AC22517-2022-11-02-1156','A65-4','xsSVJhvsRTz', 'UB')
('AC04652-2022-11-01-1143','A64-9','vjTgWoDMLqqs', 'UB')
('AC22517-2022-11-02-1159','A65-7','S', 'LB')
('SL12058-2022-11-01-1114','S47-10','tvhyWhTPaOZTIIHf', 'MB')
('SL12058-2022-11-01-1115','S47-11','cpYLWUKAioAOUGS', 'UB')
('AC22517-2022-11-01-1115','A62-17','LHSFwURCb', 'SL')
('SL04652-2022-11-02-1097','S46-17','s', 'LB')
('SL12058-2022-11-01-1118','S47-14','goCbpFktv', 'UB')
('AC22517-2022-11-02-1163','A65-11','WdfeaD', 'SL')
('SL22517-2022-11-01-1140','S48-12','WkKRbB', 'LB')
('AC22517-2022-11-02-1167','A65-15','VNTiNroY', 'UB')
('AC12058-2022-11-01-1126','A63-10','shaysBQZhVBwzul', 'UB')
('SL04652-2022-11-01-1141','S48-13','bOhfsMrW', 'MB')
('SL22517-2022-11-02-1175','S49-23','gcHPYZSFSLX', 'SL')
('AC04652-2022-11-01-1153','A65-1','X', 'LB')
('SL12058-2022-11-01-1127','S47-23','InQAGIJXx', 'SL')
('AC12058-2022-11-01-1134','A63-18','YbuHEI', 'SU')
('SL12058-2022-11-01-1129','S48-1','wBPVfde', 'LB')
('AC04652-2022-11-01-1161','A65-9','JieSXL', 'UB')
('SL22517-2022-11-02-1181','S50-5','PBLvU', 'MB')
('SL22517-2022-11-01-1150','S48-22','GZjsY', 'UB')
('SL22517-2022-11-02-1223','S51-23','MIVihkTV', 'SL')
('AC22517-2022-11-02-1219','A68-13','OijFTvWMhgHb', 'LB')
('SL04652-2022-11-02-1162','S49-10','ofE', 'MB')
('SL22517-2022-11-01-1201','S51-1','utjKonKisHplfwlK', 'LB')
('AC22517-2022-11-01-1173','A66-3','zEr', 'UB')
('AC22517-2022-11-02-1220','A68-14','ceKrfoBcrkzEC', 'LB')
('SL12058-2022-11-01-1182','S50-6','WgGWvzXoKArLPpDX', 'UB')
('AC12058-2022-11-01-1187','A66-17','btmsqx', 'SL')
('SL04652-2022-11-01-1195','S50-19','htxKgJSRRIBuYhY', 'UB')
('SL04652-2022-11-01-1196','S50-20','yJpmsJhAvdxRjb', 'LB')
('AC22517-2022-11-01-1176','A66-6','zQpXOZKCHpsC', 'SU')
('AC22517-2022-11-01-1177','A66-7','eszVqalHAxexo', 'LB')
('AC12058-2022-11-01-1192','A67-4','IccPjlMZX', 'UB')
('AC04652-2022-11-01-1222','A68-16','RqkiDiNbwRIsP', 'UB')
('AC22517-2022-11-01-1180','A66-10','YdR', 'UB')
('SL04652-2022-11-01-1200','S50-24','DWEI', 'SU')
('AC04652-2022-11-01-1225','A69-1','kNsCMjXEVmBoHv', 'LB')
('AC04652-2022-11-02-1190','A67-2','RT', 'LB')
('AC04652-2022-11-02-1192','A67-4','rPUgMtzpjLwsNH', 'UB')
('AC22517-2022-11-01-1187','A66-17','ZdRbUWLc', 'SL')
('SL22517-2022-11-01-1223','S51-23','k', 'SL')
('AC22517-2022-11-01-1189','A67-1','allTtNV', 'LB')
('AC12058-2022-11-01-1207','A68-1','tPBAPYMtsl', 'LB')
('AC12058-2022-11-01-1210','A68-4','c', 'UB')
('SL04652-2022-11-02-1192','S50-16','TTDmYKqGfSUtlr', 'SU')
('AC22517-2022-11-02-1245','A70-3','cYIurNYFwFVylqgT', 'UB')
('AC22517-2022-11-02-1246','A70-4','aOfQRsMSejbf', 'UB')
('AC04652-2022-11-02-1203','A67-15','dEK', 'UB')
('AC22517-2022-11-02-1248','A70-6','wwXbZp', 'SU')
('SL12058-2022-11-01-1207','S51-7','J', 'SL')
('AC22517-2022-11-02-1251','A70-9','dSjjzccNb', 'UB')
('SL22517-2022-11-02-1251','S53-3','oaTOVDzCEfpxsj', 'UB')
('SL22517-2022-11-01-1237','S52-13','cWvrCyI', 'MB')
('SL04652-2022-11-01-1226','S52-2','BNDuJy', 'MB')
('AC12058-2022-11-01-1216','A68-10','DNGBA', 'UB')
('SL22517-2022-11-01-1240','S52-16','UnfdYNo', 'SU')
('AC12058-2022-11-01-1219','A68-13','pyCJIfccDjamMkN', 'LB')
('SL04652-2022-11-01-1230','S52-6','q', 'UB')
('AC04652-2022-11-01-1253','A70-11','Vmt', 'SL')
('SL12058-2022-11-01-1216','S51-16','mRM', 'SU')
('AC04652-2022-11-01-1258','A70-16','dzmxzJGsaViPRuy', 'UB')
('SL22517-2022-11-01-1254','S53-6','UrNjaxgPaR', 'UB')
('AC04652-2022-11-02-1221','A68-15','ezxmxFQBEMOIYFrt', 'UB')
('AC04652-2022-11-02-1222','A68-16','n', 'UB')
('SL22517-2022-11-02-1275','S54-3','AtAjM', 'UB')
('AC22517-2022-11-01-1213','A68-7','EBGTc', 'LB')
('SL22517-2022-11-02-1279','S54-7','CVXRscvFW', 'SL')
('SL04652-2022-11-02-1217','S51-17','nCVcEGkjmuxzB', 'LB')
('SL04652-2022-11-01-1249','S53-1','OIN', 'LB')
('SL22517-2022-11-02-1282','S54-10','DwU', 'MB')
('AC04652-2022-11-01-1269','A71-9','VAwsXmMAnTJpIF', 'UB')
('SL22517-2022-11-02-1286','S54-14','ZYsMKkpxJ', 'UB')
('AC22517-2022-11-01-1230','A69-6','Etxz', 'SU')
('SL04652-2022-11-02-1239','S52-15','ZXYHZAvRKI', 'SL')
('AC22517-2022-11-01-1241','A69-17','qyXgZhRST', 'SL')
('SL22517-2022-11-01-1280','S54-8','gy', 'SU')
('AC04652-2022-11-01-1289','A72-11','OMlNnryXvORMTu', 'SL')
('AC22517-2022-11-02-1299','A73-3','WwHjpUBbqf', 'UB')
('SL22517-2022-11-01-1282','S54-10','DLRZfOiivlIKztqi', 'MB')
('SL22517-2022-11-02-1310','S55-14','wI', 'UB')
('AC04652-2022-11-02-1255','A70-13','yVywQ', 'LB')
('AC22517-2022-11-01-1250','A70-8','FkhoxiNIgQjBte', 'LB')
('AC04652-2022-11-01-1294','A72-16','lWvLCY', 'UB')
('SL04652-2022-11-01-1283','S54-11','FwOjNeiYQcY', 'UB')
('SL22517-2022-11-01-1284','S54-12','g', 'LB')
('AC22517-2022-11-02-1313','A73-17','vNzgjAAtItpWy', 'SL')
('AC22517-2022-11-02-1314','A73-18','O', 'SU')
('SL04652-2022-11-01-1292','S54-20','pvaQhMjYmpBVkSvr', 'LB')
('AC12058-2022-11-01-1288','A72-10','XfUireWNLwrlOX', 'UB')
('AC04652-2022-11-01-1306','A73-10','EVcxWlApkbDHV', 'UB')
('SL12058-2022-11-01-1274','S54-2','WWPHEZepONhFII', 'MB')
('SL22517-2022-11-02-1339','S56-19','x', 'UB')
('AC12058-2022-11-01-1300','A73-4','UGDMMMrAOFBFv', 'UB')
('AC12058-2022-11-01-1301','A73-5','uGqCYHIAKn', 'SL')
('AC04652-2022-11-02-1278','A71-18','Oy', 'SU')
('AC04652-2022-11-01-1317','A74-3','ReYWBXTJNsbA', 'UB')
('AC04652-2022-11-01-1319','A74-5','tSEQXOvqNspIb', 'SL')
('SL22517-2022-11-01-1299','S55-3','HBbYCATp', 'UB')
('SL22517-2022-11-01-1300','S55-4','OARAFTX', 'LB')
('AC22517-2022-11-02-1338','A75-6','lqLrnAeDAzKt', 'SU')
('AC04652-2022-11-01-1325','A74-11','blDkPqYeMQkXRiDz', 'SL')
('SL12058-2022-11-01-1290','S54-18','rjKh', 'MB')
('AC04652-2022-11-01-1329','A74-15','vuTQMTNe', 'UB')
('AC04652-2022-11-01-1330','A74-16','AITnzyR', 'UB')
('AC22517-2022-11-02-1344','A75-12','QygkNIu', 'SU')
('AC04652-2022-11-01-1331','A74-17','vDidWXlJqFMtteV', 'SL')
('SL04652-2022-11-02-1289','S54-17','nyequnqtxxTU', 'LB')
('AC12058-2022-11-01-1322','A74-8','AgOslfOB', 'LB')
('AC22517-2022-11-01-1290','A72-12','PmWgqlmTQKFwPO', 'SU')
('SL04652-2022-11-02-1293','S54-21','PRxSl', 'MB')
('SL22517-2022-11-01-1314','S55-18','HBfWyCsUna', 'MB')
('AC04652-2022-11-01-1337','A75-5','p', 'SL')
('AC12058-2022-11-01-1325','A74-11','tKLHAiWrweZ', 'SL')
('SL22517-2022-11-02-1354','S57-10','GZJcyqrudzZDlTu', 'MB')
('AC22517-2022-11-02-1351','A76-1','dBEiJutbSVuRRF', 'LB')
('AC22517-2022-11-02-1352','A76-2','nZtSSi', 'LB')
('SL22517-2022-11-02-1358','S57-14','hRsodQcS', 'UB')
('SL04652-2022-11-01-1323','S56-3','MtbfDIiMsNG', 'UB')
('SL04652-2022-11-01-1324','S56-4','HjfmuKhDCnPw', 'LB')
('SL22517-2022-11-02-1359','S57-15','T', 'SL')
('SL04652-2022-11-02-1302','S55-6','vNNhKLXsUXydrm', 'UB')
('SL04652-2022-11-02-1303','S55-7','ZonWcJG', 'SL')
('AC04652-2022-11-02-1307','A73-11','HgPIUCYFsqYXch', 'SL')
('SL04652-2022-11-02-1305','S55-9','AxJAMwvozjB', 'LB')
('AC12058-2022-11-01-1368','A76-18','XNSAFGLFxXEROdrB', 'SU')
('AC04652-2022-11-01-1383','A77-15','DQyqoQZfCXCYee', 'UB')
('AC04652-2022-11-01-1384','A77-16','XSJnDRCYfIv', 'UB')
('SL12058-2022-11-01-1344','S56-24','yzIraB', 'SU')
('AC12058-2022-11-01-1371','A77-3','TtKJlEhdiipZcq', 'UB')
('SL22517-2022-11-01-1361','S57-17','WnWvNNiSSP', 'LB')
('SL22517-2022-11-01-1362','S57-18','vVcuMTbj', 'MB')
('AC04652-2022-11-02-1350','A75-18','UmBpB', 'SU')
('SL04652-2022-11-01-1404','S59-12','LjrfDXZ', 'LB')
('AC12058-2022-11-01-1420','A79-16','YvFoqKJHOsqZZNTK', 'UB')
('AC04652-2022-11-01-1431','A80-9','ZvlGHlKXwyBTS', 'UB')
('SL22517-2022-11-02-1446','S61-6','j', 'UB')
('AC22517-2022-11-01-1398','A78-12','DsfNLAanuhXJpR', 'SU')
('AC22517-2022-11-01-1399','A78-13','LMXi', 'LB')
('SL22517-2022-11-01-1406','S59-14','JWKRfEGtsl', 'UB')
('SL04652-2022-11-02-1391','S58-23','bZiJo', 'SL')
('AC22517-2022-11-01-1403','A78-17','GobZZw', 'SL')
('AC04652-2022-11-01-1436','A80-14','VFpANyfglL', 'LB')
('AC22517-2022-11-02-1448','A81-8','dLbPQh', 'LB')
('AC12058-2022-11-01-1431','A80-9','onsqIaB', 'UB')
('SL22517-2022-11-02-1458','S61-18','D', 'MB')
('SL04652-2022-11-01-1426','S60-10','Lvy', 'MB')
('SL22517-2022-11-01-1413','S59-21','rQY', 'MB')
('SL04652-2022-11-01-1428','S60-12','mnTWJgPyYUdluRz', 'LB')
('AC22517-2022-11-01-1412','A79-8','ZWxEGXLwtRcTx', 'LB')
('AC22517-2022-11-02-1457','A81-17','Ej', 'SL')
('AC22517-2022-11-02-1460','A82-2','XKMpEJnji', 'LB')
('SL04652-2022-11-02-1404','S59-12','LhtDdVrDT', 'LB')
('AC04652-2022-11-02-1394','A78-8','BYHBkFuurmMxqGE', 'LB')
('AC12058-2022-11-01-1441','A81-1','LmnUJEjyWuYihX', 'LB')
('SL22517-2022-11-02-1462','S61-22','MWuYkLarZHsUSO', 'UB')
('AC12058-2022-11-01-1444','A81-4','QXWaXH', 'UB')
('SL22517-2022-11-02-1465','S62-1','cxd', 'LB')
('AC04652-2022-11-01-1453','A81-13','UxGa', 'LB')
('SL22517-2022-11-01-1428','S60-12','TDPNLbh', 'LB')
('SL22517-2022-11-02-1469','S62-5','JTEyttdgcjWQaXjY', 'MB')
('AC04652-2022-11-01-1458','A81-18','rV', 'SU')
('SL12058-2022-11-01-1412','S59-20','nIZUUC', 'LB')
('SL22517-2022-11-01-1430','S60-14','FUpl', 'UB')
('AC12058-2022-11-01-1451','A81-11','FXCDgu', 'SL')
('SL22517-2022-11-02-1476','S62-12','IJNKXnRGtqgNkNw', 'LB')
('SL04652-2022-11-01-1480','S62-16','rHSsCnhkCUT', 'SU')
('AC22517-2022-11-01-1444','A81-4','AVfYuYgdbY', 'UB')
('SL04652-2022-11-02-1446','S61-6','DQwpQtNyY', 'UB')
('AC22517-2022-11-01-1445','A81-5','ShtW', 'SL')
('SL12058-2022-11-01-1485','S62-21','BMXmMyFCDQCt', 'MB')
('SL22517-2022-11-02-1558','S65-22','fRzfbUjwtkq', 'UB')
('AC04652-2022-11-02-1476','A82-18','fJZXanMpr', 'SU')
('SL22517-2022-11-02-1608','S67-24','ZiSuPYmLI', 'SU')
('AC04652-2022-11-01-1593','A89-9','oxInnMizLGsThCl', 'UB')
('AC04652-2022-11-01-1594','A89-10','OaRKdHEi', 'UB')
('SL12058-2022-11-01-1543','S65-7','KOdxBdUWyvLpWfQ', 'SL')
('AC04652-2022-11-01-1599','A89-15','APeaHNxnVWUxvL', 'UB')
('SL22517-2022-11-02-1618','S68-10','wC', 'MB')
('SL22517-2022-11-01-1570','S66-10','GVQgTBMCuphw', 'MB')
('SL22517-2022-11-02-1622','S68-14','arlmQZqzhcxUq', 'UB')
('SL04652-2022-11-01-1586','S67-2','QEY', 'MB')
('AC22517-2022-11-01-1528','A85-16','dWr', 'UB')
('AC22517-2022-11-01-1529','A85-17','wefDxRXobOXTn', 'SL')
('AC12058-2022-11-01-1594','A89-10','likdNINsXqsg', 'UB')
('AC04652-2022-11-01-1611','A90-9','OzgQHHNTfTqP', 'UB')
('AC04652-2022-11-01-1612','A90-10','oQlTF', 'UB')
('SL04652-2022-11-02-1565','S66-5','wNYD', 'MB')
('AC22517-2022-11-01-1538','A86-8','CDlLjY', 'LB')
('SL22517-2022-11-01-1588','S67-4','HqZJpWADH', 'LB')
('AC12058-2022-11-01-1605','A90-3','dDh', 'UB')
('AC22517-2022-11-01-1543','A86-13','RjJfpvkuqolDdjO', 'LB')
('AC04652-2022-11-01-1635','A91-15','VXJyg', 'UB')
('SL22517-2022-11-01-1601','S67-17','YdOPXUY', 'LB')
('AC12058-2022-11-01-1615','A90-13','F', 'LB')
('SL12058-2022-11-01-1591','S67-7','PRwmIbhCmI', 'SL')
('AC12058-2022-11-01-1616','A90-14','JoVuA', 'LB')
('SL12058-2022-11-01-1600','S67-16','jGqS', 'SU')
('AC22517-2022-11-02-1636','A91-16','MBkgnUfSvI', 'UB')
('SL04652-2022-11-01-1623','S68-15','yhJIjo', 'SL')
('AC22517-2022-11-01-1564','A87-16','ocetOYo', 'UB')
('SL22517-2022-11-01-1614','S68-6','BwzRRChsTofM', 'UB')
('AC04652-2022-11-01-1648','A92-10','zcuySVOlEIc', 'UB')
('SL04652-2022-11-02-1588','S67-4','CgxfIWOBCWoqXAgM', 'LB')
('SL04652-2022-11-02-1590','S67-6','LtpVrWOJmx', 'UB')
('AC22517-2022-11-02-1649','A92-11','UoqtRUBLEReaBvg', 'SL')
('SL22517-2022-11-01-1626','S68-18','ySXunPsG', 'MB')
('SL22517-2022-11-01-1627','S68-19','iwxXjsvINR', 'UB')
('SL04652-2022-11-01-1641','S69-9','BgypoKyAwzpEp', 'LB')
('SL22517-2022-11-01-1630','S68-22','NuEyAHPouuDGid', 'UB')
('AC22517-2022-11-02-1652','A92-14','E', 'LB')
('SL22517-2022-11-02-1671','S70-15','BkzEEsVY', 'SL')
('SL04652-2022-11-02-1604','S67-20','DrtOPBONfMSUfNL', 'LB')
('AC04652-2022-11-01-1668','A93-12','LZIdnwpaPCr', 'SU')
('SL22517-2022-11-01-1633','S69-1','LoUy', 'LB')
('AC22517-2022-11-02-1656','A92-18','RxUb', 'SU')
('AC22517-2022-11-01-1587','A89-3','UXdGrphMiHQJ', 'UB')
('AC12058-2022-11-01-1648','A92-10','fBzhb', 'UB')
('SL12058-2022-11-01-1630','S68-22','IRn', 'UB')
('AC22517-2022-11-02-1673','A93-17','uBREiAymE', 'SL')
('SL12058-2022-11-01-1635','S69-3','sPLfFJBSEjcvJV', 'UB')
('AC12058-2022-11-01-1655','A92-17','cdklyxCPLKgOgk', 'SL')
('AC22517-2022-11-02-1676','A94-2','bxhFj', 'LB')
('AC04652-2022-11-02-1597','A89-13','cCoqa', 'LB')
('SL22517-2022-11-02-1695','S71-15','njjRmlZuJ', 'SL')
('SL04652-2022-11-02-1624','S68-16','BohcEbEnhJnSQ', 'SU')
('AC04652-2022-11-02-1599','A89-15','NZuuPfBOBUgU', 'UB')
('AC04652-2022-11-01-1690','A94-16','FPiIvoA', 'UB')
('AC12058-2022-11-01-1666','A93-10','aZiqOFne', 'UB')
('SL12058-2022-11-01-1646','S69-14','U', 'UB')
('AC22517-2022-11-01-1604','A90-2','tTUcXXqh', 'LB')
('AC22517-2022-11-02-1694','A95-2','BhHrBJSAemsBqhf', 'LB')
('SL22517-2022-11-02-1710','S72-6','jjGvrbsYMSUGjW', 'UB')
('AC22517-2022-11-01-1615','A90-13','RX', 'LB')
('AC22517-2022-11-02-1715','A96-5','msDvRlUhVa', 'SL')
('AC22517-2022-11-01-1627','A91-7','I', 'LB')
('AC04652-2022-11-02-1623','A91-3','tvtl', 'UB')
('SL12058-2022-11-01-1667','S70-11','p', 'UB')
('AC12058-2022-11-01-1687','A94-13','NuYHJFXUDrfYNXhJ', 'LB')
('SL04652-2022-11-01-1681','S71-1','DiJnGbHbxKg', 'LB')
('SL04652-2022-11-02-1666','S70-10','vugbG', 'MB')
('AC04652-2022-11-01-1729','A97-1','wuqXxrhskjnnnJFo', 'LB')
('AC04652-2022-11-01-1730','A97-2','l', 'LB')
('SL04652-2022-11-02-1670','S70-14','JvYwwsXCSqhAxzbW', 'UB')
('AC12058-2022-11-01-1693','A95-1','xfuTRCoNvG', 'LB')
('SL04652-2022-11-02-1672','S70-16','jGqM', 'SU')
('AC04652-2022-11-01-1733','A97-5','BGDSunGQW', 'SL')
('SL04652-2022-11-02-1674','S70-18','SKqjsyPeOalAfmzF', 'MB')
('SL22517-2022-11-02-1732','S73-4','mn', 'LB')
('SL04652-2022-11-02-1680','S70-24','knLtWzyhlFfeQ', 'SU')
('AC04652-2022-11-02-1638','A91-18','zalsZZbEl', 'SU')
('AC04652-2022-11-01-1751','A98-5','QjGlPWGbrqEWH', 'SL')
('SL22517-2022-11-02-1746','S73-18','eMFJIzMWXxmiWX', 'MB')
('SL04652-2022-11-02-1685','S71-5','Mq', 'MB')
('AC22517-2022-11-02-1754','A98-8','xYjKp', 'LB')
('AC04652-2022-11-01-1780','A99-16','eTHZAQuqufkYfsER', 'UB')
('SL22517-2022-11-02-1767','S74-15','JSiae', 'SL')
('SL04652-2022-11-01-1732','S73-4','zNoLPy', 'LB')
('AC04652-2022-11-01-1786','A100-4','SLIXQHzP', 'UB')
('AC22517-2022-11-01-1689','A94-15','ilhd', 'UB')
('AC22517-2022-11-01-1690','A94-16','IsajqiK', 'UB')
('AC22517-2022-11-02-1791','A100-9','l', 'UB')
('SL04652-2022-11-01-1742','S73-14','bxIMhrYPLWre', 'UB')
('SL22517-2022-11-02-1779','S75-3','w', 'UB')
('SL12058-2022-11-01-1731','S73-3','YMfEtgoP', 'UB')
('SL22517-2022-11-01-1768','S74-16','xPIuwVlfvc', 'SU')
('SL04652-2022-11-01-1747','S73-19','FGnHT', 'UB')
('SL04652-2022-11-01-1748','S73-20','YfJeP', 'LB')
('AC22517-2022-11-02-1800','A100-18','DCRQjkiWy', 'SU')
('SL12058-2022-11-01-1736','S73-8','AFevwAqt', 'SU')
('AC22517-2022-11-02-1803','A101-3','RXkbrQgmnswFQbf', 'UB')
('AC12058-2022-11-01-1754','A98-8','tqUCLXcnzzkX', 'LB')
('AC04652-2022-11-02-1692','A94-18','HBt', 'SU')
('SL22517-2022-11-01-1779','S75-3','MEhzrEQtaSRF', 'UB')
('SL22517-2022-11-02-1790','S75-14','MFmyDsovDIrlC', 'UB')
('SL22517-2022-11-02-1802','S76-2','WtMwxSFJ', 'MB')
('SL22517-2022-11-01-1825','S77-1','iUoJYEwiptPSi', 'LB')
('AC04652-2022-11-01-1855','A104-1','AVqMekEZrEaJ', 'LB')
('AC04652-2022-11-02-1736','A97-8','ObQiEtGCjOW', 'LB')
('AC12058-2022-11-01-1807','A101-7','w', 'LB')
('SL04652-2022-11-01-1790','S75-14','Rqira', 'UB')
('AC12058-2022-11-01-1809','A101-9','zqA', 'UB')
('SL22517-2022-11-01-1834','S77-10','FjFkcqGHkrMoU', 'MB')
('AC04652-2022-11-02-1739','A97-11','CVbrrMos', 'SL')
('SL22517-2022-11-02-1836','S77-12','k', 'LB')
('AC22517-2022-11-01-1750','A98-4','QeX', 'UB')
('SL22517-2022-11-02-1838','S77-14','QPQA', 'UB')
('SL22517-2022-11-02-1839','S77-15','KUkrceAo', 'SL')
('SL12058-2022-11-01-1798','S75-22','LDiC', 'UB')
('AC12058-2022-11-01-1814','A101-14','Jj', 'LB')
('AC22517-2022-11-02-1850','A103-14','z', 'LB')
('SL22517-2022-11-01-1846','S77-22','nAyZuwkjVVjY', 'UB')
('SL12058-2022-11-01-1805','S76-5','kpHjdeSruCZ', 'MB')
('SL12058-2022-11-01-1807','S76-7','oWnoYRqHHPKsXkt', 'SL')
('AC22517-2022-11-01-1762','A98-16','qYQLm', 'UB')
('SL12058-2022-11-01-1809','S76-9','SZHnJysxaRc', 'LB')
('SL22517-2022-11-02-1846','S77-22','hA', 'UB')
('AC22517-2022-11-02-1860','A104-6','F', 'SU')
('AC12058-2022-11-01-1827','A102-9','ToVaf', 'UB')
('SL04652-2022-11-02-1799','S75-23','X', 'SL')
('AC12058-2022-11-01-1830','A102-12','FUwoUBCYPkB', 'SU')
('AC04652-2022-11-01-1884','A105-12','ZqfLRxfWCx', 'SU')
('AC04652-2022-11-01-1885','A105-13','FPqSKNdCUYb', 'LB')
('AC12058-2022-11-01-1833','A102-15','eoQnvT', 'UB')
('SL04652-2022-11-02-1804','S76-4','z', 'LB')
('SL04652-2022-11-02-1805','S76-5','nYouBLfHcKtqypJ', 'MB')
('SL04652-2022-11-02-1806','S76-6','dFsorxgeUskMt', 'UB')
('AC22517-2022-11-02-1866','A104-12','rcSdFgRNpHOsQF', 'SU')
('SL22517-2022-11-01-1855','S78-7','XBI', 'SL')
('SL22517-2022-11-01-1856','S78-8','DGIxVFMNgnyLxhxH', 'SU')
('SL22517-2022-11-01-1857','S78-9','vysDJcbJY', 'LB')
('SL12058-2022-11-01-1823','S76-23','OK', 'SL')
('SL22517-2022-11-01-1860','S78-12','TVXnvLVZvvmW', 'LB')
('AC04652-2022-11-02-1770','A99-6','iMZbLnRvaWa', 'SU')
('AC04652-2022-11-02-1771','A99-7','XmTe', 'LB')
('AC22517-2022-11-01-1778','A99-14','Z', 'LB')
('AC04652-2022-11-02-1776','A99-12','xnMzi', 'SU')
('SL04652-2022-11-02-1819','S76-19','FUYoGFKei', 'UB')
('AC04652-2022-11-02-1779','A99-15','IiufuVYjxJdmQgN', 'UB')
('SL04652-2022-11-01-1837','S77-13','cvTmGXdKdSbml', 'MB')
('SL04652-2022-11-02-1821','S76-21','LomzgBXAKRnM', 'MB')
('AC04652-2022-11-01-1898','A106-8','Vq', 'LB')
('SL22517-2022-11-01-1870','S78-22','lStqqrZlhUR', 'UB')
('SL04652-2022-11-02-1825','S77-1','EgKauXuWPZqL', 'LB')
('AC04652-2022-11-02-1784','A100-2','IExhUCmMZ', 'LB')
('AC04652-2022-11-01-1900','A106-10','xdzvqXEfDbmTglx', 'UB')
('AC04652-2022-11-01-1901','A106-11','WUZgFh', 'SL')
('AC04652-2022-11-02-1787','A100-5','OgMs', 'SL')
('SL22517-2022-11-02-1871','S78-23','MiOFNLBCshD', 'SL')
('AC12058-2022-11-01-1861','A104-7','AqSLfIhR', 'LB')
('AC12058-2022-11-01-1862','A104-8','aODFhkKBzJ', 'LB')
('SL04652-2022-11-02-1833','S77-9','Yjcb', 'LB')
('AC22517-2022-11-01-1815','A101-15','x', 'UB')
('SL22517-2022-11-02-1898','S80-2','gABHb', 'MB')
('AC04652-2022-11-01-1925','A107-17','DESkFnihsRWnk', 'SL')
('AC04652-2022-11-02-1812','A101-12','hVNewP', 'SU')
('AC22517-2022-11-02-1913','A107-5','iBEJMZbV', 'SL')
('AC04652-2022-11-02-1814','A101-14','jvaDYEOSLG', 'LB')
('SL22517-2022-11-01-1902','S80-6','odal', 'UB')
('AC22517-2022-11-02-1977','A110-15','sbwtyazq', 'UB')
('SL04652-2022-11-02-1910','S80-14','LmmR', 'UB')
('SL12058-2022-11-01-1911','S80-15','zeAy', 'SL')
('SL22517-2022-11-02-1974','S83-6','QeJEGHt', 'UB')
('AC12058-2022-11-01-1947','A109-3','oDpQWorGCrsiEBl', 'UB')
('SL04652-2022-11-02-1917','S80-21','WgBoKWoE', 'MB')
('AC12058-2022-11-01-1957','A109-13','Ipz', 'LB')
('SL22517-2022-11-02-1985','S83-17','LAt', 'LB')
('AC12058-2022-11-01-1960','A109-16','l', 'UB')
('AC04652-2022-11-02-1895','A106-5','EONmPAEadwFDLyt', 'SL')
('SL22517-2022-11-01-1981','S83-13','xuuKbnoVhpkm', 'MB')
('SL22517-2022-11-02-1989','S83-21','vhwkqPoERbgWLSU', 'MB')
