('AC22517-2022-11-01-1494','A83-18','efRaEXaY', 'SU')
('SL04652-2022-11-01-2968','S124-16','PPXNnOYzl', 'SU')
('SL22517-2022-11-02-2936','S123-8','kmjsJbNQcNUJl', 'SU')
('AC04652-2022-11-02-2950','A164-16','ItqYpxP', 'UB')
('SL04652-2022-11-01-2971','S124-19','r', 'UB')
('SL22517-2022-11-02-2941','S123-13','BvfPeRgdeeRGdu', 'MB')
('SL04652-2022-11-01-2975','S124-23','rXRbH', 'SL')
('AC22517-2022-11-01-3038','A169-14','uPnaanQBmIxygpLJ', 'LB')
('AC04652-2022-11-01-3092','A172-14','VIMMphACnZhx', 'LB')
('SL22517-2022-11-01-3001','S126-1','vYYeFuUYLH', 'LB')
('AC04652-2022-11-02-2992','A167-4','TGnNjGnEW', 'UB')
('AC22517-2022-11-02-3030','A169-6','U', 'SU')
('AC04652-2022-11-02-3060','A170-18','nLlDnPYgwULjueMT', 'SU')
('AC22517-2022-11-01-3132','A174-18','re', 'SU')
('AC04652-2022-11-01-3195','A178-9','lbKDSzqRBCidyNy', 'UB')
('AC22517-2022-11-02-3089','A172-11','g', 'SL')
('AC04652-2022-11-02-3072','A171-12','etCZDGstEHYKh', 'SU')
('AC22517-2022-11-01-3138','A175-6','PsxMTHetWrwTEyg', 'SU')
('AC12058-2022-11-01-3025','A169-1','slDIKbF', 'LB')
('SL22517-2022-11-02-3036','S127-12','ipdDdKVQ', 'LB')
('SL04652-2022-11-02-3130','S131-10','x', 'MB')
('AC22517-2022-11-01-3139','A175-7','CvMz', 'LB')
('SL04652-2022-11-01-3094','S129-22','DIXCQX', 'UB')
('AC04652-2022-11-01-3208','A179-4','o', 'UB')
('SL12058-2022-11-01-3014','S126-14','UTqHcYaqrWgva', 'UB')
('SL04652-2022-11-01-3121','S131-1','GMSR', 'LB')
('AC22517-2022-11-01-3166','A176-16','YLluWlvPE', 'UB')
('AC22517-2022-11-02-3122','A174-8','mDedj', 'LB')
('AC04652-2022-11-02-3107','A173-11','MBlfKPUR', 'SL')
('AC04652-2022-11-02-3117','A174-3','XelOWLfnwTWFsKuP', 'UB')
('SL04652-2022-11-02-3165','S132-21','JZmgYtLfhSf', 'MB')
('SL12058-2022-11-01-3041','S127-17','UPWsAlXoTdtRO', 'LB')
('AC04652-2022-11-02-3120','A174-6','buCIGMPxODTVVXVt', 'SU')
('AC22517-2022-11-02-3125','A174-11','YrPvSGr', 'SL')
('AC04652-2022-11-01-3242','A181-2','hoGeQLoRz', 'LB')
('AC12058-2022-11-01-3059','A170-17','l', 'SL')
('AC04652-2022-11-01-3243','A181-3','chlStpZnDK', 'UB')
('SL12058-2022-11-01-3044','S127-20','YTKChgZUXVYuFG', 'LB')
('SL22517-2022-11-01-3113','S130-17','QOBAzabiLcUucAD', 'LB')
('SL22517-2022-11-01-3114','S130-18','w', 'MB')
('SL04652-2022-11-02-3166','S132-22','o', 'UB')
('SL04652-2022-11-01-3135','S131-15','uUnExkuYjG', 'SL')
('SL04652-2022-11-02-3167','S132-23','EULjYoYFRDXMZyZ', 'SL')
('AC22517-2022-11-01-3175','A177-7','PelAhGeUFOCbpB', 'LB')
('AC04652-2022-11-02-3124','A174-10','ZbYrOYDX', 'UB')
('SL04652-2022-11-01-3138','S131-18','AQBGsMyqOCZmg', 'MB')
('SL04652-2022-11-02-3174','S133-6','am', 'UB')
('AC04652-2022-11-01-3248','A181-8','ecxc', 'LB')
('AC04652-2022-11-02-3128','A174-14','IJtwG', 'LB')
('AC04652-2022-11-01-3252','A181-12','ABW', 'SU')
('SL12058-2022-11-01-3065','S128-17','IYBKHzSpodmPR', 'LB')
('AC12058-2022-11-01-3074','A171-14','xDrG', 'LB')
('SL04652-2022-11-02-3193','S134-1','f', 'LB')
('SL12058-2022-11-01-3067','S128-19','I', 'UB')
('AC04652-2022-11-02-3143','A175-11','axfd', 'SL')
('AC04652-2022-11-02-3144','A175-12','RdtBcrVlFN', 'SU')
('AC04652-2022-11-01-3284','A183-8','MOGFzCeH', 'LB')
('AC12058-2022-11-01-3108','A173-12','yQwOpXPUz', 'SU')
('SL04652-2022-11-01-3201','S134-9','GKBrOVZSFWGXaHcL', 'LB')
('SL12058-2022-11-01-3140','S131-20','LFU', 'LB')
('AC04652-2022-11-01-3386','A189-2','bsTrxhxiHLqm', 'LB')
('SL04652-2022-11-01-3245','S136-5','DFOdYzbhkHaN', 'MB')
('AC22517-2022-11-01-3319','A185-7','ZCP', 'LB')
('SL22517-2022-11-02-3220','S135-4','bLhppN', 'LB')
('AC22517-2022-11-01-3322','A185-10','OEkQzraBcXjc', 'UB')
('SL04652-2022-11-02-3331','S139-19','zXfDVKI', 'UB')
('SL12058-2022-11-01-3198','S134-6','NOB', 'UB')
('SL22517-2022-11-02-3223','S135-7','QtgFWfUkp', 'SL')
('SL04652-2022-11-01-3257','S136-17','IOWDGfZv', 'LB')
('AC04652-2022-11-02-3272','A182-14','zjllNStwwEpTxSl', 'LB')
('AC22517-2022-11-01-3327','A185-15','BIanpz', 'UB')
('SL12058-2022-11-01-3204','S134-12','FCPWlgh', 'LB')
('SL04652-2022-11-01-3262','S136-22','ou', 'UB')
('SL04652-2022-11-02-3340','S140-4','tsyGOR', 'LB')
('AC22517-2022-11-02-3278','A183-2','tBjOVgsiCGvmTTnD', 'LB')
('AC04652-2022-11-02-3311','A184-17','X', 'SL')
('AC04652-2022-11-02-3312','A184-18','lSKahidduREw', 'SU')
('AC04652-2022-11-01-3436','A191-16','UXWCzJM', 'UB')
('AC04652-2022-11-01-3437','A191-17','EmtrRCzWuPYNpdrS', 'SL')
('AC04652-2022-11-02-3316','A185-4','ZUNSxtccoTffQ', 'UB')
('SL04652-2022-11-01-3305','S138-17','fldsZ', 'LB')
('SL22517-2022-11-01-3310','S138-22','AvgiehuxVDGC', 'UB')
('AC04652-2022-11-02-3332','A186-2','cZPIysmIwIrgMmr', 'LB')
('AC22517-2022-11-02-3341','A186-11','jFujUnwFPA', 'SL')
('SL22517-2022-11-01-3323','S139-11','pHGLDRblnh', 'UB')
('SL22517-2022-11-02-3293','S138-5','TXzaIgZVVeh', 'MB')
('SL22517-2022-11-01-3324','S139-12','zaYMUFMujnzcluG', 'LB')
('AC04652-2022-11-01-3472','A193-16','H', 'UB')
('SL04652-2022-11-02-3399','S142-15','KAcwERcV', 'SL')
('AC22517-2022-11-02-3361','A187-13','Sa', 'LB')
('SL22517-2022-11-02-3298','S138-10','q', 'MB')
('SL04652-2022-11-01-3342','S140-6','mWg', 'UB')
('AC22517-2022-11-01-3419','A190-17','gXcHX', 'SL')
('AC22517-2022-11-02-3368','A188-2','TUjGhQrzFMIN', 'LB')
('AC12058-2022-11-01-3305','A184-11','RyhdcMtq', 'SL')
('SL04652-2022-11-02-3410','S143-2','qNTRdXnUQW', 'MB')
('AC04652-2022-11-01-3485','A194-11','gIVKoralro', 'SL')
('AC22517-2022-11-01-3438','A191-18','qimE', 'SU')
('AC04652-2022-11-02-3369','A188-3','YhA', 'UB')
('SL04652-2022-11-01-3363','S141-3','tNRXN', 'UB')
('AC04652-2022-11-02-3380','A188-14','ksCdnThua', 'LB')
('AC04652-2022-11-01-3514','A196-4','REkFUWm', 'UB')
('SL22517-2022-11-01-3362','S141-2','VNs', 'MB')
('AC12058-2022-11-01-3340','A186-10','IU', 'UB')
('SL22517-2022-11-01-3364','S141-4','RXMhRJyRlRLTIu', 'LB')
('SL22517-2022-11-02-3339','S140-3','HvY', 'UB')
('SL12058-2022-11-01-3317','S139-5','JkpESRNz', 'MB')
('AC22517-2022-11-02-3406','A190-4','K', 'UB')
('SL04652-2022-11-02-3448','S144-16','ftqqvb', 'SU')
('SL12058-2022-11-01-3320','S139-8','LdSPG', 'SU')
('AC22517-2022-11-01-3465','A193-9','NDSbOiZckVKge', 'UB')
('SL22517-2022-11-02-3346','S140-10','hbOELVmS', 'MB')
('AC04652-2022-11-01-3526','A196-16','rDNabxUeKhCJdxB', 'UB')
('SL04652-2022-11-02-3451','S144-19','IxQOgFy', 'UB')
('SL12058-2022-11-01-3326','S139-14','rtimINJNJvzZBDMj', 'UB')
('SL22517-2022-11-02-3351','S140-15','aHbmGXzHPPrYsLc', 'SL')
('AC04652-2022-11-02-3400','A189-16','HKZFkHqclGbmIDYr', 'UB')
('AC04652-2022-11-01-3533','A197-5','HvPyH', 'SL')
('AC04652-2022-11-01-3534','A197-6','AM', 'SU')
('AC22517-2022-11-01-3473','A193-17','FgMciQSUlw', 'SL')
('AC22517-2022-11-01-3486','A194-12','C', 'SU')
('SL04652-2022-11-02-3473','S145-17','JzsUcF', 'LB')
('SL22517-2022-11-02-3366','S141-6','zyS', 'UB')
('AC22517-2022-11-01-3490','A194-16','CKC', 'UB')
('AC12058-2022-11-01-3368','A188-2','gTRBrR', 'LB')
('SL12058-2022-11-01-3351','S140-15','BckwXgBXzrSKK', 'SL')
('AC04652-2022-11-01-3554','A198-8','QePEMHyV', 'LB')
('AC04652-2022-11-02-3421','A191-1','mjupOFHdVTgxCez', 'LB')
('AC22517-2022-11-01-3502','A195-10','fyKActQVWBdkX', 'UB')
('AC22517-2022-11-01-3503','A195-11','tODndDzuxzzFZ', 'SL')
('AC12058-2022-11-01-3377','A188-11','JkJdGYBEe', 'SL')
('AC22517-2022-11-02-3438','A191-18','teKDkU', 'SU')
('SL22517-2022-11-02-3376','S141-16','gKWAczThHTzi', 'SU')
('AC12058-2022-11-01-3379','A188-13','c', 'LB')
('SL04652-2022-11-02-3486','S146-6','zY', 'UB')
('SL22517-2022-11-02-3378','S141-18','gWS', 'MB')
('SL12058-2022-11-01-3359','S140-23','rpsu', 'SL')
('SL22517-2022-11-02-3383','S141-23','co', 'SL')
('SL22517-2022-11-02-3386','S142-2','bdqxarKAqqJV', 'MB')
('AC22517-2022-11-02-3451','A192-13','fFvtWGuwS', 'LB')
('AC12058-2022-11-01-3389','A189-5','jgnLDErvuUGPYd', 'SL')
('SL22517-2022-11-02-3397','S142-13','CcSkIUYWyce', 'MB')
('AC04652-2022-11-01-3600','A200-18','QtqMmzSpFu', 'SU')
('SL12058-2022-11-01-3388','S142-4','aYMSugVHR', 'LB')
('SL04652-2022-11-01-3466','S145-10','hjTjLbYVyPgjE', 'MB')
('SL04652-2022-11-01-3467','S145-11','wlcPvzXl', 'UB')
('SL12058-2022-11-01-3392','S142-8','GGLSStNHXWtut', 'SU')
('SL22517-2022-11-01-3461','S145-5','bDjSb', 'MB')
('AC12058-2022-11-01-3434','A191-14','ztT', 'LB')
('SL12058-2022-11-01-3398','S142-14','tYxzKomInvPePNU', 'UB')
('SL04652-2022-11-02-3537','S148-9','vPzmivHnCNbjzlp', 'LB')
('AC04652-2022-11-01-3615','A201-15','NQCdhiyf', 'UB')
('AC04652-2022-11-02-3466','A193-10','Qi', 'UB')
('SL04652-2022-11-02-3542','S148-14','HPONSs', 'UB')
('SL04652-2022-11-01-3477','S145-21','Hz', 'MB')
('SL22517-2022-11-02-3429','S143-21','C', 'MB')
('SL04652-2022-11-02-3548','S148-20','cqAIlCGfJDLPfIsC', 'LB')
('AC22517-2022-11-01-3576','A199-12','opQBBVq', 'SU')
('SL04652-2022-11-02-3557','S149-5','RgAoGjqZ', 'MB')
('AC22517-2022-11-01-3581','A199-17','nYY', 'SL')
('AC22517-2022-11-02-3526','A196-16','ZCDXgvEvGXPz', 'UB')
('AC22517-2022-11-02-3527','A196-17','Itw', 'SL')
('SL22517-2022-11-01-3493','S146-13','yYofmUzVODyxrB', 'MB')
('AC04652-2022-11-01-3648','A203-12','wapCPRUOCrOi', 'SU')
('AC04652-2022-11-02-3499','A195-7','mz', 'LB')
('AC04652-2022-11-02-3500','A195-8','Xfj', 'LB')
('SL22517-2022-11-02-3464','S145-8','IRYnAoJWHVnCwHBA', 'SU')
('AC22517-2022-11-02-3543','A197-15','orrfuNwzZwok', 'UB')
('SL22517-2022-11-01-3522','S147-18','pu', 'MB')
('AC22517-2022-11-01-3611','A201-11','jjWpKGTgrqLrzNB', 'SL')
('AC22517-2022-11-01-3612','A201-12','ujhwwcCuXmBeG', 'SU')
('SL04652-2022-11-02-3587','S150-11','HgmqFbF', 'UB')
('AC04652-2022-11-01-3668','A204-14','eMZdpvVIkblxvOx', 'LB')
('SL22517-2022-11-02-3478','S145-22','wXokVqCTLc', 'UB')
('AC12058-2022-11-01-3503','A195-11','vESkyVFLmDISk', 'SL')
('AC22517-2022-11-02-3560','A198-14','KWdfOyqFpMiXk', 'LB')
('AC04652-2022-11-01-3676','A205-4','vPBCILZ', 'UB')
('SL22517-2022-11-02-3491','S146-11','yJFmsfXtdEnn', 'UB')
('AC04652-2022-11-01-3684','A205-12','kwRNLAT', 'SU')
('AC04652-2022-11-02-3541','A197-13','n', 'LB')
('SL22517-2022-11-01-3546','S148-18','WaCaXECvqk', 'MB')
('SL04652-2022-11-02-3610','S151-10','OeLKFhzdRh', 'MB')
('SL22517-2022-11-01-3548','S148-20','pWmukmdZvCfz', 'LB')
('AC12058-2022-11-01-3523','A196-13','ODmgmPhTRDYD', 'LB')
('SL04652-2022-11-02-3614','S151-14','KdYijYpIYFoD', 'UB')
('AC22517-2022-11-02-3577','A199-13','sv', 'LB')
('SL04652-2022-11-02-3619','S151-19','gOV', 'UB')
('AC12058-2022-11-01-3532','A197-4','bF', 'UB')
('AC04652-2022-11-02-3552','A198-6','X', 'SU')
('AC04652-2022-11-02-3553','A198-7','gwEXHu', 'LB')
('SL12058-2022-11-01-3485','S146-5','mYeTJSMIUa', 'MB')
('SL12058-2022-11-01-3486','S146-6','i', 'UB')
('SL22517-2022-11-01-3576','S149-24','xjgvmqKgSV', 'SU')
('AC12058-2022-11-01-3586','A200-4','BbACvUfO', 'UB')
('SL04652-2022-11-01-3578','S150-2','dXzgZXNQr', 'MB')
('SL22517-2022-11-02-3547','S148-19','GnLNaJCnCsv', 'UB')
('AC04652-2022-11-01-3739','A208-13','tMfiHXMaBLS', 'LB')
('AC22517-2022-11-02-3633','A202-15','qzgQNIpdvdehZSdZ', 'UB')
('SL22517-2022-11-02-3551','S148-23','JXLUouu', 'SL')
('SL12058-2022-11-01-3540','S148-12','fG', 'LB')
('AC04652-2022-11-01-3763','A210-1','ZSYBIDpwQ', 'LB')
('AC04652-2022-11-02-3632','A202-14','DsosG', 'LB')
('AC12058-2022-11-01-3617','A201-17','lLyXZxpP', 'SL')
('SL12058-2022-11-01-3548','S148-20','H', 'LB')
('AC04652-2022-11-02-3640','A203-4','v', 'UB')
('AC22517-2022-11-01-3714','A207-6','fqoZrEIpsSpAk', 'SU')
('SL04652-2022-11-02-3689','S154-17','zeVlPtViScaf', 'LB')
('AC22517-2022-11-01-3715','A207-7','QMe', 'LB')
('SL22517-2022-11-01-3645','S152-21','zm', 'MB')
('SL12058-2022-11-01-3555','S149-3','LO', 'UB')
('AC22517-2022-11-02-3674','A205-2','WeESiDwTFW', 'LB')
('AC22517-2022-11-01-3722','A207-14','AeKglFsSgVdNgLsR', 'LB')
('SL22517-2022-11-02-3582','S150-6','xKjDQDhldyFEw', 'UB')
('SL04652-2022-11-02-3704','S155-8','J', 'SU')
('AC04652-2022-11-01-3829','A213-13','yV', 'LB')
('SL22517-2022-11-02-3613','S151-13','TKwuYhwS', 'MB')
('AC04652-2022-11-01-3831','A213-15','cmnhzeAnCZME', 'UB')
('SL12058-2022-11-01-3594','S150-18','Z', 'MB')
('AC22517-2022-11-01-3777','A210-15','qxjxyhWzQIRuB', 'UB')
('AC22517-2022-11-01-3778','A210-16','zpu', 'UB')
('AC04652-2022-11-01-3861','A215-9','aLyoY', 'UB')
('AC12058-2022-11-01-3715','A207-7','gkvoh', 'LB')
('AC04652-2022-11-01-3869','A215-17','kplD', 'SL')
('SL04652-2022-11-01-3695','S154-23','ovHpTHXJxAE', 'SL')
('AC12058-2022-11-01-3724','A207-16','VQRsIBm', 'UB')
('SL12058-2022-11-01-3633','S152-9','e', 'LB')
('SL04652-2022-11-02-3782','S158-14','OkqOzRPITPCyy', 'UB')
('SL12058-2022-11-01-3635','S152-11','udbUlyaEkxzJX', 'UB')
('SL04652-2022-11-01-3700','S155-4','XrmANlEFjDggDx', 'LB')
('AC04652-2022-11-01-3918','A218-12','ZSgkSybZsGjd', 'SU')
('AC04652-2022-11-02-3782','A211-2','sHgUcJFALbGmqfJ', 'LB')
('AC22517-2022-11-02-3793','A211-13','w', 'LB')
('AC04652-2022-11-01-3922','A218-16','Q', 'UB')
('AC04652-2022-11-01-3936','A219-12','BtLBtNPkZhoRuvIx', 'SU')
('AC22517-2022-11-02-3804','A212-6','ts', 'SU')
('SL22517-2022-11-01-3783','S158-15','FSDeqUmLXV', 'SL')
('AC04652-2022-11-01-3941','A219-17','xcEjKDtbZIhin', 'SL')
('SL04652-2022-11-01-3750','S157-6','ma', 'UB')
('AC04652-2022-11-01-3944','A220-2','LyIEqkHCtJfwRwlc', 'LB')
('AC12058-2022-11-01-3786','A211-6','NdfqV', 'SU')
('AC22517-2022-11-01-3871','A216-1','kAKGSIjBieqzZmCj', 'LB')
('SL22517-2022-11-02-3711','S155-15','spah', 'SL')
('AC22517-2022-11-01-3875','A216-5','GLIvosjHqnDmLt', 'SL')
('AC22517-2022-11-01-3879','A216-9','ffxlFdqGK', 'UB')
('AC12058-2022-11-01-3802','A212-4','yJjkvvy', 'UB')
('AC22517-2022-11-02-3826','A213-10','gZLxEQqHuf', 'UB')
('AC12058-2022-11-01-3806','A212-8','PRpBD', 'LB')
('SL12058-2022-11-01-3695','S154-23','IW', 'SL')
('SL22517-2022-11-01-3803','S159-11','lfziZ', 'UB')
('AC04652-2022-11-02-3822','A213-6','DxmybouGbtd', 'SU')
('AC22517-2022-11-02-3835','A214-1','paE', 'LB')
('AC22517-2022-11-02-3836','A214-2','teWtz', 'LB')
('AC22517-2022-11-02-3838','A214-4','TBvOVf', 'UB')
('AC04652-2022-11-02-3829','A213-13','JrQMNDTa', 'LB')
('AC22517-2022-11-02-3841','A214-7','Qn', 'LB')
('SL12058-2022-11-01-3704','S155-8','qJXkdfRnaKCWfJVu', 'SU')
('SL22517-2022-11-02-3730','S156-10','MimXqyXlKClVNJak', 'MB')
('AC22517-2022-11-01-3901','A217-13','XA', 'LB')
('SL04652-2022-11-01-3785','S158-17','es', 'LB')
('SL12058-2022-11-01-3711','S155-15','AseOSNXAatJoFDg', 'SL')
('SL04652-2022-11-01-3787','S158-19','V', 'UB')
('AC12058-2022-11-01-3830','A213-14','CGpUrmmpzkY', 'LB')
('AC04652-2022-11-02-3843','A214-9','qQEdBb', 'UB')
('AC12058-2022-11-01-3837','A214-3','G', 'UB')
('AC04652-2022-11-02-3856','A215-4','hLSYE', 'UB')
('SL22517-2022-11-02-3753','S157-9','CiQBDqNKATU', 'LB')
('SL04652-2022-11-02-3870','S162-6','otSiyjxIsWQtBPlj', 'UB')
('AC04652-2022-11-02-3864','A215-12','wsXKeaRHoVsRnm', 'SU')
('SL22517-2022-11-02-3758','S157-14','aPoQpXINWkOPGmXM', 'UB')
('AC04652-2022-11-01-4002','A223-6','zEuyJghArSc', 'SU')
('SL22517-2022-11-02-3762','S157-18','PD', 'MB')
('SL04652-2022-11-01-3810','S159-18','yZwwfXbswe', 'MB')
('AC04652-2022-11-01-4031','A224-17','Kb', 'SL')
('AC22517-2022-11-01-3955','A220-13','yFUCSVObmgqRkatj', 'LB')
('AC12058-2022-11-01-3874','A216-4','sys', 'UB')
('AC22517-2022-11-01-3957','A220-15','DP', 'UB')
('SL04652-2022-11-02-3904','S163-16','zc', 'SU')
('AC12058-2022-11-01-3876','A216-6','oZf', 'SU')
('AC04652-2022-11-02-3888','A216-18','gMCOGFxVAwf', 'SU')
('AC22517-2022-11-01-3960','A220-18','fOE', 'SU')
('SL22517-2022-11-01-3874','S162-10','bdfKovNUeqfEh', 'MB')
('AC22517-2022-11-01-3962','A221-2','LxYT', 'LB')
('AC22517-2022-11-02-3894','A217-6','TVTlbSIHhqpRNy', 'SU')
('AC04652-2022-11-02-3909','A218-3','NbBMBN', 'UB')
('AC12058-2022-11-01-3909','A218-3','LuvQjWOOLKunlhO', 'UB')
('AC22517-2022-11-01-3991','A222-13','gSuPM', 'LB')
('AC12058-2022-11-01-3920','A218-14','MpnuOSte', 'LB')
('SL04652-2022-11-01-3870','S162-6','KZGVZjhqqodPSbp', 'UB')
('SL04652-2022-11-01-3875','S162-11','ZZSp', 'UB')
('AC22517-2022-11-01-4065','A226-15','f', 'UB')
('SL22517-2022-11-01-3973','S166-13','TUBGQx', 'MB')
('AC22517-2022-11-02-3993','A222-15','CxfAIrERGcB', 'UB')
('AC04652-2022-11-02-4008','A223-12','kKqdwmYlpe', 'SU')
('AC04652-2022-11-02-4009','A223-13','CFSVRDlhw', 'LB')
('SL04652-2022-11-02-4029','S168-21','NdfzqrOwTCsKzteP', 'MB')
('SL04652-2022-11-02-4031','S168-23','X', 'SL')
('SL22517-2022-11-01-3990','S167-6','SEuRUkh', 'UB')
('SL22517-2022-11-01-3991','S167-7','LmJOEM', 'SL')
('SL22517-2022-11-02-3927','S164-15','lJyyZawwP', 'SL')
('AC12058-2022-11-01-4017','A224-3','UdPt', 'UB')
('AC22517-2022-11-02-4012','A223-16','eDovoZl', 'UB')
('SL22517-2022-11-02-3934','S164-22','OjqlF', 'UB')
('AC22517-2022-11-02-4043','A225-11','FOobJwOblCfU', 'SL')
('SL12058-2022-11-01-3928','S164-16','MJRPtJUDqDCBDcXX', 'SU')
('AC22517-2022-11-02-4046','A225-14','wfw', 'LB')
('AC04652-2022-11-01-4223','A235-11','nZKmaFii', 'SL')
('AC12058-2022-11-01-4058','A226-8','uxuG', 'LB')
('AC22517-2022-11-02-4050','A225-18','yeaQUSijJMUWuc', 'SU')
('AC04652-2022-11-01-4225','A235-13','dbmHQWTWSCzdaeV', 'LB')
('AC04652-2022-11-01-4231','A236-1','bh', 'LB')
('AC22517-2022-11-02-4055','A226-5','nwc', 'SL')
('SL12058-2022-11-01-3942','S165-6','oZ', 'UB')
('SL04652-2022-11-02-4082','S171-2','JW', 'MB')
('AC22517-2022-11-02-4060','A226-10','DpIby', 'UB')
('AC12058-2022-11-01-4074','A227-6','eZKgDlBS', 'SU')
('SL12058-2022-11-01-3949','S165-13','RZqezGWyKuxyQ', 'MB')
('AC22517-2022-11-01-4140','A230-18','pWGhRPqcAusIV', 'SU')
('AC04652-2022-11-01-4252','A237-4','YEqkmJZBZdswkDYU', 'UB')
('AC04652-2022-11-02-4103','A228-17','Z', 'SL')
('SL04652-2022-11-01-4031','S168-23','UvvrNz', 'SL')
('SL04652-2022-11-02-4105','S172-1','AnYwDEsCeTXvNiB', 'LB')
('AC04652-2022-11-02-4108','A229-4','Mge', 'UB')
('AC22517-2022-11-01-4162','A232-4','WsXLVYeqGpfguabf', 'UB')
('AC04652-2022-11-02-4115','A229-11','OHeOpoGwuVdOjb', 'SL')
('SL04652-2022-11-01-4042','S169-10','eTmaksEOKS', 'MB')
('SL04652-2022-11-02-4112','S172-8','c', 'SU')
('SL22517-2022-11-01-4080','S170-24','pHs', 'SU')
('AC22517-2022-11-01-4178','A233-2','YZiTkMcaBkwGP', 'LB')
('AC22517-2022-11-02-4098','A228-12','YDpBHJSOxlSzsKt', 'SU')
('AC22517-2022-11-01-4182','A233-6','ltZP', 'SU')
('AC22517-2022-11-01-4243','A236-13','dvt', 'LB')
('AC12058-2022-11-01-4185','A233-9','EviGQADh', 'UB')
('AC22517-2022-11-02-4160','A232-2','akhpfiG', 'LB')
('AC22517-2022-11-02-4170','A232-12','UfvycXIwwkVeEJWc', 'SU')
('SL12058-2022-11-01-4063','S170-7','ZhLnqlCQFvPHMS', 'SL')
('SL12058-2022-11-01-4064','S170-8','WXnNsR', 'SU')
('AC04652-2022-11-02-4202','A234-8','RiOwNnkdaNxahqZ', 'LB')
('SL04652-2022-11-01-4125','S172-21','JuQkQwQ', 'MB')
('SL04652-2022-11-01-4126','S172-22','NcIlDad', 'UB')
('AC22517-2022-11-02-4176','A232-18','RHpLqnikqOC', 'SU')
('AC22517-2022-11-02-4177','A233-1','PElfAghaNz', 'LB')
('AC04652-2022-11-01-4359','A243-3','XcGNBHFiOhckPwY', 'UB')
('SL22517-2022-11-02-4109','S172-5','AcCJHaVoZTujC', 'MB')
('SL22517-2022-11-01-4163','S174-11','cX', 'UB')
('SL04652-2022-11-02-4201','S176-1','eMUDcYIDmrsO', 'LB')
('AC12058-2022-11-01-4203','A234-9','wRbCT', 'UB')
('AC04652-2022-11-01-4363','A243-7','yhkTCda', 'LB')
('AC22517-2022-11-01-4258','A237-10','xygHFJK', 'UB')
('SL12058-2022-11-01-4070','S170-14','jYAKhQyOdKi', 'UB')
('SL04652-2022-11-02-4203','S176-3','AdNkhYWsZnBjifh', 'UB')
('AC04652-2022-11-02-4214','A235-2','xWCCnUbLOtV', 'LB')
('AC04652-2022-11-01-4369','A243-13','bNwaTkX', 'LB')
('SL22517-2022-11-01-4168','S174-16','R', 'SU')
('SL22517-2022-11-02-4121','S172-17','zxKvNRCihsu', 'LB')
('AC22517-2022-11-02-4191','A233-15','znYvQxOHy', 'UB')
('SL22517-2022-11-01-4171','S174-19','XcHYKHfNILtxEZ', 'UB')
('SL04652-2022-11-01-4150','S173-22','FOtVTqHgDvACOj', 'UB')
('AC22517-2022-11-02-4193','A233-17','oqKLmIqtHaQDGj', 'SL')
('SL22517-2022-11-02-4125','S172-21','hAY', 'MB')
('AC04652-2022-11-01-4378','A244-4','dxCPnTn', 'UB')
('AC12058-2022-11-01-4217','A235-5','lgMVxkJE', 'SL')
('SL04652-2022-11-01-4156','S174-4','dloSaMDnl', 'LB')
('SL04652-2022-11-02-4221','S176-21','sR', 'MB')
('AC04652-2022-11-01-4387','A244-13','jSFZfSevSyZ', 'LB')
('AC04652-2022-11-01-4388','A244-14','MurPeGi', 'LB')
('SL04652-2022-11-01-4163','S174-11','rLiIygpEgLyAespU', 'UB')
('SL12058-2022-11-01-4093','S171-13','COUjrKMLZrs', 'MB')
('AC04652-2022-11-01-4407','A245-15','uF', 'UB')
('AC12058-2022-11-01-4241','A236-11','QuonpLOQcTh', 'SL')
('SL12058-2022-11-01-4107','S172-3','amSxaA', 'UB')
('AC12058-2022-11-01-4250','A237-2','YcaPsDMI', 'LB')
('AC22517-2022-11-01-4308','A240-6','CYTemmDcKVfc', 'SU')
('SL22517-2022-11-01-4208','S176-8','LTBbmHxghEjmB', 'SU')
('SL12058-2022-11-01-4116','S172-12','gGJf', 'LB')
('SL22517-2022-11-01-4212','S176-12','QhybXXOlK', 'LB')
('AC04652-2022-11-02-4264','A237-16','XmGWtAWvOV', 'UB')
('AC22517-2022-11-02-4282','A238-16','J', 'UB')
('SL04652-2022-11-02-4283','S179-11','v', 'UB')
('AC04652-2022-11-02-4304','A240-2','UA', 'LB')
('SL22517-2022-11-02-4196','S175-20','uUbymhVwzoSi', 'LB')
('AC04652-2022-11-02-4307','A240-5','XuVfNLdeXz', 'SL')
('AC12058-2022-11-01-4299','A239-15','HfxERg', 'UB')
('SL22517-2022-11-01-4246','S177-22','PUbYxFWK', 'UB')
('SL22517-2022-11-02-4199','S175-23','UKZ', 'SL')
('AC04652-2022-11-02-4311','A240-9','HyGnPfYrogN', 'UB')
('SL04652-2022-11-01-4226','S177-2','FUfhfog', 'MB')
('SL04652-2022-11-01-4227','S177-3','BnPsdQDzZI', 'UB')
('AC12058-2022-11-01-4305','A240-3','lWDPwS', 'UB')
('SL04652-2022-11-01-4228','S177-4','cIntUrIwUBigasDS', 'LB')
('AC22517-2022-11-01-4358','A243-2','uLYiavK', 'LB')
('AC22517-2022-11-02-4294','A239-10','crZnYPLLWlWRURCS', 'UB')
